   (Vaidya 90)	(VEdyaH 90)
   prajñāpāramitāprapañcatā veditavyā iti ||	prajQApAramitA-prapaQca-tAH veditavyAH iti ||
   (Adhś, Vaidya 91) atha bhagavān svabhāvaśuddhastathāgataḥ punarapīdaṃ	(a-aDS, VEdyaH 91) aTa BagavAn svaBAva-SudDaH-taTAgataH punar-api-idam
   sarvadharmasamatāvalokiteśvarajñānamudraṃ nāma prajñāpāramitānayaṃ	sarvaDarmasamatAvalokiteSvarajQAnamudram nAma prajQApAramitA-anayam
   deśayāmāsa - sarvarāgaviśuddhitā loke dveṣaviśuddhitāyai saṃvartate |	deSayAmAsa  sarva-rAga-viSudDi-tA loke dveza-viSudDi-tAyE saMvartate |
   sarvamalaviśuddhitā loke dveṣavi[śu]ddhitāyai saṃvartate |	sarva-mala-viSudDi-tA loke dveza-vi[Su]dDi-tAyE saMvartate |
   sarvamalaviśuddhitā loke sarvapāpaviśuddhitāyai saṃvartate |	sarva-mala-viSudDi-tA loke sarva-pApa-viSudDi-tAyE saMvartate |
   sarvadharmaviśuddhitā loke sarvasattvaviśuddhitāyai saṃvartate |	sarva-Darma-viSudDi-tA loke sarva-sattva-viSudDi-tAyE saMvartate |
   sarvajñānaviśuddhitā loke prajñāpāramitāviśuddhyai saṃvartate iti ||	sarva-jQAna-viSudDi-tA loke prajQApAramitA-viSudDyE saMvartate iti ||
   atha bhagavān sarvatraidhātukādhipatistathāgataḥ punarapi	aTa BagavAn sarva-tra-eDAtuka-aDipatiH-taTAgataH punar-api
   sarvatathāgatābhiṣekasaṃbhavajñānagarbhaṃ nāma prajñāpāramitānayaṃ	sarvataTAgatABizekasaMBava-jQAna-garBam nAma prajQApAramitA-anayam
   deśayāmāsa - abhiṣekadānaṃ sarvatraidhātukarājyapratilambhāya saṃvartate |	deSayAmAsa  aBizeka-dAnam sarva-tra-eDAtuka-rAjya-pratilamBAya saMvartate |
   arthadānaṃ sarvāśāparipūraye saṃvartate | dharmadānaṃ	arTa-dAnam sarva-ASA-paripUraye saMvartate | Darma-dAnam
   sarvadharmatāprāptaye saṃvartate | āmiṣadānaṃ	sarva-DarmatA-prAptaye saMvartate | Amiza-dAnam
   sarvakāyavākcittasukhapratilambhāya saṃvartate iti ||	sarva-kAya-vAc-citta-suKa-pratilamBAya saMvartate iti ||
   atha bhagavān	aTa BagavAn
   sarvatathāgatajñānamudrāprāptasarvatathāgatamuṣṭidharastathāgataḥ	sarva-taTAgata-jQAna-mudrA-prApta-sarva-taTAgata-muzwi-DaraH-taTAgataH
   [śāśvata](?) punarapi sarvatathāgatajñānamudrādhiṣṭhānavajraṃ nāma	[SASvata](?) punar-api sarvataTAgata-jQAnamudrA-aDizWAnavajram nAma
   prajñāpāramitānayaṃ deśayāmāsa - sarvatathāgatakāyamudrāparigrahaḥ	prajQApAramitA-anayam deSayAmAsa  sarva-taTAgata-kAya-mudrA-parigrahaH
   sarvatathāgatatvāya saṃvartate | vāgmudrāparigrahaḥ	sarva-taTAgata-tvAya saMvartate | vAc-mudrA-parigrahaH
   sarvadharmapratilambhāya saṃvartate | cittamudrāparigrahaḥ	sarva-Darma-pratilamBAya saMvartate | citta-mudrA-parigrahaH
   sarvasamādhipratilambhāya saṃvartate | vajramudrāpratigrahaḥ	sarva-samADi-pratilamBAya saMvartate | vajra-mudrA-pratigrahaH
   sarvakāyavākcittavajrasattvasarvottamasiddhaye saṃvartate iti ||	sarva-kAya-vAc-citta-vajra-sattva-sarva-uttama-sidDaye saMvartate iti ||
   atha bhagavān sarvadharmāprapañcastathāgataḥ punarapi cakrākṣaraparivartaṃ	aTa BagavAn sarva-Darma-aprapaQcaH-taTAgataH punar-api cakra-akzara-parivartam
   nāma prajñāpāramitānayaṃ deśayāmāsa - śūnyāḥ sarvadharmā	nAma prajQApAramitA-anayam deSayAmAsa  SUnyAH sarva-DarmA
   niḥsvabhāvayogena, nirnimittāḥ sarvadharmā nirnimittatāmupādāya,	niHsvaBAva-yogena, nirnimittAH sarva-DarmAH nirnimitta-tAm-upAdAya,
   apraṇihitāḥ sarvadharmā apraṇidhānayogena, prakṛtiprabhāsvarāḥ	apraNihitAH sarva-DarmAH apraNiDAna-yogena, prakRti-praBAsvarAH
   prajñāpāramitāpariśuddhyā iti ||	prajQApAramitA-pariSudDyA iti ||
   atha bhagavān sarvatathāgatacakrāntargatastathāgataḥ punarapi	aTa BagavAn sarva-taTAgata-cakra-antargataH-taTAgataH punar-api
   mahācakrapraveśaṃ nāma prajñāpāramitānayaṃ deśayāmāsa -	mahAcakrapraveSam nAma prajQApAramitA-anayam deSayAmAsa -
   vajrasamatāpraveśaḥ sarvatathāgatacakrapraveśāya saṃvartate |	vajra-samatA-praveSaH sarva-taTAgata-cakra-praveSAya saMvartate |
   arthasamatāpraveśo mahābodhisattvacakrapraveśāya saṃvartate |	arTa-sama-tA-praveSaH mahA-boDisattva-cakra-praveSAya saMvartate |
   dharmasamatāpraveśaḥ sarvadharmacakrapraveśāya saṃvartate |	Darma-sama-tA-praveSaH sarva-Darma-cakra-praveSAya saMvartate |
   sarvasamatāpraveśaḥ sarvacakrapraveśāya saṃvartate iti ||	sarva-sama-tA-praveSaH sarva-cakra-praveSAya saMvartate iti ||
   atha bhagavān sarvapūjāvidhivistarabhājanastathāgataḥ punarapi	aTa BagavAn sarva-pUjA-viDi-vistara-BAjanaH-taTAgataH punar-api
   sarvapūjāgryaṃ nāma prajñāpāramitānayaṃ deśayāmāsa - bodhicittotpādanatā	sarvapUjA-agryam nAma prajQApAramitA-anayam deSayAmAsa  boDi-citta-utpAdana-tA
   sarvatathāgatapūjāvidhivistaraḥ | sarvasattvadhātuparitrāṇatā	sarva-taTAgata-pUjA-viDi-vistaraH | sarva-sattva-DAtu-paritrANa-tA
   sarvatathāgatapūjāvidhivistaraḥ | saddharmaparigrahaḥ	sarva-taTAgata-pUjA-viDi-vistaraH | sat-Darma-parigrahaH
   sarvatathāgatapūjāvidhivistaraḥ |	sarva-taTAgata-pUjA-viDi-vistaraH |
   prajñāpāramitālikhanalekhanadhāraṇavācanoccāraṇabhāvanapūjanakarmaṇa(karma?)	prajQApAramitA-liKana-leKana-DAraNa-vAcana-uccAraNa-BAvana-pUjana-karmaNa(-karma?)
   sarvatathāgatapūjāvidhivistaraḥ iti ||	sarva-taTAgata-pUjA-viDi-vistaraH iti ||
   atha khalu bhagavān sarvavinayasamarthastathāgataḥ punarapīdaṃ	aTa Kalu BagavAn sarva-vinaya-samarTaH-taTAgataH punar-api-idam
   jñānamuṣṭiparigrahaṃ sarva[sa]ttvavinayajñānagarbhaṃ nāma	jQAna-muzwi-parigraham sarva[sa]ttva-vinaya-jQAna-garBam nAma
   prajñāpāramitānayaṃ deśayāmāsa - sarvasattvasamatāyāṃ krodhasamatā,	prajQApAramitA-anayam deSayAmAsa  sarva-sattva-samatAyAm kroDa-sama-tA,
   sarvasattvavinayanatāyāṃ krodhavinayanatā, sarvasattvadharmatāyāṃ	sarva-sattva-vinaya-na-tAyAm kroDa-vinayana-tA, sarva-sattva-Darma-tAyAm
   krodhadharmatā, sarvasattvavajratāyāṃ krodhavajratā | tatkasya hetoḥ?	kroDa-Darma-tA, sarva-sattva-vajra-tAyAm kroDa-vajra-tA | tat-kasya hetoH?
   sarvasattvavinayo bodhiriti ||	sarva-sattva-vinayaH boDiH-iti ||
   (Adhś, Vaidya 92) atha bhagavān sarvadharmasamatāpratiṣṭhitastathāgataḥ	(a-aDS, VEdyaH 92) aTa BagavAn sarva-Darma-sama-tA-pratizWitaH-taTAgataH
   punarapīdaṃ sarvadharmāgryaṃ nāma prajñāpāramitānayaṃ deśayāmāsa -	punar-api-idam sarvaDarma-agryam nAma prajQApAramitA-anayam deSayAmAsa -
   sarvasamatayā prajñāpāramitāsamatā, sarvārthatayā prajñāpāramitārthatā,	sarva-samatayA prajQApAramitA-samatA, sarva-arTa-tayA prajQApAramitA-arTa-tA,
   sarvadharmatayā prajñāpāramitādharmatā, sarvakarmatayā	sarva-Darma-tayA prajQApAramitA-Darma-tA, sarva-karma-tayA
   prajñāpāramitākarmatā veditavyā iti ||	prajQApAramitA-karma-tA veditavyAH iti ||
   atha bhagavāṃstathāgato vairocanaḥ punarapi sarvasattvādhiṣṭhānaṃ nāma	aTa BagavAn=-taTAgataH vErocanaH punar-api sarva-sattva-aDizWAnam nAma
   prajñāpāramitānayaṃ deśayāmāsa - sarvasattvāstathāgatagarbhāḥ	prajQApAramitA-anayam deSayAmAsa  sarva-sattvAH-taTAgata-garBAH
   samantabhadramahābodhisattvasarvātmatayo(yā?) | vajragarbhā sarvasattvā	samantaBadra-mahA-boDisattva-sarva-Atmatayo(yA?) | vajragarBA sarva-sattvA
   vajragarbhābhiṣiktatayā, dharmagarbhāḥ sarvasattvāḥ	vajragarBa-aBizikta-tayA, Darma-garBAH sarva-sattvAH
   sarvavākpravartanatayā, karmagarbhāḥ sarvasattvāḥ	sarva-vAc-pravartana-tayA, karma-garBAH sarva-sattvAH
   sarvasattvakaraṇatāprayogatayā iti ||	sarva-sattva-karaNa-tA-prayoga-tayA iti ||
   atha bhagavānanantāparyantāniṣṭhastathāgato 'nantāparyantāniṣṭhadharmā	aTa BagavAn-anantA-paryanta-anizWaH-taTAgataH ananta-aparyanta-anizWa-DarmA
   punarapyasya kalpasya pariniṣṭhādhiṣṭhānārthamidaṃ	punar-api-asya kalpasya parinizWA-aDizWAna-arTam-idam
   sarvadharmasamatāparininadhiṣṭhānavajraṃ nāma prajñāpāramitānayaṃ	sarvaDarmasamatAparininaDizWAnavajram nAma prajQApAramitA-anayam
   deśayāmāsaprajñāpāramitānantatayā sarvatathāgatānantatā,	deSayAmAsa-prajQApAramitA-ananta-tayA sarva-taTAgata-ananta-tA,
   prajñāpāramitāparyantatayā sarvatathāgatāparyantatā,	prajQApAramitA-paryanta-tayA sarva-taTAgata-aparyanta-tA,
   prajñāpāramitānaikatayā sarvadharmānaikatā, prajñāpāramitāpariniṣṭhatayā	prajQApAramitA-anEka-tayA sarva-Darma-anEkatA, prajQApAramitA-parinizWatayA
   sarvadharmāpariniṣṭhatā bhavati ||	sarva-Darma-aparinizWatA Bavati ||
   atha bhagavān vairocanaḥ	aTa BagavAn vErocanaH
   sarvatathāgataguhyadharmatāprāptasarvadharmāprapañcaḥ punarapi idaṃ	sarva-taTAgata-guhya-DarmatA-prApta-sarva-Darma-aprapaQcaH punar-api idam
   mahāsukhavajrāmogha* * * nāma vajrāmoghadharmatāprajñāpāramitāmukhaṃ	mahA-suKa-vajra-amoGa* * * nAma vajra-amoGa-Darma-tA-prajQApAramitA-muKam
   paramamanādinidhanamadhyaṃ deśayāmāsa -	paramam-anAdiniDana-maDyam deSayAmAsa -
   mahārogottamasiddhirmahābodhisattvānāṃ mahāsukhottamasiddhyai saṃvartate |	mahA-roga-uttama-sidDiH-mahA-boDisattvAnAm mahA-suKa-uttama-sidDyE saMvartate |
   mahāsukhottamasiddhirmahābodhisattvānāṃ	mahA-suKa-uttama-sidDiH-mahA-boDisattvAnAm
   sarvatathāgatamahābodhyuttamasiddhyai saṃvartate |	sarva-taTAgata-mahA-boDyuttama-sidDyE saMvartate |
   sarvatathāgatamahābodhyuttamasiddhirmahābodhisattvānāṃ	sarva-taTAgata-mahA-boDyuttama-sidDiH-mahA-boDisattvAnAm
   sarvamahāmārapramardanottamasiddhyai saṃvartate |	sarva-mahA-mAra-pramardana-uttama-sidDyE saMvartate |
   sarvamahāmārapramardanottamasiddhirmahābodhisattvānāṃ	sarva-mahA-mAra-pramardana-uttama-sidDiH-mahA-boDisattvAnAm
   sakalamahātraidhātukaiśvaryottamasiddhyai saṃvartate |	sakala-mahA-trEDAtuka-ESvarya-uttama-sidDyE saMvartate |
   sakalamahātraidhātukaiśvaryottamasiddhirmahābodhisattvānāmaśeṣānavaśeṣasarvasattvadhātuparitrāṇasarvasattvahita	sakala-mahA-trEDAtuka-ESvarya-uttama-sidDiH-mahA-boDisattvAnAm-aSezAn-avaSeza-sarva-sattva-DAtu-paritrANa-sarva-sattva-hita
   - sukhaparamātyantamahāsukhottamasiddhyai saṃvartate iti || tatkasya	 suKa-parama-atyanta-mahA-suKa-uttama-sidDyE saMvartate iti || tat-kasya
   hetoḥ?	hetoH?
   yāvadbhavādhiṣṭhāne 'tra bhavanti varasūrayaḥ |	yAvat-Bava-aDizWAne atra Bavanti vara-sUrayaH |
   tāvatsattvārthamatulaṃ śakyā kartumanirvṛtāḥ || 1 ||	tAvat-sattva-arTam-atulam SakyA kartum-anirvRtAH || 1 ||
   prajñāpāramitopāyajñānādhiṣṭhānasādhitā |	prajQApAramitA-upAya-jQAna-aDizWAna-sADitAH |
   sarvakarmaviśuddhyā tu bhavaśuddhā bhavanti ha || 2 ||	sarva-karma-viSudDyA tu Bava-SudDAH Bavanti ha || 2 ||
   rāgādivinayo loke ābhavātmāsakṛtsadā |	rAga-Adi-vinayaH loke ABava-Atma-asa-kRt-sadA |
   teṣāṃ viśodhanārthaṃ tu vinayaṃ jñātavān svayam || 3 ||	tezAm viSoDana-arTam tu vinayam jQAtavAn svayam || 3 ||
   yathā padmaṃ suraktaṃ tu rāgadoṣairna lipyate |	yaTA padmam su-raktam tu rAga-dozEH-na lipyate |
   vāsadoṣairbhave nityaṃ na lipyante jagaddhitām(?) || 4 ||	vAsa-dozEH-Bave nityam na lipyante jagat-hitAm(?) || 4 ||
   mahārāgaviśuddhāstu mahāsaukhyā mahādhanāḥ |	mahA-rAga-viSudDAH-tu mahA-sOKyAH mahADanAH |
   tridhātvīśvaratāṃ prāptā arthaṃ kurvantu taṃ dṛḍham || 5 ||iti ||	triDAtu-ISvara-tAm prAptAH arTam kurvantu tam dRXam || 5 ||iti ||
   adhyardhaśatikā prajñāpāramitā samāptā ||	aDyarDaSatikA prajQApAramitA samAptAH ||
