   Prātimokṣasūtram*	PrAti-mokza-sUtram*
   bhikṣusaṃghenābhigṛhītaṃ samantanavyāmamātram atrāntare pāñcadaśikaṃ	Bikzu-saMGena-aBigRhItam samantana-vyAma-mAtram atra-antare pAQcadaSikam
   poṣadhaṃ prātimokṣaṃ ca sūtram uddiśiṣyati / kṣamate taṃ saṃghasya, yasmāt	pozaDam prAtimokzam ca sUtram uddiSizyati / kzamate tam saMGasya, yasmAt-
   tūṣṇīm evam etaṃ dhārayāmi /	tUzNIm evam etam DArayAmi /
   abhimukhaṃ krāmati jarāmaraṇaṃ kṣīyati jīvitendriyaṃ, hāyati saddharmo	aBimuKam krAmati jarA-maraNam kzIyati jIvita-indriyan, hAyati sadDarmaH-
   astameti dharmolko, nirvāyanti deśayitāraḥ, parīttā bhavanti pratipattāraḥ	astam-eti Darma-ulko, nirvAyanti deSayitAraH, parIttAH Bavanti pratipattAraH
   / gacchanti kṣaṇalavamuhūrttarātrindivasamāsārdhamāsaṛtusaṃvatsarāḥ /	/ gacCanti kzaNa-lava-muhUrtta-rAtrindiva-sa-mAsa-arDam-Asa-Rtu-saMvatsarAH /
   girinadījalacapalacañcalopamā āyuḥ saṃskārā muhūrttam api nāvatiṣṭhante /	giri-nadI-jala-capala-caQcala-upamAH AyuH saMskArAH muhUrttam api na-avatizWante /
   apramādenāyuṣmantehi sampādayitavyaṃ / tat kasya hetoḥ? apramādādhigatānāṃ	apramAdena-Ayuzmantehi sampAdayitavyam / tat kasya hetoH? apramAda-aDigatAnAm
   hi tathāgatānām arhatāṃ samyaksaṃbuddhānāṃ bodhiḥ / apramādādhigato	hi taTAgatAnAm arhatAm samyaksaMbudDAnAm boDiH / apramAda-aDigataH-
   cānuttaro upadhisaṃkṣayo ti vadāmi / tenāpramādenāyuṣmantehi	ca-anuttaraH upaDi-saMkzayaH ti vadAmi / tena-apramAdena-Ayuzmantehi
   saṃpādayitavyaṃ / daśārthavaśān sampaśyamānās tathāgatārhantaḥ	saMpAdayitavyam / daSa-arTa-vaSAn sampaSyamAnAH taTAgata-arhantaH
   samyaksaṃbuddhāḥ śrāvakāṇām adhiśīlaṃ śikṣāpadaṃ prajñāpayanti,	samyaksaMbudDAH SrAvakANAm aDiSIlam SikzA-padam prajQApayanti,
   pratimokṣaṃ ca sūtram uddiśanti / katamān daśa? saṃyyathīdaṃ (1)	pratimokzam ca sUtram uddiSanti / katamAn daSa? saMyyaTi-idam (1)
   saṃghasaṃgrahāya (2) saṃghasuṣṭhutāya (3) durmaṅkūnāṃ pudgalānāṃ nigrahāya	saMGa-saMgrahAya (2) saMGa-suzWutAya (3) durmaFkUnAm pudgalAnAm nigrahAya
   (4) peśalānāṃ ca bhikṣūṇāṃ phāsuvihārāya (5) aprasannānāṃ prasādāya (6)	(4) peSalAnAm ca BikzUNAm PAsu-vihArAya (5) aprasannAnAm prasAdAya (6)
   prasannānāṃ ca bhūyobhāvāya dṛṣṭadhārmikāṇām āśravāṇāṃ nirghātāya (8)	prasannAnAm ca BUyas-BAvAya dRzwa-DArmikANAm ASravANAm nirGAtAya (8)
   samparāyikāṇām āśravāṇām āyatyām ananuśravaṇatāya (9) yathemaṃ syāt	samparAyikANAm ASravANAm AyatyAm ananuSravaNa-tAya (9) yaTA-imam syAt-
   prāvacanaṃ cirasthitikaṃ (10) bāhujanyaṃ vivṛtaṃ suprakāśitaṃ yāvad	prAvacanam cira-sTitikam (10) bAhu-janyam vivRtam su-prakASitam yAvat-
   devamanuṣyeṣv iti / imān daśārthavaśān saṃpaśyamānās tathāgatā arhantaḥ	deva-manuzyezu iti / imAn daSa-arTa-vaSAn saMpaSyamAnAH taTAgatAH arhantaH
   samyaksambuddhāḥ śrāvakāṇām adhiśīlaṃ śikṣāpadaṃ prajñāpayanti prātimokṣaṃ	samyaksambudDAH SrAvakANAm aDiSIlam SikzA-padam prajQApayanti prAtimokzam
   ca sūtram uddiśanti /	ca sUtram uddiSanti /
   prātimokṣam āyuṣmanto sūtram uddiśiṣyāmi / taṃ śṛṇuta sādhu ca suṣṭhu ca	prAtimokzam AyuzmantaH sUtram uddiSizyAmi / tam SRNuta sADu ca suzWu ca
   manasi kuruta / bhāṣiṣyāmi / yasya vo siyāpattiḥ so 'viṣkarotu, asantīye	manasi kuruta / BAzizyAmi / yasya vaH siyApattiH saH avizkarotu, asantIye
   āpattīye tūṣṇīṃ bhavitavyaṃ / tūṣṇīmbhāvena kho punar āyuṣmanto pariśuddhā	ApattIye tUzNIm Bavitavyam / tUzNImBAvena KaH punar AyuzmantaH pariSudDA
   iti vedayiṣyāmi / yathā kho punar āyuṣmanto pratyekaṃ pratyekaṃ	iti vedayizyAmi / yaTA KaH punar AyuzmantaH pratyekam pratyekam
   pṛcchitasya bhikṣusya vyākaraṇaṃ bhavati evam eva rūpāye bhikṣuparṣāye	pRcCitasya Bikzusya vyAkaraNam Bavati evam eva rUpAye Bikzu-parzAye
   yāvantṛtīyakaṃ samanuśrāvayiṣyati / yo puna bhikṣu evaṃrūpāye	yAvantRtIyakam samanuSrAvayizyati / yaH puna Bikzu evaMrUpAye
   bhikṣuparṣāye yāvantṛtīyakaṃ samanuśrāviyamāṇo smaramāṇo santīm āpattiṃ	Bikzu-parzAye yAvantRtIyakam samanuSrAviyamANaH smaramANaH santIm Apattim
   nāviṣkaroti saṃprajānamṛṣāvādo se bhavati / saṃprajānamṛṣāvādo kho punar	na-Avizkaroti saMprajAnam-RzA-vAdaH se Bavati / saMprajAnamRzA-vAdaH KaH punar-
   āyuṣmanto āntarāyiko dharmo ukto bhagavatā / tasmāt smaramāṇena bhikṣuṇā	AyuzmantaH AntarAyikaH DarmaH uktaH BagavatA / tasmAt smaramANena BikzuNA
   āpannena viśuddhiprekṣeṇa santī āpattī āviṣkartavyā / āviṣkṛtvā ca se	Apannena viSudDi-prekzeNa santI ApattI AvizkartavyA / AvizkRtvA ca se
   phāsu bhavati, no anāviṣkṛtvā /	PAsu Bavati, naH anAvizkRtvA /
   // [iti] nidānaṃ //	// [iti] nidAnam //
   [I. catvāraḥ pārājikā dharmāḥ]	[I. catvAraH pArAjikAH DarmAH]
   ime kho punar āyuṣmanto catvāraḥ pārājikā dharmā anvardhamāsaṃ sūtre	ime KaH punar AyuzmantaH catvAraH pArAjikA DarmAH anvarDa-mAsam sUtre
   prātimokṣe uddeśam āgacchanti /	prAtimokze uddeSam AgacCanti /
   PrMoSū(Mā-L)Pār.1. yo puna bhikṣu bhikṣūṇāṃ śikṣāsāmīcīsamāpanno śikṣām	PrMoSU(MA-L)-PAr.1. yaH puna Bikzu BikzUNAm SikzA-sAmIcI-samApannaH SikzAm
   apratyākhyāya daurbalyam anāviṣkṛtvā maithunaṃ grāmyadharmaṃ pratiṣeveya	apratyAKyAya dOrbalyam anAvizkRtvA mETunam grAmya-Darmam pratizeveya
   antamaśato tiryagyonigatāyam api sādham ayaṃ bhikṣuḥ pārājiko bhavaty	antam-aSataH tiryagyoni-gata-ayam api sADam ayam BikzuH pArAjikaH Bavati-
   asaṃvāsyo, na labhate bhikṣūhi sārdhasaṃvāsaṃ /	asaMvAsyo, na laBate BikzUhi sArDa-saMvAsam /
   idaṃ bhagavatā veśālīyaṃ śikṣāpadaṃ prajñaptaṃ pañcavarṣābhisaṃbuddhena	idam BagavatA veSAlIyam SikzA-padam prajQaptam paQca-varza-aBisaMbudDena
   hemantapakṣe pañcame, divase dvādaśame, purebhaktam uttarāmukhaniṣaṇṇena	hemanta-pakze paQcame, divase dvAdaSame, pureBaktam uttarA-muKa-nizaNNena
   dvyardhapauruṣāyāṃ cchāyāyāṃ, āyuṣmantaṃ yaśikaṃ kalandakaputram ārabhya /	dvi-arDa-pOruzAyAm cCAyAyAn, Ayuzmantam yaSikam kalandaka-putram AraBya /
   imasya ca śikṣāpadasya prajñaptir dharmo, yathāpraṇihitasya ca yā	imasya ca SikzA-padasya prajQaptiH Darmo, yaTApraNihitasya ca yA
   anuvartanatā ayam ucyate anudharmo /	anuvartana-tA ayam ucyate anuDarmaH /
   PrMoSū(Mā-L)Pār.2. yo puna bhikṣu grāmād vā araṇyād vā adinnam anyātakaṃ	PrMoSU(MA-L)-PAr.2. yaH puna Bikzu grAmAt vE araNyAt vE adinnam anyAtakam
   stainasaṃskāram ādiyeya yathārūpeṇādinnādānena [rā]jāno gṛhītvā haneṃsu vā	sta-ena-saMskAram Adiyeya yaTArUpeNa-AdinnAdAnena [rA]-jAnaH gRhItvA haneMsu vA
   bandheṃsu vā pravrājeṃsu vā hambho puruṣa coro 'si bālo 'si mūḍho 'si	banDeMsu vA pravrAjeMsu vA hamBaH puruza coraH asi bAlaH asi mUXaH asi
   stainyo 'sīti vā vadeṃsu, tathārūpaṃ bhikṣur adinnam ādiyamāno ayam pi	stEnyaH asi-iti vA vadeMsu, taTArUpam BikzuH adinnam AdiyamAnaH ayam pi
   bhikṣuḥ pārājiko bhavaty asaṃvāsyo, na labhate bhikṣūhi sārdhasaṃvāsaṃ /	BikzuH pArAjikaH Bavati asaMvAsyo, na laBate BikzUhi sArDa-saMvAsam /
   idaṃ bhagavatā rājagṛhe śikṣāpadaṃ prajñaptaṃ ṣaḍvarṣābhisambuddhena	idam BagavatA rAja-gRhe SikzA-padam prajQaptam zaz-varza-aBisambudDena
   hemantapakṣe dvitī[ye, di]vase navame, paścādbhaktaṃ purastān	hemanta-pakze dvitI[ye, di]vase navame, paScAt-Baktam purastAn
   mukhaniṣaṇṇena aḍḍhātīyapauruṣāyāṃ cchāyāyām āyuṣmantaṃ dhanikaṃ	muKa-nizaNNena axXAtIya-pOruzAyAm cCAyAyAm Ayuzmantam Danikam
   kumbhakārajātīyam ārabhya rājānaṃ ca śreṇīyaṃ bimbasāraṃ pāṃsukūlikaṃ ca	kumBakAra-jAtIyam AraBya rAjAnam ca SreNIyam bimba-sAram pAMsukUlikam ca
   bhikṣaṃ / imasya ca śikṣāpadasya prajñaptir dharmo yathāpraṇihitasya ca yā	Bikzam / imasya ca SikzA-padasya prajQaptiH DarmaH yaTApraNihitasya ca yA
   anuvartanatā ayam ucyate anudharmo /	anuvartana-tA ayam ucyate anuDarmaH /
   PrMoSū(Mā-L)Pār.3. yo puna bhikṣuḥ svahastaṃ manuṣyavigrahaṃ jīvitād	PrMoSU(MA-L)-PAr.3. yaH puna BikzuH sva-hastam manuzya-vigraham jIvitAt-
   vyaparopeya śastrahārakaṃ vāsya paryeṣeya, maraṇāya cainaṃ samādāpeya,	vyaparopeya Sastra-hArakam vA-asya paryezeya, maraNAya ca-enam samAdApeya,
   maraṇavarṇaṃ vāsya saṃvarṇeya Ō hambho puruṣa kiṃ te iminā pāpakena	maraNa-varNam vA-asya saMvarNeya Ō hamBaH puruza kim te iminA pApakena
   durjīvitena dhigjīvitena, mṛtaṃ te jīvitāc chreyo Ō iti cittam alaṃ	durjIvitena Dik-jIvitena, mRtam te jIvitAt SreyaH Ō iti cittam alam
   cittasaṃkalpam anekaparyāyeṇa maraṇāya vainaṃ samādāpeya maraṇavarṇaṃ	citta-saMkalpam aneka-paryAyeNa maraNAya vA-enam samAdApeya maraNa-varNam
   vāsya saṃvarṇeya, so ca puruṣo tenopakrameṇa kālaṃ kuryān nānyena, ayaṃ pi	vA-asya saMvarNeya, saH ca puruzaH tena-upakrameNa kAlam kuryAt na-anyena, ayam pi
   bhikṣuḥ pārājiko bhavaty asaṃvāsyo, na labhate bhikṣūhi sārdhasaṃvāsaṃ /	BikzuH pArAjikaH Bavati asaMvAsyo, na laBate BikzUhi sArDa-saMvAsam /
   idaṃ bhagavatā veśālīyaṃ śikṣāpadaṃ prajñaptaṃ ṣaḍvarṣābhisambuddhena	idam BagavatA veSAlIyam SikzA-padam prajQaptam zaz-varza-aBisambudDena
   hemantapakṣe tṛtīye, divase daśame, paścādbhaktaṃ purastān mukhaniṣaṇṇena	hemanta-pakze tRtIye, divase daSame, paScAt-Baktam purastAt muKa-nizaNNena
   aḍḍhātīyapauruṣāyāṃ cchāyāyāṃ sambahulān gilānopasthāpakān bhikṣūn ārabhya	axXAtIya-pOruzAyAm cCAyAyAm sambahulAn gilAna-upasTApakAn BikzUn AraBya
   mṛgadaṇḍikaṃ ca parivrājakaṃ / imasya ca śikṣāpadasya prajñaptir dharmo,	mRgadaNxikam ca parivrAjakam / imasya ca SikzA-padasya prajQaptiH DarmaH-,
   yathāpraṇihitasya ca yā anuvartanatā ayam ucyate anudharmo /	yaTApraNihitasya ca yA anuvartana-tA ayam ucyate anuDarmaH /
   PrMoSū(Mā-L)Pār.4. yo puna bhikṣur anabhijānann aparijānann ātmopanāyikam	PrMoSU(MA-L)-PAr.4. yaH puna BikzuH anaBijAnan aparijAnan Atma-upanAyikam
   uttarimanuṣyadharmam alamāryajñānadarśanaṃ viśeṣādhigamaṃ prātajāneya ita	uttari-manuzya-Darmam alam-Arya-jQAna-darSanam viSeza-aDigamam prAta-jAneyaH ita
   jānāmi ita paśyāmīti / so tad apareṇa samayena samanugrāhiyamāṇo vā	jAnAmi ita paSyAmi-iti / saH tat apareNa samayena samanugrAhiyamANaH vA
   asa[ma]nugrāhiyamāṇo vā āpanno viśuddhiprekṣo evam avaci Ō ajānann evāham	asa[m-a]nugrAhiyamANaH vA ApannaH viSudDi-prekzaH evam avaci Ō ajAnan eva-aham
   āyuṣmanto avaci jānāmi, apaśyan paśyāmīti / iti tucchaṃ mṛṣā vilāpam	AyuzmantaH avaci jAnAmi, apaSyan paSyAmi-iti / iti tucCam mRzA vilApam
   anyatrābhimānāt* ayaṃ pi bhikṣuḥ pārājiko bhavaty asaṃvāsyo na labhate	anyatra-aBimAnAt* ayam pi BikzuH pArAjikaH Bavati asaMvAsyaH na laBate
   bhikṣūhi sārdhasaṃvāsaṃ /	BikzUhi sArDa-saMvAsam /
   idaṃ bhagavatā śrāvastīyaṃ śikṣāpadaṃ prajñaptaṃ ṣaḍvarṣābhisambuddhena	idam BagavatA SrAvastIyam SikzA-padam prajQaptam zaz-varza-aBisambudDena
   hemantapakṣe caturthe, divase trayodaśame, purebhaktaṃ	hemanta-pakze caturTe, divase trayodaSame, pureBaktam
   uttarāmukhaniṣaṇṇena aḍḍhucchapauruṣāyāṃ cchāyāyāṃ saṃbahulān grāmavāsikān	uttarA-muKa-nizaNNena axXucCa-pOruzAyAm cCAyAyAm saMbahulAn grAma-vAsikAn
   bhikṣūn ārabhya ābhiyānikaṃ ca bhikṣuṃ / imasya ca śikṣāpadasya prajñaptir	BikzUn AraByaH ABiyAnikam ca Bikzum / imasya ca SikzA-padasya prajQaptiH-
   dharmo, yathā praṇihitasya ca yā anuvartanatā ayam ucyate anudharmo /	Darmo, yaTA praNihitasya ca yA anuvartana-tA ayam ucyate anuDarmaH /
   uddānaṃ	uddAnam
   (1) maithunam (2) adinnādānaṃ (3) vadho manuṣyavigrahasyā- (4) bhūtena	(1) mETunam (2) adinna-AdAnam (3) vaDaH manuzya-vigrahasyA (4) BUtena
   cottarimanuṣyadharmaṃ pratijānātīti /	ca-uttari-manuzya-Darmam pratijAnAti-iti /
   uddiṣṭāḥ kho punar āyuṣmanto catvāraḥ pārājikā dharmāḥ / yeṣāṃ bhikṣur ito	uddizwAH KaH punar AyuzmantaH catvAraH pArAjikAH DarmAH / yezAm BikzuH itas-
   'nyatarām āpattim āpadyitvā pārājiko bhavaty asaṃvāsyo na labhate bhikṣūhi	anyatarAm Apattim ApadyitvA pArAjikaH Bavati asaMvAsyaH na laBate BikzUhi
   sārdhasaṃvāsaṃ / yathā pūrve tathā paścād yathā paścāt tathā pūrve	sArDa-saMvAsam / yaTA pUrve taTA paScAt yaTA paScAt taTA pUrve
   pārājiko bhavaty asaṃvāsyo na labhate bhikṣūhi saṃvāsaṃ ḥ tatrāyuṣmanto	pArAjikaH Bavati asaMvAsyaH na laBate BikzUhi saMvAsam H tatra-AyuzmantaH-
   pṛcchāmi kaccittha pariśuddhāḥ? dvitīyaṃ pi āyuṣmanto pṛcchāmi kaccittha	pRcCAmi kaccitTa pariSudDAH? dvitIyam pi AyuzmantaH pRcCAmi kaccitTa
   pariśuddhāḥ? tṛtīyaṃ pi āyuṣmanto pṛcchāmi kaccittha pariśuddhāḥ?	pariSudDAH? tRtIyam pi AyuzmantaH pRcCAmi kaccitTa pariSudDAH?
