   vīryapāramitā daśamaḥ paricchedaḥ ||	vIrya-pAramitA daSamaH paricCedaH ||
   buddhapratibhānam upasaṃharanti ||	budDa-pratiBAnam upasaMharanti ||
   pe ||	pe ||
   parikṣīṇâyuṣkāṇāṃ buddhā bhagavanto devatāś câyurbalaṃ côpasaṃharanti |	parikzINâyuzkANAm budDAH BagavantaH devatAH câyuH-balam côpasaMharanti |
   buddhâdhiṣṭhānena devatâdhiṣṭhānena ca kāṅkṣāmāṇā varṣasahasram	budDâDizWA-anena devatâDizWAnena ca kAFkzAmANA varza-sahasram
   avatiṣṭhante ||	avatizWante ||
   pe ||	pe ||
   yāvat kalpaṃ vā kalpâvaśeṣaṃ vā yāvad vâkāṅkṣanti dharmagauravajātānāṃ	yAvat kalpam vA kalpâ-vaSezam vA yAvat vâkAFkzanti Darma-gOrava-jAtAnAm
   bodhisatvānāṃ buddhā bhagavanto jarām apy apanayanti |	boDisatvAnAm budDAH BagavantaH jarAm api apanayanti |
   vyādhīn apanayanti |	vyADIn apanayanti |
   smṛtim upasaṃharati |	smRtim upasaMharati |
   gatiṃ ma-	gatim ma-
   [ Bendall ed p190 ---> ]	[ Bet-dalt ed p190 ---> ]
   tiṃ pratibhānaṃ côpasaṃharanti ||	tim pratiBAnam côpasaMharanti ||
   pe ||	pe ||
   dṛṣṭikṛtāni vinodayanti |	dRzwi-kRtAni vinodayanti |
   samyagdṛṣṭiṃ côpasaṃharanti |	samyak-dRzwim côpasaMharanti |
   dharmagauraveṇa |	Darma-gOraveNa |
   vimalatejaḥ |	vimala-tejaH |
   bodhisatvānāṃ mahāsatvānāṃ sarvôpakramabhayāni na bhavanti |	boDisatvAnAm mahAsatvAnAm sarvôpakrama-BayAni na Bavanti |
   tasmāt tarhi vimalatejaḥ śrutasaṃbhārakauśalyâbhiyuktena bodhisatvena	tasmAt tarhi vimala-tejaH Sruta-saMBAra-kOSalyâBiyuktena boDisatvena
   bhavitavyam iti ||	Bavitavyam iti ||
   kim ākāraṃ śrutaṃ bodhisatvavinaye praśastaṃ |	kim AkAram Srutam boDisatva-vinaye praSastam |
   yathâryâkṣayamatisūtre 'bhihitaṃ |	yaTâri-âkzayam-atisUtre aBihitam |
   aśītyākārapraveśaṃ śrutaṃ |	aSIti-AkAra-praveSam Srutam |
   tad yathā |	tat yaTA |
   chandâkāram āśayâkāram adhyāśayâkāraṃ prayogâkāraṃ nirmāṇâkāram	CandâkAram ASayâkAram aDyASayâkAram prayogâkAram nirmANâkAram
   apramāṇâkāraṃ kalyāṇamitrâkāraṃ gauravâkāraṃ pradakṣiṇâkāraṃ suvacanâkāraṃ	apramANâkAram kalyANa-mitrâkAram gOravâkAram pradakziNâkAram su-vacanâ-kAram
   paryupāsanâkāram avahitaśrotrâkāraṃ manaskārâkāram avikṣepâkāram	paryupAsanâ-kAram avahita-SrotrâkAram manaskArâkAram avikzepâkAram
   avasthānâkāraṃ ratnasaṃjñâkāraṃ bhaiṣajyasaṃjñâkāraṃ	avasTAnâkAram ratna-saMjQâkAram BEzajya-saMjQâkAram
   sarvavyādhiśamanâkāraṃ smṛtibhajanâkāraṃ gatibodhanâkāraṃ matirocanâkāraṃ	sarva-vyADi-SamanâkAram smRti-BajanâkAram gati-boDanâkAram mati-rocanâ-kAram
   buddhipraveśâk	budDi-praveSâk
   āram atṛptabuddhadharmaśravaṇâkāraṃ tyāgavṛṃhaṇâkāraṃ dāntâjāneyâkāraṃ	Aram atRpta-budDa-Darma-SravaNâkAram tyAga-vRMhaNâkAram dAntâ-jAneyâ-kAram
   bahuśrutasevanâkāraṃ satyakṛtyaprītyanubhavanâkāraṃ kāyâudbilyâkāraṃ	bahu-Sruta-sevanâkAram satya-kRtya-prIti-anuBavanâkAram kAyâ-udbilyâ-kAram
   cittaprahlādanâkāram aparikhedaśravaṇâkāraṃ dharmaśravaṇâkāraṃ	citta-prahlAdanâ-kAram apariKeda-SravaNâkAram Darma-SravaNâkAram
   pratipattiśravaṇâkāraṃ paradeśanāśravaṇâkāraṃ aśrutaśravaṇâkāraṃ	pratipatti-SravaNâkAram para-deSanA-SravaNâkAram aSruta-SravaNâkAram
   abhijñāśravaṇâkāram anyayānâspṛhaṇāśravaṇâkāraṃ prajñāpāramitāśravaṇâkāraṃ	aBijQA-SravaNâkAram anya-yAnâ-spRhaNa-aSravaNâkAram prajQApAramitA-SravaNâkAram
   bodhisatvapiṭakaśravaṇâkāraṃ saṃgrahavastuśravaṇâkāram	boDisatva-piwaka-SravaNâkAram saMgraha-vastu-SravaNâkAram
   upāyakauśalyaśravaṇâkāraṃ brahmavi-	upAya-kOSalya-SravaNâkAram brahma-vi-
   [ Cambridge MS f90a ---> ]	[ Cambridge M f90aH ---> ]
   hāraśravaṇâkāraṃ smṛtisaṃprajanyaśravaṇâkāraṃ gauravâkāraṃ	hAra-SravaNâkAram smRti-saMprajanya-SravaNâkAram gOravâkAram
   utpādakauśalyaśravaṇâkāram anutpādakauśalyaśravaṇâkāram aśubhâkāraṃ	utpAda-kOSalya-SravaNâkAram anutpAda-kOSalya-SravaNâkAram aSuBâkAram
   maitryāḥ śravaṇâkāraṃ pratītyasamutpādâkāraṃ anityâkāraṃ duṣkhâkāram	mEtryAH SravaNâkAram pratItyasamutpAdâkAram anityâkAram duzKâkAram
   anātmâkāraṃ śāntâkāraṃ śūnyatānimittâpraṇihitâkāraṃ anabhisaṃs	anAtmâkAram SAntâkAram SUnyatA-nimittâ-praNihitâkAram anaBisaMs
   kārâkāraṃ kuśalâbhisaṃskārâkāraṃ satvâdhiṣṭhānâkāraṃ avipraṇāśâkāraṃ	kArâkAram kuSalâBi-saMskArâkAram satvâDizWAnâkAram avipraNASâkAram
   svâdhīnâkāraṃ svacittârakṣaṇâkāraṃ vīryasyâśraṃsanâkāraṃ	svâDInâkAram sva-cittâ-rakzaNâkAram vIryasyâSraMsanâ-kAram
   dharmanidhyaptyākāraṃ kleśavipakṣâkāraṃ svapakṣaparikarṣaṇâkāraṃ	Darma-niDi-apti-AkAram kleSa-vipakzâkAram sva-pakza-parikarzaNâkAram
   parapakṣakleśanigrahâkāraṃ saptadhanasamavaśaraṇâkāraṃ	para-pakza-kleSa-nigrahâkAram sapta-Dana-samavaSaraNâkAram
   sarvadāridryôpachedâkāraṃ sarvavidvatpraśastâkāraṃ paṇḍitâbhinandanâkāraṃ	sarvadAridryô-paCet-âkAram sarva-vidvat-praSastâkAram paNxitâBinandanâ-kAram
   āryasaṃmatâkāraṃ anāryaprasādanâkāraṃ satyadarśanâkāraṃ	Arya-saMmatâ-kAram anArya-prasAdanâkAram satya-darSanâ-kAram
   skandhadoṣavivarja-	skanDa-doza-vivarja-
   [ Bendall ed p191 ---> ]	[ Bet-dalt ed p191 ---> ]
   nâkāraṃ saṃskṛtadoṣaparitulanâkāram arthapratiśaraṇâkāraṃ	nâkAram saMskRta-doza-paritulanâkAram arTa-pratiSaraNâ-kAram
   dharmapratiśaraṇâkāraṃ sarvapāpâkaraṇâkāraṃ ātmaparahitâkāraṃ	Darma-pratiSaraNâkAram sarva-pApâkaraNâkAram Atma-para-hitâkAram
   sukṛtakarmânanutapyanâkāraṃ viśeṣagamanâkāraṃ	su-kRta-karmân-anutapi-anâkAram viSeza-gamanâ-kAram
   sarvabuddhadharmapratilābhâkāram iti ||	sarva-budDa-Darma-pratilABâkAram iti ||
   punar atrâivâha |	punar atrâivâha |
   yaś ca dharmasaṃbhārayogaḥ sâivâsya jñānasaṃbhāro bhavati |	yaH ca Darma-saMBAra-yogaH sâivâsya jQAna-saMBAraH Bavati |
   tatra katamo dharmasaṃbhārayogo yêyam	tatra katamaH Darma-saMBAra-yogaH yêyam
   alpârthatâlpakṛtyatâlpabhāṣatâlpapariṣkāratā pūrvarātrâpararātraṃ	alpârTa-tâlpa-kRtya-tâlpa-BAzatâlpa-parizkAra-tA pUrvarAtrâ-pararAtram
   jāgarikāyogam anuyuktasya śrutârthaparitulanatā |	jAgarikA-yogam anuyuktasya SrutârTa-paritulana-tA |
   bhūyo bhūyaḥ paryeṣaṇatā |	BUyas BUyas paryezaNa-tA |
   cittasyânāvilatā |	cittasyânAvila-tA |
   nīvaraṇānāṃ viṣkambhanatā |	nIvaraNAnAm vizkamBanatA |
   āpattiṣu niḥśaraṇajñānaṃ |	Apattizu niHSaraNa-jQAnam |
   akaukṛtyatā |	akOkRtyatA |
   aparyutthānatā |	aparyutTAna-tA |
   pratipattisāratā |	pratipatti-sAra-tA |
   dharmanimnatā dharmapravaṇatā dharmaprāgbhāratā |	Darma-nimna-tA Darma-pravaNa-tA Darma-prAk-BAra-tA |
   parākramasaṃpannatâdīptaśiraścailôpamatā jñānaparyeṣṭyā |	parAkrama-saMpannatâ-dIpta-SiraH-ca-elôpamatA jQAna-paryezwyA |
   tanmayavihāritā |	tad-maya-vihAritAH |
   aśithilaśīlatânikṣiptadhuratā viśeṣagāmitā saṃgaṇikāvivarjanam	aSiTila-SIla-tâ-nikzipta-Dura-tA viSeza-gAmitA saMgaNikA-vivarjanam
   ekârāmatâraṇyâbhimukhamanaskāratâryavaṃśasantuṣṭiḥ dhutaguṇeṣv acalanatā	ekârAma-târaNI-âBimuKa-manaskAra-târya-vaMSa-santuzwiH Duta-guNezu acalana-tA
   dharmârāmaratiratatā laukikamantrâsmaraṇatā lokôttaradharmaparyeṣṭitā	DarmârAma-rati-ratatA lOkika-mantrâsmaraNa-tA lokôttara-Darma-paryezwitA
   smṛtyapramoṣatā |	smRtyapramoza-tA |
   arthagatyanuga-	arTa-gati-anuga-
   [ Cambridge MS f90b ---> ]	[ Cambridge M f90B ---> ]
   matā |	matA |
   matyā mārgânulomatā |	matyA mArgânulomatA |
   dhṛtyā saṃvarapratyayair jñānâ-	DRtyA saMvara-pratyayEH jQAnâ-
   [ Bendall ed p192 ---> ]	[ Bet-dalt ed p192 ---> ]
   nugamaḥ |	nugamaH |
   hrīrapatrāpyâlaṃkāratā |	hrIH-apatra-api-âlaMkAra-tA |
   jñānânugamanasāratā |	jQAnânuga-mana-sAra-tA |
   ajñānavidhamanatā |	ajQAna-viDamana-tA |
   avidyāmohatamastimirapaṭalaparyavanaddhasya prajñācakṣurviśuddhiḥ |	avidyA-moha-tamaH-timira-pawala-paryavanadDasya prajQAcakzuH-viSudDiH |
   suviśuddhabuddhitā |	su-viSudDa-budDi-tA |
   buddhivistīrṇatā |	budDi-vistIrNa-tA |
   asaṃkucitabuddhitā prabhinnabuddhitā |	asaMkucita-budDi-tA praBinna-budDi-tA |
   pratyakṣabuddhitā |	pratyakza-budDi-tA |
   aparâdhīnaguṇatā |	aparâDIna-guNa-tA |
   svaguṇair amanyanatā |	sva-guNEH amanyanatA |
   paraguṇaparikīrtanatā |	para-guNa-parikIrtana-tA |
   sukṛtakarmakāritā |	sukRta-karma-kAritA |
   karmavipākânuddhuratā |	karma-vipAkâ-nudDura-tA |
   karmapariśuddhijñānam iti ||	karma-pariSudDi-jQAnam iti ||
   kiṃ śrotavyaṃ |	kim Srotavyam |
   uktaṃ bhagavatā jñānavaipulyasūtre |	uktam BagavatA jQAna-vEpulya-sUtre |
   sârthakāni śāstrāṇi śikṣitavyāni |	sârTakAni SAstrANi SikzitavyAni |
   apârthakāni parivarjayitavyāni |	apârTakAni parivarjayitavyAni |
   tad yathā |	tat yaTA |
   lokâyataśāstrāṇi daṇḍanītiśāstrāṇi kārkhedaśāstrāṇi vādavidyāśāstrāṇi	lokâyata-SAstrANi daNxanIti-SAstrANi kArKeda-SAstrANi vAda-vidyA-SAstrANi
   kumārakrīḍāśāstrāṇi jambhakavidyāśāstrāṇi ||	kumAra-krIxA-SAstrANi jamBaka-vidyA-SAstrANi ||
   pe ||	pe ||
   yāny api tad anyāni kānicin mokṣapratikūlāni śāstrāṇi saṃmohāya	yAni api tat anyAni kAnicid mokza-pratikUlAni SAstrANi saMmohAya
   saṃvartante tāni sarvāṇi bodhisatvayānasaṃprasthitena parivarjayitavyānîti	saMvartante tAni sarvANi boDisatva-yAna-saMprasTitena parivarjayitavyAn-îti
   evaṃ śrutavatā cittaṃ śodhayitum araṇyam āśrayaṇīyaṃ |	evam SrutavatA cittam SoDayitum araNyam ASrayaNIyam |
   kathaṃ punar āśayasaṃpannasyâpy ugradattaparipṛcchāyāṃ gṛham anujñātaṃ |	kaTam punar ASaya-saMpannasi-âpi ugra-datta-paripRcCAyAm gRham anujQAtam |
   yatnavato 'py asāmarthyāt |	yatnavataH api asAmarTyAt |
   paradārâdiṣv api tarhi nâpattiḥ syāt |	para-dArâdizu api tarhi nâpattiH syAt |
   na teṣām asāmarthye 'pi prakṛtiduṣṭatvād gṛhâvāsasya ca	na tezAm asAmarTye api prakRti-duzwa-tvAt gRhâvAsasya ca
   prajñaptisâvadyatvād iti ||	prajQapti-sâvadya-tvAt iti ||
   iti śikṣāsamuccaye vīryapāramitā paricchedo daśamaḥ ||	iti SikzAsamuccaye vIrya-pAramitA paricCedaH daSamaH ||
   Copyright (c) 2002 by Jens Braarvig - Oslo	CopyriGt (c) 2002 bi Jens Braarvij  Oslo
