   oṃ namaḥ sarvajñāya //	om namaH sarvajQAya //
   mustākhuparṇīphaladāruśigrukvāthaḥ sakṛṣṇākṛmiśatrukalkaḥ /	mustA-KuparNI-Pala-dAru-Sigru-kvATaH sa-kRzNA-kRmi-Satru-kalkaH /
   mārgadvayenāpi cirapravṛttān kṛmīn nihanyāt kṛmijāṃś ca rogān // Yś_13 //	mArga-dvayena-api cira-pravRttAn kRmIn nihanyAt kRmijAn ca rogAn // YH-_13 //
   elopakulyāmadhukāśmabhedakauntīśvadaṃṣṭrāvṛṣakorubūkaiḥ /	elA-upakulyA-maDuka-aSma-Beda-kOntI-SvadaMzwrA-vRzaka-urubUkEH /
   śṛtaṃ pibed aśmajatupradhānaṃ saśarkare sāśmarimūtrakṛcchre // Yś_14 //	SRtam pibet aSmajatu-praDAnam sa-Sarkare sa-aSmari-mUtra-kRcCre // YH-_14 //
   elāśmabhedakaśilājatupippalīnāṃ cūrṇāni taṇḍulajalair lulitāni pītvā /	elA-aSma-Bedaka-SilAjatu-pippalInAm cUrNAni taNxula-jalEH lulitAni pItvA /
   yad vā guḍena sahitāny avalehyamānāny āsannamṛtyur api jīvati mūtrakṛcchrī	yat vA guxena sahitAni avalehyamAnAni Asanna-mRtyuH api jIvati mUtrakRcCrI
   // Yś_15 //	// YH-_15 //
   harītakīgokṣurarājavṛkṣapāṣāṇabhiddhanvayavāsakānām /	harItakI-gokzura-rAjavRkza-pAzANa-Bid-Danvaya-vAsakAnAm /
   kvāthaṃ piben mākṣikasaṃprayuktaṃ kṛcchre sadāhe saruje vibandhe // Yś_16	kvATam pibet mAkzika-saMprayuktam kRcCre sa-dAhe sa-ruje vibanDe // YH-_16
   vāsāguḍūcīcaturaṅgulānām eraṇḍatailena pibet kaṣāyam /	vAsA-guxUcI-catur-aFgulAnAm eraNxa-tElena pibet kazAyam /
   krameṇa sarvāṅgajam apy aśeṣaṃ jayed asṛgvātabhavaṃ vikāram // Yś_17 //	krameNa sarva-aFga-jam api aSezam jayet asRk-vAta-Bavam vikAram // YH-_17 //
   rasāñjanaṃ taṇḍulakasya mūlaṃ kṣaudrānvitaṃ taṇḍulatoyapītam /	rasAQjanam taNxulakasya mUlam kzOdra-anvitam taNxula-toya-pItam /
   asṛgdaraṃ sarvabhavaṃ nihanti śvāsaṃ ca bhārgī saha nāgareṇa // Yś_18 //	asRgdaram sarva-Bavam nihanti SvAsam ca BArgI saha nAgareNa // YH-_18 //
   eraṇḍabilvabṛhatīdvayamātuluṅgapāṣāṇabhittrikaṭamūlakṛtaṃ kaṣāyaḥ /	eraNxa-bilva-bRhatI-dvaya-mAtuluFga-pAzANa-Bid-trikawa-mUla-kRtam kazAyaH /
   sakṣārahiṅgulavaṇoruhutailamiśraḥ śroṇyaṃsameḍhrahṛdayastanarukṣu peyaḥ //	sa-kzAra-hiFgu-lavaNoruhu-tEla-miSraH SroNi-aMsa-meXra-hRdaya-stana-rukzu peyaH //
   Yś_19 //	YH-_19 //
   hiṅgūgragandhāviḍaśuṇṭhyajājīharītakīpuṣkaramūlakuṣṭham /	hiFgu-ugra-ganDA-vixa-SuNWI-a-jAjI-harItakI-puzkara-mUla-kuzWam /
   bhāgottaraṃ cūrṇitam etad iṣṭaṃ gulmodarājīrṇavisūcikāsu // Yś_20 //	BAga-uttaram cUrNitam etat izwam gulmodara-ajIrNa-visUcikAsu // YH-_20 //
   cūrṇaṃ samaṃ rucakahiṅgumahauṣadhānām śuṇṭhyambunā kaphasamīraṇasaṃbhavāsu	cUrNam samam rucaka-hiFgu-mahOzaDAnAm SuNWI-ambunA kaPa-samIraNa-saMBavAsu
   hṛtpārśvapṛṣṭhajaṭharārtivisūcikāsu peyaṃ tathā yavarasena ca viḍvibandhe	hRd-pArSva-pRzWa-jaWara-Arti-visUcikAsu peyam taTA yava-rasena ca viz-vibanDe
   // Yś_21 //	// YH-_21 //
   pūtīkapatragajacirbhiṭacavyavahni vyoṣaṃ ca saṃstaracitaṃ lavaṇopadhānam /	pUtIka-patra-gaja-cirBiwa-cavya-vahni vyozam ca saMstara-citam lavaNa-upaDAnam /
   dagdhvā vicūrṇya dadhimastuyutaṃ prayojyaṃ	dagDvA vicUrNya daDi-mastu-yutam prayojyam
   gulmodaraśvayathupāṇḍugudodbhaveṣu // Yś_22 //	gulmodara-SvayaTu-pANxu-guda-udBavezu // YH-_22 //
   dviruttarā hiṅgu vacā sakuṣṭhā suvarcikā ceti viḍaṃ ca cūrṇam /	dvis-uttarA hiFgu vacA sakuzWA suvarcikA ca-iti vixam ca cUrNam /
   uṣṇāmbunānāhavisūcikārtihṛdrogagulmordhvasamīraṇaghnam // Yś_23 //	uzNa-ambunA-AnAha-visUcikA-Arti-hRd-roga-gulma-UrDva-samIraNa-Gnam // YH-_23 //
   śṛṅgīkaṭutrikaphalatrayakaṇṭakārībhārgīsapuṣkarajaṭā lavaṇāni pañca /	SRFgI-kawutrika-Palatraya-kaNwakArI-BArgI-sa-puzkarajawAH lavaNAni paQca /
   cūrṇaṃ pibed aśiśireṇa jalena hikkāśvāsordhvavātakasanārucipīnaseṣu //	cUrNam pibet aSiSireNa jalena hikkA-SvAsa-UrDva-vAtaka-sanA-aruci-pInasezu //
   Yś_24 //	YH-_24 //
   nādeyīkuṭajārkaśigrubṛhatīsnugbilvabhallātaka-	nAdeyI-kuwaja-arka-Sigru-bRhatI-snuh-bilva-BallAtaka-
   vyāghrīkiṃśukapāribhadrakajaṭāpāmārganīpāgnikān /	vyAGrI-kiMSuka-pAriBadraka-jawA-apAmArga-nIpa-agnikAn /
   vāsāmuṣkakapāṭalāḥ salavaṇā dagdhvā rasaṃ pācitaṃ	vAsA-muzka-kapAwalAH sa-lavaNA dagDvA rasam pAcitam
   hiṅgvādiprativāpam etad ucitaṃ gulmodaraplīhiṣu // Yś_25 //	hiFgu-Adi-prativApam etat ucitam gulmodara-plIhizu // YH-_25 //
   cavyamlavetasakaṭutrikatittiḍīkatālīsajīrakatugādahanaiḥ samāṃśaiḥ /	cavyamlavetasa-kawutrika-tittixIka-tAlI-sa-jIraka-tugA-dahanEH sama-aMSEH /
   cūrṇaṃ guḍapramṛditaṃ trisugandhiyuktaṃ vaisvaryapīnasakaphāruciṣu	cUrNam guxa-pramRditam trisuganDi-yuktam vEsvarya-pInasa-kaPa-arucizu
   praśastam // Yś_26 //	praSastam // YH-_26 //
   tālīsacavyamaricaṃ sadṛśaṃ dviraṃśaṃ mūlaṃ tugāṃ magadhajāṃ triguṇāṃ ca	tAlIsa-cavya-maricam sadRSam dvis-aMSam mUlam tugAm magaDa-jAm triguNAm ca
   śuṇṭhīm /	SuNWIm /
   kṛtvā guḍatriguṇitāṃ guḍikāṃ sugandhāṃ kāsāgnimāndyagudajajvararukṣu	kRtvA guxa-tri-guNitAm guxikAm suganDAm kAsa-agni-mAndya-gudaja-jvara-rukzu
   dadyāt // Yś_27 //	dadyAt // YH-_27 //
   suṇṭhīkaṇāmaricanāgadalatvagelaṃ cūrṇīkṛtaṃ kramavivardhitam ūrdhvam	suNWI-kaNA-marica-nAga-dala-tvagelam cUrNIkRtam krama-vivarDitam UrDvam
   antyāt /	antyAt /
   khāded idaṃ samasitaṃ gudajāgnimāndyagulmāruciśvasanakaṇṭhahṛdāmayeṣu //	KAdet idam samasitam gudaja-agni-mAndya-gulma-aruci-Svasana-kaNWa-hRd-Amayezu //
   Yś_28 //	YH-_28 //
   sindhūtthahiṅgutriphalāyavānīvyoṣair guḍāṃśair guḍikāṃ prakuryāt /	sinDUtTa-hiFgu-triPalA-yavAnI-vyozEH guxa-aMSEH guxikAm prakuryAt /
   tair bhakṣitais tṛptim avāpnuvan na bhuñjīta mandāgnir api prabhūtam //	tEH BakzitEH tRptim avApnuvat na BuQjIta manda-agniH api praBUtam //
   Yś_29 //	YH-_29 //
   ayastilatryūṣaṇakolabhāgaiḥ sarvaiḥ samaṃ mākṣikadhātucūrṇam /	ayaH-tila-tryUzaNa-kola-BAgEH sarvEH samam mAkzika-DAtu-cUrNam /
   tair modakaḥ kṣaudrayuto 'nutakraḥ pāṇḍvāmaye dūragate 'pi śastaḥ // Yś_30	tEH modakaH kzOdra-yutaH anutakraH pANxu-Amaye dUra-gate api SastaH // YH-_30
   guḍena śuṇṭhīm athavopakulyāṃ pathyātṛtīyām atha dāḍimaṃ ca /	guxena SuNWIm aTavA-upakulyAm paTyA-tRtIyAm aTa dAximam ca /
   āmeṣv ajīrṇeṣu gudāmayeṣu varcovibandheṣu ca nityam adyāt // Yś_31 //	Amezu ajIrNezu guda-Amayezu varcaH-vibanDezu ca nityam adyAt // YH-_31 //
   harītakīnāgaramustacūrṇaṃ guḍena sārdhaṃ guṭikā vidheyā /	harItakI-nAgara-musta-cUrNam guxena sArDam guwikA viDeyAH /
   nivārayaty āsyavidhāriteyaṃ śvāsaṃ pravṛddhaṃ prabalaṃ ca kāsam // Yś_32	nivArayati Asya-viDAritA-iyam SvAsam pravRdDam prabalam ca kAsam // YH-_32
   vaṭaprarohaṃ madhu kuṣṭham utpalaṃ salājacūrṇaṃ guḍikāṃ prakalpayet /	vawa-praroham maDu kuzWam utpalam sa-lAja-cUrNam guxikAm prakalpayet /
   susaṃhitā sā vadanena dhāritā tṛṣṇāṃ pravṛddhām api hanti satvaram //	su-saMhitA sA vadanena DAritA tRzNAm pravRdDAm api hanti sa-tvaram //
   Yś_33 //	YH-_33 //
   manaḥśilāmāgadhikoṣaṇānāṃ cūrṇaṃ kapitthāmlarasena yuktam /	manaHSilA-mAgaDi-kozaNAnAm cUrNam kapitTa-amla-rasena yuktam /
   lājaiḥ samāṃśair madhunāvalīḍhaṃ chardiṃ prasaktām asakṛn nihanti // Yś_34	lAjEH sama-aMSEH maDunA-avalIXam Cardim prasaktAm asakRt nihanti // YH-_34
   dūrvāraso dāḍimapuṣpajo vā ghrāṇapravṛtte 'sṛji nasyam uktam /	dUrvA-rasaH dAxima-puzpa-jaH vA GrANa-pravRtte asRji nasyam uktam /
   stanyena vālaktarasena vāpi viṇ makṣikānāṃ ca nihanti hikkām // Yś_35 //	stanyena vA-alakta-rasena vA-api viz makzikAnAm ca nihanti hikkAm // YH-_35 //
   dhātrīrasaḥ sarjarasaḥ sapākyaḥ sauvīrapiṣṭaś ca tadāsutaś ca /	DAtrI-rasaH sarjarasaH sa-pAkyaH sOvIra-pizwaH ca tadAsutaH ca /
   bhavanti sidhmāni yathā na bhūyas tathaivam udvartanakaṃ karoti // Yś_36	Bavanti siDmAni yaTA na BUyas taTA-evam udvartanakam karoti // YH-_36
   dūrvābhayāsaindhavacakramardakuṭherakāḥ kāñjikatakrapiṣṭāḥ /	dUrvA-aBayA-sEnDava-cakramarda-kuWerakAH kAQjika-takra-pizwAH /
   tribhiḥ pralepair api baddhamūlāṃ dadruṃ ca kaṇḍuṃ ca vināśayanti // Yś_37	triBiH pralepEH api badDa-mUlAm dadrum ca kaNxum ca vinASayanti // YH-_37
   gaṇḍīrikacitrakamārkavārkakuṣṭhadrumatvaglavaṇaiḥ samūtraiḥ /	gaNxIrika-citraka-mArkava-arka-kuzWa-druma-tvac-lavaNEH sa-mUtrEH /
   tailaṃ pacen maṇḍalakuṣṭhadadruduṣṭavraṇāruk kiṭimāpahāri // Yś_38 //	tElam pacet maNxala-kuzWa-dadru-duzwavraNA-ruj kiwimA-apahAri // YH-_38 //
   sindūraguggulurasāñjanasikthatutthais tulyāṃśakaiḥ kaṭukatailam idaṃ	sindUra-guggulu-rasAQjana-sikTa-tutTEH tulya-aMSakEH kawuka-tElam idam
   vipakvam /	vipakvam /
   kacchūṃ sravatpiṭakikām athavāpi śuṣkām abhyañjanena sakṛd uddharati	kacCUm sravat-piwakikAm aTavA-api SuzkAm aByaQjanena sakRt udDarati
   prasahya // Yś_39 //	prasahya // YH-_39 //
   suvarcikānāgarakuṣṭhamūrvālākṣāniśālohitayaṣṭikābhiḥ /	suvarcikA-nAgara-kuzWa-mUrvA-lAkzA-niSA-lohita-yazwikABiH /
   tailaṃ jvare ṣaḍguṇatakrasiddham abhyañjanāc chītavidāhanut syāt // Yś_40	tElam jvare zaxguNa-takra-sidDam aByaQjanAt SIta-vidAha-nud syAt // YH-_40
   sarpir guḍūcīvṛṣakaṇṭakārīkvāthena kalkena ca siddham etat /	sarpiH guxUcI-vRza-kaNwakArI-kvATena kalkena ca sidDam etat /
   peyaṃ purāṇajvarakāsaśūlaśvāsāgnimāndyagrahaṇīgadeṣu // Yś_41 //	peyam purANa-jvara-kAsa-SUla-SvAsa-agni-mAndya-grahaNI-gadezu // YH-_41 //
   vṛṣakhadirapaṭolapatranimbatvagamṛtatāmalakīkaṣāyakalkaiḥ /	vRza-Kadira-pawola-patra-nimba-tvac-amRta-tAmalakI-kazAya-kalkEH /
   ghṛtam abhinavam etad āśu siddhaṃ jayati visarpamadāśrakuṣṭhagulmān //	GRtam aBinavam etat ASu sidDam jayati visarpa-mada-aSra-kuzWa-gulmAn //
   Yś_42 //	YH-_42 //
   tvaṅmāṃsaśoṇitagatair doṣaiḥ prakupitair janitaḥ	tvac-mAMsa-SoNita-gatEH dozEH prakupitEH janitaH
   sarvāṅgaśārīraśoṣaviśeṣo visarpaḥ /	sarva-aFga-SArIra-Soza-viSezaH visarpaH /
   mado madyātmo madyapānajanitavikāraḥ // Yś_43 //	madaH madya-AtmaH madya-pAna-janita-vikAraH // YH-_43 //
   amṛtāpaṭolapicumardadhāvanītriphalākarañjavṛṣakalkavāribhiḥ /	amRtA-pawola-picumarda-DAvanI-triPalA-karaQja-vRza-kalka-vAriBiH /
   ghṛtam uttamaṃ vidhivipakvam ādṛtaḥ prapibann idaṃ jayati kuṣṭham āturaḥ	GRtam uttamam viDi-vipakvam AdRtaH prapiban idam jayati kuzWam AturaH
   // Yś_44 //	// YH-_44 //
   khaṇḍān kuṣmāṇḍakānām atha pacanavidhisvinnaśuṣkājyabhṛṣṭān	KaNxAn kuzmANxakAnAm aTa pacana-viDi-svinna-Suzka-Ajya-BRzwAn
   nyasyet khaṇḍe vipakve samaricamagadhāśuṇṭhyajājītrigandhān /	nyasyet KaNxe vipakve sa-marica-magaDa-aSuNWya-jAjI-tri-ganDAn /
   leho 'yaṃ bālavṛddhānilarudhirakṛśastrīprasaktakṣatānāṃ	lehaH ayam bAla-vRdDa-anila-ruDira-kRSa-strI-prasakta-kzatAnAm
   tṛṣṇākāsāsrapittaśvasanagudarujācharditānāṃ ca śastaḥ // Yś_45 //	tRzNA-kAsa-asra-pitta-Svasana-guda-rujA-CarditAnAm ca SastaH // YH-_45 //
   vipācya mūtrāmblamadhūni dantīpiṇḍītakṛṣṇāviḍadhūmakuṣṭhaiḥ /	vipAcya mUtra-ambla-maDUni dantI-piNxIta-kRzNA-vixa-DUma-kuzWEH /
   vartiṃ karāṅguṣṭhanibhāṃ ghṛtāktāṃ gude rujānāhaharīṃ vidadhyāt // Yś_46	vartim kara-aFguzWa-niBAm GRta-aktAm gude rujAnAha-harIm vidaDyAt // YH-_46
   saśarkaraṃ kuṅkumam ājyabhṛṣṭaṃ nasyaṃ vidheyaṃ pavanāsṛgutthe /	sa-Sarkaram kuFkumam Ajya-BRzwam nasyam viDeyam pavana-asRj-utTe /
   bhrūkarṇaśaṅkhākṣiśiro'rdhaśūle dinābhivṛddhiprabhave ca roge // Yś_47 //	BrU-karNa-SaFKa-akzi-SiraH-arDa-SUle dina-aBivRdDi-praBave ca roge // YH-_47 //
   pathyākṣadhātrīphalamadhyabījais tridvyekabhāgair vidadhīta vartim /	paTya-akza-DAtrI-Pala-maDya-bIjEH tri-dvi-eka-BAgEH vidaDIta vartim /
   tayāñjayed aśrum atipravṛddham akṣṇor haret kaṣṭam api prakopam // Yś_48	tayA-aQjayet aSrum atipravRdDam akzNoH haret kazwam api prakopam // YH-_48
   harītakīsaindhavatārkṣyaśailaiḥ sagairikaiḥ svacchajalaprapiṣṭaiḥ /	harItakI-sEnDava-tArkzya-SElEH sa-gErikEH svacCa-jala-prapizwEH /
   bahiṣpralepaṃ nayanasya kuryāt sarvākṣirogopaśamārtham etat // Yś_49 //	bahizpralepam nayanasya kuryAt sarva-akzi-roga-upaSama-arTam etat // YH-_49 //
   sasaindhavaṃ lodhram athājyabhṛṣṭaṃ sauvīrapiṣṭaṃ sitavastrabaddham /	sa-sEnDavam loDram aTa-Ajya-BRzwam sOvIra-pizwam sita-vastra-badDam /
   āścyotanaṃ tan nayanasya kuryāt sadāhakaṇḍūṃ ca rujaṃ nihanyāt // Yś_50 //	AScyotanam tat nayanasya kuryAt sa-dAha-kaNxUm ca rujam nihanyAt // YH-_50 //
   hanty arjunaṃ śarkarayābdhipheno naktāndhatāṃ gośakṛtā ca kṛṣṇā /	hanti arjunam SarkarayA-abDi-PenaH nakta-anDa-tAm go-SakRtA ca kRzNA /
   rasāñjanaṃ vyoṣayutaṃ ca pillaṃ tāpīsamutthaṃ madhunā ca śukram // Yś_51	rasAQjanam vyoza-yutam ca pillam tApI-samutTam maDunA ca Sukram // YH-_51
   puṣpākhyatārkṣyasasitodadhiphenaśaṅkhasindhūtthagairikaśilāmaricaiḥ	puzpa-AKya-tArkzya-sasita-udaDi-Pena-SaFKa-sinDUtTa-gErika-SilA-maricEH
   samāṃśaiḥ /	sama-aMSEH /
   piṣṭais tu mākṣikarasena rasakriyeyaṃ hanty armakācatimirārjunavartmarogān	pizwEH tu mAkzika-rasena rasakriyA-iyam hanti arma-kAca-timira-arjuna-vartma-rogAn
   // Yś_52 //	// YH-_52 //
   mustośīrarajoyavāsamaricāḥ sindhūdbhavaṃ kaṭphalaṃ	mustA-uSIra-rajaH-ya-vAsa-maricAH sinDUdBavam kawPalam
   dārvītutthakaśaṅkhaphenanaladaṃ kālānusāry añjanam /	dArvI-tutTaka-SaFKa-Pena-naladam kAlAnusArI aQjanam /
   tulyaṃ cūrṇitam āyase vinihitaṃ kṣaudrānvitaṃ śasyate	tulyam cUrNitam Ayase vinihitam kzOdra-anvitam Sasyate
   kaṇḍvarmāmayaraktarājitimire pillopadeheṣu ca // Yś_53 //	kaNxU-arma-Amaya-rakta-rAji-timire pilla-upadehezu ca // YH-_53 //
   mañjiṣṭhāmadhukotpalodadhikaphatvaksevyagorocanā-	maQjizWA-maDuka-utpala-udaDi-kaPa-tvac-sevya-gorocanA-
   māṃsīcandanaśaṅkhapatragirimṛttālīsapuṣpāñjanaiḥ /	mAMsI-candana-SaFKa-patra-giri-mRd-tAlI-sa-puzpa-aQjanEH /
   sarvair eva samāṃśam añjanam idaṃ śastaṃ sadā cakṣuṣaḥ	sarvEH eva sama-aMSam aQjanam idam Sastam sadA cakzuzaH
   kaṇḍūtkledamalāśruśoṇitarujāpillārmaśukrāpaham // Yś_54 //	kaNxUtkleda-mala-aSru-SoNita-rujA-pilla-arma-Sukra-apaham // YH-_54 //
   kvāthaḥ samustātiviṣendradārukaliṅgapāṭhākaṭurohiṇīnām /	kvATaH sa-mustA-ativizA-indra-dAru-kaliFga-pAWA-kawurohiNInAm /
   gomūtrasiddho madhunā ca yuktaḥ peyo galavyādhiṣu sarvajeṣu // Yś_55 //	go-mUtra-sidDaH maDunA ca yuktaH peyaH gala-vyADizu sarvajezu // YH-_55 //
   yavāgrajaṃ tejavatīṃ sapāṭhāṃ rasāñjanaṃ dāruniśāṃ sakṛṣṇām /	yava-agrajam tejavatIm sa-pAWAm rasAQjanam dAru-niSAm sa-kRzNAm /
   kṣaudreṇa kuryād guṭikāṃ mukhena tāṃ dhārayet sarvagalāmayeṣu // Yś_56 //	kzOdreNa kuryAt guwikAm muKena tAm DArayet sarva-gala-Amayezu // YH-_56 //
   dārvīguḍūcīsumanāpravālādrākṣāyavāsatriphalākaṣāyaḥ /	dArvI-guxUcI-sumanA-pravAla-adrAkzAya-vAsa-triPalA-kazAyaH /
   kṣaudreṇa yuktaḥ kavalagraho 'yaṃ mukhasya pākaṃ śamayaty udīrṇam // Yś_57	kzOdreNa yuktaH kavalagrahaH ayam muKasya pAkam Samayati udIrNam // YH-_57
   kuṣṭhaṃ dārvī lodhram abdaṃ samaṅgā pāṭhā tiktā tejanī pītikā ca /	kuzWam dArvI loDram abdam samaFgA pAWA tiktA tejanI pItikA ca /
   cūrṇaṃ śastaṃ gharṣaṇaṃ tad dvijānāṃ raktasrāvaṃ hanti kaṇḍūrujaṃ ca //	cUrNam Sastam GarzaNam tat dvijAnAm rakta-srAvam hanti kaNxU-rujam ca //
   Yś_58 //	YH-_58 //
   sauvīraśuktārdrakamātuluṅgamāṃsai rasair guggulusaindhavaś ca /	sOvIra-Sukta-Ardraka-mAtuluFga-mAMsEH rasEH guggulu-sEnDavaH ca /
   paktvā tu tailaṃ kaṭukaṃ niṣiñcet tat karṇayoḥ karṇarujopaśāntyai // Yś_59	paktvA tu tElam kawukam niziQcet tat karNayoH karNa-rujA-upaSAntyE // YH-_59
   vāsānimbapaṭolaparpaṭaphalaśrīcavyadārvyambudaiḥ	vAsA-nimba-pawola-parpawa-Pala-SrIcavyadArvI-ambudEH
   tiktośiradurālabhātrikaṭukatrāyantikācandanaiḥ /	tikta-uSira-durAlaBA-tri-kawuka-trAyantikA-candanEH /
   sarpiḥ siddham athordhvajatruvikṛtighrāṇākṣiśūlādiṣu	sarpiH sidDam aTa-UrDvajatru-vikRti-GrANa-akzi-SUla-Adizu
   tvagdoṣajvaravidradhivraṇarujāśukreṣu vai ceṣyate // Yś_60 //	tvac-doza-jvara-vidraDi-vraNa-rujA-Sukrezu vE ca-izyate // YH-_60 //
   dārvīparpaṭanimbavatsakakaṇāduḥsparśayaṣṭīvṛṣās	dArvI-parpawa-nimba-vatsaka-kaNA-duHsparSa-yazwI-vRzAH-
   trāyantītriphalāpaṭolakaṭukābhūnimbaraktāmbudāḥ /	trAyantI-triPalA-pawola-kawukA-BUnimba-rakta-ambudAH /
   eṣāṃ kalkakaṣāyasādhitam idaṃ sarpiḥ praśastaṃ dṛśaḥ	ezAm kalka-kazAya-sADitam idam sarpiH praSastam dRSaH
   pittāsṛkprabhaveṣu śukratimireṣūrdhveṣu ca vyādhiṣu // Yś_61 //	pitta-asRj-praBavezu Sukra-timirezu-UrDvezu ca vyADizu // YH-_61 //
   śuklairaṇḍān mūlam athogrā śatapuṣpā puṣpodbhūtaṃ yac ca bṛhatyās tagaraṃ	Sukla-eraNxAt mUlam aTa-ugrA SatapuzpA puzpa-udBUtam yat ca bRhatyAH tagaram
   ca /	ca /
   tailaṃ siddhaṃ taiḥ sapayaskais timiraghnaṃ nasyaṃ śreṣṭhaṃ vyādhiṣu	tElam sidDam tEH sa-payaskEH timira-Gnam nasyam SrezWam vyADizu
   cordhveṣv apareṣu // Yś_62 //	ca-UrDvezu aparezu // YH-_62 //
   kvāthe muṣkakabhasmano 'nalaśikhādagdhaṃ kṣipec chaṅkhakaṃ	kvATe muzkaka-BasmanaH anala-SiKA-dagDam kzipet SaFKakam
