   alātaśāntiprakaraṇa	alAta-SAnti-prakaraNa
   pakṣapratipakṣaparigraheṇa yasminna vidyate sa avivādaḥ /	pakza-pratipakza-parigraheNa yasmin-na vidyate sa avivAdaH /
   kasmāt? yato 'viruddhaśca /	kasmAt? yatas avirudDaH-ca /
   ya īdṛśo yogo deśita upadiṣṭaḥ śāstreṇa taṃ namāmyahaṃ praṇamāmītyarthaḥ	yaH IdRSaH yogaH deSitaH upadizwaH SAstreNa tam namAmi-aham praNamAmi-iti-arTaH
   START MandUpK 4.3	START Mandu-upK 4.3
   kathaṃ dvaitinaḥ parasparaṃ virudhyante? ityucyate /	kaTam dvEtinaH parasparam viruDyante? iti-ucyate /
   bhūtasya jātim icchanti vādinaḥ kecid eva hi /	BUtasya jAtim icCanti vAdinaH kecid eva hi /
   abhūtasyāpare dhīrā vivadantaḥ parasparam // MandUpK_4.3 //	aBUtasya-apare DIrAH vivadantaH parasparam // Mandu-upK_4.3 //
   MandUpKC_4.3	Mandu-upKC_4.3
   bhūtasya vidyamānasya vastuno jātimutpattimicchanti vādinaḥ kecideva hi	BUtasya vidyamAnasya vastunaH jAtim-utpattim-icCanti vAdinaH kecid-eva hi
   sāṃkhyā na sarvaṃ eva dvaitinaḥ /	sAMKyAH na sarvam eva dvEtinaH /
   yasmādabhūtasyāvidyamānasyāpare vaiśeṣikā naiyāyikāśca dhīrā dhīmantaḥ	yasmAt-aBUtasya-avidyamAnasya-apare vESezikAH nEyAyikAH-ca DIrAH DImantaH
   prajñābhimānina ityartho vivadanto viruddhaṃ vadanto hyanyenyamicchanti	prajQA-aBimAninaH iti-arTaH vivadantaH virudDam vadantaH hi-anyenyam-icCanti
   jetumityabhiprāyaḥ //3//	jetum-iti-aBiprAyaH //3//
   START MandUpK 4.4	START Mandu-upK 4.4
   tairevaṃ viruddhavadanenānyonyapakṣapratiṣedhaṃ kurvadbhiḥ kiṃ khyāpitaṃ	tEH-evam virudDa-vadanena-anyonya-pakza-pratizeDam kurvadBiH kim KyApitam
   bhavatyucyate-	Bavati-ucyate-
   bhūtaṃ na jāyate kiñcid abhūtaṃ naiva jāyate /	BUtam na jAyate kiQcid aBUtam na-eva jAyate /
   vivadanto 'dvayā hy evam ajātiṃ khyāpayanti te // MandUpK_4.4 //	vivadantaH advayAH hi evam ajAtim KyApayanti te // Mandu-upK_4.4 //
   MandUpKC_4.4	Mandu-upKC_4.4
   bhūtaṃ vidyamānaṃ vastu na jāyate kiñcidvidyamānatvādevātmavadityevaṃ	BUtam vidyamAnam vastu na jAyate kiQcid-vidyamAna-tvAt-eva-Atma-vat-iti-evam
   vadannasadvādī sāṃkhyapakṣaṃ pratiṣedhati sajjanma /	vat-an=-asat-vAdI sAMKya-pakzam pratizeDati sat-janma /
   tathābhūtamavidyamānamavidyamānatvānnaiva jāyate śaśaviṣāṇavadityevaṃ	taTABUtam-avidyamAnam-avidyamAna-tvAt-na-eva jAyate SaSa-vizANa-vat-iti-evam
   vadansāṃkhyo 'pyasaddhādipakṣamasajjanma pratiṣedhati /	vadan-sAMKyaH api-asadDAdi-pakzam-asat-janma pratizeDati /
   vivadanto viruddhaṃ vadanto 'dvayā advaitino hyete 'nyonyasya pakṣau	vivadantaH virudDam vadantaH advayAH advEtinaH hi-ete anyonyasya pakzO
   sadasatorjanmanī pratiṣedhanto 'jātimanutpattimarthātkhyāpayanti	sat-asatoH-janmanI pratizeDantaH ajAtim-anutpattim-arTAt-KyApayanti
   prakāśayanti te //4//	prakASayanti te //4//
   START MandUpK 4.5	START Mandu-upK 4.5
   khyāpyamānām ajātiṃ tair anumodāmahe vayam /	KyApyamAnAm ajAtim tEH anumodAmahe vayam /
   vivadāmo na taiḥ sārdham avivādaṃ nibodhata // MandUpK_4.5 //	vivadAmaH na tEH sArDam avivAdam niboData // Mandu-upK_4.5 //
   MandUpKC_4.5	Mandu-upKC_4.5
   tairevaṃ khyāpyamānāmajātimevamastvityanumodāmahe kevalaṃ na taiḥ sārdhaṃ	tEH-evam KyApyamAnAm-ajAtim-evam-astu-iti-anumodAmahe kevalam na tEH sArDam
   vivadāmaḥ pakṣapratipakṣagrahaṇena; yathā te 'nyonyamityabhiprāyaḥ /	vivadAmaH pakza-pratipakza-grahaNena; yaTA te anyonyam-iti-aBiprAyaH /
   atastamavivādaṃ vivādarahitaṃ paramārthadarśanamanujñātamasmābhirnibodhata	atas-tamavivAdam vivAda-rahitam parama-arTa-darSanam-anujQAtam-asmABiH-niboData
   he śiṣyāḥ //5//	he SizyAH //5//
   START MandUpK 4.6	START Mandu-upK 4.6
   ajātasyaiva dharmasya jātim icchanti vādinaḥ /	ajAtasya-eva Darmasya jAtim icCanti vAdinaH /
   ajāto hy amṛto dharmo martyatāṃ katham eṣyati // MandUpK_4.6 //	ajAtaH hi amRtaH DarmaH martyatAm kaTam ezyati // Mandu-upK_4.6 //
   MandUpKC_4.6	Mandu-upKC_4.6
   sadasadvādinaḥ sarve 'pīti purastātkṛtabhāṣyaślokaḥ //6//	sat-asat-vAdinaH sarve api-iti purastAt-kRta-BAzya-SlokaH //6//
   START MandUpK 4.7-8	START Mandu-upK 4.7-8
   na bhavaty amṛtaṃ martyaṃ na martyam amṛtaṃ tathā /	na Bavati amRtam martyam na martyam amRtam taTA /
   prakṛter anyathābhāvo na kathañcid bhaviṣyati // MandUpK_4.7 //	prakRteH anyaTA-BAvaH na kaTaQcid Bavizyati // Mandu-upK_4.7 //
   svabhāvenāmṛto yasya dharmo gacchati martyatām /	svaBAvena-amRtaH yasya DarmaH gacCati martyatAm /
   kṛtakenāmṛtas tasya kathaṃ sthāsyati niścalaḥ // MandUpK_4.8 //	kRtakena-amRtaH tasya kaTam sTAsyati niScalaH // Mandu-upK_4.8 //
   MandUpKC_4.7-8	Mandu-upKC_4.7-8
   uktārthānāṃ ślokānāmihopanyāsaḥ	ukta-arTAnAm SlokAnAm-iha-upanyAsaH
   paravādipakṣāṇāmanyonyavirodhakhyāpitānutpatyanumodanapradarśanārthaḥ	para-vAdi-pakzANAm-anyonya-viroDa-KyApita-anutpati-anumodana-pradarSana-arTaH
   START MandUpK 4.9	START Mandu-upK 4.9
   yasmāllaukikyapi prakṛtirna viparyeti, kāsāvityāha-	yasmAt-lOkikI-api prakRtiH-na viparyeti, kA-asO=-iti-Aha-
   sāṃsiddhikī svābhāvikī sahajā akṛtā ca yā /	sAMsidDikI svABAvikI sahajAH akRtA ca yA /
   prakṛtiḥ seti vijñeyā svabhāvaṃ na jahāti yā // MandUpK_4.9 //	prakRtiH sA-iti vijQeyA svaBAvam na jahAti yAH // Mandu-upK_4.9 //
   MandUpKC_4.9	Mandu-upKC_4.9
   samyaksiddhiḥ saṃsiddhistatra bhavā sāṃsiddhikī yathā yogināṃ siddhānām	samyak-sidDiH saMsidDiH-tatra BavA sAMsidDikI yaTA yoginAm sidDAnAm
   aṇimādyaiśvaryaprāptiḥ prakṛtiḥ /	aNima-Adi-ESvarya-prAptiH prakRtiH /
   sā bhūtabhaviṣyatkālayorapi yogināṃ na viparyeti tathaiva sā /	sA BUta-Bavizyat-kAlayoH-api yoginAm na viparyeti taTA-eva sA /
   tathā svābhāvikī dravyasvabhāvata eva yathāgnyādīnām uṣṇaprakāśādilakṣaṇā,	taTA svABAvikI dravya-svaBAvataH eva yaTA-agni-AdInAm uzNa-prakASa-Adi-lakzaNA,
   sāpi na kālāntare vyabhicarati deśāntare ca /	sA-api na kAla-antare vyaBicarati deSa-antare ca /
   tathā sahajā ātmanā sahaiva jātā yathā pakṣyādīnāmākāśagamanādilakṣaṇā /	taTA sahajA AtmanA saha-eva jAtA yaTA pakzi-AdInAm-AkASa-gamana-Adi-lakzaNA /
   anyāpi yā kācidakṛtā kenacinna kṛtā yatāpāṃ nimnadeśagamanādilakṣaṇā /	anyA-api yA kAcid-akRtA kenacid-na kRtA yatApAm nimna-deSa-gamana-Adi-lakzaNA /
   anyāpi yā kājitsvabhāvaṃ na jahāti sā sarvā prakṛtiriti vijñeyā loke /	anyA-api yA kAjit-svaBAvam na jahAti sA sarvA prakRtiH-iti vijQeyAH loke /
   mithyākalpiteṣu laukikeṣvapi vastuṣu prakṛtirnānyathā bhavati	miTyA-kalpitezu lOkikezu-api vastuzu prakRtiH-na-anyaTA Bavati
   kimutājasvabhāveṣu paramārthavastuṣvamṛtatvalakṣaṇā prakṛtirnānyathā	kim-uta-aja-svaBAvezu parama-arTa-vastuzu-amRta-tva-lakzaNA prakRtiH-na-anyaTA
   bhavatītyabhiprāyaḥ //9//	Bavati-iti-aBiprAyaH //9//
   START MandUpK 4.10	START Mandu-upK 4.10
   kiṃviṣayā punaḥ sā prakṛtiryasyā anyathābhāvo vādibhiḥ kalpyate kalpanāyāṃ	kiMvizayA punar sA prakRtiH-yasyAH anyaTA-BAvaH vAdiBiH kalpyate kalpanAyAm
   vā ko doṣa ityāha-	vA kaH dozaH iti-Aha-
   jarāmaraṇanirmuktāḥ sarve dharmāḥ svabhāvataḥ /	jarA-maraNa-nirmuktAH sarve DarmAH svaBAvataH /
   jarāmaraṇam icchantaś cyavante tanmanīṣayā // MandUpK_4.10 //	jarA-maraNam icCantaH cyavante tad-manIzayA // Mandu-upK_4.10 //
   MandUpKC_4.10	Mandu-upKC_4.10
   jarāmaraṇanirmuktāḥ- jarāmaraṇādisarvavikriyāvarjitā ityarthaḥ /	jarA-maraNa-nirmuktAH jarA-maraNa-Adi-sarva-vikriyA-varjitAH iti-arTaH /
   ke ? sarve dharmāḥ sarva ātmāna ityetatsvabhāvataḥ prakṛtitaḥ /	ke ? sarve DarmAH sarve AtmAnaH iti-etat-svaBAvataH prakRtitaH /
   evaṃsvabhāvāḥ santo dharmājarāmaraṇamicchanta icchanta	evaMsvaBAvAH santaH Darma-ajarA-maraNam-icCantaH icCanta
   ivecchantorajjvāmiva sarpamātmani kalpayantaścyavante	iva-icCanta-urajjvAm-iva sarpam-Atmani kalpayantaH-cyavante
   svabhāvataścalantītyarthaḥ, tanmanīṣayā janmamaraṇacintayā	svaBAvataH-calanti-iti-arTaH, tad-manIzayA janma-maraNa-cintayA
   tadbhāvabhāvitatvādoṣeṇetyarthaḥ //10//	tad-BAva-BAvita-tva-adozeNa-iti-arTaH //10//
   START MandUpK 4.11	START Mandu-upK 4.11
   kathaṃ sajjātivādibhiḥ sāṃkhyairanupapannamucyata ityāha vaiśeṣikaḥ-	kaTam sat-jAti-vAdiBiH sAMKyEH-anupapannam-ucyate iti-Aha vESezikaH-
   kāraṇaṃ yasya vai kāryaṃ kāraṇaṃ tasya jāyate /	kAraNam yasya vE kAryam kAraNam tasya jAyate /
   jāyamānaṃ katham ajaṃ bhinnaṃ nityaṃ kathaṃ ca tat // MandUpK_4.11 //	jAyamAnam kaTam ajam Binnam nityam kaTam ca tat // Mandu-upK_4.11 //
   MandUpKC_4.11	Mandu-upKC_4.11
   kāraṇaṃ mṛdvadupādānalakṣaṇaṃ yasya vādino vai kāryaṃ kāraṇameva	kAraNam mRdvat-upAdAna-lakzaNam yasya vAdinaH vE kAryam kAraNam-eva
   kāryākāreṇa pariṇamate yasya vādina ityarthaḥ, tasyājameva satprādhānādi	kArya-akAreNa pariNamate yasya vAdinaH iti-arTaH, tasya-Ajam-eva sat-prADAna-Adi
   kāraṇaṃ mahadādikāryarūpeṇa jāyata ityarthaḥ /	kAraNam mahat-Adi-kArya-rUpeNa jAyate iti-arTaH /
   mahadādyākāreṇa cejjāyamānaṃ pradhānaṃ kathamajamucyate tairvipratiṣiddhaṃ	mahat-Adi-AkAreNa ced-jAyamAnam praDAnam kaTam-ajam-ucyate tEH-vipratizidDam
   cedaṃ jāyate 'jaṃ ceti /	ca-idam jAyate ajam ca-iti /
   nityaṃ ca tairucyate pradhānaṃ bhinnaṃ vidīrṇaṃ sphuṭitamekadeśena	nityam ca tEH-ucyate praDAnam Binnam vidIrNam sPuwitam-eka-deSena
   satkathaṃ nityaṃ bhavedityarthaḥ /	sat-kaTam nityam Bavet-iti-arTaH /
   na hi sāvayavaṃ ghaṭādy ekadeśasphuṭanadharmi nityaṃ dṛṣṭaṃ loka ityarthaḥ	na hi sAvayavam Gawa-Adi eka-deSa-sPuwana-Darmi nityam dRzwam lokaH iti-arTaH
   vidīrṇaṃ ca syādekadeśenājaṃ nityaṃ cety etadvipratiṣiddhaṃ	vidIrNam ca syAt-eka-deSena-Ajam nityam ca-iti etat-vipratizidDam
   tairabhidhīyata ityabhiprāyaḥ //11//	tEH-aBiDIyate iti-aBiprAyaH //11//
   START MandUpK 4.12	START Mandu-upK 4.12
   uktasyaivārthasya spaṣṭīkaraṇārthamāha-	uktasya-eva-arTasya spazwIkaraNa-arTam-Aha-
   kāraṇād yady ananyatvam ataḥ kāryam ajaṃ yadi /	kAraNAt yadi ananya-tvam atas kAryam ajam yadi /
   jāyamānād dhi vai kāryāt kāraṇaṃ te kathaṃ dhruvam // MandUpK_4.12 //	jAyamAnAt Di vE kAryAt kAraNam te kaTam Druvam // Mandu-upK_4.12 //
   MandUpKC_4.12	Mandu-upKC_4.12
   kāraṇādajātkāryasya yadyananyatvamiṣṭaṃ tvayā tataḥ kāryamajamiti prāptam	kAraNAt-ajAt-kAryasya yadi-ananya-tvam-izwam tvayA tatas kAryam-ajam-iti prAptam
   idaṃ cānyadvipratiṣiddhaṃ kāryamajaṃ ceti tava /	idam ca-anyat-vipratizidDam kAryam-ajam ca-iti tava /
   kiṃ cānyatkāryakāraṇayonanyatve jāyamānāddhi vai kāryakāraṇamananyannityaṃ	kim ca-anyat-kArya-kAraNa-yonanya-tve jAyamAnAt-hi vE kArya-kAraNam-ananyat-nityam
   dhruvaṃ ca te kathaṃ bhavet /	Druvam ca te kaTam Bavet /
   na hi kukkuṭyā ekadeśaḥ pacyata ekadeśaḥ prasavāya kalpyate //12//	na hi kukkuwyAH eka-deSaH pacyate eka-deSaH prasavAya kalpyate //12//
   START MandUpK 4.13	START Mandu-upK 4.13
   kiṃ cānyam-	kim ca-anyam-
   ajād vai jāyate yasya dṛṣṭāntas tasya nāsti vai /	ajAt vE jAyate yasya dRzwAntaH tasya na-asti vE /
   jātāc ca jāyāmānasya na vyavasthā prasajyate // MandUpK_4.13 //	jAtAt ca jAyAmAnasya na vyavasTA prasajyate // Mandu-upK_4.13 //
   MandUpKC_4.13	Mandu-upKC_4.13
   ajādanutpannādvastuno jāyate yasya vādinaḥ kāryaṃ dṛṣṭānttastasya nāsti	ajAt-anutpannAt-vastunaH jAyate yasya vAdinaH kAryam dRzwa-anttaH-tasya na-asti
   vai, dṛṣṭāntābhāver'thādajānna kiñcijjāyata iti siddhaṃ bhavatītyarthaḥ /	vE, dRzwAnta-aBAver-aTa-adajAt-na kiQcid-jAyate iti sidDam Bavati-iti-arTaH /
   yadā punarjātājjāyamānasya vastuno 'bhyupagamas tadapyanyasmāj	yadA punar-jAtAt-jAyamAnasya vastunaH aByupagamaH tat-api-anyasmAt-
   jātāttadapyanyasmāditi na vyāvasthā prasajyate /	jAtAt-tat-api-anyasmAt-iti na vyAvasTA prasajyate /
   anavasthānaṃ syādityarthaḥ //13//	anavasTAnam syAt-iti-arTaH //13//
   START MandUpK 4.14	START Mandu-upK 4.14
   "yatra tvasya sarvamātmaivābhūt"(bṛ.u.2 / 4 / 18) iti paramārthato	"yatra tu-asya sarvam-AtmA-eva-aBUt"(bR.u.2 / 4 / 18) iti paramArTa-taH-
   dvaitābhāvaḥ śrutyoktastamāśrityāha-	dvEta-aBAvaH SrutyA-uktaH-tam-ASriti-Aha-
   hetor ādiḥ phalaṃ yeṣām ādir hetuḥ phalasya ca /	hetoH AdiH Palam yezAm AdiH hetuH Palasya ca /
   hetoḥ phalasya cānādiḥ kathaṃ tair upavarṇyate // MandUpK_4.14 //	hetoH Palasya ca-anAdiH kaTam tEH upavarNyate // Mandu-upK_4.14 //
   MandUpKC_4.14	Mandu-upKC_4.14
   hetordharmāderādiḥ kāraṇaṃ dehādisaṃghātaḥ phalaṃ yeṣāṃ vādinām /	hetoH-Darma-AdeH-AdiH kAraNam deha-Adi-saMGAtaH Palam yezAm vAdinAm /
   tathādiḥ kāraṇaṃ heturdharmādharmādiḥ phalasya ca dehādisaṃghātasya /	taTA-AdiH kAraNam hetuH-Darma-aDarma-AdiH Palasya ca deha-Adi-saMGAtasya /
   evaṃ hetuphalayoritaretarakāryakāraṇatvenādimattvaṃ bruvadbhirevaṃ hetoḥ	evam hetu-PalayoH-ita-retara-kArya-kAraNa-tvena-Adimattvam bruvadBiH-evam hetoH
   phalasya cānāditvaṃ kathaṃ tairupavarṇyate? vipratiṣiddhamityarthaḥ /	Palasya ca-anAdi-tvam kaTam tEH-upavarNyate? vipratizidDam-iti-arTaH /
   na hi nityasya kūṭasthasyātmano hetuphalātmatā sambhavati //14//	na hi nityasya kUwasTasya-AtmanaH hetu-Pala-Atma-tA samBavati //14//
   START MandUpK 4.15	START Mandu-upK 4.15
   kathaṃ tairviruddhamabhyupagamyata ityucyate-	kaTam tEH-virudDam-aByupagamyate iti-ucyate-
   hetor ādiḥ phalaṃ yeṣām ādir hetuḥ kalasya ca /	hetoH AdiH Palam yezAm AdiH hetuH kalasya ca /
   tathā janma bhavet teṣāṃ putrāj janma pitur yathā // MandUpK_4.15 //	taTA janma Bavet tezAm putrAt janma pituH yaTA // Mandu-upK_4.15 //
   MandUpKC_4.15	Mandu-upKC_4.15
   hetujanyādeva phalāddhetorjanmābhyupagacchatāṃ teṣāmīdṛśo virodha ukto	hetu-janyAt-eva PalAt-hetoH-janma-aByupagacCatAm tezAm-IdRSaH viroDaH uktaH-
   bhavati yathā putrājjanma pituḥ //15//	Bavati yaTA putrAt-janma pituH //15//
   START MandUpK 4.16	START Mandu-upK 4.16
   yathokto virodho na yukto 'bhyupagantumiti cenmanyase-	yaTA-uktaH viroDaH na yuktaH aByupagantum-iti ced-manyase-
   saṃbhave hetuphalayor eṣitavyaḥ kramas tvayā /	saMBave hetu-PalayoH ezitavyaH kramaH tvayA /
   yugapatsaṃbhave yasmād asaṃbandho viṣāṇavat // MandUpK_4.16 //	yugapad-saMBave yasmAt asaMbanDaH vizANa-vat // Mandu-upK_4.16 //
   MandUpKC_4.16	Mandu-upKC_4.16
   saṃbhave hetuphalayorutpattau krama eṣitavyastvayānyeṣṭavyo hetu ; pūrvaṃ	saMBave hetu-PalayoH-utpattO kramaH ezitavyaH-tvayA-anyezwavyaH hetu ; pUrvam
   paścātphalaṃ ceti /	paScAt-Palam ca-iti /
   itaśca yugapatsaṃbhave yasmāddhetuphalayoḥ kāryakāraṇatvenāsaṃbandhaḥ,	itas-ca yugapad-saMBave yasmAt-hetu-PalayoH kArya-kAraNa-tvena-asaMbanDaH,
   yathā yugapatsaṃbhavatoḥ savyetaragoviṣāṇayoḥ //16//	yaTA yugapad-saMBavatoH savya-itara-go-vizANayoH //16//
   START MandUpK 4.17	START Mandu-upK 4.17
   kathamasaṃbandhaḥ? ityāha-	kaTam-asaMbanDaH? iti-Aha-
   phalād utpadyamānaḥ san na te hetuḥ prasidhyati /	PalAt utpadyamAnaH san na te hetuH prasiDyati /
   aprasiddhaḥ kathaṃ hetuḥ phalam utpādayiṣyati // MandUpK_4.17 //	aprasidDaH kaTam hetuH Palam utpAdayizyati // Mandu-upK_4.17 //
   MandUpKC_4.17	Mandu-upKC_4.17
   janyātsvato 'labdhātmakāt phalādutpadyamānaḥ sañśaśaviṣāṇāderivāsato na	janyAt-su-ataH alabDa-AtmakAt PalAt-utpadyamAnaH san-SaSa-vizANa-AdeH-iva-asataH na
   hetuḥ prasidhyati janma na labhate /	hetuH prasiDyati janma na laBate /
   alabdhātmako 'prasiddhaḥ sañśaśaviṣāṇādikalpastava kathaṃ	alabDa-AtmakaH aprasidDaH san-SaSavizANa-Adi-kalpaH-tava kaTam
   phalamutpādayiṣyati? na hītaretarāpekṣasiddhyoḥ śaśaviṣāṇakalpayoḥ	Palam-utpAdayizyati? na hi-itara-itara-apekza-sidDyoH SaSa-vizANa-kalpayoH
   kāryakāraṇabhāvena saṃbandhaḥ kvacid dṛṣṭaḥ, anyathā vetyabhiprāyaḥ //17//	kArya-kAraNa-BAvena saMbanDaH kvacid dRzwaH, anyaTA vA-iti-aBiprAyaH //17//
   START MandUpK 4.18	START Mandu-upK 4.18
   yadi hetoḥ phalāt siddhiḥ phalasiddhiś ca hetutaḥ /	yadi hetoH PalAt sidDiH Pala-sidDiH ca hetutaH /
   katarat pūrvaniṣpannaṃ yasya siddhir apekṣayā // MandUpK_4.18 //	katarat pUrva-nizpannam yasya sidDiH apekzayA // Mandu-upK_4.18 //
   MandUpKC_4.18	Mandu-upKC_4.18
   asaṃbandhatādoṣeṇāpodite 'pi hetuphalayoḥ kāryakāraṇabhāve yadi	asaMbanDa-tA-dozeNa-Apodite api hetu-PalayoH kArya-kAraNa-BAve yadi
   hetuphalayoranyonyasiddhirabhyupagamyata eva tvayā kataratpūrvaniṣpannaṃ	hetu-PalayoH-anyonya-sidDiH-aByupagamyate eva tvayA katarat-pUrva-nizpannam
   hetuphalayoryasya paścādbhāvinaḥ siddhiḥ syātpūrvasiddhyapekṣayā tad	hetu-PalayoH-yasya paScAt-BAvinaH sidDiH syAt-pUrva-sidDi-apekzayA tat-
   brūhītyarthaḥ //18//	brUhi-iti-arTaH //18//
   START MandUpK 4.19	START Mandu-upK 4.19
   athaitanna śakyate vaktumiti manyase-	aTa-etat-na Sakyate vaktum-iti manyase-
   aśaktir aparijñānaṃ kramakopo 'tha vā punaḥ /	aSaktiH aparijQAnam krama-kopaH aTa vA punar /
