   oṃ	om
   abhidheyamaṣṭakādīni, yathā śrautānyagniṣṭomādīnyavaśyakartavyāni	aBiDeyam-azwaka-AdIni, yaTA SrOtAni-agnizwoma-AdIni-avaSya-kartavyAni
   tathāṣṭakādīnmapīti /	taTA-azwaka-AdIn-mapi-iti /
   tatra sarvakāryāṇāṃ kāraṇataḥ pravṛttidarśanātpūrvaṃ	tatra sarva-kAryANAm kAraNataH pravRtti-darSanAt-pUrvam
   kāraṇaviśeṣapratipādanārthamāha-	kAraNa-viSeza-pratipAdana-arTam-Aha-
   vedo dharmamūlam // Gaut_1.1 //	vedaH Darma-mUlam // GOt-_1.1 //
   nanu vidhipratiṣedharūpatvācchāstrasya 'upanayanaṃ brāhmaṇasyāṣṭame';	nanu viDi-pratizeDa-rUpa-tvAt-SAstrasya aupanayanam brAhmaNasya-azwame-a;
   ityādyeva vaktavyam, na tvanuvādarūpatvādvedo dharmamūlamityādi,	iti-Adi-eva vaktavyam, na tu-anuvAda-rUpa-tvAt-vedaH Darma-mUlam-ityAdi,
   niṣprayojanatvādanuvādasyeti /	nizprayojana-tvAt-anuvAdasya-iti /
   na cānena vedasya prāmāṇyaṃ pratipādyate, tasya svata eva siddheḥ anyathā	na ca-anena vedasya prAmANyam pratipAdyate, tasya svatas eva sidDeH anyaTA
   yena prāmāṇyaṃ pratipādyate tasyāpyanyena prāmāṇyaṃ	yena prAmANyam pratipAdyate tasya-api-anyena prAmANyam
   tasyāpyanyenetyanavasthā syāditi //	tasya-api-anyena-iti-anavasTA syAt-iti //
   ucyate-vedasya dharmamūlatvānuvādaḥ taddvāreṇa smṛtiśīlayorapi	ucyate--vedasya Darma-mUla-tva-anuvAdaH tad-dvAreNa smRti-SIlayoH-api
   dharmamūlatvapratipādanārthaḥ /	Darma-mUla-tva-pratipAdana-arTaH /
   kathamiti	kaTam-iti
   ceducyate-vedavacanāduccaritāttatpadārthavidāṃ viśiṣṭer'the yā	ced-ucyate--veda-vacanAt-uccaritAt-tad-padArTa-vidAm viSizwer-aTe yA
   pratipattirniḥsaṃdigdhā jāyate na ca kālāntare deśāntare puruṣāntare	pratipattiH-niHsaMdigDA jAyate na ca kAla-antare deSa-antare puruza-antare
   'vasthāntare vā viparyeti sā dharmamūlamiti /	avasTA-antare vA viparyeti sA Darma-mUlam-iti /
   yacca niḥsaṃdigdhamaviparītaṃ ca jñānamutpadyate tasya	yat-ca niHsaMdigDam-aviparItam ca jQAnam-utpadyate tasya
   prāmāṇyamadhyavasituṃ śakyate /	prAmANya-maDya-vasitum Sakyate /
   na ca vedajanitapratyayasya kāraṇadoṣakṛtaṃ mithyātvaṃ,	na ca veda-janita-pratyayasya kAraNa-doza-kRtam miTyAtvaM,
   karturanabhyupagamāt /	kartuH-anaByupagamAt /
   kartṛgato hi doṣaḥ śabdajanitasya pratyayasya mithyātvamāpādayati /	kartR-gataH hi dozaH Sabda-janitasya pratyayasya miTyAtvam-ApAdayati /
   evamuttarārtho 'nuvādaḥ //	evam-uttara-arTaH anuvAdaH //
   idānīṃ sūtraṃ vibrīyate-tatra vedo mantrabrāhmaṇākhyo grantharāśiḥ /	idAnIm sUtram vibrIyate--tatra vedaH mantra-brAhmaNa-AKyaH granTa-rASiH /
   vida jñāne, jñāyate 'nena dharmādisvarūpamiti vedaḥ /	vida jQAne, jQAyate anena Darma-Adi-svarUpam-iti vedaH /
   yadyapi smṛtyāderetattulyatvam /	yadi-api smRti-AdeH-etat-tulya-tvam /
   tathāpi parivrājakādivadrūḍhatvādadoṣaḥ /	taTA-api parivrAjaka-Adi-vat-rUXa-tvAt-adozaH /
   tathā ca smṛtyantaraṃ-	taTA ca smRti-antaraM-
   śrutiśtu vedo vijñeyo dharmaśāstraṃ tu vai smṛtiḥ //	SrutiH-tu vedaH vijQeyaH Darma-SAstram tu vE smRtiH //
   iti //	iti //
   sa ca ṛgvedādibhedena bhidyate /	sa ca Rgveda-Adi-Bedena Bidyate /
   jātyapekṣayaikavacanam /	jAti-apekzayA-eka-vacanam /
   dharmaḥ karma ācāra ityarthaḥ, apūrvākhyo vā /	DarmaH karma AcAraH iti-arTaH, apUrva-AKyaH vA /
   mūlaṃ kāraṇaṃ jñāpakaṃ, pramāṇamityarthaḥ /	mUlam kAraNam jQApakan, pramANam-iti-arTaH /
   tatra vidhipratiṣedhātmako hi vedo dharmādyavabodhakatvaṃ pratipadyate, na	tatra viDi-pratizeDa-AtmakaH hi vedaH Darma-Adi-avaboDaka-tvam pratipadyate, na
   tu mantrārthavādarūpa iti ceducyate- arthavādāderapi	tu mantra-arTa-vAda-rUpaH iti ced-ucyate arTavAda-AdeH-api
   vidhyekavākyatvenopakārakatvāt pāraṃparyeṇa dharmamūlatvamaviruddham /	viDi-eka-vAkya-tvena-upakAraka-tvAt pAraMparyeNa Darma-mUla-tvam-avirudDam /
   arthavādastāvat stutinindādvāreṇa vidhipratiṣedharūpatvaṃ pratipadyate,	arTa-vAdaH-tAvat stuti-nindA-dvAreNa viDi-pratizeDa-rUpa-tvam pratipadyate,
   mantrastvanuṣṭānakāle vihitārthasmārakatvāt /	mantraH-tu-anuzwAnakAle vihita-arTa-smAraka-tvAt /
   tataḥ sarvaprakāra eva vedo	tatas sarva-prakAraH eva vedaH-
   dharmamūlamiti /	Darma-mUlam-iti /
   kecinmantrārthavādamūlameva pratijānate yatā 'dhanvanniva prapā asi';	kecid-mantra-arTa-vAda-mUlam-eva pratijAnate yatAH aDanvan=-iva prapA asi-a;
   ityatra prapā kartavyetyādi /	iti-atra prapA kartavyA-ityAdi /
   anye tvāhuḥ-adhyayanamātrādeva dharmasiddhiḥ, yathā'ha-	anye tu-AhuH--aDyayana-mAtrAt-eva Darma-sidDiH, yaTA-aha-
   ā haiva sa nakhāgrebhyaḥ paramaṃ tapyate tapaḥ /	A ha-eva sa naKa-agreByaH paramam tapyate tapaH /
   yaḥ sragvyapi dvijo 'dhīte svādhyāyaṃ śaktito 'nvaham //	yaH sragvI-api dvijaH aDIte svADyAyam SaktitaH anvaham //
   iti //	iti //
   ataḥ pāṭha eva dharmamūlamiti /	atas pAWaH eva Darma-mUlam-iti /
   tadayuktaṃ, karmaphalaśruteḥ ānarthakyaprasaṅgāt,	tat-ayuktaM, karma-Pala-SruteH AnarTakya-prasaFgAt,
   mīmāṃsakairadhyayanaphalasya nistatvācca /	mImAMsakEH-aDyayana-Palasya nista-tvAt-ca /
   athavā vedavācyā kriyā vedaśabdenocyate, sa dharmasya mūlamiti /	aTavA veda-vAcyA kriyA veda-Sabdena-ucyate, sa Darmasya mUlam-iti /
   śyenādiṣu na bhavatīti cet, ucyate-tatrāpi vairivadhāt	Syena-Adizu na Bavati-iti cet, ucyate--tatra-api vEri-vaDAt-
   prāṇadhanaputradārādirakṣaṇadvāreṇa dharmo 'styeveti /	prANa-Dana-putra-dAra-Adi-rakzaNa-dvAreNa DarmaH asti-eva-iti /
   tataścāvagamyate-yadidaṃ putrapaśugrāmādi dṛṣṭaṃ, yacca	tatas-ca-avagamyate-yat-idam putra-paSu-grAma-Adi dRzwaM, yat-ca
   sargādyadṛṣṭaṃ, tatsarvaṃ dharmahetukamiti //	sarga-Adi-adRzwaM, tat-sarvam Darma-hetukam-iti //
   dharmaḥ pañcaprakāraḥ-varṇadharma āśramadharmo guṇadharmo varṇāśramadharmo	DarmaH paQca-prakAraH-varNa-DarmaH ASrama-DarmaH guNa-DarmaH varNa-ASrama-DarmaH-
   nimittadharma iti /	nimitta-DarmaH iti /
   varṇadharmo 'dhyayanādiḥ, āśramadharmaḥ samidādhānādiḥ guṇadharmo	varNa-DarmaH aDyayana-AdiH, ASrama-DarmaH samiD-ADAna-AdiH guNa-DarmaH-
   'bhiṣekādiguṇayuktasya rakṣaṇādiḥ, varṇāśramadharmo brāhmaṇasya pālāśo	aBizeka-Adi-guNa-yuktasya rakzaNa-AdiH, varNa-ASrama-DarmaH brAhmaNasya pAlASaH-
   daṇḍa ityādiḥ, nimittadharmaḥ prāyaścittādiḥ /	daNxaH ityAdiH, nimitta-DarmaH prAyaScitta-AdiH /
   mūlaṃ kāraṇam /	mUlam kAraNam /
   tathā cāha-'vedāddharmo hi nirbabhau'; iti /	taTA ca-aha--avedAt-DarmaH hi nirbaBO-a; iti /
   sūtrārambhaprayojanaṃ ca-yathaiva vedo dharmamūlaṃ tathā smṛtiśīle apīti	sUtra-AramBa-prayojanam ca-yaTA-eva vedaH Darma-mUlam taTA smRti-SIle api-iti
   na kevalaṃ veda eva dharmamūlaṃ, kiṃ tarhi-	na kevalam vedaH eva Darma-mUlaM, kim tarhi-
   tadvidāṃ ca smṛtiśīle // Gaut_1.2 //	tad-vidAm ca smRti-SIle // GOt-_1.2 //
   vedavidāṃ ca ye smṛtiśīle te api dharmamūle bhavataḥ te api vedāvirodhinī,	veda-vidAm ca ye smRti-SIle te api Darma-mUle BavataH te api veda-aviroDinI,
   tadvidāmityārambhāt /	tad-vidAm-iti-AramBAt /
   mūlaśabdaśceha dvābhyāmabhisambadhyamāno dvicanānto draṣṭavyaḥ /	mUla-SabdaH-ca-iha dvAByAm-aBisambaDyamAnaH dvicana-antaH drazwavyaH /
   tacchabdena ṣaḍaṅgo vedo lakṣyate /	tad-Sabdena zaxaFgaH vedaH lakzyate /
   smṛtirupanibanandhanaṃ	smRtiH-upanibananDanam
   manu-yama-vasiṣṭha-bhṛgvaṅgiro-bṛhaspatyuśano-bhāradvāja-gautapāpastamba-saṃvarta-vyāsa-śatātapa-	manu-yama-vasizWa--BRgu-aFgiro--bRhaspati-uSano--BAradvAja--gOta-pApa-stamba--saMvarta--vyAsa--Sata-Atapa-
   śaṅkha-likhita-hārīta-bodhāyana-yājñavalkya-pracetādibhiḥ kṛtam /	SaFKa--liKita-hArIta--boDAyana--yAjQavalkya--praceta-AdiBiH kRtam /
   śīlamanupanibaddhaḥ samācāraḥ kautukamaṅgalādiḥ bahutvātpratideśaṃ	SIlam-anupanibadDaH samAcAraH kOtuka-maFgala-AdiH bahu-tvAt-pratideSam
   bhidyamānatvāccānupanibaddhaḥ /	BidyamAna-tvAt-ca-anupanibadDaH /
   cakāro 'nuktasamuccayārthaḥ /	cakAraH anukta-samuccaya-arTaH /
   yathā'ha manu--	yaTA-aha manu--
   vedo 'khilo dharmamūlaṃ smṛtiśīle ca tadvidām /	vedaH aKilaH Darma-mUlam smRti-SIle ca tad-vidAm /
   ācāraścaiva sādhūnāṃ ātmanastuṣṭireva ca //	AcAraH-ca-eva sADUnAm AtmanaH-tuzwiH-eva ca //
   iti //	iti //
   sandhyoparamaṇakāle triḥ pradakṣiṇādiḥ śiṣṭācāra /	sanDyA-uparamaNa-kAle tris pradakziNa-AdiH Sizwa-AcAra /
   vedavidāṃ sakalānuṣṭhānaparāṇāṃ nirdeṣatvena yadvijñānamutpadyate,	veda-vidAm sakala-anuzWAna-parANAm nirdeza-tvena yat-vijQAnam-utpadyate,
   sā'tmatuṣṭiḥ /	sA-atma-tuzwiH /
   vakṣyati-"yaccātmavanto vṛddhāḥ"ityādi //	vakzyati-"yat-ca-AtmavantaH vRdDAH"ityAdi //
   kecidvarṇayanti-aṣṭakādivadeṣāṃ kautukamaṅgalādīnāṃ anupanibandho 'karaṇe	kecid-varNayanti--azwaka-Adi-vat-ezAm kOtuka-maFgala-AdInAm anupanibanDaH akaraNe
   pratyavāyābhāvāt /	pratyavAya-aBAvAt /
   ācārātmatuṣṭī api śīla evāntarbhūte iti na pṛthagupanyaste /	AcAra-Atma-tuzwI api SIlaH eva-antarBUte iti na pRTak-upanyaste /
   cakāropyuktasamuccayārtha eveti //	cakAra-upyukta-samuccaya-arTaH eva-iti //
   idānīṃ pūrvapakṣīkaroti vedavidāṃ śīlaṃ dharmamūlaṃ na bhavati yataḥ-	idAnIm pUrva-pakzIkaroti veda-vidAm SIlam Darma-mUlam na Bavati yatas--
   dṛṣṭo dharmavyatikramaḥ // Gaut_1.3 //	dRzwaH Darma-vyatikramaH // GOt-_1.3 //
   dharmamūlatvaṃ na prāpnotīti śeṣaḥ /	Darma-mUla-tvam na prApnoti-iti SezaH /
   yathā prajāpatiḥ svāṃ dihitaramabhyadhyāyat,yathendrasyāhalyāgamanādiḥ	yaTA prajApatiH svAm dihitaram-aByaDyAyat,yaTa-indrasya-ahalyAgamana-AdiH
   yathā vyāsabhīṣmādīnāmanāśramāvasthānam //	yaTA vyAsa-BIzma-AdI-nAm-anASrama-avasTAnam //
   kiñca-	kiQca-
   sāhasaṃ ca mahatām // Gaut_1.4 //	sAhasam ca mahatAm // GOt-_1.4 //
   atrāpi dharmamūlatvaṃ na prāpnotīti śeṣaḥ caśabdopādānāt /	atra-api Darma-mUla-tvam na prApnoti-iti SezaH caSabda-upAdAnAt /
   sahaḥśabdena balamucyate /	sahaH-Sabdena balam-ucyate /
   yathā ca nāradaḥ-"saho balamihocyate"iti /	yaTA ca nAradaH-"sahaH balam-iha-ucyate"-iti /
   tena śāstraṃ lokasaṃvyavahāraṃ cānavekṣya yat kriyate tat sāhasam /	tena SAstram loka-saMvyavahAram ca-anavekzya yat kriyate tat sAhasam /
   mahatāṃ lokavikhyātānāmityarthaḥ /	mahatAm loka-viKyAtAnAm-iti-arTaH /
   yathā rāmasya tāṭakādistrīvadhaḥ /	yaTA rAmasya tAwaka-Adi-strI-vaDas /
   jāmadagnyasya mātuḥśiracaśchedaḥ, vasiṣṭhasya jalapraveśaḥ ityādi /	jAmadagnyasya mAtuH-SiracaH-CedaH, vasizWasya jala-praveSaH ityAdi /
   tena ayuktaṃ śīlasya dharmamūlatvamiti //	tena ayuktam SIlasya Darma-mUla-tvam-iti //
   kathaṃ punardharmavyatikramasāhasayoḥ bhedaḥ-viṣayābhilāṣeṇa	kaTam punar-Darma-vyatikrama-sAhasayoH BedaH-vizaya-aBilAzeNa
   yadayuktamācaryate, sa dharmavyatikramaḥ, krodhādyabhibhavena yat kriyate	yat-ayuktam-Acaryate, sa Darma-vyatikramaH, kroDa-Adi-aBiBavena yat kriyate
   tat sāhasam //	tat sAhasam //
   atrottaramāha-	atra-uttaram-Aha-
   na tu dṛṣṭārthe 'varadaurbalyāt // Gaut_1.5 //	na tu dRzwa-arTe avara-dOrbalyAt // GOt-_1.5 //
   tuśabda- pakṣanivṛttyarthaḥ /	tuSabda pakza-nivRtti-arTaH /
   dṛṣṭārtho dṛṣṭaprayojanaḥ tasmin dṛṣṭaprayojane śīlaṃ dharmamūlaṃ na	dRzwa-arTaH dRzwa-prayojanaH tasmin dRzwa-prayojane SIlam Darma-mUlam na
   bhavati /	Bavati /
   tathā ca	taTA ca
   vasiṣṭhaḥ-"agṛhyamāṇakāraṇo dharmaḥ"iti /	vasizWaH-"agRhyamANa-kAraNaH DarmaH"iti /
   naitādvivacanaṃ, dṛṣṭārthe dharmavyatikramasāhase iti /	na-etAt-vivacanan, dRzwa-arTe Darma-vyatikrama-sAhase iti /
   tasmin gṛhyamāṇe"īdudet"ityādinā pragṛhyasaṃjñāyāṃ satyāṃ"dṛṣṭārthe	tasmin gRhyamANe"Idudet"-iti-AdinA pragRhya-saMjQAyAm satyAM"dRzwa-arTe
   avaradaurbalyāt"iti pāṭhaḥ prāpnoti /	avara-dOrbalyAt"iti pAWaH prApnoti /
   avaradaurbalyāt na varaḥ avaro nikṛṣṭaḥ dveṣādyabhibhūtaḥ aparamārthajñāna	avara-dOrbalyAt na varaH avaraH nikRzwaH dveza-Adi-aBiBUtaH aparama-arTa-jQAna
   ityarthaḥ tasya daurbalyāt dharmādharmaparijñānāśakterityarthaḥ /	iti-arTaH tasya dOrbalyAt Darma-aDarma-parijQAna-aSakteH-iti-arTaH /
   etaccānena jñāpitaṃ bhavati- mahatāmapi tadvidāṃ kadā cidabhibhavo 'stīti,	etat-ca-anena jQApitam Bavati mahatAm-api tad-vidAm kadA cit-aBiBavaH asti-iti,
   śarīravata- priyāpriyayoravaśyaṃbhāvitvāt /	SarIravata priya-apriyayoH-avaSyaMBAvi-tvAt /
   tasmādyāvadeteṣāṃ rāgādidoṣeṇābhibhavaḥ, tāvatteṣāṃ ācāro 'pi na grāhyaḥ /	tasmAt-yAvat-etezAm rAga-Adi-dozeNa-aBiBavaH, tAvat-tezAm AcAraH api na grAhyaH /
   tathāca vasiṣṭhaḥ--"śiṣṭaḥ punarakāmātmā"iti /	taTA-ca vasizWaH--"SizwaH punar-akAma-AtmA"-iti /
   athavā-avaraśabdenedānīṃtanāḥ kaliyugapuruṣā ucyante, teṣāṃ daurbalyāt	aTavA-a-avara-Sabdena-idAnIMtanAH kali-yuga-puruzAH ucyante, tezAm dOrbalyAt-
   asārmathyāt //	asArmaTyAt //
   evaṃ smṛtipramāṇamuktvā adhunā ekārthopanipatitānāṃ vākyānāṃ	evam smRti-pramANam-uktvA aDunA eka-arTa-upanipatitAnAm vAkyAnAm
   parasparavirodhe sati kiṃ kravyamityāta āha-	paraspara-viroDe sati kim kravyam-iti-Atas Aha-
   tulyabalavirodhe vikalpaḥ // Gaut_1.6 //	tulya-bala-viroDe vikalpaH // GOt-_1.6 //
   tulyapramāṇaprāpitaḥ padārthastulyabalaḥ /	tulya-pramANa-prApitaH padArTaH-tulya-balaH /
   tayoḥ parasparavirodhe sati vikalpo veditavyaḥ, ayaṃ vāyaṃ veti /	tayoH paraspara-viroDe sati vikalpaH veditavyaH, ayam vA-ayam vA-iti /
   nobhayaparityāgaḥ, ubhayoḥ pramāṇaprāpitatvāt /	na-uBaya-parityAgaH, uBayoH pramANa-prApita-tvAt /
   nānyataraparigrahaḥ, ekasmin gṛhyamāṇe dvitīyasyānarthakyaprasaṅgaḥ	na-anyatara-parigrahaH, ekasmin gRhyamANe dvitIyasya-anarTakya-prasaFgaH
   syāditi /	syAt-iti /
   kimudāharaṇaṃ-śrutau tāvat udite hotavyaṃ, anudite hotavyamityevamādi /	kim-uda-AharaNaM-SrutO tAvat udite hotavyan, anudite hotavyam-iti-evamAdi /
   smṛtāvapi,"nityamabhojyaṃ keśakīṭāvapannam"iti gautamaḥ /	smRtO=-api-,"nityam-aBojyam keSa-kIwa-avapannam-"iti gOtamaH /
   pakṣijagdhaṃ gavāghrātamavadhūtamavakṣutam /	pakzi-jagDam gavA-AGrAtam-avaDUtam-avakzutam /
   dūṣitaṃ keśakīṭaiśca mṛtprakṣepeṇa śudhyati //	dUzitam keSa-kIwEH-ca mRd-prakzepeNa SuDyati //
   iti manuḥ //	iti manuH //
   nanu-cātra sārmathyādeva vikalpaprasiddheḥ anarthakamidaṃ sūtraṃ	nanu--ca-atra sArmaTyAt-eva vikalpa-prasidDeH anarTakam-idam sUtram
   samuccayastāvadatra na saṃbhatīti /	samuccayaH-tAvat-atra na saMBati-iti /
   na hyanudite hutvā punarudite hotuṃ śakyate, guṇabhūtakālavaśena	na hi-anudite hutvA punar-udite hotum Sakyate, guNa-BUta-kAla-vaSena
   pradhānasya homasyāvṛtteranyāyyatvāt /	praDAnasya homasya-AvRtteH-anyAyya-tvAt /
   pradhānavaśavartino hi guṇāḥ, na guṇavaśavarti pradhānamiti /	praDAna-vaSavartinaH hi guNAH, na guNa-vaSavarti praDAnam-iti /
   na cānāvṛttamubhayo- kālayorhetuṃ śakyate /	na ca-anAvRttam-uBayo kAlayoH-hetum Sakyate /
   evaṃ smṛtāvapi śuddhiparityāgayonairva samuccayaḥ sambhavatīti,	evam smRtO=-api SudDi-parityAga-yonEH-va samuccayaH samBavati-iti,
   parasparavirodhāditi /	paraspara-viroDAt-iti /
   na cobhayaparityāgo yukta ityuktam /	na ca-uBaya-parityAgaH yuktaH iti-uktam /
   tenātra vikalpa eva prāpnotīti nārtho 'neneti //	tena-atra vikalpaH eva prApnoti-iti na-arTaH anena-iti //
   evaṃ tarhi nyāyaprāptānuvādo 'yaṃ viśeṣārthaḥ /	evam tarhi nyAya-prApta-anuvAdaH ayam viSeza-arTaH /
   ko viśeṣaḥ ? tulyabalayoreva virodhe vikalpaḥ, atulyabalayostu bādha eveti	kaH viSezaH ? tulya-balayoH-eva viroDe vikalpaH, atulya-balayoH-tu bADaH eva-iti
   tena śrutismṛtyorvirodhe smṛtireva bādhyate /	tena Sruti-smRtyoH-viroDe smRtiH-eva bADyate /
   śrutau hi pratyakṣaḥ śabdaḥ smṛtāvānumānikaḥ /	SrutO hi pratyakzaH SabdaH smRtO=-AnumAnikaH /
   na cānumānaṃ pratyakṣavirodhe pramāṇībhavati /	na ca-anumAnam pratyakza-viroDe pramANIBavati /
   evaṃ smṛtyācāravirodhe ca mātuladuhitṛpariṇayanādyācāro bādhyata iti,	evam smRti-AcAra-viroDe ca mAtula-duhitR-pariNayana-Adi-AcAraH bADyate iti,
   tatra hyācārāt smṛtyanumānamiti /	tatra hi-AcArAt smRti-anumAnam-iti /
   virodhe vikalpavacanāt, avirodhe tu tulyapramāṇaśiṣṭānāṃ samuccayaḥ yathā	viroDe vikalpa-vacanAt, aviroDe tu tulya-pramANa-SizwAnAm samuccayaH yaTA
   ācamanādīnāṃ śrauteṣu karmasviti //	Acamana-AdInAm SrOtezu karmasu-iti //
   nanu ca yadi vedaliṅgaprabhavatvābhyupagama eva smṛteḥ śrutyā	nanu ca yadi veda-liFga-praBava-tva-aByupagamaH eva smRteH SrutyA
   sahātulyabalatvamupapādyate, tadā hi mantrārthavādavākyeṣvanyapareṣvapi	saha-atulya-bala-tvam-upapAdyate, tadA hi mantra-arTa-vAda-vAkyezu-anya-parezu-api
   yāni smārtadharmamabalabhūtāni liṅgāni"kumārā viśikhā iva"ityevamādīni	yAni smArta-Darmam-abala-BUtAni liFgAni"kumArAH viSiKAH iva"-iti-evamAdIni
   teṣāṃ pratyakṣavedavākyavirodhe sati virodhivākyānumānavirodhāt	tezAm pratyakza-veda-vAkya-viroDe sati viroDi-vAkya-anumAna-viroDAt
   durbalatvaṃ prasajyate /	durbala-tvam prasajyate /
   yadā tūtsannaśākhāpūrvikā smṛtirabhyupagame-yathā'hāpastambaḥ-"brāhmaṇoktā	yadA tu-utsanna-SAKA-pUrvikA smRtiH-aByupagame-yaTA-aha-apa-stambaH-"brAhmaNa-uktA
   vidhayasteṣāmutsannāḥ pāṭhāḥ prayogādanumīyante"iti tadobhayośca	viDayaH-tezAm-utsannAH pAWAH prayogAt-anumIyante"-iti tadA-uBayoH-ca
   vaidikatvāt tulyabalataiva prasajyate /	vEdika-tvAt tulya-bala-tA-eva prasajyate /
   na hyanumitasya vedavākyasya pratyakṣasya ca balābalaviśeṣo 'sti	na hi-anumitasya veda-vAkyasya pratyakzasya ca bala-abala-viSezaH asti
   pratyakṣānumānaparicchinnāgnivaditi /	pratyakza-anumAna-paricCinna-agni-vat-iti /
   syādetat yatra smṛtivacane vedavirodho 'sti tannaiva vedavākyānumāpakaṃ	syAt-etat yatra smRti-vacane veda-viroDaH asti tat-na-eva veda-vAkya-anumApakam
   bhavati, kiṃ tarhi bhrāntyādiprabhavamevaitaditi /	Bavati, kim tarhi BrAnti-Adi-praBavam-eva-etat-iti /
   tacca na yuktaṃ, dharmaśāstrapraṇeturanāptatvābhyupagame aviśvāsaprasaṅgāt	tat-ca na yuktaM, Darma-SAstra-praNetuH-anApta-tva-aByupagame aviSvAsa-prasaFgAt-
   yadāpi vedavadavicchinnapāraṃparyeṇāgatā smṛtirabhyupagamyate tadāpi	yadA-api veda-vat-avicCinna-pAraMparyeNa-AgatA smRtiH-aByupagamyate tadA-api
   tulyabalatvamupapadyata iti tatrāpi tannaivopapadyate /	tulya-bala-tvam-upapadyate iti tatra-api tat-na-eva-upapadyate /
   yastāvanmātuladuhitṛpariṇayanādikaḥ samācāra upanyastaḥ sa kāmādyabhibhave	yaH-tAvat-mAtula-duhitR-pariNayana-AdikaH samAcAraH upanyastaH sa kAma-Adi-aBiBave
   sati duṣṭācāratvācchiṣṭācāra eva nopapadyate /	sati duzwa-AcAra-tvAt-Sizwa-AcAraH eva na-upapadyate /
   yastvavigānenoktalakṣaṇaiḥ śiṣṭairācaryate tasya vedamūlatvāviśeṣāt smṛtyā	yaH-tu-avigAnena-ukta-lakzaNEH SizwEH-Acaryate tasya veda-mUla-tva-aviSezAt smRtyA
   saha tulyabalatvameva prāpnoti /	saha tulya-bala-tvam-eva prApnoti /
   vibandhanānibandhanayostvanyadeva prayojanamupadiṣṭam /	vibanDanA-nibanDanayoH-tu-anyat-eva prayojanam-upadizwam /
   na ca samācārasya smṛtivākyāntaritarūpsaya vedavākyānumānasaṃnikarṣakṛtaṃ	na ca samAcArasya smRti-vAkya-antarita-rUpsaya veda-vAkya-anumAna-saMnikarza-kRtam
   balābalatvaṃ sidhyati //	bala-abala-tvam siDyati //
   atrocyate-atulyabalatvaṃ tāvat vedādīnāṃ sūtrārambhasārmathyādevāvagamyate	atra-ucyate-a-tulya-bala-tvam tAvat veda-AdInAm sUtra-AramBa-sArmaTyAt-eva-avagamyate
   yadi hi tulyabalānyetāni syuḥ tadā virodhe vikalpaḥ sārmathyādeva siddhaḥ,	yadi hi tulya-balAni-etAni syuH tadA viroDe vikalpaH sArmaTyAt-eva sidDaH,
   kimanena sūtreṇeti tulyabalagrahaṇaṃ cānarthakaṃ syāditi /	kim-anena sUtreNa-iti tulya-bala-grahaNam ca-anarTakam syAt-iti /
   asminapi vedādyurbalataratvaṃ smṛterupapadyate /	asmin-api veda-Adyus-balatara-tvam smRteH-upapadyate /
