   Ahorātravratakathā	AhorAtra-vrata-kaTA
   hāhākāraiḥ samullāsaiḥ kārayet saṃpradakṣiṇām // Avk_32 //	hAhAkArEH samullAsEH kArayet saMpradakziNAm // Avc-_32 //
   viśrāmaṃ vā na kuryāc ca khedaṃ vā vratamānasaḥ /	viSrAmam vA na kuryAt ca Kedam vA vrata-mAnasaH /
   ahorātre susaṃpūrṇe prātaḥ snātvā vrataṃ caret // Avk_33 //	ahorAtre su-saMpUrNe prAtar snAtvA vratam caret // Avc-_33 //
   caityapūjāṃ yathā kṛtvā gurupūjāṃ samācaret /	cEtya-pUjAm yaTA kRtvA guru-pUjAm samAcaret /
   annaṃ vastraṃ suvarṇaṃ ca vrīhiratnāni bhūṣitān // Avk_34 //	annam vastram suvarNam ca vrIhi-ratnAni BUzitAn // Avc-_34 //
   ācāryāya pradātavyā yathāśakti subhaktitaḥ /	AcAryAya pradAtavyAH yaTASakti su-BaktitaH /
   yajñaṃ kuryāt tato vajrī vrataṃ pūrṇaṃ prapūrayet // Avk_35 //	yajQam kuryAt tatas vajrI vratam pUrNam prapUrayet // Avc-_35 //
   abhiṣekaṃ tato dattvā pañcasūtraṃ ghaṭaṃ tathā /	aBizekam tatas dattvA paQca-sUtram Gawam taTA /
   pratyekaṃ vratināṃ dattvā āśīrvādyaṃ pradāpayet // Avk_36 //	pratyekam vratinAm dattvA ASIrvAdyam pradApayet // Avc-_36 //
   kaumārīpūjanaṃ kṛtvā śeṣānnaṃ ca prabhuñjayet /	kOmArI-pUjanam kRtvA Seza-annam ca praBuQjayet /
   dadhiśarkarasaṃyuktaṃ pañcāmṛtaṃ subhojanam // Avk_37 //	daDi-Sarkara-saMyuktam paQcAmRtam su-Bojanam // Avc-_37 //
   gaṇacakraṃ tataḥ kuryād vidhijñas tadvidhiṃ yathā /	gaNa-cakram tatas kuryAt viDi-jQaH tad-viDim yaTA /
   ity evaṃ vratarājaṃ tad yaḥ kuryāc chuddhamānasaḥ // Avk_38 //	iti evam vrata-rAjam tat yaH kuryAt SudDa-mAnasaH // Avc-_38 //
   vipulaṃ bhogam ābhujya sarvasukhasamanvitaḥ /	vipulam Bogam ABujya sarva-suKa-samanvitaH /
   paratra sukham āpnoti dharmaloke mahīpate // Avk_39 //	paratra suKam Apnoti Darma-loke mahIpate // Avc-_39 //
   indrapṛṣṭa uvāca /	indra-pRzwaH uvAca /
   bhagavan sarvavin nātha punar vaktuṃ tvam arhasi /	Bagavan sarva-vid nATa punar vaktum tvam arhasi /
   saṃsāre bahudhā jātis teṣāṃ pracāraṇaṃ katham // Avk_40 //	saMsAre bahuDA jAtiH tezAm pracAraNam kaTam // Avc-_40 //
   vratapūjāphalaṃ sarvaṃ kālaṃ ca samayaṃ dinam /	vrata-pUjA-Palam sarvam kAlam ca samayam dinam /
   kutra sthāne vrataṃ kāryaṃ tat sarvaṃ vada sāṃpratam // Avk_41 //	kutra sTAne vratam kAryam tat sarvam vada sAMpratam // Avc-_41 //
   vasubandhur uvāca /	vasubanDuH uvAca /
   śṛṇu rājan mahābhāga saṃkṣepād gaditaṃ mayā /	SRNu rAjan mahABAga saMkzepAt gaditam mayA /
   svayaṃbhuvo viśeṣeṇa sthāne puṇyaṃ mahottamam // Avk_42 //	svayaMBuvaH viSezeNa sTAne puNyam mahA-uttamam // Avc-_42 //
   tadabhāve svadeśeṣu sthāvare caityapuṃgave /	tad-aBAve sva-deSezu sTAvare cEtya-puMgave /
   tadabhāve svayaṃ kṛtvā kārayitvāparais tathā // Avk_43 //	tad-aBAve svayam kRtvA kArayitvA-aparEH taTA // Avc-_43 //
   suvarṇena kṛte vāpi ratnaiś cānyaiś ca dhātubhiḥ /	suvarNena kRte vA-api ratnEH ca-anyEH ca DAtuBiH /
   pāṣāṇena tathā kāṣṭhair iṣṭikāmṛnmayais tathā // Avk_44 //	pAzANena taTA kAzWEH izwikA-mRd-mayEH taTA // Avc-_44 //
   vālukaudanapiṇḍena kṛte paṭṭe ca citrite /	vAlukA-odana-piNxena kRte pawwe ca citrite /
   devālaye nadītīre tīrthe puṇye mahītale // Avk_45 //	devAlaye nadI-tIre tIrTe puNye mahI-tale // Avc-_45 //
   dharmaśālāṃ viśodhyādau yathāvidhi vrataṃ caret /	Darma-SAlAm viSoDya-AdO yaTAviDi vratam caret /
   puṣpākṣatasugandhaiś ca vāriṇā caityapuṃgave // Avk_46 //	puzpa-akzata-suganDEH ca vAriNA cEtya-puMgave // Avc-_46 //
   arghaṃ dadyād raveḥ pūrvaṃ puṣpaṃ kṣipet salājakam /	arGam dadyAt raveH pUrvam puzpam kzipet sa-lAjakam /
   maṇḍalaṃ pañcadevānāṃ likhed gomayavāriṇā // Avk_47 //	maNxalam paQca-devAnAm liKet gomaya-vAriNA // Avc-_47 //
   avandhyākṣarayuktena adbhir vratīn susiñcayet /	avanDya-akzara-yuktena adBiH vratIn susiQcayet /
   havargāntākṣarair mantrair vratimūrdhni pratiṣṭhitam // Avk_48 //	havarga-anta-akzarEH mantrEH vrati-mUrDni pratizWitam // Avc-_48 //
   oṃ āḥ hūm iti mantreṇa diśobandhaṃ satarjitam /	om AH hUm iti mantreNa diSobanDam sa-tarjitam /
   aṅganyāsaṃ karanyāsaṃ kṛtvā guruṃ ca vandayet // Avk_49 //	aFganyAsam karanyAsam kRtvA gurum ca vandayet // Avc-_49 //
   puṣpākṣataṃ kare dhṛtvā kṣipet puṣpāñjalitrayam /	puzpa-akzatam kare DRtvA kzipet puzpa-aQjali-trayam /
   pañcabhūtasamutpannaṃ padmakarṇikasaṃsthitam // Avk_50 //	paQcaBUta-samutpannam padma-karNika-saMsTitam // Avc-_50 //
   āvāhayed dharmadhātuṃ vāgīśvaraṃ samujjvalam /	AvAhayet DarmaDAtum vAgISvaram samujjvalam /
   jñānarūpaṃ samākṛṣya saṃsthāpya samaye 'rcayet // Avk_51 //	jQAna-rUpam samAkRzya saMsTApya samaye arcayet // Avc-_51 //
   āvāhayāmi tvaṃ nātha tiṣṭha tatra manohare /	AvAhayAmi tvam nATa tizWa tatra manohare /
   sthiro bhava sadā mā gāḥ sāṃnidhyaṃ kuru sthāvare // Avk_52 //	sTiraH Bava sadA mA gAH sAMniDyam kuru sTAvare // Avc-_52 //
   dugdhākṣatāmbusaṃyuktaṃ navaratnāni hāṭakaiḥ /	dugDa-akzata-ambu-saMyuktam navaratnAni hAwakEH /
   śaṅkhasthaṃ pratigṛhṇātu arghaṃ dattaṃ mayā mudā // Avk_53 //	SaFKa-sTam pratigRhNAtu arGam dattam mayA mudA // Avc-_53 //
   paṭṭavastrāṇi divyāni cīvarāṇi mahāprabho /	pawwavastrANi divyAni cIvarANi mahA-praBaH /
   nānāraṅgavicitrāṇi pratigṛhṇātu modatām // Avk_54 //	na-anAraFga-vicitrANi pratigRhNAtu modatAm // Avc-_54 //
   candanaṃ malayodbhūtaṃ kastūrikuṅkumādikam /	candanam malaya-udBUtam kastu-Uri-kuFkuma-Adikam /
   śaileyaṃ ghanasāraṃ ca gṛhyatām anumodatām // Avk_55 //	SEleyam GanasAram ca gRhyatAm anumodatAm // Avc-_55 //
   jalajān sthalajān divyān pañcavarṇena granthitān /	jalajAn sTala-jAn divyAn paQca-varNena granTitAn /
   sumodavāsanāyuktān puṣpān gṛhya pramodatām // Avk_56 //	sumoda-vAsanA-yuktAn puzpAn gRhya pramodatAm // Avc-_56 //
   dhūpo 'yaṃ ghrāṇasaṃtarpo divyagandhasuyojitaḥ /	DUpaH ayam GrANa-saMtarpaH divya-ganDa-suyojitaH /
   pradattas tava toṣārthaṃ gṛhyatāṃ bhaktavatsala // Avk_57 //	pradattaH tava toza-arTam gRhyatAm Bakta-vatsala // Avc-_57 //
   dīpo 'yaṃ harati dhvāntaṃ sarvatimiranāśakaḥ /	dIpaH ayam harati DvAntam sarva-timira-nASakaH /
   ghṛtatailasamujjvālo mayā dattaḥ pragṛhyatām // Avk_58 //	GRta-tEla-samujjvAlaH mayA dattaH pragRhyatAm // Avc-_58 //
   annaṃ caturvidhaṃ nātha rasānāṃ ṣaḍvidhaṃ tathā /	annam caturviDam nATa rasAnAm zaxviDam taTA /
   ghṛtādyān śarkarāhārān bhuñjatāṃ ca sukhaṃ mama // Avk_59 //	GRta-AdyAn SarkarA-AhArAn BuQjatAm ca suKam mama // Avc-_59 //
   nānāphalasumodyaṃ ca koṣakāraṇḍavādikam /	nAnA-Pala-sumodyam ca koza-kAraNxava-Adikam /
   skandhamūlādikaṃ pattraṃ gṛhāṇa pratimodatām // Avk_60 //	skanDa-mUla-Adikam pattram gRhANa pratimodatAm // Avc-_60 //
   tāmbūlapūgasaṃyuktaṃ karpūranirmalāni ca /	tAmbUla-pUga-saMyuktam karpUra-nirmalAni ca /
   divyauṣadhigaṇādīni gṛhyatāṃ hitakāṅkṣayā // Avk_61 //	divyOzaDi-gaNa-AdIni gRhyatAm hita-kAFkzayA // Avc-_61 //
   lājākṣataphalārcaiva dūrvākundāni bhaktitaḥ /	lAjA-akzata-Pala-arcA-eva dUrvA-kundAni BaktitaH /
   prakṣiptāni mayā tubhyaṃ gṛhāṇa hitamānasaḥ // Avk_62 //	prakziptAni mayA tuByam gRhANa hita-mAnasaH // Avc-_62 //
   sauvarṇādikṛtaṃ chattraṃ dhvajāni vividhāni ca /	sOvarNa-Adi-kRtam Cattram DvajAni viviDAni ca /
   patākādīni sarvāṇi pragṛhya jina modatām // Avk_63 //	patAkA-AdIni sarvANi pragRhya jina modatAm // Avc-_63 //
   dhīmān pujāṃ tathā kṛtva stotram evaṃ ca kārayet /	DImAn pujAm taTA kRtva stotram evam ca kArayet /
   jinendratoṣaṇārthāya kārayec ca pradakṣiṇām // Avk_64 //	jinendra-tozaNa-arTAya kArayet ca pradakziNAm // Avc-_64 //
   dharmadhātumayaṃ caityaṃ sarvalokasvarūpiṇam /	DarmaDAtu-mayam cEtyam sarva-loka-svarUpiNam /
   ālayaṃ sarvabuddhānāṃ jinadhātuṃ namāmy aham // Avk_65 //	Alayam sarva-budDAnAm jinaDAtum namAmi aham // Avc-_65 //
   namas te jinadhātūnāṃ pratyakṣaṃ samalīlayā /	namaH te jina-DAtUnAm pratyakzam sama-lIlayA /
   triyānasamayānandaṃ satataṃ tvāṃ samāśraye // Avk_66 //	tri-yAna-samaya-Anandam satatam tvAm samASraye // Avc-_66 //
   jinajaṃ sakalasthaṃ ca puṇyakṣetraṃ namāmy aham /	jinajam sakala-sTam ca puNya-kzetram namAmi aham /
   pavitrajanasukhārthaṃ sevitārthapradāyakam // Avk_67 //	pavitra-jana-suKa-arTam sevita-arTa-pradAyakam // Avc-_67 //
   praṇamāmi muniśreṣṭhaṃ maṅgalārthapradāyakam /	praNamAmi muni-SrezWam maFgala-arTa-pradAyakam /
   janānāṃ bhayahantāraṃ lokanāthaṃ maheśvaram // Avk_68 //	janAnAm Baya-hantAram lokanATam maheSvaram // Avc-_68 //
   devatāḥ sarvalokasthāḥ saṃbhūtā jinamaṇḍale /	devatAH sarva-loka-sTAH saMBUtA jina-maNxale /
   dadyāt tebhyo baliṃ tuṣṭyā pūjābhaktyarcanair ataḥ // Avk_69 //	dadyAt teByaH balim tuzwyA pUjA-Bakti-arcanEH atas // Avc-_69 //
   {CD add the following after vs. 69	{CD adt Te fa-ullowing afteH vs. 69
   śaucasobhanādikaṃ kṛtvā vratinaḥ	SOca-soBana-Adikam kRtvA vratinaH
   maurikuṇḍalasarvābharaṇagāṃgopayādivastra śobhayen mālāpuṣpa	mOri-kuNxala-sarva-ABaraNa-gAMgopaya-Adi-vastra SoBayet mAlA-puzpa
   lohayen maṇḍalī prajvālayen vistareṇopaḍoṣita	lohayet maNxalI prajvAlayet vistareNa-upaxozita
   gandhāya te 'grata dhūpayet sarvapāpaprasamanaṃ bhavati}	ganDAya te agrata DUpayet sarva-pApa-prasamanam Bavati}
   bahumaṅgalavādyais ca chattrasindūrapātrayā /	bahu-maFga-lava-AdyEH ca Cattra-sindUra-pAtrayA /
   ācāryaḥ svastivākyaiś ca kārayec ca mahotsavam // Avk_70 //	AcAryaH svasti-vAkyEH ca kArayet ca mahA-utsavam // Avc-_70 //
   aśvinīpūrṇamāsyāṃ tu (...) ravivāsare /	aSvinI-pUrNam-AsyAm tu (...) ravi-vAsare /
   āyuṣmatīyute yoge praśastaś ca viśeṣataḥ // Avk_71 //	AyuzmatI-yute yoge praSastaH ca viSezataH // Avc-_71 //
   yaḥ prakuryād vrataṃ tasmin vipulaṃ bhogam āpnuyāt /	yaH prakuryAt vratam tasmin vipulam Bogam ApnuyAt /
   paratra sukhasaṃprāpto jinaloke mahīpate // Avk_72 //	paratra suKa-saMprAptaH jina-loke mahIpate // Avc-_72 //
   śṛṇu rājan mahābhāga vakṣye pūjāphalaṃ punaḥ /	SRNu rAjan mahABAga vakzye pUjA-Palam punar /
   yena saṃsthāpitaṃ caityaṃ vītaśoko bhaved asau /	yena saMsTApitam cEtyam vIta-SokaH Bavet asO /
   māyāmohavinirmuktas trimalenāviliptitaḥ // Avk_73 //	mAyA-moha-vinirmuktaH tri-malena-aviliptitaH // Avc-_73 //
   pañcāmṛtaiś candanagandhagarbhair ye snāpayantī jinacaityabimbam /	paQcAmRtEH candana-ganDa-garBEH ye snApayantI jina-cEtya-bimbam /
   mandākinītoyasugandhagandhais te cāpsarobhī ratim āvahanti // Avk_74 //	mandAkinI-toya-suganDa-ganDEH te ca-apsaroBiH ratim Avahanti // Avc-_74 //
   ye dhūpayanti kṣaṇam atra lokāḥ śokā na teṣāṃ prabhavanti jātu /	ye DUpayanti kzaNam atra lokAH SokAH na tezAm praBavanti jAtu /
   surāsuraiḥ pūjitapādapadmāḥ sugandhamālyāmbarabhūṣitāṅgāḥ // Avk_75 //	sura-asurEH pUjita-pAda-padmAH suganDa-mAlya-ambara-BUzita-aFgAH // Avc-_75 //
   sugandham asmā upaḍhaukayanti prasannacittā manujā ajasram /	suganDam asmE upaXOkayanti prasanna-cittAH manujAH ajasram /
   sugandhidehā ravibhānudīptā bhavanti lokāḥ paramārthalokāḥ // Avk_76 //	suganDi-dehAH ravi-BAnu-dIptAH Bavanti lokAH parama-arTa-lokAH // Avc-_76 //
   ye kuṅkumādyai racitaṃ suvastraṃ dadanti ye caityatathāgatebhyaḥ /	ye kuFkuma-AdyEH racitam su-vastram dadanti ye cEtya-taTA-gateByaH /
   śītārtiduḥkhaṃ na hi jātu teṣāṃ taddhetutaḥ koṣaviśālasāram // Avk_77 //	SIta-Arti-duHKam na hi jAtu tezAm tad-hetutaH koza-viSAla-sAram // Avc-_77 //
   aśeṣapuṣpaṃ jalajaṃ bhavantaṃ śvetāruṇaśyāmasupītakṛṣṇam /	aSeza-puzpam jala-jam Bavantam SvetAruNa-SyAma-su-pIta-kRzNam /
   samantabhadrāya viśālavaṃśam ārogyasaukhyaṃ prabhavanti dānāt // Avk_78 //	samantaBadrAya viSAla-vaMSam Arogya-sOKyam praBavanti dAnAt // Avc-_78 //
   śraddhāratā ye manujā udārair mālāsugandhair bahupuṣpayuktaiḥ /	SradDA-ratA ye manujAH udArEH mAlA-suganDEH bahu-puzpa-yuktEH /
   caranti pūjāṃ bahubhaktitas te samastasaukhyāni labhanti loke // Avk_79 //	caranti pUjAm bahu-BaktitaH te samasta-sOKyAni laBanti loke // Avc-_79 //
