   sāṃkhyatattvavivecanam	sAMKya-tattva-vivecanam
   yattu prakṛterguṇā itivat vanasya vṛkṣā itivat vyaṣṭisamaṣṭyabhiprāyeṇeti	yat-tu prakRteH-guNAH itivat vanasya vRkzAH iti-vat vyazwi-samazwi-aBiprAyeNa-iti
   sattvaṃ rajastama iti prakṛterabhavan guṇā iti ca na sattvādīnāṃ	sattvam rajaH-tamaH iti prakRteH-aBavan guNAH iti ca na sattva-AdInAm
   prakṛtikāryatvavacanaṃ guṇanityatāvākyavirodhena	prakRti-kAryatva-vacanam guNa-nitya-tA-vAkya-viroDena
   mahattattvakāraṇībhūtakāryasattvādiparam |	mahat-tattva-kAraNIBUta-kArya-sattva-Adi-param |
   mahadādisṛṣṭirguṇavaimyāt |	mahat-Adi-sRzwiH-guNa-vEmyAt |
   tacca sajātīyasaṃvalanena guṇāntaravyāvṛttaprakāśādiphalopahitaḥ	tat-ca sajAtIya-saMvalanena guNa-antara-vyAvRtta-prakASa-Adi-Pala-upahitaH
   sattvādivyavahārayogyaḥ pariṇāma iti sattvādivyavahāro vaiṣamya evetyāha	sattva-Adi-vyavahAra-yogyaH pariNAmaH iti sattva-Adi-vyavahAraH vEzamyaH eva-iti-Aha
   śrutiḥ yathā tama evedamagra āsīt tatpare syāt pareṇeritaṃ viṣamatvaṃ(1)	SrutiH yaTA tamaH eva-idam-agre AsIt tad-pare syAt pareNa-Iritam vizama-tvaM(1)
   pratyayādvai rajaso(2) rūpaṃ tadrajaḥ khalvīritaṃ viṣamatvaṃ pratyayādvai	pratyayAt-vE rajaso(2) rUpam tat-rajaH Kalu-Iritam vizama-tvam pratyayAt-vE
   sattvasya(3) rūpamiti sattvāditrayaṃ ca sattvādisvarūpamiti sattvāditrayaṃ	sattvasya(3) rUpam-iti sattva-Adi-trayam ca sattva-Adi-svarUpam-iti sattva-Adi-trayam
   ca sukhaprakāśalāghavaprasādādiguṇakatayā	ca suKa-prakASa-lAGava-prasAda-Adi-guNaka-tayA
   saṃyogavibhāgādimattayānāśritatvopādānatvādinā dravyatve 'pi	saMyoga-viBAga-Adi-mattayAna-ASrita-tva-upAdAna-tva-AdinA dravya-tve api
   puruṣopakāratvāt puruṣabandhakatvācca guṇaśabdenocyate indriyādivat	puruza-upakAra-tvAt puruza-banDaka-tvAt-ca guNa-Sabdena-ucyate indriya-Adi-vat-
   guṇānāṃ sukhaduḥkamohātmakapravādastu dharmadharmyabhedāt manasaḥ	guNAnAm suKa-duHka-moha-Atmaka-pravAdaH-tu Darma-Darmya-BedAt manasaH
   saṅkalpātmakatvavat tatra sattvaṃ sukhaprasādaprakāśādyanekadharmakamapi	saFkalpa-Atmaka-tva-vat tatra sattvam suKa-prasAda-prakASa-Adi-aneka-Darmakam-api
   pradhānatastu sukhātmakamucyate |	praDAnataH-tu suKa-Atmakam-ucyate |
   evaṃ rajo 'pi duḥkhakāluṣyapravṛtyādyanekadharmakaṃ prādhānyatastu	evam rajaH api duHKa-kAluzya-pravRti-Adi-aneka-Darmakam prADAnyataH-tu
   duḥkhātmakamucyate |	duHKa-Atmakam-ucyate |
   evaṃ tamo 'pi mohāvaraṇastambhanādyanekadharmakaṃ prādhānyatastu	evam tamaH api moha-AvaraNa-stamBana-Adi-aneka-Darmakam prADAnyataH-tu
   mohātmakamucyate |	moha-Atmakam-ucyate |
   sato bhāvaḥ sattvaṃ dharmaprādhānyenottamaṃ puruṣopakaraṇaṃ rāgayogādrajo	sataH BAvaH sattvam Darma-prADAnyena-uttamam puruza-upakaraNam rAga-yogAt-rajaH-
   madhyamam |	maDyamam |
   tamodharmāvaraṇayogādadhamaṃ sattvādīnyasaṃkhyavyaktayaḥ	tamaH-Darma-AvaraNa-yogAt-aDamam sattva-AdIni-asaMKya-vyaktayaH
   pratikṣaṇapariṇāmitvāt laghutvādidharmairanyonyaṃ sādharmyaṃ vaidharmyaṃ	pratikzaNa-pariNAmi-tvAt laGu-tva-Adi-DarmEH-anyonyam sADarmyam vEDarmyam
   ca guṇānāmasaṃkhyātamiti sūtrāt |	ca guNAnAm-asaMKyAtam-iti sUtrAt |
   ekadānekapuruṣādisṛṣṭiśravaṇācca ekaikavyaktitve vibhutvaṃ syāt tathā ca	ekadA-aneka-puruza-Adi-sRzwi-SravaNAt-ca ekEka-vyakti-tve viBu-tvam syAt taTA ca
   saṃyogavaicitryābhāvādanantavaicitryaṃ kāryāṇāṃ na syāt |	saMyoga-vEcitrya-aBAvAt-ananta-vEcitryam kAryANAm na syAt |
   dravyāntarasyāvacchedakībhūtasyābhāvācca |	dravya-antarasya-avacCedakIBUtasya-aBAvAt-ca |
   tasmādasaṃkhyātānyeva sattvādīni tritvakathanaṃ tu	tasmAt-asaMKyAtAni-eva sattva-AdIni tritva-kaTanam tu
   vibhājakopādhitrayeṇaiva vaiśeṣikāṇāṃ navadravyavacanavat sattvādīni ca	viBAjaka-upADi-trayeNa-eva vESezikANAm nava-dravya-vacana-vat sattva-AdIni ca
   yathāyogyamaṇuvibhuparimāṇakāni itarathā	yaTAyogyam-aNu-viBu-parimANakAni itaraTA
   rajasaścalasvabhāvatvavacananirodhaḥ syāt |	rajasaH-cala-svaBAva-tva-vacana-niroDaH syAt |
   ākāśakāraṇasya vibhutvaucityāt sarvakāraṇadravyavibhutve	AkASa-kAraNasya viBu-tva-OcityAt sarva-kAraNa-dravya-viBu-tve
   kāryaparicchedāsambhava iti ||	kArya-paricCeda-asamBavaH iti ||
        śabdasparśavihīnaṃ tadrūpādibhirasaṃhatam /	Sabda-sparSa-vihInam tad-rUpa-AdiBiH-asaMhatam /
        triguṇaṃ tajjagadyoniranādiprabhavāpyayam //	triguNam tat-jagat-yoniH-anAdi-praBava-apyayam //
   ityādyukterna paramāṇvādāvantarbhāvaḥ prakṛteriti /	ityAdi-ukteH-na paramANu-AdO=-antarBAvaH prakRteH-iti /
   athaivamapi prakṛteraṇuvibhusādhāraṇasattvādyanekavyaktirūpatve	aTa-evam-api prakRteH-aNu-viBu-sA-DAraNa-sattva-Adi-aneka-vyakti-rUpa-tve
   aparicchinnatvaikatvākriyatvasaiddhāntakṣatiriti cenna	aparicCinna-tva-eka-tva-akriya-tva-sEdDa-anta-kzatiH-iti ced-na
   kāraṇadravyatvasvarūpaprakṛtitvenaivāparicchinnatvavacanādgandhatvena	kAraNa-dravya-tva-svarUpa-prakRti-tvena-eva-aparicCinna-tva-vacanAt-ganDa-tvena
   gandhānāṃ pṛthivīvyāpakatāvat ākāśādiprakṛtīnāṃ vibhutvenaiva	ganDAnAm pRTivI-vyApaka-tA-vat AkASa-Adi-prakRtInAm viBu-tvena-eva
   prakṛtivibhutvasiddhāntopapatteśca |	prakRti-viBu-tva-sidDAnta-upapatteH-ca |
   tathā puruṣabhedena sargabhedena ca bhedābhāvasyaiva ekaśabdārthatvāt |	taTA puruza-Bedena sarga-Bedena ca Beda-aBAvasya-eva eka-Sabda-arTa-tvAt |
   ajāmekāmitiśrutestathāvagamāt |	ajAm-ekAmiti-SruteH-taTA-avagamAt |
   tathādhyavasāyo 'bhimānādikriyārāhityasyaivākriyaśabdārthatvādityanyathā	taTA-aDyavasAyaH aBimAna-Adi-kriyA-ArAhiti-asya-eva-akriya-Sabda-arTa-tvAt-iti-anyaTA
   śrutismṛtityuktasya prakṛtikṣobhasyānupapatteriti |	Sruti-smRtiti-uktasya prakRti-kzoBasya-anupapatteH-iti |
   tatrāyaṃ prayogaḥ sukhaduḥkhamohātmakamahadādikāryaṃ	tatra-ayam prayogaH suKa-duHKa-moha-Atmaka-mahat-Adi-kAryam
   sukhaduḥkhamohātmakadravyakāryaṃ sukhaduḥkhamohātmakatvāt	suKa-duHKa-moha-Atmaka-dravya-kAryam suKa-duHKa-moha-Atmaka-tvAt-
   vastrādikāryaśayyāvaditi prakṛtau pramāṇam |	vastra-Adi-kArya-SayyA-vat-iti prakRtO pramANam |
   bāhyavastuṣu sukhādikamuttamatvādikameva ghaṭarūpamitivaccandanasukhaṃ	bAhya-vastuzu suKa-Adikam-uttama-tva-Adikam-eva Gawa-rUpa-m-iti-vat-candana-suKam
   strīsukhamityādipratyayācceti dik |	strI-suKam-ityAdi-pratyayAt-ca-iti diS |
        avyaktabuddhyahaṅkārāstanmātrāṇāṃ ca pañcakam /	avyakta-budDi-ahaFkArAH-tanmAtrANAm ca paQcakam /
        aṣṭau prakṛtayastvetāḥ sapta ca vyaktatāmiyāt //	azwO prakRtayaH-tu-etAH sapta ca vyakta-tAm-iyAt //
        avyaktaprakṛtijanyatvāt avyaktānīti cocyate /	avyakta-prakRti-janya-tvAt avyaktAni-iti ca-ucyate /
        vyajyante ca yathā loke ghaṭādyā na tathā hi tat //	vyajyante ca yaTA loke Gawa-AdyAH na taTA hi tat //
        avyaktaṃ prakṛtirmāyā pradhānaṃ brahma kāraṇam /	avyaktam prakRtiH-mAyA praDAnam brahma kAraNam /
        avyākṛtaṃ tamaḥpuṣpaṃ kṣetramakṣaranāmakam //	avyAkRtam tamaH-puzpam kzetram-akzara-nAmakam //
        bahudhātmakādināmāni tasyāmī te jagurbudhāḥ /	bahuDA-Atmaka-Adi-nAmAni tasya-amI te jaguH-buDAH /
        vyajyate nendriyairyasmādavyaktamata ucyate /	vyajyate na-indriyEH-yasmAt-avyaktam-atas ucyate /
        anādimadhyanidhanānniraṅgatvena tat tathā //	anAdi-maDya-niDanAt-niraFga-tvena tat taTA //
   tadevāha śrutiḥ |	tat-eva-Aha SrutiH |
        aśabdamasparśamarūpamavyayaṃ	aSabdam-asparSam-arUpam-avyayam
        yathā ca nityaṃ rasagandhavarjitam /	yaTA ca nityam rasa-ganDa-varjitam /
        anādimadhyaṃ mahataḥ paraṃ dhruvam	anAdi-maDyam mahataH param Druvam
        pradhānametat pravadanti sūrayaḥ // iti	praDAnam-etat pravadanti sUrayaH // iti
        tasmādaliṅgakaṃ sūkṣmaṃ tathā prasavadharmikam /	tasmAt-aliFgakam sUkzmam taTA prasava-Darmikam /
        ekaṃ sādhāraṇaṃ tatra kāryaṃ kasyāpi netare //	ekam sADAraNam tatra kAryam kasya-api na-itare //
        buddhirmahān mano brahmā matiḥ khyātirapūrvakam /	budDiH-mahAn manaH brahmA matiH KyAtiH-apUrvakam /
        prajñā bhūtirdhṛtirjñānaṃ santatiḥ smṛtirityapi //	prajQA BUtiH-DRtiH-jQAnam santatiH smRtiH-iti-api //
        hairaṇyagarbhyā buddhestu mahato nāma sūcitam /	hEraNyagarByA budDeH-tu mahataH nAma sUcitam /
        guṇebhyaḥ kṣobhyamāṇebhyastrayo vedā vijajñire //	guNeByaH kzoByamANeByaH-trayaH vedAH vijajQire //
        ekā mūrttistrayo devā brahmaviṣṇumaheśvarāḥ / iti	ekA mUrttiH-trayaH devAH brahma-vizNu-maheSvarAH / iti
        viṣṇurevādisargeṣu svayaṃbhūrbhavati prabhuḥ //	vizNuH-eva-Adi-sargezu svayaMBUH-Bavati praBuH //
   atra sattvādyaṃśatrayeṇa mahato devatātrayopādhitvāttadavivekena tisra iti	atra sattva-Adi-aMSa-trayeNa mahataH devatA-traya-upADi-tvAt-tad-avivekena tisraH iti
   sāttvikāṃśāt pradhānāt tu mahattattvamajāyata iti mahattvasya prādhānyena	sAttvika-aMSAt praDAnAt tu mahat-tattvam-ajAyate iti mahattvasya prADAnyena
   cādhyavasāyo vṛttirmahadahaṃkāramanastritayātmakasyāntaḥkaraṇavṛkṣasya	ca-aDyavasAyaH vRttiH-mahat-ahaMkAra-manaH-tritaya-Atmakasya-antaHkaraNa-vRkzasya
   mahattattvaṃ bījāvasthā taduktaṃ sāṃkhyasūtre idameva mahattattvamaṃśato	mahat-tattvam bIja-avasTA tat-uktam sAMKya-sUtre idam-eva mahat-tattvam-aMSataH-
   rajastamaḥsaṃbhedena pariṇataṃ sat vyaṣṭijīvānāmupādhiradharmādiyuktaṃ	rajaH-tamaH-saMBedena pariNatam sat vyazwi-jIvAnAm-upADiH-aDarma-Adi-yuktam
   kṣudramapi bhavati mahaduparāgādviparītamiti |	kzudram-api Bavati mahat-uparAgAt-viparItam-iti |
   mahatastriguṇasvarūpatvāddehasya dehinā kālarūpaviṣṇunā kṣobhyadaśāyāṃ	mahataH-triguNa-svarUpa-tvAt-dehasya dehinA kAla-rUpa-vizNunA kzoBya-daSAyAm
   guṇarūpopādhiprādhānyādaviveke brahmaviṣṇuśivatvaṃ tatra mahān	guNa-rUpa-upADi-prADAnyAt-aviveke brahma-vizNu-Siva-tvam tatra mahAn
   suṣuptyabhimānī śivastadupādhistamaḥkāryarūpī tatra svapnābhimānī	suzupti-aBimAnI SivaH-tad-upADiH-tamaH-kArya-rUpI tatra svapna-aBimAnI
   viṣṇustadupādhiḥ kāryasattvaṃ tatra jāgradabhimānī brahmā tadupādhiḥ	vizNuH-tad-upADiH kArya-sattvam tatra jAgrat-aBimAnI brahmA tad-upADiH
   kāryarajaḥ tatra samudāyasamunnayananyāyena	kArya-rajaH tatra samudAya-samunnayana-nyAyena
   samaṣṭervyaṣṭyananyatvānmaśakādirapi viṣṇureveti bhāvaḥ |	samazweH-vyazwi-ananya-tvAt-maSaka-AdiH-api vizNuH-eva-iti BAvaH |
   sṛṣṭistu mahadādikrameṇaiva na tu bhūtādikrameṇeti ||	sRzwiH-tu mahat-Adi-krameNa-eva na tu BUta-Adi-krameNa-iti ||
   sā ca kaurme	sA ca kOrme
        bhūtādistu vikurvāṇaḥ śabdamātraṃ sasarja ha /	BUtAdiH-tu vikurvANaH Sabda-mAtram sasarja ha /
        ākāśasuṣiraṃ tasmādutpannaṃ śabdalakṣaṇam //	AkASa-suziram tasmAt-utpannam Sabda-lakzaNam //
        ākāśaṃ tu vikurvāṇaḥ sparśamātraṃ sasarja ha /	AkASam tu vikurvANaH sparSa-mAtram sasarja ha /
        vāyurutpadyate tasmāttasya sparśo guṇo mataḥ //	vAyuH-utpadyate tasmAt-tasya sparSaH guNaH mataH //
   ityādi	ityAdi
   nanvevaṃ cedākāśādīnāṃ kevalaṃ vikṛtitvaṃ kathaṃ tatra ākāśādīnāṃ	nanu-evam ced-AkASa-AdInAm kevalam vikRti-tvam kaTam tatra AkASa-AdInAm
   sparśāditanmātreṣu ahaṃkāropaṣṭambhamātreṇa kāraṇatvasya purāṇādiṣūktatvāt	sparSa-Adi-tanmAtrezu ahaMkAra-upazwamBa-mAtreNa kAraNa-tvasya purANa-Adizu-ukta-tvAt-
        na pumān sthāṇurevāyaṃ buddhiradhyavasāyinī /	na pumAn sTANuH-eva-ayam budDiH-aDyavasAyinI /
        puruṣādhiṣṭhitāt sarvagatājjātā pradhānatā //	puruza-aDizWitAt sarva-gatAt-jAtA praDAna-tA //
        cicchaktiryādṛśī tādṛg vṛttiḥ sattvavimiśritā /	cicCaktiH-yAdRSI tAdRS vRttiH sattva-vimiSritA /
        rajoguṇasvarūpā yat trivṛtkaraṇataḥ śruteḥ //	rajaH-guNa-svarUpAH yat trivRt-karaNataH SruteH //
        jñānaṃ dharmaśca vairāgyamaiśvaryaṃ sattvato hyamī /	jQAnam DarmaH-ca vErAgyam-ESvaryam sattvataH hi-amI /
        anaiśvaryamavairāgyamadharmo 'jñānameva tu //	anESvaryam-avErAgyam-aDarmaH ajQAnam-eva tu //
        tamasaścāpi te jñeyā buddherbhedā itīritāḥ /	tamasaH-ca-api te jQeyAH budDeH-BedAH iti-IritAH /
        jñānaṃ tattvāvabodho 'yaṃ dharmaḥ śrutyuktapālanam //	jQAnam tattva-avaboDaH ayam DarmaH Sruti-ukta-pAlanam //
        vairāgyamarthānāsaktiraiśvaryamaṇimādikam /	vErAgyam-arTAn-AsaktiH-ESvarya-maNima-Adikam /
        tattadviparyayeṇaiva tāmasaṃ taccatuṣṭayam //	tad-tad-viparyayeNa-eva tAmasam tat-catuzwayam //
        jñānena mokṣo dharmeṇa gatirūrdhvā bhavediti /	jQAnena mokzaH DarmeNa gatiH-UrDvA Bavet-iti /
        vairāgyenākṣaralaya aiśvaryeṇāhatā gatiḥ //	vErAgyena-akzara-laya ESvaryeNa-AhatA gatiH //
        evameṣāṣṭadhā śaktirvyākhyātā buddhisañjñitā /	evam-ezA-azwaDA SaktiH-vyAKyAtA budDi-saQjQitA /
        pradhānavikṛtistveṣāhaṃkāraprakṛtiśca sā //	praDAna-vikRtiH-tu-eza-ahaMkAra-prakRtiH-ca sA //
        mūlaprakṛtirityādi kavibhiśca nirūpitam /	mUlaprakRtiH-ityAdi kaviBiH-ca nirUpitam /
        eko 'haṃkāra ityetajjijñāsā cedvibhāvaya //	ekaH ahaMkAraH iti-etat-jijQAsA ced-viBAvaya //
        yo 'haṃśabdaṃ karotyeṣa abhimāna iti smṛtaḥ /	yaH ahaMSabdam karoti-eza aBimAnaH iti smRtaH /
        spṛśe 'haṃ rasaye vāhaṃ svāmī cāhaṃ mayā hṛtaḥ //	spRSe aham rasaye vA-aham svAmI ca-aham mayA hRtaH //
        ityādi nāma yasyāsīttasya bhedā amī śṛṇu /	ityAdi nAma yasya-AsIt-tasya BedAH amI SRNu /
        vaikārikastaijasopi bhūtādiḥ sānumānakaḥ //	vEkArikaH-tEjasA-upi BUtAdiH sa-anumAnakaH //
        niranumānaśca pañcaite bhedāstasya prakīrttitāḥ /	niranumAnaH-ca paQca-ete BedAH-tasya prakIrttitAH /
        vaikārikaḥ sāttviko 'yaṃ bhūtādistāmasaḥ smṛtaḥ //	vEkArikaH sAttvikaH ayam BUtAdiH-tAmasaH smRtaH //
        taijaso rājaso jñeyastasmāt tanmātrapañcakam /	tEjasaH rAjasaH jQeyaH-tasmAt tanmAtra-paQcakam /
        ekādaśendriyagaṇaḥ sāttvikādabhijāyate //	ekAdaSa-indriya-gaNaH sAttvikAt-aBijAyate //
        devatāstvabhimāninyastaijasādapi cocyate /	devatAH-tu-aBimAninyaH-tEjasAt-api ca-ucyate /
        tadeva kathamevaṃ cet trivṛtkaraṇahetutaḥ //	tat-eva kaTam-evam ced trivRt-karaNa-hetutaH //
        śabdatanmātramityetat śabda evopalabhyate /	Sabda-tanmAtram-iti-etat SabdaH eva-upalaByate /
        na tūdāttaniṣādādibhedastasyopalabhyate //	na tu-udAtta-nizAda-Adi-BedaH-tasya-upalaByate //
        sparśatanmātramevaitat sparśa evopalabhyate /	sparSa-tanmAtram-eva-etat sparSaH eva-upalaByate /
        na tu śītamṛdutvādiviśeṣastasya labhyate //	na tu SIta-mRdutva-Adi-viSezaH-tasya laByate //
        rūpatanmātramevaṃ vai rasatanmātramapyatha /	rUpa-tanmAtram-evam vE rasa-tanmAtram-api-aTa /
        gandhatanmātrameteṣu viśeṣo nopalabhyate //	ganDa-tanmAtram-etezu viSezaH na-upalaByate //
        tanmātrāṇyaviśeṣāṇi sūkṣmabhūtāni cocyate /	tanmAtrANi-aviSezANi sUkzma-BUtAni ca-ucyate /
        bhogyāni śāntaghorāni prakṛtyā 'ṇava eva ca //	BogyAni SAnta-GorAni prakRtyAH aNavaH eva ca //
        kurvadrūpāt prakṛtayaḥ saṃkhyayā 'ṣṭau prakīrttitāḥ //	kurvat-rUpAt prakRtayaH saMKyayA azwO prakIrttitAH //
   ṣoḍaśa vikārāḥ || Tats_2 ||	zoxaSa vikArAH || Tats_2 ||
        ekādaśaivendriyāṇi mahābhūtāni pañca ca /	ekAdaSa-eva-indriyANi mahABUtAni paQca ca /
        vikārāḥ ṣoḍaśaivaite na tu prakṛtitājuṣaḥ //	vikArAH zoxaSa-eva-ete na tu prakRti-tAjuzaH //
        śrotraṃ tvak cakṣūṣī jihvā ghrāṇaṃ jñānendriyaṃ tvidam /	Srotram tvac cakzUzI jihvA GrANam jQAna-indriyam tu-idam /
        vākpāṇipāyūpasthapādāḥ karmendriyaṃ matam //	vAc-pANi-pAyu-upasTa-pAdAH karmendriyam matam //
        svaṃ svaṃ karma prakurvanti jñānaṃ ceti yathaiṣitam /	svam svam karma prakurvanti jQAnam ca-iti yaTA-ezitam /
        ubhayātmakaṃ manaścaiva saṃkalpādisvarūpavat //	uBaya-Atmakam manaH-ca-eva saMkalpa-Adi-svarUpa-vat //
        karaṇānīndriyāṇīti vaikārikamayaṃ rayaḥ /	karaNAni-indriyANi-iti vEkArika-mayam rayaH /
        padāni niyatānītyakṣāṇītyabhidhīyate //	padAni niyatAni-iti-akzANi-iti-aBiDIyate //
        pṛthivījalatejāṃsi vāyurākāśa ityapi /	pRTivI-jala-tejAMsi vAyuH-AkASaH iti-api /
        mahābhūtāni pañcaiva dhāraṇādyupakārataḥ //	mahABUtAni paQca-eva DAraNa-Adi-upakArataH //
        āpaḥ saṃgrahabhāvena caturṇāmupakārikāḥ /	ApaH saMgraha-BAvena caturNAm-upakArikAH /
        tejaḥ pācakabhāvena vāyurvahanabhāvataḥ //	tejaH pAcaka-BAvena vAyuH-vahana-BAvataH //
        śabdādipañcaguṇavatpṛthvī pañcaguṇā matā /	Sabda-Adi-paQca-guNavat-pRTvI paQcaguNA matA /
        āpaḥ śabdādisahitāḥ gandhena rahitāstathā //	ApaH Sabda-Adi-sahitAH ganDena rahitAH-taTA //
        tejaḥ śabdasparśavat rūpavat śvasane punaḥ /	tejaH Sabda-sparSa-vat rUpavat Svasane punar /
        śabdaśca sparśa ityevamākāśe śabda eva tu //	SabdaH-ca sparSaH iti-evam-AkASe SabdaH eva tu //
        na tu vigrahabhūtāni viśeṣākṛtayastathā /	na tu vigraha-BUtAni viSeza-AkRtayaH-taTA /
        vikārāḥ śāntaghorākhyamūḍhāḥ trividhakīrttitāḥ //	vikArAH SAnta-Gora-AKya-mUXAH triviDa-kIrttitAH //
   puruṣaḥ || Tats_3 ||	puruzaH || Tats_3 ||
        puri śayanāt pramāṇāt pūraṇāt puruvṛttitaḥ /	puri SayanAt pramANAt pUraNAt puruvRttitaH /
        sa cānādiḥ sarvagataścetano nirguṇo 'paraḥ //	sa ca-anAdiH sarva-gataH-cetanaH nirguNaH aparaH //
        draṣṭā bhoktā kṣetravidamalo 'prasavadharmakaḥ /	drazwA BoktA kzetra-vidamalaH aprasava-DarmakaH /
        sūkṣmo nityo hyanādistvamadhyanidhano 'pi saḥ //	sUkzmaH nityaH hi-anAdiH-tu-amaDya-niDanaH api saH //
        sarvamāptamaneneti tasmāt sarvagatastu saḥ /	sarvam-Aptam-anena-iti tasmAt sarva-gataH-tu saH /
        sukhopalabdhimattvācca cetano nirguṇastathā //	suKa-upalabDimat-tvAt-ca cetanaH nirguNaH-taTA //
        sattvādiguṇarāhityāt paraḥ paratayā smṛtaḥ /	sattva-Adi-guNa-rAhityAt paraH para-tayA smRtaH /
        dṛśyaprakṛtisambandhāt draṣṭā bhoktā 'nubhāvanāt //	dRSya-prakRti-sambanDAt drazwA BoktA anuBAvanAt //
        kṣetre guṇagataṃ vetti kṣetrajña iti kīrttitaḥ /	kzetre guNa-gatam vetti kzetrajQaH iti kIrttitaH /
        śubhāśubhādisaṃsargābhāvādamala īṣyate //	SuBa-aSuBa-Adi-saMsarga-aBAvAt-amalaH Izyate //
        nirbījatvāt prasūte ca netyaprasavadharmakaḥ /	nirbIja-tvAt prasUte ca na-iti-aprasava-DarmakaH /
