   śrī-bhāgavata-sandarbhe prathamaḥ	SrI--BAgavata--sandarBe praTamaH
   sveṣṭa-vastu-nirdeśaṃ maṅgalam ācarati kṛṣṇeti | nimi-nṛpatinā pṛṣṭaḥ	svezwa-vastu--nirdeSam maFgalam Acarati kRzNa-iti | nimi--nRpatinA pRzwaH
   kara-	kara-
   bhājano yogī satyādi-yugāvatārānuktvā'tha kalāv api tathā śṛṇu iti tam	BAjanaH yogI satya-Adi--yuga-avatArAn-uktvA-aTa kalO api taTA SRNu iti tam
   avadhāpyāha kṛṣṇa-varṇam iti | sumedhaso janāḥ kalāv api hariṃ bhajanti |	avaDApya-Aha kRzNa--varNam iti | sumeDasaH janAH kalO api harim Bajanti |
   kaiḥ | ity āha saṅkīrtana-prāyair yajñaiḥ arcanair iti | kīdṛśaṃ tam | ity	kEH | iti Aha saFkIrtana--prAyEH yajQEH arcanEH iti | kIdRSam tam | iti-
   āha	Aha
   kṛṣṇo varṇo rūpaṃ yasyāntar iti śeṣaḥ | tviṣā kāntyā tv akṛṣṇam | śuklo	kRzNaH varNaH rUpam yasya-antar iti SezaH | tvizA kAntyA tu akRzNam | SuklaH-
   raktas tathā pītaḥ idānīṃ kṛṣṇatāṃ gataḥ [BhP 10.8.13] iti	raktaH taTA pItaH idAnIm kRzNa-tAm gataH [Bhu 10.8.13] iti
   gargokti-pāriśeṣya-	gargokti-pAriSezya-
   vidyud-gauram ity arthaḥ | aṅge nityānandādvaitau | upāṅgāni	vidyut--gOram iti arTaH | aFge nitya-Ananda-advEtO | upAFgAni
   śrīvāsādayaḥ | astrāṇi avidyācchettṛtvād bhagavan-nāmāni | pārṣadāṅ	SrI-vAsa-AdayaH | astrANi avidyAt-CettR-tvAt Bagavan-nAmAni | pArzada-aF
   gadādhara-govindāyaḥ | taiḥ sahitam iti mahābalitvaṃ vyajyate |	gadADara--govindAyaH | tEH sahitam iti mahA-bali-tvam vyajyate |
   garga-vākye	garga--vAkye
   pīta iti prācīna-tad-avatārāpekṣayā | ayam avatāraḥ śveta-varāha-kalpa-	pItaH iti prAcIna-tad--avatAra-apekzayA | ayam avatAraH Sveta-varAha--kalpa-
   gatāṣṭa-viṃśa-vaivasvatam anvantarīya-kalau bodhyaḥ | tatratye	gata-azwa-viMSa--vEvasvatam anvantarIya-kalO boDyaH | tatratye
   śrī-caitanya	SrI--cEtanya
   evokta-dharma-darśanāt | anyeṣu kaliṣ kvacic chyāmatvena kvaicc cuka-	eva-ukta-Darma--darSanAt | anyezu kaliH kvacid SyAma-tvena kvEcc cuka-
   patrābhatvena vyakter ukteḥ | channaḥ kalau yad abhavaḥ [BhP 7.9.38] iti	patra-ABa-tvena vyakteH ukteH | CannaH kalO yat aBavaH [Bhj 7.9.38] iti
   śuklo	SuklaH-
   raktas tathā pītaḥ [BhP 10.8.13] iti | kalāv api tathā śṛṇu [BhP 11.5.31]	raktaH taTA pItaH [Bhu 10.8.13] iti | kalO api taTA SRNu [Bhj 11.5.31]
   iti ca |	iti ca |
   ye vimṛśanti te sumedhasaḥ | channatvaṃ ca preyasī-tviṣāvṛtatvaṃ bodhyam |	ye vimRSanti te sumeDasaH | Canna-tvam ca preyasI-tviza-AvRta-tvam boDyam |
   aṅkāḥ pūrvāṅkato'trānye ṭippanī-krama-bodhakāḥ | dvi-bindavas te vijñeyā	aFkAH pUrva-aFkataH-atra-anye wippa-nI--krama-boDakAH | dvi-bindavaH te vijQeyA
   viṣayāṅkāras tv abindavaḥ | atra granthe skandhādhyāya-sūcakā yugmāṅkā	vizaya-aFkAraH tu abindavaH | atra granTe skanDa-aDyAya--sUcakA yugma-aFkA
   grantha-kṛtāṃ santi | tebhyo'nye ye ṭippanī-krama-bodhāyāsmābhiḥ kalpitās	granTa-kRtAm santi | teByaH-anye ye wippa-nI--krama-boDAya-asmABiH kalpitAs
   te dvibindu-mastakāḥ | viṣaya-vākyebhyaḥ pare ye'ṅkās te tv abindu-mastakā	te dvi-bindu-mastakAH | vizaya--vAkyeByaH pare ye-aFkAH te tu abindu-mastakA
   bodhyāḥ ||1||	boDyAH ||1||
   antaḥkṛṣṇaṃ bahir gauraṃ darśitāṅgādi-vaibhavam |	antar-kRzNam bahis gOram darSita-aFga-Adi--vEBavam |
   kalau saṅkīrtanādyaiḥ smaḥ kṛṣṇa-caitanyam āśritāḥ ||2||	kalO saFkIrtana-AdyEH smaH kRzNa--cEtanyam ASritAH ||2||
   BD: kṛṣṇa-varṇa-padya-vyākhyā-vyājena tad-artham āśrayati antar iti |	BD: kRzNa--varNa-padI-a--vyAKyA--vyAjena tad--arTam ASrayati antar iti |
   sphuṭārthaḥ ||2||	sPuwa-arTaH ||2||
   jayatāṃ mathurā-bhūmau śrīla-rūpa-sanātanau |	jayatAm maTurA--BUmO SrIla--ru-upa-sanAtanO |
   yau vilekhayatas tattvaṃ jñāpakau pustikām imām ||3||	yO vileKayataH tattvam jQApakO pustikAm imAm ||3||
   BD: athāśīr namaskāra-rūpaṃ maṅgalam ācarati jayatām iti | śrīlau jñāna-	BD: aTa-ASIH namaskAra-rUpam maFgalam Acarati jayatAm iti | SrIlO jQAna-
   vairāgya-tapaḥ-sampattimantau rūpa-sanātanau me guru-parama-gurū jayataḥ	vErAgya--tapaH--sampattimantO rUpa-sanAtanO me guru-parama--gurU jayataH
   nijotkarṣaṃ prakaṭayatām | mathurā-bhūmāv iti | tatra tayor adhyakṣatā	nija-utkarzam prakawayatAm | maTurA--BUmO iti | tatra tayoH aDyakzatA
   vyajyate | tayor jayo'stv ity āśāsyate | jayatir	vyajyate | tayoH jayaH-astu iti ASAsyate | jayatiH-
   atra tad itara-sarva-sad-vṛndotkarṣa-vacanaḥ | tad-utkarṣāśrayatvāt tayos	atra tat itara--sarva--sad-vRnda-utkarza--vacanaH | tad--utkarza-ASraya-tvAt tayos
   tat-	tat-
   sarva-namasyatvam ākṣipyate | tat-sarvāntaḥpātitvāt svasya tau namayāv iti	sarva-namasya-tvam Akzipyate | tat--sarva-antar-pAti-tvAt svasya tO namayO iti
   ca vyajyate | tau kīdṛśāv ity āha | yāv imāṃ samdarbhākhyāṃ pustikāṃ	ca vyajyate | tO kIdRSO iti Aha | yO imAm samdarBa-AKyAm pustikAm
   vilekhayatas tasyā likhane māṃ pravartayataḥ | buddhau siddhatvāt imām ity	vileKayataH tasyAH liKane mAm pravartayataH | budDO sidDa-tvAt imAm iti-
   uktiḥ | tattvaṃ jñāpakau tattvaṃ vādya-prabhede syāt svarūpe paramātmani	uktiH | tattvam jQApakO tattvam vAdya--praBede syAt svarUpe paramAtmani
   iti	iti
   viśva-koṣāt | pareśaṃ saparikaraṃ jñāpayiṣyantāv ity arthaḥ | kartari	viSva-kozAt | para-ISam sa-parikaram jQApayizyantO iti arTaH | kartari
   bhaviṣyati ṇvul ṣaṣṭhī-niṣedhas tu akenor bhaviṣyad ādhamarṇayoḥ (Pāṇ	Bavizyati Nu-ut zazWI--nizeDaH tu akenoH Bavizyat ADamarNayoH (PAN
   2.3.70) iti sūtrāt ||3||	2.3.70) iti sUtrAt ||3||
   ko'pi tad-bāndhavo bhaṭṭo dakṣiṇa-dvija-vaṃśajaḥ |	kaH-api tad--bAnDavaH BawwaH dakziNa-dvija--vaMSa-jaH |
   vivicya vyalikhad granthaṃ likhitād vṛddha-vaiṣṇavaiḥ ||4||	vivicya vyaliKat granTam liKitAt vRdDa-vEzNavEH ||4||
   BD: granthasya purātanatvaṃ svapariṣkṛtatvaṃ cāha ko'pīti | tad-bāndhavas	BD: granTasya purAtana-tvam sva-parizkRta-tvam ca-Aha kaH-api-iti | tad--bAnDava-s
   tayo rūpa=sanātanayor bandhur gopāla-bhaṭṭa ity arthaḥ | vṛddha-vaiṣṇavaiḥ	tayoH rUpa=sanAtanayoH banDuH gopAla-BawwaH iti arTaH | vRdDa-vEzNavEH
   śrī-madhvādibhir likhitād granthāt taṃ vivicya vicārya sāraṃ gṛhītvā	SrI-maDu-AdiBiH liKitAt granTAt tam vivicya vicArya sAram gRhItvA
   grantham imaṃ vyalikhat ||4||	granTam imam vyaliKat ||4||
   tasyādyaṃ granthanālekhaṃ krāntam utkrānta-khaṇḍitam |	tasya-Adyam granTanAleKam krAntam utkrAnta---KaNxitam |
   paryālocyātha paryāyaṃ kṛtvā likhati jīvakaḥ ||5||	paryAlocya-aTa paryAyam kRtvA liKati jIvakaH ||5||
   BD: tasya bhaṭṭasya ādyaṃ purātanaṃ granthanālekhaṃ paryālocya jīvako	BD: tasya Bawwasya Adyam purAtanam granTanAleKam paryAlocya jIvakaH-
   mal-lakṣaṇaḥ paryāyaṃ kṛtvā kramaṃ nibadhya likhati | grantha sandarbhe	mal--lakzaNaH paryAyam kRtvA kramam nibaDya liKati | granTa sandarBe
   caurādikaḥ | tato ṇyāsa-śrantha (Pāṇ 3.3.107) iti karmaṇi yuc granthanā	cOra-AdikaH | tatas NyAsa--SranTaH (PAN 3.3.107) iti karmaNi yut granTanA
   granthaḥ | tasya lekhaṃ likhanaṃ, bhāve ghañ | taṃ lekhaṃ kīdṛśam ity āha	granTaH | tasya leKam liKanan, BAve Gan | tam leKam kIdRSam iti Aha
   krāntaṃ krameṇa sthitam | vyutkrāntaṃ vyutkrameṇa sthitam | khaṇḍitaṃ	krAntam krameNa sTitam | vyutkrAntam vyutkrameNa sTitam | KaNxitam
   chinnam iti svaśramasya sārthakyam ||5||	Cinnam iti sva-Sramasya sArTakyam ||5||
   yaḥ śrī-kṛṣṇa-padāmbhoja-bhajanaikābhilāṣavān |	yaH SrI-kRzNa--pada-amBoja--Bajana-eka-aBilAzavAn |
   tenaiva dṛśyatām etad anyasmai śapatho'rpitaḥ ||6||	tena-eva dRSyatAm etat anyasmE SapaTaH-arpitaH ||6||
   BD: granthasya rahasyatvam āha yaḥ śrīti | kṛṣṇa-pāratamye'nyenānādṛte	BD: granTasya rahasya-tvam Aha yaH SrI-iti | kRzNa--pAratamye-anyena-anAt-Rte
   tasyāmaṅgalaṃ syād iti | tan-maṅgalāyaitat | na tu granthāvadya-bhayāt |	tasya-amaFgalam syAt iti | tan-maFgalAya-etat | na tu granTa-avadya--BayAt |
   tasya suvyutpannair niravadyatvena parīkṣitatvāt ||6||	tasya su-vyutpannEH niravadya-tvena parIkzita-tvAt ||6||
   atha natvā mantra-gurūn gurūn bhāgavatārthadān |	aTa natvA mantra-gurUn gurUn BAgavata-arTa-dAn |
   śrī-bhāgavata-sandarbhaṃ sandarbhaṃ vaśmi lekhitum ||7||	SrI--BAgavata--sandarBam sandarBam vaSmi leKitum ||7||
   BD: atheti gūḍhasya prakāśaś ca sāroktiḥ śresṭhā tathā | nānārthavattvaṃ	BD: aTa-iti gUXasya prakASaH ca sAra-uktiH SresWA taTA | nAnA-arTavat-tvam
   vedyatvaṃ sandarbhaḥ kathyate budhaiḥ | ity abhiyuktokta-laksaṇaṃ	vedya-tvam sandarBaH kaTyate buDEH | iti aBiyukta-ukta-laksaNam
   sandarbhaṃ	sandarBam
   lekhituṃ vaśmi vāñchāmi | śrī-bhāgavataṃ sandṛbhyate grathyate'treti |	leKitum vaSmi vAQCAmi | SrI--BAgavatam sandRByate graTyate-atra-iti |
   halaś	halaH-
   ca (Pāṇ 3.3.21) ity adhikaraṇe ghañ ||7||	ca (PAN 3.3.21) iti aDikaraNe Gan ||7||
   yasya brahmeti saṃjñāṃ kvacid api nigame yāti cin-mātra-sattāpy	yasya brahma-iti saMjQAm kvacid api nigame yAti cin--mAtra--sat-tA-apy
   aṃśo yasyāṃśakaiḥ svair vibhavati vaśayann eva māyāṃ pumāṃś ca |	aMSaH yasya-aMSakEH svEH viBavati vaSayan eva mAyAm pumAn ca |
   ekaṃ yasyaiva rūpaṃ vilasati parama-vyomni nārāyaṇākhyaṃ	ekam yasya-eva rUpam vilasati parama-vyomni nArAyaNa-AKyam
   sa śrī-kṛṣṇo vidhattāṃ svayam iha bhagavān prema tat-pāda-bhājām ||8||	sa SrI--kRzNaH viDattAm svayam iha BagavAn prema tat-pAda-BAjAm ||8||
   BD: atha śrotṛ-rucy-utpattaye granthasya viṣayādīn anubandhān saṅkṣepeṇa	BD: aTa SrotR-ruci--utpattaye granTasya vizaya-AdIn anubanDAn saFkzepeNa
   tāvad āha yasyeti | sa svayaṃ bhagavān śrī-kṛṣṇaḥ | iha jagati tat-pāda-	tAvat Aha yasya-iti | sa svayam BagavAn SrI--kRzNaH | iha jagati tat-pAda-
   bhājāṃ tac-caraṇa-padma-sevināṃ sva-viṣayakaṃ prema vidhattām arpayatu |	BAjAm tac-caraNa--padma--sevinAm sva-vizayakam prema viDattAm arpayatu |
   sa kaḥ | ity āha yasya svarūpānubandhyākṛtiguṇa-vibhūti-viśiṣṭasyaiva śrī-	sa kaH | iti Aha yasya svarUpa-anubanDya-AkRti-guNa--viBUti-viSizwasya-eva SrI-
   kṛṣṇasya | cinmātra-sattā anabhivyakta-tat-tad-viśeṣā jñāna-rūpā	kRzNasya | cit-mAtra--sattA anaBivyakta-tat-tad--viSezA jQAna--rUpA
   vidyamānatā | kvacid api nigame kasmiṃścit satyaṃ jñānam anantaṃ brahma	vidyamAna-tA | kvacid api nigame kasmiMScid satyam jQAnam anantam brahma
   (TaittU 2.1.1) astīty evopalabdhavyaḥ (KaṭhU 2.3.13) ity ādi-rūpe śruti-	(TEttU 2.1.1) asti-iti eva-upalabDavyaH (KaWU 2.3.13) iti Adi-rUpe Sruti-
   khaṇḍe brahmeti saṃjñāṃ yāti | tādṛśatayā cintayatāṃ tathā pratītam āsīd	KaNxe brahma-iti saMjQAm yAti | tAdRSa-tayA cintayatAm taTA pratItam AsIt-
   ity	iti-
   arthaḥ | bhakti-bhāvita-manasāṃ tu vyañjita-tat-tad-viśeṣā saiva	arTaH | Bakti-BAvita--manasAm tu vyaQjita-tat-tad--viSezA sA-eva
   puruṣatvena	puruza-tvena
   pratītā bhavatīti bodhyam | satyaṃ jñānam ity upakrāntasyaivānandamaya-	pratItA Bavati-iti boDyam | satyam jQAnam iti upakrAntasya-eva-Ananda-maya-
   puruṣatvena nirūpaṇāt | ata evam uktaṃ jitaṃ te stotre -	puruza-tvena nirUpaNAt | atas evam uktam jitam te stotre -
   na te rūpaṃ na cākāro nāyudhāni na cāspadam |	na te rUpam na ca-AkAraH na-AyuDAni na ca-Aspadam |
   tathāpi puruṣākāro bhaktānāṃ tvaṃ prakāśate || iti |	taTA-api puruza-AkAraH BaktAnAm tvam prakASate || iti |
   sa caivaṃ prācīnāṅgīkṛtam iti vācyam | uktarītyā tasyāpy	sa ca-evam prAcIna-aFgIkRtam iti vAcyam | ukta-rItyA tasya-api-
   anabhīṣṭatvābhāvāt | yasya kṛṣṇasyāṃśaḥ pumān māyāṃ vaśayann eva svair	anaBIzwa-tva-aBAvAt | yasya kRzNasya-aMSaH pumAn mAyAm vaSayan eva svEH-
   aṃśakair vibhavati | kāraṇārṇavaśāyī sahasraśīrṣā puruṣaḥ saṅkarṣaṇaḥ	aMSakEH viBavati | kAraNa-arNava-SAyI sahasra-SIrzA puruzaH saFkarzaNaH
   kṛṣṇāṃśaḥ prakṛter bhartā | tāṃ vaśe sthāpayann eva sva-vīkṣaṇa-kṣubdhayā	kRzNa-aMSaH prakRteH BartA | tAm vaSe sTApayan eva sva-vIkzaNa-kzubDayA
   tayāṇḍāni sṛṣṭvā, teṣāṃ garbheṣv ambubhir ardha-pūrṇeṣu sahasra-śīrṣā	tayA-aNxAni sRzwvA, tezAm garBezu ambuBiH arDa--pUrNezu sahasra-SIrzA
   pradyumnaḥ san svair aṃśakaiḥ matsyādibhiḥ | vibhavati vibhava-saṃjñakān	pradyumnaH san svEH aMSakEH matsya-AdiBiH | viBavati viBava--saMjQakAn
   līlāvatārān prakaṭayatīty arthaḥ | yasyaiva kṛṣṇasya nārāyaṇākhyam ekaṃ	lIlA-avatArAn prakawayati-iti arTaH | yasya-eva kRzNasya nArAyaNa-AKyam ekam
   mukhyaṃ rūpam | āvaraṇāṣṭakād bahiḥṣṭhe parama-vyomni vilasati sa	muKyam rUpam | AvaraNa-azwakAt bahiHzWe parama--vyomni vilasati sa
   nārāyaṇo yaya vilāsa ity arthaḥ | ananyāpekṣi-rūpaḥ svayaṃ bhagavān prāyas	nArAyaNaH yaya vilAsaH iti arTaH | ananya-apekzi--rUpaH svayam BagavAn prAyas
   tat-sama-guṇa-vibhūtir ākṛtyādibhir anyādṛk tu vilāsa iti sarvam etac	tat-sama-guNa--viBUtiH AkRtya-AdiBiH anyAdRS tu vilAsaH iti sarvam etat-
   caturtha-sandarbhe visphuṭībhaviṣyad-vīkṣaṇīyam ||8||	caturTa-sandarBe visPuwIBavizyat--vIkzaNIyam ||8||
   athaivaṃ sūcitānāṃ śrī-kṛṣṇa-tad-vācya-vācakatā-lakṣaṇa-sambandha-tad-	aTa-evam sUcitAnAm SrI--kRzNa--tad--vAcya-vAcaka-tA--lakzaNa--sambanDa--tad-
   bhajana-lakṣaṇa-vidheya-saparyāyābhidheya-tat-prema-lakṣaṇa-	Bajana--lakzaNa-viDeya--sa-paryAya-aBiDeya--tat--prema--lakzaNa-
   prayojanākhyānām arthānāṃ nirṇayāya tāvat pramāṇaṃ nirṇīyate | tatra	prayojana-AKyAnAm arTAnAm nirNayAya tAvat pramANam nirNIyate | tatra
   puruṣasya bhramādi-doṣa-catuṣṭaya-duṣṭatvāt sutarām alaukikācintya-	puruzasya Brama-Adi-doza--catuzwaya--duzwa-tvAt sutarAm alOkikA-acintya-
   svabhāva-vastu-sparśāyogyatvāc ca tat-pratyakṣādīny api sadoṣāṇi ||9||	svaBAva--vastu--sparSa-ayogya-tvAt ca tat--pratyakza-AdIni api sa-dozANi ||9||
   BD:athaivam iti | sūcitānāṃ vyañjitānāṃ caturṇām ity arthaḥ | śrī-kṛṣṇaś	BD:aTA-evam iti | sUcitAnAm vyaQjitAnAm caturNAm iti arTaH | SrI--kRzNaH-
   ca	ca
   granthasya viṣayaḥ | tad-vācya-vācaka-lakṣaṇaś ca sambandhaḥ |	granTasya vizayaH | tad--vAcya-vAcaka-lakzaNaH ca sambanDaH |
   tad-bhajanaṃ	tad--Bajanam
   tac-chravaṇa-kīrtanādi-tal-lakṣaṇaṃ yad-vidheyaṃ tat-saparyāyāṃ yad	tac--SravaNa-kIrtana-Adi-tal--lakzaNam yat--viDeyam tat---saparyAyAm yat-
   abhidheyaṃ tac ca | tat-prema-lakṣaṇaṃ prayojanaṃ ca puruṣārthas tad-	aBiDeyam tat ca | tat--prema--lakzaNam prayojanam ca puruza-arTaH tat--
   ākhyānām | eka-vācya-vācakatavaṃ paryāyatvam | samānaḥ paryāyo'syeti	AKyAnAm | eka-vAcya--vAcakatavam paryAya-tvam | samAnaH paryAyaH-asya-iti
   saparyāyaḥ | samānārtahka-saha-śabdena samāsād asvapada-vigraho bahu-	sa-paryAyaH | samAna-artahka--saha--Sabdena samAsAt asvapada-vigrahaH bahu-
   vrīhiḥ | vopasarjanasya iti sūtrāt (Pāṇ 6.3.82) sahasya sādeśaḥ |	vrIhiH | vA-upasarjanasya iti sUtrAt (PAN 6.3.82) sahasya sa-AdeSaH |
   saha-śabdas tu sākalpa-yaugapadya-samṛddhiṣu |	saha--SabdaH tu sa-akalpa--yOgapad-ya--samRdDizu |
   sādṛśye vidyamāne ca sambandhe ca saha smṛtaṃ || iti śrīdharaḥ |	sAdRSye vidyamAne ca sambanDe ca saha smRtam || iti SrIDaraH |
   tatreti puruṣasya vyāvahārikasya vyutpannasyāpi bhramādi-doṣa-grastatvāt	tatra-iti puruzasya vyAvahArikasya vyutpannasya-api Brama-Adi-doza--grasta-tvAt-
   tādṛk-pāramārthaika-vastu-sparśānarhatvāc ca tat-pratyakṣādīni ca	tAdRS---pAramArTa-eka-vastu--sparSa-anarha-tvAt ca tat--pratyakza-AdIni ca
   sadoṣāṇīiti yojyam | bhramaḥ pramādo vipralipsā karaṇāpaṭavaṃ ceti jīve	sa-dozANI-iti yojyam | BramaH pramAdaH vipralipsA karaNa-apawavam ca-iti jIve
   catvāro doṣāḥ | teṣv atasmiṃs tad-buddhir bhramaḥ | yena sthāṇau puruṣa-	catvAraH dozAH | tezu atasmin tad--budDiH BramaH | yena sTANO puruza-
   buddhiḥ | anavadhānatānya-cittatālakṣaṇaḥ pramādaḥ | yenāntike gīyamānaṃ	budDiH | anavaDAna-tA-anya-citta-tA-lakzaNaH pramAdaH | yena-antike gIyamAnam
   gānaṃ na gṛhyate | vañcanecchā vipralipsā | yayā'śiṣye sva-jñāto'py artho	gAnam na gRhyate | vaQcanA-icCA vipralipsA | yayA-aSizye sva--jQAtaH-api arTaH-
   na	na
   prakāśyate | indriyam āndyaṃ karaṇāpaṭavam | yena datta-manasāpi yathāvat	prakASyate | indriyam Andyam karaNa-apawavam | yena datta--manasA-api yaTAvat-
   vastu na paricīyate | ete pramātṛ-jīva-doṣāḥ | parmāṇeṣu sañcaranti | teṣu	vastu na paricIyate | ete pramAtR-jIva--dozAH | parmANezu saQcaranti | tezu
   bhramādi-trayaṃ pratyakṣe, tan-mūlake'numāne ca | vipralipsā tu śabda iti	Brama-Adi-trayam pratyakze, tan-mUlake-anumAne ca | vipralipsA tu SabdaH iti
   bodhyam | pratyakṣādīny aṣṭau bhavanti pramāṇāni | tatrārtha-sannikṛṣṭaṃ	boDyam | pratyakza-AdIni azwO Bavanti pramANAni | tatra-arTa--sannikRzwam
   cakṣurādīndriyaṃ pratyakṣam | anumiti-karaṇam anumānam (Tarka-	cakzuH-Adi-indriyam pratyakzam | anumiti-karaNam anumAnam (Tarka-
   saṅgraha) agnyādi-jñānam anumitiḥ, tat-karaṇaṃ dhūmādi-jñānam | āpta-	saFgraha) agni-Adi-jQAnam anumitiH, tat-karaNam DUma-Adi-jQAnam | Apta-
   vākyaṃ śabdaḥ (ibid.) | upamiti-karaṇam upamānam (ibid.) go-sadṛśo gavaya	vAkyam SabdaH (ibid.) | upamiti-karaNam upamAnam (ibid.) go-sadRSaH gavaya
   ity ādau | saṃjñāsaṃjñi-sambandha-jñānam upamitiḥ (ibid.) tat-karaṇaṃ	iti AdO | saMjQA-saMjQi--sambanDa--jQAnam upamitiH (ibid.) tat-karaNam
   sādṛśya-jñānam |	sAdRSya--jQAnam |
   asaidhyad-artha-dṛṣṭyā sādhakānyārthakalpanam arthāpattiḥ | yayā	asEDya-d-arTa--dRzwyA sADaka-anya-arTa-kalpanam arTApattiH | yayA
   divābhuñjāne pīnatvaṃ rātri-bhojanaṃ kalpayitvā sādhyate | abhāva-	divA-BuQjAne pIna-tvam rAtri-Bojanam kalpayitvA sADyate | aBAva-
   grāhikānupalabdhiḥ | bhūtale ghaṭānupalabdhyā yathā ghaṭābhāvo gṛhyate |	grAhikA-anupalabDiH | BU-tale Gawa-anupalabDyA yaTA Gawa-aBAvaH gRhyate |
   sahasre śataṃ sambhaved iti buddhau sambhāvanā sambhavaḥ | ajñāta-	sahasre Satam samBavet iti budDO samBAvanA samBavaH | ajQAta-
   vaktṛkaṃ paramparāprasiddham aitihyam | yatheha tarau yakṣo'sti | ity evam	vaktRkam paramparA-prasidDam Etihyam | yaTA-iha tarO yakzaH-asti | iti evam
   aṣṭau ||9||	azwO ||9||
   tatas tāni na pramāṇīty anādi-siddha-sarva-puruṣa-paramparāsi sarva-	tatas tAni na pramANi-iti anAdi-sidDa--sarva--puruza-paramparA-asi sarva-
   laukikālaukika-jñāna-nidānatvād-aprākṛta-vacana-lakṣaṇo veda evāsmākaṃ	lOkika-alOkika-jQAna--nidAna-tvAt--aprAkRta-vacana--lakzaNaH vedaH eva-asmAkam
   sarvātīta-sarvāśraya-sarvācintyāścarya-svabhāvaṃ vastu vividiṣatāṃ	sarva-atIta--sarva-ASraya--sarva-acintya-AScarya--svaBAvam vastu vividizatAm
   pramāṇam ||10||	pramANam ||10||
   BD: tatas tāni ca pramāṇānīti | tato bhramādi-doṣa-yogāt | tāni	BD: tatas tAni ca pramANAni-iti | tatas Brama-Adi-da-Uza--yogAt | tAni
