   folios 1-4 are missing	folioH 1-4 are missing
   yaḥ punar yuṣmākaṃ necchati bhagavataḥ śāsane pravrajitum ihaiva	yaH punar yuzmAkam na-icCati BagavataH SAsane pravrajitum iha-eva
   nivartatāṃ / sarvāṇi ca tāni paṃcamāṇavakānāṃ śatāny evam āhuḥ / yat	nivartatAm / sarvANi ca tAni paMcamANavakAnAm SatAni evam AhuH / yat-
   kiṃcid vayaṃ jānīmas tat sarvaṃ yuvayor anubhāvena / nūnaṃ yuvām	kiMcid vayam jAnImaH tat sarvam yuvayoH anuBAvena / nUnam yuvAm
   udārasthāne pravrajitau / yam uddiśya pravrajitau yuvāṃ tam uddiśya vayam	udAra-sTAne pravrajitO / yam uddiSya pravrajitO yuvAm tam uddiSya vayam
   api pravrajiṣyāmaḥ //	api pravrajizyAmaH //
   athopatiṣyakaulitau parivrājakau paṃcaśataparivārau bhagavaṃtam uddiśya	aTa-upatizya-kOlitO parivrAjakO paMca-Sata-pari-vArO BagavaMtam uddiSya
   pravrajyāṃ saṃprasthitau viditvātha māraḥ pāpīmān bahirājagṛhasya	pravrajyAm saMprasTitO viditvA-aTa mAraH pApImAn bahi-rAja-gRhasya
   mahānagarasya mahāprapātam abhinirmitavān yojanaśatam adhastād (Kurumiya	mahA-nagarasya mahA-prapAtam aBinirmitavAn yojana-Satam aDastAt (Kurum-iya
   4) yathā tau na śakṣyataḥ śravaṇasya gautamasyāntikam upasaṃkramitum iti /	4) yaTA tO na SakzyataH SravaNasya gOtamasya-antikam upasaMkramitum iti /
   bhagavāṃś ca punaḥ tādṛśam ṛddhyabhisaṃskāram abhisaṃścakāra yathā tāv	BagavAn ca punar tAdRSam RdDi-aBisaMskAram aBisan=-cakAra yaTA tO=-
   upatiṣyakaulitau parivrājakau taṃ mahāprapātaṃ na dadṛśatuḥ / ṛjunā	upatizya-kOlitO parivrAjakO tam mahA-prapAtam na dadRSatuH / RjunA
   mārgeṇa gacchataḥ / punar api māraḥ pāpīmāṃs tayoḥ purataḥ parvatam	mArgeNa gacCataH / punar api mAraH pApImAn tayoH puratas parvatam
   abhinirmimīte dṛ ..... suṣiraṃ yojanasahasram uccatvena sahasraṃ ca	aBinirmimIte dR ..... suziram yojana-sahasram ucca-tvena sahasram ca
   siṃhānām abhinirmimīte caṇḍānāṃ duṣṭānāṃ ghorāṇāṃ / tau ca satpuruṣau	siMhAnAm aBinirmimIte caNxAnAm duzwAnAm GorANAm / tO ca sat-puruzO
   bhagavatas tejasārddhyanubhāvena ca taṃ parvatam api na dadṛśatuḥ na ca	BagavataH tejasA-ArdDi-anuBAvena ca tam parvatam api na dadRSatuH na ca
   siṃhān na ca siṃhanādañ chuśruvatuḥ / ṛjunā ca mārgeṇa yena bhagavāṃs	siMhAn na ca siMhanAdan CuSruvatuH / RjunA ca mArgeNa yena BagavAn=-
   tenopasaṃkrāmatuḥ / bhagavāṃś cānekaśatasahasrayā pariṣadā parivṛtaḥ	tena-upasaMkrAmatuH / BagavAn ca-aneka-Sata-sahasrayA parizadA parivRtaH
   puraskṛto dharmaṃ deśayati sma //	puraskRtaH Darmam deSayati sma //
   atha khalu bhagavān bhikṣūn āmantrayate sma / paśyata yūyaṃ bhikṣavaḥ etau	aTa Kalu BagavAn BikzUn Amantrayate sma / paSyata yUyam BikzavaH etO
   dvau satpuruṣau gaṇapramukhau gaṇaparivārau / āhuḥ / paśyāmo vayaṃ	dvO sat-puruzO gaNa-pramuKO gaNa-parivArO / AhuH / paSyAmaH vayam
   bhagavan // bhagavān āha / etau dvau satpuruṣau saparivārau mamāntike	Bagavan // BagavAn Aha / etO dvO sat-puruzO sa-parivArO mama-antike
   pravrajitvā eko mama sarvaśrāvakāṇāṃ prajñāvatām agro (Kurumiya 5)	pravrajitvA ekaH mama sarva-SrAvakANAm prajQAvatAm agraH (Kurum-iya 5)
   bhaviṣyati dvitīyo ṛddhimatām //	Bavizyati dvitIyaH RdDimatAm //
   athānyataro bhikṣus tasyāṃ velāyām imā gāthā abhāṣata //	aTa-anyataraH BikzuH tasyAm velAyAm imAH gATAH aBAzata //
   etau ca vijñapuruṣau parivāravantau yau vyākṛtau hitakareṇa narottamena /	etO ca vijQa-puruzO parivAravantO yO vyAkRtO hita-kareNa nara-uttamena /
   samanvitāv ṛddhidhiyā viśāradāv upemy ahaṃ gauravajāta etau // RKP_1.13	samanvitO RdDi-DiyA viSAradO upemi aham gOrava-jAtaH etO // RKc-_1.13
   atha khalu sa bhikṣur utthāyāsanād bahubhir bhikṣubhiḥ sārdhaṃ bahubhiś ca	aTa Kalu sa BikzuH utTAya-AsanAt bahuBiH BikzuBiH sArDam bahuBiH ca
   gṛhasthapravrajitair abhyudgamya tau satpuruṣau paryupāsate sma / atha tau	gRhasTa-pravrajitEH aByudgamya tO sat-puruzO paryupAsate sma / aTa tO
   satpuruṣau yena bhagavāṃs tenopajagmatuḥ / upetya bhagavataḥ pādau	sat-puruzO yena BagavAn tena-upajagmatuH / upetya BagavataH pAdO
   śirasābhivandya tṛpradakṣiṇaṃ kṛtvā bhagavataḥ purataḥ sthitvā bhagavaṃtam	SirasA-aBivandya tRpradakziNam kRtvA BagavataH puratas sTitvA BagavaMtam
   etad ūcuḥ / labhevahy āvāṃ vā bhagavato 'ntike	etat UcuH / laBevahi AvAm vA BagavataH antike
   pravrajyopasaṃpadbhikṣubhāvam / careyam āvāṃ bhagavato 'ntike brahmacaryaṃ	pravrajya-upasaMpad-Bikzu-BAvam / careyam AvAm BagavataH antike brahmacaryam
   // bhagavān āha / kiṃnāma yuvāṃ kulaputrau / upatiṣya āha / tiṣyasya	// BagavAn Aha / kiMnAma yuvAm kula-putrO / upatizye Aha / tizyasya
   brāhmaṇasyāhaṃ putra upatiṣyo nāma / mātā me śārikā nāma / tato me janma /	brAhmaNasya-aham putraH upatizyaH nAma / mAtA me SArikAH nAma / tatas me janma /
   tena me śāriputra iti nāmadheyaṃ kṛtaṃ / abhyanujñāto 'haṃ (Kurumiya 6)	tena me SAriputraH iti nAmaDeyam kRtam / aByanujQAtaH aham (Kurum-iya 6)
   pūrvaṃ mātāpitṛbhyāṃ pravrajyāyai // kolita āha / pitā me kauṇḍiṇyo nāma /	pUrvam mAtA-pitRByAm pravrajyAyE // kolitaH Aha / pitA me kONxiNyaH nAma /
   tena me kaulito nāma / mātā me mudgalā nāma / tena me maudgalyāyana iti	tena me kOlitaH nAma / mAtA me mudgalA nAma / tena me mOdgalyAyanaH iti
   sāmānyaṃ nāmadheyaṃ kṛtaṃ / kaścin me jano kaulita-m-iti saṃjānāti /	sAmAnyam nAmaDeyam kRtam / kaScid me janaH kOlita-m-iti saMjAnAti /
   kaścin maudgalyāyana iti // abhyanujñāto 'haṃ pūrvaṃ mātāpitṛbhyāṃ	kaScid mOdgalyAyanaH iti // aByanujQAtaH aham pUrvam mAtA-pitRByAm
   pravrajyāyai // bhagavān āha / caratāṃ śāriputramaudgalyāyanau saparivārau	pravrajyAyE // BagavAn Aha / caratAm SAriputra-mOdgalyAyanO sa-parivArO
   mamāntike brahmacaryam iti / saiva tayoḥ pravrajyā upasaṃpad bhikṣubhāvaś	mama-antike brahmacaryam iti / sA-eva tayoH pravrajyA upasaMpad Bikzu-BAvaH-
   ca / acirapravrajitau ca śāriputramaudgalyāyanau saparivārau //	ca / acira-pravrajitO ca SAriputra-mOdgalyAyanO sa-parivArO //
   atha māraḥ pāpīmān maheśvararūpeṇa bhagavataḥ purataḥ sthitvaivam āha //	aTa mAraH pApImAn maheSvara-rUpeNa BagavataH puratas sTitvA-evam Aha //
   ye śāstrārthaparicariyāsu nipuṇā vidyāsu pāraṃgatāḥ	ye SAstra-arTa-paricariyAsu nipuNAH vidyAsu pAraMgatAH
   te sarve praṇamaṃti matsucaraṇau teṣām ahaṃ nāyakaḥ /	te sarve praNamaMti mad-su-caraNO tezAm aham nAyakaH /
   kṣipraṃ maccharaṇaṃ saśiṣyapariṣaṃ gacchādya bho gautama	kzipram mad-SaraNam sa-Sizya-parizam gacCa-adya Bo gOtama
   sphītaṃ nirvṛti + + + + + taṃ vakṣyāmi mārgaṃ tava // RKP_1.14	sPItam nirvRti + + + + + tam vakzyAmi mArgam tava // RKc-_1.14
   bhagavān āha /	BagavAn Aha /
   (Kurumiya 7)	(Kurum-iya 7)
   tvanmārgo jagato 'sya durgativaho duḥkhārṇavaprāpako	tvad-mArgaH jagataH asya durgati-vahaH duHKa-arNava-prApako
   mārgo me sa carācarasya jagato duḥkhārṇavocchoṣakaḥ /	mArgaH me sa carAcarasya jagataH duHKa-arNava-ucCozakaH /
   kiṃ bhūyo lapasi pragalbhamukharo dhṛṣṭaṃ sṛgālasvaraḥ	kim BUyas lapasi pragalBa-muKaraH DRzwam sRgAla-svaraH
   vyābhagno 'si na mārakarma iha me śakto 'si kartuṃ punaḥ // RKP_1.15	vyABagnaH asi na mAra-karma iha me SaktaH asi kartum punar // RKc-_1.15
   atha māraḥ pāpīmān maheśvararūpam aṃtardhāya brahmaveṣeṇa punar bhagavataḥ	aTa mAraH pApImAn maheSvara-rUpam aMtarDAya brahma-vezeNa punar BagavataH
   purataḥ sthitvaivam āha //	puratas sTitvA-evam Aha //
   karmakleśabhavāṃkurapramathanaṃ yat te kṛtaṃ prajñayā	karma-kleSa-Bava-aMkura-pramaTanam yat te kRtam prajQayA
   duḥkhāny utsahasīha kiṃ punar itas sattvārtham evaṃ mune /	duHKAni utsahasi-iha kim punar itas sattva-arTam evam mune /
   nāsty asmiṃ jagati prabho kvacid api tvatpātrabhūto janaḥ	na-asti asmim jagati praBo kvacid api tvad-pAtra-BUtaH janaH
   kasmāt tvaṃ vigatāmayo na tvaritaṃ nirvāsi kālo hy ayam // RKP_1.16	kasmAt tvam vigata-AmayaH na tvaritam nirvAsi kAlaH hi ayam // RKc-_1.16
   bhagavān āha /	BagavAn Aha /
   gaṃgāvālukasannibhān asadṛśān sattvān prapaśyāmy ahaṃ	gaMgA-vAluka-sanniBAn asadRSAn sattvAn prapaSyAmi aham
   ye me vainayikāḥ sthitāḥ karuṇayā te saṃpramokṣyā mayā /	ye me vEnayikAH sTitAH karuNayA te saMpramokzyAH mayA /
   (Kurumiya 8)	(Kurum-iya 8)
   madhyotkṛṣṭajaghanyatām upagato nirmokṣya niṣṭhā jagat	maDya-utkRzwa-jaGanya-tAm upagataH nirmokzya nizWA jagat-
   nirvāsyāmi tato nimantrayasi māṃ śāṭhyena kiṃ durmate // RKP_1.17	nirvAsyAmi tatas nimantrayasi mAm SAWyena kim durmate // RKc-_1.17
   atha punar api māraḥ pāpīmān duḥkhito durmanā vipratisārī	aTa punar api mAraH pApi-imAn duHKitaH durmanAH vipratisArI
   tatraivāntardhāya svabhavanaṃ gatvā śokāgāraṃ praviśya niṣaṇṇaḥ /	tatra-eva-antarDAya sva-Bavanam gatvA Soka-AgAram praviSya nizaNNaH /
   tatkṣaṇam eva ca sarvamārabhavananivāsinaś ca sattvāḥ parasparaṃ pṛcchaṃti	tad-kzaNam eva ca sarva-mAra-Bavana-nivAsinaH ca sattvAH parasparam pRcCaMti
   sma / ko hetur yad ayam asmākaṃ mahārājaḥ śokāgāraṃ praviśya niṣaṇṇo na ca	sma / kaH hetuH yat ayam asmAkam mahA-rAjaH Soka-AgAram praviSya nizaNNaH na ca
   kaścij jānīte //	kaScid jAnIte //
   atha paṃca mārakanyāśatāni paramaprītikarāṇi puṣpamālyavilepanāni gṛhītvā	aTa paMca mAra-kanyA-SatAni parama-prIti-karANi puzpa-mAlya-vilepanAni gRhItvA
   paramamanojñair vastrābharaṇair ātmānam alaṃkṛtya paramamanojñaharṣakarāṇi	parama-manojQEH vastra-ABaraNEH AtmAnam alaMkRtya parama-manojQa-harza-karANi
   divyāni tūryāṇi pravādayaṃtyaḥ paramamanojñasvareṇa nṛtyaṃtyo gāyaṃtyo	divyAni tUryANi pravAdayaMtyaH parama-manojQa-svareNa nRtyaMtyaH gAyaMti-aH-
   vādayaṃtyo mahatā divyena paṃcāṃgikena tūryeṇa ratikrīḍāyuktena mārasya	vAdayaMtyaH mahatA divyena paMcAMgikena tUryeNa rati-krIxA-yuktena mArasya
   pāpīmataḥ purataḥ sthitāḥ / sa ca māraḥ pāpīmān bāhūn pragṛhya prakrośitum	pApIm-atas puratas sTitAH / sa ca mAraH pApi-imAn bAhUn pragRhya prakroSitum
   ārabdhaḥ / mā śabdaṃ kuruta mā śabdaṃ kuruteti / evam uktāś ca muhūrtaṃ tā	ArabDaH / mA Sabdam kuruta mA Sabdam kuruta-iti / evam uktAH ca muhUrtam tA
   apsarasas tūṣṇīṃ tasthuḥ / punar api pragāyaṃtyas tūryāṇi parājaghnuḥ /	apsarasaH tUzNIm tasTuH / punar api pragAyaMtyaH tUryANi parAjaGnuH /
   māraś ca pāpīmān punar api bāhudvayam utkṣipya prakrośitum ārabdho yāvat	mAraH ca pApImAn punar api bAhu-dvayam utkzipya prakroSitum ArabDaH yAvat-
   saptakṛtvas tā apsarasas tāṃ ratinibaddhanṛttavā .......... punar māraḥ	sapta-kRtvas tAH apsarasaH tAm rati-nibadDa-nRttavAH .......... punar mAraH
   pāpīmān tathaiva (Kurumiya 9) bāhudvayam unnāmyotkrośaṃ cakāra / mā śabdaṃ	pApImAn taTA-eva (Kurum-iya 9) bAhu-dvayam unnAmya-utkroSam cakAra / mA Sabdam
   kṛdhvaṃ mā śabdaṃ kṛdhvam iti / evam uktāś ca tā apsarasas tūṣṇīṃ tasthuḥ	kRDvam mA Sabdam kRDvam iti / evam uktAH ca tAH apsarasaH tUzNIm tasTuH
   atha khalu vidyudvalgusvarā nāmāpsarā yena māraḥ pāpīmāṃs tenāṃjaliṃ	aTa Kalu vidyut-valgu-svarAH nAma-apsarAH yena mAraH pApImAn tena-aMjalim
   praṇāmyaivam āha /	praNAmya-evam Aha /
   kiṃ te vibho cyutinimittam ihādya dṛṣṭaṃ	kim te viBo cyuti-nimittam iha-adya dRzwam
   kiṃ vā jagad dhutavahākulam adya jātaṃ /	kim vA jagat Dutavaha-Akulam adya jAtam /
   śatrus tavādhikabalaḥ kim ihāsti kaścit	SatruH tava-aDika-balaH kim iha-asti kaScid-
   + + + + + + samāśrayase saśokaḥ // RKP_1.18	+ + + + + + samASrayase sa-SokaH // RKc-_1.18
   māraḥ prāha //	mAraH prAha //
   śatrur mamāsti balavān nigṛhītacetā	SatruH mama-asti balavAn nigRhIta-cetAH-
   māyāsu śikṣitamatir bhuvi śākyaputraḥ /	mAyAsu Sikzita-matiH Buvi SAkya-putraH /
   tatprakṣayo yadi na cāsti kathaṃcid evaṃ	tad-prakzayaH yadi na ca-asti kaTaMcid evam
   śūnyaṃ kariṣyati mameha sa kāmadhātum // RKP_1.19	SUnyam karizyati mama-iha sa kAmaDAtum // RKc-_1.19
   sā apsarā provāca /	sA apsarA provAca /
   svāminn upāyabalavīryaparākramaiḥ kaiḥ	svAmin upAya-bala-vIrya-parAkramEH kEH
   kartuṃ kṣayaṃ param aśeṣam ihādya tasya /	kartum kzayam param aSezam iha-adya tasya /
   (Kurumiya 10)	(Kurum-iya 10)
   kaḥ śaknuyāt tribhavabandhanadīrghatīraṃ	kaH SaknuyAt tri-Bava-banDana-dIrGa-tIram
   tṛṣṇārṇavaṃ kṣapayituṃ valasā + yuktaḥ // RKP_1.20	tRzNA-arNavam kzapayitum valasA + yuktaH // RKc-_1.20
   māraḥ prāha /	mAraH prAha /
   dānavratāśayadayāpraṇidhānapāśaḥ	dAna-vratA-Saya-dayA-praNiDAna-pASaH
   śūnyānimittaparamāstragṛhītacāpaḥ /	SUnya-animitta-parama-astra-gRhIta-cApaH /
   niḥśeṣato bhavanivṛttyupadeśakartā	niHSezataH Bava-nivRtti-upadeSa-kartA
   saṃsāraniḥsṛtapathapraśamānukūlaḥ // RKP_1.21	saMsAra-niHsRta-paTa-praSama-anukUlaH // RKc-_1.21
   śūnyeṣu grāmanagareṣu vanāntareṣu	SUnyezu grAma-nagarezu vana-antarezu
   girikandareṣv api vasaṃti tasya śiṣyāḥ /	giri-kandarezu api vasaMti tasya SizyAH /
   dhyānābhiyuktamanasaḥ praviviktacārā	DyAna-aBiyukta-manasaH pravivikta-cArA
   doṣakṣayāya satataṃ vidhivat prayuktāḥ // RKP_1.22	doza-kzayAya satatam viDivat prayuktAH // RKc-_1.22
   ṛddhyā balaiḥ karuṇayā ca sahāyavantāv	RdDyA balEH karuNayA ca sahAyavantO=-
   upatiṣyakaulitav anau muninā vinītau /	upatizya-kOlitav anO muninA vinItO /
   trailokyasarvavidhinā suvinītadharmā	trElokya-sarva-viDinA su-vinIta-DarmA
   śūnyaṃ kariṣyati sa me kila kāmadhātuṃ // RKP_1.23	SUnyam karizyati sa me kila kAmaDAtum // RKc-_1.23
   atha taiḥ paṃcabhir mārakanyāśatair mārasya pāpīmato 'ntikād bhagavato	aTa tEH paMcaBiH mAra-kanyA-SatEH mArasya pApIm-atas antikAt BagavataH-
   guṇavarṇaṃ śrutvā sarvair ākāravigatavidyun nāma bodhisattvasamādhiḥ	guNa-varNam SrutvA sarvEH AkAra-vigata-vidyut nAma boDisattva-samADiH
   pratilabdhā / atha tāni paṃca mārakanyāśatāni divyāni tūryāṇi tāṃś ca	pratilabDAH / aTa tAni paMca mAra-kanyA-SatAni divyAni tUryANi tAn ca
   (Kurumiya 11) divyapuṣpagandhamālyavilepanābharaṇavibhūṣaṇālaṃkārān yena	(Kurum-iya 11) divya-puzpa-ganDa-mAlya-vilepana-ABaraNa-viBUzaNa-alaMkArAn yena
   bhagavāṃs tenākṣipan bhagavataḥ pūjākarmaṇe / tāni ca divyāni tūryāṇi te	BagavAn tena-Akzipan BagavataH pUjA-karmaNe / tAni ca divyAni tUryANi te
   ca yāvad alaṃkārā bhagavata ṛddhyanubhāvena veṇuvane vavarṣuḥ / tāś ca	ca yAvat alaMkArAH BagavataH RdDi-anuBAvena veNu-vane vavarzuH / tAH ca
   mārakanyāḥ svayam adrākṣuḥ saparivāraḥ / dṛṣtvā ca punar api tāḥ	mAra-kanyAH svayam adrAkzuH sa-parivAraH / dRztvA ca punar api tAH
   prasādapramodyajātā babhūvur yad veṇuvane evaṃrūpaṃ puṣpavarṣaṃ pravṛṣṭam	prasAda-pramodya-jAtAH baBUvuH yat veNu-vane evaMrUpam puzpa-varzam pravRzwam
   iti // te ca bhikṣavaḥ saṃśayajātā bhagavantaṃ papracchuḥ / yad bhagavann	iti // te ca BikzavaH saMSaya-jAtAH Bagavantam papracCuH / yat Bagavat-=-
   anayoḥ śāriputramaudgalyāyanoḥ saparivārayor idam evaṃrūpaṃ	anayoH SAriputra-mOdgalyAyanoH sa-parivArayoH idam evaMrUpam
   mahāścaryādbhutādṛṣṭāśrutapūrvaṃ varṣaṃ pravṛṣṭam / ko nv atra bhagavan	mahAH-caryA-adButa-adRzwa-aSruta-pUrvam varzam pravRzwam / kaH nu atra Bagavan
   hetuḥ / kaḥ pratyayaḥ / bhagavān āha / nānayoḥ kulaputrayor anubhāvaḥ /	hetuH / kaH pratyayaH / BagavAn Aha / na-anayoH kula-putrayoH anuBAvaH /
   mārasya tu pāpīmataḥ paṃcamātraiḥ paricārikāśatais tato mārabhavanād idam	mArasya tu pApIm-atas paMca-mAtrEH paricArikA-SatEH tatas mAra-BavanAt idam
   evaṃrūpaṃ mahāpuṣpavarṣaṃ yāvad alaṃkāravarṣam utsṛṣṭaṃ mama pūjākarmaṇe /	evaMrUpam mahA-puzpa-varzam yAvat alaMkAra-varzam utsRzwam mama pUjA-karmaNe /
   acirāt tā atrāgatā mamāntikād vyākaraṇaṃ pratilapsyante 'nuttarāyāṃ	acirAt tAH atra-AgatAH mama-antikAt vyAkaraNam pratilapsyante anuttarAyAm
   samyaksaṃbodhau //	samyaksaMboDO //
   (Kurumiya 12)	(Kurum-iya 12)
   atha tāni paṃcamātrāṇi mārakanyāśatāni svayam eva bhagavato	aTa tAni paMca-mAtrANi mAra-kanyA-SatAni svayam eva BagavataH-
   vākśrutaghoṣavyāhāram abhiśrutya bhūyasya mātrayā ca bhagavato 'ntike	vAc-Sruta-Goza-vyAhAram aBiSrutya BUyasya mAtrayA ca BagavataH antike
   prasādajātās tās tena prasādapramodyena bodhicittāsaṃpramoṣaṃ nāma	prasAda-jAtAH tAH tena prasAda-pramodyena boDicitta-asaMpramozam nAma
   samādhiṃ pratilebhire //	samADim pratileBire //
   atha khalu tā mārakanyās tatra mārabhavane ekāṃsaṃ cīvaraṃ prāvṛtya	aTa Kalu tAH mAra-kanyAH tatra mAra-Bavane eka-aMsam cIvaram prAvRtya
   dakṣiṇaṃ jānumaṇḍalaṃ pṛthivyāṃ pratiṣṭhāpyāṃjaliṃ kṛtvā yasyāṃ diśi	dakziNam jAnu-maNxalam pRTivyAm pratizWApya-aMjalim kRtvA yasyAm diSi
   bhagavān viharati tāṃ diśaṃ nirīkṣamāṇā evam ūcuḥ //	BagavAn viharati tAm diSam nirIkzamANAH evam UcuH //
   tṛṣṇāsarinnikhilaśoṣaka sarvalokam	tRzNA-sarit-niKila-Sozaka sarva-lokam
   ālokya netravikalaṃ jagad ekacakṣuḥ /	Alokya netra-vikalam jagat ekacakzuH /
   tvaṃ tārako 'dya jagataḥ sanarāmarasya	tvam tArakaH adya jagataH sa-nara-amarasya
   buddhā vayaṃ katham ihāśu mune bhavema // RKP_1.24	budDAH vayam kaTam iha-ASu mune Bavema // RKc-_1.24
   naradevapūjya bhagavan paramārthavādin	naradeva-pUjya Bagavan parama-arTa-vAdin
   strītvaṃ jugupsitam apohya vayaṃ samagrāḥ /	strI-tvam jugupsitam apohya vayam samagrAH /
   ṛddhyā tavottamamate tvaritaṃ samīpe	RdDyA tava-uttama-mate tvaritam samIpe
   gatvā munīndravacanaṃ śruṇuyāma evaṃ // RKP_1.25	gatvA muni-indra-vacanam SruNuyAmaH evam // RKc-_1.25
   nairātmyavādi bhagavan paramārthadarśin	nErAtmya-vAdi Bagavan parama-arTa-darSin
   bodhyaṃgaratnadhara nirmalavākpradīpa /	boDi-aMga-ratna-Dara nirmala-vAc-pradIpa /
   ākramya mārabalam apratima tvam asmān	Akramya mAra-balam apratima tvam asmAn
   (Kurumiya 13)	(Kurum-iya 13)
   bodhāya śīghram adhunā samaṃ vyākuruṣva // RKP_1.26	boDAya SIGram aDunA samam vyAkuruzva // RKc-_1.26
