   <B1> śrīḥ /	<B1> SrIH /
   atyantasaṃkṣiptapadārthatatkṛtau prabhāvalīṭippaṇamātanomyaham // 3 //	atyanta-saMkzipta-padArTa-tad-kRtO praBAvalI-wippaNa-mAtanomi-aham // 3 //
   yadyapyatra guroḥ kṛtāvapi mayāpyudbhāvyate kācanā- saṃbhūtistadapi	yadi-api-atra guroH kRtO=-api mayA-api-udBAvyate kAcanA saMBUtiH-tat-api
   pracāracature naiṣā purobhāgitā /	pracAra-cature na-ezA puroBAgitAH /
   kintu kṣmātilakāḥ kuśāgradhiṣaṇāḥ siddhāntabaddhādarā madvākyaṃ parihṛtya	kintu kzmA-tilakAH kuSa-agra-DizaNAH sidDAnta-badDa-AdarA mad-vAkyam parihRtya
   tatkṛtimalaṅkurvantviyaṃ me matiḥ // 4 // (prathamādhyāya eva	tad-kRtim-alaFkurvantu-iyam me matiH // 4 // (praTama-aDyAyaH eva
   dharmasvarūpavicārāvaśyakatānirūpaṇapūrvakaṃ	Darma-svarUpa-vicAra-avaSya-ka-tAni-rUpaNa-pUrvakam
   pūrvādhyāyenāvasarasaṅgatinirūpaṇapūrvakaṃ ca	pUrva-aDyAyena-avasara-saFgatinirUpaNa-pUrvakam ca
   dvitīyādhyāyārthapratijñānam) yadyapyādyasūtre dharmasvarūpajijñāsaiva	dvitIya-aDyAya-arTa-pratijQAnam) yadi-api-Adya-sUtre Darma-svarUpa-jijQAsA-eva
   prathamataḥ pratijñātā, tadvivaraṇapare ko dharmaḥ kiṃlakṣaṇakaḥ iti	praTamatas pratijQAtA, tad-vivaraNa-pare kaH DarmaH kiMlakzaNakaH iti
   bhāṣye 'pi pramāṇajijñāsātaḥ prāk svarūpajijñāsyaiva pratijñāteti	BAzye api pramANa-jijQAsAtaH prAk svarUpa-jijQA-asyA-eva pratijQAta-iti
   tatsvarūpanirūpaṇamevādau kartumucitam, na pramāṇanirūpaṇam; tathāpi	tad-svarUpa-nirUpaNam-eva-AdO kartum-ucitam, na pramANa-nirUpaNam; taTA-api
   meyasiddheḥ pramāṇādhīnatvāt codanāsūtre pramāṇāntarbhāvenaiva svarūpokteḥ	meya-sidDeH pramANa-aDIna-tvAt codanA-sUtre pramANa-antarBAvena-eva svarUpa-ukteH
   kartuṃ yogyāmapi svarūpacintāmupekṣya pramāṇacintā pūrvādhyāye kārtsnyena	kartum yogyAm-api svarUpa-cintAm-upekzya pramANa-cintA pUrva-aDyAye kArtsnyena
   kṛtā /	kRtA /
   yadarthaṃ ca yadārabdhaṃ tatsamāptau tadbuddhisthaṃ jāyata iti nyāyena	yad-arTam ca yat-A-ArabDam tad-samAptO tad-budDi-sTam jAyate iti nyAyena
   pramāṇacintāsamāptau buddhisthasya svarūpasyāvasaralābhāt tannirūpaṇaṃ	pramANa-cintA-samAptO budDi-sTasya svarUpasya-avasara-lABAt tad-nirUpaNam
   kriyata ityabhipretyāvasarasaṅgatimathavā śabdāntarādibhirvidheḥ	kriyate iti-aBipretya-avasara-saFgatim-aTavA Sabda-antara-AdiBiH-viDeH
   karmotpattiparatvādutpannasya ca punarvidhāvānarthakyāt	karma-utpatti-para-tvAt-utpannasya ca punar-viDO=-AnarTakyAt-
   bhedasiddhirānarthakyanirāsādhīnā prāmāṇyasiddhāveva śakyā vaktumiti	Beda-sidDiH-AnarTakya-nirAsa-aDInA prAmANya-sidDO=-eva SakyA vaktum-iti
   hetuhetumadbhāvasaṅgatiṃ vādhunāpadena pradarśayan samastādhyāyārthaṃ	hetu-hetum-at-BAva-saFgatim vA-aDunA-padena pradarSayan samasta-aDyAya-arTam
   pratijānīteṇa0 ------ evamiti //	pratijAnIteNa0 ----- evam-iti //
   (dvitīyādhyāye śāstrasaṅgatiḥ) anenaca ------- etadadhyāyārthanirūpaṇasya	(dvitIya-aDyAye SAstra-saFgatiH) anena-ca ------ etat-aDyAya-arTa-nirUpaNasya
   ko dharma ityaṃśopanipātāt ādyasūtrapratijñāviṣayatvena śāstrasaṃgatatvaṃ	kaH DarmaH iti-aMSa-upanipAtAt Adya-sUtra-pratijQA-vizaya-tvena SAstra-saMgata-tvam
   ------- sūcitam //	------ sUcitam //
   (śeṣaśeṣibhāvāditaḥ pūrvaṃ pramāṇanirūpaṇānantaraṃ ca	(Seza-Sezi-BAva-AditaH pUrvam pramANa-nirUpaNa-anantaram ca
   bhedanirūpaṇopapattiḥ) yadyapi pramāṇalakṣaṇottarapravṛttaikādaśādhyāyyapi	Beda-nirUpaNa-upapattiH) yadi-api pramANa-lakzaNa-uttara-pravRttA-ekAdaSa-aDyAyI-api
   pramāṇalakṣaṇasāpekṣā; tathāpi śeṣaśeṣibhāvanirūpaṇe	pramANa-lakzaNa-sApekzA; taTA-api Seza-Sezi-BAva-nirUpaNe
   bhedādhīnasiddhikatvasya pratyakṣataḥ "athātaḥ śeṣalakṣaṇa" miti	Beda-aDIna-sidDika-tvasya pratyakzatas "aTa-atas Seza-lakzaNa" miti
   sūtrakāreṇaiva darśitatvāt tatsiddhyarthaṃ kartavyasya	sUtrakAreNa-eva darSita-tvAt tad-sidDi-arTam kartavyasya
   bhedanirūpaṇasyāyamevāvasaraḥ /	Beda-nirUpaNasya-ayam-eva-avasaraH /
   evañca ko dharmaḥ kiṃlakṣaṇaka iti bhāṣyagataṃ pāṭhakramamarthakrameṇa	evaQca kaH DarmaH kiMlakzaNakaH iti BAzya-gatam pAWa-kramam-arTa-krameNa
   bādhitvā pramāṇalakṣaṇānantaraṃ bhedādikathanena svarūpanirūpaṇaṃ paścāt	bADitvA pramANa-lakzaNa-anantaram Beda-Adi-kaTanena sva-rUpa-nirUpaNam paScAt-
   kriyamāṇaṃ nāsaṅgatamiti bhāvaḥ //	kriyamANam na-asaFgatam-iti BAvaH //
   (bhāvanābheda evādhyāyārthaḥ na tu tadekatvaṃ dhātvarthabhedādikaṃ vā,	(BAvanA-BedaH eva-aDyAya-arTaH na tu tat-eka-tvam DAtu-arTa-Beda-Adikam vA,
   tannirūpaṇaṃ tvapavādenopajīvyatayā phalatvena vetyādinirūpaṇam) nanu	tad-nirUpaNam tu-apavAdena-upajIvya-tayA Palatvena vA-ityAdi-nirUpaNam) nanu
   ekatvānekatvādinā tatsvarūpanirūpaṇe adhyāyārthabhedāpattiriti śaṅkāṃ	eka-tva-aneka-tva-AdinA tad-svarUpa-nirUpaNe aDyAya-arTa-Beda-ApattiH-iti SaFkAm
   pariharati ------- atraceti //	pariharati ------ atra-ca-iti //
   śabdāntarādipramāṇairadhyāyārthatvena bhāvanābhede nirūpite	Sabda-antara-Adi-pramANEH-aDyAya-arTa-tvena BAvanA-Bede nirUpite
   kvacittadapavādatayā abhedanirūpaṇe 'pi nādhyāyārthatvamityarthaḥ /	kvacid-tad-apavAda-tayA aBeda-nirUpaNe api na-aDyAya-arTa-tvam-iti-arTaH /
   nanu abhedasyādhyāyārthatvābhāve 'pi bhāvanāpūrvadhātvarthānāṃ	nanu aBedasya-aDyAya-arTa-tva-aBAve api BAvanA-pUrva-DAtu-arTAnAm
   trayāṇāmapyagre bhedasya nirūpaṇāt kathaṃ nādhyāyārthabheda ityata āha	trayANAm-api-agre Bedasya nirUpaNAt kaTam na-aDyAya-arTa-BedaH iti-atas Aha
   --------- dhātvarthabhedastviti //	-------- DAtvarTa-BedaH-tu-iti //
   yadyapīha dharmasyaiva bhedanirūpaṇapratijñānāt tasya ca	yadi-api-iha Darmasya-eva Beda-nirUpaNa-pratijQAnAt tasya ca
   yāgādidhātvarthasyaiva śreyassādhanatvena dharmatvāt	yAga-Adi-DAtu-arTasya-eva SreyassADana-tvena Darma-tvAt-
   tadbhedasyaivādhyāyārthatvaṃ vaktuṃ yuktam, natu bhāvanābhedasya; tathāpi	tad-Bedasya-eva-aDyAya-arTa-tvam vaktum yuktam, na-tu BAvanA-Bedasya; taTA-api
   yāgāderasiddhasya kṛtiviṣayatvenaiva labdhātmanaḥ śreyassādhanatvena	yAga-AdeH-asidDasya kRti-vizaya-tvena-eva labDa-AtmanaH SreyassADana-tvena
   prādhānyāt kṛtereva bhedasyādhyāyārthatvaṃ nāyuktam /	prADAnyAt kRteH-eva Bedasya-aDyAya-arTa-tvam na-ayuktam /
   ata evāpūrvasya aśabdārthatvāt tatsvarūpeṇa bhedanirūpaṇāśaktestadbhedasya	atas eva-apUrvasya aSabda-arTa-tvAt tad-svarUpeNa Beda-nirUpaNa-aSakteH-tad-Bedasya
   bhāvanābhedānuniṣpāditvam; vyāpārabhedasya phalabhedavyāpyatvaniyamāt	BAvanA-Beda-anunizpAdi-tvam; vyApAra-Bedasya Pala-Beda-vyApya-tva-niyamAt-
   śreyassādhanatvasya cāpūrvamantareṇāsaṃbhavādapūrvotpattiparyantameva	SreyassADana-tvasya ca-apUrvam-antareNa-asaMBavAt-apUrva-utpatti-paryantam-eva
   sakalabhāvanoparamāt phalatvenādriyamāṇatvāt tadbhedasyāpi	sakala-BAvanA-uparamAt Pala-tvena-AdriyamANa-tvAt tad-Bedasya-api
   phalībhūtatvamanuniṣpāditatve 'pi naiva virudhyate; dhātvarthabhedasya tu	PalIBUta-tvam-anunizpAdita-tve api na-eva viruDyate; DAtu-arTa-Bedasya tu
   bhāvanābhedasidhyarthatvena nirūpaṇam /	BAvanA-Beda-siDi-arTa-tvena nirUpaNam /
   yadyapi kāraṇavyāpārabhedādeva kāryabhedasya dṛṣṭatvāt bhāvanābheda eva	yadi-api kAraNa-vyApAra-BedAt-eva kArya-Bedasya dRzwa-tvAt BAvanA-BedaH eva
   dhātvarthabhedasidhyarthaḥ; tathāpi kāraṇagatavaijātyasya	DAtvarTa-Beda-siDi-arTaH; taTA-api kAraNa-gata-vEjAtyasya
   kāryagatavaijātyādhīnasiddhikatvena yajatyādidhātūnāṃ	kArya-gata-vEjAtya-aDIna-sidDika-tvena yajati-Adi-DAtUnAm
   svarūpabhedenopāttānāṃ bhāvanābhedavyañjakatvamabhipretya	svarUpa-Bedena-upAttAnAm BAvanA-Beda-vyaQjaka-tvam-aBipretya
   dhātvarthabhedasya bhāvanābhedasādhakatvoktiḥ sarveṣāmiti dhyeyam //	DAtvarTa-Bedasya BAvanA-Beda-sADaka-tva-uktiH sarvezAm-iti Dyeyam //
   (dhātvarthābhede 'pi guṇādbhāvanābhedasiddhyā kvācitka ityuktamiti	(DAtu-arTa-aBede api guNAt-BAvanA-Beda-sidDyA kvAcid-kaH iti-uktam-iti
   nirūpaṇam) guṇaphalādhikāre vākyabhedāpādakaguṇāt dhātvarthābhede 'pi	nirUpaNam) guNa-Pala-aDikAre vAkya-Beda-ApAdaka-guNAt DAtu-arTa-aBede api
   bhāvanābhedasya vakṣyamāṇatvāt dhātvarthabhedasya na	BAvanA-Bedasya vakzyamANa-tvAt DAtu-arTa-Bedasya na
   sārvatrikabhāvanābhedasidhyarthatvamityabhipretya kvācitka ityuktam //	sArvatrika-BAvanA-Beda-siDyarTa-tvam-iti-aBipretya kvAcid-kaH iti-uktam //
   (sarvādhyāyopodghātabhāvārthādhikaraṇopodghātatvena	(sarva-aDyAya-upodGAta-BAva-arTa-aDikaraNa-upodGAta-tvena
   pratipadādhikaraṇapravṛttiriti nirūpaṇam) bhāvanābhedavicārasya	pratipadA-aDikaraNa-pravRttiH-iti nirUpaNam) BAvanA-Beda-vicArasya
   dvitīyapādamārabhya vakṣyamāṇatvāt tasyehāvicāryatve kathamagrimavicārasya	dvitIya-pAdam-AraBya vakzyamANa-tvAt tasya-iha-avicArya-tve kaTam-agrima-vicArasya
   saṅgatirityāśaṅkāṃ sarvādhyāyopodghātarūpabhāvārthādhikaraṇasya	saFgatiH-iti-ASaFkAm sarva-aDyAya-upodGAta-rUpa-BAva-arTa-aDikaraNasya
   vartiṣyamāṇasyopodghātasaṅgatyā pariharati -------- phalībhūteti //	vartizyamANasya-upodGAta-saFgatyA pariharati ------- PalIBUta-iti //
   apūrvasya sākṣāt bhāvanājanyatvābhāvāt	apUrvasya sAkzAt BAvanA-janya-tva-aBAvAt
   dvārībhūtadhātvarthādijanyatvapratīteḥ phalasādhanasyaiva	dvArIBUta-DAtu-arTa-Adi-janya-tva-pratIteH Pala-sADanasya-eva
   avāntaravyāpārarūpāpūrvajanakatvāt phalasādhanabhede 'pūrvabhedastadekatve	avAntara-vyApAra-rUpA-pUrva-janaka-tvAt Pala-sADana-Bede apUrva-BedaH-tat-eka-tve
   tadekatvamityevaṃphalakaṃ	tat-eka-tvam-iti-evaMPalakam
   kariṣyamāṇadhātvarthamātravṛttiphalasādhanatvavicāropodghātatayā idaṃ	karizyamANa-DAtu-arTa-mAtra-vRtti-Pala-sADana-tva-vicAra-upodGAta-tayA idam
   pratipadādhikaraṇamārabhyata ityarthaḥ //	pratipadA-aDikaraNam-AraByate iti-arTaH //
   (vrīhīn prokṣatītyādīnāmuktādhikaraṇaviṣayatvena	(vrIhIn prokzati-ityAdIna-am-ukta-aDikaraNa-vizaya-tvena
   sāmādivākyaviṣayatvopapādanam) "vrīhīnavahanti" "vrīhīn prokṣatī" tyādau	sAma-Adi-vAkya-vizaya-tva-upapAdanam) "vrIhIn-avahanti" "vrIhIn prokzatI" tyAdO
   dvitīyayaiva vrīhyādeḥ karmatvasiddhyā pariśeṣeṇa dhātvarthasyaiva	dvitIyayA-eva vrIhi-AdeH karma-tva-sidDyA pariSezeNa DAtu-arTasya-eva
   karaṇatvam /	karaNa-tvam /
   tathā "dadhnā juhotī"tyādau homasya prāptatvenāvidheyatayā karaṇatvābhāve	taTA "daDnA juhoti-i"ti-AdO homasya prApta-tvena-aviDeya-tayA karaNa-tva-aBAve
   karmatvenaivānvayāt upapadārthasyaiva karaṇatvamiti sandehābhāvāt	karma-tvena-eva-anvayAt upapadArTasya-eva karaNa-tvam-iti sandeha-aBAvAt-
   nātrodāharaṇatvamityabhipretya somādivākyānāmevodāharaṇatvaṃ sūcayituṃ	na-atra-udAharaNa-tvam-iti-aBipretya soma-Adi-vAkyAnAm-eva-udAharaNa-tvam sUcayitum
   somāderapītyuktam /	soma-AdeH-api-iti-uktam /
   ādipadena sauryādivākyagatacarupadopāttasaṃgrahaḥ /	Adipadena sOrya-Adi-vAkya-gata-caru-pada-upAtta-saMgrahaH /
   ataevaitadapavādabhūte tāni dvaidhamityadhikaraṇe dhātvarthasyaiva	ataeva-etat-apavAda-BUte tAni dvEDam-iti-aDikaraNe DAtu-arTasya-eva
   karaṇatvamiti teṣāmudāharaṇatvamityarthaḥ //	karaNa-tvam-iti tezAm-udAharaNa-tvam-iti-arTaH //
   (bhāvādhikaraṇāpravṛttyā matvarthalakṣaṇānaṅgīkārapakṣeṇa vā somasyāpi	(BAva-aDikaraNa-apravRttyA matu-arTa-lakzaNa-anaFgIkAra-pakzeNa vA somasya-api
   bhāvanānvayopapādanam) auttarakālika iti //	BAvanA-anvaya-upapAdanam) OttarakAlikaH iti //
   pārṣṭhika ityarthaḥ /	pArzWikaH iti-arTaH /
   etacca bhāvārthādhikaraṇe dhātvarthasyaiva karaṇatvamityarthasya	etat-ca BAva-arTa-aDikaraNe DAtu-arTasya-eva karaNa-tvam-iti-arTasya
   sādhayiṣyamāṇatvenāsiddhimabhipretya draṣṭavyam; itarathā	sADayizyamANa-tvena-asidDim-aBipretya drazwavyam; itaraTA
   tatkaraṇāvaruddhāyāṃ bhāvanāyāṃ prathamataḥ somādīnāmanvayāsaṃbhavena	tad-karaNa-avarudDAyAm BAvanAyAm praTamatas soma-AdInAm-anvaya-asaMBavena
   siddhāntisaṃmatatvāsaṃbhavāt /	sidDAnti-saMmata-tva-asaMBavAt /
   athavā --------- matvarthalakṣaṇānaṅgīkārapakṣeṇa vā siddhāntino 'pi	aTavA -------- matu-arTa-lakzaNa-anaFgIkAra-pakzeNa vA sidDAntinaH api
   saṃmatatvāditi grantho yojyaḥ //	saMmata-tvAt-iti granTaH yojyaH //
   (pradhānānvayābhyarhitatvāt vikalpe 'pi nirapekṣasādhanatvopapatteśca	(praDAna-anvaya-aByarhita-tvAt vikalpe api nirapekza-sADanatva-upapatteH-ca
   sarveṣāṃ phalakaraṇatvenānvayanirūpaṇam) sarveṣāmeveti //	sarvezAm Pala-karaNa-tvena-anvaya-nirUpaNam) sarvezAm-eva-iti //
   sati saṃbhave pradhānānvayasyābhyarhitatvādekasya phalānvaye itarasya	sati saMBave praDAna-anvayasya-aByarhita-tvAt-ekasya Pala-anvaye itarasya
   phalaguṇānvaye ca vairūpyasya matvarthalakṣaṇāyāścāpatteḥ sarveṣāṃ	Pala-guNa-anvaye ca vErUpyasya matu-arTa-lakzaNAyAH-ca-ApatteH sarvezAm
   bhāvanāyāmevānvayamaṅgīkṛtya phalakaraṇatvaṃ yuktam /	BAvanAyAm-eva-anvayam-aFgIkRtya Pala-karaNa-tvam yuktam /
   yadyapi vikalpe nirapekṣasādhanatve sati aikārthyasyaiva prayojakatvasya	yadi-api vikalpe nirapekza-sADana-tve sati EkArTyasya-eva prayojaka-tvasya
   dvādaśe vakṣyamāṇatvāditarathā dṛṣṭārthamātratvasyaiva tatprayojakatvoktau	dvAdaSe vakzyamANa-tvAt-itaraTAH dRzwa-arTa-mAtra-tvasya-eva tad-prayojaka-tva-uktO
   ekārthānāṃ kāmyakarmaṇāṃ vikalpānāpatteḥ prakṛte ca samāsa iva	eka-arTAnAm kAmya-karmaNAm vikalpa-anApatteH prakRte ca samAse iva
   suptiṅvibhaktyorapi sāmarthyāpekṣitvena nirapekṣakaraṇatvapratītyā vikalpa	suptiFviBaktyoH-api sAmarTya-apekzi-tvena nirapekza-karaNa-tva-pratItyA vikalpa
   eva prāpnoti; tathāpi	eva prApnoti; taTA-api
   aruṇaikahāyanyorivānyonyākāṅkṣayaikavākyopāttatvādekasyāṃ bhāvanāyāṃ	aruNa-eka-hAyanyoH-iva-anyonya-AkAFkzayA-eka-vAkya-upAtta-tvAt-ekasyAm BAvanAyAm
   tṛtīyādibalena karaṇānāṃ nairapekṣyāvagame 'pi parasparasāpekṣatvena	tRtIya-Adi-balena karaNAnAm nErapekzya-avagame api paraspara-sApekza-tvena
   tṛtīyāvagatanairapekṣyasya svavākyopāttakaraṇātiriktaviṣayatvābhyupa-	tRtIya-avagatanEH-apekzyasya sva-vAkya-upAtta-karaNa-atirikta-vizaya-tva-aByupa-
   gamāddarśādivaccaikapadopādānābhāve 'pi ekavākyopāttatayā pratītasya	gamAt-darSa-Adi-vat-ca-eka-pada-upAdAna-aBAve api eka-vAkya-upAtta-tayA pratItasya
   sāhityasya upādeyagatatvena vivakṣitatvāt samuccitānāṃ sādhanatvābhāve 'pi	sAhityasya upAdeya-gata-tvena vivakzita-tvAt samuccitAnAm sADana-tva-aBAve api
   sādhanānāṃ samuccaya ityabhipretya sarveṣāmityuktam //	sADanAnAm samuccayaH iti-aBipretya sarvezAm-iti-uktam //
   (tṛtīyāvagatanirapekṣakaraṇatvopapattyarthamanekādṛṣṭakalpanāprasaṅgeṇa	(tRtIya-avagata-nirapekza-karaNa-tva-upapatti-arTam-aneka-adRzwa-kalpanA-prasaFgeNa
   matvarthalakṣaṇayā sarveṣāṃ sākṣādbhāvanānvayaṃ vinā siddhāntopakramaḥ)	matu-arTa-lakzaNayA sarvezAm sAkzAt-BAvanA-anvayam vinA sidDAnta-upakramaH)
   yadyapi bhāvanaikyaṃ tatraiva sarveṣāṃ ekaphaladvārā samuccayena	yadi-api BAva-nA-Ekyam tatra-eva sarvezAm eka-Pala-dvArA samuccayena
   karaṇatvenānvayaśca; tathāpi tatra paramāpūrvasya phalasya caikatve 'pi	karaNa-tvena-anvayaH-ca; taTA-api tatra paramA-pUrvasya Palasya ca-eka-tve api
   tattatkaraṇajanyotpattyapūrvāṇāṃ bhedāvaśyaṃbhāvādanekādṛṣṭakalpanāṃ	tad-tad-karaNa-janya-utpatti-apUrvANAm Beda-avaSyaMBAvAt-aneka-adRzwa-kalpanAm
   pūrvapakṣe āpādya siddhāntamāha --------- sarveṣāmiti //	pUrva-pakze ApAdya sidDAntam-Aha -------- sarvezAm-iti //
   naca ---------karaṇānāṃ sāpekṣatvena kramikatvābhāvādekamevotpattyapūrvaṃ	na-ca ---------karaNAnAm sa-apekza-tvena kramikatva-aBAvAt-ekam-eva-utpatti-apUrvam
   kalpyatāmiti --------vācyam; tṛtīyādināvagatasya	kalpyatAm-iti --------vAcyam; tRtIya-AdinA-avagatasya
   anyonyanirapekṣakaraṇatvasya kiñcitkāryanirūpitatvāvaśyaṃbhāve phale phalā	anyonya-nirapekza-karaNa-tvasya kiQcid-kArya-nirUpita-tva-avaSyaMBAve Pale PalA
   pūrve vā tadasaṃbhavenotpattyapūrvanirūpitatvāvagaterdadhipayoyāgayoḥ	pUrve vA tad-asaMBavena-utpatti-apUrva-nirUpita-tva-avagateH-daDipayoyAgayoH
   kramikatvabhāve 'pi tadbhedasyevehāpi tadbhedasyānirvāryatvādityarthaḥ /	kramika-tva-BAve api tad-Bedasya-iva-iha-api tad-Bedasya-anirvArya-tvAt-iti-arTaH /
   ato 'gatyā sarveṣāṃ pradhānasaṃbandhatyāgena matvarthalakṣaṇāmapyaṅgīkṛtya	atas agatyA sarvezAm praDAna-saMbanDa-tyAgena matu-arTa-lakzaNAm-api-aFgIkRtya
   somādiviśiṣṭadhātvarthasya athavā -------------	soma-Adi-viSizwa-DAtu-arTasya aTavA -------------
   dhātvarthaviśiṣṭasomādereva vā pārṣṭhikabodhe phalakaraṇatvamanyasya	DAtu-arTa-viSizwa-soma-AdeH-eva vA pArzWika-boDe Pala-karaNa-tvam-anyasya
   tadarthatve yuktamityāha ----------- ekasyaiveti //	tad-arTa-tve yuktam-iti-Aha ---------- ekasya-eva-iti //
   (pārṣṭhikabodhenāśrayasamarpaṇena dṛṣṭavidhayopayoga iti	(pArzWika-boDena-ASraya-samarpaNena dRzwa-viDayA-upayogaH iti
   siddhāntopasaṃhāraḥ) āśrayavidhayaiveti //	sidDAnta-upasaMhAraH) ASraya-viDayA-eva-iti //
   yadyapi prākāraṇika āśrayo na labhyate; tathāpīha viśiṣṭavidhitvāt	yadi-api prAkAraNika ASrayaH na laByate; taTA-api-iha viSizwa-viDi-tvAt-
   pārṣṭhikabodhe yāgasya somaṃ pratyāśrayatayā vidhānopapatterna kācidapi	pArzWika-boDe yAgasya somam pratyASraya-tayA viDAna-upapatteH-na kAcid-api
   kṣatiḥ /	kzatiH /
   evañca guṇagatakaraṇatāsaṃpādakatayā dṛṣṭārthatālābhāt anirṇaya iti bhāvaḥ	evaQca guNa-gata-karaNa-tA-saMpAdaka-tayA dRzwa-arTa-tA-lABAt anirNayaH iti BAvaH
   iti prathamaṃ pratipadādhikaraṇam //	iti praTamam pratipadA-aDikaraNam //
   --------------- <B1> (2 adhikaraṇam)(a.2 pā.1 adhi.2) evaṃ sthite	-------------- <B1> (2 aDikaraNam-)(a.2 pA.1 aDi.2) evam sTite
   viśeṣajijñāsāyāṃ somādereva phalakaraṇatvam; tasya siddhatvena	viSeza-jijQAsAyAm soma-AdeH-eva Pala-karaNa-tvam; tasya sidDa-tvena
   yogyatārūpaliṅgāt, tṛtīyāyāḥ karaṇatve śaktatvena	yogya-tArUpa-liFgAt, tRtIyAyAH karaNa-tve Sakta-tvena
