   harṣacaritam	harza-caritam
   kathamākhyāyikākārā na te vandyaḥ kavīśvarāḥ // 1.10 //	kaTam-AKyAyikA-AkArAH na te vandyaH kavi-ISvarAH // 1.10 //
   kavīnāmagaladdarpo nūnaṃ vāsavadattayā /	kavInAm-agalat-darpaH nUnam vAsavadattayA /
   śaktyeva pāṇḍuputrāṇāṃ gatayā karṇagocaram // 1.11 //	Saktyeva pANxu-putrANAm gatayA karNa-gocaram // 1.11 //
   padabandhojjvalo hārī kṛtavarṇakramasthitiḥ /	padabanDa-ujjvalaH hArI kRta-varNa-krama-sTitiH /
   bhaṭṭārahariścandrasya gadyabandho nṛpāyate // 1.12 //	BawwArahariScandrasya gadyabanDaH nRpAyate // 1.12 //
   avināśinamagrāmyamakarotsātavāhanaḥ /	avinASinam-agrAmyam-akarot-sAtavAhanaH /
   viśuddhajātibhiḥ kośaṃ ratnairiva subhāṣitaiḥ // 1.13 //	viSudDa-jAtiBiH koSam ratnEH-iva su-BAzitEH // 1.13 //
   kīrtiḥ pravarasenasya prayātā kumudojjvalā /	kIrtiH pravarasenasya prayAtA kumuda-ujjvalAH /
   sāgarasya paraṃ pāraṃ kapisenaiva setunā // 1.14 //	sAgarasya param pAram kapi-senA-eva setunA // 1.14 //
   sūtradhārakṛtārambhairnāṭakairbahurbhūmikaiḥ /	sUtra-DAra-kRta-AramBEH-nAwakEH-bahuH-BUmikEH /
   sapatākairyaśo lebhe bhāso devakulairiva // 1.15 //	sa-patAkEH-yaSaH leBe BAsaH devakulEH-iva // 1.15 //
   nirgatāsu na vā kasya kālidāsasya sūktiṣu /	nirgatAsu na vA kasya kAli-dAsasya sUktizu /
   prītirmadhurasāndrāsu mañjarīṣviva jāyate // 1.16 //	prItiH-maDura-sAndrAsu maQjarIzu-iva jAyate // 1.16 //
   samuddīpitakandarpā kṛtagaurīprasādhanā /	samuddIpita-kandarpA kRta-gOrI-prasADanAH /
   haralīleva no kasya vismayāya bṛhatkathā // 1.17 //	hara-lIlA-iva no kasya vismayAya bRhat-kaTA // 1.17 //
   āḍhyarājakṛtotsāhairhṛdayasthaiḥ smṛtairapi /	AXya-rAja-kRta-utsAhEH-hRdaya-sTEH smRtEH-api /
   jihvāntaḥkṛṣyamāṇeva na kavitve pravartate // 1.18 //	jihvA-antar-kRzyamANA-iva na kavi-tve pravartate // 1.18 //
   tathāpi nṛpaterbhaktvā bhīto nirvahaṇākulaḥ /	taTA-api nRpateH-BaktvA BItaH nirvahaNa-AkulaH /
   karomyākhyāyikāmbhodhau jihvāplavanacāpalam // 1.19 //	karomi-AKyAyikA-amBoDO jihvA-plavana-cApalam // 1.19 //
   sukhaprabodhalalitā suvarṇaghaṭaṃnojjvalaiḥ /	suKa-praboDa-lalitA suvarNa-GawaMna-ujjvalEH /
   śabdairākyāyikā bhāti śayyeva pratipādakaiḥ // 1.20 //	SabdEH-AkyAyikAH BAti SayyA-iva pratipAdakEH // 1.20 //
   jayati jvalatpratāpajvalanaprākārakṛtajagadrakṣaḥ /	jayati jvalat-pratApa-jvalana-prAkAra-kRta-jagat-rakzaH /
   sakalapraṇayimanorathasiddhiśrīparvato harṣaḥ // 1.21 //	sakala-praNayi-manoraTa-sidDi-SrIparvataH harzaH // 1.21 //
   evamanuśrūyate--purā kila bhagavānsvalokamadhitiṣṭhanparameṣṭhī vikāsini	evam-anuSrUyate---purA kila BagavAn-sva-lokam-aDitizWan-paramezWI vikAsini
   pajhaviṣṭhare samupaviṣṭaḥ sunāsīrapramukhairgīrvāṇaiḥ parivṛto brahnodyāḥ	paJa-vizWare samupavizwaH sunAsIra-pramuKEH-gIrvANEH parivRtaH brahnodyAH
   kathāḥ kurvannanyāśca niravadyā vidyāgoṣṭhīrbhāvayankadācidāsāñcakre /	kaTAH kurvan=-anyAH-ca niravadyAH vidyA-gozWIH-BAvayan-kadAcid-AsAn-cakre /
   tathāsīnaṃ ca taṃ tribhuvanapratīkṣyaṃ manudakṣacākṣuṣaprabhṛtayaḥ	taTA-AsInam ca tam triBuvana-pratIkzyam manu-dakza-cAkzuza-praBRtayaH
   prajāpatayaḥ sarve ca saptarṣipuraḥsarā maharṣayaḥ siṣevire /	prajApatayaH sarve ca saptarzi-puraHsarAH mahA-RzayaH sizevire /
   kecidṛcaḥ stuticaturāḥ samudacārayan /	kecid-RcaH stuti-caturAH samudacArayan /
   kecidapacitibhāñji yajūṃṣyapachan /	kecid-apaciti-BAQji yajUMzi-apaCan /
   kecitpraśaṃsāsāmāni sāmāni jaguḥ /	kecid-praSaMsA-sAmAni sAmAni jaguH /
   apare vivṛtakratukriyātantrānmantrānvyācacakṣire /	apare vivRta-kratu-kriyA-tantrAt-mantrAn-vyAca-cakzire /
   vidyāvisaṃvādakṛtāśca tatra teṣāmanyonyasya vivādāḥ prādurabhavan /	vidyA-visaMvAda-kRtAH-ca tatra tezAm-anyonyasya vivAdAH prAduraBavan /
   athātiroṣaṇaḥ prakṛtyā mahātapā muniratrestanayastārāpaterbhratā nāmnā	aTa-atirozaNaH prakRtyA mahA-tapAH muniH-atreH-tanayaH-tArA-pateH-BratA nAmnA
   durvāsā dvitīyena mandapālanāmnā muninā saha kalahāyamānaḥ	durvAsAH dvitIyena mandapAla-nAmnA muninA saha kalahAyamAnaH
   sāmagāyankrodhāndho visvaramakarot /	sAmagAyan-kroDa-anDaH visvaram-akarot /
   sarveṣu ca teṣu śāpabhayapratipannamauneṣu muniṣvanyālāpalīlayā	sarvezu ca tezu SApa-Baya-pratipanna-mOnezu munizu-anya-AlApa-lIlayA
   cāvadhīrayati kamalasambhave, bhagavatī kumārī kiñcidunmuktabālabhāve	ca-avaDIrayati kamala-samBave, BagavatI kumArI kiQcid-unmukta-bAla-BAve
   bhūṣitanavayauvane vayasi vartamānā, gṛhītacāmarapracaladbhujalatā	BUzita-nava-yOvane vayasi vartamAnA, gRhIta-cAmara-pracalat-Buja-latA
   pitāmahamupavījayantī, nirbhartsanatājanajātarāgābhyāmiva	pitAmaham-upavIjayantI, nirBartsana-tA-jana-jAta-rAgAByAm-iva
   svabhāvāruṇābhyāṃ pādapallavābhyāṃ samudbhāsamānā, śiṣyadvayeneva	svaBAva-aruNAByAm pAda-pallavAByAm samudBAsamAnA, Sizya-dvayena-iva
   padakramamukhareṇa nūpurayugalena vācālitacaraṇayugalā,	pada-krama-muKareNa nUpura-yugalena vAcAlita-caraNa-yugalA,
   dharmanagaratoraṇastambhavibhramaṃ bibhrāṇā jaṅghādvitayam,	Darma-nagara-toraNa-stamBa-viBramam biBrANAH jaFGA-dvitayam,
   salīlamutkalahaṃsa kulakalālāpapralāpini mekhalādāmni	sa-lIlam-utkala-haMsa kula-kalA-AlApa-pralApini meKalA-dAmni
   vinyastavāmahastakisalayā, vidvanmānasanivāsalagnena	vinyasta-vAma-hasta-kisalayA, vidvan-mAnasa-nivAsa-lagnena
   guṇakalāpenevāṃsāvalambinā brahnāsūtreṇa pavitrīkṛtakāyā,	guNa-kalApena-iva-aMsa-avalambinA brahnA-sUtreNa pavitrIkRta-kAyA,
   bhāsvanmadhyanāyakamanekamuktānuyātamapavargamārgamiva hāramudvahantī,	BAsvat-maDya-nAyakam-aneka-muktA-anuyAtam-apavarga-mArgam-iva hAram-udvahantI,
   vadanapraviṣṭasarvavidyālaktakaraseneva pāṭalena sphuratā daśanacchadena	vadana-pravizwa-sarva-vidyA-laktaka-rasena-iva pAwalena sPuratA daSanacCadena
   virājamānā, saṃkrāntakamalāsanakṛṣṇājinapratimāṃ	virAjamAnA, saMkrAnta-kamala-Asana-kRzNa-ajina-pratimAm
   madhuragītākarṇanāvatīrṇaśaśihariṃṇāmiva kapolasthalīṃ dadhānā,	maDura-gIta-AkarNanA-avatIrNa-SaSi-hariMNAm-iva kapola-sTalIm daDAnA,
   tiryaksāvajñanunnamitakabhrūlatā, śrotramekaṃ visvaraśravaṇakaluṣitaṃ	tiryaksa-avajQa-nud-namitaka-BrU-latA, Srotram-ekam visvara-SravaNa-kaluzitam
   prakṣālayantīvā pāṅganirgatena locanāśrujalapravāheṇetaraśravaṇena ca	prakzAlayanti-ivA pAFga-nirgatena locana-aSru-jala-pravAheNa-itara-SravaNena ca
   vikasitasitasindhu vāramañjarījuṣā hasateva prakaṭitavidyāmadā,	vikasita-sita-sinDu vAramaQjarI-juzA hasatA-iva prakawita-vidyA-madA,
   śrutipraṇayibhiḥ praṇavairiva karṇāvataṃsa	Sruti-praNayiBiH praNavEH-iva karNa-avataMsa
   kusumamadhukarakulairapāsyamānā, sūkṣmavimalena	kusuma-maDukara-kulEH-apAsyamAnA, sUkzma-vimalena
   prajñāpratānenevāṃśukenācchāditaśarīrā, vāṅmayamiva nirmalaṃ dikṣu	prajQA-pratAnena-iva-aMSukena-AcCAdita-SarIrA, vAc-mayam-iva nirmalam dikzu
   daśanajyotsnālokaṃ vikirantī devī sarasvatī śrutvā jahāsa /	daSana-jyotsnA-lokam vikirantI devI sarasvatI SrutvA jahAsa /
   dṛṣṭvā ca tāṃ tathā hasantīṃ sa muniḥ "āḥ pāpakāriṇi,	dRzwvA ca tAm taTA hasantIm sa muniH "AH pApa-kAriNi,
   durgṛhītavidyālavāvalepadurvidagdhe, māmupahasasi' ityuktvā	durgRhIta-vidyA-lava-avalepa-durvidagDe, mAm-upahasasi-a iti-uktvA
   śiraḥkampaśīryamāṇabandhaviśarārorunmiṣatpiṅgalimno jaṭākalāpasya rociṣā	SiraH-kampa-SIryamANa-banDa-viSarArorunmizat-piFgalimnaH jawA-kalApasya rocizA
   siñcanniva roṣadahanadraveṇa daśa diśaḥ,	siQcan=-iva roza-dahana-draveNa daSa diSaH,
   kṛtakālasannidhānāmivāndhakāritalalāṭapaṭṭāṣṭāpadāmantakāntaḥ	kRta-kAla-sanniDAnAm-iva-anDa-kArita-lalAwa-pawwa-azwa-apadAmantaka-antaH
   puramaṇḍanapatrabhaṅgamakarikāṃ bhrukuṭimāvadhnan, atilohitena	pura-maNxana-patra-BaFgam-akarikAm BrukuwimA-avaDnan, ati-lohitena
   cakṣuṣāmarṣadevatāyai svarudhiropahāramiva prayacchan,	cakzuzA-amarza-devatAyE sva-ruDira-upahAram-iva prayacCan,
   nirdayadaṣṭadaśanacchadabhayapalāyamānāmiva vācaṃ rundhandantāṃśucchalena,	nirdaya-dazwa-daSana=-Cada-Baya-palAyamAnAm-iva vAcam runDandanta-aMSu=-Calena,
   asāvasraṃsinaḥ śāpaśāsanapaṭṭasyeva grathnangranthimanyathā kṛṣṇājinasya,	asO=-asraMsinaH SApa-SAsana-pawwasya-iva graTnan-granTim-anyaTA kRzNAjinasya,
   svedakamapratibimbitaiḥ śāpaśaṅkāśaraṇāgatariva surāsuramunibhiḥ	sveda-kama-pratibimbitEH SApa-SaFkA-SaraNa-Agatar-iva sura-asura-muniBiH
   pratipannasarvāvayavaḥ, kopakampataralitāṅgulinā kareṇa	pratipanna-sarva-avayavaH, kopa-kampa-taralita-aFgulinA kareNa
   prasādanalagnāmakṣaramālāmivākṣamālāmākṣipya kāmaṇḍalavena vāriṇā	prasAdana-lagnAm-akzara-mAlAm-iva-akzamAlAm-Akzipya kAmaNxalavena vAriNA
   samupaspṛśya śāpajalaṃ jagrāha /	samupaspRSya SApa-jalam jagrAha /
   atrāntare svayambhuvo 'bhyāśe samupaviṣṭā devī mūrtimatī	atra-antare svayamBuvaH aByASe samupavizwA devI mUrtimatI
   pīyūṣaphenapaṭalapāṇḍuraṃ kalpadrumadukūlavalkalaṃ vasānā,	pIyUza-Pena-pawala-pANxuram kalpadruma-dukUla-valkalam vasAnA,
   visatantumayenāṃśukenonnatastanamadhyabaddhagātrikāgranthiḥ,	visatantu-mayena-aMSukena-unnata-stana-maDya-badDa-gAtrikA-granTiH,
   tapobalanirjitatribhuvanajayapatākābhiriva	tapaH-bala-nirjita-triBuvana-jaya-patAkABiH-iva
   tisṛbhirbhasmapuṇḍrakarājibhirvirājitalalāṭājirā, skandhāvalambinā	tisRBiH-Basma-puNxraka-rAjiBiH-virAjita-lalAwa-ajirA, skanDa-avalambinA
   sudhāphenadhavalena tapaḥprabhāvakuṇḍalīkṛtena gaṅgāsrītaseva	suDA-Pena-Davalena tapaH-praBAva-kuNxalIkRtena gaFgA-srIta-seva
   yogapaṭṭakena viracitavaikakṣyakā, savyena brahnotpattipuṇḍarīkamukulamiva	yoga-pawwakena viracita-vEkakzyakA, savyena brahna-utpatti-puNxarIka-mukulam-iva
   sphaṭikakamaṇḍaluṃ kareṇa kalayantī, dakṣiṇamakṣamālākṛtaparikṣepaṃ	sPawika-kamaNxalum kareNa kalayantI, dakziNam-akza-mAlA-kRta-parikzepam
   kambunirmitormikādanturitaṃ tarjanataraṅgitatarjanīkamutkṣipantī karam,	kambu-nirmitA-UrmikA-danturitam tarjana-taraFgita-tarjanIkam-utkzipantI karam,
   "āḥ pāpa, krodhopahata, durātman, ajña, anātman, ajña, anātmajña,	"AH pApa, kroDa-upahata, durAtman, ajQa, anAtman, ajQa, anAtma-jQa,
   brahnabandho, muniśeṭa, apasada, nirākṛta, kathamātmaskhalitavilakṣaḥ	brahnabanDo, muni-Sewa, apasada, nirAkRta, kaTam-Atma-sKalita-vilakzaH
   surāsuramunimanujavṛndavandanīyāṃ tribhuvanamātaraṃ bhagavatīṃ sarasvatīṃ	sura-asura-muni-manuja-vRnda-vandanIyAm triBuvana-mAtaram BagavatIm sarasvatIm
   śaptumabhilaṣasi' ityabhidadhānā, roṣavimuktavetrāsanairoṅkāramukharita	Saptum-aBilazasi-a iti-aBidaDAnA, roza-vimukta-vetra-AsanEH-oFkAra-muKarita
   mukherutkṣepa dolāyamānajaṭābhārabharitadigbhiḥ parikarabandhabhramita	muKeH-utkzepa dolAyamAna-jawA-BAra-Barita-digBiH parikara-banDa-Bramita
   kṛṣṇājināṭopacchāyāśyāmāyamānadivasairamarṣaniḥśvāsadolāpreṅkholitabrahnalokaiḥ	kRzNa-ajina-Awopa=-CAyA-SyAmAyamAna-divasEH-amarza-niHSvAsa-dolA-preFKolita-brahna-lokEH
   somarasamiva svedavisaravyājena	soma-rasam-iva sveda-visara-vyAjena
   sravadbhiragnihotrapavitrabhasmasmeralalāṭaiḥ	sravadBiH-agnihotra-pavitra-Basma-smera-lalAwEH
   kuśatantucāmaracīracīvaribhirāṣāḍhibhiḥ	kuSa-tantu-cAmara-cIra-cIvariBiH-AzAXiBiH
   praharaṇīkṛtakamaṇḍalumaṇḍalairmūrtaiścaturbhirvedaiḥ saha bṛsīmapahāya	praharaNIkRta-kamaNxalu-maNxalEH-mUrtEH-caturBiH-vedEH saha bRsIm-apahAya
   sāvitrī samuttasthau /	sAvitrI samuttasTO /
   tato "marṣaya bhagavan, abhūmireṣā śāpasya' ityanunāthyamāno 'pi	tatas "marzaya Bagavan, aBUmiH-ezA SApasya-a iti-anunATyamAnaH api
   vibudhaiḥ, "upādhyāya /	vibuDEH, "upADyAya /
   skhalitamekaṃ kṣamasva' iti baddhāñjalipuṭaiḥ prasādyamāno 'pi svaśiṣyaiḥ,	sKalitam-ekam kzamasva-a iti badDAQjali-puwEH prasAdyamAnaH api sva-SizyEH,
   "putra, mā kṛthāstapasaḥ pratyūham' iti nivāryamāṇo 'pyatriṇā,	"putra, mA kRTAH-tapasaH pratyUham-a iti nivAryamANaH api-atriNA,
   roṣāveśavivaśo durvāsāḥ "durvinīte! vyapanayāmi te	roza-AveSa-vivaSaH durvAsAH "duH-vinIte! vyapanayAmi te
   vidyajanitāmunnatimimām, adhastādgaccha martyalokam' ityuktvā tacchā	vidya-janitAm-unna-timimAm, aDastAt-gacCa martya-lokam-a iti-uktvA tad-CA
   podakaṃ visasarja /	podakam visasarja /
   pratiśāpadānodyatāṃ sāvitrīm "sakhi, saṃhara roṣam, asaṃskṛtamatayo 'pi	pratiSApadAna-udyatAm sAvitrIm "saKi, saMhara rozam, asaMskRta-matayaH api
   jātyaiva dvijanmāno mānanīyāḥ' ityabhidadhānā sarasvatyeva nyavārayat /	jAtyA-eva dvijanmAnaH mAnanIyAH-a iti-aBidaDAnA sarasvatI-eva nyavArayat /
   atha tāṃ tathā śaptāṃ sarasvatīṃ dṛṣṭvā pitāmaho	aTa tAm taTA SaptAm sarasvatIm dRzwvA pitAmahaH-
   bhagavānkamalotpattilagnamṛṇālasūtrāmiva dhvalayajñopavītinīṃ	BagavAn-kamala-utpatti-lagna-mRNAla-sUtrAm-iva Dvala-yajQa-upavItinIm
   tanumudrahan, udgacchadacchāṅgulīyamarakatamayūkhalatākalāpena	tanum-udra-han, udgacCat-acCa-aFgulIyamarakatamayUKa-latA-kalApena
   tribhuvanopaplavapraśamakuśāpīḍadhāriṇeva dakṣiṇena kareṇa nivārya	triBuvana-upaplava-praSama-kuSa-ApIxa-DAriNA-iva dakziNena kareNa nivArya
   śāpakalakalam, ativimaladīrghairbhāvikṛtayugārambhasūtrapātamiva dikṣu	SApa-kala-kalam, ati-vimala-dIrGEH-BAvi-kRta-yuga-AramBa-sUtra-pAtam-iva dikzu
   pātayan daśanakiraṇaiḥ sarasvatīprasthānamaṅgalapaṭaheneva pūrayannāśāḥ,	pAtayan daSana-kiraNEH sarasvatI-prasTAna-maFgala-pawahena-iva pUrayat-=-ASAH,
   svareṇa sudhīramuvāca--"brahnan, na khalu sādhusevito 'yaṃ pantā /	svareNa su-DIram-uvAca--"brahnan, na Kalu sADu-sevitaH ayam pantA /
   yenāsi pravṛttaḥ /	yena-asi pravRttaH /
   nihantyeṣa pararatāt /	nihanti-eza para-ratAt /
   uddāmaprasṛtendriyāśvasamutthāpitaṃ hi rajaḥ kaluṣayati dṛṣṭimanakṣajitām	uddAma-prasRta-indriya-aSva-samutTApitam hi rajaH kaluzayati dRzwi-m-anakzajitAm
   kiyaddūraṃ vā cakṣurīkṣate /	kiyat-dUram vA cakzuH-Ikzate /
   viśuddhayā hi dhiyā paśyanti kṛtabuddhayaḥ sarvānarthānasataḥ sato vā /	viSudDayA hi DiyA paSyanti kRtabudDayaH sarvAn-arTAn-asataH sataH vA /
   nisargavirodhinī ceyaṃ payaḥpāvakayoriva dharmakrodhayorekatra vṛttiḥ /	nisarga-viroDinI ca-iyam payaH-pAvakayoH-iva Darma-kroDayoH-ekatra vRttiH /
   ālokamapahāya kathaṃ tamasi nimajjasi! kṣamā hi mūlaṃ sarvatapasās /	Alokam-apahAya kaTam tamasi nimajjasi! kzamA hi mUlam sarva-tapasAH /
   paradoṣadarśanadakṣā dṛṣṭiriva kupitā buddhirna te ātmarāgadoṣaṃ paśyati /	para-doza-darSana-dakzA dRzwiH-iva kupitA budDiH-na te AtmarAga-dozam paSyati /
   kva mahāpobhāravaivadhikatā, kva purobhāgitvam? atiroṣaṇaścakṣuṣmānandha	kva mahA-apoBAra-vEvaDika-tA, kva puroBAgi-tvam? ati-rozaNaH-cakzuzmAn-anDa
   eva janaḥ /	eva janaH /
   nahiṃ kopakaluṣitā vimṛśati matiḥ kartavyamakartavyaṃ vā /	nahim kopa-kaluzitA vimRSati matiH kartavyam-akartavyam vA /
   kupitasya prathamamandhakārībhavati vidyā, tato bhrukuṭiḥ /	kupitasya praTamam-anDakArIBavati vidyA, tatas BrukuwiH /
   ādāvindriyāṇi rāgaḥ samāskandati, caramaṃ cakṣuḥ /	AdO=-indriyANi rAgaH samAskandati, caramam cakzuH /
   ārambhe tapo galati, paścātsvedasalilam /	AramBe tapaH galati, paScAt-sveda-salilam /
   pūrmayasaḥ sphurati, anantaramadharaḥ /	pUrmayasaH sPurati, anantaram-aDaraH /
   kathaṃ lokavināśāya te viṣapādapasyeva jaṭāvalkalāni jātāni /	kaTam loka-vinASAya te viza-pAdapasya-iva jawA-valkalAni jAtAni /
   anucitā khalvasya muniveṣasya hārayaṣṭiriva vṛttamuktā cittavṛttiḥ /	anucitA Kalu-asya muni-vezasya hAra-yazwiH-iva vRtta-muktA citta-vRttiH /
   śailūṣa iva vṛthā vahasi kṛtrimamupaśamaśūnyena cetasā tāpasākalpam /	SElUzaH iva vRTA vahasi kRtrimam-upaSama-SUnyena cetasA tApasa-Akalpam /
   alpamapi na te paśyāmi kuśalajātam /	alpam-api na te paSyAmi kuSala-jAtam /
   anenātilaghimnādyāpyuparyeva plavase jñānodanvataḥ /	anena-atila-GimnA-adya-api-upari-eva plavase jQAna-udanvataH /
   na khalvenahamūkā eḍā jaḍā vā sarvaṃ ete maharṣayaḥ /	na Kalu-enahamUkA exA jaxA vA sarvam ete mahA-RzayaH /
   roṣadoṣaniṣadye svahṛdaye nigrāhye kimarthamasi nigṛhītavānanāgasāṃ	roza-doza-nizadye sva-hRdaye nigrAhye kim-arTam-asi nigRhItavAn-anAgasAm
   sarasvatīm /	sarasvatIm /
   etāni tānyātmapramādaskhalitavailakṣyāṇi, yairyāpyatāṃ yātyavidagdho	etAni tAni-Atma-pramAda-sKalita-vElakzyANi, yEH-yApyatAm yAti-avidagDaH-
   janaḥ' ityuktvā punarāha-- "vatse sarasvati, viṣādaṃ mā gāḥ /	janaH-a iti-uktvA punar-Aha- "vatse sarasvati, vizAdam mA gAH /
   eṣā tvāmanuyāsyati sāvitrī /	ezA tvAm-anuyAsyati sAvitrI /
   vinodayiṣyati cāsmadvirahaduḥkhitām /	vinodayizyati ca-asmad-viraha-duHKitAm /
   ātmajamukhakamalāvalokanāvadhiśca te śāpo 'yaṃ bhaviṣyati' iti /	Atmaja-muKa-kamala-avalokana-avaDiH-ca te SApaH ayam Bavizyati-a iti /
   etāvadabhidhāye visarjitasurāsuramunimanujamaṇḍalaḥ	etAvat-aBiDAye visarjita-sura-asura-muni-manuja-maNxalaH
   sasaṃbhramopagatanārataskandhavinyasyahastaḥ	sa-saMBrama-upagata-nA-rata-skanDa-vinyasya-hastaH
   samucitāhnikakaraṇāyodatiṣṭhat /	samucita-Ahnika-karaNAya-udatizWat /
   sarasvatyapi śaptā kiñcidadhomukhī dhavalakṛṣṇaśārā kṛṣṇājinalekhāmiva	sarasvatI-api SaptA kiQcid-aDomuKI Davala-kRzNa-SArA kRzNa-ajina-leKAm-iva
   dṛṣṭimurasi pātayantī surabhiniḥ- śvāsaparimalalagnairmūrtaiḥ	dRzwim-urasi pAtayantI suraBiniH SvAsa-parimala-lagnEH-mUrtEH
   śāpākṣareriva ṣaṭcaraṇacakrairākṛṣyamāṇā	SApa-akzareH-iva zawcaraNa-cakrEH-AkRzyamANA
   śāpaśokaśithilitahastādhomukhībhūtenopadivyamānamartyalokāvatataraṇamārgevanakhamayūkhajālakena	SApa-Soka-SiTilita-hasta-aDomuKIBUtena-upadivya-mAna-martya-lokAvatataraNa-mArgeva-naKa-mayUKa-jAlakena
   nūpuravyāhārāhūtairbhavanakalahaṃsakulairbrahnalokanivāsihṛdayairivānugamyamānā	nUpura-vyAhAra-AhUtEH-Bavana-kalahaMsa-kulEH-brahna-loka-nivAsi-hRdayEH-iva-anugamyamAnA
   samaṃ sāvitryā gṛhamagāt /	samam sAvitryAH gRham-agAt /
   atrāntare sarasvatyavataraṇavārtāmiva kathayituṃ madhyamaṃ	atra-antare sarasvatI-avataraNa-vArtAm-iva kaTayitum maDyamam
   lokamavatatārāṃśumālī /	lokam-avata-tAra-aMSumAlI /
   krameṇa ca mandāyamāne mukulitavisinīvisaravyasanaviṣaṇṇasarasi vāsare,	krameNa ca mandAyamAne mukulita-visinI-visara-vyasana-vizaNNa-sarasi vAsare,
   madhumadamuditakāminīkopakuṭilakaṭākṣakṣipyamāṇa iva kṣepīyaḥ	maDu-mada-mudita-kAminI-ka-upa-kuwila-kawAkza-kzipyamANaH iva kzepIyaH
   kṣitidharaśikharamavatarati taruṇatarakapilapanalohite lokaikacakṣuṣi	kzitiDara-SiKaram-avatarati taruNataraka-pilapana-lohite loka-eka-cakzuzi
   bhagavati,	Bagavati,
   prasnutamukhamāheyīyūthakṣaratkṣīradhārādhavaliteṣvāsannacandrodayodadāmakṣīrodalaharīkṣāliteṣviva	prasnuta-muKam-AheyI-yUTa-kzarat-kzIra-DArA-Davalitezu-Asanna-candra-udaya-udadAma-kzIra-udala-harIkzA-Alitezu-iva
   divyāśramopaśalyeṣu, aparāhṇapracāracalite cāmariṇi	divya-ASrama-upaSalya-izu, aparAhNa-pracAra-calite cAmariNi
   crāmīkarataṭatāḍanaraṇitaradane radati surasravantīrodhāṃsi	crAmIkara-tawa-tAxana-raNita-radane radati surasravantI-roDAMsi
   svairamairāvate,	svEram-ErAvate,
   prasṛtānekavidyādharābhisārikāsahasracaraṇālaktakarasānulipta iva	prasRta-aneka-vidyADara-aBisArikA-sahasra-caraNa-alaktaka-rasa-anuliptaH iva
   prakaṭayati ca tārāpathe pāṭalatām,	prakawayati ca tArApaTe pAwala-tAm,
   tārāpathapraśthitasiddhadattadinkarāstamayārghyavirjite rañjitakakubhi,	tArApaTa-praSTita-sidDa-datta-dinkara-astamaya-arGya-virjite raQjita-kakuBi,
