   (PSP_6 8:1)	(PSu _6 8:1)
   vābhāvatvād buddhānāṃ bhagavatām abhāvatvāt pratyekabuddhānām abhāvatvād	vA aBAva tvAt budDAnAm BagavatAm aBAva tvAt pratyekabudDAnAm aBAva tvAt 
   arhatām abhāvatvād anāgāminām abhāvatvāt sakṛdāgāminām abhāvatvāt	arhatAm aBAva tvAt anAgAminAm aBAva tvAt sakRdAgAminAm aBAva tvAt 
   srotaāpannānām abhāvatvāt sarvāryāṇāṃ nasti sarvasaṃskārāṇāṃ svabhāvaḥ,	srotaApannAnAm aBAva tvAt sarva AryANAm nasti sarva saMskArANAm svaBAvaH,
   antaśo vālāgrakoṭīsthānamātrakam apīti tasya bodhisattvasya	antaSas vAlAgra kowI sTAna mAtrakam api iti tasya boDisattvasya
   mahāsattvasyaivaṃ bhavati: abhāvā eva buddhā bhagavanto bodhisattvāś ca	mahAsattvasya evam Bavati: aBAvAH eva budDAH BagavantaH boDisattvAH ca
   mahāsattvāḥ pratyekabuddhā arhanto 'nāgāminaḥ sakṛdāgāminaḥ srotaāpannāḥ	mahAsattvAH pratyekabudDAH arhantaH anAgAminaH sakRdAgAminaH srotaApannAH
   sarvāryā yady ahaṃ bodhim abhisaṃbhotsye yadi vā nābhisaṃbhotsye 'bhāvā	sarva AryA yadi aham boDim aBisaMBotsye yadi vA nABisaMBotsye aBAvA
   eva sarvadharmāḥ yan nūnam aham anuttarāṃ samyaksaṃbodhim abhisaṃbudhyeyaṃ	eva sarva DarmAH yat nUnam aham anuttarAm samyaksaMboDim aBisaMbuDyeyam
   yām abhisaṃbudhya sarvasattvān bhāvasaṃjñāyāṃ carato 'bhāve 'nuttarāyāṃ	yAm aBisaMbuDya sarva sattvAn BAva saMjQAyAm carataH aBAve anuttarAyAm
   samyaksaṃbodhau pratiṣṭhāpayiṣyāmi. sa khalu punar bodhisattvo mahāsattvo	samyaksaMboDO pratizWApayizyAmi. sa Kalu punar boDisattvaH mahAsattvaH 
   'nuttarāyāṃ samyaksaṃbodhau saṃpratiṣṭhet sarvasattvānāṃ parinirvāṇārthāya	anuttarAyAm samyaksaMboDO saMpratizWet sarva sattvAnAm parinirvANa arTAya
   so 'nupūrvakriyām ārabhetānupūrvaśikṣām (PSP_6 8:2) anupūrvapratipadam	saH anupUrva kriyAm AraBeta anupUrva SikzAm (PSu _6 8:2) anupUrva pratipadam
   ārabheta. atra śikṣitvā pūrvakā bodhisattvā mahāsattvā anuttarāṃ	AraBeta. atra SikzitvA pUrvakAH boDisattvAH mahAsattvAH anuttarAm
   samyaksaṃbodhim abhisaṃbodhum, prathamam eva ṣaṭsu pāramitāsu śikṣante yad	samyaksaMboDim aBisaMboDum, praTamam eva zawsu pAramitAsu Sikzante yat 
   uta dānapāramitāyāṃ śīlapāramitāyāṃ kṣāntipāramitāyāṃ vīryapāramitāyāṃ	uta dAna pAramitAyAm SIla pAramitAyAm kzAnti pAramitAyAm vIrya pAramitAyAm
   dhyānapāramitāyāṃ prajñāpāramitāyām.	DyAna pAramitAyAm prajQApAramitAyAm.
   iti sāmānyenānupūrvābhisamayaḥ	iti sAmAnyena anupUrva aBisamayaH
   punar aparaṃ subhūte bodhisattvo mahāsattvaḥ prathamacittotpādam upādāya	punar aparam suBUte boDisattvaH mahAsattvaH praTama citta utpAdam upAdAya
   dānapāramitāyāṃ carann ātmanā ca dānaṃ dadāti parāṃś ca dānapāramitāyāṃ	dAna pAramitAyAm caran AtmanA ca dAnam dadAti parAn ca dAna pAramitAyAm
   pratiṣṭhāpayati, dānasya ca varṇaṃ bhāṣate, ye cānye dānapāramitāyāṃ	pratizWApayati, dAnasya ca varNam BAzate, ye ca anye dAna pAramitAyAm
   caranti teṣāṃ ca varṇavādī bhavati samanujñaḥ, sa tena dānena mahāntaṃ	caranti tezAm ca varNa vAdI Bavati samanujQaH, sa tena dAnena mahAntam
   bhogaskandhaṃ pratilabhya dānaṃ dadāti vigatamatsareṇa cittena, annam	Boga skanDam pratilaBya dAnam dadAti vigata matsareNa cittena, annam
   annārthikānāṃ pānaṃ pānārthikānāṃ vastraṃ vastrārthikānāṃ vilepanaṃ	anna arTikAnAm pAnam pAna arTikAnAm vastram vastra arTikAnAm vilepanam
   vilepanārthikānāṃ śayanaṃ śayanārthikānām upāśrayam upāśrayārthikānāṃ	vilepana arTikAnAm Sayanam Sayana arTikAnAm upASrayam upASraya arTikAnAm
   pradīpaṃ pradīpārthikānām anyataram api mānuṣyakaṃ pariṣkāropakaraṇaṃ	pradIpam pradIpa arTikAnAm anyataram api mAnuzyakam parizkAra upakaraNam
   dadāti sa tena dānena sattvān śīle pratiṣṭhāpayati, samādhau prajñāyāṃ	dadAti sa tena dAnena sattvAn SIle pratizWApayati, samADO prajQAyAm
   vimuktau vimuktijñānadarśane ca pratiṣṭhāpayati, sa tenaiva śīlaskandhena	vimuktO vimukti jQAna darSane ca pratizWApayati, sa tena eva SIla skanDena
   samādhiskandhena prajñāskandhena vimuktiskandhena	samADi skanDena prajQA skanDena vimukti skanDena
   vimuktijñānadarśanaskandhena ca samanvāgataḥ śrāvakapratyekabuddhabhūmim	vimukti jQAna darSana skanDena ca samanvAgataH SrAvaka pratyekabudDa BUmim
   atikrāmati. śrāvakapratyekabuddhabhūmim atikramya bodhisattvaniyāmam	atikrAmati. SrAvaka pratyekabudDa BUmim atikramya boDisattva niyAmam
   avakrāmati bodhisattvaniyāmam avakramya buddhakṣetraṃ pariśodhayati	avakrAmati boDisattva niyAmam avakramya budDa kzetram pariSoDayati
   buddhakṣetraṃ pariśodhya sattvān paripācayati sattvān paripācya	budDa kzetram pariSoDya sattvAn paripAcayati sattvAn paripAcya
   sarvākārajñatām anuprāpnoti, sarvākārajñatām anuprāpya dharmacakraṃ	sarva AkAra jQa tAm anuprApnoti, sarva AkAra jQa tAm anuprApya Darma cakram
   pravartayati dharmacakraṃ pravartya sattvāṃs triṣu yāneṣu pratiṣṭhāpayati,	pravartayati Darma cakram pravartya sattvAn trizu yAnezu pratizWApayati,
   sattvāṃs triṣu yāneṣu pratiṣṭhāpya saṃsārāt parimocayati. evaṃ khalu	sattvAn trizu yAnezu pratizWApya saMsArAt parimocayati. evam Kalu
   subhūte bodhisattvasya mahāsattvasya dānenānupūrvakriyā prajñāyate	suBUte boDisattvasya mahAsattvasya dAnena anupUrva kriyA prajQAyate
   'nupūrvaśikṣānupūrvapratipat prajñāyate, tac ca sarvaṃ nopalabhate. tat	anupUrva SikzA anupUrva pratipad prajQAyate, tat ca sarvam na upalaBate. tat 
   kasya (PSP_6 8:3) hetoḥ? tathā hy asyāḥ svabhāvo nāsti.	kasya (PSu _6 8:3) hetoH? taTA hi asyAH svaBAvaH nAsti.
   iti dānapāramitayānupūrvābhisamayaḥ	iti dAna pAramitayA anupUrva aBisamayaH
   punar aparaṃ subhūte bodhisattvo mahāsattvaḥ prathamacittotpādam	punar aparam suBUte boDisattvaH mahAsattvaH praTama citta utpAdam
   upādāyātmanā ca śīlapāramitāyāṃ caran dānaṃ dadāti, parāṃś ca	upAdAya AtmanA ca SIla pAramitAyAm caran dAnam dadAti, parAn ca
   śīlapāramitāyāṃ pratiṣṭhāpayati dāne pratiṣṭhāpayati śīlapāramitāyāś ca	SIla pAramitAyAm pratizWApayati dAne pratizWApayati SIla pAramitAyAH ca
   varṇaṃ bhāṣate ye cānye śīlapāramitāyāṃ caranti teṣāṃ ca varṇavādī bhavati	varNam BAzate ye ca anye SIla pAramitAyAm caranti tezAm ca varNa vAdI Bavati
   samanujñaḥ, sa tena śīlena sattvāñ śīle pratiṣṭhāpayati, samādhau	samanujQaH, sa tena SIlena sattvAn SIle pratizWApayati, samADO
   prajñāyāṃ vimuktau vimuktijñānadarśane ca pratiṣṭhāpayati, sa tenaiva	prajQAyAm vimuktO vimukti jQAna darSane ca pratizWApayati, sa tena eva
   śīlaskandhena samādhiskandhena prajñāskandhena vimuktiskandhena ca	SIla skanDena samADi skanDena prajQA skanDena vimukti skanDena ca
   vimuktijñānadarśanaskandhena samanvāgatah. śrāvakapratyekabuddhabhūmim	vimukti jQAna darSana skanDena samanvAgata h. SrAvaka pratyekabudDa BUmim
   atikrāmati śrāvakapratyekabuddhabhūmim atikramya bodhisattvaniyāmam	atikrAmati SrAvaka pratyekabudDa BUmim atikramya boDisattva niyAmam
   avakrāmati bodhisattvaniyāmam avakramya buddhakṣetraṃ pariśodhayati	avakrAmati boDisattva niyAmam avakramya budDa kzetram pariSoDayati
   buddhakṣetraṃ pariśodhya sattvān paripācayati sattvān paripācya	budDa kzetram pariSoDya sattvAn paripAcayati sattvAn paripAcya
   sarvākārajñatām anuprāpnoti sarvākārajñatām anuprāpya dharmacakraṃ	sarva AkAra jQa tAm anuprApnoti sarva AkAra jQa tAm anuprApya Darma cakram
   pravartayati dharmacakraṃ pravartya sattvāṃs triṣu yāneṣu pratiṣṭhāpayati	pravartayati Darma cakram pravartya sattvAn trizu yAnezu pratizWApayati
   sattvāṃs triṣu yāneṣu pratiṣṭhāpya saṃsārāt parimocayati. evaṃ khalu	sattvAn trizu yAnezu pratizWApya saMsArAt parimocayati. evam Kalu
   subhūte bodhisattvasya mahāsattvasya śīlenānupūrvakriyā prajñāyate	suBUte boDisattvasya mahAsattvasya SIlena anupUrva kriyA prajQAyate
   'nupūrvaśikṣānupūrvapratipat prajñāyate, tac ca sarvaṃ nopalabhate. tat	anupUrva SikzA anupUrva pratipad prajQAyate, tat ca sarvam na upalaBate. tat 
   kasya hetoḥ? tathā hy asyāḥ svabhāvo nāsti.	kasya hetoH? taTA hi asyAH svaBAvaH nAsti.
   iti śīlapāramitayānupūrvābhisamayaḥ	iti SIla pAramitayA anupUrva aBisamayaH
   punar aparaṃ subhūte bodhisattvo mahāsattvaḥ prathamacittotpādam	punar aparam suBUte boDisattvaH mahAsattvaH praTama citta utpAdam
   upādāyātmanā ca kṣāntipāramitāyāṃ caran dānaṃ dadāti, śīlaṃ ca rakṣati	upAdAya AtmanA ca kzAnti pAramitAyAm caran dAnam dadAti, SIlam ca rakzati
   parāṃś ca kṣāntipāramitāyāṃ pratiṣṭhāpayati dāne śīle ca pratiṣṭhāpayati	parAn ca kzAnti pAramitAyAm pratizWApayati dAne SIle ca pratizWApayati
   kṣāntipāramitāyāś ca varṇaṃ bhāṣate. ye cānye kṣāntipāramitāyāṃ caranti	kzAnti pAramitAyAH ca varNam BAzate. ye ca anye kzAnti pAramitAyAm caranti
   teṣāṃ ca varṇavādī bhavati samanujñaḥ, sa tayā kṣāntyā sattvāñ śīle	tezAm ca varNa vAdI Bavati samanujQaH, sa tayA kzAntyA sattvAn SIle
   pratiṣṭhāpayati samādhau prajñāyāṃ vimuktau vimuktijñānadarśane ca	pratizWApayati samADO prajQAyAm vimuktO vimukti jQAna darSane ca
   pratiṣṭhāpayati, sa tena ca śīlaskandhena samādhiskandhena prajñāskandhena	pratizWApayati, sa tena ca SIla skanDena samADi skanDena prajQA skanDena
   vimuktiskandhena vimuktijñānadarśanaskandhena (PSP_6 8:4) ca samanvāgataḥ,	vimukti skanDena vimukti jQAna darSana skanDena (PSu _6 8:4) ca samanvAgataH,
   śrāvakapratyekabuddhabhūmim atikrāmati śrāvakapratyekabuddhabhūmim	SrAvaka pratyekabudDa BUmim atikrAmati SrAvaka pratyekabudDa BUmim
   atikramya bodhisattvaniyāmam avakrāmati bodhisattvaniyāmam avakramya	atikramya boDisattva niyAmam avakrAmati boDisattva niyAmam avakramya
   buddhakṣetraṃ pariśodhayati buddhakṣetraṃ ca pariśodhya sattvān	budDa kzetram pariSoDayati budDa kzetram ca pariSoDya sattvAn
   paripācayati sattvān paripācya sarvākārajñatām anuprāpnoti sarvākārajñatām	paripAcayati sattvAn paripAcya sarva AkAra jQa tAm anuprApnoti sarva AkAra jQa tAm
   anuprāpya dharmacakraṃ pravartayati, dharmacakraṃ pravartya sattvāṃs triṣu	anuprApya Darma cakram pravartayati, Darma cakram pravartya sattvAn trizu
   yāneṣu pratiṣṭhāpayati, sattvāṃs triṣu yāneṣu pratiṣṭhāpya saṃsārāt	yAnezu pratizWApayati, sattvAn trizu yAnezu pratizWApya saMsArAt 
   parimocayati. evaṃ khalu subhūte bodhisattvasya mahāsattvasya	parimocayati. evam Kalu suBUte boDisattvasya mahAsattvasya
   kṣāntyānupūrvakriyā prajñāyate 'nupūrvaśikṣānupūrvapratipat prajñāyate,	kzAnti A anupUrva kriyA prajQAyate anupUrva SikzA anupUrva pratipad prajQAyate,
   tac ca sarvaṃ nopalabhate. tat kasya hetoḥ? tathā hy asyāḥ svabhāvo nāsti.	tat ca sarvam na upalaBate. tat kasya hetoH? taTA hi asyAH svaBAvaH nAsti.
   iti kṣāntipāramitayānupūrvābhisamayaḥ	iti kzAnti pAramitayA anupUrva aBisamayaH
   punar aparaṃ subhūte bodhisattvo mahāsattvaḥ prathamacittotpādam	punar aparam suBUte boDisattvaH mahAsattvaH praTama citta utpAdam
   upādāyātmanā ca vīryapāramitāyāṃ caran dānaṃ dadāti śīlaṃ rakṣati kṣāntyā	upAdAya AtmanA ca vIrya pAramitAyAm caran dAnam dadAti SIlam rakzati kzAntyA
   saṃpādayati, parāṃś ca vīryapāramitāyāṃ pratiṣṭhāpayati, dāne śīle kṣāntau	saMpAdayati, parAn ca vIrya pAramitAyAm pratizWApayati, dAne SIle kzAntO
   ca pratiṣṭhāpayati, vīryapāramitāyāś ca varṇaṃ bhāṣate, ye cānye	ca pratizWApayati, vIrya pAramitAyAH ca varNam BAzate, ye ca anye
   vīryapāramitāyāṃ caranti teṣāṃ ca varṇavādī bhavati samanujñah. sa tena	vIrya pAramitAyAm caranti tezAm ca varNa vAdI Bavati samanujQah. sa tena
   vīryeṇa sattvāñ śīle pratiṣṭhāpayati, samādhau prajñāyāṃ vimuktau	vIryeNa sattvAn SIle pratizWApayati, samADO prajQAyAm vimuktO
   vimuktijñānadarśane ca pratiṣṭhāpayati. sa tenaiva śīlaskandhena	vimukti jQAna darSane ca pratizWApayati. sa tena eva SIla skanDena
   samādhiskandhena prajñāskandhena vimuktiskandhena	samADi skanDena prajQA skanDena vimukti skanDena
   vimuktijñānadarśanaskandhena ca samanvāgataḥ śrāvakapratyekabuddhabhūmim	vimukti jQAna darSana skanDena ca samanvAgataH SrAvaka pratyekabudDa BUmim
   atikrāmati, śrāvakapratyekabuddhabhūmim atikramya bodhisattvaniyāmam	atikrAmati, SrAvaka pratyekabudDa BUmim atikramya boDisattva niyAmam
   avakrāmati bodhisattvaniyāmam avakramya buddhakṣetraṃ pariśodhayati,	avakrAmati boDisattva niyAmam avakramya budDa kzetram pariSoDayati,
   buddhakṣetraṃ pariśodhya sattvān paripācayati sattvān paripācya	budDa kzetram pariSoDya sattvAn paripAcayati sattvAn paripAcya
   sarvākārajñatām anuprāpnoti, sarvākārajñatām anuprāpya dharmacakraṃ	sarva AkAra jQa tAm anuprApnoti, sarva AkAra jQa tAm anuprApya Darma cakram
   pravartayati dharmacakraṃ pravartya sattvāṃs triṣu yāneṣu pratiṣṭhāpayati,	pravartayati Darma cakram pravartya sattvAn trizu yAnezu pratizWApayati,
   sattvāṃs triṣu yāneṣu pratiṣṭhāpya saṃsārāt parimocayati. evaṃ khalu	sattvAn trizu yAnezu pratizWApya saMsArAt parimocayati. evam Kalu
   subhūte bodhisattvasya mahāsattvasya vīryeṇānupūrvakriyā prajñāyate	suBUte boDisattvasya mahAsattvasya vIryeNa anupUrva kriyA prajQAyate
   'nupūrvaśikṣānupūrvapratipat prajñāyate, tac ca sarvaṃ nopalabhate. tat	anupUrva SikzA anupUrva pratipad prajQAyate, tat ca sarvam na upalaBate. tat 
   kasya hetoḥ? tathā hy asyāḥ svabhāvo nāsti.	kasya hetoH? taTA hi asyAH svaBAvaH nAsti.
   (PSP_6 8:5)	(PSu _6 8:5)
   iti vīryapāramitayānupūrvābhisamayaḥ	iti vIrya pAramitayA anupUrva aBisamayaH
   punar aparaṃ subhūte bodhisattvo mahāsattvaḥ prathamacittotpādam	punar aparam suBUte boDisattvaH mahAsattvaH praTama citta utpAdam
   upādāyātmanā ca dhyānapāramitāyāṃ caran dānaṃ dadāti śīlaṃ rakṣati kṣāntyā	upAdAya AtmanA ca DyAna pAramitAyAm caran dAnam dadAti SIlam rakzati kzAntyA
   saṃpādayati vīryam ārabhate, parāṃś ca dhyānapāramitāyāṃ pratiṣṭhāpayati,	saMpAdayati vIryam AraBate, parAn ca DyAna pAramitAyAm pratizWApayati,
   dāne śīle kṣāntau vīrye ca pratiṣṭhāpayati, dhyānapāramitāyāś ca varṇaṃ	dAne SIle kzAntO vIrye ca pratizWApayati, DyAna pAramitAyAH ca varNam
   bhāṣate, ye cānye dhyānapāramitāyāṃ caranti teṣāṃ ca varṇavādī bhavati	BAzate, ye ca anye DyAna pAramitAyAm caranti tezAm ca varNa vAdI Bavati
   samanujñaḥ. sa tena dhyānena sattvāñ śīle pratiṣṭhāpayati, samādhau	samanujQaH. sa tena DyAnena sattvAn SIle pratizWApayati, samADO
   prajñāyāṃ vimuktau vimuktijñānadarśane ca pratiṣṭhāpayati. sa tenaiva	prajQAyAm vimuktO vimukti jQAna darSane ca pratizWApayati. sa tena eva
   śīlaskandhena samādhiskandhena prajñāskandhena vimuktiskandhena	SIla skanDena samADi skanDena prajQA skanDena vimukti skanDena
   vimuktijñānadarśanaskandhena ca samanvāgataḥ śrāvakapratyekabuddhabhūmim	vimukti jQAna darSana skanDena ca samanvAgataH SrAvaka pratyekabudDa BUmim
   atikrāmati, śrāvakapratyekabuddhabhūmim atikramya bodhisattvaniyāmam	atikrAmati, SrAvaka pratyekabudDa BUmim atikramya boDisattva niyAmam
   avakrāmati bodhisattvaniyāmam avakramya buddhakṣetraṃ pariśodhayati,	avakrAmati boDisattva niyAmam avakramya budDa kzetram pariSoDayati,
   buddhakṣetraṃ pariśodhya sattvān paripācayati, sattvān paripācya	budDa kzetram pariSoDya sattvAn paripAcayati, sattvAn paripAcya
   sarvākārajñatām anuprāpnoti, sarvākārajñatām anuprāpya dharmacakraṃ	sarva AkAra jQa tAm anuprApnoti, sarva AkAra jQa tAm anuprApya Darma cakram
   pravartayati dharmacakraṃ pravartya sattvāṃs triṣu yāneṣu pratiṣṭhāpayati,	pravartayati Darma cakram pravartya sattvAn trizu yAnezu pratizWApayati,
   sattvāṃs triṣu yāneṣu pratiṣṭhāpya saṃsārāt parimocayati. evaṃ khalu	sattvAn trizu yAnezu pratizWApya saMsArAt parimocayati. evam Kalu
   subhūte bodhisattvasya mahāsattvasya dhyānenānupūrvakriyā prajñāyate	suBUte boDisattvasya mahAsattvasya DyAnena anupUrva kriyA prajQAyate
   'nupūrvaśikṣānupūrvapratipat prajñāyate, tac ca sarvaṃ nopalabhate. tat	anupUrva SikzA anupUrva pratipad prajQAyate, tat ca sarvam na upalaBate. tat 
   kasya hetoḥ? tathā hy asyāḥ svabhāvo nāsti.	kasya hetoH? taTA hi asyAH svaBAvaH nAsti.
   iti dhyānapāramitayānupūrvābhisamayaḥ	iti DyAna pAramitayA anupUrva aBisamayaH
   punar aparaṃ subhūte bodhisattvo mahāsattvaḥ prathamacittotpādam	punar aparam suBUte boDisattvaH mahAsattvaH praTama citta utpAdam
   upādāyātmanā ca prajñāpāramitāyāṃ caran dānaṃ dadāti śīlaṃ rakṣati kṣāntyā	upAdAya AtmanA ca prajQApAramitAyAm caran dAnam dadAti SIlam rakzati kzAntyA
   saṃpādayati vīryam ārabhate dhyānañ ca samāpadyate, parāṃś ca	saMpAdayati vIryam AraBate DyAnan ca samApadyate, parAn ca
   prajñāpāramitāyāṃ pratiṣṭhāpayati, dāne śīle kṣāntau vīrye dhyāne ca	prajQApAramitAyAm pratizWApayati, dAne SIle kzAntO vIrye DyAne ca
   pratiṣṭhāpayati, prajñāpāramitāyāś ca varṇaṃ bhāṣate, ye cānye	pratizWApayati, prajQApAramitAyAH ca varNam BAzate, ye ca anye
   prajñāpāramitāyāṃ caranti teṣāṃ ca varṇavādī bhavati samanujñaḥ. sa tayā	prajQApAramitAyAm caranti tezAm ca varNa vAdI Bavati samanujQaH. sa tayA
   prajñayā sattvāñ śīle pratiṣṭhāpayati, samādhau prajñāyāṃ vimuktau	prajQayA sattvAn SIle pratizWApayati, samADO prajQAyAm vimuktO
   vimuktijñānadarśane ca pratiṣṭhāpayati. sa tenaiva śīlaskandhena	vimukti jQAna darSane ca pratizWApayati. sa tena eva SIla skanDena
   samādhiskandhena (PSP_6 8:6) prajñāskandhena vimuktiskandhena	samADi skanDena (PSu _6 8:6) prajQA skanDena vimukti skanDena
   vimuktijñānadarśanaskandhena ca samanvāgataḥ śrāvakapratyekabuddhabhūmim	vimukti jQAna darSana skanDena ca samanvAgataH SrAvaka pratyekabudDa BUmim
   atikrāmati, śrāvakapratyekabuddhabhūmim atikramya bodhisattvaniyāmam	atikrAmati, SrAvaka pratyekabudDa BUmim atikramya boDisattva niyAmam
   avakrāmati, bodhisattvaniyāmam avakramya buddhakṣetraṃ pariśodhayati,	avakrAmati, boDisattva niyAmam avakramya budDa kzetram pariSoDayati,
   buddhakṣetraṃ pariśodhya sattvān paripācayati, sattvān paripācya	budDa kzetram pariSoDya sattvAn paripAcayati, sattvAn paripAcya
   sarvākārajñatām anuprāpnoti, sarvākārajñatām anuprāpya dharmacakraṃ	sarva AkAra jQa tAm anuprApnoti, sarva AkAra jQa tAm anuprApya Darma cakram
   pravartayati, dharmacakraṃ pravartya sattvāṃs triṣu yāneṣu	pravartayati, Darma cakram pravartya sattvAn trizu yAnezu
   pratiṣṭhāpayati, sattvāṃs triṣu yāneṣu pratiṣṭhāpya saṃsārāt parimocayati.	pratizWApayati, sattvAn trizu yAnezu pratizWApya saMsArAt parimocayati.
   evaṃ khalu subhūte bodhisattvasya mahāsattvasya prajñayānupūrvakriyā	evam Kalu suBUte boDisattvasya mahAsattvasya prajQayA anupUrva kriyA
   prajñāyate 'nupūrvaśikṣā prajñāyate 'nupūrvapratipat prajñāyate, tac ca	prajQAyate anupUrva SikzA prajQAyate anupUrva pratipad prajQAyate, tat ca
   sarvaṃ nopalabhyate. tat kasya hetoḥ? tathā hy asyāḥ svabhāvo nāsti.	sarvam na upalaByate. tat kasya hetoH? taTA hi asyAH svaBAvaH nAsti.
   iti prajñāpāramitayānupūrvābhisamayaḥ	iti prajQApAramitayA anupUrva aBisamayaH
   punar aparaṃ subhūte bodhisattvo mahāsattvo 'nupūrvakriyāyāṃ śikṣate	punar aparam suBUte boDisattvaH mahAsattvaH anupUrva kriyAyAm Sikzate
   'nupūrvaśikṣāyām anupūrvapratipadi sa prathamacittotpādam upādāya,	anupUrva SikzAyAm anupUrva pratipadi sa praTama citta utpAdam upAdAya,
   sarvākārajñatāpratisaṃyuktair manasikārair abhāvasvabhāvān sarvadharmān	sarva AkAra jQa tA pratisaMyuktEH manasikArEH aBAva svaBAvAn sarva DarmAn
   adhimucya buddhānusmṛtiṃ bhāvayati, dharmānusmṛtiṃ bhāvayati	aDimucya budDa anusmRtim BAvayati, Darma anusmRtim BAvayati
   saṃghānusmṛtiṃ bhāvayati, śīlānusmṛtim bhāvayati, tyāgānusmṛtiṃ bhāvayati,	saMGa anusmRtim BAvayati, SIla anusmRtim BAvayati, tyAga anusmRtim BAvayati,
   devatānusmṛtiṃ bhāvayati. kathaṃ ca subhūte bodhisattvo mahāsattvo	devatA anusmRtim BAvayati. kaTam ca suBUte boDisattvaH mahAsattvaH 
   buddhānusmṛtiṃ bhāvayati? iha subhūte bodhisattvo mahāsattvaḥ tathāgatam	budDa anusmRtim BAvayati? iha suBUte boDisattvaH mahAsattvaH taTAgatam
   arhantaṃ samyaksaṃbuddhaṃ na rūpato manasikaroti, na vedanāto na saṃjñāto	arhantam samyaksaMbudDam na rUpataH manasikaroti, na vedanA atas na saMjQAtaH 
   na saṃskārato na vijñānato manasikaroti. tat kasya hetoḥ? tathā hi	na saMskArataH na vijQAnataH manasikaroti. tat kasya hetoH? taTA hi
   rūpasvabhāvo nāsti, vedanāyāḥ saṃjñāyāḥ saṃskārāṇāṃ vijñānasya svabhāvo	rUpa svaBAvaH nAsti, vedanAyAH saMjQAyAH saMskArANAm vijQAnasya svaBAvaH 
   nāsti, yasya svabhāvo nāsti so 'bhāvaḥ. tat kasya hetoḥ? asmṛtir	nAsti, yasya svaBAvaH na asti saH aBAvaH. tat kasya hetoH? asmRtiH 
   amanasikārā buddhānusmṛtiḥ rūpādyamanasikāreṇa buddhānusmṛtyā.	amanasikArA budDa anusmRtiH rUpa Adya manasikAreNa budDa anusmRtyA.
   punar aparaṃ subhūte tathāgato 'rhan samyaksaṃbuddho na	punar aparam suBUte taTAgataH arhan samyaksaMbudDaH na
   dvātriṃśanmahāpuruṣalakṣaṇair manasikartavyo na suvarṇakāyo manasikartavyo	dvAtriMSat mahApuruza lakzaNEH manasi kartavyaH na suvarNa kAyaH manasikartavyaH 
   (PSP_6 8:7) na vyāmamātrayā prabhayā manasikartavyo nāśītyanuvyañjanair	(PSu _6 8:7) na vyAma mAtrayA praBayA manasi kartavyaH nASI iti anuvyaQjanEH 
   manasikartavyaḥ. tat kasya hetoḥ? tathā hi tasya svabhāvo nāsti, yasya	manasi kartavyaH. tat kasya hetoH? taTA hi tasya svaBAvaH nAsti, yasya
   svabhāvo nāsti so 'bhāvaḥ. tat kasya hetoḥ? asmṛtir amanasikārā	svaBAvaH na asti saH aBAvaH. tat kasya hetoH? asmRtiH amanasikArA
   buddhānusmṛtir lakṣaṇādyamanasikāreṇa buddhānusmṛtyā.	budDa anusmRtiH lakzaNa Adya manasikAreNa budDa anusmRtyA.
