   PADA MARKERS	PADAH MARKERS
   kāśmaryabhīruḥ śrīparṇī % kāśmaryaṃ kaṭphalaṃ tathā // VAnigh_25 //	kASmarya-BIruH SrIparNI % kASmaryam kawPalam taTA // Va-aniG_25 //
   ḍolāphalas tīkṣṇasāro $ madhūko guḍapuṣpakaḥ &	xolAPalaH tIkzNasAraH $ maDUkaH guxapuzpakaH &
   madhupuṣpo lodhrapuṣpo % vānaprastho madhudrumaḥ // VAnigh_26 //	maDupuzpaH loDrapuzpaH % vAnaprasTaH maDudrumaH // Va-aniG_26 //
   jñeyo madhūlasaṃjño 'pi $ madhūko vārisaṃsthitaḥ &	jQeyaH maDUla-saMjQaH api $ maDUkaH vAri-saMsTitaH &
   chade hrasvas tailapuṣpas % tulyas tu rasavīryataḥ // VAnigh_27 //	Cade hrasvaH tElapuzpaH % tulyaH tu rasa-vIryataH // Va-aniG_27 //
   bhadraśriyaṃ malayajaṃ $ gośīrṣaṃ śvetacandanam &	BadraSriyam malayajam $ goSIrzam Svetacandanam &
   kucandanaṃ tāmravarṇaṃ % lohitaṃ raktacandanam // VAnigh_28 //	kucandanam tAmra-varNam % lohitam raktacandanam // Va-aniG_28 //
   yaṣṭī madhukayaṣṭyāhvā $ madhukaṃ klītakāhvayam &	yazwI maDuka-yazwyAhvA $ maDukam klItaka-Ahvayam &
   paruṣako mṛduphalo % roṣajo dhanvanacchadaḥ // VAnigh_29 //	paruzakaH mRduPalaH % roza-jaH DanvanacCadaH // Va-aniG_29 //
   kṛṣṇāgranthikakākamācicavikāviśvauṣadhājājibhiḥ $	kRzNA-granTika-kAka-mAci-cavikA-viSva-OzaDa-ajAjiBiH $
   pāṭhārāmaṭhareṇukāgajakaṇāsiddhārthacitroṣaṇaiḥ &	pAWA-rAmaWa-reNu-kA-gaja-kaNA-sidDArTa-citra-UzaNEH &
   spṛkkā jātyajamodahiṅgutruṭibhiḥ bhārṅgīvilaṅgānvitaiḥ % ebhir viṃśatibhiḥ	spRkkA jAti-ajamoda-hiFgu-truwiBiH BArFgI-vilaFga-anvitEH % eBiH viMSatiBiH
   kaphāmayaharaḥ kṛṣṇādiko 'yaṃ gaṇaḥ // VAnigh_30 //	kaPa-Amaya-haraH kRzNa-AdikaH ayam gaNaH // Va-aniG_30 //
   pippalī māgadhī kṛṣṇā $ vaidehī capalā kaṇā &	pippalI mAgaDI kRzNA $ vEdehI capalA kaNA &
   upakulyā kaulanāmā % śauṇḍī syāt tīkṣṇataṇḍulā // VAnigh_31 //	upakulyA kOla-nAmA % SONxI syAt tIkzNa-taNxulAH // Va-aniG_31 //
   kākamācī gucchaphalā $ svaryā maricikā phalā &	kAkamAcI gucCaPalA $ svaryA maricikA PalAH &
   kākolī cavikā cavyaṃ % granthilā kolavallikā // VAnigh_32 //	kAkolI cavikA cavyam % granTilA kolavallikA // Va-aniG_32 //
   śuṇṭhī mahauṣadhaṃ viśvaṃ $ nāgaraṃ viśvabheṣajam &	SuNWI mahOzaDam viSvam $ nAgaram viSvaBezajam &
   ajājī jīrakaṃ mātā % medhyaṃ syād auttarāpatham // VAnigh_33 //	ajAjI jIrakam mAtA % meDyam syAt OttarApaTam // Va-aniG_33 //
   kṛṣṇajīreti kākolī $ kālikodgāraśodhanī &	kRzNajIrA-iti kAkolI $ kAlikA-udgAra-SoDanI &
   jīraṇā kārabhī yoni- % śūlaghnī copakuñcikā // VAnigh_34 //	jIraNA kAraBI yoni % SUla-GnI ca-upakuQcikAH // Va-aniG_34 //
   mālavī triśirā pāṭhā $ prācīnā vṛttaparṇikā &	mAlavI triSirA pAWA $ prAcInA vRttaparNikA &
   ambaṣṭhā sthāpanī vīrā % bodhakī ca kucelikā // VAnigh_35 //	ambazWA sTApanI vIrA % boDakI ca kucelikA // Va-aniG_35 //
   jantughnaṃ jaraṇaṃ hiṅgu $ bhūtaghnaṃ vastihiṃsakaḥ &	jantu-Gnam jaraNam hiFgu $ BUta-Gnam vasti-hiMsakaH &
   kapilā reṇukā kauntī % rājaputrī hareṇukā // VAnigh_36 //	kapilA reNukA kOntI % rAja-putrI hareNukA // Va-aniG_36 //
   śreyasī syād gajakaṇā- $ kṛtrimācavikāphalā &	SreyasI syAt gaja-kaNA $ kRtrima-AcavikA-PalAH &
   āsurī sarṣapo rājī % nāsāsaṃvedanaḥ kaṭuḥ // VAnigh_37 //	AsurI sarzapaH rAjI % nAsA-saMvedanaH kawuH // Va-aniG_37 //
   siddhārthako bhūtanāśo $ rakṣoghnaḥ śvetasarṣapaḥ &	sidDArTakaH BUtanASaH $ rakzaH-GnaH SvetasarzapaH &
   tilā kaṭvī matsyapittā % kaṭukā śakulādanī // VAnigh_38 //	tilA kawvI matsyapittA % kawukA SakulAdanI // Va-aniG_38 //
   vallījaṃ yavaneṣṭaṃ syān $ maricaṃ tīkṣṇam ūṣaṇam &	vallIjam yavanezwam syAt $ maricam tIkzNam UzaNam &
   spṛkkā spṛk brāhmaṇī devī % piśunā ca latā satī // VAnigh_39 //	spRkkA spRS brAhmaNI devI % piSunA ca latA satI // Va-aniG_39 //
   jātīphalaṃ majjasāraṃ $ jātī madanaśauṇḍikau &	jAtIPalam majja-sAram $ jAtI madana-SONxikO &
   ajamodā kharāhvā ca % bastamodā ca markaṭī // VAnigh_40 //	ajamodA KarAhvA ca % bastamodA ca markawI // Va-aniG_40 //
   elā tu drāviḍī tutthā $ sūkṣmailā bahulā truṭiḥ &	elA tu drAvixI tutTA $ sUkzmElA bahulA truwiH &
   bhārṅgī gardabhaśākaṃ ca % padmā brāhmaṇayaṣṭikā // VAnigh_41 //	BArFgI gardaBa-SAkam ca % padmA brAhmaNa-yazwikAH // Va-aniG_41 //
   padmakapuṇḍrau vṛddhitugarddhayaḥ śṛṅgy amṛtā daśa jīvanasaṃjñāḥ /*	padmaka-puNxrO vRdDi-tuga-RdDayaH SRFgI amRtAH daSa jIvana-saMjQAH /*
   stanyakarā ghnantīraṇapittaṃ prīṇanajīvanabṛṃhaṇavṛṣyāḥ // VAnigh_42 //*	stanya-karAH Gnanti-IraNa-pittam prINana-jIvana-bRMhaNa-vRzyAH // Va-aniG_42 //*
   padmakādigaṇaṃ vakṣye $ hemapadmaṃ tu padmakam &	padmaka-Adi-gaNam vakzye $ hema-padmam tu padmakam &
   prapauṇḍarīkaṃ śrīpuṣpaṃ % puṇḍrāhvaṃ mūlasādhanam // VAnigh_43 //	prapONxarIkam SrIpuzpam % puNxra-Ahvam mUla-sADanam // Va-aniG_43 //
   vṛddhis tu śrāvaṇī puṣṭiḥ $ mahāvṛddhiḥ parocyate &	vRdDiH tu SrAvaNI puzwiH $ mahAvRdDiH para-ucyate &
   tavakṣīrī tuṣā śubhrā % vaṃśākhyā vaṃśarocanā // VAnigh_44 //	tavakzIrI tuzA SuBrA % vaMSa-AKyA vaMSa-rocanA // Va-aniG_44 //
   śṛṅgī smṛtā mahāghoṣā $ jñeyā karkaṭaśṛṅgikā &	SRFgI smRtA mahA-GozA $ jQeyA karkawaSRFgikAH &
   guḍūcī kuṇḍalī chinna- % ruhā kāṇḍodbhavāmṛtā // VAnigh_45 //	guxUcI kuNxalI Cinna % ruhA kANxa-udBava-amRtA // Va-aniG_45 //
   madhuparṇī vayaḥsthā ca $ maṇḍalī tantrikā smṛtā &	maDuparNI vayaHsTA ca $ maNxalI tantrikA smRtA &
   śalyaparṇī maṇicchidrā % medā medaḥsamudbhavā // VAnigh_46 //	SalyaparNI maNi=-CidrA % medA medaH-samudBavAH // Va-aniG_46 //
   mahāmedā vṛkṣaruhā $ mahāpuruṣadantikā &	mahAmedA vRkzaruhA $ mahApuruza-dantikA &
   daśānāṃ jīvanīyānāṃ % saṃjñā tu parikīrtitā // VAnigh_47 //	daSAnAm jIvanIyAnAm % saMjQA tu parikIrtitAH // Va-aniG_47 //
   paruṣakaṃ varā drākṣā $ kaṭphalaṃ katakāt phalāt &	paruzakam varA drAkzA $ kawPalam katakAt PalAt &
   rājāhvaṃ dāḍimaṃ śākaṃ % tṛṇmūtrāmayavātajit // VAnigh_48 //	rAjAhvam dAximam SAkam % tRz-mUtra-Amaya-vAta-jit // Va-aniG_48 //
   paruṣādigaṇaṃ vakṣye $ purā proktaṃ paruṣakam &	paruza-Adi-gaNam vakzye $ purA proktam paruzakam &
   varottamā ca triphalā % śreṣṭhā cāpi phalatrayam // VAnigh_49 //	vara-uttamA ca triPalA % SrezWA ca-api Palatrayam // Va-aniG_49 //
   prāṇadā pūtanāmoghā $ harītaky abhayā jayā &	prANa-dA pUtanA-amoGA $ harItakI aBayA jayA &
   pathyāmṛtā haimavatī % kāyasthā rohiṇī smṛtā // VAnigh_50 //	paTyA-amRtA hEmavatI % kAyasTA rohiNI smRtAH // Va-aniG_50 //
   akṣaḥ kaliḥ karṣaphalo $ vindhyajāto vibhītakaḥ &	akzaH kaliH karzaPalaH $ vinDya-jAtaH viBItakaH &
   koraṅgako mṛduphalo % dhātrī cāmalakī śivā // VAnigh_51 //	koraFgakaH mRduPalaH % DAtrI ca-AmalakI SivAH // Va-aniG_51 //
   rohiṇī khaṭvalā proktā $ drākṣā mṛduphalā tathā &	rohiNI KawvalA proktA $ drAkzA mRduPalA taTA &
   mṛdvīkā tūttamaphalā % gostanī cauttarāpathā // VAnigh_52 //	mRdvIkA tu-uttamaPalA % gostanI ca-OttarApaTAH // Va-aniG_52 //
   hemavalko mahāvalko $ bhadravṛkṣaś ca kīrtitaḥ &	hemavalkaH mahA-valkaH $ BadravRkzaH ca kIrtitaH &
   katakasya phalaṃ kātyaṃ % jñeyaṃ vāriprasādanam // VAnigh_53 //	katakasya Palam kAtyam % jQeyam vAri-prasAdanam // Va-aniG_53 //
   rājādanaṃ kṣīraśuklaṃ $ rājāhvaṃ vānarapriyam &	rAjAdanam kzIraSuklam $ rAjAhvam vAnara-priyam &
   śukeṣṭaṃ dāḍimaṃ caiva % raktabījaphalāhvayam // VAnigh_54 //	Sukezwam dAximam ca-eva % rakta-bIja-Pala-Ahvayam // Va-aniG_54 //
   svādvamlaṃ rocanaṃ caiva $ dvitīyam amladāḍimam &	svAdu-amlam rocanam ca-eva $ dvitIyam amla-dAximam &
   bṛhacchadas tathā śāko % varadāruḥ kharacchadaḥ // VAnigh_55 //	bRhacCadaH taTA SAkaH % varadAruH KaracCadaH // Va-aniG_55 //
   añjanaṃ phalinī māṃsī $ padmotpalarasāñjanam &	aQjanam PalinI mAMsI $ padma-utpala-rasAQjanam &
   sailāmadhukanāgāhvaṃ % viṣāntardāhapittanut // VAnigh_56 //	sA-elA-maDuka-nAgAhvam % viza-antardAha-pitta-nud // Va-aniG_56 //
   smṛtaṃ srotoñjanaṃ vīram $ añjanaṃ yāmunaṃ tathā &	smRtam srotoQjanam vIram $ aQjanam yAmunam taTA &
   srotodbhavam atho nādyaṃ % sauvīraṃ netrabhūṣaṇam // VAnigh_57 //	srotodBavam aTo nAdyam % sOvIram netra-BUzaNam // Va-aniG_57 //
   phalinī kolagirikā $ śyāmā kāntā priyaṅgukā &	PalinI kolagirikA $ SyAmA kAntA priyaFgukAH &
   piśācī naladaṃ māṃsī % jaṭilā bhūtakeśinī // VAnigh_58 //	piSAcI naladam mAMsI % jawilA BUtakeSinI // Va-aniG_58 //
   nalinaṃ puṣkaraṃ padmam $ aravindaṃ kuśeśayam &	nalinam puzkaram padmam $ aravindam kuSeSayam &
   paṅkeruhaṃ tāmarasaṃ % sārasaṃ sarasīruham // VAnigh_59 //	paFkeruham tAmarasam % sArasam sarasIruham // Va-aniG_59 //
   bisaprasūnarājīva- $ jalajāmbhoruhāṇi ca &	bisa-prasUna-rAjI-iva $ jalaja-amBoruhANi ca &
   indīvaraṃ kuvalayaṃ % nīlaṃ nīlotpalaṃ tathā // VAnigh_60 //	indIvaram kuvalayam % nIlam nIlotpalam taTA // Va-aniG_60 //
   saugandhikaṃ tu kalhāraṃ $ raktotpalasugandhike &	sOganDikam tu kalhAram $ raktotpala-suganDike &
   dravāhvam amṛtāsaṅga- % kṛtaṃ tārkṣyo rasāñjanam // VAnigh_61 //	dravAhvam amRta-AsaFga % kRtam tArkzyaH rasAQjanam // Va-aniG_61 //
   elā tu drāviḍī proktā $ bahulā truṭisaṃjñakā &	elA tu drAvixI proktA $ bahulA truwi-saMjQakAH &
   hemapuṣpaṃ tu nāgāhvaṃ % kesaraṃ nāgakesaram // VAnigh_62 //	hemapuzpam tu nAgAhvam % kesaram nAgakesaram // Va-aniG_62 //
   paṭolakaṭurohiṇīcandanaṃ $ madhusravaguḍūcīpāṭhānvitam &	pawola-kawurohiNI-candanam $ maDusrava-guxUcI-pAWA-anvitam &
   nihanti kaphapittakuṣṭhajvarān % viṣaṃ vamim arocakaṃ kāmalām // VAnigh_63	nihanti kaPa-pitta-kuzWa-jvarAn % vizam vamim arocakam kAmalAm // Va-aniG_63
   paṭolādis tu rājīmat $ kulakaṃ ca paṭolakam &	pawola-AdiH tu rAjImat $ kulakam ca pawolakam &
   kharacchadaḥ pāṇḍuphalo % rājamānyo 'mṛtāphalaḥ // VAnigh_64 //	KaracCadaH pANxuPalaH % rAjamAnyaH amRtAPalaH // Va-aniG_64 //
   pīluparṇī madhurasā $ mūrvā cātirasā smṛtā &	pIluparNI maDurasA $ mUrvA ca-ati-rasA smRtA &
   madhusravā pīlupattrā % moraṭī kṣīramoraṭam // VAnigh_65 //	maDusravA pIlupattrA % morawI kzIramorawam // Va-aniG_65 //
   guḍūcīpadmakāriṣṭa- $ dhānakāraktacandanam &	guxUcI-padmaka-arizwa $ DAnakA-raktacandanam &
   pittaśleṣmajvaracchardi- % dāhatṛṣṇāghnam agnikṛt // VAnigh_66 //	pitta-Slezma-jvara=-Cardi % dAha-tRzNA-Gnam agni-kRt // Va-aniG_66 //
   nimbo 'riṣṭo guḍūcyādau $ picumāndaḥ śukapriyaḥ &	nimbaH arizwaH guxUcI-AdO $ picumAndaH SukapriyaH &
   dhānyā kustumburuḥ dhānyaṃ % dhanikā dhānyakaṃ tathā // VAnigh_67 //	DAnyA kustumburuH DAnyam % DanikA DAnyakam taTA // Va-aniG_67 //
   āragvadhendrayavapāṭalikākatiktā- $ nimbāmṛtāmadhurasāsruvavṛkṣapāṭhāḥ &	AragvaDA-indrayava-pAwali-kAka-tiktA $ nimba-amRtA-maDu-rasa-asruva-vRkza-pAWAH &
   bhūnimbasairyakapaṭolakarañjayugma- % saptacchadāgnisuṣavīphalabāṇaghoṇṭāḥ	BUnimba-sEryaka-pawola-karaQja-yugma % saptacCada-agni-suzavI-Pala-bANa-GoNwAH
   // VAnigh_68 //	// Va-aniG_68 //
   āragvadhādir jayati $ chardikuṣṭhaviṣajvarān &	AragvaDAdiH jayati $ Cardi-kuzWa-viza-jvarAn &
   kaphaṃ kaṇḍūṃ pramehaṃ ca % duṣṭavraṇaviśodhanaḥ // VAnigh_69 //	kaPam kaNxUm prameham ca % duzwavraNa-viSoDanaH // Va-aniG_69 //
   āragvadho rājavṛkṣaḥ $ śamyākaś caturaṅgulaḥ &	AragvaDaH rAjavRkzaH $ SamyAkaH catur-aFgulaH &
   ārevato vyādhighātaḥ % pragrahaḥ kṛtamālakaḥ // VAnigh_70 //	ArevataH vyADiGAtaH % pragrahaH kRtamAlakaH // Va-aniG_70 //
   kaliṅgakas tv indrayavo $ vatsakaḥ kauṭajaṃ phalam &	kaliFgakaH tu indrayavaH $ vatsakaH kOwajam Palam &
   pāṭalī dīrghavṛttā ca % sthalyāmoghāmbuvāsinī // VAnigh_71 //	pAwalI dIrGavRttA ca % sTalyA-amoGa-ambu-vAsinI // Va-aniG_71 //
   vṛttatuṇḍā kākatiktā $ śārṅgeṣṭāṅgāravallikā &	vRttatuNxA kAkatiktA $ SArFgezwA-aFgAravallikA &
   vyāghrapādaḥ sruvataruḥ % svādukaṇṭo vikaṅkataḥ // VAnigh_72 //	vyAGrapAdaH sruvataruH % svAdukaNwaH vikaFkataH // Va-aniG_72 //
   kirātatikto bhūnimbaḥ $ kattṛṇaḥ kāṇḍatiktakaḥ &	kirAtatiktaH BUnimbaH $ kattRNaH kANxatiktakaH &
   sairyakas tu sahacaraḥ % saryako mṛdupuṣpakaḥ // VAnigh_73 //	sEryakaH tu sahacaraH % saryakaH mRdupuzpakaH // Va-aniG_73 //
   bāṇaḥ smṛto nīlapuṣpaḥ $ dhīraśauryakaghośvarāḥ &	bANaH smRtaH nIlapuzpaH $ DIra-SOryaka-GoSvarAH &
   pūtikarañjaḥ kaiḍaryaḥ % prakīryaś cirabilvakaḥ // VAnigh_74 //	pUtikaraQjaH kExaryaH % prakIryaH cirabilvakaH // Va-aniG_74 //
   udakīryo naktamālaḥ $ karañjo lājapuṣpakaḥ &	udakIryaH naktamAlaH $ karaQjaH lAjapuzpakaH &
   saptacchado 'yugmapattraḥ % saptāhvo gucchapuṣpakaḥ // VAnigh_75 //	saptacCadaH ayugmapattraH % saptAhvaH gucCapuzpakaH // Va-aniG_75 //
   citrako dvīpisaṃjñas tu $ vahniparyāyavācakaḥ &	citrakaH dvIpi-saMjQaH tu $ vahni-paryAya-vAcakaH &
   raktacitras tathānyas tu % mahāṅgaḥ kālamūlakaḥ // VAnigh_76 //	raktacitraH taTA-anyaH tu % mahAFgaH kAlamUlakaH // Va-aniG_76 //
   pānīyavallī suṣavī $ bṛhadvally utpalacchadā &	pAnIyavallI suzavI $ bRhadvallI utpalacCadAH &
   gālo rāṭho 'tha madanaḥ % piṇḍītaḥ karahāṭakaḥ // VAnigh_77 //	gAlaH rAWaH aTa madanaH % piNxItaH karahAwakaH // Va-aniG_77 //
   śalyakaiḍaryavṛkṣaḥ syāc $ chardanas tagaraḥ phalam &	Salya-kExaryavRkzaH syAt $ CardanaH tagaraH Palam &
   ghoṇṭo muṇṭhagopaghoṇṭau % padmakī markaṭāhvayā // VAnigh_78 //	GoNwaH muNWa-gopa-GoNwO % padmakI markawAhvayA // Va-aniG_78 //
   asanatiniśabhūrjaśvetavāhaprakīryā $ khadirakadarabhaṇḍīśiṃśapāmeṣaśṛṅgyaḥ	asana-tiniSa-BUrja-SvetavAha-prakIryA $ Kadira-kadara-BaNxI-SiMSapA-mezaSRFgyaH
   trihimatalapalāśāḥ joṅgakaḥ śākaśālau %	trihima-tala-palASAH joFgakaH SAka-SAlO %
   kramukadhavakaliṅgacchāgakarṇāśvakarṇāḥ // VAnigh_79 //	kramuka-Dava-kaliFga=-CAga-karNa-aSvakarNAH // Va-aniG_79 //
   asanādir vijayate $ śvitrakuṣṭhakaphakrimīn &	asana-AdiH vijayate $ Svitra-kuzWa-kaPa-krimIn &
   pāṇḍurogaṃ pramehaṃ ca % medodoṣanibarhaṇaḥ // VAnigh_80 //	pANxu-rogam prameham ca % medaH-doza-nibarhaNaH // Va-aniG_80 //
   asanādau pītasāraḥ $ priyako bījako 'sanaḥ &	asana-AdO pItasAraH $ priyakaH bIjakaH asanaH &
   syandanaḥ stimito nemiḥ % rathadruḥ sarvasādhakaḥ // VAnigh_81 //	syandanaH stimitaH nemiH % raTadruH sarva-sADakaH // Va-aniG_81 //
   bhūrjo bhurjo bahupuṭo $ mṛdutvak cāsthiracchadaḥ &	BUrjaH BurjaH bahu-puwaH $ mRdu-tvac ca-asTiracCadaH &
   pārtho 'rjunaḥ śvetavāhaḥ % kakubhaḥ phālgunāhvayaḥ // VAnigh_82 //	pArTaH arjunaH SvetavAhaH % kakuBaH PAlguna-AhvayaH // Va-aniG_82 //
   gāyatrī khadiro gītā $ kuṣṭhaghno bālapattrakaḥ &	gAyatrI KadiraH gItAH $ kuzWa-GnaH bAlapattrakaH &
   kadaraḥ khadiraḥ sāraḥ % koṭarī śyāmasārakaḥ // VAnigh_83 //	kadaraH KadiraH sAraH % kowarI SyAmasArakaH // Va-aniG_83 //
