   oṃ namo maṅgalamūrtaye |	om namaH maFgala-mUrtaye |
   viśvasya siddhau prakāśane hetuḥ tato 'syāḥ	viSvasya sidDO prakASane hetuH tatas asyAH
   svatantrāparicchinnasvaprakāśarūpāyāḥ siddhau abhinavārthaprakāśanarūpa.=	svatantrA-paricCinna-sva-prakASa-rUpAyAH sidDO aBinava-arTa-prakASana-rUpa.=
   m	m
   na pramāṇavarākam upayuktam upapannaṃ vā |	na pramANa-varAkam upayuktam upapannam vA |
   tad uktam trikasāre	tat uktam trikasAre
   svapadā svaśiraśchāyāṃ yadval laṅghitum īhate |	sva-padA sva-SiraH-CAyAm yadvat laFGitum Ihate |
   pādoddeśe śiro na syāt tatheyaṃ baindavī kalā || iti |	pAda-uddeSe SiraH na syAt taTA-iyam bEndavI kalA || iti |
   yataś ca iyaṃ viśvasya siddhau parādvayasamārasyāpādanātmani ca saṃhare	yatas ca iyam viSvasya sidDO parA-dvaya-samArasya-ApAdana-Atmani ca saMhare
   hetuḥ tata eva svatantrā | pratyabhijñātasvātantryā satī	hetuH tatas eva svatantrA | pratyaBijQAta-svAtantryA satI
   bhogamokṣasvarūpāṇāṃ viśvasiddhīnāṃ hetuḥ |	Boga-mokza-svarUpANAm viSva-sidDInAm hetuH |
   ity āvṛttyā vyākhyeyam | api ca viśvaṃ nīlasukhadehaprāṇādi tasya yā	iti AvRttyA vyAKyeyam | api ca viSvam nIla-suKa-deha-prANa-Adi tasya yA
   siddhiḥ pramānopārohakrameṇa vimarśamayapramātrāveśaḥ saiva hetuḥ	sidDiH pramAna-upAroha-krameNa vimarSa-maya-pramAtra-AveSaH sA-eva hetuH
   parijñāne upāyo yasyāḥ | anena ca sukhopāyatvam uktam | yad uktaṃ	parijQAne upAyaH yasyAH | anena ca suKa-upAya-tvam uktam | yat uktam
   śrīvijñānabhaṭṭārake	SrI-vijQAna-BawwArake
   grāhyagrāhakasaṃvittiḥ sāmānyā sarvadehinām |	grAhya-grAhaka-saMvittiH sAmAnyA sarva-dehinAm |
   yogināṃ tu viśeṣo 'yaṃ saṃbandhe sāvadhānatā [3] || iti |	yoginAm tu viSezaH ayam saMbanDe sAvaDAna-tA [3] || iti |
   citiḥ iti ekavacanaṃ deśakālādyanavacchinnatām abhidadhat	citiH iti eka-vacanam deSa-kAla-Adi-anavacCinna-tAm aBidaDat-
   samastabhedavādānām avāstavatāṃ vyanakti | svatantraśabdo	samasta-Beda-vAdAnAm avAstavatAm vyanakti | svatantra-SabdaH-
   brahmavādavailakṣaṇyam ācakṣāṇaḥ cito māheśvaryasāratāṃ brūte |	brahma-vAda-vElakzaNyam AcakzANaH citaH mAheSvarI-a-sAra-tAm brUte |
   viśva ityādipadam aśeṣaśaktitvaṃ sarvakāraṇatvaṃ sukhopāyatvaṃ	viSvaH ityAdi-padam aSeza-Sakti-tvam sarva-kAraNa-tvam suKa-upAya-tvam
   mahāphalaṃ ca āha ||	mahA-Palam ca Aha ||
   nanu viśvasya yadi citiḥ hetuḥ tat asyā upādānādyapekṣāyāṃ	nanu viSvasya yadi citiH hetuH tat asyAH upAdAna-Adi-apekzAyAm
   bhedavādāparityāgaḥ syāt	Beda-vAda-aparityAgaH syAt-
   ity āśaṅkya āha	iti ASaFkyaH Aha
   svecchayā svabhittau viśvam unmīlayati || 2 ||	sva-icCayA sva-BittO viSvam unmIlayati || 2 ||
   svecchayā na tu brahmādivad anyecchayā | tayaiva ca na tu	sva-icCayA na tu brahma-Adi-vat anya-icCayA | tayA-eva ca na tu
   upādānādyapekṣay=	upAdAna-Adi-apekzay=
   ā	A
   | evaṃ hi prāguktasvātantryahānyā cittvam eva na ghaṭeta | svabhittau na	| evam hi prAk-ukta-svAtantrI-a-hA-anyA cit-tvam eva na Gaweta | sva-BittO na
   tu anyatra kvāpi | prāk nirṇītaṃ viśvaṃ darpaṇe nagaravat abhinnam api	tu anyatra kvApi | prAk nirNItam viSvam darpaNe nagara-vat aBinnam api
   bhinnam iva unmīlayati | unmīlanaṃ ca avasthitasyaiva prakaṭīkaraṇaṃ it=	Binnam iva unmIlayati | unmIlanam ca avasTitasya-eva prakawIkaraNam it=
   y	y
   anena jagataḥ prakaśaikātmyenāvasthānam uktam ||	anena jagataH prakaSa-EkAtmyena-avasTAnam uktam ||
   atha viśvasya svarūpaṃ vibhāgena pratipādayitum āha	aTa viSvasya svarUpam viBAgena pratipAdayitum Aha
   tan nānā anurūpagrāhyagrāhakabhedāt || 3 ||	tat nAnA anurUpa-grAhya-grAhaka-BedAt || 3 ||
   tad viśvaṃ nānā anekaprakāram | katham anurūpāṇāṃ	tat viSvam nAnA aneka-prakAram | kaTam anurUpANAm
   parasparaucityāvasthīnāṃ grāhyāṇāṃ grāhakāṇāṃ ca bhedād vaicitryāt |	paraspara-OcityO=-asTInAm grAhyANAm grAhakANAm ca BedAt vEcitryAt |
   tathā ca sadāśivatattve 'hantācchāditāsphuṭedantāmayaṃ yādṛśaṃ	taTA ca sadASiva-tattve ahanta-AcCAditA-sPuwedanta-Amayam yAdRSam
   parāpararūpaṃ viśvaṃ grāhyaṃ tādṛg eva	parApara-rUpam viSvam grAhyam tAdRS eva
   śrīsadāśivabhaṭṭārakādhiṣṭhito mantramaheśvarākhyaḥ pramātṛvargaḥ	SrI-sadASiva-BawwAraka-aDizWitaH mantra-maheSvara-AKyaH pramAtR-vargaH
   parameśvarecchāvakalpitatathāvasthānaḥ |	parameSvara-icCA-avakalpita-taTA-avasTAnaH |
   īśvaratattve sphuṭedantāhantāsāmānādhikaraṇyātma yādṛg viśvaṃ grāhya.=	ISvara-tattve sPuwet-anta-ahantA-sAmAnADikaraNyA-Atma yAdRS viSvam grAhya.=
   m	m
   tathāvidha eva īśvarabhaṭṭārakādhiṣṭhito mantreśvaravargaḥ |	taTAviDaH eva ISvara-BawwAraka-aDizWitaH mantreSvara-vargaH |
   vidyāpade śrīmadanantabhaṭṭārakādhiṣṭhitā bahuśākhāvāntarabhedabhinnā	vidyA-pade SrImat-ananta-BawwAraka-aDizWitA bahu-SAKA-avAntara-Beda-BinnA
   yathābhūtā mantrāḥ pramātāraḥ tathābhūtam eva bhedaikasāraṃ viśvam api	yaTA-BUtAH mantrAH pramAtAraH taTABUtam eva Beda-eka-sAram viSvam api
   prameyam | māyordhve yādṛśā vijñānākalāḥ	prameyam | mAyA-UrDve yAdRSAH vijQAnAkalAH
   kartṛtāśūnyaśuddhabodhātmānaḥ tādṛg eva tadabhedasāraṃ	kartR-tA-SUnya-SudDa-boDa-AtmAnaH tAdRS eva tad-aBeda-sAram
   sakalapralayākalātmakapūrvāvasthāparicitam eṣāṃ prameyam | māyāyāṃ	sakala-pralaya-akalA-Atmaka-pUrva-avasTA-paricitam ezAm prameyam | mAyAyAm
   śūnyapramātṝṇāṃ pralayakevalināṃ svocitaṃ pralīnakalpaṃ prameyam |	SUnya-pramAtLNAm pralaya-kevalinAm sva-ucitam pralIna-kalpam prameyam |
   kṣitiparyantāvasthitānāṃtu sakalānāṃ sarvato bhinnānāṃ parimitānāṃ	kziti-paryanta-avasTitAnAMtu sakalAnAm sarvatas BinnAnAm parimitAnAm
   tathābhūtam eva prameyam | taduttīrṇaśivabhaṭṭārakasya	taTABUtam eva prameyam | tad-uttIrNa-Siva-BawwArakasya
   prakāśaikavapuṣaḥ prakāśaikarūpā eva bhāvāḥ | śrīmatparamaśivasya	prakASa-eka-vapuzaH prakASa-eka-rUpAH eva BAvAH | SrImat-paramaSivasya
   punaḥ viśvottīrṇaviśvātmakaparamānandamayaprakāśaikaghanasya	punar viSva-uttIrNa-viSva-Atmaka-parama-Ananda-maya-prakASa-eka-Ganasya
   evaṃvidham eva śivādidharaṇyantam akhilaṃ abhedenaiva sphurati | na tu	evaMviDam eva Siva-Adi-DaraNI-antam aKilam aBedena-eva sPurati | na tu
   vastutaḥ anyat kiṃcit grāhyaṃ grāhakaṃ vā | api tu	vastutas anyat kiMcid grAhyam grAhakam vA | api tu
   śrīparamaśivabhaṭṭāraka eva itthaṃ nānāvaicitryasahasraiḥ sphuratīty	SrI-paramaSiva-BawwArakaH eva itTam nAnA-vEcitrya-sahasrEH sPurati-iti-
   abhihitaprāyam ||	aBihita-prAyam ||
   yathā ca bhagavān viśvaśarīraḥ tathā	yaTA ca BagavAn viSva-SarIraH taTA
   citisaṃkocātmā cetano 'pi saṃkucitaviśvamayaḥ || 4 ||	citi-saMkoca-AtmA cetanaH api saMkucita-viSva-mayaH || 4 ||
   śrīparamaśivaḥ svātmaikyena sthitaṃ viśvaṃ sadāśivādyucitena rūpena	SrI-parama-SivaH sva-Atma-Ekyena sTitam viSvam sadASiva-Adi-ucitena rUpena
   avabibhāsayiṣuḥ pūrvaṃ	avabiBAsayizuH pUrvam
   cidaikyākhyātimayānāśritaśivaparyāyaśūnyātiśūnyātmatayā prakāśābhedena	cit-Ekya-AKyAti-mayA-anASrita-Siva-paryAya-SUnya-ati-SUnya-Atma-tayA prakASa-aBedena
   prakāśamānatayā sphurati | tataḥ	prakASamAna-tayA sPurati | tatas-
   cidrasāśyānatārūpāśeṣatattvabhuvanabhāvatattatpramātrādyātmatayāpi	cit-ra-sASyAna-tA-rUpa-aSeza-tattva-Buvana-BAva-tad-tad-pramAtra-Adi-Atma-tayA-api
   prathate | yathā ca evaṃ bhagavān viśvaśarīraḥ tathā citisaṃkocātmā	praTate | yaTA ca evam BagavAn viSva-SarIraH taTA citi-saMkoca-AtmA
   saṃkucitacidrūpaḥ cetano grāhako 'pi vaṭadhānikāvat	saMkucita-cit-rUpaH cetanaH grAhakaH api vawa-DAnikA-vat
   saṃkucitāśeṣaviśvarūpaḥ | tathā ca siddhāntavacanam	saMkucita-aSeza-viSva-rUpaH | taTA ca sidDAnta-vacanam
   vigraho vigrahī caiva sarvavigrahavigrahī | iti |	vigrahaH vigrahI ca-eva sarva-vigraha-vigrahI | iti |
   triśiromate 'pi=20	triSiromate api=20
   sarvadevamayaḥ kāyas taṃ cedānīṃ śṛṇu priye |	sarva-deva-mayaH kAyaH tam ca-idAnIm SRNu priye |
   pṛthivī kaṭhinatvena dravatve 'mbhaḥ prakīrtitam ||	pRTivI kaWina-tvena drava-tve amBaH prakIrtitam ||
   ity upakramya=20	iti upakramya=20
   triśirobhairavaḥ sākṣād vyāpya viśvaṃ vyavasthitaḥ |	triSiraH-BEravaH sAkzAt vyApya viSvam vyavasTitaH |
   ity antena granthena grāhakasya saṃkucitaviśvamayatvam eva vyāharati |	iti antena granTena grAhakasya saMkucita-viSva-maya-tvam eva vyAharati |
   ayaṃ cātrāśayaḥ grāhako 'pi ayaṃ prakāśaikātmyena uktāgamayuktyā ca	ayam ca-atra-ASayaH grAhakaH api ayam prakASa-EkAtmyena ukta-Agama-yuktyA ca
   viśvaśarīraśivaikarūpa eva kevalaṃ tanmāyāśaktyā	viSva-SarIra-Siva-eka-rUpaH eva kevalam tat-mAyA-SaktyA
   anabhivyaktasvarūpatvāt saṃkucita iva ābhāti | saṃkoco 'pi vicāryamāṇaḥ	anaBivyakta-svarUpa-tvAt saMkucitaH iva ABAti | saMkocaH api vicAryamANaH
   cidaikātmyena prathamānatvāt cinmaya eva | anyathā tu na kiṃcit iti sarvo	cit-EkAtmyena praTamAna-tvAt cit-mayaH eva | anyaTA tu na kiMcid iti sarvaH-
   grāhako viśvaśarīraḥ śivabhaṭṭāraka eva | tad uktaṃ mayaiva	grAhakaH viSva-SarIraH Siva-BawwArakaH eva | tat uktam mayA-eva
   akhyātir yadi na khyāti khyātir evāvaśiṣyate |	aKyAtiH yadi na KyAti KyAtiH eva-avaSizyate |
   khyāti cet khyātirūpatvāt khyātir evāvaśiṣyate || iti |	KyAti ced KyAti-rUpa-tvAt KyAtiH eva-avaSizyate || iti |
   anenaivāśayena śrīspandaśāstreṣu	anena-eva-ASayena SrI-spanda-SAstrezu
   yasmāt sarvamayo jīvaḥ ............................ |	yasmAt sarva-mayaH jIvaH ............................ |
   ity upakramya=20	iti upakramya=20
   tena śabdārthacintāsu na sāvasthā na yaḥ śivaḥ [4] |	tena Sabda-arTa-cintAsu na sA-avasTA na yaH SivaH [4] |
   ityādinā śivajīvayor abheda evoktaḥ | etattattvaparijñānam eva muktiḥ |	ityAdinA Siva-jIvayoH aBedaH eva-uktaH | etat-tattva-parijQAnam eva muktiH |
   etattattvāparijñānam eva ca bandha iti bhaviṣyati eva etat ||	etat-tattva-aparijQAnam eva ca banDaH iti Bavizyati eva etat ||
   nanu grāhako 'yaṃ vikalpamayaḥ vikalpanaṃ ca cittahetukaṃ sati ca citte	nanu grAhakaH ayam vikalpa-mayaH vikalpanam ca citta-hetukam sati ca citte
   katham asya śivātmakatvaṃ iti śaṅktvā cittam eva nirnetum āha	kaTam asya Siva-Atmaka-tvam iti SaFktvA cittam eva nirnetum Aha
   citir eva cetanapadād avarūḍhā cetyasaṃkocinī	citiH eva cetana-padAt avarUXA ca-iti-asaMkocinI
   cittam || 5 ||	cittam || 5 ||
   na cittaṃ nāma anyat kiṃcit api tu saiva bhagavatī tat | tathā hi sā sva.=	na cittam nAma anyat kiMcid api tu sA-eva BagavatI tat | taTA hi sA sva.=
   m	m
   svarūpaṃ gopayitvā yadā saṃkocaṃ gṛhṇāti tadā dvayī gatiḥ | kadācid	svarUpam gopayitvA yadA saMkocam gRhNAti tadA dvayI gatiH | kadAcid-
   ullasitam api saṃkocaṃ guṇīkṛtya citprādhānyena sphurati | kadācit	ullasitam api saMkocam guNIkRtya cit-prADAnyena sPurati | kadAcid-
   saṃkocapradhānatayā | citprādhānyapakṣe sahajaṃ prakāśamātrapradhānatve	saMkoca-praDAna-tayA | cit-prADAnya-pakze sahajam prakASa-mAtra-praDAna-tve
   vijñānākalatā | prakāśaparāmarśapradhānatve tu vidyāpramātṛtā | tatrāpi	vijQAnAkalatA | prakASa-parAmarSa-praDAna-tve tu vidyA-pramAtR-tA | tatra-api
   krameṇa saṃkocasya tanutāyāṃ īśasadāśivānāśritarūpatā |	krameNa saMkocasya tanu-tAyAm ISa-sadASivAn-ASrita-rUpa-tA |
   samādhiprayatnopārjite tu citpradhānatve śuddhādhvapramātṛtā kramāt	samADi-prayatna-upArjite tu cit-praDAna-tve SudDa-aDva-pramAtR-tA kramAt-
   kramaṃ prakarṣavatī | saṃkocaprādhānye tu śūnyādipramātṛtā | evam	kramam prakarzavatI | saMkoca-prADAnye tu SUnya-Adi-pramAtR-tA | evam
   avasthite sati citir eva saṃkucitagrāhakarūpā cetanapadāt avarūḍhā	avasTite sati citiH eva saMkucita-grAhaka-rUpA cetana-padAt avarUXA
   arthagrahaṇonmukhī satī cetyena nīlasukhādinā saṃkocinī	arTa-grahaNa-unmuKI satI ca-ityena nIla-suKa-AdinA saMkocinI
   ubhayasaṃkocasaṃkucitaiva	uBaya-saMkoca-saMkucitA-eva
   cittam | tathā ca=20	cittam | taTA ca=20
   svāṅgarūpeṣu bhāveṣu patyur jñānaṃ kriyā ca yā |	sva-aFga-rUpezu BAvezu patyuH jQAnam kriyA ca yA |
   māyā tṛtīye te eva paśoḥ sattvaṃ rajas tamaḥ [5] || ityādinā	mAyA tRtIye te eva paSoH sattvam rajaH tamaH [5] || ityAdinA
   svātantryātmā citiśaktir eva jñānakriyāmāyāśaktirūpā paśudaśāyāṃ	svAtantrya-AtmA citi-SaktiH eva jQAna-kriyA-mAyA-Sakti-rUpA paSu-daSAyAm
   saṃkocaprakarṣāt sattvarajastamaḥsvabhāvacittātmatayā sphuratīti	saMkoca-prakarzAt sattva-rajaH-tamaH-svaBAva-citta-Atma-tayA sPurati-iti
   śrīpratyabhijñāyām uktam | ata eva śrītattvagarbhastotre vikalpadaśāyām	SrI-pratyaBijQAyAm uktam | atas eva SrI-tattva-garBa-stotre vikalpa-daSAyAm
   api tāttvikasvarūpasadbhāvāt tadanusaraṇābhiprāyeṇoktam	api tAttvika-svarUpa-sadBAvAt tad-anusaraNa-aBiprAyeNa-uktam
   ata eva tu ye kecit paramārthānusāriṇaḥ |	atas eva tu ye kecid parama-arTa-anusAriNaH |
   teṣāṃ tatra svarūpasya svajyotiṣṭvaṃ na lupyate || iti ||	tezAm tatra svarUpasya sva-jyotizwvam na lupyate || iti ||
   cittam eva tu māyāpramātuḥ svarūpam ity āha	cittam eva tu mAyA-pramAtuH svarUpam iti Aha
   tanmayo māyāpramātā || 6 ||	tad-mayaH mAyA-pramAtAH || 6 ||
   dehaprāṇapadaṃ tāvat cittapradhānam eva | śūnyabhūmir api	deha-prANa-padam tAvat citta-praDAnam eva | SUnya-BUmiH api
   cittasaṃskāravaty eva | anyathā tato vyutthitasya	citta-saMskAravatI eva | anyaTA tatas vyutTitasya
   svakartavyānudhāvanābhāvaḥ syād iti cittamaya eva māyīyaḥ pramātā |	sva-kartavya-anuDAvana-aBAvaH syAt iti citta-mayaH eva mAyIyaH pramAtA |
   amunaiva āśayena śivasūtreṣu vastuvṛttānusāreṇa "caitanyam ātmā" [6]	amunA-eva ASayena SivasUtrezu vastu-vRtta-anusAreNa "cEtanyam AtmA" [6]
   ity abhidhāya māyāpramātṛlakṣaṇāvasare punaḥ "cittam ātmā" [7] ity ukta=	iti aBiDAya mAyA-pramAtR-lakzaNa-avasare punar "cittam AtmA" [7] iti ukta=
   m	m
   asyaiva samyak svarūpajñānāt yato muktiḥ asamyak tu saṃsāraḥ tataḥ	asya-eva samyak svarUpa-jQAnAt yatas muktiH asamyak tu saMsAraH tatas-
   tilaśa etatsvarūpaṃ nirbhaṅktum āha	tilaSas etat-svarUpam nirBaFktum Aha
   sa caiko dvirūpas trimayaś caturātmā	sa ca-ekaH dvi-rUpaH tri-mayaH catur-AtmA
   saptapañcakasvabhāvaḥ || 7 ||	sapta-paQcaka-svaBAvaH || 7 ||
   nirṇītadṛśā cidātmā śivabhaṭṭāraka eva eka ātmā na tu anyaḥ kaścit	nirNIta-dRSA cit-AtmA Siva-BawwArakaH eva ekaH AtmA na tu anyaH kaScid-
   prakāśasya deśakālādibhiḥ bhedāyogāt | jaḍasya tu grāhakatvānupapatteḥ	prakASasya deSa-kAla-AdiBiH Beda-ayogAt | jaxasya tu grAhaka-tva-anupapatteH
   | prakāśa eva yataḥ svātantryāt gṛhītaprāṇādisaṃkocaḥ	| prakASaH eva yatas svAtantryAt gRhIta-prANa-Adi-saMkocaH
   saṃkucitārthagrāhakatām aśnute tato 'sau	saMkucita-arTa-grAhaka-tAm aSnute tatas asO
   prakāśarūpatvasaṃkocāvabhāsavattvābhyāṃ dvirūpaḥ |	prakASa-rUpa-tva-saMkoca-avaBAsavat-tvAByAm dvi-rUpaH |
   āṇavamāyīyakārmamalāvṛtatvāt trimayaḥ |	ANava-mAyIya-kArma-mala-AvRta-tvAt tri-mayaH |
   śūnyaprāṇapuryaṣṭakaśarīrasvabhāvatvāt caturātmā | saptapañcakāni	SUnya-prANa-puryazwaka-SarIra-svaBAva-tvAt catur-AtmA | sapta-paQcakAni
   śivādipṛthivyantāni pañcatriṃśattattvāni tatsvabhāvaḥ |	Siva-Adi-pRTivI-antAni paQcatriMSat-tattvAni tad-svaBAvaH |
   tathā śivādisakalāntapramātṛsaptakasvarūpaḥ |	taTA Siva-Adi-sakala-anta-pramAtR-saptaka-svarUpaH |
   cidānandecchājñānakriyāśaktirūpatve 'pi akhyātivaśāt	cit-Ananda-icCA-jQAna-kriyA-Sakti-rUpa-tve api aKyAti-vaSAt-
   kalāvidyārāgakālaniyatikañcukavalitatvāt pañcakasvarūpaḥ | evaṃ ca	kalA-vidyA-rAga-kAla-niyati-kaQcuka-valita-tvAt paQcaka-svarUpaH | evam ca
   śivaikarūpatvena pañcatriṃśattattvamayatvena pramātṛsaptakasvabhāvatven=	Siva-eka-rUpa-tvena paQcatriMSat-tattva-maya-tvena pramAtR-saptaka-svaBAva-tven=
   a	a
   cidādiśaktipañcakātmakatvena ca ayaṃ pratyabhijñāyamāno muktiḥ | anyathā	cit-Adi-Sakti-paQcaka-Atmaka-tvena ca ayam pratyaBijQAyamAnaH muktiH | anyaTA
   tu saṃsārahetuḥ ||	tu saMsAra-hetuH ||
   evaṃ ca	evam ca
   tadbhūmikāḥ sarvadarśanasthitayaḥ || 8 ||	tad-BUmikAH sarva-darSana-sTitayaH || 8 ||
   sarveṣāṃ cārvākādidarśanānāṃ sthitayaḥ siddhāntāḥ tasya etasya ātmano	sarvezAm cArvAka-Adi-darSanAnAm sTitayaH sidDAntAH tasya etasya AtmanaH-
   naṭasyeva svecchāvagṛhītāḥ kṛtrimā bhūmikāḥ | tathā ca	nawasya-iva sva-icCA-avagRhItAH kRtrimAH BUmikAH | taTA ca
   caitanyaviśiṣṭaṃ śarīram ātmā iti cārvākāḥ | naiyāyikādayo	cEtanya-viSizwam SarIram AtmA iti cArvAkAH | nEyAyikAdayaH-
   jñānādiguṇagaṇāśrayaṃ buddhitattvaprāyam eva ātmānaṃ saṃsṛtau	jQAna-Adi-guNa-gaNa-ASrayam budDi-tattva-prAyam eva AtmAnam saMsRtO
   manyante | apavarge tu tad ucchede śūnyaprāyam |	manyante | apavarge tu tat ucCede SUnya-prAyam |
   ahaṃpratītipratyeyaḥ sukhaduḥkhādyupādhibhiḥ tiraskṛtātmā manvānā	ahaMpratIti-pratyeyaH suKa-duHKa-Adi-upADiBiH tiraskRta-AtmA manvAnA
   mīmāṃsakā 'pi buddhāv eva niviṣṭā | jñānasantāna eva tattvaṃ iti saugat=	mImAMsakAH api budDO eva nivizwAH | jQAna-santAnaH eva tattvam iti sOgat=
   ā	A
   buddhivṛttiṣv eva paryavasitāḥ | prāṇa evātmeti kecit śrutyantavidaḥ =	budDi-vRttizu eva paryavasitAH | prANaH eva-AtmA-iti kecid Sruti-anta-vidaH =
   asad eva idam āsīd ity abhāvabrahmavādinaḥ śūnyabhuvam avagāhya sthitāḥ =	asat eva idam AsIt iti aBAva-brahma-vAdinaH SUnya-Buvam avagAhya sTitAH =
   mādhyamikāpi evam eva |	mADyamikA-api evam eva |
   parā prakṛtir bhagavān vāsudevaḥ tadvisphuliṅgaprāyā eva jīvā iti	parA prakRtiH BagavAn vAsudevaH tad-visPuliFga-prAyAH eva jIvAH iti
   pāñcarātrāḥ parasyāḥ prakṛteḥ pariṇāmābhyupagamāt avyakta	pAQcarAtrAH parasyAH prakRteH pariNAma-aByupagamAt avyakta
   evābhiniviṣṭāḥ | sāṃkhyādayas tu vijñānakalaprāyāṃ bhūmiṃ avalambante	eva-aBinivizwAH | sAMKya-AdayaH tu vijQAna-kala-prAyAm BUmim avalambante
   sad eva idam agra āsīd iti īśvaratattvapadam āśritā apare śrutyantavida.=	sat eva idam agre AsIt iti ISvara-tattva-padam ASritAH apare Sruti-anta-vida.=
   h	h
   śabdabrahmamayaṃ paśyantīrūpaṃ ātmatattvam iti vaiyākaraṇāḥ	Sabdabrahma-mayam paSyantI-rUpam Atma-tattvam iti vEyAkaraNAH
   śrīsadāśivapadamadhyāsitāḥ |	SrI-sadASiva-padam-aDya-asitAH |
   evam anyad api anumantavyam | etac ca āgameṣu	evam anyat api anumantavyam | etat ca Agamezu
   buddhitattve sthitā bauddhā guṇeṣv evārhatāḥ sthitāḥ |	budDi-tattve sTitAH bOdDAH guNezu eva-arhatAH sTitAH |
   sthitā vedavidaḥ puṃsi avyakte pāñcarātrikāḥ ||	sTitAH veda-vidaH puMsi avyakte pAQcarAtrikAH ||
   ityādinā nirūpitam |	ityAdinA nirUpitam |
   viśvottīrṇam ātmatattvam iti tāntrikāḥ | viśvamayam iti	viSva-uttIrNam Atma-tattvam iti tAntrikAH | viSva-mayam iti
   kulādyāmnāyaniviṣṭāḥ | viśvottīrṇaṃ viśvamayaṃ ca iti	kula-AdyAmnAya-nivizwAH | viSva-uttIrNam viSva-mayam ca iti
