   śrīrastu	SrIH astu
   prāñjaliḥ praṇato bhūtvā pratyuvāca pitāmaham // BhN_1.21 //	prAQjaliH praNataH BUtvA pratyuvAca pitAmaham // Bhz _1.21 //
   grahaṇe dhāraṇe jñāne prayoge cāsya sattama /	grahaNe DAraNe jQAne prayoge ca asya sattamaH /
   aśaktā bhagavan devā ayogyā nāṭyakarmaṇi // BhN_1.22 //	aSaktAH Bagavan devAH ayogyA nAwya karmaNi // Bhz _1.22 //
   ya ime vedaguhyajñā ṛṣayaḥ saṃśitavratāḥ /	ye ime veda guhya jQAH RzayaH saMSita vratAH /
   ete 'sya grahaṇe śaktāḥ prayoge dhāraṇe tathā // BhN_1.23 //	ete asya grahaNe SaktAH prayoge DAraNe taTA // Bhz _1.23 //
   śrutvā tu śakravacanaṃ māmāhāmbujasambhavaḥ /	SrutvA tu Sakra vacanam mAm Aha ambuja samBavaH /
   tvaṃ putraśatasaṃyuktaḥ prayoktā'sya bhavānagha // BhN_1.24 //	tvam putra Sata saMyuktaH prayoktA asya Bava anaGaH // Bhz _1.24 //
   ājñāpito viditvā'haṃ nāṭyavedaṃ pitāmahāt /	AjQApitaH viditvA aham nAwya vedam pitAmahAt /
   putrānadhyāpayāmāsa prayogaṃ cāpi tattvataḥ // BhN_1.25 //	putrAn aDyApayAmAsa prayogam ca api tattvataH // Bhz _1.25 //
   śāṇḍilyaṃ caiva vātsyaṃ ca kohalaṃ dattilaṃ tathā /	SANxilyam ca eva vAtsyam ca kohalam dattilam taTA /
   jaṭilambaṣṭakau caiva taṇḍumagniśikhaṃ tathā // BhN_1.26 //	jawilambazwakO ca eva taNxum agni SiKam taTA // Bhz _1.26 //
   saindhavaṃ sapulomānaṃ śāḍvaliṃ vipulaṃ tathā /	sEnDavam sa pulomAnam SAxvalim vipulam taTA /
   kapiñjaliṃ vādiraṃ ca yamadhūmrāyaṇau tathā // BhN_1.27 //	kapiQjalim vAdiram ca yama DUmrAyaNO taTA // Bhz _1.27 //
   jambudhvajaṃ kākajaṅghaṃ svarṇakaṃ tāpasaṃ tathā /	jambuDvajam kAkajaFGam svarNakam tApasam taTA /
   kaidāriṃ śālikarṇaṃ ca dīrghagātraṃ ca śālikam // BhN_1.28 //	kEdArim SAlikarNam ca dIrGa gAtram ca SAlikam // Bhz _1.28 //
   kautsaṃ tāṇḍāyaniṃ caiva piṅgalaṃ citrakaṃ tathā /	kOtsam tANxAyanim ca eva piFgalam citrakam taTA /
   bandhulaṃ bhallakaṃ caiva muṣṭhikaṃ saindhavāyanam // BhN_1.29 //	banDulam Ballakam ca eva muzWikam sEnDava ayanam // Bhz _1.29 //
   taitilaṃ bhārgavaṃ caiva śuciṃ bahulameva ca /	tEtilam BArgavam ca eva Sucim bahulam eva ca /
   abudhaṃ budhasenaṃ ca pāṇḍukarṇaṃ sukeralam // BhN_1.30 //	abuDam buDasenam ca pANxu karNam sukeralam // Bhz _1.30 //
   ṛjukaṃ maṇḍakaṃ caiva śambaraṃ vañjulaṃ tathā /	Rjukam maNxakam ca eva Sambaram vaQjulam taTA /
   māgadhaṃ saralaṃ caiva kartāraṃ cogrameva ca // BhN_1.31 //	mAgaDam saralam ca eva kartAram ca ugram eva ca // Bhz _1.31 //
   tuṣāraṃ pārṣadaṃ caiva gautamaṃ bādarāyaṇam /	tuzAram pArzadam ca eva gOtamam bAdarAyaNam /
   viśālaṃ śabalaṃ caiva sunāmaṃ meṣameva ca // BhN_1.32 //	viSAlam Sabalam ca eva su nAmam mezam eva ca // Bhz _1.32 //
   kāliyaṃ bhramaraṃ caiva tathā pīṭhamukhaṃ munim /	kAliyam Bramaram ca eva taTA pIWa muKam munim /
   nakhakuṭṭāśmakuṭṭau ca ṣaṭpadaṃ sottamaṃ tathā // BhN_1.33 //	naKa kuwwa aSmakuwwO ca zawpadam sa uttamam taTA // Bhz _1.33 //
   pādukopānahau caiva śrutiṃ cāṣasvaraṃ tathā /	pAdukA upAnahO ca eva Srutim cAza svaram taTA /
   agnikuṇḍājyakuṇḍau ca vitaṇḍya tāṇḍyameva ca // BhN_1.34 //	agnikuNxa Ajya kuNxO ca vitaNxya tANxyam eva ca // Bhz _1.34 //
   kartarākṣaṃ hiraṇyākṣaṃ kuśalaṃ dussahaṃ tathā /	kartara akzam hiraNyAkzam kuSalam dussaham taTA /
   lājaṃ bhayānakaṃ caiva bībhatsaṃ savicakṣaṇam // BhN_1.35 //	lAjam BayAnakam ca eva bIBatsam sa vicakzaNam // Bhz _1.35 //
   puṇḍrākṣaṃ puṇḍranāsaṃ cāpyasitaṃ sitameva ca /	puNxrAkzam puNxra nAsam ca api asitam sitam eva ca /
   vidyujjihvaṃ mahājihvaṃ śālaṅkāyanameva ca // BhN_1.36 //	vidyujjihvam mahA jihvam SAlaFkAyanam eva ca // Bhz _1.36 //
   śyāmāyanaṃ māṭharaṃ ca lohitāṅgaṃ tathaiva ca /	SyAmAyanam mAWaram ca lohita aFgam taTA eva ca /
   saṃvartakaṃ pañcaśikhaṃ triśikhaṃ śikhameva ca // BhN_1.37 //	saMvartakam paQcaSiKam tri SiKam SiKam eva ca // Bhz _1.37 //
   śaṅkhavarṇamukhaṃ śaṇḍaṃ śaṅkukarṇamathāpi ca /	SaFKa varNa muKam SaNxam SaFku karNam aTa api ca /
   śakranemiṃ gabhastiṃ cāpyaṃśumāliṃ śaṭhaṃ tathā // BhN_1.38 //	Sakra nemim gaBastim ca api aMSumAlim SaWam taTA // Bhz _1.38 //
   vidyutaṃ śātajaṅghaṃ ca raudraṃ vīramathāpi ca /	vidyutam SAtajaFGam ca rOdram vIram aTa api ca /
   pitāmahājñayā'smābhirlokasya ca guṇepsayā // BhN_1.39 //	pitAmaha AjQayA asmABiH lokasya ca guNa IpsayA // Bhz _1.39 //
   prayojitaṃ putraśataṃ yathābhūmivibhāgaśaḥ /	prayojitam putra Satam yaTA BUmi viBAgaSaH /
   yo yasminkarmaṇi yathā yogyastasmin sa yojitaḥ // BhN_1.40 //	yaH yasmin karmaNi yaTA yogyaH tasmin sa yojitaH // Bhz _1.40 //
   bhāratīṃ sātvatīṃ caiva vṛīttimārabhaṭīṃ tathā /	BAratIm sAtvatIm ca eva vRIttim AraBawIm taTA /
   samāśritaḥ prayogastu prayukto vai mayā dvijāḥ // BhN_1.41 //	samASritaH prayogaH tu prayuktaH vE mayA dvijAH // Bhz _1.41 //
   parigṛhya praṇamyātha brahmā vijñāpito mayā /	parigRhya praNamya aTa brahmA vijQApitaH mayA /
   athāha māṃ suraguruḥ kaiśikimapi yojaya // BhN_1.42 //	aTa Aha mAm suraguruH kESikim api yojaya // Bhz _1.42 //
   yacca tasyāḥ kṣamaṃ dravyaṃ tad brūhi dvijasattama /	yat ca tasyAH kzamam dravyam tat brUhi dvijasattamaH /
   evaṃ tenāsmyabhihitaḥ pratyuktaśca mayā prabhuḥ // BhN_1.43 //	evam tena asmi aBihitaH pratyuktaH ca mayA praBuH // Bhz _1.43 //
   dīyatāṃ bhagavandravyaṃ kaiśikyāḥ samprayojakam /	dIyatAm Bagavan dravyam kESikyAH samprayojakam /
   nṛttāṅgahārasampannā rasabhāvakriyātmikā // BhN_1.44 //	nRtta aFga hAra sampannAH rasa BAva kriyA AtmikAH // Bhz _1.44 //
   dṛṣṭā mayā bhagavato nīlakaṇṭhasya nṛtyataḥ /	dRzwAH mayA BagavataH nIlakaNWasya nRtyataH /
   kaiśikī ṣlakṣṇanaipathyā śṛṅgārarasasambhavā // BhN_1.45 //	kESikI zlakzNa nEpaTyA SRFgAra rasa samBavAH // Bhz _1.45 //
   aśakyā puruṣaiḥ sā tu prayoktuṃ strījanādṛte /	aSakyA puruzEH sA tu prayoktum strI janAt Rte /
   tato 'sṛjanmahātejā manasā'psaraso vibhuḥ // BhN_1.46 //	tatas asRjat mahA tejAH manasA apsarasaH viBuH // Bhz _1.46 //
   nāṭyālaṅkāracaturāḥ prādānmahyaṃ prayogataḥ /	nAwya alaFkAra caturAH prAdAt mahyam prayogataH /
   mañjukeśīṃ sukeśīṃ ca miśrakeśīṃ sulocanām // BhN_1.47 //	maQjukeSIm sukeSIm ca miSrakeSIm su locanAm // Bhz _1.47 //
   saudāminīṃ devadattāṃ devasenāṃ manoramām /	sOdAminIm deva dattAm deva senAm manoramAm /
   sudatīṃ sundarīṃ caiva vidagdhāṃ vipulāṃ tathā // BhN_1.48 //	sudatIm sundarIm ca eva vidagDAm vipulAm taTA // Bhz _1.48 //
   sumālāṃ santatiṃ caiva sunandāṃ sumukhīṃ tathā /	sumAlAm santatim ca eva sunandAm su muKIm taTA /
   māgadhīmarjunīṃ caiva saralāṃ keralāṃ dhṛtim // BhN_1.49 //	mAgaDIm arjunIm ca eva saralAm keralAm DRtim // Bhz _1.49 //
   nandāṃ sapuṣkalāṃ caiva kalamāṃ caiva me dadau /	nandAm sa puzkalAm ca eva kalamAm ca eva me dadO /
   svātirbhāṇḍaniyuktastu saha śiṣyaiḥ svayambhuvā // BhN_1.50 //	svAtiH BANxa niyuktaH tu saha SizyEH svayamBuvAH // Bhz _1.50 //
   nāradādyāśca gandharvā gānayoge niyojitāḥ /	nArada AdyAH ca ganDarvAH gAna yoge niyojitAH /
   evaṃ nāṭyamidaṃ samyagbuddhvā sarvaiḥ sutaiḥ saha // BhN_1.51 //	evam nAwyam idam samyak budDvA sarvEH sutEH saha // Bhz _1.51 //
   svātināradasaṃyukto vedavedāṅgakāraṇam /	sva ati nArada saMyuktaH veda vedAFga kAraNam /
   upasthito 'haṃ brahmāṇaṃ prayogārthaṃ kṛtāñjaliḥ // BhN_1.52 //	upasTitaH aham brahmANam prayoga arTam kRtAQjaliH // Bhz _1.52 //
   nāṭyasya grahaṇaṃ prāptaṃ brūhi kiṃ karavāṇyaham /	nAwyasya grahaNam prAptam brUhi kim karavANi aham /
   etattu vacanaṃ śrutvā pratyuvāca pitāmahaḥ // BhN_1.53 //	etat tu vacanam SrutvA pratyuvAca pitAmahaH // Bhz _1.53 //
   mahānayaṃ prayogasya samayaḥ pratyupasthitaḥ /	mahAn ayam prayogasya samayaH pratyupasTitaH /
   ayaṃ dhvajamahaḥ śrīmān mahendrasya pravartate // BhN_1.54 //	ayam Dvaja m ahar SrImAn mahA indrasya pravartate // Bhz _1.54 //
   atredānīmayaṃ vedo nāṭyasaṃjñaḥ prayujyatām /	atra idAnIm ayam vedaH nAwya saMjQaH prayujyatAm /
   tatastasmindhvajamahe nihatāsuradānave // BhN_1.55 //	tatas tasmin Dvaja mahe nihata asura dAnave // Bhz _1.55 //
   prahṛṣṭāmarasaṃkīrṇe mahendravijayotsave /	prahRzwa amara saMkIrNe mahA indra vijaya utsave /
   pūrvaṃ kṛtā mayā nāndī hyāśīrvacasaṃyutā // BhN_1.56 //	pUrvam kRtA mayA nAndI hi ASIrvaca saMyutAH // Bhz _1.56 //
   aṣṭāṅgapadasaṃyuktā vicitrā vedanirmitā /	azwAFga pada saMyuktA vicitrA veda nirmitA /
   tadante 'nukṛtirbaddhā yathā daityāḥ surairjitāḥ // BhN_1.57 //	tad ante anukRtiH badDAH yaTA dEtyAH surEH jitAH // Bhz _1.57 //
   sampheṭavidravakṛtā cchedyabhedyāhavālmikā /	samPewa vidrava kRtA cCedya Bedya aha vAlmikA /
   tato brahmādayo devāḥ prayogaparitoṣitāḥ // BhN_1.58 //	tatas brahma AdayaH devAH prayoga paritozitAH // Bhz _1.58 //
   pradadurmatsutebhyastu sarvopakaraṇāni vai /	pradaduH mad suteByaH tu sarva upakaraNAni vE /
   prītastu prathamaṃ śakro dattavānsvaṃ dhvajaṃ śubham // BhN_1.59 //	prItaH tu praTamam SakraH dattavAn svam Dvajam SuBam // Bhz _1.59 //
   brahmā kuṭilakaṃ caiva bhṛṅgāraṃ varuṇaḥ śubham /	brahmA kuwilakam ca eva BRFgAram varuNaH SuBam /
   sūryaśchatraṃ śivassiddhiṃ vāyurvyajanameva ca // BhN_1.60 //	sUryaH Catram Siva ssidDim vAyuH vyajanam eva ca // Bhz _1.60 //
   viṣṇuḥ siṃhāsanaṃ caiva kubero mukuṭaṃ tathā /	vizNuH siMhAsanam ca eva kuberaH mukuwam taTA /
   śrāvyatvaṃ prekṣaṇīyasya dadau devī sarasvatī // BhN_1.61 //	SrAvya tvam prekzaNIyasya dadO devI sarasvatI // Bhz _1.61 //
   śeṣā ye devagandharvā yakṣarākṣasapannagāḥ /	SezAH ye deva ganDarvAH yakza rAkzasa pannagAH /
   tasminsadasyabhipretānnānājātiguṇāśrayān // BhN_1.62 //	tasmin sadasi aBipretAn nAnA jAti guNa ASrayAn // Bhz _1.62 //
   aṃśāṃśairbhāṣitaṃ bhāvān rasān rūpaṃ balaṃ tathā /	aMSa aMSEH BAzitam BAvAn rasAn rUpam balam taTA /
   dattavantaḥ prahṛṣṭāste matsutebhyo divaukasaḥ // BhN_1.63 //	dattavantaH prahRzwAH te mad suteByaH divOkasaH // Bhz _1.63 //
   evaṃ prayoge prārabdhe daityadānavanāśane /	evam prayoge prArabDe dEtya dAnava nASane /
   abhavankṣubhitāḥ sarve daityā ye tatra saṅgatāḥ // BhN_1.64 //	aBavan kzuBitAH sarve dEtyAH ye tatra saFgatAH // Bhz _1.64 //
   virūpākṣa purogāṃśca vighnānprotsāhya te 'bruvan /	virUpAkza purogAn= ca viGnAn protsAhya te abruvan /
   na kṣamiṣyāmahe nāṭyametadāgamyatāmiti // BhN_1.65 //	na kzamizyAmahe nAwyam etat AgamyatAm iti // Bhz _1.65 //
   tatastairasuraiḥ sārdhaṃ vighnā māyāmupāśritāḥ /	tatas tEH asurEH sArDam viGnAH mAyAm upASritAH /
   vācaśceṣṭāṃ smṛtiṃ caiva stambhayanti sma nṛtyatām // BhN_1.66 //	vAcaH cezwAm smRtim ca eva stamBayanti sma nRtyatAm // Bhz _1.66 //
   tathā vidhvaṃsanaṃ dṛṣṭvā sūtradhārasya devarāṭ /	taTA viDvaMsanam dRzwvA sUtraDArasya devarAj /
   kasmātprayogavaiṣamyamityuktvā dhyānamāviśat // BhN_1.67 //	kasmAt prayoga vEzamyam iti uktvA DyAnam AviSat // Bhz _1.67 //
   athāpaśyatsado vighnaiḥ samantādparivāritam /	aTa apaSyat sadaH viGnEH samantAt parivAritam /
   sahetaraiḥ sūtradhāraṃ naṣṭasaṃjñaṃ jaḍīkṛtam // BhN_1.68 //	saha itarEH sUtra DAram nazwa saMjQam jaxIkRtam // Bhz _1.68 //
   utthāya tvaritaṃ śakraṃ gṛhītvā dhvajamuttamam /	utTAya tvaritam Sakram gRhItvA Dvajam uttamam /
   sarvaratnojjvalatanuḥ kiñcidudvṛta locanaḥ // BhN_1.69 //	sarva ratna ujjvala tanuH kiQcid udvRta locanaH // Bhz _1.69 //
   raṅgapīṭhagatānvighnānasurāṃścaiva devarāṭ /	raFga pIWa gatAn viGnAn asurAn= ca eva devarAj /
   jarjarīkṛtadehāṃstānakarojjarjareṇa saḥ // BhN_1.70 //	jarjarIkRta dehAn= tAn akarot jarjareNa saH // Bhz _1.70 //
   nihateṣu ca sarveṣua vighneṣu saha dānavaiḥ /	nihatezu ca sarvezua viGnezu saha dAnavEH /
   saṃprahṛṣya tato vākyamāhuḥ sarve divaukasaḥ // BhN_1.71 //	saMprahRzya tatas vAkyam AhuH sarve divOkasaH // Bhz _1.71 //
   aho praharaṇaṃ divyamidamāsāditaṃ tvayā /	aho praharaNam divyam idam AsAditam tvayA /
   jarjarīkṛtasarvāṅgā yenaite dānavāḥ kṛtāḥ // BhN_1.72 //	jarjarIkRta sarva aFgAH yena ete dAnavAH kRtAH // Bhz _1.72 //
   yasmādanena te vighnāḥ sāsurā jarjarīkṛtāḥ /	yasmAt anena te viGnAH sa asurAH jarjarIkRtAH /
   tasmājjarjara eveti nāmato 'yaṃ bhaviṣyati // BhN_1.73 //	tasmAt jarjaraH eva iti nAmataH ayam Bavizyati // Bhz _1.73 //
   śeṣā ye caiva hiṃsārthamupayāsyanti hiṃsakāḥ /	SezAH ye ca eva hiMsA arTam upayAsyanti hiMsakAH /
   dṛṣṭvaiva jarjaraṃ te 'pi gamiṣyantyevameva tu // BhN_1.74 //	dRzwvA eva jarjaram te api gamizyanti evam eva tu // Bhz _1.74 //
   evamevāstviti tataḥ śakraḥ provāca tānsurān /	evam eva astu iti tatas SakraH provAca tAn surAn /
   rakṣābhūtaśca sarveṣāṃ bhaviṣyatyeṣa jarjaraḥ // BhN_1.75 //	rakzA BUtaH ca sarvezAm Bavizyati eza jarjaraH // Bhz _1.75 //
   prayoge prastute hyevaṃ sphīte śakramahe punaḥ /	prayoge prastute hi evam sPIte Sakra mahe punar /
   trāsaṃ sañjanayanti sma vighnāḥ śeṣāstu nṛtyatām // BhN_1.76 //	trAsam san janayanti sma viGnAH SezAH tu nRtyatAm // Bhz _1.76 //
   dṛṣṭvā teṣāṃ vyavasitaṃ daityānāṃ viprakārajam /	dRzwvA tezAm vyavasitam dEtyAnAm viprakAra jam /
   upasthito 'haṃ brahmāṇaṃ sutaiḥ sarvaiḥ samanvitaḥ // BhN_1.77 //	upasTitaH aham brahmANam sutEH sarvEH samanvitaH // Bhz _1.77 //
   niścitā bhagavanvighnā nāṭyasyāsya vināśane /	niScitA Bagavan viGnAH nAwyasya asya vinASane /
   asya rakṣāvidhiṃ samyagājñāpaya sureśvara // BhN_1.78 //	asya rakzA viDim samyak AjQApaya sureSvara // Bhz _1.78 //
   tataśca viśvakarmāṇaṃ brahmovāca prayatnataḥ /	tatas ca viSvakarmANam brahmA uvAca prayatnataH /
   kuru lakṣaṇasaṃpannaṃ nāṭyaveśma mahāmate // BhN_1.79 //	kuru lakzaNa saMpannam nAwya veSma mahAmate // Bhz _1.79 //
   tato 'cireṇa kālena viśvakarmā mahacchubham /	tatas acireNa kAlena viSvakarmA mahat SuBam /
   sarvalakṣaṇasampannaṃ kṛtvā nāṭyagṛhaṃ tu saḥ // BhN_1.80 //	sarva lakzaNa sampannam kRtvA nAwya gRham tu saH // Bhz _1.80 //
   proktavāndruhiṇaṃ gatvā sabhāyāntu kṛtāñjalīḥ /	proktavAn druhiNam gatvA saBA AyAntu kRtAQjalIH /
   sajjaṃ nāṭyagṛhaṃ deva tadevekṣitumarhasi // BhN_1.81 //	sajjam nAwya gRham deva tat eva Ikzitum arhasi // Bhz _1.81 //
   tataḥ saha mahendreṇa suraiḥ sarvaiśca setaraiḥ /	tatas saha mahA indreNa surEH sarvEH ca sa itarEH /
   āgatastvarito dṛṣṭuṃ druhiṇo nāṭyamaṇḍapam // BhN_1.82 //	AgataH tvaritaH dRzwum druhiNaH nAwya maNxapam // Bhz _1.82 //
   dṛṣṭvā nāṭyagṛhaṃ brahmā prāha sarvānsurāṃstataḥ /	dRzwvA nAwya gRham brahmA prAha sarvAn surAn= tatas /
   aṃśabhāgairbhavadbhistu rakṣyo 'yaṃ nāṭyamaṇḍapaḥ // BhN_1.83 //	aMSa BAgEH BavadBiH tu rakzyaH ayam nAwya maNxapaH // Bhz _1.83 //
   rakṣaṇe maṇḍapasyātha viniyuktastu candramāḥ /	rakzaNe maNxapasya aTa viniyuktaH tu candramAH /
   lokapālāstathā dikṣu vidikṣvapi ca mārutāḥ // BhN_1.84 //	lokapAlAH taTA dikzu vidikzu api ca mArutAH // Bhz _1.84 //
   nepathyabhūmau mitrastu nikṣipto varuṇo 'mbare /	nepaTya BUmO mitraH tu nikziptaH varuNaH ambare /
   vedikārakṣaṇe vahnirbhāṇḍe sarvadivaukasaḥ // BhN_1.85 //	vedikA rakzaNe vahniH BANxe sarva divOkasaH // Bhz _1.85 //
   varṇāścatvāra evātha stambheṣu viniyojitāḥ /	varNAH catvAraH eva aTa stamBezu viniyojitAH /
   ādityāścaiva rudrāśca sthitāḥ stambhāntareśvatha // BhN_1.86 //	AdityAH ca eva rudrAH ca sTitAH stamBa antareSu aTa // Bhz _1.86 //
   dhāraṇīśvatha bhūtāni śālāsvapsarastathā /	DAraNISvaTa BUtAni SAlAsu apsaraH taTA /
   sarvaveśmasu yakṣiṇyo mahīpṛṣṭhe mahodadhiḥ // BhN_1.87 //	sarva veSmasu yakziNyaH mahI pRzWe mahA udaDiH // Bhz _1.87 //
   dvāraśālāniyuktau tu krutāntaḥ kāla eva ca /	dvAra SAlA niyuktO tu kruta antaH kAlaH eva ca /
   sthāpitau dvārapatreṣu nāgamukhyau mahābalau // BhN_1.88 //	sTApitO dvAra patrezu nAga muKyO mahA balO // Bhz _1.88 //
   dehalyāṃ yamadaṇḍastu śūlaṃ tasyopari sthitam /	dehalyAm yama daNxaH tu SUlam tasya upari sTitam /
   dvārapālau sthitau caubhau niyatirmṛtyureva ca // BhN_1.89 //	dvArapAlO sTitO ca OBO niyatiH mRtyuH eva ca // Bhz _1.89 //
   pārśve ca raṅgapīṭhasya mahendraḥ sthitavānsvayam /	pArSve ca raFgapIWasya mahA indraH sTitavAn svayam /
   sthāpitā mattavāraṇyāṃ vidyuddaityaniṣūdanī // BhN_1.90 //	sTApitA matta vAraNyAm vidyut dEtya nizUdanI // Bhz _1.90 //
   stambheṣu mattavāraṇyāḥ sthāpitā paripālane /	stamBezu matta vAraNyAH sTApitA paripAlane /
   bhūtayakṣapiśāśca guhyakāśca mahābalāḥ // BhN_1.91 //	BUta yakza piSAH ca guhyakAH ca mahA balAH // Bhz _1.91 //
