   # atha dvitīyo 'dhyāyaḥ /.#	# aTa dvitIyaH aDyAyaH /.#
   caturthapāde liṅgaśarīraśrutīnāmavirodha ityarthaḥ /	caturTa pAde liFga SarIra SrutInAm aviroDaH iti arTaH /
   ayamevārthaḥ /	ayam eva arTaH /
   sukhabodhārthaṃ ślokena saṃgṛhītaḥ 'dvitīye smṛtitarkābhyāmavirodho	suKa boDa arTam Slokena saMgRhItaH  advitIye smRti tarkAByAm aviroDaH 
   'nyaduṣṭatā /	anyaduzwa tA /
   bhūtabhoktṛśruterliṅgaśruterapyaviruddhatā //	BUta BoktR SruteH liFga SruteH api avirudDa tA //
   'iti /	aiti /
   tatrājñāte viṣaye	tatra ajQAte vizaye
   virodhaśaṅkāsamādhyayogātsamanvayādhyāyānantaryamavirodhādhyāyasya yuktam	viroDa SaFkA samADya yogAt samanvayADyAya anantaryam aviroDa aDyAyasya yuktam
   tatra prathamādhikaraṇatātparyamāha # prathamamiti /.#	tatra praTama aDikaraNa tAtparyam Aha # praTamam iti /.#
   śraute samanvaye virodhanirāsārthatvādasya pādasya	SrOte samanvaye viroDa nirAsa arTa tvAt asya pAdasya
   śrutiśāstrādhyāyasaṃgatayaḥ	Sruti SAstra aDyAya saMgatayaH
   svamatasthāpanātmakatvātsarveṣāmadhikaraṇānāmetatpādasaṃgatiḥ /	sva matasTApana Atmaka tvAt sarvezAm aDikaraNAnAm etat pAda saMgatiH /
   atra pūrvapakṣe smṛtivirodhāduktasamanvayāsiddhiḥ phalaṃ, siddhānte	atra pUrva pakze smRti viroDAt ukta samanvaya asidDiH PalaM, sidDAnte
   tatsiddhiriti vivekaḥ /	tad sidDiH iti vivekaH /
   tatra brahmaṇyuktavedāntasamanvayo viṣayaḥ /	tatra brahmaNi ukta vedAnta samanvayaH vizayaH /
   sa kiṃ sāṃkhyasmṛtyā virudhyate na veti smṛtiprāmāṇyāprāmāṇyābhyāṃ saṃdehe	sa kim sAMKya smRtyA viruDyate na vA iti smRti prAmANya aprAmANyAByAm saMdehe
   pūrvapakṣamāha # yaduktamiti /.#	pUrva pakzam Aha # yat uktam iti /.#
   tantryante vyutpādyante tattvānyaneneti tantraṃ śāstraṃ kapiloktam,	tantrI ante vyutpAdyante tattvAni anena iti tantram SAstram kapila uktam,
   anyāśca pañcaśikhādibhiḥ proktāḥ, evaṃ sati	anyAH ca paQcaSiKa AdiBiH proktAH, evam sati
   vedāntānāmadvayabrahmasamanvaye nirarthakāḥ syurityarthaḥ /	vedAntAnAm advaya brahma samanvaye nirarTakAH syuH iti arTaH /
   tāsāmapi brahmārthakakatvamastītyavirodha ityata āha # tāsu hīti /.#	tAsAm api brahmArTakaka tvam asti iti aviroDaH iti atas Aha # tAsu hi iti /.#
   nanu sāṃkhyasmṛtiprāmāṇyāya pradhānavādagrahe manvādismṛtīnāmaprāmāṇyaṃ	nanu sAMKya smRti prAmANyAya praDAna vAda grahe manu Adi smRtInAm aprAmANyam
   syādityāśaṅkya tāsāṃ dharme sāvakāśatvātpramāṇyaṃ syādityāha # manvādīti	syAt iti ASaFkya tAsAm Darme sa avakASa tvAt pramANyam syAt iti Aha # manu Adi iti
   tarhi sāṃkhyādismṛtīnāmapi dharme tātparyeṇa prāmāṇyamastu, tattvaṃ tu	tarhi sAMKya Adi smRtInAm api Darme tAtparyeNa prAmANyam astu, tattvam tu
   brahmaivetyavirodha ityata āha # naivamiti /.#	brahmA eva iti aviroDaH iti atas Aha # na evam iti /.#
   tattve vikalpanānupapatterniravakāśasmṛtyanusāreṇa śrutivyākhyānamucitaṃ,	tattve vikalpana anupapatteH niravakASa smRti anusAreNa Sruti vyAKyAnam ucitaM,
   sāvakāśaniravakāśayorniravakāśaṃ balīya iti nyāyādityāha # tasmāditi /.#	sAvakASa niravakASayoH niravakASam balIyaH iti nyAyAt iti Aha # tasmAt iti /.#
   śrutivirodhe smṛtyaprāmāṇyasyeṣṭatvātpūrvapakṣo na yukta iti śaṅkate #	Sruti viroDe smRtya prAmANyasya izwa tvAt pUrva pakzaH na yuktaH iti SaFkate #
   kathamiti /.#	kaTam iti /.#
   ye svātantryeṇa śrutyarthaṃ jñātuṃ śaknuvanti teṣāmayaṃ pūrvapakṣo na	ye svAtantryeNa Sruti arTam jQAtum Saknuvanti tezAm ayam pUrva pakzaH na
   bhavet, sāṃkhyavṛddheṣu śraddhālūnāṃ tu bhavedityāha # bhavediti /.#	Bavet, sAMKya vRdDezu SradDAlUnAm tu Bavet iti Aha # Bavet iti /.#
   teṣāmatīndriyārthajñānavattvācca tatra śraddhā syādityāha #	tezAm atIndriya arTa jQAna vat tvAt ca tatra SradDA syAt iti Aha #
   kapilaprabhṛtīnāṃ ceti /.#	kapila praBRtInAm ca iti /.#
   'ādau yo jāyamānaṃ ca kapilaṃ janayedṛṣim /	aAdO yaH jAyamAnam ca kapilam janayet Rzim /
   prasūtaṃ bibhṛyājjñānaistaṃ paśyetparameśvaram //	prasUtam biBRyAt jQAnEH tam paSyet parameSvaram //
   'iti śrutiyojanā /	aiti Sruti yojanA /
   yathā sāṃkhyasmṛtivirodhādbrahmavādastyājya iti tvayocyate tathā	yaTA sAMKya smRti viroDAt brahma vAdaH tyAjyaH iti tvayA ucyate taTA
   smṛtyantaravirodhātpradhānavādāstyājya iti mayocyata iti siddhāntayati #	smRti antara viroDAt praDAna vAdAH tyAjyaH iti mayA ucyate iti sidDAntayati #
   tasya samādhiriti /.#	tasya samADiH iti /.#
   tasmādbrahmaṇaḥ sakāśādavyaktaṃ māyāyāṃ līnam /	tasmAt brahmaNaH sakASAt avyaktam mAyAyAm lInam /
   sūkṣmātmakaṃ jagaditi yāvat /	sUkzma Atmakam jagat iti yAvat /
   itihāsavākyānyuktvā purāṇasaṃmatimāha # ataśceti /.#	itihAsa vAkyAni uktvA purANa saMmatim Aha # atas ca iti /.#
   prabhavatyasmāditi prabhavo janmahetuḥ /	praBavati asmAt iti praBavaH janma hetuH /
   pralīyate tasminniti pralayo layādhiṣṭhānam /	pralIyate tasmin= iti pralayaH laya aDizWAnam /
   tasmāt karturīśvarāt kāyā brahmādayaḥ prabhavanti /	tasmAt kartuH ISvarAt kAyAH brahma AdayaH praBavanti /
   sa eva mūlamupādānam /	saH eva mUlam upAdAnam /
   kiṃ pariṇāmi, na, śāśvatikaḥ kūṭasthaḥ /	kim pariNAmi, na, SASvatikaH kUwasTaH /
   ataḥ sa nitya ityarthaḥ /	atas sa nityaH iti arTaH /
   nanu śrutivirodhaḥ kimiti nokta ityata āha # smṛtibaleneti /.#	nanu Sruti viroDaH kim iti na uktaH iti atas Aha # smRti balena iti /.#
   smṛtīnāṃ mitho virodhe kathaṃ tattvanirṇayaḥ, tatrāha # darśitaṃ tviti /.#	smRtInAm miTas viroDe kaTam tattva nirNayaH, tatra Aha # darSitam tu iti /.#
   śrutibhireva tattvanirṇaya ityarthaḥ /	SrutiBiH eva tattva nirNayaH iti arTaH /
   smṛtīnāṃ kā gatirityata āha # vipratipattau ceti /.#	smRtInAm kA gatiH iti atas Aha # vipratipattO ca iti /.#
   vastutattve smṛtīnāṃ mitho virodhe vastuni vikalpāyogāt kḷptaśrutimūlāḥ	vastu tattve smRtInAm miTas viroDe vastuni vikalpa ayogAt k?pta Sruti mUlAH
   smṛtayaḥ pramāṇaṃ, itarāstu kalpyaśrutimūlā na pramāṇamityarthaḥ /	smRtayaH pramANan, itarAH tu kalpya Sruti mUlA na pramANam iti arTaH /
   kḷptaśrutivirodhe smṛtirna pramāṇamityatraḥ jaiminīyanyāyamāha #	k?pta Sruti viroDe smRtiH na pramANam iti atraH jEminIya nyAyam Aha #
   taduktamiti /.#	tat uktam iti /.#
   'audumbarīṃ spṛṣṭvodgāyet'iti pratyakṣaśrutiviruddhā 'sā sarvā	aOdumbarIm spRzwvA udgAyet aiti pratyakza Sruti virudDA asA sarvA
   veṣṭayitavyā'iti smṛtirmānaṃ na veti saṃdehe, mūlaśrutyanumānānmānamiti	vezwayitavyA aiti smRtiH mAnam na vA iti saMdehe, mUla Sruti anumAnAt mAnam iti
   prāpte siddhāntaḥ kḷptaśrutivirodhe smṛtiprāmāṇyamanapekṣamapekṣāśūnyam /	prApte sidDAntaH  k?pta Sruti viroDe smRti prAmANyam anapekzam apekzA SUnyam /
   heyamiti yāvat /	heyam iti yAvat /
   hi yato 'sati virodhe śrutyanumānaṃ bhavati, atra tu virodhe sati	hi yatas asati viroDe Sruti anumAnam Bavati, atra tu viroDe sati
   śrutyanumānāyogānmūlābhāvāt sarvaveṣṭanasmṛtirapramāṇamityarthaḥ /	Sruti anumAna ayogAt mUla aBAvAt sarva vezwana smRtiH apramANam iti arTaH /
   astu sāṃkhyasmṛtiḥ pratyakṣamūletyata āha # na ceti /.#	astu sAMKya smRtiH pratyakza mUla iti atas Aha # na ca iti /.#
   yogināṃ siddhimahimnātīndriyajñānaṃ saṃbhāvayituṃ śakyamiti śaṅkyate #	yoginAm sidDi mahimnA ati indriya jQAnam saMBAvayitum Sakyam iti SaFkyate #
   śakyamiti /.#	Sakyam iti /.#
   kapilādibhiḥ kilādau vedaprāmāṇyaṃ niścitya tadarthasya	kapila AdiBiH kila AdO veda prAmANyam niScitya tad arTasya
   dharmasyānuṣṭhānena siddhiḥ saṃpāditā, tayā siddhyā	Darmasya anuzWAnena sidDiH saMpAditA, tayA sidDyA
   praṇītasmṛtyanusāreṇānādiśrutipīḍā na yuktopajīvyavirodhāditi pariharati #	praNIta smRti anusAreNa anAdi Sruti pIxA na yukta upajIvya viroDAt iti pariharati  #
   na /	na /
   siddherapīti /	sidDeH api iti /
   atiśaṅkitumiti /.#	atiSaFkitum iti /.#
   śrutīnāṃ mukhyārthamatikramyopacaritārthatvaṃ śaṅkituṃ na śakyata	SrutInAm muKya arTam atikramya upacarita arTa tvam SaFkitum na Sakyata
   ityarthaḥ /	iti arTaH /
   svataḥsiddhervedo nopajīvya iticet na /	svatas sidDeH vedaH na upajIvyaH iti ced na /
   anīśvarasya svataḥsiddhau mānābhāvāt /	anISvarasya svatas sidDO mAna aBAvAt /
   aṅgīkṛtyāpyāha # siddheti /.#	aFgIkRtya api Aha # sidDA iti /.#
   siddhānāṃ vacanamāśritya vedārthakalpanāyāmapi siddhoktīnāṃ mitho virodhe	sidDAnAm vacanam ASritya veda arTa kalpanAyAm api sidDa uktInAm miTas viroDe
   śrutyāśritamanvādyuktibhireva vedārthanirṇayo yukta ityarthaḥ /	Sruti ASritam anvAdi uktiBiH eva veda arTa nirNayaH yuktaH iti arTaH /
   śrutirūpāśrayaṃ vinā siddhoktimātraṃ na tattvanirṇayakāraṇamityakṣarārthaḥ	Sruti rUpa ASrayam vinA sidDa ukti mAtram na tattva nirNaya kAraNam iti akzara arTaH
   nanu mandamateḥ sāṃkhyasmṛtau śraddhā bhavati tasya matirvedāntamārge	nanu manda mateH sAMKya smRtO SradDA Bavati tasya matiH vedAnta mArge
   kathamāneyetyata āha # paratantretyādinā /.#	kaTam Aneya iti atas Aha # paratantra ityAdinA /.#
   nanu śrutyā kapilasya sarvajñatvoktestanmate śraddhā durvāretyata āha # yā	nanu SrutyA kapilasya sarvajQa tva ukteH tad mate SradDA durvAra iti atas Aha # yA
   tviti /.#	tu iti /.#
   kapilaśabdamātreṇa sāṃkhyakartā śrauta iti bhrāntirayuktā, tasya	kapila Sabda mAtreNa sAMKya kartA SrOtaH iti BrAntiH ayuktA, tasya
   dvaitavādinaḥ sarvajñatvāyogāt /	dvEta vAdinaH sarvajQa tva ayogAt /
   atra ca sarvajñānasaṃbhṛtatvena śrutaḥ kapilo vāsudevāṃśa eva /	atra ca sarva jQAna saMBRta tvena SrutaH kapilaH vAsudeva aMSaH eva /
   sa hi sarvātmatvajñānaṃ vaidikaṃ sāṃkhyamupadiśatīti sarvajña iti bhāvaḥ /	sa hi sarva Atma tva jQAnam vEdikam sAMKyam upadiSati iti sarvajQaH iti BAvaH /
   prataptuḥ pradāhakasya /	prataptuH pradAhakasya /
   kiñca yaḥ kapilaṃ jñānairbibharti tamīśvaraṃ paśyediti vidhīyate, tathā	kiQca yaH kapilam jQAnEH biBarti tam ISvaram paSyet iti viDIyate, taTA
   cānyārthasya īśvarapratipattiśeṣasya kapilasarvajñatvasya	ca anya arTasya ISvara pratipatti Sezasya kapila sarvajQa tvasya
   darśanamanuvādastasya mānāntareṇa prāptiśūnyasya	darSanam anuvAdaH tasya mAna antareNa prApti SUnyasya
   svārthasādhakatvāyogānnānuvādamātrātsarvajñātvaprasiddhirityāha #	sva arTa sADaka tva ayogAt na anuvAda mAtrAt sarvajQAtva prasidDiH iti Aha #
   anyārtheti /.#	anya arTa iti /.#
   dvaitavādinaḥ kapilasya śrautatvaṃ nirasya brahmavādino manoḥ	dvEta vAdinaH kapilasya SrOta tvam nirasya brahma vAdinaH manoH
   śrautatvamāha # bhavati ceti /.#	SrOta tvam Aha # Bavati ca iti /.#
   itihāse 'pi kāpilamatanindāpūrvakamadvaitaṃ darśitamityāha # mahābhārate	itihAse api kApila mata nindA pUrvakam advEtam darSitam iti Aha # mahABArate
   'pīti /.#	api iti /.#
   puruṣā ātmānaḥ kiṃ vastuto bhinnā uta sarvadṛśyānāṃ pratyagātmaḥ eka iti	puruzAH AtmAnaH kim vastutas BinnAH uta sarva dRSyAnAm pratyagAtmaH ekaH iti
   vimarśārthaḥ /	vimarSa arTaH /
   bahūnāṃ puruṣākārāṇāṃ dehānāṃ yathaikā yonirupādānaṃ pṛthvī tathā taṃ	bahUnAm puruza AkArANAm dehAnAm yaTA ekA yoniH upAdAnam pRTvI taTA tam
   puruṣamātmānaṃ viśvaṃ sarvopādānatvena sarvātmakaṃ sarvajñātvādiguṇaiḥ	puruzam AtmAnam viSvam sarva upAdAna tvena sarva Atmakam sarva jQAtvA Adi guNEH
   saṃpannaṃ kathayiṣyāmi /	saMpannam kaTayizyAmi /
   viśve sarve lokaprasiddhā devatiryaṅmanuṣyādīnāṃ mūrdhāno 'syaiveti	viSve sarve loka prasidDAH deva tiryak manuzya AdInAm mUrDAnaH asya eva iti
   viśvamūrdhā, ekasyaiva sarvakṣetreṣu pratibimbabhāvena praviṣṭatvāt /	viSvamUrDA, ekasya eva sarva kzetrezu pratibimba BAvena pravizwa tvAt /
   evaṃ viśvayujatvādiyojanā /	evam viSvayuja tva Adi yojanA /
   sarvabhūteṣvekaścaratyavagacchati /	sarva BUtezu ekaH carati avagacCati /
   sarvatra ityarthaḥ /	sarvatra iti arTaH /
   svairacārī svatantraḥ /	svEra cArI svatantraH /
   nāsya niyantā kaścidasti /	na asya niyantA kaScid asti /
   sarveśvara ityarthaḥ /	sarveSvaraH iti arTaH /
   # yathāsukhamiti /.#	# yaTAsuKam iti /.#
   viśokānandasvarūpa iti yāvat /	viSoka Ananda svarUpaH iti yAvat /
   kāpilatantrasya vedamūlasmṛtivirodhamuktvā sākṣādvedavirodhamāha #	kApilatantrasya veda mUla smRti viroDam uktvA sAkzAt veda viroDam Aha #
   śrutiśceti /.#	SrutiH ca iti /.#
   yasmiñjñānakāle kevalaṃ svatantraprakṛtikalpanayaiva vedaviruddhaṃ na	yasmin jQAna kAle kevalam svatantra prakRti kalpanayA eva veda virudDam na
   kintvātmabhedakalpanayāpīti siddhamiti saṃbandhaḥ /	kintvA Atma Beda kalpanayA api iti sidDam iti saMbanDaH /
   smṛtivirodhe vedasyaivāprāmāṇyaṃ kiṃ na syādityata āha # vedasya hīti /.#	smRti viroDe vedasya eva aprAmANyam kim na syAt iti atas Aha # vedasya hi iti /.#
   vedasya pramāṇyaṃ svataḥsiddhamapauruṣeyatvāt /	vedasya pramANyam svatas sidDam apOruzeya tvAt /
   pauruṣeyavākyānāṃ svārthasmṛtitanmūlānubhavayoḥ kalpanayā pramāṇyaṃ	pOruzeya vAkyAnAm sva arTa smRti tad mUla anuBavayoH kalpanayA pramANyam
   jñeyamiti vyavahitaṃ parataḥprāmāṇyamiti viprakarṣaḥ /	jQeyam iti vyavahitam paratas prAmANyam iti viprakarzaH /
   śrutismṛtyorviśeṣa ityakṣarārthaḥ /	Sruti smRtyoH viSezaH iti akzara arTaH /
   samayorvirodhe hi niravakāśena sāvakāśaṃ bādhyam /	samayoH viroDe hi niravakASena sa avakASam bADyam /
   iha svataḥparataḥpramāṇyayorvaiṣamyājjhaṭiti niścitaprāmāṇyena	iha svatas parataH pramANyayoH vEzamyAt Jawiti niScita prAmANyena
   cānupasaṃjātavirodhinā vedavākyena viruddhasmṛtereva bādha iti bhāvaḥ /	ca anupasaMjAta viroDinA veda vAkyena virudDa smRteH eva bADaH iti BAvaH /
   # tasmāditi /.#	# tasmAt iti /.#
   viśeṣādityarthaḥ /	viSezAt iti arTaH /
   bhrāntimūlatvasaṃbhavāditi bhāvaḥ //1//	BrAnti mUla tva saMBavAt iti BAvaH //1//
   END BsRp_2,1.1.1	END BsRp _2,1.1.1
   START BsRp_2,1.1.2ḥ	START BsRp _2,1.1.2H
   itareṣāṃ cānupalabdheḥ | BBs_2,1.2 |	itarezAm ca anupalabDeH | BBH _2,1.2 |
   mahadahaṅkārau tāvadaprasiddhau, ahaṅkāraprakṛtikatvena	mahat ahaFkArO tAvat aprasidDO, ahaFkAra prakRtika tvena
   tanmātrāṇyapyaprasiddhāni smartuṃ na śakyanta ityāha # itareṣāṃ ceti /.#	tanmAtrANi api aprasidDAni smartum na Sakyante iti Aha # itarezAm ca iti /.#
   nanu 'mahataḥ paramavyaktam'itiśrutiprasiddhāni mahadādīnītyata āha #	nanu amahataH param avyaktam aiti Sruti prasidDAni mahat AdIni iti atas Aha #
   yadapīti /.#	yat api iti /.#
   sūtratātparyamāha # kāryeti /.#	sUtra tAtparyam Aha # kAryA iti /.#
   sāṃkhyasmṛtermahadādiṣviva pradhāne 'pi prāmāṇyaṃ neti niścīyata ityarthaḥ	sAMKya smRteH mahat Adizu iva praDAne api prAmANyam na iti niScIyate iti arTaH
   sāṃkhyasmṛterbādhe 'pi taduktayuktīnāṃ kathaṃ bādha ityata āha # tarketi	sAMKya smRteH bADe api tad ukta yuktInAm kaTam bADaH iti atas Aha # tarka iti
   END BsRp_2,1.1.2	END BsRp _2,1.1.2
   START BsRp_2,1.2.3ḥ	START BsRp _2,1.2.3H
   etena yogaḥ pratyuktaḥ | BBs_2,1.3 |	etena yogaH pratyuktaH | BBH _2,1.3 |
   brahmaṇyuktasamanvayaḥ pradhānavādiyogasmṛtyā virudhyate na veti saṃdehe	brahmaNi ukta samanvayaH praDAna vAdi yoga smRtyA viruDyate na vA iti saMdehe
   pūrvanyāyamatidiśati # etena yogaḥ pratyuktaḥ /.#	pUrva nyAyam atidiSati # etena yogaH pratyuktaH /.#
   atideśatvātpūrvavatsaṃgatyādikaṃ draṣṭavyam /	atideSa tvAt pUrvavat saMgati Adikam drazwavyam /
   pūrvatrānuktanirāsaṃ pūrvapakṣamāha # astihyatreti /.#	pUrvatra anukta nirAsam pUrva pakzam Aha # asti hi atra iti /.#
   nididhyāsanaṃ yogaḥ /	nidiDi Asanam yogaH /
   trīṇi urogrīvāśirāṃsyunnatāni yasmiñśarīre tantryunnatam	trINi uraH grIva aSirAMsi unnatAni yasmin SarIre tantrI unnatam
   trirunnatamitipāṭhaścecchāndasaḥ /	tris unnata miti pAWaH ca id CAndasaH /
   yuñjīteti śeṣaḥ /	yuQjIta iti SezaH /
   na kevalaṃ yoge vidhiḥ kintu yogasya jñāpakānyarthavādavākyānyapi	na kevalam yoge viDiH kintu yogasya jQApakAni arTa vAda vAkyAni api
   santītyāha # liṅgāni ceti /.#	santi iti Aha # liFgAni ca iti /.#
   tāṃ pūrvoktāṃ dhāraṇāṃ yogavido yogaṃ paramaṃ tapa iti manyante /	tAm pUrva uktAm DAraNAm yoga vidaH yogam paramam tapaH iti manyante /
   uktāmetāṃ brahmavidyāṃ yogividhiṃ dhyānaprakāraṃ ca mṛtyuprasādānnaciketā	uktAm etAm brahma vidyAm yogi viDim DyAna prakAram ca mRtyu prasAdAt naciketA
   labdhā brahma prāpta iti saṃbandhaḥ /	labDA brahma prAptaH iti saMbanDaH /
   yodasmṛtiḥ pradhānāditattvāṃśe 'pi pramāṇatvena svīkāryāṃ /	yoda smRtiH praDAna Adi tattva aMSe api pramANa tvena svIkAryAm /
   saṃpratipannaḥ prāmāṇikor'thaikadeśo yogarūpo yasyāstattvādityarthaḥ /	saMpratipannaH prAmANikor aTa eka deSaH yoga rUpaH yasyAH tattvAt iti arTaH /
   'aṣṭakāḥ kartavyāḥ' 'gururanugantavyaḥ'ityādismṛtīnāṃ	aazwakAH kartavyAH a aguruH anugantavyaH aityAdi smRtInAm
   vedāviruddhārthakatvānmūlaśrutyanumānena prāmāṇyamuktaṃ pramāṇalakṣaṇe /	veda avirudDa arTaka tvAt mUla Sruti anumAnena prAmANyam uktam pramANa lakzaNe /
   evaṃ yogasmṛteryoge prāmāṇyāttattvāṃśe 'pi prāmāṇyamiti pūrvapakṣamanūdya	evam yoga smRteH yoge prAmANyAt tattva aMSe api prAmANyam iti pUrva pakza m anUdya
   siddhāntayati # iyamiti /.#	sidDAntayati # iyam iti /.#
   nanu bauddhādismṛtayo 'tra kimiti na nirākṛtā ityata āha # satīṣvapīti /.#	nanu bOdDa Adi smRtayaH atra kim iti na nirAkRtAH iti atas Aha # satIzu api iti /.#
   tāsāṃ pratārakatvena prasiddhatvādaśiṣṭaiḥ	tAsAm pratAraka tvena prasidDa tvAt aSizwEH
   paśuprāyairgṛhītatvādvedabāhyatvāccātropekṣeti bhāvaḥ /	paSu prAyEH gRhIta tvAt veda bAhya tvAt ca atra upekzA iti BAvaH /
   # tatkāraṇamiti /.#	# tad kAraNam iti /.#
   teṣāṃ prakṛtānāṃ kāmānāṃ kāraṇaṃ sāṃkhyayogābhyāṃ	tezAm prakRtAnAm kAmAnAm kAraNam sAMKya yogAByAm
   vivekadhyānābhyāmabhipannaṃ pratyaktayā prāptaṃ devaṃ jñātvā	viveka DyAnAByAm aBipannam pratyaktayA prAptam devam jQAtvA
   sarvapāśairavidyādibhirmucyata ityarthaḥ /	sarva pASEH avidyA AdiBiH mucyate iti arTaH /
   samūlatve smṛtidvayasya nirāsaḥ kimiti kṛta ityata āha # nirākaraṇaṃ tviti	sa mUla tve smRti dvayasya nirAsaH kim iti kRtaH iti atas Aha # nirAkaraNam tu iti
   iti hetoḥ /	iti hetoH /
   kṛtamiti śeṣaḥ /	kRtam iti SezaH /
   # pratyāsatteriti /.#	# pratyAsatteH iti /.#
   śrutisthasāṃkhyayogaśabdayoḥ sajātīyaśrutyarthagrāhitvāditi yāvat /	Sruti sTa sAMKya yoga SabdayoH sajAtIya Sruti arTa grAhi tvAt iti yAvat /
   kiṃ sarvāṃśeṣu smṛtyaprāmāṇyaṃ, netyāha # yena tvaṃśeneti /.#	kim sarva aMSezu smRtya prAmANyan, na iti Aha # yena tu aMSena iti /.#
   brahmavādasya kaṇabhakṣādibhirvirodhamāśaṅkyātidiśati # eteneti /.#	brahma vAdasya kaNaBakza AdiBiH viroDam ASaFkya atidiSati # etena iti /.#
   śrutivirodhenetyarthaḥ /	Sruti viroDena iti arTaH /
   upakārakabādho na yukta ityāśaṅkya yoṃ'śa upakārakaḥ sa na bādhyaḥ kintu	upakAraka bADaH na yuktaH iti ASaFkya yoM aSaH upakArakaH sa na bADyaH kintu
   tattvāṃśa ityāha # tānyapīti /.#	tattva aMSaH iti Aha # tAni api iti /.#
   tarko 'numānaṃ,	tarkaH anumAnaM,
   tadanugrāhiko yuktirupapattiḥ //3//	tad anugrAhikaH yuktiH upapattiH //3//
   END BsRp_2,1.2.3	END BsRp _2,1.2.3
   START BsRp_2,1.3.4ḥ	START BsRp _2,1.3.4H
   na vilakṣaṇatvād asya tathātvaṃ ca śabdāt | BBs_2,1.4 |	na vilakzaNa tvAt asya taTAtvam ca SabdAt | BBH _2,1.4 |
