   tattvamīmāṃsā /	tattva-mImAMsA /
   pareṇa nākaṃ nihitaṃ guhāyāṃ vibhrājate yadyatayo viśanti //	pareNa nAkam nihitam guhAyAm viBrAjate yat-yatayaH viSanti //
   karmaṇā jyotiṣṭomādinā prajayā putreṇa dhanena devatājñānena putreṇāyaṃ	karmaNA jyotizwoma-AdinA prajayA putreNa Danena devatA-jQAnena putreNa-ayam
   loko jeyo vidyayā devalokaḥ karmaṇā pitṛloka iti śrutyantarāt ebhiḥ	lokaH jeyaH vidyayA deva-lokaH karmaNA pitR-lokaH iti Sruti-antarAt eBiH
   pitrādilokasyaiva prāptirnāmṛtatvasyeti bhāvaha / tarhi	pitR-Adi-lokasya-eva prAptiH-na-amRta-tvasya-iti BAvaha / tarhi
   kathamamṛtatvamityata āha tyāgeneti /	kaTam-amRta-tvam-iti-atas Aha tyAgena-iti /
   sarvakarmasaṃnyāsasādhyajñānenetyarthaḥ / tadamṛtatvaṃ svarga eva	sarva-karma-saMnyAsa-sADya-jQAnena-iti-arTaH / tat-amRta-tvam svargaH eva
   cettattrāha pareṇa nākamiti / tarhi dūrasthatvānna prāpyamiti cettatrāha	ced-tat-trAha pareNa nAkam-iti / tarhi dUra-sTa-tvAt-na prApyam-iti ced-tatra-Aha
   nihitaṃ guhāyāmiti / taccāsannatvātpṛthak janairapi labhyamiti cettatrāha	nihitam guhAyAm-iti / tat-ca-Asanna-tvAt-pRTak janEH-api laByam-iti ced-tatra-Aha
   yadyataya iti / adūrabhūtamapyavivekināṃ dūrabhūtameva / tathā	yat-yatayaH iti / adUra-BUtam-api-avivekinAm dUra-BUtam-eva / taTA
   śrutyantaram /	Sruti-antaram /
   karmaṇā mṛtyumṛṣayo niṣeduḥ prajāvanto dvaviṇamīhamānāḥ /	karmaNA mRtyum-RzayaH nizeduH prajAvantaH dvaviNam-IhamAnAH /
   tathā 'pare ṛṣayo ye manīṣiṇaḥ paraṃ karmabhyo 'mṛtatvamānaśuriti //	taTA apare RzayaH ye manIziNaH param karmaByaH amRta-tva-mAnaSuH-iti //
   apāma somamamṛtā abhūmetyamṛtatvābhidhānaṃ tu cirasthityabhiprāyam /	apAma somam-amRtA aBUma-iti-amRta-tva-aBiDAnam tu cira-sTiti-aBiprAyam /
   yadāhuḥ ābhūtasamplavaṃ sthānamamṛtatvaṃ hi bhāṣyate iti /	yat-AhuH ABUtasamplavam sTAnam-amRta-tvam hi BAzyate iti /
   tadetatsarvamabhipretyoktaṃ śāstrakṛdbhiḥ tadbiparītaḥ śreyān	tat-etat-sarvam-aBipretya-uktam SAstra-kRdBiH tad-biparItaH SreyAn
   vyaktāvyaktajñavijñānāt / asyārthaḥ / tasmātsomapānāderaviśuddhādanityāt	vyakta-avyakta-jQa-vijQAnAt / asya-arTaH / tasmAt-soma-pAna-AdeH-aviSudDAt-anityAt-
   viparīto hiṃsādyasaṅkarādviśuddha upāyaḥ śreyān / sa ca katham ? vyaktasya	viparItaH hiMsA-Adi-a-saFkarAt-viSudDaH upAyaH SreyAn / sa ca kaTam ? vyaktasya
   kāryajātasya tatkāraṇasya avyaktasya pradhānasya tābhyāṃ parasya	kArya-jAtasya tad-kAraNasya avyaktasya praDAnasya tAByAm parasya
   tasyātmanaśca vivekena jñānādbhavati iti / na ca vivekotpannaphalasyāpi	tasya-AtmanaH-ca vivekena jQAnAt-Bavati iti / na ca viveka-utpanna-Palasya-api
   kāryatvādanityatvaṃ śaṃkyam / bhāvarūpakāryasyaivānityatvāt	kArya-tvAt-anitya-tvam SaMkyam / BAva-rUpa-kAryasya-eva-anitya-tvAt
   duḥkhadhvaṃsasya tu kāryatve 'pi nityatvāt /	duHKa-DvaMsasya tu kAryatve api nitya-tvAt /
   athātra śāstre catasro vidhāḥ / prakṛtirvikṛtirubhayamanubhayañceti /	aTa-atra SAstre catasraH viDAH / prakRtiH-vikRtiH-uBayam-anuBayaQca-iti /
   tatra jagato mūlakāraṇabhūtaṃ pradhānaṃ na vikāraḥ kintu prakṛtireva	tatra jagataH mUla-kAraNa-BUtam praDAnam na vikAraH kintu prakRtiH-eva
   prakarotīti prakṛtiḥ sattvarajastamasāṃ sāmyāvasthā / asyāśca	prakaroti-iti prakRtiH sattva-rajaH-tamasAm sAmya-avasTA / asyAH-ca
   mūlāntaramanavasthābhayānnāstīti mūlaprakṛtirityucyate / saiva śāstrāntare	mUla-antaram-anavasTA-BayAt-na-asti-iti mUlaprakRtiH-iti-ucyate / sA-eva SAstra-antare
   avidyā māyāśabdenocyate / etadevāvyaktaṃ sattvādīnāṃ guṇānāṃ vaiṣamye sati	avidyA mAyA-Sabdena-ucyate / etat-eva-avyaktam sattva-AdInAm guNAnAm vEzamye sati
   vyaktamityucyate / yathāhi samudrajale calitācalitapradeśāḥ / evaṃ	vyaktam-iti-ucyate / yaTA-hi samudra-jale calita-acalita-pradeSAH / evam
   triguṇātmike pradhāne pariṇāmavāṃstadvidhuraśca pradeśaḥ / tatra	triguNa-Atmike praDAne pariNAmavAn=-tad-viDuraH-ca pradeSaH / tatra
   prakṛtivikāreṣu madhye ādyo vikāro mahānityucyate sa etadbuddhilakṣaṇaḥ /	prakRti-vikArezu maDye AdyaH vikAraH mahAn-iti-ucyate saH etat-budDi-lakzaNaH /
   sa āha mahānsāttviko rājasastāmasaśceti trividhaḥ / buddhestu prathamo	saH Aha mahAn-sAttvikaH rAjasaH-tAmasaH-ca-iti triviDaH / budDeH-tu praTamaH-
   vikāro 'haṅkāraḥ / ete ca mahadādayaḥ prakṛtayo vikṛtayaśca / tathāhi	vikAraH ahaFkAraH / ete ca mahat-AdayaH prakRtayaH vikRtayaH-ca / taTA-hi
   mahattattvamahaṅkārasya prakṛtirvikṛtiśca mūlaprakṛteḥ / ayaṃ hi kramaḥ	mahat-tattvam-ahaFkArasya prakRtiH-vikRtiH-ca mUlaprakRteH / ayam hi kramaH
   prakṛtermahān mahato 'haṅkāraṃ ahaṅkārātpañca tanmātrāḥ tābhyaḥ pañca	prakRteH-mahAn mahataH ahaFkAram ahaFkArAt-paQca tanmAtrAH tAByaH paQca
   bhūtāni tanmātrāṇi punaḥ kṣīradadhyorantarāle kalalapariṇāmātpariṇatāni	BUtAni tanmAtrANi punar kzIra-daDyoH-antarAle kalala-pariNAmAt-pariNatAni
   sūkṣmabhūtāni kusumasaurabhyena sūkṣmasthūlatayopalakṣyamāṇaṃ	sUkzma-BUtAni kusuma-sOraByena sUkzma-sTUla-tayA-upalakzyamANam
   guṇavaiṣamyameva tanmātraśabdena bhūtaśabdena cocyate / pañca bhūtāni	guNa-vEzamyam-eva tanmAtra-Sabdena BUta-Sabdena ca-ucyate / paQca BUtAni
   ekādaśendriyāṇi ceti eṣa ṣoḍaśako gaṇastu vikāra eva na prakṛtiḥ /	ekAdaSa-indriyANi ca-iti eza zoxaSakaH gaNaH-tu vikAraH eva na prakRtiH /
   puruṣastvātmā na prakṛtirna vikṛtiḥ / tadetadāhuḥ /	puruzaH-tu-AtmA na prakRtiH-na vikRtiH / tat-etat-AhuH /
   mūlaprakṛtiravikṛtirmahadādyāḥ prakṛtivikṛtayaḥ sapta /	mUlaprakRtiH-avikRtiH-mahat-AdyAH prakRti-vikRtayaH sapta /
   ṣoḍaśakastu vikāro na prakṛtirna vikṛtiḥ puruṣaḥ // iti /	zoxaSakaH-tu vikAraH na prakRtiH-na vikRtiH puruzaH // iti /
   atha śāstraparibhāṣā / dṛṣṭamanumānamāptavacanañceti trividhaṃ laukikaṃ	aTa SAstra-pariBAzA / dRzwam-anumAnam-Apta-vacanaQcA-iti triviDam lOkikam
   pramāṇam / ārṣaṃ tu vijñānaṃ yogināmeveti tadatra noktam / tatra	pramANam / Arzam tu vijQAnam yoginAm-eva-iti tat-atra na-uktam / tatra
   pṛthivyādayaḥ sukhādayaścāsmadādīnāṃ viṣayāḥ / tanmātralakṣaṇāstu devānāṃ	pRTivI-AdayaH suKa-AdayaH-ca-asmad-AdInAm vizayAH / tanmAtra-lakzaNAH-tu devAnAm
   yogināṃ ca viṣayā na tvasmadādīnām teṣāṃ cendriyaiḥ sambandhaḥ sannikarṣaḥ	yoginAm ca vizayAH na tu-asmad-AdInAm tezAm ca-indriyEH sambanDaH sannikarzaH
   / evañca viṣayasambaddhendriyāśrito yo buddhidharmo 'dhyavasāyaḥ sa eva	/ evaQca vizaya-sambadDa-indriya-ASritaH yaH budDi-DarmaH aDyavasAyaH saH eva
   pramāṇam / ayaṃ hi kramaḥ / viṣayasambaddhānāmindriyāṇāṃ vṛttau satyāṃ	pramANam / ayam hi kramaH / vizaya-sambadDAnAm-indriyANAm vRttO satyAm
   buddhestu tamobhibhave sati yaḥ sattvasamudrekaḥ so 'dhyavasāya iti	budDeH-tu tamaH-BiBave sati yaH sattva-samudrekaH saH aDyavasAyaH iti
   jñānamiti vṛttiścākhyāyate / tadidaṃ pratyakṣapramāṇam / asmācca	jQAnam-iti vRttiH-ca-AKyAyate / tat-idam pratyakza-pramANam / asmAt-ca
   yaścetanāśakteranugrahastatphalaṃ pramā bodhaḥ / buddhisattvaṃ hi	yaH-cetanA-SakteH-anugrahaH-tad-Palam pramA boDaH / budDi-sattvam hi
   prākṛtatvādacetanamiti tadīyo 'dhyavasāyo 'pyacetanaḥ ghaṭādivat / evaṃ hi	prAkRta-tvAt-acetanam-iti tadIyaH aDyavasAyaH api-acetanaH Gawa-Adi-vat / evam hi
   buddhisattvasya pariṇāmabhedāḥ sukhādayo 'pyacetanāḥ / puruṣastu	budDi-sattvasya pariNAma-BedAH suKa-AdayaH api-acetanAH / puruzaH-tu
   sukhādyananuṣaṅgī cetanaḥ / so 'yaṃ buddhitattvavarttinā jñānasukhādinā	suKa-Adi-ananuzaFgI cetanaH / saH ayam budDi-tattva-varttinA jQAna-suKa-AdinA
   tatpratibimbito buddhisādṛśyaprāptyā jñānasukhādimāniva bhavati	tad-pratibimbitaH budDi-sAdRSya-prAptyA jQAna-suKa-AdimAn-iva Bavati
   citisādṛśyaprāptyā ca acetanāpi buddhistadavadhyavasāyaśca cetana iva	citi-sAdRSya-prAptyA ca acetanA-api budDiH-tad-avaDyavasAyaH-ca cetanaH iva
   bhavati / cārvākāstu pratyakṣānyat na mānamiti vadanti / tanmate	Bavati / cArvAkAH-tu pratyakza-anyat na mAnam-iti vadanti / tad-mate
   saṃdigdhaviparyayastu puruṣabodhanaṃ nopapadyeta / nahi puruṣāntaragataḥ	saMdigDa-viparyayaH-tu puruza-boDanam na-upapadyeta / na-hi puruza-antara-gataH
   saṃśayaḥ anumānaṃ kathanaṃ vinā vā jñātuṃ śakyaḥ /	saMSayaH anumAnam kaTanam vinA vA jQAtum SakyaH /
   pramāṇāntarāṇi tvatraivāntarbhavanti / tathāhi upamānaṃ tāvat gosadṛśo	pramANa-antarANi tu-atra-eva-antarBavanti / taTA-hi upamAnam tAvat go-sadRSaH-
   gavaya iti vākyaṃ tajjanito bodho śabda evāntarbhavati cakṣuḥsaṃnikṛṣṭasya	gavayaH iti vAkyam tat-janitaH boDaH SabdaH eva-antar-Bavati cakzuH-saMnikRzwasya
   gavayasya yat gosādṛśyajñānaṃ tatpratyakṣameva / evaṃ jīvataścaitrasya	gavayasya yat go-sAdRSya-jQAnam tat-pratyakzam-eva / evam jIvataH-cEtrasya
   gṛhāsattvena bahiḥsattvakalpanamarthāpattiḥ sāpyanumāna evāntarbhavati /	gRha-asattvena bahis-sattva-kalpanam-arTApattiH sA-api-anumAnaH eva-antar-Bavati /
   vimataścaitro bahirbhavitumarhati gṛheṣvavidyamānatvāt / yadā tvavyāpakaḥ	vimataH-cEtraH bahis-Bavitum-arhati gRhezu-avidyamAna-tvAt / yadA tu-avyApakaH
   sannekatrāsti tadānyatra nāsti yadaikatra nāsti tadānyatrāstīti	san=-ekatra-asti tadA-anyatra na-asti yadA-ekatra na-asti tadA-anyatra-asti-iti
   vyāptigrahāt / evamiha vaṭe yakṣaḥ prativasati iti aitihyaṃ na	vyApti-grahAt / evam-iha vawe yakzaH prativasati iti Etihyam na
   pramāṇamanirdiṣṭasvavaktṛkatvena sandehāt / āptoktatvaniścaye tvāgama eva	pramANam-anirdizwa-sva-vaktRka-tvena sandehAt / Apta-ukta-tva-niScaye tu-AgamaH eva
   / evamabhāvo nānupalabdhigamyaḥ kintu pratyakṣa eva / na hi bhūtalasya	/ evam-aBAvaH na-anupalabDi-gamyaH kintu pratyakzaH eva / na hi BU-talasya
   kaivalyalakṣaṇātpariṇāmaviśeṣādanyo ghaṭābhāvo nāma / sarva eva hi bhāvāḥ	kEvalya-lakzaNAt-pariNAma-viSezAt-anyaH GawABAvaH nAma / sarve eva hi BAvAH
   pratikṣaṇaṃ pariṇāminaḥ sa ca pariṇāmabheda aindriyaka evetyalam /	pratikzaNam pariNAminaH sa ca pariNAma-BedaH EndriyakaH eva-iti-alam /
   tatra sūkṣmasyāvyaktasyāpratyakṣatve 'pi mahadādikāryeṇa tadanumīyate /	tatra sUkzmasya-avyaktasya-apratyakza-tve api mahat-Adi-kAryeNa tat-anumIyate /
   tathāhi sadeva kāryaṃ kāraṇavyāpārātprāgapi / asato hi sattvaṃ duṣkaram	taTA-hi sat-eva kAryam kAraNa-vyApArAt-prAk-api / asataH hi sattvam duzkaram
   nahi nīlaṃ śilpisahasreṇāpi pītaṃ śakyaṃ kartum / kintu tileṣu pīḍanena	na-hi nIlam Silpi-sahasreNa-api pItam Sakyam kartum / kintu tilezu pIxanena
   tailasyeva āvirbhāvamātramutpattiḥ tirobhāva eva vināśaḥ /	tElasya-iva AvirBAva-mAtram-utpattiH tiroBAvaH eva vinASaH /
   kiñcāsambaddhasyāpi kāryasya janyatve sambaddhatvāviśeṣātsarvaṃ kāryaṃ	kiQca-asambadDasya-api kAryasya janya-tve sambadDa-tva-aviSezAt-sarvam kAryam
   sarvasmādbhavediti kāryasambaddhasyaiva kāraṇasya janakatvamupeyam / na ca	sarvasmAt-Bavet-iti kArya-sambadDasya-eva kAraNasya janaka-tvam-upeyam / na ca
   sadasatoḥ sambandho 'stīti satkāryam / kiñca	sat-asatoH sambanDaH asti-iti satkAryam / kiQca
   tantudharmatvāttantūpādeyatvācca na paṭasyārthāntaratvam yannaivaṃ	tantu-Darma-tvAt-tantu-upAdeya-tvAt-ca na pawasya-arTa-antara-tvam yat-na-evam
   tannaivaṃ yathā ghaṭapaṭau / tathā arthāntarayoḥ saṃyogo vā bhavati yathā	tat-na-evam yaTA Gawa-pawO / taTA arTa-antarayoH saMyogaH vA Bavati yaTA
   kuṃḍabadarayoḥ aprāptirvā bhavati himavadvindhyayoḥ / tasmādyathā	kuMxa-badarayoH aprAptiH-vA Bavati himavat-vinDyayoH / tasmAt-yaTA
   kūrmaśarīre kūrmāṅgāni niviśamānāni tirobhavanti na tatra tānyutpadyante	kUrma-SarIre kUrma-aFgAni niviSamAnAni tiroBavanti na tatra tAni-utpadyante
   na vinaśyanti vā evamekasmātsuvarṇādermukuṭādiprādurbhāva evotpattiḥ /	na vinaSyanti vE evam-ekasmAt-suvarNa-AdeH-mukuwa-Adi-prAdurBAvaH eva-utpattiH /
   evañca mahadādikāryaṃ pradhāne 'bhiniviśate avyaktaṃ bhavati iti / kāraṇe	evaQca mahat-Adi-kAryam praDAne aBiniviSate avyaktam Bavati iti / kAraNe
   sattyeva kāryasya vibhāgāvibhāgābhyāmavyaktaṃ kāraṇamastīti gamyate /	satti-eva kAryasya viBAga-aviBAgAByAm-avyaktam kAraNam-asti-iti gamyate /
   taccāvyaktaṃ nityaṃ vyāpakaṃ ca sarvaṃ kāryaṃ vyāpnoti tathā niḥkriyaṃ	tat-ca-avyaktam nityam vyApakam ca sarvam kAryam vyApnoti taTA niHkriyam
   kvacidapyanāśritañca evaṃ niravayavaṃ svatantraṃ ca / etadviparītantu	kvacid-api-anASri-taQcaH evam niravayavam svatantram ca / etad-viparItantu
   vyaktam / evaṃ vyaktamavyaktaṃ ca	vyaktam / evam vyaktam-avyaktam ca
   sukhaduḥkhamoharūpaguṇatrayānvitamacetanaṃ prasavadharmi ca tadviparītaḥ	suKa-duHKa-moha-rUpa-guNatraya-anvitam-acetanam prasava-Darmi ca tad-viparItaH
   puruṣaḥ sukhādayaśca guṇāḥ sattvarajastamorūpāḥ / sattvasya prayojanaṃ tu	puruzaH suKa-AdayaH-ca guNAH sattva-rajaH-tamaH-rUpAH / sattvasya prayojanam tu
   prakāśaḥ rajastu tasya pravartakaṃ tamastu niyāmakaṃ yadi hi tamasā guruṇā	prakASaH rajaH-tu tasya pravartakam tamaH-tu niyAmakam yadi hi tamasA guruNA
   niyamyeta tadā rajaḥ laghu sattvaṃ sarvatra pravarttayet / yathā sattvaṃ	niyamyeta tadA rajaH laGu sattvam sarvatra pravarttayet / yaTA sattvam
   rajastamasī abhibhūya śāntā vṛttimadhigacchati yathā ca rajaḥ sattvarajasī	rajaH-tamasI aBiBUya SAntA vRttim-aDigacCati yaTA ca rajaH sattva-rajasI
   abhibhūya ghorāṃ tathā tamaḥ sattvarajasī abhibhūya mūḍhāmiti / yadyapyete	aBiBUya GorAm taTA tamaH sattva-rajasI aBiBUya mUXAm-iti / yadi-api-ete
   parasparaṃ virodhaśīlāḥ tathāpi yathā vātapittaśleṣmāṇaḥ	parasparam viroDa-SIlAH taTA-api yaTA vAta-pitta-SlezmANaH
   parasparavirodhinaḥ śarīradhāraṇarūpaikakāryakāriṇaḥ evamete 'pi / evaṃ	paraspara-viroDinaH SarIra-DAraNa-rUpa-eka-kArya-kAriNaH evam-ete api / evam
   sukhahetutvātsattvaṃ sukhātmakaṃ duḥkhahetutvādduḥkhātmakaṃ rajaḥ	suKa-hetu-tvAt-sattvam suKa-Atmakam duHKa-hetu-tvAt-duHKa-Atmakam rajaH
   yanmohakaṃ tattamaḥ / te ca sukhaduḥkhamohāḥ parasparavirodhinaḥ	yat-mohakam tat-tamaH / te ca suKa-duHKa-mohAH paraspara-viroDinaH
   svānurūpāṇyeva parasparaṃ viruddhāni sukhaduḥkhamohātmakāni nimittāni	sva-anurUpANi-eva parasparam virudDAni suKa-duHKa-moha-AtmakAni nimittAni
   kalpayanti / tathāhi ekaiva strī svāminaṃ prati sukharūpasadbhāvāttaṃ	kalpayanti / taTA-hi ekA-eva strI svAminam prati suKa-rUpa-sadBAvAt-tam
   sukhākaroti sapatnīstu duḥkhākaroti evamatrāpyekasyāpi nimittabhedādbhedaḥ	suKa-akaroti sapatnIH-tu duHKa-Akaroti evam-atra-api-ekasya-api nimitta-BedAt-BedaH
   / sukhaprakāśalāghavaistu parasparamavirodhānna nimittabhedāḥ kalpyante /	/ suKa-prakASa-lAGavEH-tu parasparam-aviroDAt-na nimitta-BedAH kalpyante /
   sargādau tu pariṇāmasvabhāvā guṇāḥ kṣaṇamapyapariṇamayya na tiṣṭhantīti	sarga-AdO tu pariNAma-svaBAvAH guNAH kzaNam-api-apariNamayya na tizWanti-iti
   sattvaṃ sattvarūpatayā rajo rajorūpatayā tamastamorūpatayā pravarttate /	sattvam sattva-rUpa-tayA rajaH rajaH-rUpa-tayA tamaH-tamaH-rUpa-tayA pravarttate /
   yathāhi ghanavimuktajalānāṃ jambīrakaravīranārikerādyāśrayabhedādasti	yaTA-hi Gana-vimukta-jalAnAm jambIra-karavIra-nArikera-Adi-ASraya-BedAt-asti
   bhedaḥ evamekarūpāṇāmapi guṇānāṃ pratiguṇāśrayaviśeṣādanekarūpatā / ātmā	BedaH evam-eka-rUpANAm-api guNAnAm pratiguNa-ASraya-viSezAt-aneka-rUpa-tA / AtmA
   tu vyaktāvyaktasaṃghātabhinnaḥ / parārtho hi saṃghāto bhavati / yathā	tu vyakta-avyakta-saMGAta-BinnaH / para-arTaH hi saMGAtaH Bavati / yaTA
   śayanāsanādayaḥ saṃghātāḥ śarīrārthā dṛṣṭāḥ / kiñca yathā rathādi	Sayana-Asana-AdayaH saMGAtAH SarIra-arTAH dRzwAH / kiQca yaTA raTa-Adi
   yaṃtryādinādhiṣṭhitaṃ evaṃ triguṇātmakamapi pareṇa kenacidadhiṣṭhīyamānaṃ	yaMtri-Adina-aDizWitam evam triguNa-Atmakam-api pareNa kenacid-aDizWIyamAnam
   yuktam / sa cātmā pratiśarīraṃ bhinnaḥ na hyekasmin sukhini sarve sukhinaḥ	yuktam / sa ca-AtmA pratiSarIram BinnaH na hi-ekasmin suKini sarve suKinaH
   / sa cāyaṃ puruṣaḥ sākṣī ca bhavati prakṛtirhi svaviṣayacaritaṃ puruṣāya	/ sa ca-ayam puruzaH sAkzI ca Bavati prakRtiH-hi sva-vizaya-caritam puruzAya
   pradarśayati / tathāhi loke arthipratyarthinau vivādaviṣayaṃ sākṣiṇe	pradarSayati / taTA-hi loke arTi-pratyarTinO vivAda-vizayam sAkziNe
   darśayataḥ / evaṃ cāyaṃ draṣṭāpi bhavati / tathā atraiguṇādasya kaivalyaṃ	darSayataH / evam ca-ayam drazwA-api Bavati / taTA atra-eguNAt-asya kEvalyam
   ca dharmaḥ / ātyantiko hi duḥkhatrayābhāvaḥ kaivalyam / ata	ca DarmaH / AtyantikaH hi duHKa-traya-aBAvaH kEvalyam / ata
   evātriguṇatvānmadhyastho 'pi bhavati sukhī hi sukhe tṛpyan duḥkhī dviṣan	eva-atri-guNa-tvAt-maDya-sTaH api Bavati suKI hi suKe tRpyan duHKI dvizan
   madhyastho na bhavati / āta evobhayarāhityādudāsīna ityucyate /	maDya-sTaH na Bavati / AtaH eva-uBaya-rAhityAt-udAsInaH iti-ucyate /
   evamaprasavadharmitādakartā 'pi / yadyapi cetano 'haṃ karomīti	evam-aprasava-Darmi-tAt-akartA api / yadi-api cetanaH aham karomi-iti
   kṛticaitanyayoraikādhikaraṇyaṃ pratīyate tathāpi	kRti-cEtanyayoH-Eka-ADikaraNyam pratIyate taTA-api
   puruṣapradhānādisambandhātpuruṣacaitanyamavyakte guṇakartṛtvaṃ ca puruṣe	puruza-praDAna-Adi-sambanDAt-puruza-cEtanyam-avyakte guNa-kartR-tvam ca puruze
   upacaryate / bhogyaṃ hi pradhānaṃ bhoktāramantareṇa na saṃbhavati iti	upacaryate / Bogyam hi praDAnam BoktAram-antareNa na saMBavati iti
   bhavati tasya bhoktrapekṣā puruṣastu bhogyena pradhānena saṃyuktastadgataṃ	Bavati tasya BoktR-apa-IkzA puruzaH-tu Bogyena praDAnena saMyuktaH-tad-gatam
   duḥkhamātmanyabhimanyamānaḥ kaivalyaṃ prārthayate / tacca	duHKam-Atmani-aBimanyamAnaH kEvalyam prArTayate / tat-ca
   sattvapuruṣānyatākhyātinibandhanam na ca sattvapuruṣānyatākhyātiḥ	sattva-puruza-anya-tA-KyAti-nibanDanam na ca sattva-puruza-anya-tA-KyAtiH
   pradhānamantareṇeti kaivalyārthaṃ puruṣaḥ pradhānamapekṣata iti tayoḥ	praDAnam-antareNa-iti kEvalya-arTam puruzaH praDAnam-apekzate iti tayoH
   saṃyogaḥ ata eva saṃyogo na mahadādisargamantareṇa bhogāya kaivalyāya ca	saMyogaH atas eva saMyogaH na mahat-Adi-sargam-antareNa BogAya kEvalyAya ca
