   (PSP_2 3:1)	(PSu _2 3:1)
   anityato manasikaroti duḥkhato 'nātmataḥ śāntato rogato gaṇḍataḥ śalyato	anityataH manasikaroti duHKataH anAtmataH SAntataH rogataH gaNxataH SalyataH 
   'ghataḥ parataḥ pralopadharmataś calataḥ prabhaṅgurato bhayata upasargata	aGataH paratas pralopa DarmataH calataH praBaFguH atas BayataH upasargata
   upadravataḥ saṃskārapratyayaṃ vijñānaṃ vijñānapratyayaṃ nāmarūpaṃ	upadravataH saMskAra pratyayam vijQAnam vijQAna pratyayam nAma rUpam
   nāmarūpapratyayaṃ ṣaḍāyatanaṃ ṣaḍāyatanapratyayaḥ sparśaḥ sparśapratyayā	nAma rUpa pratyayam zaz Ayatanam zaz Ayatana pratyayaH sparSaH sparSa pratyayA
   vedanā vedanāpratyayā tṛṣṇā tṛṣṇāpratyayam upādānam upādānapratyayo bhavo	vedanA vedanA pratyayA tRzNA tRzNA pratyayam upAdAnam upAdAnapratyayaH BavaH 
   bhavapratyayā jātir jātipratyayā	Bava pratyayA jAtiH jAti pratyayA
   jarāmaraṇaśokaparidevaduḥkhadaurmanasyopāyāsāḥ saṃbhavanti. evam asya	jarA maraNa Soka parideva duHKa dOrmanasya upAyAsAH saMBavanti. evam asya
   kevalasya mahato duḥkhaskandhasya samudayo bhavati tac cānityato duḥkhato	kevalasya mahataH duHKa skanDasya samudayaH Bavati tat ca anityataH duHKataH 
   'nātmataḥ śāntato rogato gaṇḍataḥ śalyato 'ghataḥ parataḥ pralopadharmataś	anAtmataH SAntataH rogataH gaNxataH SalyataH aGataH paratas pralopa Darmatas 
   calataḥ prabhaṅgurato bhayata upasargata upadravato manasikaroti tac	calataH praBaFguH atas BayataH upasargataH upadravataH manasikaroti tat 
   cānupalambhayogena sarvajñatāpratisaṃyuktena cittotpādena. avidyānirodhāt	ca anupalamBa yogena sarvajQa tA pratisaMyuktena citta utpAdena. avidyA niroDAt
   saṃskāranirodha iti manasikaroti nirātmataḥ śāntato viviktataḥ śūnyato	saMskAra niroDaH iti manasikaroti nirAtmataH SAntataH viviktataH SUnyataH 
   'nimittato 'praṇihitato 'nabhisaṃskārataḥ saṃskāranirodhād vijñānanirodho	animittataH apraNihitataH anaBisaMskArataH saMskAra niroDAt vijQAna niroDaH 
   vijñānanirodhād nāmarūpanirodho nāmarūpanirodhāt ṣaḍāyatananirodhaḥ	vijQAna niroDAt nAma rUpa niroDaH nAma rUpa niroDAt zaz Ayatana niroDaH
   ṣaḍāyatananirodhāt sparśanirodhaḥ sparśanirodhād vedanānirodho	zaz Ayatana niroDAt sparSa niroDaH sparSa niroDAt vedanA niroDaH 
   vedanānirodhāt tṛṣṇānirodhas tṛṣṇānirodhād upādānanirodha upādānanirodhād	vedanA niroDAt tRzNA niroDaH tRzNA niroDAt upAdAna niroDaH upAdAna niroDAt 
   bhavanirodho bhavanirodhāj jātinirodho jātinirodhāj	Bava niroDaH Bava niroDAt jAti niroDaH jAti niroDa aj
   jarāmaraṇaśokaparidevaduḥkhadaurmanasyopāyāsā nirudhyante. evam asya	jarA maraNa Soka parideva duHKa dOrmanasya upAyAsAH niruDyante. evam asya
   kevalasya mahato duḥkhaskandhasya nirodho bhavati tac ca nirātmataḥ	kevalasya mahataH duHKa skanDasya niroDaH Bavati tat ca nirAtmataH
   śāntato viviktataḥ śūnyato 'nimittato 'praṇihitato 'nabhisaṃskārato	SAntataH viviktataH SUnyataH animittataH apraNihitataH anaBisaMskArataH 
   manasikaroti tac cānupalambhayogena sarvajñatāpratisaṃyuktair	manasikaroti tat ca anupalamBa yogena sarvajQa tA pratisaMyuktEH 
   manasikāraiḥ.	manasikArEH.
   punar aparaṃ kauśika bodhisattvo mahāsattvaḥ sarvajñatāpratisaṃyuktena	punar aparam kOSika boDisattvaH mahAsattvaH sarvajQa tA pratisaMyuktena
   cittena catvāri smṛtyupasthānāni bhāvayati tac cānupalambhayogena. evaṃ	cittena catvAri smRti upasTAnAni BAvayati tat ca anupalamBa yogena. evam
   catvāri samyakprahāṇāni catura ṛddhipādān pañcendriyāṇi pañca balāni sapta	catvAri samyak prahANAni caturaH RdDi pAdAn paQca indriyANi paQca balAni sapta
   bodhyaṅgāni āryāṣṭāṅgamārgaṃ catvāry apramāṇāni catvāri dhyānāni catasra	boDi aFgAni Arya azwa aFga mArgam catvAri apramANAni catvAri DyAnAni catasra
   ārūpyasamāpattīr daśa tathāgatabalāni catvāri vaiśāradyāni catasraḥ	ArUpya samApattIH daSa taTAgata balAni catvAri vESAradyAni catasraH
   pratisaṃvido 'ṣṭādaśāveṇikān (PSP_2 3:4) buddhadharmān bhāvayati	pratisaMvidaH azwAdaSa AveNikAn (PSu _2 3:4) budDa DarmAn BAvayati
   sarvajñatāpratisaṃyuktair manasikārais tac cānupalambhayogena.	sarvajQa tA pratisaMyuktEH manasikArEH tat ca anupalamBa yogena.
   punar aparaṃ kauśika bodhisattvo mahāsattvaḥ sarvajñatāpratisaṃyuktena	punar aparam kOSika boDisattvaH mahAsattvaH sarvajQa tA pratisaMyuktena
   cittotpādena dānapāramitāṃ carati tac cānupalambhayogena. evaṃ	citta utpAdena dAna pAramitAm carati tat ca anupalamBa yogena. evam
   sarvajñatāpratisaṃyuktaiś cittotpādaiḥ śīlapāramitāyāṃ kṣāntipāramitāyāṃ	sarvajQa tA pratisaMyuktEH citta utpAdEH SIla pAramitAyAm kzAnti pAramitAyAm
   vīryapāramitāyāṃ dhyānapāramitāyāṃ prajñāpāramitāyāṃ carati tac	vIrya pAramitAyAm DyAna pAramitAyAm prajQApAramitAyAm carati tat 
   cānupalambhayogena.	ca anupalamBa yogena.
   punar aparaṃ kauśika bodhisattvo mahāsattvaḥ prajñāpāramitāyāṃ carann	punar aparam kOSika boDisattvaH mahAsattvaH prajQApAramitAyAm caran= 
   evaṃdharmeṇa dharmān yojayati. evaṃdharmeṇa dharmān abhiṣyandayan	evaMDarmeNa DarmAn yojayati. evaMDarmeNa DarmAn aBizyandayan
   pariṣyandayan paripūrayan parisphāran pratyavekṣate nirātmakā hy ete	parizyandayan paripUrayan parisPAran pratyavekzate nirAtmakAH hi ete
   sarvadharmā ātmātmīyavigatāḥ. tat kasya hetos? tathā hi yad bodhisattvasya	sarva DarmAH Atma AtmIya vigatAH. tat kasya hetos? taTA hi yat boDisattvasya
   mahāsattvasya kuśalamūlacittaṃ tad bodhicittenāsamavahitaṃ yat	mahAsattvasya kuSala mUla cittam tat boDi cittena asamavahitam yat 
   pariṇāmanācittaṃ tad bodhicittakuśalamūlacittābhyām asamavahitaṃ yad	pariNAmana acittam tat boDi citta kuSala mUla cittAByAm asamavahitam yat 
   bodhicittaṃ tat pariṇāmanācittenāsamavahitaṃ. tat kasya hetor? yat kauśika	boDi cittam tat pariNAmanA cittena asamavahitan. tat kasya hetor? yat kOSika
   bodhicittaṃ tat pariṇāmanācitte na saṃvidyate nopalabhyate. yat	boDi cittam tat pariNAmana Acitte na saMvidyate na upalaByate. yat 
   pariṇāmanācittaṃ tad bodhicitte na saṃvidyate nopalabhyate. iyaṃ kauśika	pariNAmana acittam tat boDi citte na saMvidyate na upalaByate. iyam kOSika
   bodhisattvasya mahāsattvasya prajñāpāramitā yad evaṃ sarvadharmāṃś ca	boDisattvasya mahAsattvasya prajQApAramitA yat evam sarva DarmAn ca
   pratyavekṣate na ca kaṃcid dharmam abhiniviśate nopalabhate.	pratyavekzate na ca kaMcid Darmam aBiniviSate na upalaBate.
   evam ukte śakro devānām indraḥ sthaviraṃ subhūtim etad avocat: kathaṃ	evam ukte SakraH devAnAm indraH sTaviram suBUtim etat avocat: kaTam
   bhadanta subhūte pariṇāmanācittaṃ bodhicittenāsamavahitaṃ? kathaṃ bodheś	Badanta suBUte pariNAmana acittam boDi cittena asamavahitan? kaTam boDa IH 
   cittaṃ pariṇāmanācittenāsamavahitaṃ? kathaṃ vā pariṇāmanācitte bodhicittaṃ	cittam pariNAmanA cittena asamavahitaM? kaTam vA pariNAmana Acitte boDi cittam
   na saṃvidyate nopalabhyate? kathaṃ bodhicitte pariṇāmanācittaṃ na	na saMvidyate na upalaByate? kaTam boDi citte pariNAmanA cittam na
   saṃvidyate nopalabhyate?	saMvidyate na upalaByate?
   subhūtir āha : yat kauśika pariṇāmanācittaṃ tad acittaṃ yad bodhicittaṃ	suBUtiH Aha : yat kOSika pariNAmanA cittam tat acittam yat boDi cittam
   tad acittaṃ na hy acittatācittatāyāṃ pariṇāmayati. iti hi yad acittaṃ tad	tat acittam na hi acitta tA citta tAyAm pariNAmayati. iti hi yat acittam tat 
   acintyaṃ yad acintyaṃ tad acittam acittatācittatāyāṃ pariṇāmayati. iyaṃ	acintyam yat acintyam tat acittam acitta tA citta tAyAm pariNAmayati. iyam
   kauśika bodhisattvasya mahāsattvasya prajñāpāramitā.	kOSika boDisattvasya mahAsattvasya prajQApAramitA.
   iti śrāvakamārgasya catuḥsatyālambanaṣoḍaśākāravyavasthānam.	iti SrAvaka mArgasya catur satya Alambana zoxaSa AkAra vyavasTAnam.
   atha khalu bhagavān āyuṣmantaṃ subhūtim etad avocat: sādhu sādhu	aTa Kalu BagavAn Ayuzmantam suBUtim etat avocat: sADu sADu
   (PSP_2 3:5) subhūte sādhu khalu punas tvaṃ subhūte yas tvaṃ bodhisattvānāṃ	(PSu _2 3:5) suBUte sADu Kalu punar tvam suBUte yaH tvam boDisattvAnAm
   mahāsattvānāṃ prajñāpāramitām upadiśasi, utsāhaṃ dadāsi.	mahAsattvAnAm prajQApAramitAm upadiSasi, utsAham dadAsi.
   subhūtir āha: kṛtajñena mayā bhagavan bhavitavyaṃ nākṛtajñena, tathā hi	suBUtiH Aha: kRtajQena mayA Bagavan Bavitavyam na akRtajQena, taTA hi
   bhagavan pūrvaṃ bodhisattvacaryāṃ caran pūrvakāṇāṃ tathāgatānām arhatāṃ	Bagavan pUrvam boDisattva caryAm caran pUrvakANAm taTAgatAnAm arhatAm
   samyaksaṃbuddhānām antike taiḥ śrāvakaiḥ ṣaṭsu pāramitāsv avavadito	samyaksaMbudDAnAm antike tEH SrAvakEH zawsu pAramitAsu avavaditaH 
   'nuśiṣṭaḥ saṃdarśitaḥ samuttejitaḥ saṃpraharṣitaḥ samādāpito niveśitaḥ	anuSizwaH saMdarSitaH samuttejitaH saMpraharzitaH samAdApitaH niveSitaH
   pratiṣṭhāpito yato bhagavān bodhisattvabhūtaḥ ṣaṭsu pāramitāsu	pratizWApitaH yatas BagavAn boDisattva BUtaH zawsu pAramitAsu
   śikṣitvānuttarāṃ samyaksaṃbodhim abhisaṃbuddhaḥ. evam eva bhagavann	SikzitvA anuttarAm samyaksaMboDim aBisaMbudDaH. evam eva Bagavat = 
   asmābhir api bodhisattvā mahāsattvāḥ ṣaṭsu pāramitāsv avavaditavyā	asmABiH api boDisattvAH mahAsattvAH zawsu pAramitAsu avavaditavyA
   anuśāsitavyāḥ. saṃdarśayitavyāḥ samādāpayitavyāḥ samuttejayitavyāḥ	anuSAsitavyAH. saMdarSayitavyAH samAdApayitavyAH samuttejayitavyAH
   saṃpraharṣayitavyā niveśayitavyāḥ pratiṣṭhāpayitavyā asmābhir api	saMpraharzayitavyAH niveSayitavyAH pratizWApayitavyAH asmABiH api
   bodhisattvā mahāsattvā avavaditā anuśiṣṭāḥ saṃdarśitāḥ samuttejjitāḥ	boDisattvAH mahAsattvAH avavaditAH anuSizwAH saMdarSitAH samuttejjitAH
   saṃpraharṣitāḥ samādāpitā niveśitāḥ pratiṣṭhāpitā anuttarāṃ	saMpraharzitAH samAdApitAH niveSitAH pratizWApitA anuttarAm
   samyaksaṃbodhim abhisaṃbhotsyante.	samyaksaMboDim aBisaMBotsyante.
   atha khalv āyuṣmān subhūtiḥ śakraṃ devānām indram etad avocat: tena hi	aTa Kalu AyuzmAn suBUtiH Sakram devAnAm indram etat avocat: tena hi
   kauśika śṛṇu sādhu ca suṣṭhu ca manasikuru bhāṣiṣye yathā bodhisattvena	kOSika SRNu sADu ca suzWu ca manasikuru BAzizye yaTA boDisattvena
   mahāsattvena prajñāpāramitāyāṃ sthātavyaṃ yathā pratipattavyaṃ rūpaṃ	mahAsattvena prajQApAramitAyAm sTAtavyam yaTA pratipattavyam rUpam
   kauśika rūpeṇa śūnyaṃ vedanā saṃjñā saṃskārā vijñānaṃ kauśika vijñānena	kOSika rUpeNa SUnyam vedanA saMjQA saMskArAH vijQAnam kOSika vijQAnena
   śūnyaṃ bodhisattvo bodhisattvena śūnyaḥ, iti hi kauśika yā ca rūpaśūnyatā,	SUnyam boDisattvaH boDisattvena SUnyaH, iti hi kOSika yA ca rUpa SUnyatA,
   yā ca vedanāsaṃjñāsaṃskāravijñānaśūnyatā, yā ca bodhisattvaśūnyatā,	yA ca vedanA saMjQA saMskAra vijQAna SUnyatA, yA ca boDisattva SUnyatA,
   advayam etad advaidhīkāram. evaṃ hi kauśika bodhisattvena mahāsattvena	advayam etat at vEDIkAram. evam hi kOSika boDisattvena mahAsattvena
   prajñāpāramitāyāṃ sthātavyam.	prajQApAramitAyAm sTAtavyam.
   punar aparaṃ kauśika cakṣuś cakṣuṣā śūnyam. evaṃ śrotraṃ ghrāṇaṃ jihvā	punar aparam kOSika cakzuH cakzuzA SUnyam. evam Srotram GrANam jihvA
   kāyo mano manasā śūnyaṃ bodhisattvo bodhisattvena śūnyaḥ, iti hi yā ca	kAyaH manaH manasA SUnyam boDisattvaH boDisattvena SUnyaH, iti hi yA ca
   cakṣuḥśūnyatā, yā ca śrotraghrāṇajihvākāyamanaḥśūnyatā, yā ca	cakzuH SUnyatA, yA ca Srotra GrANa jihvA kAya manaH SUnyatA, yA ca
   bodhisattvaśūnyatā, advayam etad advaidhīkāram. evaṃ hi kauśika	boDisattva SUnyatA, advayam etat at vEDIkAram. evam hi kOSika
   bodhisattvena mahāsattvena prajñāpāramitāyāṃ sthātavyam.	boDisattvena mahAsattvena prajQApAramitAyAm sTAtavyam.
   punar aparaṃ kauśika pṛthivīdhātuḥ pṛthivīdhātunā śūnyaḥ. evam abdhātus	punar aparam kOSika pRTivI DAtuH pRTivI DAtunA SUnyaH. evam abDAtuH 
   tejodhātur vāyudhātur ākāśadhātur vijñānadhātur vijñānadhātunā śūnyaḥ	tejaH DAtuH vAyuDAtuH AkASa DAtuH vijQAna DAtuH vijQAna DAtunA SUnyaH
   bodhisattvo bodhisattvena śūnyaḥ, iti hi pṛthivīdhātuśūnyatā	boDisattvaH boDisattvena SUnyaH, iti hi pRTivI DAtu SUnyatA
   cābdhātuśūnyatā ca tejodhātuśūnyatā ca vāyudhātusūnyatā cākāśadhātuśūnyatā	ca abDAtu SUnyatA ca tejaH DAtu SUnyatA ca vAyu DAtu sUnyatA ca AkASa DAtu SUnyatA
   ca vijñānadhātuśūnyatā (PSP_2 3:6) ca bodhisattvaśūnyatā cādvayam etad	ca vijQAna DAtu SUnyatA (PSu _2 3:6) ca boDisattva SUnyatA ca advayam etat 
   advaidhīkāram. evaṃ hi kauśika bodhisattvena mahāsattvena	advEDIkAram. evam hi kOSika boDisattvena mahAsattvena
   prajñāpāramitāyāṃ sthātavyam.	prajQApAramitAyAm sTAtavyam.
   punar aparaṃ kauśika, avidyāvidyayā śūnyā. evaṃ saṃskārā vijñānaṃ	punar aparam kOSika, avidyA vidyayA SUnyA. evam saMskArAH vijQAnam
   nāmarūpaṃ ṣaḍāyatanaṃ sparśo vedanā tṛṣṇopādānaṃ bhavo jātir jarāmaraṇaṃ	nAma rUpam zaz Ayatanam sparSaH vedanA tRzNA upAdAnam BavaH jAtiH jarA maraNam
   jarāmaraṇena sūnyam. avidyānirodho 'vidyānirodhena śūnyaḥ. evaṃ saṃskārā	jarA maraNena sUnyam. avidyA niroDaH avidyA niroDena SUnyaH. evam saMskArA
   vijñānaṃ nāmarūpaṃ ṣaḍāyatanaṃ sparśo vedanā tṛṣṇopādānaṃ bhavo jātir	vijQAnam nAma rUpam zaz Ayatanam sparSaH vedanA tRzNA upAdAnam BavaH jAtiH 
   jarāmaraṇanirodho jarāmaraṇanirodhena śūnyaḥ bodhisattvo bodhisattvena	jarA maraNa niroDaH jarA maraNa niroDena SUnyaH boDisattvaH boDisattvena
   śūnyaḥ, iti hy avidyāśūnyatā cāvidyānirodhaśūnyatā yāvaj jarāmaraṇaśūnyatā	SUnyaH, iti hi avidyA SUnyatA ca avidyA niroDa SUnyatA yAvat jarA maraNa SUnyatA
   ca jarāmaraṇanirodhaśūnyatā ca bodhisattvaśūnyatā cādvayam etad	ca jarA maraNa niroDa SUnyatA ca boDisattva SUnyatA ca advayam etat 
   advaidhīkāram. evaṃ hi kauśika bodhisattvena mahāsattvena	advEDIkAram. evam hi kOSika boDisattvena mahAsattvena
   prajñāpāramitāyāṃ sthātavyam.	prajQApAramitAyAm sTAtavyam.
   punar aparaṃ kauśika dānapāramitā dānapāramitayā śūnyā. evaṃ śīlapāramitā	punar aparam kOSika dAna pAramitA dAna pAramitayA SUnyA. evam SIla pAramitA
   kṣāntipāramitā vīryapāramitā dhyānapāramitā, prajñāpāramitā	kzAnti pAramitA vIrya pAramitA DyAna pAramitA, prajQApAramitA
   prajñāpāramitayā śūnyā, bodhisattvo bodhisattvena śūnyaḥ, iti hi	prajQApAramitayA SUnyA, boDisattvaH boDisattvena SUnyaH, iti hi
   dānapāramitāśūnyatā ca śīlakṣāntivīryadhyānaprajñāpāramitāśūnyatā ca	dAna pAramitA SUnyatA ca SIla kzAnti vIrya DyAna prajQApAramitA SUnyatA ca
   bodhisattvaśūnyatā cādvayam etad advaidhīkāram.	boDisattva SUnyatA ca advayam etat advEDIkAram.
   punar aparaṃ kauśika adhyātmaśūnyatādhyātmaśūnyatayā śūnyā. evaṃ	punar aparam kOSika aDyAtma SUnyatA aDyAtma SUnya tayA SUnyA. evam
   bahirdhāśūnyatādhyātmabahirdhāśūnyatā yāvad	bahirDA SUnyatA aDyAtma bahirDA SUnyatA yAvat 
   abhāvasvabhāvaśūnyatābhāvasvabhāvaśūnyatayā śūnyā bodhisattvo	aBAva svaBAva SUnyatA BAva svaBAva SUnyatayA SUnyAH boDisattvaH 
   bodhisattvena śūnyaḥ, iti hy adhyātmaśūnyatā ca bahirdhāśūnyatā	boDisattvena SUnyaH, iti hi aDyAtma SUnyatA ca bahirDA SUnyatA
   cādhyātmabahirdhāśūnyatā ca yāvad abhāvasvabhāvaśūnyatā ca	ca aDyAtma bahirDA SUnyatA ca yAvat aBAva svaBAva SUnyatA ca
   bodhisattvaśūnyatā cādvayam etad advaidhīkāram.	boDisattva SUnyatA ca advayam etat advEDIkAram.
   punar aparaṃ kauśika smṛtyupasthānāni smṛtyupasthānaiḥ śūnyāni. evaṃ	punar aparam kOSika smRti upasTAnAni smRti upasTAnEH SUnyAni. evam
