   akasmāj jāyate yatra ST_2.49a	akasmAt jAyate yatra ST_2.49a
   amuṃ dadhe'ṃśukam aham atra pādape ST_2.67fa	amum daDe-aMSukam aham atra pAdape ST_2.67fa
   ayam api bhavet sampraty api kṣayānala-saṃnibhaḥ ST_1.32bc	ayam api Bavet samprati api kzaya-anala--saMniBaH ST_1.32bc
   ayaṃ ca prāyaśas taj-jñair ST_2.22a	ayam ca prAyaSas taj-jQEH ST_2.22a
   ayi vihaṅga varāka kapotakaṃ ST_3.10aa	ayi vihaFga varAka kapotakam ST_3.10aa
   alaṃkārādikaṃ dadyān ST_2.45a	alaMkAra-Adikam dadyAn ST_2.45a
   avadhi-divasaḥ pūrṇaḥ sakhyo vimuñcata tat-kathāṃ ST_2.58ec	avaDi-divasaH pUrNaH saKyaH vimuQcata tat-kaTAm ST_2.58ec
   avasthābhiḥ punar yathā ST_1.73d	avasTABiH punar yaTA ST_1.73d
   avasthā-bhedato'tra tāḥ ST_1.87d	avasTA-BedataH-atra tAH ST_1.87d
   avasthā vividhāḥ strīṇāṃ ST_2.58c	avasTAH viviDAH strINAm ST_2.58c
   [a]vahitthaṃ cāpalaṃ smṛtiḥ ST_3.29b	[a]vahitTam cApalam smRtiH ST_3.29b
   avahitthā tathogratā ST_1.13b	avahitTA taTA-ugra-tA ST_1.13b
   avinīto 'pi pālyo 'haṃ ST_2.44a	avinItaH api pAlyaH aham ST_2.44a
   avekṣya doṣam etasya ST_2.33c	avekzya dozam etasya ST_2.33c
   aśītiś catur-uttarā ST_1.88d	aSItiH catur--uttarA ST_1.88d
   aṣṭamo'yaṃ smṛto yathā ST_2.14d	azwamaH-ayam smRtaH yaTA ST_2.14d
   aṣṭāv amī rasāḥ pūrvaṃ ST_3.20a	azwO amI rasAH pUrvam ST_3.20a
   asakṛd asakṛt sphāra-sphārair apāṅga-vilokitai- ST_1.42dc	asakRt asakRt sPAra---sPArEH apAFga--vilokitE ST_1.42dc
   asat teṣu yaśaḥ śubhram ST_3.44cc	asat tezu yaSaH SuBram ST_3.44cc
   asaṃprāptau bhavanty etās ST_2.6c	asaMprAptO Bavanti etAH ST_2.6c
   asmākam asti na hi kaścid ihāvakāśas ST_1.41cc	asmAkam asti na hi kaScid iha-avakASaH ST_1.41cc
   asmākaṃ tu tadīya-pāṇi-kamale'py unmocayaty aṃśukaṃ ST_1.43ac	asmAkam tu tadIya--pANi-kamale-api unmocayati aMSukam ST_1.43ac
   asmākaṃ sakhi vāsasī na rucire graiveyakaṃ nojjvalaṃ ST_1.25aa	asmAkam saKi vAsasI na rucire grEveyakam na-ujjvalam ST_1.25aa
   asmin sakhī-karāghāta- ST_3.4a	asmin saKI-kara-AGAta ST_3.4a
   asyās tu kevalaṃ prema ST_1.61c	asyAH tu kevalam prema ST_1.61c
   ākarṣann antra-mālikām ST_3.41cb	Akarzan antra-mAlikAm ST_3.41cb
   ākāra-saṃvṛtiṃ cāpi ST_1.44c	AkAra--saMvRtim ca-api ST_1.44c
   ākrānta-nāyikā bāḍhaṃ ST_1.42c	AkrAnta-nAyikA bAXam ST_1.42c
   ākhyāta-nāma-racanā-caturasra-sandhi- ST_1.2a	AKyAta--nAma--racanA--caturasra--sanDi ST_1.2a
   ājñāṃ kevalam eva manmatha-guror ādāya nūnaṃ mayā ST_1.ac	AjQAm kevalam eva manmaTa-guroH AdAya nUnam mayA ST_1.ac
   ātmany eva samādhānaṃ ST_3.43dc	Atmani eva samADAnam ST_3.43dc
   ādatte cedam adbhutam ST_3.44cd	Adatte ca-idam adButam ST_3.44cd
   ādyās trayo ghanaṃ kāryā ST_2.50c	AdyAH trayaH Ganam kAryA ST_2.50c
   ānandayanti yuktyā tāṃ ST_1.71a	Anandayanti yuktyA tAm ST_1.71a
   ānīyate śaśadharānukṛtiṃ kapola- ST_2.36ac	AnIyate SaSaDara-anukRtim kapola ST_2.36ac
   ārūḍha-yauvanā madhyā ST_1.39a	ArUXa--yOvanAH maDyA ST_1.39a
   ālasyaṃ caiva dainyaṃ ca ST_1.11c	Alasyam ca-eva dEnyam ca ST_1.11c
   ālīnāṃ pura eva nihnuti-paraḥ kopād raṇan-nūpuraṃ ST_1.45bc	AlInAm puras eva nihnuti-paraH kopAt raNan-nUpuram ST_1.45bc
   ālīnāṃ purato dadhāti śirasā pāda-prahārāṃs tato ST_1.28ac	AlInAm puratas daDAti SirasA pAda--prahArAn tatas ST_1.28ac
   ālokālāpa-saṃrūḍha- ST_2.4a	Aloka-AlApa--saMrUXa ST_2.4a
   ālokya vaicitryam idaṃ vidadhyāt ST_3.45c	Alokya vEcitryam idam vidaDyAt ST_3.45c
   āvarjita-jano janya- ST_3.10c	Avarjita--janaH janya ST_3.10c
   āvego jaḍatā tathā ST_1.12b	AvegaH jaxa-tA taTA ST_1.12b
   āvego jaḍatā moho ST_3.36a	AvegaH jaxa-tA mohaH ST_3.36a
   āvego romaharṣaṇam ST_3.33d	AvegaH roma-harzaNam ST_3.33d
   āścarya-saṃpat-subhagā ca yā syāt ST_3.42c	AScarya--saMpat--suBagA ca yA syAt ST_3.42c
   āśvāsaya smara-kṛśānu-kṛśāṃ kṛśāṅgīm ST_2.67eb	ASvAsaya smara--kRSa-anu--kRSAm kRSa-aFgIm ST_2.67eb
   āseduṣām api divaṃ kavi-puṅgavānāṃ ST_1.2c	AseduzAm api divam kavi--puFgavAnAm ST_1.2c
   āste rantuṃ ca vāñchati ST_1.36d	Aste rantum ca vAQCati ST_1.36d
   itarā pay asaṅkhyāḥ syur ST_1.92c	itarA pay asaFKyAH syuH ST_1.92c
   iti caṭu-śatair vāraṃ vāraṃ vapuḥ paritaḥ spṛśan ST_1.74ac	iti cawu-SatEH vAram vAram vapuH paritas spRSan ST_1.74ac
   iti cintā matā yathā ST_2.8d	iti cintA matAH yaTA ST_2.8d
   iti navoḍha-vadhū-vacasā yuvā ST_1.35cc	iti navoXa-vaDU--vacasA yuvA ST_1.35cc
   iti nigadite kiñcid bhītyā vivartita-kandharā ST_1.37ac	iti nigadite kiQcid BItyA vivartita--kanDarA ST_1.37ac
   iti bhāvān nibadhnanti ST_3.36c	iti BAvAn nibaDnanti ST_3.36c
   iti bhāvāḥ prayoktavyā ST_3.29c	iti BAvAH prayoktavyA ST_3.29c
   iti mayā kathitena pathāmunā ST_3.54a	iti mayA kaTitena paTA-amunA ST_3.54a
   iti vāṇī bhaved yatra ST_2.10c	iti vANI Bavet yatra ST_2.10c
   iti vāṇī bhaved yatra ST_2.44c	iti vANI Bavet yatra ST_2.44c
   itthaṃ caṇḍi tathā tavaiṣa ruciraḥ kopa-kramo jṛmbhate ST_2.34ac	itTam caNxi taTA tava-eza ruciraH kopa-kramaH jRmBate ST_2.34ac
   itthaṃ tena nirīkṣitaṃ na ca mayāpy evaṃ samālokitas ST_2.12aa	itTam tena nirIkzitam na ca mayA-api evam samAlokitaH ST_2.12aa
   itthaṃ nātha tavāridhāmni śavarair ālokya citra-sthitiṃ ST_3.3bc	itTam nATa tava-ari-DAmni SavarEH Alokya citra--sTitim ST_3.3bc
   itthaṃ nātha navāmbu-vāha-samaye tvat-sainya-śaṅkākulā ST_3.41bc	itTam nATa nava-ambu--vAha--samaye tu-at--sEnya--SaFkA-AkulA ST_3.41bc
   itthaṃ vicārya pracura-prayogā- ST_2.70a	itTam vicArya pracura--prayogA ST_2.70a
   itthaṃ viracanīyo'yaṃ ST_2.69a	itTam viracanIyaH-ayam ST_2.69a
   itthaṃ śatatrayaṃ tāsām ST_1.88c	itTam Sata-trayam tAsAm ST_1.88c
   itthaṃ sarva-rasāśrayaḥ paśupatir bhūyāt satāṃ bhūtaye ST_1.1d	itTam sarva--rasa-ASrayaH paSupatiH BUyAt satAm BUtaye ST_1.1d
   itthaṃ saṃtatam āli vallabhatama-dhyāna-prasaktātmanaś ST_2.10ac	itTam saMtatam Ali vallaBata-ma--DyAna--prasakta-AtmanaH ST_2.10ac
   itthaṃ subhru visaṃsthulāpi viraha-vyāpād vimardād iyaṃ ST_2.58cc	itTam suBru visaMsTulA-api viraha--vyApAt vimardAt iyam ST_2.58cc
   itthaṃ hāsyeṣu badhyate ST_2.22b	itTam hAsyezu baDyate ST_2.22b
   ity aṣṭau sāttvikāḥ smṛtāḥ ST_1.15d	iti azwO sAttvikAH smRtAH ST_1.15d
   ity ādi ramyāḥ pravilokya vṛttīr ST_3.45a	iti Adi ramyAH pravilokya vRttIH ST_3.45a
   ityādi virasaṃ matam ST_3.47d	ityAdi virasam matam ST_3.47d
   ity ādi-virahāvasthāḥ ST_2.59a	iti Adi-viraha-avasTAH ST_2.59a
   ity ādi vividhaṃ sakhyo ST_2.68a	iti Adi viviDam saKyaH ST_2.68a
   ity-ādiṣu pradeśeṣu ST_2.39a	iti--Adizu pradeSezu ST_2.39a
   ity ādi sakalaṃ jñātvā ST_1.93a	iti Adi sakalam jQAtvA ST_1.93a
   ity ādīn prathamaṃ grāmyān ST_1.67a	iti AdIn praTamam grAmyAn ST_1.67a
   ity ālocya cirāya cāru ruci-mantrasyat-kuraṅgī-dṛśo ST_3.39ac	iti Alocya cirAya cAru ruci--mantrasyat--kuraFgI--dRSaH ST_3.39ac
   ity ālocya mṛgīdṛśā karatale saṃsthāpya vaktrāmbujaṃ ST_1.75ac	iti Alocya mRgI-dRSA kara-tale saMsTApya vaktra-ambujam ST_1.75ac
   ity ukto'pi na nāma muñcati yadā pādāv ayaṃ durjano ST_1.28bc	iti uktaH-api na nAma muQcati yadA pAdO ayam durjanaH ST_1.28bc
   ity uktvā praṇataḥ priyaḥ kṣititalād utthāpya sānandayā ST_1.89ac	iti uktvA praNataH priyaH kziti-talAt utTApya sa-AnandayA ST_1.89ac
   ity uktvā sudṛśā kayāpi valita-grīvaṃ dṛśau sphārite ST_2.12ad	iti uktvA su-dRSA kayA-api valita--grIvam dRSO sPArite ST_2.12ad
   ity uktvā suratāvasāna-sukhitā sampūrṇa-cadnrānanā ST_1.42cc	iti uktvA surata-avasAna--suKitA sampUrNa--cadnrA-AnanA ST_1.42cc
   ity upāyān prayuñjīta ST_2.52a	iti upAyAn prayuQjIta ST_2.52a
   ity upāyāḥ prasādane ST_2.50b	iti upAyAH prasAdane ST_2.50b
   induṃ nindati padma-kandala-dalais talpaṃ na vā manyate ST_2.9aa	indum nindati padma--kandala-dalEH talpam na vA manyate ST_2.9aa
   indrajāla-kalādibhiḥ ST_2.26b	indrajAla-kalA-AdiBiH ST_2.26b
   indrajālaṃ tad adbhutam ST_3.16ad	indrajAlam tat adButam ST_3.16ad
   ibatīva ratāv iyam ST_1.40b	ibati-iva ratO iyam ST_1.40b
   iyatīṃ subhagāvasthāṃ gato'si yasyāḥ kṛte smarātaṅkāt ST_2.60ca	iyatIm suBaga-avasTAm gataH-asi yasyAH kRte smara-AtaFkAt ST_2.60ca
   iyam itthaṃ prayujyate ST_3.41d	iyam itTam prayujyate ST_3.41d
   īrṣyayā nāyakaṃ prati ST_2.32b	IrzyayA nAyakam prati ST_2.32b
   īrṣyā kula-strīṣu na nāyakasya ST_1.69a	IrzyA kula-strIzu na nAyakasya ST_1.69a
   ucite vāsake priyaḥ ST_1.79b	ucite vAsake priyaH ST_1.79b
   ujjīvati punaḥ kāmo ST_1.70c	ujjIvati punar kAmaH ST_1.70c
   utkaṇṭhayati mānasam ST_1.51bd	utkaNWayati mAnasam ST_1.51bd
   utkā bhavati sā yasyāḥ ST_1.75a	utkA Bavati sA yasyAH ST_1.75a
   utkṣipyālaka-mālikāṃ vilulitām āpāṇḍu-gaṇḍa-sthalā- ST_1.81aa	utkzipya-alaka-mAlikAm vilulitAm ApANxu--gaNxa-sTalA ST_1.81aa
   uttamānāṃ bhaved yathā ST_3.2d	uttamAnAm Bavet yaTA ST_3.2d
   uttamā madhyamādhamā ST_1.88b	uttamA maDyama-aDamA ST_1.88b
   utpaśyāmi yad evam eva ca muhur dṛṣṭiṃ sakhī-saṃmukhīṃ ST_1.44ac	utpaSyAmi yat evam eva ca muhur dRzwim saKI--saMmuKIm ST_1.44ac
   utpādye prāyaśo nahi ST_2.18d	utpAdye prAyaSas na-hi ST_2.18d
   utsāhātmā bhaved vīro ST_3.9a	utsAha-AtmA Bavet vIraH ST_3.9a
   utsāho mada eva ca ST_3.32b	utsAhaH madaH eva ca ST_3.32b
   uddiśya kāraṇaṃ kiṃcid ST_2.45c	uddiSya kAraNam kiMcid ST_2.45c
   udvegād uttameṣv api ST_3.15d	udvegAt uttamezu api ST_3.15d
   udvego'tha pralāpaḥ syād ST_2.5c	udvegaH-aTa pralApaH syAt ST_2.5c
   udvego nātra jāyate ST_3.19d	udvegaH na-atra jAyate ST_3.19d
   unmādaś ceti vijñeyā ST_3.35c	unmAdaH ca-iti vijQeyA ST_3.35c
   unmādo vyādhir eva ca ST_2.5d	unmAdaH vyADiH eva ca ST_2.5d
   unmīlan-nava-kandalāvalir asau sahyāpy asahyāyate ST_2.57bc	unmIlan-nava--kandala-AvaliH asO sahyA-api asahyAyate ST_2.57bc
   upacāraiḥ parair lekhaiḥ ST_2.25c	upacArEH parEH leKEH ST_2.25c
   uparodhāt tathā snehāt ST_1.48a	uparoDAt taTA snehAt ST_1.48a
   upāyāḥ ṣaṭ prakīrtitāḥ ST_2.43b	upAyAH zaw prakIrtitAH ST_2.43b
   upāyair vividhair nāryā ST_2.16a	upAyEH viviDEH nAryA ST_2.16a
   [u]pālambho'tha prasādanam ST_2.67b	[u]pa-AlamBaH-aTa prasAdanam ST_2.67b
   upekṣā praṇatis tathā ST_2.42b	upekzA praNatiH taTA ST_2.42b
   upekṣā sā matā yathā ST_2.47d	upekzA sA matAH yaTA ST_2.47d
   upetya tāṃ dṛḍha-parirambha-lālasa- ST_1.41aa	upetya tAm dRXa--pariramBa--lAlasa ST_1.41aa
   ullaṅghyāḸ sakhī-vacaḥ samucitām utsṛjya lajjām alaṃ ST_1.aa	ullaFGyAḸ saKI--vacaH samucitAm utsRjya lajjAm alam ST_1.aa
   ūrdhvaṃ milad-bhuja-latā-valaya-prapañca- ST_1.57ac	UrDvam milat--Buja--latA-a-valaya--prapaQca ST_1.57ac
   ekavidyo viṭaḥ proktaḥ ST_1.31a	eka-vidyaH viwaH proktaH ST_1.31a
   ekasmiṃs tu mṛte'py anyo ST_2.19a	ekasmin tu mRte-api anyaH ST_2.19a
   ekākārā matā mugdhā ST_1.46a	eka-AkArA matAH mugDA ST_1.46a
   ekākinī kaṭhina-tāraka-rāja-kāntyā ST_2.67ec	ekAkinI kaWina-tAraka--rAja--kAntyA ST_2.67ec
   ekā jyeṣṭhā kaniṣṭhānyā ST_1.47c	ekA jyezWA kanizWA-anyA ST_1.47c
   ekā veśyā punaś cāṣṭāv ST_1.87c	ekA veSyA punar ca-azwO ST_1.87c
   etat kiṃ nanu karṇa-bhūṣaṇa-mayaṃ hāraḥ sukāñcī navā- ST_2.47aa	etat kim nanu karNa-BUzaNa--mayam hAraH su-kAQcI navA ST_2.47aa
   etat tena nidarśyate ST_2.29d	etat tena nidarSyate ST_2.29d
   etasya mithunāvasthāṃ ST_2.62c	etasya miTuna-avasTAm ST_2.62c
   etasyāḥ priya-viprayoga-vidhuras tyaktvādharo rāgitāṃ ST_1.22bc	etasyAH priya-viprayoga-viDuraH tyaktvA-aDaraH rAgitAm ST_1.22bc
   etān apy adhunāsmi vajraghaṭitā nūnaṃ sahiṣye dhanān ST_2.57ad	etAn api aDunA-asmi vajra-GawitAH nUnam sahizye DanAn ST_2.57ad
   evaṃ nau surataṃ bhaviṣyati cirād adyeti sānandayā ST_1.76ac	evam nO suratam Bavizyati cirAt adya-iti sa-AnandayA ST_1.76ac
   evaṃ prāyo jano bhavet ST_2.61d	evam prAyas janaH Bavet ST_2.61d
   evaṃ saṃcāriṇo bhāvā ST_3.37a	evam saMcAriNaH BAvAH ST_3.37a
   eṣā vṛttiḥ paryoktavyā ST_3.39c	ezA vRttiH paryoktavyA ST_3.39c
   eṣāṃ prabandha-viṣayo vyavahāraḥ prāyaśo bhavet pracuraḥ ST_1.32a	ezAm prabanDa--vizayaH vyavahAraH prAyaSas Bavet pracuraH ST_1.32a
   ojasvi-gurv-akṣara-bandha-gāḍhā ST_3.40c	ojasvi-guru--akzara--banDa--gAXA ST_3.40c
   autsukyaṃ vismayo harṣo ST_3.28c	Otsukyam vismayaH harzaH ST_3.28c
   kakṣāntar-nakha-maṇḍanaṃ sakhi navaṃ pracchādyatāṃ vāsasā ST_3.39bd	kakza-antar--naKa--maNxanam saKi navam pracCAdyatAm vAsasA ST_3.39bd
   kaccāntāś ca śilīndhra-kandala-bhṛtaḥ soḍhāḥ kadambānilāḥ ST_2.57ab	kacca-antAH ca SilInDra--kandala-BRtaH soXAH kadamba-anilAH ST_2.57ab
   kaṇṭakita-tanu-śarīrā lajjā-mukulāyamāna-nayaneyam ST_1.53aa	kaNwakita-tanu--SarIrAH lajjA--mukulAyamAna-nayanA-iyam ST_1.53aa
   kaṇṭhaḥ kuṇṭhita-kāla-kūṭa-kuṭilo vastraṃ gajendrājinam ST_3.2ab	kaNWaH kuNWita--kAla-kUwa-kuwilaH vastram gaja-indra-ajinam ST_3.2ab
   katham api yathā dṛṣṭā manye kṛtaṃ śruti-laṅghanam ST_1.56ad	kaTam api yaTA dRzwAH manye kRtam Sruti-laFGanam ST_1.56ad
   kathaṃcin no tṛptis taruṇimani manye mṛga-dṛśaḥ ST_1.35ad	kaTaMcid no tRptiH taruNimani manye mRga-dRSaH ST_1.35ad
   kathaṃ bhaved asau vaśya ST_2.8c	kaTam Bavet asO vaSya ST_2.8c
   kathaṃ mamorasi kṛta-pakṣa-niḥsvanaḥ ST_2.49aa	kaTam mama-urasi kRta-pakza--niHsvanaH ST_2.49aa
   kathaṃ sa vallabhaḥ prāpyaḥ ST_2.8a	kaTam sa vallaBaH prApyaH ST_2.8a
   kadambākāreṇa priya iti samākhyāyi vapuṣā ST_2.67ad	kadamba-AkAreNa priyaH iti samAKyAyi vapuzA ST_2.67ad
   kandarpa-śara-pātādyā ST_2.59c	kandarpa-Sara--pAta-AdyA ST_2.59c
   kandarpa-śara-bhinnāyā ST_2.16c	kandarpa-Sara--BinnAyAH ST_2.16c
   kandarpaṃ haratā hareṇa bhuvanaṃ niḥsāram etat kṛtam ST_2.60ad	kandarpam haratA hareNa Buvanam niHsAram etat kRtam ST_2.60ad
   kandarpaḥ param eka eva vijayī yāte'pi kānte sthitaḥ ST_2.58bd	kandarpaH param ekaH eva vijayI yAte-api kAnte sTitaH ST_2.58bd
   kanyeyaṃ nipuṇā ratau ST_3.52b	kanyA-iyam nipuNA ratO ST_3.52b
   kanyoḍhā ceti te priye ST_1.50b	kanyA-UXA ca-iti te priye ST_1.50b
   kabandha-saṅkule kroṣṭā ST_3.41cc	kabanDa--saFkule krozwA ST_3.41cc
   kampaś cādhara-pallave viracitaḥ kāmaṃ kuraṅgīdṛśā ST_2.32ac	kampaH ca-aDara--pallave viracitaH kAmam kuraFgI-dRSA ST_2.32ac
   kampoparuddha-sarvāṅgair ST_3.12ca	kampa-uparudDa--sarva-aFgEH ST_3.12ca
   karuṇaḥ syāt sa cānyathā ST_2.63d	karuNaH syAt sa ca-anyaTA ST_2.63d
   karuṇenānumoditaḥ ST_2.64b	karuNena-anumoditaH ST_2.64b
   karuṇo'asau smṛto yathā ST_2.60d	karuNaH-aasO smRtaH yaTA ST_2.60d
   karuṇo raudra-karmataḥ ST_3.22b	karuNaH rOdra-karmataH ST_3.22b
   karuṇau vairiṇau mithaḥ ST_3.21d	karuNO vEriNO miTas ST_3.21d
   karoti śruto'py alam ST_1.50db	karoti SrutaH-api alam ST_1.50db
   karpūra-reṇur upagūḍham uro natāṅgi ST_2.60db	karpUra--reNuH upagUXam uraH nata-aFgi ST_2.60db
   karpūraṃ kirati prayāti na ratiṃ prāleya-dhārā-gṛhe ST_2.9ab	karpUram kirati prayAti na ratim prAleya--DArA--gRhe ST_2.9ab
   karpūrābhibhava-pracaṇḍa-paṭimā gaṇḍa-sthale pāṇḍimā ST_2.14ab	karpUra-aBiBava--pracaNxa--pawimA gaNxa-sTale pANximA ST_2.14ab
   kalayati ca yad-antaḥ-kampatāmūru-kāṇḍaṃ ST_2.67gc	kalayati ca yat--antaH--kampatAm-Uru--kANxam ST_2.67gc
   kalākalāpa-kuśalās ST_1.33c	kalA-kala-apa-kuSalAH ST_1.33c
   kalā-kauśalam utsāho ST_2.66a	kalA--kOSalam utsAhaH ST_2.66a
   kalāsu kuśalo yathā ST_1.48d	kalAsu kuSalaH yaTA ST_1.48d
   kalpaḥ kalāvit taruṇo dhanāḍhyaḥ ST_1.23b	kalpaH kalA-vid taruNaH Dana-AXyaH ST_1.23b
   kavayaḥ kāminaś ca ye ST_3.55d	kavayaH kAminaH ca ye ST_3.55d
   kavinā nāyikāśritāḥ ST_1.94d	kavinA nAyikA-ASritAH ST_1.94d
   kavibhir na pradarśitaḥ ST_1.46d	kaviBiH na pradarSitaH ST_1.46d
   kavibhir nopadiśyate ST_2.29b	kaviBiH na-upadiSyate ST_2.29b
   kavīnāṃ ca viśeṣoktyā ST_1.93c	kavInAm ca viSeza-uktyA ST_1.93c
   kaścid guṇo bhavati yadyapi sampratīha ST_1.3b	kaScid guNaH Bavati yadi-api samprati-iha ST_1.3b
   kaṣṭāvastho dvayor api ST_2.57d	kazwa-avasTaH dvayoH api ST_2.57d
   kasyāścit subhaga iti śrutaś ciraṃ yas taṃ ST_1.50ca	kasyAScid suBagaH iti SrutaH ciram yaH tam ST_1.50ca
   kāñcyādi racayet punaḥ ST_1.56b	kAQcI-Adi racayet punar ST_1.56b
   kāntasyāpriya-kāriṇīti bhavatī taṃ vakti doṣābilaṃ ST_1.26ac	kAntasya-apriya-kAriNI-iti BavatI tam vakti doza-abilam ST_1.26ac
   kāntā-bhedaḥ sa ucyate ST_2.46d	kAntA--BedaH saH ucyate ST_2.46d
   kānte kiṃ kupitāsi kaḥ para-jane prāṇeśa kopo bhavet ST_1.89aa	kAnte kim kupitA-asi kaH para--jane prANeSa kopaH Bavet ST_1.89aa
   kānte tathā katham api prathitaṃ mṛgākṣyā ST_1.39da	kAnte taTA kaTam api praTitam mRga-akzyA ST_1.39da
   kānte vicitra-surata-krama-baddha-rāg ST_1.22ca	kAnte vicitra--surata--krama-badDa--rAj ST_1.22ca
   kānyā kāvya-kathā kīdṛg ST_3.56a	kA-anyA kAvya--kaTA kIdRS ST_3.56a
   kāmaṃ karṇa-kaṭuḥ kuto'timadhuraḥ kekā-ravaḥ kekināṃ ST_2.57ba	kAmam karNa-kawuH kutas-ati-maDuraH kekA--ravaH kekinAm ST_2.57ba
   kāmaṃ na paśyati didṛkṣata eva bhūmnā ST_1.52aa	kAmam na paSyati didRkzate eva BUmnA ST_1.52aa
   kāmāt sukha-phalodayaḥ ST_1.20b	kAmAt suKa--Pala-udayaH ST_1.20b
   kāmārte bhavato yathā ST_1.50d	kAma-Arte BavataH yaTA ST_1.50d
   kāminīnāṃ priyaṃ prati ST_2.33b	kAminInAm priyam prati ST_2.33b
