   // śrīḥ //	// SrIH //
   alaṅkārasarvasvam	alaFkAra-sarvasvam
   rasavatpreyaḥprabhṛtau tu rasabhāvādirvācyaśobhāhetutvenoktaḥ /	rasavat-preyaH-praBRtO tu rasa-BAva-AdiH-vAcya-SoBA-hetutvena-uktaH /
   taditthaṃ trividhamapi pratīyamānamalaṅkāratayā khyāpitameva /	tat-itTam triviDam-api pratIyamAnam-alaFkAra-tayA KyApitam-eva /
   [RuAss_Bhū.1]	[RuAsH-_BhU.1]
   vāmanena tu sādṛśyanibandhanāyā lakṣaṇāya vakroktyalaṅkāratvaṃ bruvatā	vAmanena tu sAdRSya-nibanDanAyAH lakzaNAya vakra-ukti-alaFkAra-tvam bruvatA
   kaściddhvanibhedo 'laṅkāratayaivoktaḥ /	kaScid-Dvani-BedaH alaFkAra-tayA-eva-uktaH /
   kevalaṃ guṇaviśiṣṭapadaracanātmikā rītiḥ kāvyātmakatvenoktā /	kevalam guNa-viSizwa-pada-racanA-AtmikA rItiH kAvya-Atmaka-tvena-uktAH /
   udbhaṭādibhistu guṇālaṅkārāṇāṃ prāyaśaḥ sāmyameva sūcitam /	udBawa-AdiBiH-tu guNa-alaFkArANAm prAyaSas sAmyam-eva sUcitam /
   viṣayamātreṇa bhedapratipādanāt /	vizaya-mAtreNa Beda-pratipAdanAt /
   saṃghaṭanādharmatvena ceṣṭeḥ /	saMGawana-aDarma-tvena cezweH /
   tadevamalaṅkārā eva kāvye pradhānamiti prācyānāṃ matam / [RuAss_Bhū.2]	tat-evam-alaFkArAH eva kAvye praDAnam-iti prAcyAnAm matam / [RuAsH-_BhU.2]
   vakroktijīvitakāraḥ punarvaidagdhyabhaṅgībhaṇitisvabhāvāṃ bahuvidhāṃ	vakra-ukti-jIvita-kAraH punar-vEdagDya-BaFgI-BaNiti-svaBAvAm bahuviDAm
   vakroktimevaprādhānyātkāvyajīvitamuktavān /	vakra-uktim-eva-prADAnyAt-kAvya-jIvitam-uktavAn /
   vyāpārasya prādhānyaṃ ca [kāvyasya] pratipede /	vyApArasya prADAnyam ca [ka-avyasya] pratipede /
   abhidhānaprakāraviśeṣā eva cālaṅkārāḥ /	aBiDAna-prakAra-viSezAH eva ca-alaFkArAH /
   satyapi tribhede pratīyamāne vyāpārarūpā bhaṇitireva kavisaṃrambhagocaraḥ	sati-api tri-Bede pratIyamAne vyApAra-rUpA BaNitiH-eva kavi-saMramBa-gocaraH
   upacāravakratādibhiḥ samasto dhvaniprapañcaḥ svīkṛtaḥ /	upacAra-vakrata-AdiBiH samastaH DvaniprapaQcaH svIkRtaH /
   kevalamuktivaicitryajīvitaṃ kāvyaṃ, na vyaṅgyārthajīvitamiti tadīyaṃ	kevala-mukti-vEcitrya-jIvitam kAvyaM, na vyaFgya-arTa-jIvitam-iti tadIyam
   darśanaṃ vyavasthitam / [RuAss_Bhū.3]	darSanam vyavasTitam / [RuAsH-_BhU.3]
   bhaṭṭanāyakena tu vyaṅgyavyāpārasya prauḍhoktyābhyupagatasya kāvyaṃśatvaṃ	Bawwa-nAyakena tu vyaFgya-vyApArasya prOXa-uktyA-aByupagatasya kAvyaMSa-tvam
   bruvatā nyagbhāvitaśabdārthasvarūpasya vyāpārasyaiva prādhānyamuktam /	bruvatA nyak-BAvita-Sabda-arTa-svarUpasya vyApArasya-eva prADAnyam-uktam /
   tatrāpyabhidhābhāvakatvalakṣaṇavyāpāradvayottīrṇo rasacarvaṇātmā	tatra-api-aBiDA-BAvaka-tva-lakzaNa-vyApAra-dvaya-uttIrNaH rasacarvaNa-AtmA
   bhogāparaparyāyovyāpāraḥ prādhānyena viśrāntisthānatayāṅgīkṛtaḥ /	Boga-apara-paryAyaH-vyApAraH prADAnyena viSrAnti-sTAna-tayA-aFgIkRtaH /
   [RuAss_Bhū.4]	[RuAsH-_BhU.4]
   dhvanikāraḥ punarabhidhātātparyalakṣaṇākhyavyāpāratrayottīrṇasya	Dvani-kAraH punar-aBiDAtAt-parya-lakzaNa-AKya-vyApAra-traya-uttIrNasya
   dhvananadyotanādiśabdābhidheyasya vyañjanavyāpārasyāvaśyābhyupagamyatvād	Dvananadyotana-Adi-Sabda-aBiDeyasya vyaQjana-vyApArasya-avaSya-aByupagamya-tvAt-
   vyāpārasya ca vākyārthatvābhāvād vākyārthasyaiva ca vyāṅgyarūpasya	vyApArasya ca vAkya-arTa-tva-aBAvAt vAkya-arTasya-eva ca vyAFgya-rUpasya
   guṇālaṅkāropaskartavyatvena prādhānyād viśrāntidhāmatvādātmatvaṃ	guNa-alaFkAra-upaskartavya-tvena prADAnyAt viSrAnti-DAma-tvAt-Atma-tvam
   sidhdāntitavān /	siDdA-antitavAn /
   vyāpārasya viṣayamukhena svaruṇpratilambhāt tatprādhānyena prādhānyāt	vyApArasya vizaya-muKena svaruz-pratilamBAt tad-prADAnyena prADAnyAt-
   svarūpeṇa vicāryatvābhāvād viṣayasyaiva samagrabharasahiṣṇutvam /	svarUpeNa vicArya-tva-aBAvAt vizayasya-eva samagra-Bara-sahizNu-tvam /
   tasmād viṣaya eva vyaṅgyanāmā jīvitatvena vaktavyaḥ,yasya	tasmAt vizayaH eva vyaFgya-nAmA jIvita-tvena vaktavyaH,yasya
   guṇālaṅkārakṛtacārutvaparigrahasābhrājyam /	guNa-alaFkAra-kRta-cAru-tva-parigraha-sABrAjyam /
   rasādayastu jīvitabhūtā nālaṅkāratvenavācyāḥ /	rasa-AdayaH-tu jIvita-BUtAH na-alaFkAra-tvena-vAcyAH /
   alaṅkārāṇāmupaskārakatvād,rasādīnāṃ ca prādhānyenopaskāryatvāt /	alaFkArANAm-upaskAraka-tvAt-,rasa-AdInAm ca prADAnyena-upaskArya-tvAt /
   tasmād vyaṅgya eva vākyārthībhūtaḥ kāvyajīvitamityeṣa eva pakṣo	tasmAt vyaFgyaH eva vAkya-arTIBUtaH kAvya-jIvitam-iti-eza eva pakzaH-
   vākyārthavidāṃ sahṛdayānāmāvarjakaḥ /	vAkya-arTa-vidAm sahRdayAnAm-AvarjakaH /
   vyañjanavyāpārasya sarvairanapahnutatvāt tadāśrayeṇa ca	vyaQjana-vyApArasya sarvEH-anapahnuta-tvAt tad-ASrayeNa ca
   pakṣāntarasyāpratiṣṭānāt / [RuAss_Bhū.5]	pakza-antarasya-apratizwAnAt / [RuAsH-_BhU.5]
   yattu vyaktivivekakāro vācyasya pratīyamānaṃ prati liṅgatayā	yat-tu vyakti-viveka-kAraH vAcyasya pratIyamAnam prati liFga-tayA
   vyañjanasyānumānāntarbhāvamākhyat tad vācyasya pratīyamānena saha	vyaQjanasya-anumAna-antar-BAvam-AKyat tat vAcyasya pratIyamAnena saha
   tādāpmyatadutpattyabhāvādavicāritābhidhānam /	tAdApmya-tad-utpatti-aBAvAt-avicArita-aBiDAnam /
   tadetatkuśāgradhiṣaṇaiḥ kṣodanīyamatigahanamiti neha pratanyate /	tat-etat-kuSa-agra-DizaNEH kzodanIyam-ati-gahanam-iti na-iha pratanyate /
   [RuAss_Bhū.6]	[RuAsH-_BhU.6]
   astiṃ tāvad vyaṅgyaniṣṭo vyañjanavyāpāraḥ /	astim tAvat vyaFgya-nizwaH vyaQjana-vyApAraH /
   tatra vyaṅgyasya prādhānyāprādhānyābhyāṃ dhvaniguṇībhūtavyaṅgyākhyau dvau	tatra vyaFgyasya prADAnya-aprADAnyAByAm Dvani-guNIBUta-vyaFgyA-AKyO dvO
   kāvyabhedau /	kAvya-BedO /
   vyaṅgyasyāsphuṭatve 'laṅkārattvena citrākhyaḥ kāvyabhedastṛtīyaḥ /	vyaFgyasya-asPuwa-tve alaFkArat-tvena citra-AKyaH kAvya-BedaH-tRtIyaH /
   tatrottamo dhvaniḥ /	tatra-uttamaH DvaniH /
   tasya	tasya
   lakṣaṇābhidhāmūlatvenāvivakṣitavācyavivakṣitānyaparavācyavivakṣitānyaparavācyākhyau	lakzaNa-aBiDA-mUla-tvena-avivakzita-vAcya-vivakzitAni-apara-vAcya-vivakzitAni-apara-vAcI-AKyO
   dvau bhedau /	dvO BedO /
   ādyo 'pyarthāntarasaṃkramasaṃsalakṣyakramitavācyātyāntatiraskṛtavācyatvena	AdyaH api-arTa-antara-saMkrama-saMsalakzya-kramita-vAcyA-atyAnta-tiraskRta-vAcya-tvena
   dvividhaḥ /	dviviDaH /
   dvitīyo 'pyasaṃlakṣyakramasaṃlakṣyakramavyaṅgyatayā dvividhaḥ /	dvitIyaH api-asaMlakzya-krama-saMlakzya-krama-vyaFgya-tayA dviviDaH /
   lakṣaṇāmūlaḥ śabdaśaktimūlo vastudhvaniḥ,asaṃlakṣyakramavyaṅgyaḥ	lakzaNA-mUlaH Sabda-Sakti-mUlaH vastu-DvaniH,a-saMlakzya-krama-vyaFgyaH
   arthaśaktimūlo rasādidhvaniḥ /	arTaSakti-mUlaH rasa-Adi-DvaniH /
   saṃlakṣyakramavyaṅgyaḥ śabdārthobhayaśaktimūlo	saMlakzya-krama-vyaFgyaH Sabda-arTa-uBaya-Sakti-mUlaH-
   vastudhvaniralaṅkāradhvaniśceti /	vastu-DvaniH-alaFkAra-DvaniH-ca-iti /
   tatra rasādidhvaniralaṅkāramañjaryāṃ darśitaḥ, kāvyasya	tatra rasa-Adi-DvaniH-alaFkAramaQjaryAm darSitaH, kAvyasya
   śṛṅgārapradhānatvāt /	SRFgAra-praDAna-tvAt /
   śiṣṭastu yathāvasaraṃ tatraiva vibhaktaḥ /	SizwaH-tu yaTAvasaram tatra-eva viBaktaH /
   guṇībhūtavyaṅgyo vācyāṅgatvādibhedairyathāsaṃbhavaṃ samāsoktyādau darśitaḥ	guNIBUta-vyaFgyaH vAcya-aFga-tva-Adi-BedEH-yaTAsaMBavam samAsa-ukti-AdO darSitaH
   / [RuAss_Bhū.7]	/ [RuAsH-_BhU.7]
   START Sūtra 1:	START SUtra 1:
   citraṃ tu śabdārthāṃlakārasvabhāvatayā bahutaraprabhedam /	citram tu Sabda-arTa-aMlakAra-svaBAva-tayA bahutara-praBedam /
   tathā hi-	taTA hi-
   ihārthapaunaruktyaṃ śabdapaunaruktyaṃ śabdārthapaunaruktyaṃ ceti trayaḥ	iha-arTa-pOnaruktyam Sabda-pOnaruktyam Sabda-arTa-pOnaruktyam ca-iti trayaH
   paunaruktyaprakārāḥ // RuAss_1 //	pOnarukti-aprakArAH // RuAsH-_1 //
   ādau paunaruktyaprakāraravacanaṃ vakṣyamāṇālaṅkārāṇāṃ	AdO pOnarukti-aprakAraravacanam vakzyamANa-alaFkArANAm
   kakṣāvibhāgaghaṭanārtham /	kakzA-viBAga-Gawana-arTam /
   arthāpekṣayā śabdasya pratītāvantaraṅgatve 'pi	arTa-apekzayA Sabdasya pratItO=-antaraFga-tve api
   prathamamarthatadharmanirdeśaścirantanaprasiddhyā punaruktakavadābhāsasya	praTamam-arTata-Darma-nirdeSaH-cirantana-prasidDyA punaruktaka-vat-ABAsasya
   pūrvaṃ lakṣaṇārthaḥ /	pUrvam lakzaNa-arTaH /
   ihaśabdaḥ pratthāne /	iha-SabdaH pratTAne /
   itiśabdaḥ prakāre, triśabdādeva saṃkhyāparisamātpisiddheḥ /	iti-SabdaH prakAre, tri-SabdAt-eva saMKyA-parisamAt-pi-sidDeH /
   START Sūtra 2:	START SUtra 2:
   tatrārthapaunaruktyaṃ praruḍhaṃ doṣaḥ // RuAss_2 //	tatra-arTa-pOnaruktyam praruXam dozaH // RuAsH-_2 //
   praruḍhāpraruḍhatvena dvaividhyam /	praruXA-praruXa-tvena dvEviDyam /
   prathamaṃ heyavacanamupādeye viśrāntyartham /	praTamam heya-vacanam-upAdeye viSrAnti-arTam /
   tatreti trayanirdhāraṇe /	tatra-iti traya-nirDAraNe /
   yathāvabhāsanaviśrāntiḥ prarohaḥ /	yaTA-avaBAsana-viSrAntiH prarohaH /
   START Sūtra 3:	START SUtra 3:
   āmrukhāvabhāsanaṃ punaḥ punaruktavadābhāsam // RuAss_3 //	AmruKa-avaBAsanam punar punar-ukta-vat-ABAsam // RuAsH-_3 //
   āmukhagrahaṇaṃ paryavasāne 'nyathātvapratipattyartham /	AmuKa-grahaNam paryavasAne anyaTAtva-pratipatti-arTam /
   lakṣyanirdeśe nāpuṃsakaḥ saṃskāro laukikālaṅkāravaidharyeṇa	lakzya-nirdeSe na-apuMsakaH saMskAraH lOkika-alaFkAra-vEDaryeNa
   kāvyālaṅkāraṇāmalaṅkāryaṃpāratantryadhvananārthaḥ /	kAvya-alaFkAraNAm-alaFkAryaMpAratantrya-Dvanana-arTaH /
   arthapaunaruktyādevārthīśritatvādarthālaṅkāratvaṃ jñeyam /	arTa-pOnaruktyA-deva-arTI-Srita-tvAt-arTa-alaFkAra-tvam jQeyam /
   prabhedāstu vistarabhayānnocyante /	praBedAH-tu vistara-BayAt-na-ucyante /
   udāharaṇaṃ madīye śrīkaṇṭhastave yathā-	udAharaNam madIye SrIkaNWa-stave yaTA-
   "ahīnabhujagādhīśavapurvalayakaṅkuṇam /	"a-hIna-Bujaga-aDISa-vapuH-valaya-kaFkuNam /
   śailādinandicaritaṃ kṣatakandarpadarpakam //	SElAdi-nandi-caritam kzata-kandarpa-darpakam //
   vṛṣapuṅgavalakṣmāṇaṃ śikhipāvakalocanam /	vRza-puFgava-lakzmANam SiKi-pAvaka-locanam /
   sasarvamaṅgalaṃ naumi pārvatīsakhamīśvaram" //	sa-sarva-maFgalam nOmi pArvatI-saKam-ISvaram" //
   'dīruṇaḥ kāṣṭhato jāto bhasmabhūtikaraḥ paraḥ /	adIruNaH kAzWataH jAtaH Basma-BUti-karaH paraH /
   raktaśoṇārciruccaṇḍaḥ pātu vaḥ pāvakaḥ śikhī' //	rakta-SoNa-arciH-uccaNxaH pAtu vaH pAvakaH SiKI-a //
   bhujaṅgakuṇḍalī vyaktaśāśiśubhrāṃśuśītaguḥ /	BujaFga-kuNxalI vyakta-SASi-SuBra-aMSu-SItaguH /
   jagantyapi sadāpāyādavyāccetoharaḥ śivaḥ" //	jaganti-api sadA-apAyAt-avyAt-cetaH-haraH SivaH" //
   START Sūtra 4:	START SUtra 4:
   śabdapaunaruktyaṃ vyañjanamātrapaunaruktyaṃ	Sabda-pOnaruktyam vyaQjana-mAtra-pOnaruktyam
   svaravyañjanasamudāyapaunaruktyaṃ ca // RuAss_4 //	svara-vyaQjana-samudAya-pOnaruktyam ca // RuAsH-_4 //
   alaṃkāraprastāve kevalaṃ svarapaunaruktyamacārutvānna gaṇyate iti	alaMkAra-prastAve kevalam svara-pOnaruktyam-acAru-tvAt-na gaNyate iti
   dvaividhyameva /	dvEviDyam-eva /
   START Sūtra 5:	START SUtra 5:
   saṃkhyāniyame pūrvaṃ chekānuprāsaḥ // RuAss_5 //	saMKyA-niyame pUrvam Ceka-anuprAsaH // RuAsH-_5 //
   dvayorvyañjanasamudāyayoḥ parasparamanaikadhā sādṛśyaṃ saṃkhyāniyamaḥ /	dvayoH-vyaQjana-samudAyayoH parasparam-anEkaDA sAdRSyam saMKyA-niyamaH /
   pūrvaṃ vyañjamasamudāyāśritaṃ yathā-	pUrvam vyaQjama-samudAya-ASritam yaTA-
   'kiṃ nāma dardura duradhyavasāya sāyaṃ kāyaṃ nipīḍya ninadaṃ kuruṣe ruṣeva	akim nAma dardura duraDyavasAya sAyam kAyam nipIxya ninadam kuruze ruzA-iva
   etāni kelirasitāni sitacchadānāmākarṇya kārṇamadhurāṇi na lajjito 'si' //	etAni keli-rasitAni sitacCadAnAm-AkarNya kArNa-maDurANi na lajjitaH asi-a //
   atra sāyaṃśabdenāsyālaṅkārasya yakāramātrasādṛśyāpekṣayā vṛttyanuprāsena	atra sAyaMSabdena-asya-alaFkArasya yakAra-mAtra-sAdRSya-apekzayA vRtti-anuprAsena
   sahaikābhidhānalakṣaṇaḥ saṃkaraḥ /	saha-eka-aBiDAna-lakzaNaH saMkaraH /
   chekā vidagdhāḥ /	CekAH vidagDAH /
   START Sūtra 6:	START SUtra 6:
   anyathā tu vṛttyatanuprāsaḥ // RuAss_6 //	anyaTA tu vRtti-atanu-prAsaH // RuAsH-_6 //
   kevalavyañjanamātrasādṛśyamekadhā samudāyasādṛśyaṃ tryādīnāṃ ca	kevala-vyaQjana-mAtra-sAdRSyam-ekaDA samudAya-sAdRSyam tri-AdInAm ca
   parasparasādṛśyamānyathābhāvaḥ /	paraspara-sAdRSyamAnI-aTa-aBAvaH /
   vṛttistu rasaviṣayo vyāpāraḥ /	vRttiH-tu rasa-vizayaH vyApAraH /
   tadvatī punarvarṇaracanehavṛttiḥ /	tadvatI punar-varNa-raca-nA-iha-vRttiH /
   sa ca paruṣakomalamadhyamavarṇārabdhatvāttridhā /	sa ca paruza-komala-maDyama-varNa-ArabDa-tvAt-triDA /
   tadupalakṣito 'yamanuprāsaḥ /	tad-upalakzitaH ayam-anuprAsaH /
   yathā-	yaTA-
   'āṭopena paṭīyayasā yadapi sā vāṇī kaverāmukhe khelantī prathame tathāpi	aAwopena pawIyayasA yat-api sA vANI kaverAmuKe KelantI praTame taTA-api
   kurute no sanmanorañjanam /	kurute no sat-manoraQjanam /
   na syādyāvadamandasundaraguṇālaṅkārajhaṅkāritaḥ	na syAt-yAvat-aman-da-sundara-guNa-alaFkAra-JaFkAritaH
   saprasyandilasāyanarasāsārānusārī rasaḥ' //	sa-prasyandilasAyana-rasa-AsAra-anusArI rasaH-a //
   yathā vā-	yaTA vA-
   'sahyāḥ pannagaphūtkṛtānalaśikhā nārācapālyo 'pi vā rākendoḥ kiraṇā	asahyAH pannaga-PUtkRta-anala-SiKA nArAca-pAlyaH api vA rAkA-indoH kiraNA
   viṣadravamuco varṣāsu vā vāyavaḥ /	viza-drava-mucaH varzAsu vA vAyavaH /
   na tvetāḥ saralāḥ sitāsitarucaḥ sācīkṛtāḥ sālasāḥ sākūtāḥ samadāḥ	na tu-etAH saralAH sita-asita-rucaH sAcIkRtAH sAlasAH sa-AkUtAH sa-madAH
   kuraṅgakadṛśāṃ mānānuvidhdā dṛśaḥ' //	kuraFga-kadRSAm mAna-anuviDdA dRSaH-a //
   START Sūtra 7:	START SUtra 7:
   svaravyañjamasamudāyapaunaruktyaṃ yamakam // RuAss_7 //	svara-vyaQjama-samudAya-pOnaruktyam yamakam // RuAsH-_7 //
   atra kvacidbhinnārthatvaṃ kvicidabhinnārthatvaṃ	atra kvacid-Binna-arTa-tvam kvicid-aBinna-arTa-tvam
   kacidekasyānarthakatvamaparasya sārthakatvamiti saṃkṣepataḥ prakāratrayam	kacid-ekasya-anarTaka-tvam-aparasya sArTaka-tvam-iti saMkzepataH prakAra-trayam
   yathā-	yaTA-
   'yo yaḥ paśyati tannetre rucire vanajāyate /	ayaH yaH paSyati tat-netre rucire vanajAyate /
   tasya tasyānyanetreṣu rucireva na jāyate' //	tasya tasya-anya-netrezu ruciH-eva na jAyate-a //
   idaṃ sārthakatve /	idam sArTaka-tve /
   evamanyajjheyam /	evam-anyat-Jeyam /
   START Sūtra 8:	START SUtra 8:
   "śabdārthapaunaruktyāṃ praruḍhaṃ doṣaḥ" // RuAss_8 //	"Sabda-arTa-pOnaruktyAm praruXam dozaH" // RuAsH-_8 //
   praruḍhagrahaṇaṃ vakṣyamāṇaprabhedavailakṣaṇyārtham /	praruXa-grahaNam vakzyamANa-praBeda-vElakzaNya-arTam /
   yadāhuḥ-'śabdārthayoḥ punarvacanaṃ punaruktamanyatrānuvādāt' /	yat-AhuH--aSabda-arTayoH punarvacanam punaruktam-anyatra-anuvAdAt-a /
   iti /	iti /
   START Sūtra 9:	START SUtra 9:
   'tātparyabhedavattu lāṭānuprāsaḥ' // RuAss_9 //	atAtparyaBeda-vat-tu lAwa-anuprAsaHa // RuAsH-_9 //
   tātparyamanyaparatvam /	tAtparyamanya-paratvam /
   tadeva bhidyate, na śabdārtha-svarūpam /	tat-eva Bidyate, na Sabda-arTa--svarUpam /
   yathā-	yaTA-
   'tālā jaanti guṇā jālā de sahiaehiṃ gheppanti /	atAlAH jaanti guNAH jAlAH de sahiaehim Geppanti /
   raikiraṇāṇugāhiāiṃ hāenti kamalāiṃ kamalāiṃ' //	rEkiraNa-aNugAhiAim hAenti kamalAim kamalAina //
   ['tadā jāyante guṇāḥ yadā te sahṛdayairgṛyairgṛhyante /	[-atadAH jAyante guNAH yadA te sahRdayEH-gRyEH-gRhyante /
   ravikiraṇānugṛhītāni bhavanti kamalāni kamalāni'] //	ravi-kiraNa-anugRhItAni Bavanti kamalAni kamalAni-a] //
   'brūmaḥ kiyannaya kathañcana kālamalpam atrābjapatranayane nayane nimīlya	abrUmaH kiyan-naya kaTaQcana kAlam-alpam atra-abja-patra-nayane nayane nimIlya
   hemāmbujaṃ taruṇi tattarasāpahṛtya devadviṣo 'yamahamāgata ityavehi' //	hema-ambujam taruNi tat-tarasA-apahRtya deva-dvizaH ayam-aham-AgataH iti-avehi-a //
   ityādau vibhakttayāderapaunaruktye 'pi	ityAdO viBakttayA-AdeH-apOnaruktye api
   bahutaraśabdārthapaunaruktyāllāṭānuprāsatvameva /	bahutara-Sabda-arTa-pOnaruktyAt-lAwa-anuprAsa-tvam-eva /
   'kāśāḥ kāśā ivābhānti sarāṃsīva sarāṃsi ca /	akASAH kASAH iva-ABAnti sarAMsi-iva sarAMsi ca /
   cetāṃsyācikṣipuryūnāṃ nimragā nimragā iva' //	cetAMsi-AcikzipuH-yUnAm nimragAH nimragAH iva-a //
   ityādāvananvayena sahāsyaikābhidhānalakṣaṇo na saṃkaraḥ /	iti-AdO=-ananvayena saha-asya-eka-aBiDAna-lakzaNaH na saMkaraH /
   anyonyāpekṣayā śabdārthagatatvenārthamātragatatvena ca	anyonya-apekzayA Sabda-arTa-gata-tvena-arTa-mAtra-gata-tvena ca
   vyavasthikerbhinnaviṣayatvāt /	vyavasTikeH-Binna-vizaya-tvAt /
   'ananvaye ca śabdaikyamaucityādānuṣaṅgikam /	aananvaye ca Sabda-Ekyam-OcityAt-AnuzaFgikam /
   asmiṃstu lāṭānuprāse sākṣādeva prayojakam' //	asmin=-tu lAwa-anuprAse sAkzAt-eva prayojakam-a //
   START Sūtra 10:	START SUtra 10:
   tadevaṃ paunaruktye pañcālaṅkārāḥ // RuAss_10 //	tat-evam pOnaruktye paQca-alaFkArAH // RuAsH-_10 //
   nigadavyākhyātametat /	nigada-vyAKyAtam-etat /
   START Sūtra 11:	START SUtra 11:
   varṇānāṃ khaṅgādyakṛtihetutve citram // RuAss_11 //	varNAnAm KaFga-Adi-akRti-hetu-tve citram // RuAsH-_11 //
   paunaruktakyaprastāve sthānaviśeṣaśliṣṭavarṇapaunaruktyātmakaṃ	pOnaruktakya-prastAve sTAna-viSeza-Slizwa-varNa-pOnarukti-Atmakam
   citravacanam /	citra-vacanam /
   yadyapi lipyakṣarāṇāṃ khaṅgādisaṃniveśaviśiṣṭatvaṃ tathāpi	yadi-api lipya-kzarANAm KaFga-Adi-saMniveSa-viSizwa-tvam taTA-api
   śrotrākāśasamavetavarṇātmakaśabdābhedena teṣāṃ loke	Srotra-AkASa-samaveta-varNa-Atmaka-Sabda-aBedena tezAm loke
   pratītervācakaśabdālaṅkāro 'yam /	pratIteH-vAcaka-Sabda-alaFkAraH ayam /
   ādiprahaṇād yathāvyutpattisaṃbhavaṃ padmabandhādiparigrahaḥ /	Adi-prahaNAt yaTAvyutpatti-saMBavam padma-banDa-Adi-parigrahaH /
   yathā-	yaTA-
   'bhāsate pratibhāsāra rasābhātā hatāvibhā /	aBAsate pratiBAsAra rasa-aBAtA hata-aviBA /
   bhāvitātmāśubhāvāde devābhā bata sabhā' //	BAvitAtma-aSuBAvAde deva-ABAH bata saBA-a //
   eṣo 'ṣṭadalapadmabanadhaḥ /	ezaH azwadala-padma-banaDas /
   atra digdaleṣu nirgamapraveśābhyāṃ śliṣṭākṣaratvam /	atra diS-dalezu nirgama-praveSAByAm Slizwa-akzara-tvam /
   vivigdaleṣu tvanyathā /	vivigdalezu tu-anyaTA /
   karṇikākṣaraṃ tu śliṣṭameva /	karNikA-akzaram tu Slizwam-eva /
   START Sūtra 12:	START SUtra 12:
   upamānopameyayoḥ sādharmye bhedābhedatulyatve upamā // RuAss_12 //	upamAna-upameyayoH sADarmye Beda-aBeda-tulya-tve upamAH // RuAsH-_12 //
   arthālaṅkāraprakaraṇamidam /	arTa-alaFkAra-prakaraNam-idam /
   upamānopameyayorityapratītopamānopameyaniṣedhārtham /	upamAna-upameyayoH-iti-apratIta-upamAna-upameya-nizeDa-arTam /
   sādhrmye trayaḥ prakārāḥ /	sADrmye trayaH prakArAH /
   bhedaprādhānyaṃ vyatirekādivat /	Beda-prADAnyam vyatireka-Adi-vat /
   abhedaprādhānyaṃ rūpakādivat /	aBeda-prADAnyam rUpaka-Adi-vat /
   dvayostulyatvaṃ yathāsyām /	dvayoH-tulya-tvam yaTA-asyAm /
   yadāhuḥ-'yatra kiñcitsāmānyaṃ kaściñca viśeṣaḥ sa viṣayaḥ sadṛśatāyāḥ' iti	yat-AhuH--ayatra kiQcid-sAmAnyam kaSciQca viSezaH sa vizayaH sadRSa-tAyAH-a iti
   upamaivanekaprakāravaicitryeṇānekālaṅkārabūjabhūteti prathamaṃ nirdiṣṭā /	upamEvaneka-prakAra-vEcitryeNa-aneka-alaFkAra-bUja-BUtA-iti praTamam nirdizwA /
   asyāśca pūrṇālutpātvabhedāñcirantanairbahuvidhanvamuktam /	asyAH-ca pUrNa-alutpAtu-a-Beda-aQcirantanEH-bahuviDan-vamuktam /
   tatrāpi sādhāraṇadharmsya kvacidanurāgāmitayaikarūpyeṇa nirdeśaḥ,	tatra-api sADAraNa-Darmsya kvacid-anurAgAmitayA-eka-rUpyeNa nirdeSaH,
   kvacidvastuprativastubhāvena pṛthaṅnirdeśaḥ /	kvacid-vastu-prativastu-BAvena pRTak-nirdeSaH /
