   śrīvyāsatīrtharacitam	SrI vyAsa tIrTa racitam
   20 maṇyādyabhimatagubjaśaktibhaṅgaḥ 200	20 maNi a Adi aBimata gubja Sakti BaFgaH 200
   21 bhaṭṭābhimatābhihitānvayabhaṅgaḥ 206	21 Bawwa aBimata aBihita anvaya BaFgaH 206
   22 anvayasya lakṣyatvabhaṅgaḥ 216	22 anvayasya lakzya tva BaFgaH 216
   23 prabhākaroktapadaśaktabhaṅgaḥ 218	23 praBAkara ukta pada Sakta BaFgaH 218
   24 bhaṭṭoktavyaktilakṣaṇabhaṅgaḥ 229	24 Bawwa ukta vyakti lakzaNa BaFgaH 229
   25 bhaṭṭoktavyaktyāpekṣabhaṅgaḥ 233	25 Bawwa ukta vyaktyA apekza BaFgaH 233
   26 naiyāyikoktapadaśktibhaṅgaḥ 238	26 nEyAyikA ukta pada Skti BaFgaH 238
   27 svamate padaśaktinirṇayaḥ 247	27 sva mate pada Sakti nirNayaH 247
   28 saṃketasaṃbandhabhaṅgaḥ 255	28 saMketa saMbanDa BaFgaH 255
   jātivādaḥ	jAtivAdaH
   29 anugatajātyabhāvepi śaktivyāptyādigrahaṇasama 	29 anugata jAti aBAva ipi Sakti vyApti Adi grahaNa sama 
   rthanam 259	rTanam 259
   30 svarṇaghaṭatvādipratibandī 290	30 svarNa Gawa tva Adi pratibandI 290
   31 anugatajātau bādhakam 295	31 anugata jAtO bADakam 295
   vidhivādaḥ	viDivAdaH
   32 āptābhiprāyasya liṅgādyarthatve bādhakam 303	32 Apta aBiprAyasya liFga Adi arTa tve bADakam 303
   33 udayanoktavaktṛbhiprāyavidhitvabhaṅgaḥ 313	33 udayana ukta vaktRBiprAya viDi tva BaFgaH 313
   34 balavadaniṣṭānanubandhitvādiviśiṣṭeṣṭasādhanatva 	34 balavat anizwa an anubanDi tva Adi viSizwa izwa sADana tva 
   sya vidhitvabhaṅgaḥ 323	sya viDi tva BaFgaH 323
   35 kṛtisādhyatvādiviśiṣṭeṣṭasādhanatvasya vidhitva 	35 kRti sADya tva Adi viSizwa izwa sADana tvasya viDi tva 
   bhaṅgaḥ 339	BaFgaH 339
   36 kāryatājñānasya pravartakatvabhaṅgaḥ 350	36 kArya tA ajQAnasya pravartaka tva BaFgaH 350
   37 svamate śyenāgnīṣomīyavaiṣamyam 376	37 sva mate Syena agnIzomIya vEzamyam 376
   38 naiyāyikoktaśyenāgnīṣomīyavaiṣamyabhaṅgaḥ 380	38 nEyAyikA ukta Syena agnIzomIya vEzamya BaFgaH 380
   39 sāṃkhyādyuktaśyenāgnīṣomīyavaiṣamyabhaṅgaḥ 387	39 sAMKyAt yukta Syena agnIzomIya vEzamya BaFgaH 387
   40 prābhākarabhaṭṭoktaśyenāgnīṣomīyavaiṣamyabhaṅgaḥ 389	40 prABAkara Bawwa ukta Syena agnIzomIya vEzamya BaFgaH 389
   vidhivādasamāptiḥ	viDivAda samAptiH
   tarkatāṇḍavam	tarka tANxavam
   dvitīyaḥ paricchedaḥ	dvitIyaH paricCedaH
   śrīmaddhanumadbhīmamadhvāntarargatarāṇakṛṣṇavedavyāsātmakalakṣmīhayagrīvāyanamaḥ//	SrI mat Danumat BIma maDva antararga tarANa kRzNa veda vyAsa Atmaka lakzmI haya grIvAyanamaH//
   // oṃ //	// om //
   athākāṅkṣānirūpaṇam // 1 //	aTa AkAFkzA nirUpaNam // 1 //
   yaccedamucyate vedasyāpauruṣeyatve āptavākyatvādirūpasya	yat ca idam ucyate vedasya apOruzeya tve Apta vAkya tva Adi rUpasya
   pramāṇaśabdalakṣaṇasyābhāvāt prāmāṇyaṃ na syāditi /	pramANa Sabda lakzaNasya aBAvAt prAmANyam na syAt iti /
   nyāyadīpākhyā vyākhyā	nyAyadIpa AKyA vyAKyA
   athākāṅkṣānirūpaṇam // 1 //	aTa AkAFkzA nirUpaNam // 1 //
   yasminvedasya sarvasyāpyākāṅkṣāyogyatādayaḥ /	yasmin vedasya sarvasya api AkAFkzA yogya ta AdayaH /
   taṃ vande paramānandamindirāmandirorasam //	tam vande parama Anandam indiH Amandira urasam //
   nanu     vedāpauruṣeyatvasamarthanaṃ pūrvapiracchede kṛtamayuktam /	nanu    veda apOruzeya tva samarTanam pUrva piracCede kRtam ayuktam /
   tathātve śabdapramāṇalakṣaṇābhāvena pramāṇaśabdatvānāpatteḥ / evaṃ	taTA tve Sabda pramANa lakzaNa aBAvena pramANa Sabda tva anApatteH / evam
   ca"ādivarjitaiḥ, ādareṇākhyāta 1 ityukte harau śaktitātparye na yukte iti	ca"a Adi varjitEH, AdareNa AKyAtaH 1 iti ukte harO SaktitAtparye na yukte iti
   codyamanūdya nirāha    yacceti // ādipadena	codyama nUdya nirAha   yat ca iti // Adipadena
   āptipūrvakaśabdatvayathārthavākyārthajñānajanyatvavākyatvādigrahaḥ /	Apti pUrvaka Sabda tva yaTArTa vAkya arTa jQAna janya tva vAkya tva Adi grahaH /
   1. tānantakalyāguṇayukte   u.	1. tAn anta kalyA guNa yukte  u.
   nyāyadīpayutatarkatāṇḍavam (dvitīyaparicchedaḥ pu   2.	nyAya dIpa yuta tarka tANxavam (dvitIya paricCedaH pu  2.
   tanna / paddhatau nirdeṣaśabdatvaṃ nirdeṣavākyatvaṃ vā	tat naH / padDatO nirdeza Sabda tvam nirdeza vAkya tvam vA
   āgamalakṣaṇamityuktatvāt //	Agama lakzaNam iti ukta tvAt //
   atrādyaṃ nirdeṣaḥ śabda āgama iti pramāṇalakṣaṇānusāri /	atra Adyam nirdezaH SabdaH AgamaH iti pramANa lakzaNa anusAri /
   niṣprayojanatvādidoṣanirāsārthamāvaśyakena nirdeṣatvaviśeṣaṇenaiva	nizprayojana tva Adi doza nirAsa arTam AvaSyakena nirdeza tva viSezaNena eva
   nirabhidheye ananvite cāpyativyāptinirāsena vākyagrahaṇasyānapekṣitatvāt	niraBiDeye ananvite ca api ati vyApti nirAsena vAkya grahaNasya anapekzita tvAt
   pramāṇabhūtaśabdasya yallakṣaṇaṃ tasyetyarthaḥ / prāmāṇyamiti //	pramANa BUta Sabdasya yat lakzaNam tasya iti arTaH / prAmANyam iti //
   prabhājanakatvamityarthaḥ / pūrvaṃ 1 dūre tasya svatastvasādhanamiti	praBA janaka tvam iti arTaH / pUrvam 1 dUre tasya svatas tu asADanam iti
   bhāvaḥ // paddhatāviti //"nirdeṣaḥ śabda āgama, nirdeṣaṃ vākyamatiti vā	BAvaH // padDatO= iti //"nirdezaH SabdaH Agama, nirdezam vAkyam atiti vA
   2"paddhatāvityarthaḥ / dvayorapyuktiḥ taddyatātparyavyaktyārthā / tathā ca	2"padDatO= iti arTaH / dvayoH api uktiH tat dyatAtparya vyaktyA arTAH / taTA ca
   lakṣaṇāntarasambhavāt prāmāṇyaṃ vedasya yuktamiti bhāvaḥ / etena	lakzaNa antara samBavAt prAmANyam vedasya yuktam iti BAvaH / etena
   evamāgamalakṣaṇokterabhiprāyaḥ sphuṭīkṛto bhavati / dvayoktermūlambhāvaṃ	evam Agama lakzaNa ukteH aBiprAyaH sPuwIkRtaH Bavati / dvaya ukteH mUlamBAvam
   ca vyanakti   atreti //	ca vyanakti  atra iti //
   nanu    kathaṃ tarhi abodhakaviparītabodhakarūpavākyābhāse	nanu   kaTam tarhi aboDaka viparIta boDaka rUpa vAkya ABAse
   'tivyāptinirāsaḥ / paddhatāveva"ākāṅkṣāyogyatāsannidhimantipadāni	ati vyApti nirAsaH / padDatO= eva"A kAFkzA yogya tA sanniDi manti padAni
   vākyaṃ"ityuktvā"padatvenānabhidheyatvasya	vAkyaM"iti uktvA" padatvena anaBiDeya tvasya
   ākāṅkṣāsannidhibhyāmanvayābhāvasya	AkAFkzA sanniDiByAm anvaya aBAvasya
   nirāsa"ityādyukterityastaddvitīyalakṣaṇābhiprāyamityupetya"nirabhidheyatvenānvayābhāvena	nirAsa "iti Adi ukterityaH tad dvitIya lakzaNa aBiprAyam iti upetya" niraBiDeya tvena anvaya aBAvena
   vā abodhakatva"mityādi nirdeṣapadakṛtyoktiparapaddhatyuktiṃ hṛdi kṛtvā	vA aboDaka tva"m ityAdi nirdeza pada kRtya ukti para padDati uktim hRdi kRtvA
   tātparyamāha    niṣprayojanatveti //	tAtparyam Aha   nizprayojana tva iti //
   1.'dūre' iti nāsti   ū. 2. vetipa   u.	1. adUre a iti na asti  U. 2. vA itipaH  u.
   ākāṃ ni paṇam ) ākāṅkṣāvādaḥ pu   3.	AkAM  ni paNam ) AkAFkzAvAdaH pu  3.
   dvitīyaṃ tu"āgamo 'duṣṭavākyaṃ ca"iti brahmatarkānusāri / 1 atra	dvitIyam tu"a AgamaH aduzwa vAkyam ca"iti brahma tarka anusAri / 1 atra
   vākyagrahaṇaṃ śiṣyāṇāṃ padavākyādisvarūpajñāpanārtham //	vAkya grahaNam SizyANAm pada vAkya Adi svarUpa jQApana arTam //
   ata eva paddhatau"dvitīyapakṣe vibhaktyantā varṇāḥ padaṃ,	atas eva padDatO" dvitIya pakze viBakti antAH varNAH padaM,
   ākāṅkṣāyogyayāsannidhimanti padāni vā vākya"mityādinā padādīnāṃ	AkAFkzA yogyayA Asan niDimanti padAni vA vAkya"m ityAdinA pada AdInAm
   lakṣaṇamuktam/	lakzaNam uktam/
   brahmatarketi // tatvanirṇayoktabrahmatarketyarthaḥ / nanvevamuktadiśā	brahmatarka iti // tatu anirNaya ukta brahma tarkA iti arTaH / nanu evam ukta diSA
   śabda ityeva pūrtau vākyamiti vyarthamata āha    atra vākyeti / asminpakṣe	SabdaH iti eva pUrtO vAkyam iti vyarTam atas Aha   atra vAkya iti / asmin pakze
   nirdeṣapadaṃ paddhatyuktavākyapadavyāvartyānyadoṣavyāvṛtyarthamiti bhāvaḥ	nirdeza padam padDati ukta vAkya pada vyAvartya anya doza vyAvRti arTam iti BAvaH
   vibhaktyantā iti // suptiṅopavibhaktyantā ityarthaḥ /"vibhaktaśca"iti	viBakti antAH iti // suptiFA upaviBakti antAH iti arTaH /"viBaktaH ca"iti
   sūtre suptiṅorubhayorapi vibhaktisaṃjñokteḥ /"suptiṅantaṃ padaṃ"iti	sUtre suptiFoH uBayoH api viBakti saMjQA ukteH /"suptiFantam padaM"iti
   pāṇinīya 2 sūtrāditi bhāvaḥ / atra bahutvaṃ prāyikatvābhuprāyam /	pANinIya 2 sUtrAt iti BAvaH / atra bahu tvam prAyika tva aBu prAyam /
   vibhaktyanto varṇaḥ tādṛśau varṇau vā tādṛśā varṇā vetyarthaḥ /	viBakti antaH varNaH tAdRSO varNO vA tAdRSA varNA vA iti arTaH /
   vibhaktyantavarṇatvaṃ padatvamiti yāvat / vibhaktyantatvasya	viBakti anta varNa tvam padatvam iti yAvat / viBakti anta tvasya
   varṇatvāvyabhicāre 'pi 3 varṇā ityā 4 dyuktiḥ spaṣṭārthā / rājapuruṣa	varNa tva avyaBicAre api 3 varNAH ityA 4 dyuktiH spazwa arTAH / rAja puruza
   ityādau anekapadasamudāyasya vibhaktyantasya padatvanivṛtyarthaḥ varṇā	ityAdO aneka pada samudAyasya viBakti antasya padatu a nivRti arTaH varNA
   ityuktiḥ / tadarthastu vibhaktiḥ anta eva yeṣāṃ te vibhaktyantā iti /	iti uktiH / tad arTaH tu viBaktiH antaH eva yezAm te viBakti antAH iti /
   rājapuruṣa ityādau tu madhye 'pi vibhaktirluptāstītyeke / anye tu tasyāpi	rAja puruzaH iti AdO tu maDye api viBaktiH luptA asti iti eke / anye tu tasya api
   padatvalābhāyaiva muktiḥ / padadvayāvayavavibhaktidvayāt samudāya	padatva lABAya eva muktiH / pada dvaya avayava viBakti dvayAt samudAya
   utpannavibhakteranyatvena padadvayastha varṇasamudāyasyāpi	utpanna viBakteH anya tvena pada dvaya sTa varNa samudAyasya api
   vibhaktyantavarṇatvādityāhuḥ / varṇānyasphoṭanirāsāya varṇoktirityapare 5	viBakti anta varNa tvAt iti AhuH / varNa ani asPowa nirAsAya varNa uktiH iti apare 5
   ākāṅkṣeti // prayujyamānapadeṣvevānyonyākāṅkṣāvanti padānītyarthaḥ /	AkAFkza iti // prayujyamAna padezu eva anyonya AkAFkzAvanti padAni iti arTaH /
   1.tatra   ja ka. 2.nisū  u. 3.varṇānyapadasphoṭanirāsāya   u. 4.tyuktiḥ /	1.tatra  ja ka. 2.nisU  u. 3.varNa ani apada sPowa nirAsAya  u. 4.ti uktiH /
   rāja   u. 5.varṇā ityādi nāsti  u.	rAja  u. 5.varNAH ityAdi na asti  u.
   nyāyadīpayutatarkatāṇḍavam (dvi. paricchedaḥ pu   4.	nyAya dIpa yuta tarka tANxavam (dvi. paricCedaH pu  4.
   ata eva pramāṇalakṣaṇaṭīkāyāṃ"mūlasthaṃ śabdapadaṃ vākyapara"mityuktam //	atas eva pramANa lakzaNa wI kAyAM"mUla sTam Sabda padam vAkya para"m iti uktam //
   nanu    keyamākāṅkṣā ?	nanu   kA iyam AkAFkzA ?
   na tāvadavinābhāvaḥ / ghaṭamānayetyādāvabhāvāt / na hi ghaṭa	na tAvat avinABAvaH / GawamAnaya iti AdO= aBAvAt / na hi Gawa
   ānayanāvinābhūtaḥ /	AnayanO= inABUtaH /
   tena nirākāṅkṣapadāni vākyamiti bhāṣyaṭīkā na virodhaḥ / svasminneva	tena nirAkAFkza padAni vAkyam iti BAzyawIkA na viroDaH / svasmin= eva
   pūrṇākāṅkṣāvatvenānyatra nirākāṅgakṣapadasaṃdarbho vākyamiti candrikāyāṃ	pUrNa AkAFkzAva tvena anyatra nirAka aFga kzapada saMdarBaH vAkyam iti candrikAyAm
   tasyārthokteḥ/ padānīti bahutvaṃ prāyikābhiprāyam / atrāpi	tasya arTa ukteH/ padAni iti bahu tvam prAyika aBiprAyam / atra api
   padaśabdaprayogakutyaṃ pūrvaṃ 1 varṇapadakṛtyavat	pada Sabda prayoga kutyam pUrvam 1 varNa pada kRtya vat 
   padānyavākyasphoṭanirāsāyeti bodhyam / 2	padAni avAkya sPowa nirAsAya iti boDyam / 2
   prakṛtipratyayasamabhivyāhārapade 'tivyāptinirāsāya padānītyuktiḥ /	prakRti pratyaya samaBivyAhAra pade ati vyApti nirAsAya padAni iti uktiH /
   padādīnāmityādipadena vākyasyākaṅkṣāsannidhyādergrahaḥ/ ata eveti //	pada AdInAm ityAdi padena vAkyasya akaFkzA sanniDi AdeH grahaH/ atas eva iti //
   padādisvarūpavyutpādanārthatvādeveti 3 brahmatarkasaṃvādārthatvādeve 4	pada Adi svarUpa vyutpAdana arTa tvAt eva iti 3 brahma tarka saMvAda arTa tvAt eve 4
   tyarthaḥ / mūleti //"nirdeṣaḥ śabda āgamaḥ"iti mūlasthamityarthaḥ/	tyarTaH / mUlA iti //"nirdezaH SabdaH AgamaH" iti mUla sTam iti arTaH/
   tatra paddhatau 5 vākyalakṣaṇe prathamoddiṣṭākāṅkṣāsvarūpaṃ nirūpayituṃ	tatra padDatO 5 vAkya lakzaNe praTama uddizwa AkAFkzA svarUpam nirUpayitum
   pūrvapakṣamāha    nanviti // padānāṃ yā ākaṅkṣā seyaṃ ketyarthaḥ /	pUrva pakzam Aha   nanu iti // padAnAm yA AkaFkzA sA iyam kA iti arTaH /
   abhāvāditi 6 // kutaḥ parasparavyabhicārāditi bhāvenāha    na hīti //	aBAvAt iti 6 // kutas paraspara vyaBicArAt iti BAvena Aha   na hi iti //
   ānayanaṃ vā ghaṭāvinābhūtamityapyupalakṣyate / etena kārakasya	Anayanam vA GawAvinABUtam iti api upalakzyate / etena kArakasya
   kriyāvinābhāvaḥ kriyāyāḥ kārakāvinābhāvostīti nirastam /	kriyA vinABAvaH kriyAyAH kArakAvinA aBAva usti iti nirastam /
   kriyāviśeṣakārakaviśeṣayoḥ tadābhāvena ghaṭamānayetyanayoḥ	kriyA viSeza kAraka viSezayoH tadA aBAvena GawamAnayA iti anayoH
   nirākāṅkṣatāpatteriti / maṇau 7 nīlaṃ sarojamityādau	nirAkAFkzata ApatteH iti / maNO 7 nIlam sarojam iti AdO
   vyabhicāroktistvayuktā / tatra tātparyaviṣayoḥ	vyaBicAra uktiH tu ayuktA / tatra tAtparya vizayoH
   nīlasarojayoravinābhāvasatvāditi bhāvaḥ //	nIla sarojayoH avinABAva satvAt iti BAvaH //
   r1.vatra  u. 2.iyaṃ paṅktirnāsti u. 3.'vā' u. 4.ti vā u. 5.lakṣaṇavākye u.	r1.vatra  u. 2.iyan paFktiH nAsti u. 3. avA a u. 4.ti vA u. 5.lakzaNa vAkye u.
   6. pratīkavannāsti ū. 7.sarojaṃ nīlaṃ  u.	6. pratIka vat nAsti U. 7.sarojam nIlam  u.
   ākāṃ ni rūpaṇam) ākāṅkṣāvādaḥ pu   5.	AkAM ni  rUpaNam) AkAFkzA vAdaH pu  5.
   aho vimalaṃ jalaṃ nadyāḥ kacche mahiṣaścaratītyatra jale sākāṅkṣasya	aho vimalam jalam nadyAH kacCe mahizaH carati iti atra jale sa AkAFkzasya
   nadīpadasya nadyavinābhūte kacche sākāṅkṣatvaprasaṅgācca //	nadI padasya nadyavinABUte kacCe sa AkAFkza tva prasaFgAt ca //
   nāpyudayanādyuktarītyā śrotari taduccāraṇajanyasaṃsargāvagamaprāgabhāva	na api udayanAt yukta rItyA Srotari tad uccAraNa janya saMsarga avagama prAgaBAva
   ākaṅkṣā / ayameti putro rājñaḥ puruṣo 'pasāryatāmityatra putre 1	AkaFkzA / ayam eti putraH rAjQaH puruzaH apasAryatAm iti atra putre 1
   sākāṅkṣasya rājapadasya tātparyabhrameṇa puruṣānvayabodhe tataḥ	sa AkAFkzasya rAja padasya tAtparya BrameNa puruza anvaya boDe tatas 
   prāktadanvayāvagamaprāgabhāvasya satvenātivyāptiḥ 2 //	prAc tad anvaya avagama prAgaBAvasya satvena ativyAptiH 2 //
   nanu    padārthatāvacchedakarūpeṇa kriyākārakabhāvena vivakṣito	nanu   padArTa tAvacCedaka rUpeNa kriyA kAraka BAvena vivakzitaH 
   'vinābhāvaḥ prakṛtepyastītyata āha    aho vimalamiti //	avinABAvaH prakRta Ipi asti iti atas Aha   aho vimalam iti //
   pūrvatroktātivyāpternirāsakaṃ pakṣamāśaṅkya nirāha   nāpīti // śrotari	pUrvatra uktA ati vyApteH nirAsakam pakzam ASaFkya nirAha  na api iti // Srotari
   vidyamāna uktarūpaprāgabhāva ākāṅkṣetyarthaḥ / atra ghaṭaḥ karmatvaṃ	vidyamAnaH ukta rUpa prAgaBAvaH AkAFkza iti arTaH / atra GawaH karma tvam
   ānayanaṃ kṛtiriti vākyābhāse	Anayanam kRtiH iti vAkya ABAse
   ghaṭamānayetyetatsamānārthake 'tivyāptinīrāsāya	Gawam AnayA iti etat samAna arTake ati vyApti nI rAsAya
   taduccāraṇajanyetyavagamaviśeṣaṇam / 3 vaktrapekṣayāsaṃbhavavāraṇāya	tad uccAraNa janyA iti avagama viSezaNam / 3 vaktR apekzayA saMBava vAraNAya
   śrotarītyeke / svarūpakathanaṃ tadityanye //	SrotarI iti eke / svarUpa kaTanam tat iti anye //
   aho vivalamiti pūrvoktavākye ca tātparyavaśāt kadācit 4 kacchanadyoḥ	aho vivalam iti pUrva ukta vAkye ca tAtparyavaSAt kadAcid 4 kacCanadyoH
   saṃsargāvakamena tatprāgabhāvasatve 'pi taduccāraṇe tātparyavaśāt	saMsarga a= akamena tad prAgaBAva satve api tad uccAraNe tAtparyavaSAt 
   jalānvitanadyāḥ kacchasaṃsargāvagamo neti na tatprāgabhāva iti	jala anvita nadyAH kacCa saMsarga avagamaH na iti na tad prAc aBAvaH iti
   nātivyāptiriti bhāvaḥ/ ityatretyupalakṣaṇam / pūrvavākye cetyapi jñeyam /	na ati vyAptiH iti BAvaH/ iti atra iti upalakzaNam / pUrva vAkye ca iti api jQeyam /
   1.ṇa sā  ca. 2. prasaṅgādityadhikaṃ  ga. 3.pteḥ  ja ka gha. 3.'anyatra	1.Na sA  ca. 2. prasaFgAt iti aDikam  ga. 3.pteH  ja  ka Ga. 3. aanyatra
   sākāṅkṣatvavāraṇāya' ityasti u. 4. jalānvita nādyāḥ saṃ u.	sa AkAFkza tva vAraNAya a iti asti u. 4. jala anvita na AdyAH saM u.
   nyāyadīpayutatarkatāṇvam ( dvi. paricchedaḥ pu   6.	nyAya dIpa yuta tarka tANvam ( dvi. paricCedaH pu  6.
   nāpi tātparyaviṣayībhūtasaṃsargāvagamaprāgabhāva ākāṅkṣā / prāgabhāvasya	na api tAtparya vizayIBUta saMsarga avagama prAgaBAvaH AkAFkzA / prAgaBAvasya
   kāryamātrahetutvena 1 śābdāsādhāraṇyāyogāt / vakṣyate caitat //	kArya mAtra hetu tvena 1 SAbda asADa araNya ayogAt / vakzyate ca etat //
   yattu maṇāvuktam   "2 abhidhānaparyavasānamākāṅkṣā / yasya yena vinā 3	yat tu maNO= uktam   "2 aBiDAna paryavasAnam AkAFkzA / yasya yena vinA 3
   svārthānvayāna 4 nubhāvakatvaṃ tasya tadevāparyavasānam /	sva arTa anvayAnaH 4 nuBAvaka tvam tasya tat eva aparyavasAnam /
   anyānanubhāvakatvaṃ ca anvayānubhavaprāgabhāvaḥ / ata eva	anya an anuBAvaka tvam ca anvaya anuBava prAgaBAvaH / atas eva
   janitānvayabodhaṃ padama 5 nākāṅkṣaṃ tadā prāgabhāvābhāvāt /	janita anvaya boDam padamaH 5 na AkAFkzam tadA prAgaBAva aBAvAt /
   kasya cit tātparyavaśāt jalānvayāvagamena nadyāḥ kacchānvayānavagame 'pi	kasya cit tAtparya vaSAt jala anvaya avagamena nadyAH kacCa anvayAn avagame api
   prayogāntare punarasya kacchānvayatātparyabhrameṇa	prayoga antare punar asya kacCa anvayatAtparya BrameNa
   tadanvayānavagamasaṃbhavāt //	tad anvayAn avagama saMBavAt //
   tātparyaviṣayeti // puruṣānvayabodhastu na tātparyaviṣaya iti na	tAtparyavizaya iti // puruza anvaya boDaH tu na tAtparya vizayaH iti na
   pūrvoktadoṣa iti bhāvaḥ / śabdāsādhāraṇyāyogādityupalakṣaṇam /	pUrva ukta dozaH iti BAvaH / Sabda asADAraNya ayogAt iti upalakzaNam /
   saṃsargāvagamāntaraprāgabhāvasya satvāt / janitānvayabodhasyāpari vākyasya	saMsarga avagama antara prAgaBAvasya satvAt / janita anvaya boDasya apari vAkyasya
   sākāṅkṣātvāpattirityapi bodhyam 6 / vakṣyata iti // maṇyuktākāṅkṣā 7	sa AkAFkzAtu ApattiH iti api boDyam 6 / vakzyate iti // maNi ukta AkAFkzA 7
   svarūpakhaṇḍanaprastāve"kiñca prāgabhāvasya"ityādigranthe // yattu	sva rUpa KaNxana prastAve" kiQca prAgaBAvasya"iti Adi granTe // yat tu
   maṇāviti // śabdakhaṇḍe ākāṅkṣāvādasiddhānta ityarthaḥ //	maNO= iti // Sabda KaNxe AkAFkzAvAda sidDAntaH iti arTaH //
   nanu    abhidhānamanvayānubhavaḥ tasyārthavasānaniṣpattiḥ ityarthaścet,	nanu   aBiDAnam anvaya anuBavaH tasya arTavasAna nizpattiH iti arTaH ced ,
   karmatvamityādāvastyevetyato 'nyamevāparyavasānaśabdārthaṃ maṇyuktamāha   	karma tvam iti AdO= asti eva iti atas anyam eva aparyavasAna Sabda arTam maNI uktam Aha   
   yasyeti //	yasya iti //
   yasya padasyopasthitasya yadvyatirekaprayuktasvārthānvayānanubhāvakatvaṃ	yasya padasya upasTitasya yat vyatireka prayukta sva arTa anvayAn anuBAvaka tvam
   tasya padasya tadananubhāvakatvamevāparyavasānaṃ tena ca saha	tasya padasya tad ananuBAvaka tvam eva aparyavasAnam tena ca saha
   tadevākāṅkṣetyarthaḥ //	tat eva AkAFkza iti arTaH //
   1.śabdā ga ja gha. 2.anvayetyadhikam ga. 3.'na' ityadhikam ga ja ka.	1. SabdA ga ja  Ga. 2.anvaya iti aDika m ga. 3. ana a iti aDika m ga ja ka.
   4.nubhā  ga ja ka. 5.masā ca. 6.dhyeyam u. 7.svarūpeti nāsti ū.	4.nuBAH  ga ja ka. 5.masA a ca. 6.Dyeyam u. 7.svarUpA iti nAsti U.
   ākāṃ ni paṇam) ākāṅkṣāvādaḥ pu   7.	AkAM  ni paNam) AkAFkzA vAdaH pu  7.
   ata eva svarūpayogyatāta iyaṃ bhinnā / sā hi janitaphavepyasti / iyaṃ tu	atas eva sva rUpa yogya tAtaH iyam BinnA / sA hi janita Pavepi asti / iyam tu
   phajananāt prāgeva / na cābhāve tāratamyābhāvena	PajananAt prAk eva / na ca aBAve tAratamya aBAvena
   ākāṅkṣāyāmutkaṭatvānutkatkaṭatvarūpatāratamyāyogaḥ /	AkAFkzAyAm utkawa tva anutkat kawatva rUpa tAratamya ayogaH /
   sasaṃbandhikāsaṃbandhikapadatvādinaiva tadupapatteḥ / jñātā ceyaṃ hetuḥ /	sa saMbanDikA saMbanDika pada tva AdinA eva tad upapatteH / jQAtA ca iyam hetuH /
   anyathā nirākāṅkṣe tadbhramādanvayadhīrna syāt / na tu	anyaTA nirAkAFkze tad BramAt anvaya DIH na syAt / na tu
   samabhivyāhṛtapadārthajijñāsā ākāṅkṣā /	samaBivyAhRta padArTa jijQAsA AkAFkzA /
