   ṣaṭ-sandarbha-nāmaka-	zaw-sandarBa-nAmaka-
   vicaṣṭe viśeṣeṇa paśyati, paśyaṃs tatrāviṣṭo bhavati, sa khalv asau	vicazwe viSezeNa paSyati, paSyan tatra-AvizwaH Bavati, sa Kalu asO
   jīva-nāmā	jIva-nAmA
   sva-śarīra-dvaya-lakṣaṇa-kṣetrasya jñātṛtvāt kṣetrajña ucyate ity arthaḥ |	sva--SarIra--dvaya--lakzaNa-kzetrasya jQAtR-tvAt kzetrajQaH ucyate iti arTaH |
   tad uktam -	tat uktam -
   yayā saṃmohito jīvo	yayA saMmohitaH jIvaH-
   ātmānaṃ triguṇātmakaṃ	AtmAnam triguNa-Atmakam
   paro'pi manute'narthaṃ	paraH-api manute-anarTam
   tat-kṛtaṃ cābhipadyate || [BhP 1.7.5] iti |	tat-kRtam ca-aBipadyate || [Bhj 1.7.5] iti |
   tasya manasaḥ kīdṛśatayā māyā-racitasya tatrāha - jīvadhya jīvopādhitayā	tasya manasaH kIdRSa-tayA mAyA-racitasya tatra-Aha  jIvaDya jIva-upADitayA
   jīva-tādātmyena racitasya | tataś ca tat tayopacaryamāṇasyety arthaḥ |	jIva-tAdAtmyena racitasya | tatas ca tat tayA-upacaryamANasya-iti arTaH |
   tataś	tatas-
   ca kīdṛśasya, aviśuddhaṃ bhagavad-bahirmukhaṃ karma karotīti tādṛśasya |	ca kIdRSasya, aviSudDam Bagavat--bahirmuKam karma karoti-iti tAdRSasya |
   kīdṛśīr vibhūtīr nityā anādita evānugatāḥ |	kIdRSIH viBUtIH nityAH anAditaH eva-anugatAH |
   atra sa kadā kīdṛśīr ity apekṣāyām āha - jāgrat svapnayor āvirbhūtāḥ	atra sa kadA kIdRSIH iti apekzAyAm Aha  jAgrat svapnayoH AvirBUtAH
   suṣuptau tirohitāś ceti | yas tu purāṇo jagat-kāraṇa-bhūtaḥ puruṣaḥ	suzuptO tirohitAH ca-iti | yaH tu purANaH jagat--kAraNa-BUtaH puruzaH
   ādyo'vatāraḥ puruṣaḥ parasyety ādi [BhP 2.6.41] dvitīyādau prasiddhaḥ |	AdyaH-avatAraH puruzaH parasya-iti Adi [Bhj 2.6.41] dvitIya-AdO prasidDaH |
   sākṣād eva svayaṃ jyotiḥ svaprakāśo tanu jīvavad anyāpekṣayā | ajo	sAkzAt eva svayam jyotiH sva-prakASaH tanu jIva-vat anya-apekzayA | ajaH-
   janmādi-śūnyaḥ | pareṣāṃ brahmādīnāṃ apīśaḥ | nāraṃ jīva-samūhaḥ	janma-Adi--SUnyaH | parezAm brahma-AdInAm api-ISaH | nAram jIva--samUhaH
   svaniyamyatvenāyanaṃ yasya saḥ | bhagavān aiśvaryādy-aṃśatvāt | vāsudevaḥ	sva-niyamya-tvena-ayanam yasya saH | BagavAn ESvarya-Adi--aMSa-tvAt | vAsudevaH
   sarva-bhūtānām āśrayaḥ | sva-māyayā sva-svarūpa-śaktyā ātmani sva-	sarva-BUtAnAm ASrayaH | sva--mAyayA sva--svarUpa--SaktyA Atmani sva--
   svarūpe avadhīyamānaḥ avasthāpya-mānaḥ | karma-kartṛ-prayogaḥ |	svarUpe avaDIyamAnaH avasTApya-mAnaH | karma-kartR--prayogaH |
   māyāyāṃ mayike'py antaryāmitayā praviṣṭo'pi svarūpa-śaktyā svarūpasya eva	mAyAyAm mayike-api antaryAmi-tayA pravizwaH-api svarUpa--SaktyA svarUpasya eva
   na tu tat-saṃsakta ity arthaḥ | vāsudevatvena sarva-kṣetra-jñātṛtvāt	na tu tat-saMsaktaH iti arTaH | vAsudeva-tvena sarva-kzetra--jQAtR-tvAt
   so'paraḥ |	saH-aparaH |
   māyā-mohitāt jīvād anyaḥ māyā-rahitaḥ śuddhaḥ | kṣetrajñaḥ ātmā	mAyA-mohitAt jIvAt anyaH mAyA--rahitaH SudDaH | kzetrajQaH AtmA
   paramātmeti |	paramAtmA-iti |
   tad evam api mukhyaṃ kṣetrajñatvaṃ paramātmany eva | tad uktam -	tat evam api muKyam kzetrajQa-tvam paramAtmani eva | tat uktam -
   sarvaṃ pumān veda guṇāṃś ca taj-jño	sarvam pumAn veda guNAn ca taj-jQaH-
   na veda sarvajñam anantam īḍe iti [BhP 6.4.25] |	na veda sarvajQam anantam Ixe iti [Bhj 6.4.25] |
   śrī-gītopaniṣatsu -	SrI---gIta-upanizatsu -
   idaṃ śarīraṃ kaunteya kṣetram ity abhidhīyate |	idam SarIram kOnteya kzetram iti aBiDIyate |
   etad yo vetti taṃ prāhuḥ kṣetrajña iti tadvidaḥ || [Gītā 13.1]	etat yaH vetti tam prAhuH kzetrajQaH iti tad-vidaH || [GItAH 13.1]
   kṣetrajñaṃ cāpi māṃ viddhi sarvakṣetreṣu bhārata |	kzetrajQam ca-api mAm vidDi sarva-kzetrezu BArata |
   kṣetrakṣetrajñayor jñānaṃ yat taj jñānaṃ mataṃ mama || [Gītā 13.1]	kzetra-kzetrajQayoH jQAnam yat tat jQAnam matam mama || [GItAH 13.1]
   atra khalu kṣetrajñaṃ cāpi māṃ viddhīti sarveṣv api kṣetreṣu māṃ ca	atra Kalu kzetrajQam ca-api mAm vidDi-iti sarvezu api kzetrezu mAm ca
   kṣetrajñaṃ viddhi, na tu jīvam iva svakṣetra eva ity evārthaṃ vahati | na	kzetrajQam vidDi, na tu jIvam iva sva-kzetraH eva iti eva-arTam vahati | na
   ca	ca
   jīveśayoḥ samānādhikaraṇyena nirviśeṣa-cid-vastv eva jñeyatayā nirdiśati |	jIveSayoH samAna-aDikaraNyena nirviSeza-cit--vastu eva jQeya-tayA nirdiSati |
   sarva-kṣetreṣv ity asya viayarthyāpatteḥ | jñeyaṃ yat tat pravakṣyāmīty	sarva-kzetrezu iti asya viayarTya-ApatteH | jQeyam yat tat pravakzyAmi-iti-
   ādau	AdO
   sarvataḥ pāṇi-pādaṃ tad sarvato'kṣi-śiro-mukham ity [Gītā 13.13] ādinā	sarvatas pANi--pAdam tat sarvatas-akzi-Siro-muKam iti [GItA 13.13] AdinA
   saviśeṣasyaiva nirdekṣyamāṇatvāt | amānitvam ity ādinā jñānasya ca	sa-viSezasya-eva nirdekzyamANa-tvAt | amAni-tvam iti AdinA jQAnasya ca
   tathaupadekṣyamāṇatvāt |	taTA-Opada-IkzyamANa-tvAt |
   kiṃ ca kṣetrajñaṃ cāpīty atra ttvam asītivat sāmānādhikaraṇyena tan-	kim ca kzetrajQam ca-api-iti atra ttvam asIti-vat sAmAnADikaraNyena tan-
   nirviśeṣa-jñāne vivakṣite kṣetrajñeśvarayor jñānam ity evanānūdyeta na tu	nirviSeza--jQAne vivakzite kzetrajQeSvarayoH jQAnam iti evana-AnUdyeta na tu
   kṣetra-kṣetrajñayot jñānam iti | kintu kṣetra-kṣetrajñayor ity asyāyam	kzetra-kzetrajQayot jQAnam iti | kintu kzetra-kzetrajQayoH iti asya-ayam
   arthaḥ |	arTaH |
   dvivdihayor api kṣetra-kṣetrajñayor jñānaṃ tan mamaiva jñānaṃ matam |	dvi-vdihayoH api kzetra-kzetrajQayoH jQAnam tat mama-eva jQAnam matam |
   anyārthas tu parāmarśa iti nyāyena yaj-jñānaikatāt-paryakam ity arthaḥ |	anya-arTaH tu parAmarSaH iti nyAyena yaj--jQAna-eka-tAt--paryakam iti arTaH |
   jñeyasyaikatvenaiva nirdiṣṭatvāt yogyatvāc ca | na ca nirīśvara-sāṅkhyavat	jQeyasya-eka-tvena-eva nirdizwa-tvAt yogya-tvAt ca | na ca nirISvara--sAFKya-vat
   kṣetra-kṣetrajña-mātra-vibhāgād atra jñānaṃ mataṃ mamety	kzetra-kzetrajQa--mAtra--viBAgAt atra jQAnam matam mama-iti-
   aneneśvarasyāvekṣitatvāt | na ca vivarta-vādavad īśvarasyāpi bhrama-mātra-	anena-ISvarasya-avekzita-tvAt | na ca vivarta-vAda-vat ISvarasya-api Brama--mAtra-
   pratīta-puruṣatvam | tad-vacana-lakṣaṇa-saveda-gītādi-śāstrāṇām	pratIta-puruza-tvam | tad--vacana--lakzaNa--sa-veda-gIta-Adi-SAstrANAm
   aprāmāṇyād bauddha-vādāpatteḥ | tasyāṃ ca satyāṃ bauddhānām iva vivarta-	aprAmANyAt bOdDa--vAda-ApatteH | tasyAm ca satyAm bOdDAnAm iva vivarta-
   vādināṃ tad-vyākhyānāyukteḥ | na ca tasya satya-puruṣatve'pi nirviśeṣa-	vAdinAm tat--vyAKyAna-ayukteH | na ca tasya satya-puruza-tve-api nirviSeza-
   jñānam eva mokṣa-sādhanam iti tadīya-śāstrāntarataḥ samāhāryam |	jQAnam eva mokza--sADanam iti tadIya-SAstra-antarataH samAhAryam |
   evaṃ satata-yuktā ye [12.1] ity ādi pūrvādhyāye nirviśeṣa-jñānasya	evam satata--yuktAH ye [12.1] iti Adi pUrva-aDyAye nirviSeza--jQAnasya
   heyatvena	heya-tvena
   vivakṣitatvāt | tatraiva ca ye tu sarvāṇi karmāṇi ity [12.6]	vivakzita-tvAt | tatra-eva ca ye tu sarvANi karmANi iti [12.6]
   ādinānanya-bhaktān	Adina-ananya--BaktAn
   uddiśya teṣām ahaṃ samuddhartā mṛtyu-saṃsāra-sāgarād ity [12.7] anena taj	uddiSya tezAm aham samudDartA mRtyu--saMsAra--sAgarAt iti [12.7] anena tad-
   jñānāpekṣāpi nādṛteti | tad uktam ekādaśe svayaṃ bhagavatā - yat karmabhir	jQAna-apekzA-api na-AdRtA-iti | tat uktam ekAdaSe svayam BagavatA  yat karmaBiH-
   yat tapasety ādi [BhP 11.20.32] | mokṣa-dharme ca -	yat tapasA-iti Adi [Bhj 11.20.32] | mokza-Darme ca -
   ya vai sādhana-sampattiḥ puruṣārtha-catuṣṭaye |	yaH vE sADana--sampattiH puruza-arTa--catuzwaye |
   tayā vinā tad āpnoti naro nārāyaṇāśrayaḥ || iti |	tayA vinA tat Apnoti naraH nArAyaNa-ASrayaH || iti |
   atra tu pūrvādhyāya-viślāghitaṃ tad evāvṛthākartuṃ saviśeṣatayā nirdiśya	atra tu pUrva-aDyAya--viSlAGitam tat eva-AvRTA-kartum sa-viSeza-tayA nirdiSya
   iti kṣetraṃ tathā jñānaṃ jñeyaṃ coktaṃ samāsataḥ	iti kzetram taTA jQAnam jQeyam ca-uktam samAsatas-
   mad-bhakta etad vijñāya mad-bhāvāyopapadyate || [Gītā 13.18]	mad-BaktaH etat vijQAya mad--BAvAya-upapadyate || [GItAH 13.18]
   ity antena bhakti-saṃvalitatayā sukarārtha-prāyaṃ kṛtam | ataevātra	iti antena Bakti--saMvalita-tayA sukarA-arTa--prAyam kRtam | ataeva-atra
   vyaṣṭi-	vyazwi-
   kṣetrajña eva bhaktatvena nirdiṣṭaḥ samaṣṭi-kṣetrajñas tu jñeyatveneti	kzetrajQaH eva Bakta-tvena nirdizwaH samazwi-kzetrajQaH tu jQeya-tvena-iti
   kṣetra-jñānābhyāṃ saha jñeyasya pāṭhād anusmārya tad-anantaraṃ ca tasya	kzetra--jQAnAByAm saha jQeyasya pAWAt anusmArya tat--anantaram ca tasya
   tasya ca jīvatvam īśvaratvaṃ ca kṣaraṃ neti darśitam | yataḥ -	tasya ca jIva-tvam ISvara-tvam ca kzaram na-iti darSitam | yatas -
   puruṣaḥ prakṛtistho hi bhuṅkte prakṛti-jān guṇān |	puruzaH prakRti-sTaH hi BuFkte prakRti-jAn guNAn |
   kāraṇaṃ guṇa-saṅgo'sya sad-asad-yoni-janmasu || [Gītā 13.21]	kAraNam guNa-saFgaH-asya sad-asat--yoni-janmasu || [GItAH 13.21]
   iti jīvasya prakṛtisthatvaṃ nirdiśya svatas tasyāprākṛtatva-darśanayā	iti jIvasya prakRti-sTa-tvam nirdiSya svatas tasya-aprAkRta-tva--darSanayA
   sphuṭam	sPuwam
   evākṣaratvaṃ jñāpitam |	eva-akzara-tvam jQApitam |
   upadraṣṭānumantā ca bhartā bhoktā maheśvaraḥ	upadrazwA-anumantA ca BartA BoktA maheSvaraH
   paramātmeti cāpy ukto dehe 'smin puruṣaḥ paraḥ || [Gītā 13.22]	paramAtmA-iti ca-api uktaH dehe asmin puruzaH paraH || [GItAH 13.22]
   iti jīvāt paratvena nirdiṣṭasya paramātmākhya-puruṣasya tu kaimutyenaiva	iti jIvAt paratvena nirdizwasya paramAtma-AKya--puruzasya tu kEm-utyena-eva
   tad darśitam |	tat darSitam |
   dvāv imau puruṣau loke kṣaraś cākṣara eva ca	dvO imO puruzO loke kzaraH ca-akzaraH eva ca
   kṣaraḥ sarvāṇi bhūtāni kūṭastho 'kṣara ucyate || [Gītā 15.16]	kzaraH sarvANi BUtAni kUwasTaH akzaraH ucyate || [GItAH 15.16]
   uttamaḥ puruṣas tv anyaḥ paramātmety udāhṛtaḥ	uttamaH puruzaH tu anyaH paramAtmA-iti udAhRtaH
   yo lokatrayam āviśya bibharty avyaya īśvaraḥ || [Gītā 15.17]	yaH lokatrayam AviSya biBarti avyayaH ISvaraH || [GItAH 15.17]
   ity atra jīvasyāpy akṣaratvaṃ kaṇṭhoktam eva | tatropadraṣṭā parama-sākṣī,	iti atra jIvasya-api akzara-tvam kaNWa-uktam eva | tatra-upadrazwA parama--sAkzI,
   anumantā tat-tat-karmānurūpaḥ pravartakaḥ | bhartā poṣakaḥ | bhoktā	anumantA tat-tat--karma-anurUpaH pravartakaH | BartA pozakaH | BoktA
   pālayitā | maheśvaraḥ sarvādhikartā | paramātmā sarvāntaryāmīti	pAlayitA | maheSvaraH sarva-aDikartA | paramAtmA sarva-antaryAmI-iti
   vyākhyeyam |	vyAKyeyam |
   uttarapadyayos tu | kūṭastha eka-rūpatayā tu yaḥ kāla-vyāpī sa kūṭastha	uttara-padyayoH tu | kUwasTaH eka-rUpa-tayA tu yaH kAla-vyApI sa kUwasTa
   ity	iti-
   amarakoṣād avagatārthaḥ | asau śuddha-jīva eva uttamaḥ puruṣas tv anya ity	amara-kozAt avagata-arTaH | asO SudDa-jIvaH eva uttamaH puruzaH tu anyaH iti-
   uttarāt | tad evam atrāpi kṣetra-kṣetrajña-sarva-kṣetrajñā uktāḥ | atra	uttarAt | tat evam atra-api kzetra-kzetrajQa--sarva-kzetrajQAH uktAH | atra
   cottarayor anya ity anena bhinnayor eva sator akṣarayorna tat-tad-rūpatā-	ca-uttarayoH anyaH iti anena BinnayoH eva satoH akzarayoH-na tat-tad--rUpa-tA-
   parityāgaḥ sambhaved iti na kadācid api nirviśeṣa-rūpenāvasthitir iti	parityAgaH samBavet iti na kadAcid api nirviSeza--rUpena-avasTitiH iti
   darśitam | tasmān mad-bhāvāyopapadyate iti yad uktaṃ tad api tat-sārṣṭi-	darSitam | tasmAt mad--BAvAya-upapadyate iti yat uktam tat api tat-sA-Arzwi-
   prāpti-tātparyakam[*ENDNOTE #1] | tad evaṃ dvayor akṣaratvena sāmye'pi	prApti-tAtparyakam[*ENDNOTEH #1] | tat evam dvayoH akzara-tvena sAmye-api
   jīvasya hīna-śaktitvāt prakṛty-āviṣṭasya tan-nivṛtty-artham īśvara eva	jIvasya hIna--Sakti-tvAt prakRti--Avizwasya tan--nivRtti--arTam ISvaraH eva
   bhajanīyatvena jñeya iti bhāvaḥ |	BajanIya-tvena jQeyaH iti BAvaH |
   tasmād idaṃ śarīram ity ādikaṃ punar itthaṃ vivecanīyam | idaṃ sva-	tasmAt idam SarIram iti Adikam punar itTam vivecanIyam | idam sva--
   svāparokṣam ity arthaḥ | śarīra-kṣetrayor ekaikatvena grahaṇam atra	sva-aparokzam iti arTaH | SarIra-kzetrayoH ekEka-tvena grahaNam atra
   vyakti-	vyakti-
   paryavasānena jāti-puraskāreṇaiveti gamyate | sarva-kṣetreṣv iti bahu-	paryavasA-anena jAti--puraskAreNa-eva-iti gamyate | sarva-kzetrezu iti bahu-
   vacanenānuvādāt | etad yo vetti ity atra deho 'savo 'kṣā-manava ity ādau	vacanena-anuvAdAt | etat yaH vetti iti atra dehaH asavaH akzA-manavaH iti AdO
   sarvaṃ pumān veda-guṇāṃś ca taj-jñaḥ [BhP 6.4.25] ity-ukta-diśā kṣetrajña	sarvam pumAn veda-guNAn ca taj-jQaH [Bhj 6.4.25] iti--ukta-diSA kzetrajQa
   etā	etA
   manaso vibhūtīr ity-ukta-diśā ca jānātīty arthaḥ |	manasaH viBUtIH iti--ukta-diSA ca jAnAti-iti arTaH |
   kṣetrajñaṃ cāpi māṃ viddhīti | tad uktam -- viṣṭabhyāham idaṃ kṛtsnam	kzetrajQam ca-api mAm vidDi-iti | tat uktam - vizwaBya-aham idam kRtsnam
   ekāṃśena sthito jagat [Gītā 10.42] | yatra gaty-antaraṃ nāsti tatraiva	eka-aMSena sTitaH jagat [GItAH 10.42] | yatra gati--antaram na-asti tatra-eva
   lakṣaṇā-	lakzaNA-
   maya-kaṣṭam āśrīyeta | tathāpi tena sāmānādhikaraṇyaṃ yadi vivakṣitaṃ	maya-kazwam ASrIyeta | taTA-api tena sAmAnADikaraNyam yadi vivakzitam
   syāt tarhi kṣetrajñaṃ cāpi māṃ viddhīty etāvad eva taṃ ca māṃ viddhīty	syAt tarhi kzetrajQam ca-api mAm vidDi-iti etAvat eva tam ca mAm vidDi-iti-
   etāvad eva vā procyeta, na tu sarva-ksreṣu bhāratety adhikam api | kintu	etAvat eva vA procyeta, na tu sarva-ksrezu BArata-iti aDikam api | kintu
   kṣetrajña etā manaso vbhūtīr ity ādivat kṣetrajña-dvayam api vaktavyam eva	kzetrajQaH etAH manasaH vBUtIH iti Adi-vat kzetrajQa--dvayam api vaktavyam eva
   syāt |	syAt |
   tathā ca brahma-sūtraṃ guhāṃ praviṣṭāvātmānau hi tad-darśanād iti [Vs	taTA ca brahma-sUtram guhAm pravizwO=-AtmAnO hi tad--darSanAt iti [Vs
   1.2.11] tad-vaidhyam eva copasaṃhṛtam | puruṣaḥ prakṛtistho hīty ādinā |	1.2.11] tat--vEDyam eva ca-upasaMhRtam | puruzaH prakRti-sTaH hi-iti AdinA |
   tasmād upakramārthasyopasaṃhārādhīnatvād eṣa evārthaḥ samañjasaḥ |	tasmAt upakrama-arTasya-upasaMhAra-aDIna-tvAt ezaH eva-arTaH samaQjasaH |
   yathoktaṃ brahma-sūtra-kṛdbhiḥ - asad vyapadeśān neti cen na	yaTA-uktam brahma-sUtra-kRdBiH  asat vyapadeSAt na-iti ced na
   dharmāntareṇa vākya-śeṣād iti [Vs 2.1.17] |	Darma-antareNa vAkya--SezAt iti [VH 2.1.17] |
   atha kṣetra-kṣetrajñayor jñānam ity atra yat kṣetre jñānendriya-gataṃ	aTa kzetra-kzetrajQayoH jQAnam iti atra yat kzetre jQAna-indriya--gatam
   cetanā-	cetanA-
   gataṃ ca jñānaṃ darśayiṣyate yac ca pūrva-kṣetra-jñe	gatam ca jQAnam darSayizyate yat ca pUrva-kzetra--jQe
   nija-nija-kṣetra-jñānaṃ	nija--nija-kzetra--jQAnam
   darśitaṃ tat tat maj-jñānāṃśasya kṣetreṣu cchāyā-rūpatvāt kṣetra-jñeṣu yat	darSitam tat tat maj--jQAna-aMSasya kzetrezu cCAyA--rUpa-tvAt kzetra--jQezu yat-
   kiñcid aṃśāṃśatayā praveśān mamaiva jñānaṃ matam iti | tasmāt sādhūktaṃ	kiQcid aMSa-aMSa-tayA praveSAt mama-eva jQAnam matam iti | tasmAt sADu-uktam
   mukhyaṃ kṣetrajñatvaṃ paramātmany eveti |	muKyam kzetrajQa-tvam paramAtmani eva-iti |
   atra śrī-bhagavataḥ paramātma-rūpeṇāvirbhāvo'pi | ajani ca yan mayaṃ tad-	atra SrI--BagavataH paramAtma--rUpeNa-AvirBAvaH-api | ajani ca yat mayam tat--
   avimucya-niyantṛ bhaved ity-ukta-diśā [BhP 10.87.30] śakti-viśeṣāliṅgitvād	avimucya--niyantR Bavet iti--ukta-diSA [Bhj 10.87.30] Sakti-viSeza-AliFgi-tvAt-
   yasmād evāṃśāj jīvānām āvirbhāvas tenaiveti jñeyam | tad uktaṃ tatraiva	yasmAt eva-aMSAt jIvAnAm AvirBAvaH tena-eva-iti jQeyam | tat uktam tatra-eva
   viṣṭabhyāham ity ādi | śrī-viṣṇu-purāṇe ca -	vizwaBya-aham iti Adi | SrI--vizNu-purANe ca -
   yasyāyutāṃśāṃśe viśva-śaktir iyaṃ sthitā |	yasya-ayuta-aMSa-aMSe viSva-SaktiH iyam sTitA |
   para-brahma-svarūpasya praṇamāma tam avyayam || iti [ViP 1.9.53]	para--brahma--svarUpasya praNamAma tam avyayam || iti [ViS 1.9.53]
   pūrṇa-śuddha-śaktis tu kalā-kāṣṭhā-nimeṣād ity anena darśitā | tathā śrī-	pUrNa-SudDa-SaktiH tu kalA--kAzWA--nimezAt iti anena darSitA | taTA SrI-
   nārada-pañcarātre --	nArada--paQcarAtre --
   nārada uvāca -	nAradaH uvAca -
   śuddha-sargam ahaṃ deva jñātum icchāmi tattvataḥ |	SudDa--sargam aham deva jQAtum icCAmi tattvataH |
   sarga-dvayasya caivasya yaḥ paratvena vartate ||	sarga--dvayasya ca-evasya yaH paratvena vartate ||
   tatraitat pūrvoktaḥ prādhānikaḥ śāktaś cety etat sargadvayasyeti jñeyam |	tatra-etat pUrva-uktaH prADAnikaH SAktaH ca-iti etat sarga-dvayasya-iti jQeyam |
   śrī-bhagavān uvāca -	SrI--BagavAn uvAca -
   yaḥ sarva-vyāpako devaḥ para-brahma ca śāśvatam |	yaH sarva-vyApakaH devaH para-brahma ca SASvatam |
   cit-sāmānyaṃ jagaty asmin paramānanda-lakṣaṇam ||	cit--sAmAnyam jagati asmin parama-Ananda-lakzaNam ||
   vāsudevād abhinnas tu bahn-arkendu-śata-prabham |	vAsudevAt aBinnaH tu bahn-arka-indu--Sata--praBam |
   vāsudevo'pi bhagavāṃs tad-dharmā parameśvaraḥ ||	vAsudevaH-api BagavAn tad--DarmA parameSvaraH ||
   svāṃ dīptiṃ kṣobhayaty eva tejasā tena vai yutam |	svAm dIptim kzoBayati eva tejasA tena vE yutam |
   prakāśa-rūpo bhagavān acyutaṃ cāsakṛd dvija ||	prakASa--rUpaH BagavAn acyutam ca-asakRt dvijaH ||
   so'cyuto'cyuta-tejāś ca svarūpaṃ vitanoti vai |	saH-acyutaH-acyuta--tejAH ca svarUpam vitanoti vE |
   āśritya vāsudevaṃ ca svastho megho jalaṃ yathā ||	ASritya vAsudevam ca svasTaH meGaH jalam yaTA ||
   kṣobhayitvā svam ātmānaṃ satya-bhāsvara-vigraham |	kzoBayitvA svam AtmAnam satya-BAsvara--vigraham |
   utpādayāmāsa tadā samudrormi-jalaṃ yathā ||	utpAdayAmAsa tadA samudra-Urmi--jalam yaTA ||
   sa cinmayaḥ prakāśātmā utpādyātmānam ātmanā |	sa cit-mayaH prakASa-AtmA utpAdya-AtmAnam AtmanA |
   puruṣākhyam anantaṃ ca prakāśa-prasaraṃ mahat ||	puruza-AKyam anantam ca prakASa--prasaram mahat ||
   sa ca vai sarva-jīvānām āśrayaḥ parameśvaraḥ |	sa ca vE sarva-jIvAnAm ASrayaH parameSvaraH |
   antaryāmī ca teṣāṃ vai tārakāṇām ivāmbaram ||	antaryAmI ca tezAm vE tArakANAm iva-ambaram ||
   sendhanaḥ pāvako yadvat sphuliṅga-nicayaṃ dvija |	sa-inDanaH pAvakaH yadvat sPuliFga--nicayam dvija |
   anicchātaḥ prerayati tadvad eva paraḥ prabhuḥ ||	anicCAtaH prerayati tadvat eva paraH praBuH ||
   prāg-vāsanā-nibandhānāṃ bandhānāṃ ca vimuktaye |	prAk--vAsanA--nibanDAnAm banDAnAm ca vimuktaye |
   tasmād viddhi tad-aṃśāṃśas tān sarvāṃśatvam ajam prabhum || iti |	tasmAt vidDi tad--aMSa-aMSaH tAn sarva-aMSa-tvam ajam praBum || iti |
   ataeva yat tu brahmādau śrī-pradyumnasya manvādau śrī-viṣṇoḥ, rudrādau	ataeva yat tu brahma-AdO SrI--pradyumnasya manu-AdO SrI--vizNoH, rudra-AdO
   śrī-saṅkarṣaṇasyāntaryāmitvaṃ śrūyate tan nānāṃśam ādāyāvatīrṇasya	SrI--saFkarzaNasya-antar-yAmi-tvam SrUyate tat nAnA-aMSam AdAya-avatIrNasya
   tasyaiva tat-tad-aṃśena tat-tad-antaryāmitvam iti mantavyam | ataeva	tasya-eva tat-tad--aMSena tat-tad--antaryAmi-tvam iti mantavyam | ataeva
   rudrasya	rudrasya
   saṅkarṣaṇa-prakṛtitvaṃ puruṣa-prakṛtitvaṃ cety ubhayam apy āmnātaṃ	saFkarzaNa--prakRti-tvam puruza--prakRti-tvam ca-iti uBayam api AmnAtam
   prakṛtim ātmanaḥ saṅkarṣaṇa-saṃjñāṃ bhava upadhāvatīty ādau [BhP 5.17.16]	prakRtim AtmanaH saFkarzaNa--saMjQAm BavaH upaDAvati-iti AdO [Bhj 5.17.16]
   ādāv abhūc chata-dhṛtir ity ādau ca [BhP 11.4.5] | eṣa eva--	AdO aBUt Sata-DRtiH iti AdO ca [Bhj 11.4.5] | ezaH eva--
   bhūtātmā cendriyātmā ca pradhānātmā tathā bhavān |	BUtAtmA ca-indriya-AtmA ca praDAna-AtmA taTA BavAn |
   ātmā ca paramātmā ca tvam ekaḥ pañcadhā sthitaḥ ||	AtmA ca paramAtmA ca tvam ekaH paQcaDA sTitaH ||
   ity [ViP 5.18.50] ādau vivṛtam | tasmāt sarvāntaryāmī puruṣa eva brahmeti	iti [ViS 5.18.50] AdO vivRtam | tasmAt sarva-antaryAmI puruzaH eva brahma-iti
