   (KauśS_1,1.1) atha vidhiṃ vakṣyāmaḥ	(KOSS_1,1.1) aTa viDim vakzyAmaH
   (KauśS_1,1.39) adhaḥ śayīta	(KOSS_1,1.39) aDas SayIta
   (KauśS_1,1.40) prātarhute_agnau <karmaṇe vāṃ veṣāya vāṃ sukṛtāya vām [cf.	(KOSS_1,1.40) prAtar hute_agnO <karmaNe vAm vezAya vAm sukRtAya vAm [cf.
   TS 1.1.4.1 etc., KauśS 58.5]> iti pāṇī prakṣālyāpareṇāgner darbhān āstīrya	TH 1.1.4.1 ed c., KOSH 58.5]> iti pANI prakzAlya apareNa agneH darBAn AstIrya
   teṣūttaram ānaḍuhaṃ rohitaṃ carma prāggrīvam uttaraloma prastīrya pavitre	tezu uttaram Anaxuham rohitam carma prAk grIvam uttaraloma prastIrya pavitre
   kurute	kurute
   (KauśS_1,1.41) darbhau_aprachinnāntau prakṣālyānulomam anumārṣṭi <viṣṇor	(KOSH _1,1.41) darBO_apraCinna antO prakzAlya anulomam anumArzwi <vizNoH 
   manasā pūte sthaḥ [PS 20.45.6, MS 4.1.5:7.15 etc.]> iti	manasA pUte sTaH [PS 20.45.6, M 4.1.5:7.15 ed c.]> iti
   (KauśS_1,2.1) <tvaṃ bhūmim aty eṣy ojasā tvaṃ vedyāṃ sīdasi cārur adhvare	(KOSH _1,2.1) <tvam BUmim ati ezi ojasA tvam vedyAm sIdasi cAruH aDvare
   | tvāṃ pavitram ṛṣayo bharantas tvaṃ punīhi duritāny asmat || [PS 11.13.3	| tvAm pavitram RzayaH BarantaH tvam punIhi duritAni asmat || [PH 11.13.3
   = ;SS 19.33.3 (but sakalapāṭha!)]> iti pavitre antardhāya havir nirvapati	 ;SS 19.33.3 (but sakala pAWa!)]> iti pavitre antarDAya haviH nirvapati
   <devasya tvā savituḥ prasave_aśvinor bāhubhyāṃ pūṣṇo hastābhyāṃ juṣṭaṃ	<devasya tvA savituH prasave_aSvinoH bAhuByAm pUzNaH hastAByAm juzwam
   nirvapāmi [sakala   cf. 19.51.2, PS 5.40.1, TS 1.1.4.2 etc.]> iti	nirvapAmi [sakalaH  cf. 19.51.2, PS 5.40.1, TH 1.1.4.2 ed c.]> iti
   (KauśS_1,2.2) evam <agniṣomābhyām [ibid.]> iti	(KOSS_1,2.2) evam <agnizomAByAm [ibid.]> iti
   (KauśS_1,2.3) <indrāgnibhyām [ ]> iti_amāvāsyāyām	(KOSS_1,2.3) <indra agniByAm [ ]> iti_amAvAsyAyAm
   (KauśS_1,2.4) nityaṃ pūrvam āgneyam	(KOSH _1,2.4) nityam pUrvam Agneyam
   (KauśS_1,2.5) niruptaṃ pavitrābhyāṃ prokṣati <amuṣmai tvā juṣṭam [ ]>	(KOSH _1,2.5) niruptam pavitrAByAm prokzati <amuzmE tvA juzwam [ ]>
   yathādevatam	yaTAdevatam
   (KauśS_1,2.6) ulūkhalamusalaṃ śūrpaṃ prakṣālitaṃ carmaṇi_ādhāya vrīhīn	(KOSS_1,2.6) ulUKala musalam SUrpam prakzAlitam carmaNi_ADAya vrIhIn
   ulūkhala opyāvaghnaṃs trir haviṣkṛtā vācaṃ visṛjati <haviṣkṛd ā dravehi	ulUKalaH opya avaGnan tris havizkRtA vAcam visRjati <ha vizkRt A dravehi
   [cf. Aap;SS 1.19.9 etc.]> iti	[cf. Aap;SH 1.19.9 ed c.]> iti
   (KauśS_1,2.7) +avahatya [ed. apahatya] suphalīkṛtān kṛtvā triḥ prakṣālya	(KOSS_1,2.7) +avahatya [ed. apahatya] suPalIkRtAn kRtvA tris prakzAlya
   taṇḍulān <agne varur yajñiyas tvādhi arukṣat [11.1.16]> iti carum	taNxulAn <agne varuH yajQiyaH tvA aDi arukzat [11.1.16]> iti carum
   adhidadhāti	aDidaDAti
   (KauśS_1,2.8) <śuddhāḥ pūtāḥ [11.1.17]> iti_udakam āsiñcati	(KOSH _1,2.8) <SudDAH pUtAH [11.1.17]> iti_udakam AsiQcati
   (KauśS_1,2.9) <brahmaṇā śuddhāḥ [11.1.18]> iti taṇḍulān	(KOSH _1,2.9) <brahmaNA SudDAH [11.1.18]> iti taNxulAn
   (KauśS_1,2.10) <pari tvāgne puraṃ vayam [7.71.1]> iti triḥ paryagni karoti	(KOSS_1,2.10) <pari tvA agne puram vayam [7.71.1]> iti tris paryagni karoti
   (KauśS_1,2.11) nekṣaṇena triḥ pradakṣiṇam udāyauti	(KOSS_1,2.11) na IkzaNena tris pradakziNam udAyOti
   (KauśS_1,2.12) ata ūrdhvaṃ yathākāmam	(KOSS_1,2.12) atas UrDvam yaTAkAmam
   (KauśS_1,2.13) uttarato_agner upasādayatīdhmam	(KOSH _1,2.13) uttaratas _agneH upasAdayati iDmam
   (KauśS_1,2.14) uttaraṃ barhiḥ	(KOSH _1,2.14) uttaram barhiH
   (KauśS_1,2.15) <agnaye tvā juṣṭaṃ prokṣāmi [i.a. KS 1.10:5.22]> itīdhmam	(KOSH _1,2.15) <agnaye tvA juzwam prokzAmi [i.a. KH 1.10:5.22]> iti iDmam
   (KauśS_1,2.16) <pṛthivyai [ ]> iti barhiḥ	(KOSS_1,2.16) <pRTivyE [ ]> iti barhiH
   (KauśS_1,2.17) darbhamuṣṭim abhyukṣya paścād agneḥ prāgagraṃ nidadhāti	(KOSH _1,2.17) darBa muzwim aByukzya paScAt agneH prAc agram nidaDAti
   <ūrṇamradaṃ prathasva svāsasthaṃ devebhyaḥ [corrupt: cf. i.a. KS	<UrNamradam praTasva svAsa sTam deveByaH [ca Urrupt: cf. i.a. KS
   1.11:6.2 3]> iti	1.11:6.2 3]> iti
   (KauśS_1,2.18) darbhāṇām apādāya <ṛṣīṇāṃ prastaro_asi [16.2.6]> iti	(KOSH _1,2.18) darBANAm apAdAya <RzINAm prastaraH _asi [16.2.6]> iti
   dakṣiṇato_agner brahmāsanaṃ nidadhāti	dakziNatas _agneH brahmAsanam nidaDAti
   (KauśS_1,2.19) purastād agner āstīrya teṣāṃ mūlāni_apareṣāṃ prāntair	(KOSS_1,2.19) purastAt agneH AstIrya tezAm mUlAni_aparezAm prAntEH 
   avachādayan parisarpati dakṣiṇenāgnim ā paścārdhāt	avaCAdayan parisarpati dakziNena agnim A paSca arDAt 
   (KauśS_1,2.20) <pari stṛṇīhi [7.99.1]> iti saṃpreṣyati	(KOSH _1,2.20) <pari stRNIhi [7.99.1]> iti saMprezyati
   (KauśS_1,2.21) <devasya tvā savituḥ prasave_aśvinor bāhubhyāṃ pūṣṇo	(KOSS_1,2.21) <devasya tvA savituH prasave_aSvinoH bAhuByAm pUzNaH 
   hastābhyāṃ prasūtaḥ praśiṣā paristṛṇāmi [ ]> iti	hastAByAm prasUtaH praSizA paristRNAmi [ ]> iti
   (KauśS_1,2.22) evam uttarato_ayujo dhātūn kurvan	(KOSS_1,2.22) evam uttaratas _ayujaH DAtUn kurvan
   (KauśS_1,2.23) yatra samāgachanti tad dakṣiṇottaraṃ kṛṇoti	(KOSS_1,2.23) yatra samAgaCanti tat dakziNa uttaram kRNoti
   (KauśS_1,2.24) stīrṇaṃ prokṣati <haviṣāṃ tvā juṣṭaṃ prokṣāmi [ ]> iti	(KOSS_1,2.24) stIrNam prokzati <havizAm tvA juzwam prokzAmi [ ]> iti
   (KauśS_1,2.25) nānabhyukṣitaṃ saṃstīrṇam upayogaṃ labheta	(KOSS_1,2.25) na anaByukzitam saMstIrNam upayogam laBeta
   (KauśS_1,2.26) naidho_abhyādānam	(KOSH _1,2.26) na eDaH _aByAdAnam
   (KauśS_1,2.27) nānutpūtaṃ haviḥ	(KOSS_1,2.27) na anutpUtam haviH
   (KauśS_1,2.28) nāprokṣitaṃ yajñāṅgam	(KOSS_1,2.28) na aprokzitam yajQa aFgam
   (KauśS_1,2.29) tasmin prakṣālitopavātāni nidadhāti	(KOSH _1,2.29) tasmin prakzAlita upavAtAni nidaDAti
   (KauśS_1,2.30) sruvam ājyadhānīṃ ca	(KOSS_1,2.30) sruvam Ajya DAnIm ca
   (KauśS_1,2.31) vilīnapūtam ājyaṃ gṛhītvādhiśritya paryagni kṛtvā_udag	(KOSH _1,2.31) vilIna pUtam Ajyam gRhItvA aDiSritya paryagni kRtvA_udak 
   udvāsya paścād agner upasādya_udagagrābhyāṃ pavitrābhyām utpunāti	udvAsya paScAt agneH upasAdya_udak agrAByAm pavitrAByAm utpunAti
   (KauśS_1,2.32) <viṣṇor manasā pūtam asi [PS 20.45.7a]>	(KOSS_1,2.32) <vizNoH manasA pUtam asi [PH 20.45.7a]>
   (KauśS_1,2.33) <devas tvā savitā_ut punātu [PS 20.45.7b]>	(KOSS_1,2.33) <devaH tvA savitA_ud punAtu [PH 20.45.7b]>
   (KauśS_1,2.34) <achidreṇa tvā pavitreṇa śatadhāreṇa sahasradhāreṇa supvot	(KOSH _1,2.34) <a CidreNa tvA pavitreNa Sata DAreNa sahasra DAreNa supvA ut
   punāmi [PS 20.45.7cd]> iti tṛtīyam	punAmi [PH 20.45.7cd]> iti tRtIyam
   (KauśS_1,2.35) tūṣṇīṃ caturtham	(KOSH _1,2.35) tUzNIm caturTam
   (KauśS_1,2.36) śṛtaṃ havir abhighārayati <madhvā samañjan ghṛtavat karātha	(KOSS_1,2.36) SRtam haviH aBiGArayati <maDvA samaQjan GRta vat karATa
   [cf. PS 5.16.3d]> iti	[cf. PS 5.16.3d]> iti
   (KauśS_1,2.37) abhighārya_udañcam udvāsayati <ud vāsayāgneḥ śṛtam akarma	(KOSS_1,2.37) aBiGArya_udaQcam udvAsayati <ud vAsaya agneH SRtam akarma
   havyam ā sīda pṛṣṭham amṛtasya dhāma [cf. PS 5.16.3ab]> iti	havyam A sIda pRzWam amRtasya DAma [cf. PH 5.16.3ab]> iti
   (KauśS_1,2.38) paścād ājyasya nidhāyālaṃkṛtya samānena_utpunāti	(KOSS_1,2.38) paScAt Ajyasya niDAya alaMkRtya samAnena_utpunAti
   (KauśS_1,2.39) <adārasṛt [1.20.1]> iti_avekṣate	(KOSH _1,2.39) <adAra sRt [1.20.1]> iti_avekzate
   (KauśS_1,2.40) <ut tiṣṭhata [7.72.1 3]> iti_aindram	(KOSS_1,2.40) <ud tizWate [7.72.1 3]> iti_Endram
   (KauśS_1,2.41) <agnir bhūyām [12.1.19 21]> iti tisṛbhir upasamādadhāti	(KOSH _1,2.41) <agniH BUyAm [12.1.19 21]> iti tisRBiH upasamAdaDAti
   <asmai kṣatrāṇi [7.78.2]> <etam idhmam [10.6.35]> iti vā	<asmE kzatrANi [7.78.2]> <etam iDmam [10.6.35]> iti vA
   (KauśS_1,3.1) <yunajmi tvā brahmaṇā daivyena havyāyāsmai voḍheva [ed.	(KOSS_1,3.1) <yunajmi tvA brahmaNA dEvyena havyAya asmE voXA iva [ed.
   voḍhave: misprint. Cf. Zehnder 1999: 191. Mss.: voḍheva] jātavedaḥ |	voXave: misprint. Cf. ZehndeH 1999: 191. Mss.: voXA iva] jAtavedaH |
   indhānās tvā suprajasaḥ suvīrā jyog jīvema balihṛto vayaṃ te [MS	inDAnAH tvA suprajasaH su vIrAH jyok jIvema bali hRtaH vayam te [MS
   1.4.1:47.6 etc.]> iti	1.4.1:47.6 ed c.]> iti
   (KauśS_1,3.2) dakṣiṇato jāṅmāyanam udapātram upasādyābhimantrayate	(KOSH _1,3.2) dakziNatas jAc mAyanam uda pAtram upasAdya aBimantrayate
   <tathodapātraṃ dhāraya yathāgre brahmaṇaspatiḥ | satyadharmā adīdharad	<taTA udapAtram DAraya yaTA agre brahmaNaspatiH | satya DarmAH adIDarad
   devasya savituḥ save [ ]> iti	devasya savituH save [ ]> iti
   (KauśS_1,3.3) atha_udakam āsiñcati <iheta devīr amṛtaṃ vasānā hiraṇyavarṇā	(KOSS_1,3.3) aTa_udakam AsiQcati <iheta devIH amRtam vasAnA hiraNya varNA
   anavadyarūpāḥ | āpaḥ samudro varuṇaś ca rājā saṃpātabhāgān haviṣo juṣantām	anavadya rUpAH | ApaH samudraH varuNaH ca rAjA saMpAta BAgAn havizaH juzantAm
   [ , cf. PS 2.40.1a] || indrapraśiṣṭā varuṇaprasūtā apaḥ samudrād divam ud	[ , cf. PS 2.40.1a] || indra praSizwAH varuNa prasUtAH apaH samudrAt divam ud
   vahantu | indrapraśiṣṭā varuṇaprasūtā divas pṛthivyā śriyam ud vahantu [ ,	vahantu | indra praSizwA varuNa prasUtAH divaH pRTivyA Sriyam ud vahantu [ ,
   cf. 4.27.4a, RV 10.66.2a]> iti	cf. 4.27.4a, RV 10.66.2a]> iti
   (KauśS_1,3.4) <ṛtaṃ tvā satyena pariṣiñcāmi jātavedaḥ [cf. VaitS 7.4, TB	(KOSS_1,3.4) <Rtam tvA satyena pariziQcAmi jAtavedaH [cf. VEtS 7.4, TB
   2.1.11.1 etc.]> iti saha havirbhiḥ paryukṣya jīvābhir <[19.69.1 4]>	2.1.11.1 ed c.]> iti saha havirBiH paryukzya jIvABiH <[19.69.1 4]>
   ācamya_utthāya vedaprapadbhiḥ prapadyate_<o;m prapadye bhūḥ prapadye	Acamye _utTAya veda prapadBiH prapadyate_<o;m prapadye BUH prapadye
   bhuvaḥ prapadye svaḥ prapadye janat prapadye [TA 4.42.2 4]> iti	BuvaH prapadye svar prapadye janat prapadye [TAH 4.42.2 4]> iti
   (KauśS_1,3.5) prapadya paścāt stīrṇasya darbhān āstīrya <ahe daidhiṣavyod	(KOSS_1,3.5) prapadya paScAt stIrNasya darBAn AstIryaH <ahe dEDiza vyod
   atas tiṣṭhāny asya sadane sīda yo 'smat pākataraḥ [TS 3.2.4.4, VaitS	atas tizWAni asya sadane sIda yaH asmat pAkataraH [TH 3.2.4.4, VEtS
   1.20]>_iti brahmāsanam anvīkṣate	1.20]>_iti brahmAsanam anvIkzate
   (KauśS_1,3.6) <nirastaḥ parāgvasuḥ saha pāpmanā nirastaḥ so 'stu yo 'smān	(KOSH _1,3.6) <nirastaH parAgvasuH saha pApmanA nirastaH saH astu yaH asmAn
   dveṣṭi yaṃ ca vayaṃ dviṣmaḥ [GobhGS 1.6.14, ;SBM 1.5.1.23 etc.]>_iti	dvezwi yam ca vayam dvizmaH [GoBGS 1.6.14, ;SBm 1.5.1.23 ed c.]>_iti
   dakṣiṇā tṛṇaṃ nirasyati (cf. 139.38ff.)	dakziNA tRNam nirasyati (cf. 139.38ff.)
   (KauśS_1,3.7) tad anvālabhya japati <idam aham arvāgvasoḥ sadane	(KOSS_1,3.7) tat anvAlaBya japati <idam aham arvAk vasoH sadane
   sīdāmi_[GB 2.1.1, ;SBM 1.5.1.24]_ṛtasya sadane sīdāmi satyasya sadane	sIdAmi_[GB 2.1.1, ;SBm 1.5.1.24]_Rtasya sadane sIdAmi satyasya sadane
   sīdāmi_[PB 1.2.2 etc.]_iṣṭasya sadane sīdāmi pūrtasya sadane sīdāmi [ ]	sIdAmi_[PB 1.2.2 ed c.]_izwasya sadane sIdAmi pUrtasya sadane sIdAmi [ ]
   māmṛṣad deva [em. Bloomfield GGA 1902 514    ed. eva] barhiḥ svāsasthaṃ	mAmRzat deva [em. Bloomfielt GGAH 1902 514   ed. eva] barhiH svAsa sTam
   tvādhyāsadeyam ūrṇamradam anabhiśokam [cf. AAśv;SS 1.4.7]>	tvA aDyAsa deyam UrNamradam anaBiSokam [cf. AASv;SH 1.4.7]>
   (KauśS_1,3.8) <vimṛgvarīṃ [12.1.29]>_ity upaviśyāsanīyaṃ brahmajapaṃ	(KOSS_1,3.8) <vimRc varIm [12.1.29]>_iti upaviSya AsanIyam brahma japam
   japati <bṛhaspatir brahmā brahmasadana āsiṣyate (thus Bl.) [AAśv;SS	japati <bRhaspatiH brahmA brahma sadanaH Asizyate (TuH Bl.) [AASv;H S
   1.12.9]> <bṛhaspate yajñaṃ gopāya [AAśv;SS 1.12.9, TB 3.7.6.3]> <yad ud	1.12.9]> <bRhaspate yajQam gopAya [Aa aSv;SS 1.12.9, TB 3.7.6.3]> <yat ud
   udvata un nivataḥ śakeyam [TS 3.2.4.4]> iti	udvataH ud nivataH Sakeyam [TH 3.2.4.4]> iti
   (KauśS_1,3.9) darbhaiḥ sruvaṃ nirmṛjya <niṣṭaptaṃ rakṣo niṣṭaptā arātayaḥ	(KOSH _1,3.9) darBEH sruvam nirmRjya <nizwaptam rakzaH nizwaptAH arAtayaH
   pratyuṣṭaṃ rakṣaḥ pratyuṣṭā arātayaḥ [TS 1.1.2.1, TB 3.7.6.3]> iti	pratyuzwam rakzaH pratyuzwAH arAtayaH [TH 1.1.2.1, TB 3.7.6.3]> iti
   pratapya mūle sruvaṃ gṛhītvā japati <viṣṇor hasto_asi dakṣiṇaḥ pūṣṇā datto	pratapya mUle sruvam gRhItvA japati <vizNoH hastaH _asi dakziNaH pUzNA dattaH 
   bṛhaspateḥ | taṃ tvāhaṃ sruvam ā dade devānāṃ havyavāhanam [SankhGS 1.9.3]	bRhaspateH | tam tvA aham sruvam A dade devAnAm havyavAhanam [SanKGS 1.9.3]
   || ayaṃ sruvo vi dadhāti homān_śatākṣarachandasā jāgatena | sarvā yajñasya	|| ayam sruvaH vi daDAti homAn_Sata akzara CandasA jAgatena | sarvAH yajQasya
   samanakti viṣṭhā bārhaspatyā_iṣṭiḥ śarmaṇā daivyena [ApSS 4.7.2]> iti	samanakti vizWA bArhaspatyA_izwiH SarmaNA dEvyena [ApSS 4.7.2]> iti
   (KauśS_1,3.10) <oṃ bhūḥ śaṃ bhūtyai tvā gṛhṇe bhūtaye [ ]> iti prathamaṃ	(KOSS_1,3.10) <om BUH Sam BUtyE tvA gRhNe BUtaye [ ]> iti praTamam
   grahaṃ gṛhṇāti	graham gRhNAti
   (KauśS_1,3.11) <oṃ bhuvaḥ śaṃ puṣṭyai tvā gṛhṇe puṣṭaye [ ]> iti dvitīyam	(KOSS_1,3.11) <om BuvaH Sam puzwyE tvA gRhNe puzwaye [ ]> iti dvitIyam
   (KauśS_1,3.12) <oṃ svaḥ śaṃ tvā gṛhṇe sahasrapoṣāya [ ]> iti tṛtīyam	(KOSS_1,3.12) <om svar Sam tvA gRhNe sahasra pozAya [ ]> iti tRtIyam
   (KauśS_1,3.13) <oṃ jagat_śaṃ tvā gṛhṇe_aparimitapoṣāya [ ]> iti caturtham	(KOSS_1,3.13) <om jagat _Sam tvA gRhNe_aparimita pozAya [ ]> iti caturTam
   (KauśS_1,3.14) rājakarmābhicārikeṣu <amuṣya tvā prāṇāya gṛhṇe_apānāya	(KOSH _1,3.14) rAja karma ABicArikezu <amuzya tvA prANAya gRhNe_apAnAya
   vyānāya samānāya_udānāya [ ]> iti pañcamam	vyAnAya samAnAya_udAnAya [ ]> iti paQcamam
   (KauśS_1,3.15) <agnāv agniḥ hṛdā pūtam [4.39.9 10]> <purastād yuktaḥ	(KOSS_1,3.15) <agnO agniH hRdA pUtam [4.39.9 10]> <purastAt yuktaH
   [5.29.1]> <yajñasya cakṣuḥ [2.35.5 = 19.58.5]> iti juhoti	[5.29.1]> <yajQasya cakzuH [2.35.5  19.58.5]> iti juhoti
   (KauśS_1,3.16) paścād agner madhyadeśe samānatra purastāddhomān	(KOSS_1,3.16) paScAt agneH maDyadeSe samAnatra purastAt DomAn
   (KauśS_1,3.17) dakṣiṇenāgnim udapātra ājyāhutīnāṃ saṃpātān ānayati	(KOSH _1,3.17) dakziNena agnim udapAtre Ajya AhutInAm saMpAtAn Anayati
   (KauśS_1,3.18) purastāddhoma ājyabhāgaḥ saṃsthitahomaḥ samṛddhiḥ śāntānām	(KOSS_1,3.18) purastAt DomaH Ajya BAgaH saMsTita homaH samRdDiH SAntAnAm
   (KauśS_1,3.19) iti_etau_ājyabhāgau	(KOSS_1,3.19) iti_etO_Ajya BAgO
   (KauśS_1,4.1) <vṛṣṇe bṛhate svarvide agnaye śulkaṃ harāmi tviṣīmate | sa	(KOSS_1,4.1) <vRzNe bRhate svarvide agnaye Sulkam harAmi tvizImate | sa
   na sthirān balavataḥ kṛṇotu jyok ca no jīvātave dadhāti || [PS 19.52.7]>	na sTirAn balavataH kRNotu jyok ca naH jIvAtave daDAti || [PH 19.52.7]>
   <agnaye svāhā> iti_uttarapūrvārdhe_āgneyam ājyabhāgaṃ juhoti	<agnaye svAhA> iti_uttara pUrva arDe_Agneyam Ajya BAgam juhoti
   (KauśS_1,4.2) dakṣiṇapūrvārdhe somāya <tvaṃ soma divyo nṛcakṣāḥ sugā;m	(KOSH _1,4.2) dakziNa pUrva arDe somAya <tvam soma divyaH nR cakzAH sugA;m
   asmabhyaṃ patho anu khyaḥ | abhi no gotraṃ viduṣa iva neṣo 'chā no vācam	asmaByam paTaH anu KyaH | aBi naH gotram viduzaH iva nezaH aCA naH vAcam
   uśatīṃ jigāsi || [PS 1.51.3]> <somāya svāhā> iti	uSatIm jigAsi || [PS 1.51.3]> <somAya svAhA> iti
   (KauśS_1,4.3) madhye haviḥ	(KOSH _1,4.3) maDye haviH
   (KauśS_1,4.4) upastīryājyaṃ saṃhatābhyām aṅgulibhyāṃ dvir haviṣo_avadyati	(KOSS_1,4.4) upastIrya Ajyam saMhatAByAm aFguliByAm dvis havizaH _avadyati
   madhyāt pūrvārdhāt_ca	maDyAt pUrva arDAt _ca
   (KauśS_1,4.5) avattam abhighārya dvir haviḥ pratyabhighārayati	(KOSS_1,4.5) avattam aBiGArya dvis haviH pratyaBiGArayati
   (KauśS_1,4.6) yato yato_avadyati tad anupūrvam	(KOSS_1,4.6) yatas yatas _avadyati tat anupUrvam
   (KauśS_1,4.7) evaṃ sarvāṇi_avadānāni	(KOSS_1,4.7) evam sarvANi_avadAnAni
   (KauśS_1,4.8) anyatra sauviṣṭakṛtāt	(KOSH _1,4.8) anyatra sOvizwakRtAt 
   (KauśS_1,4.9) <ud enam uttaraṃ naya [6.5.1]> iti purastāddhomasaṃhatāṃ	(KOSS_1,4.9) <ud enam uttaram nayaH [6.5.1]> iti purastAt homa saMhatAm
   pūrvām	pUrvAm
   (KauśS_1,4.10) evaṃ pūrvāṃpūrvāṃ saṃhatāṃ juhoti	(KOSS_1,4.10) evam pUrvAMpUrvAm saMhatAm juhoti
   (KauśS_1,4.11) svāhāntābhiḥ pratyṛcaṃ homāḥ	(KOSS_1,4.11) svAhA antABiH pratyRcam homAH
   (KauśS_1,4.12) yām uttarām agner ājyabhāgasya juhoti rakṣodevatyā sā yāṃ	(KOSS_1,4.12) yAm uttarAm agneH Ajya BAgasya juhoti rakzaH devatyA sA yAm
   dakṣiṇataḥ somasya pitṛdevatyā sā	dakziNatas somasya pitR devatyA sA
