   Vādivāgīśvara: Mānamanohara	VAdi-vAc-ISvara: MAna-manohara
   viśiṣṭasaṃsthānavatvamapi tasyāsiddham,	viSizwa-saMsTAnava-tvam-api tasya-asidDam,
   trinayanasahasrākṣacaturbhujādibhedabhinnatvāt /	trinayana-sahasrAkza-caturBuja-Adi-Beda-Binna-tvAt /
   vivādādhyāsitaḥ śarīrasantāno 'yonijaśarīrakaḥ, śarīrasantānatvād,	vivAda-aDyAsitaH SarIra-santAnaH ayonija-SarIrakaH, SarIra-santAna-tvAt-,
   gomayajanitavṛścikaśarīrasantānavat /	gomaya-janita-vRScika-SarIra-santAna-vat /
   na cānukūlatarkacintā kāryā, anyathāgamārthasyaivānupapattiprasaṅgāt /	na ca-anukUla-tarka-cintA kAryA, anyaTA-Agama-arTasya-eva-anupapatti-prasaFgAt /
   hiraṇyagarbhaḥ samavartatāgre bhūtasya jātaḥ patireka āsīt (ṛ saṃ	hiraNyagarBaH samavartata-agre BUtasya jAtaH patiH-ekaH AsIt (R saM
   10.121.1) iti śruteḥ /	10.121.1) iti SruteH /
   gandhavaccharīraṃ pārthivam /	ganDa-vat-SarIram pArTivam /
   3) gandhopalabdhiḥ karaṇajanyā, kāryatvāt,	3) ganDa-upalabDiH karaNa-janyA, kArya-tvAt,
   kuṃkumagandhābhivyañjakaghṛtavat /	kuMkuma-ganDa-aBivyaQjaka-GRta-vat /
   gandhavadindriyaṃ ghrāṇam /	ganDavat-indriyam GrANam /
   gandhavatī pṛthivī /	ganDavatI pRTivI /
   rūparasagandhasparśasaṅkhyāparimāṇapṛthaktvasaṃyogavibhāgaparatvāparatvagurutvadravatvasaṃskāravatī	rUpa-rasa-ganDa-sparSa-saFKyA-parimANa-pRTaktva-saMyoga-viBAga-paratva-aparatva-guru-tva-drava-tva-saMskAravatI
   pṛthivī /	pRTivI /
   [udakasya nirūpaṇam --]	[udakasya nirUpaNam --]
   udakatvasāmānyaṃ śarīrasamavetaṃ paramāṇujātitvāt, sattāvat /	udaka-tva-sAmAnyam SarIra-samavetam paramANu-jAti-tva-at, sattAvat /
   vipratipannāḥ paramāṇavaḥ paramparayā śarīrārambhakāḥ, guruparamāṇutvāt /	vipratipannAH paramANavaH paramparayA SarIra-AramBakAH, guru-paramANu-tvAt /
   na ca pārthivaparamāṇutvamupādhiḥ, tadabhāve 'pi sādhyasyānugamadarśanena	na ca pArTiva-paramANu-tvam-upADiH, tad-aBAve api sADyasya-anugama-darSanena
   dvyaṇukādiṣu samavyāptikatvābhāvāt /	dvi-aNuka-Adizu samavyAptika-tva-aBAvAt /
   adṛṣṭaviśeṣākṛṣṭatvameva tatrāpi prayojakamityanye /	adRzwa-viSeza-AkRzwa-tvam-eva tatra-api prayojakam-iti-anye /
   tañca pūrvānumānena sādhayituṃ śakyate iti na kaścid doṣaḥ /	taQca pUrva-anumAnena sADayitum Sakyate iti na kaScid dozaH /
   śītasparśavaccharīramāpyam /	SIta-sparSa-vat-SarIram-Apyam /
   rasopalabdhiḥ karaṇajanyā, kāryatvādgandhopalabdhivat /	rasa-upalabDiH karaNa-janyA, kArya-tvAt-ganDa-upalabDi-vat /
   rasanamāpyam, rūparasayormadhye rasasyaivābhivyañjakatvāllālāvat /	rasanam-Apyam, rUpa-rasayoH-maDye rasasya-eva-aBivyaQjaka-tvAt-lAlA-vat /
   śītasparśavadindriyaṃ rasanam /	SIta-sparSa-vat-indriyam rasanam /
   snehavad dravyamudakam /	sneha-vat dravyam-udakam /
   rūparasasparśasaṃkhyāparimāṇapṛthaktvasaṃyogavibhāgaparatvāparatvagurutvadravatvasnehasaṃskāravadudakam	rUpa-rasa-sparSa-saMKyA-parimANa-pRTaktva-saMyoga-viBAga-paratva-aparatva-guru-tva-drava-tva-sneha-saMskAra-vat-udakam
   [tejaso nirūpaṇam --]	[tejasaH nirUpaNam --]
   1) vivādādhyāsitāḥ paramāṇavaḥ paramparayā śarīrārambhakāḥ,	1) vivAda-aDyAsitAH paramANavaH paramparayA SarIra-AramBakAH,
   rūpiparamāṇutvāt, pārthivaparamāṇuvat /	rUpi-paramANu-tva-at, pArTiva-paramANu-vat /
   na cāpārthivaparamāṇutvādityanena manaḥparamāṇuvatprakaraṇasamatvam, so	na ca-apArTiva-paramANu-tvAt-iti-anena manaH-paramANu-vat-prakaraNa-sama-tvam, saH-
   'gnerdevayonyā āhutibhyaḥ sambūya hiraṇyaśarīra ūrdhvaṃ	agneH-deva-yonyAH AhutiByaH sambUya hiraNya-SarIraH UrDvam
   svargalokametītyāgamabādhāt /	svarga-lokam-eti-iti-Agama-bADAt /
   na ca viśiṣṭādṛṣṭākṛṣṭatvamupādhiḥ sādhanavyāpakatvāt /	na ca viSizwa-adRzwa-AkRzwa-tvam-upADiH sADana-vyApaka-tvAt /
   uṣṇasparśavaccharīraṃ taijasam /	uzNa-sparSa-vat-SarIram tEjasam /
   2) rūpopalabdhiḥ karaṇajanyā, kāryatvāt /	2) rUpa-upalabDiH karaNa-janyA, kAryatvAt /
   cakṣuḥ taijasam, rūparasayormadhye rūpasyaiva vyañjakatvādālokavat /	cakzuH tEjasam, rUpa-rasayoH-maDye rUpasya-eva vyaQjaka-tvAt-Aloka-vat /
   uṣṇamindriyaṃ taijasam /	uzNam-indriyam tEjasam /
   3) vivādādhyāsitāḥ paramāṇavo na pārthivāḥ, atyantāgnisaṃyoge	3) vivAda-aDyAsitAH paramANavaH na pArTivAH, atyanta-agni-saMyoge
   bhasmānārambhakatvāt, jalaparamāṇuvat /	Basma-anAramBaka-tvAt, jala-paramANu-vat /
   vivādādhyāsitaṃ taijasam, aśītatve sati	vivAda-aDyAsitam tEjasam, aSIta-tve sati
   apākajarūpādhāraparamāṇujanyadravyatvāt, sampratipannāgnivat /	apAkaja-rUpa-ADAra-paramANu-janya-dravya-tva-at, sampratipanna-agni-vat /
   uṣṇasparśavattejaḥ /	uzNa-sparSa-vat-tejaH /
   rūpasparśasaṃkhyāparimāṇapṛthaktvasaṃyogavibhāgaparatvāparatvadravatvasaṃskāravattejaḥ	rUpa-sparSa-saMKyA-parimANa-pRTaktva-saMyoga-viBAga-paratva-aparatva-drava-tva-saMskAra-vat-tejaH
   iti ca tejaḥ //	iti ca tejaH //
   [vāyornirūpaṇam --]	[vAya-uH-nirUpaNam --]
   1) vivādādhyāsitāḥ (vāyavīyāḥ) paramāṇavaḥ paramparayā śarīrārambhakāḥ,	1) vivAda-aDyAsitAH (vAyavIyAH) paramANavaH paramparayA SarIra-AramBakAH,
   sparśavatparamāṇutvāt, sampratipannaparamāṇuvat /	sparSavat-paramANu-tva-at, sampratipanna-paramANu-vat /
   arūpaṃ śarīraṃ vāyavīyam, mūrtatve sati tvagindriyānyatve ca sati vyāptyā	arUpam SarIram vAyavIyam, mUrta-tve sati tvac-indriya-anya-tve ca sati vyAptyA
   tvagindriyasaṃyogādhāraḥ śarīram /	tvac-indriya-saMyoga-ADAraH SarIram /
   2) sparśopalabdhiḥ karaṇajanyā kāryatvādrūpopalabdhivat /	2) sparSa-upalabDiH karaNa-janyA kArya-tvAt-rUpa-upalabDi-vat /
   sparśanaṃvāyavīyam, rūpasparśayormadhye sparśasyaivābhivyañjakadravyatvād,	sparSanaMvAyavIyam, rUpa-sparSayoH-maDye sparSasya-eva-aBivyaQjaka-dravya-tvAt-,
   vyajanānilavat /	vyajana-anila-vat /
   arūpāvayavīndriyaṃ sparśanam /	arUpa-avayavi-indriyam sparSanam /
   pūrveṣvatra ca śarīrendriyavyatirikto 'vayavī viṣayaḥ ityavagantavyam /	pUrvezu-atra ca SarIra-indriya-vyatiriktaH avayavI vizayaH iti-avagantavyam /
   3) vāyurasmadādipratyakṣaviṣayo na bhavati, vāyutvātparamāṇuvāyuvat /	3) vAyuH-asmad-Adi-pratyakza-vizayaH na Bavati, vAyu-tvAt-paramANu-vAyu-vat /
   na ca paramāṇutvamupādhiḥ, vāyudvayaṇukādiṣu sādhyasyānanugamadarśanāt /	na ca paramANu-tvam-upADiH, vAyu-dvayaNuka-Adizu sADyasya-ananugamadarSanAt /
   vāyurasmadādipratyakṣaviṣayo na bhavati, arūpidravyatvādākāśavat /	vAyuH-asmad-Adi-pratyakza-vizayaH na Bavati, arUpi-dravya-tvAt-AkASa-vat /
   na cāsparśavaddravyatvamupādhiḥ, sādhyāvyāpakatvāttatraivābhāvāt /	na ca-asparSa-vat-dravya-tvam-upADiH, sADya-avyApaka-tvAt-tatra-eva-aBAvAt /
   na codbhūtasparśābhāvo mahattve sati prayojakaḥ, vāristhite tejasi abhāvāt	na ca-udBUta-sparSa-aBAvaH mahat-tve sati prayojakaH, vAri-sTite tejasi aBAvAt-
   na ca tasyāpi pratyakṣatvam, uṣṇaṃ jalamiti vibhramānupapatteḥ /	na ca tasya-api pratyakza-tvam, uzNam jalam-iti viBrama-anupapatteH /
   4) sparśanaṃ nīrūpadravyagrāhakaṃ na bhavati, bāhyendritvāccakṣurvat /	4) sparSanam nIrUpa-dravya-grAhakam na Bavati, bAhya-indri-tvAt-cakzuH-vat /
   na ca vāyurasmadādipratyakṣaḥ, anudbhūtarūpānadhikaraṇatve sati	na ca vAyuH-asmad-Adi-pratyakzaH, anudBUta-rUpa-an-aDikaraNa-tve sati
   udbhūtasparśādhikaraṇatvādghaṭavaditi sāmpratam, paramāṇau vyabhicārāt /	udBUta-sparSa-aDikaraNa-tvAt-Gawa-vat-iti sAmpratam, paramANO vyaBicArAt /
   na ca mahattve satīti viśeṣaṇīyam, pratyakṣasāmagrīsadbhāvasyopādheḥ /	na ca mahat-tve satI-iti viSezaNIyam, pratyakza-sAmagrI-sadBAvasya-upADeH /
   sā cānuvicāryamāṇā udbhūtarūpasparśamahattvānnātiricyate /	sA ca-anuvicAryamANA udBUta-rUpa-sparSa-mahat-tvAt-na-atiricyate /
   tasyāpi sādhane 'pasiddhantaḥ /	tasya-api sADane apasidDantaH /
   tathā nāsmadādibāhyendriyapratyakṣo vāyuḥ,	taTA na-asmad-Adi-bAhya-indriya-pratyakzaH vAyuH,
   asmadādyapratyakṣasaṃkhyādhikaraṇatvānnabhovat /	asmad-Adya-pratyakza-saMKyA-aDikaraNa-tvAt-naBaH-vat /
