   Sarvajñatākāradhāraṇī	SarvajQa-tA-AkAra-DAraNI
   sthāsyati / kaḥ saddharmāntardhānasyānantaram anuttarāṃ samyaksaṃbodhim	sTAsyati / kaH sadDarma-antarDAnasya-anantaram anuttarAm samyaksaMboDim
   abhisaṃbhotsyate?	aBisaMBotsyate?
   [Page 9]	[Page 9]
   tena khalu punaḥ samayena gaganamudro nāma bodhisattvaḥ sa	tena Kalu punar samayena gaganamudraH nAma boDisattvaH sa
   pūrvapraṇidhānena candrottamena tathāgatena vyākṛtaḥ / bhaviṣyasi tvaṃ	pUrva-praNiDAnena candra-uttamena taTAgatena vyAkRtaH / Bavizyasi tvam
   kulaputra mama parinirvṛtasya daśāntarakalpān saddharmaḥ sthāsyati;	kula-putra mama parinirvRtasya daSa-antara-kalpAn sadDarmaH sTAsyati;
   rātryāḥ prathame yāme me saddharmāntarahāsyati, tatraiva rātryāḥ paścime	rAtryAH praTame yAme me sadDarma-antara-hAsyati, tatra-eva rAtryAH paScime
   yāme tvam anuttarāṃ samyaksaṃbodhim abhisaṃbhotsyase, padmottaro nāma	yAme tvam anuttarAm samyaksaMboDim aBisaMBotsyase, padmottaraH nAma
   bhaviṣyasi tathāgato 'rhan samyaksaṃbuddhaḥ / tatkāle ye bodhisattvā	Bavizyasi taTAgataH arhan samyaksaMbudDaH / tad-kAle ye boDisattvA
   mahāsattvā yena candrottamas tathāgatas tenopajagmuḥ / upetya te sarve	mahAsattvAH yena candra-uttamaH taTAgataH tena-upajagmuH / upetya te sarve
   nānāprakārair bodhisattvavikurvaiś candrottamasya pūjāṃ kṛtvā bhagavantam	nAnA-prakArEH boDisattva-vikurvEH candrottamasya pUjAm kRtvA Bagavantam
   etad avocan / icchāmo vayaṃ bhadanta bhagavann ime daśāntarakalpā nirodham	etat avocan / icCAmaH vayam Badanta Bagavan ime daSa-antara-kalpAH niroDam
   avahitena cittenātināmayituṃ /	avahitena cittena-ati-nAmayitum /
   tatra khalu kulaputra candrottamas tathāgato gaganamudraṃ bodhisattvam	tatra Kalu kula-putra candra-uttamaH taTAgataH gaganamudram boDisattvam
   āmantryaitad avocat / udgṛhṇa tvaṃ kulaputremaṃ	Amantrya-etat avocat / udgRhNa tvam kula-putra-imam
   sarvajñātākāradhāraṇīmukhapraveśaṃ sarvātītānāgatais tathāgataiḥ	sarva-jQAta-AkAra-DAraNI-muKa-praveSam sarva-atIta-anAgatEH taTAgatEH
   samyaksaṃbuddhair yauvarājyābhiṣiktānāṃ bodhisattvānāṃ deśitaṃ / ye	samyaksaMbudDEH yOvarAjya-aBiziktAnAm boDisattvAnAm deSitam / ye
   caitarhi daśasu dikṣu sarvalokadhātuṣu buddhā bhagavantas tiṣṭhantas te	ca-etarhi daSasu dikzu sarva-loka-DAtuzu budDAH BagavantaH tizWantaH te
   'pi deśayanti / ye bhaviṣyanty anāgate 'dhvani buddhā bhagavantas te 'pi	api deSayanti / ye Bavizyanti anAgate aDvani budDAH BagavantaH te api
   yauvarājyābhiṣiktabodhisattvānāṃ deśayiṣyanti / tadyathā;	yOvarAjya-aBizikta-boDisattvAnAm deSayizyanti / tat-yaTA;
   [Page 10]	[Page 10]
   jalijalini mahājalini phutke butke saṃmade mahāsaṃmade, devām aṭi caṭi	jalijalini mahA-jalini Putke butke saMmade mahA-saMmade, devAm awi cawi
   ṭake ṭharaṭharkke amimakasi hili cili tili ruruke mahāruruke, jaya durjaye	wake WaraWA-Rkke amimakasi hili cili tili ruruke mahAruruke, jaya durjaye
   jaye jayamati śānte śāntanirghoṣaṇi, amūlaparichinne, mārasainya	jaye jayamati SAnte SAnta-nirGozaNi, amUla-pariCinne, mAra-sEnya
   vitrāsane, mukte muktapariśuddhe, abhite bhayamocane, bhāra charaṇā dānta	vitrAsane, mukte mukta-pariSudDe, aBite Baya-mocane, BAra CaraNAH dAnta
   vidyāvidyā varuttame, nigrahaṃ parivādināṃ, dharmavādinām anugrahaṃ,	vidyA-avidyA varuttame, nigraham parivAdinAM, Darma-vAdinAm anugrahaM,
   ārakṣa dharmavādināṃ caturṇāṃ smṛtyupasthānānām	Arakza Darma-vAdinAm caturNAm smRti-upasTAnAnAm
   adhimuktipadaprakāśanapadam idaṃ / SjDh_1	aDimukti-pada-prakASana-padam idam / SjDh_1
   buddhakāśaye amama nimama, avevi arthe arthani stīraṇe, lokādhimukte,	budDaka-ASaye amama nimama, avevi arTe arTani stIraNe, loka-aDimukte,
   sandadha paribhāvane, caturṇām āryavaṃśānāṃ, adhimuktipadaprakāśanapadā /	sandaDa pariBAvane, caturNAm Arya-vaMSAnAn, aDimukti-pada-prakASana-padAH /
   SjDh_2	SjDh_2
   bhāṣithe bhāṣaṇe, dhāre dhārayati, gupte śubhaprabhe tatphale agraphale	BAziTe BAzaNe, DAre DArayati, gupte SuBa-praBe tad-Pale agra-Pale
   niṣphale nilaha amukta amukta nirmukte, atravita vimuktavati, vilaphala,	nizPale nilaha amuktaH amukta nirmukte, atravita vimuktavati, vilaPala,
   ayukta iviti, yiviti ratitula, tulamaṃ ahiṃsāma itivāva, atvānatvāna	ayuktaH iviti, yiviti rati-tula, tulamam ahiMsAmaH itivAva, atvAna-tvAna
   sarvaloke, aneka livindha abhūsare, hatamatte, veśāgravate, aphala,	sarva-loke, aneka livinDa aBUsare, hata-matte, veSAgravate, aPala,
   kaphala, trayāṇām ārakṣitānāṃ adhimuktipadam idaṃ / SjDh_3	kaPala, trayANAm ArakzitAnAm aDimukti-padam idam / SjDh_3
   [Page 11]	[Page 11]
   jaḍata, aniharavavatavyo idaṃ phalaṃ, niyāmaphalaṃ, samudānāya vibhūṣa,	jaxata, aniharavavatavyaH idam Palan, niyAma-PalaM, samudAnAya viBUza,
   pasye somantra, anumatto akumatto, chedāvane mantrastā daśabala	pasye somantra, anumattaH akumatto, Ceda-avane mantraH-tAH daSa-bala
   vigrahasthā, isusthita, sunikhama, tīkṣṇāmati, āloko, atitṛṣṇā, adimati,	vigraha-sTA, isu-sTita, su-niKama, tIkzNAmati, Aloko, ati-tRzNA, adimati,
   pratyutpannabuddhapūrvaprahāre, caturṇāṃ samyakprahāṇāṃ,	pratyutpanna-budDa-pUrva-prahAre, caturNAm samyak-prahANAM,
   adhimuktipadaprakāśapadam idaṃ / SjDh_4	aDimukti-pada-prakASa-padam idam / SjDh_4
   anye manye mane, mamane, vire virate, śame śamitāvi, śānte mukte	anye manye mane, mamane, vire virate, Same SamitAvi, SAnte mukte
   nirakṣame, same samasame, kṣaye akṣaye, ajiti śānte samiṣṭhe, dhāraṇī	nirakzame, same sama-same, kzaye akzaye, ajiti SAnte samizWe, DAraNI
   ālokāvabhāse, ratnavrate, rasamyavate, jñānavate, meruvate,	Aloka-avaBAse, ratna-vrate, rasamyavate, jQAnavate, meruvate,
   kṣayanidarśane, lokapradīpanidarśane, caturṇāṃ pratisaṃvidām	kzaya-nidarSane, loka-pradIpa-nidarSane, caturNAm pratisaMvidAm
   adhimuktipadaprakāśapadam idaṃ / SjDh_5	aDimukti-pada-prakASa-padam idam / SjDh_5
   cakṣu ābhāse nidarśane jñānālokanidarśanañ ca, prabhāsane sarvendriya	cakzu ABAse nidarSane jQAna-Aloka-nidarSanan ca, praBAsane sarva-indriya
   bhūmātikrānte, sarvasava vamāṃ, sarve prāthavā kṣayaṃ kare, gokāha vadane,	BUma-atikrAnte, sarva-sava vamAM, sarve prATavA kzayam kare, goka-Aha vadane,
   lokānudarśanavibhū, caturṇāṃ ṛddhipādānām adhimuktipadaprakāśapadam idaṃ /	loka-anudarSana-viBU, caturNAm RdDi-pAdAnAm aDimukti-pada-prakASa-padam idam /
   SjDh_6	SjDh_6
   acale buddhe vṛddhapracale, satva gṛhṇa siddhi, kaṃpati nisiddha smahiṭṭe	acale budDe vRdDa-pracale, satva gRhNa sidDi, kaMpati nisidDa sma-hiwwe
   parekasire, some cande datve acala acala apare vicivale nipale pracacale	pareka-sire, some cande datve acala acala apare vicivale nipale pracacale
   [Page 12] prasare, anaya abhyāse, kaṃkame prabhāvini, drāme nijaso	[Page 12] prasare, anayaH aByAse, kaMkame praBAvini, drAme nijasaH-
   grakkrame nayane indriyāṇāṃ balānām adhimuktipadaprakāśapadam idaṃ /	grakkrame nayane indriyANAm balAnAm aDimukti-pada-prakASa-padam idam /
   SjDh_7	SjDh_7
   puṣpe supuṣpe, drumaparihāre, abhayarucire, cekaratke, akṣayam astu,	puzpe supuzpe, druma-parihAre, aBaya-rucire, cekarat-ke, akzayam astu,
   ninire mamale, pañcaśiśire, lokasya vijñāne, nayasaṃgṛhīte ca yukte	ninire mamale, paQca-SiSire, lokasya vijQAne, naya-saMgRhIte ca yukte
   succhendena saptānāṃ bodhyaṅgānāṃ adhimuktipadaprakāśapadam idaṃ / SjDh_8	sucCendena saptAnAm boDi-aFgAnAm aDimukti-pada-prakASa-padam idam / SjDh_8
   cakravajre, maitra samāpade, krānte kete, karuṇa rudīkṣayi, prītirūpe	cakravajre, mA-etra samApade, krAnte kete, karuNa rudIkzayi, prIti-rUpe
   kṣamasaṃpanne, arake varate, kharo khare, amūle mūle, sādhane, caturṇāṃ	kzama-saMpanne, arake varate, KaraH Kare, amUle mUle, sADane, caturNAm
   vaiśāradyānām adhimuktipadaprakāśapadam idaṃ / SjDh_9	vESAradyAnAm aDimukti-pada-prakASa-padam idam / SjDh_9
   vartte cakre cakradhare varacakre vare pravare, hile hire dhare,	vartte cakre cakraDare vara-cakre vare pravare, hile hire Dare,
   ārūpāvate, huhure yathā jibhaṃga niṃvare, yathāparaṃ cariniśe yathā	ArUpAvate, huhure yaTA jiBaMga niMvare, yaTA-param cari-niSe yaTA
   bhayaririśi, satyanirhāre, jaravila, viryanihāra, cūre mārganihāra	Baya-ririSi, satya-nirhAre, jaravila, viryanihAra, cUre mArga-nihAra
   samādhinihāra prajñānihāra vimuktinirhāra, vimuktijñānadarśananihāra	samADi-nihAra prajQA-nihAra vimukti-nirhAra, vimukti-jQAna-darSana-nihAra
   nakṣatranirhāra candranirhāra sūryanirhāra, padāñ caturuttaratathāgatena	nakzatra-nirhAra candra-nirhAra sUrya-nirhAra, padAn catur-uttara-taTA-gatena
   adbhutaṃ, niradbhutaṃ saṃbuddhaṃ abuddha ihabuddhaṃ, tatrabuddhaṃ	adButaM, niradButam saMbudDam abudDaH ihabudDaM, tatra-budDam
   nihaṃgamapare, araha daraha paṇḍale [Page 13] paṇḍale tatrārtalu,	nihaMgam-apare, araha daraha paNxale [Pa-ge 13] paNxale tatra-artalu,
   māṃgagharaṇi pūṭani saṃprapūṭani, gatapraṃgamanu niruva, nāśani	mAMga-GaraNi pUwani saMprapUwa-ni, gata-praMgam-anu niruva, nASani
   nāśabandhani, cchicchini, cchicchidrama, yova hiḍiṃgamā vare mare, hanane,	nASabanDa-ni, cCicCini, cCicCit-rama, yova hixiMgamAH vare mare, hanane,
   bhare bhare bhunde bhire bhire ruṣare, saraṇe, daraṇe, pravartte,	Bare Bare Bunde Bire Bire ruzare, saraNe, daraNe, pravartte,
   calanāḍaye, vidraṃvumā varakhumā, brahmacāriṇa, indravani, dhidhirāyani,	cala-nAxaye, vidraMvumA vara-KumA, brahmacAriNa, indravani, DiDirAyani,
   maheśvaralalani, mamasume, aramini ekākṣara vivañcani, carasti ābhicandāra	maheSvara-lalani, mamasume, aramini ekAkzara vivaQcani, carasti ABicandAra
   sūre, sarvasūrā āvarasūrā, punakanitāṃ, maṇḍitāṃ āyinakaṇḍi jabhāme,	sUre, sarva-sUrAH Avara-sUrA, puna-kanitAn, maNxitAm Ayina-kaNxi jaBAme,
   gandhare, atra runimakare, bhirohini siddhamatte, vilokamate,	ganDare, atra runi-makare, Birohini sidDa-matte, viloka-mate,
   buddhādhiṣṭhite, dhāraṇīmukhe, daśānāṃ balānām adhimuktiprakāśanapadam	budDa-aDizWite, DAraNI-muKe, daSAnAm balAnAm aDimukti-prakASana-padam
   idaṃ // SjDh_10	idam // SjDh_10
   samanantarārabdhe khalu punar bhagavatāsmiṃ	samanantara-ArabDe Kalu punar BagavatA-asmin
   sarvajñatākāradhāraṇīmukhapraveśe 'yaṃ trisāhasramahāsāhasralokadhātuḥ	sarvajQa-tA-AkAra-DAraNI-muKa-praveSe ayam tri-sAhasra-mahA-sAhasra-lokaDAtuH
   ṣaḍvikāraṃ prakaṃpitā; tathāvabhāsena daśasu dikṣu sarve lokadhātavaḥ	zaz-vikAram prakaMpitA; taTA-avaBAsena daSasu dikzu sarve lokaDAtavaH
   samapāṇītalajātā sphuṭā saṃdṛśyante / ye 'pi teṣv avasthitāḥ	sama-pANI-tala-jAtA sPuwAH saMdRSyante / ye api tezu avasTitAH
   samādhidhāraṇīkṣāntipratilabdhā bodhisattvās tathāgatabalena svakasvakeṣu	samADi-DAraNI-kzAnti-pratilabDAH boDisattvAH taTAgata-balena sva-ka-svakezu
   [Page 14] buddhakṣetreṣv antarhitā imāṃ sahālokadhātum āgatvā gṛdhrakūṭe	[Page 14] budDa-kzetrezu antarhitA imAm saha-AlokaDAtum AgatvA gRDrakUwe
   bhagavataḥ sakāśam upasaṃkrāntās tasya pādau śirasā vanditvā nānāprakāraiḥ	BagavataH sakASam upasaMkrAntAH tasya pAdO SirasA vanditvA nAnA-prakArEH
   pūjāṃ kṛtvā tatraiva niṣeduḥ sarvajñatākāradhāraṇīmukhapraveśaśravaṇārthaṃ	pUjAm kRtvA tatra-eva nizeduH sarvajQa-tA-AkAra-DAraNI-muKa-praveSa-SravaNa-arTam
   / gaṇanāsamatikrāntāś ca	/ gaNanA-samatikrAntAH ca
   devanāgayakṣāsuragaruḍamanuṣyakumbhāṇḍapiśācādayas sannipatitās te tatra	deva-nAga-yakza-asura-garuxa-manuzya-kumBANxa-piSAca-AdayaH sannipatitAH te tatra
   padmābuddhakṣetraṃ mahatā bodhisattvagaṇaparivṛtaṃ tathāgataṃ ca paśyanti	padma-abudDa-kzetram mahatA boDisattva-gaNa-parivRtam taTAgatam ca paSyanti
   / samanantarodāhṛtasyeyaṃ dhāraṇīmukhapraveśasya bhagavatā dvāsaptatibhir	/ samanantara-udAhRtasya-iyam DAraNI-muKa-praveSasya BagavatA dvAsaptatiBiH-
   gaṅgānadīvālukāsamair bodhisattvair iyaṃ dhāraṇī pratilabdhā daśasu dikṣu	gaFgA-nadI-vAlukA-samEH boDisattvEH iyam DAraNI pratilabDAH daSasu dikzu
   sarvalokadhātusthāṃ buddhān bhagavataś ca guṇavyūhān paśyanti sma / te	sarva-loka-DAtu-sTAm budDAn BagavataH ca guNa-vyUhAn paSyanti sma / te
   āścaryaprāptā buddhapūjāṃ kṛtvā samādhibalena tasthuḥ /	AScarya-prAptAH budDa-pUjAm kRtvA samADi-balena tasTuH /
   bhagavān āha / imāṃ kulaputra dhāraṇīmukhapraveśaṃ bodhisattvo	BagavAn Aha / imAm kula-putra DAraNImuKa-praveSam boDisattvaH-
   bhāvayamānaś caturaśītidhāraṇīśatasahasrāṇi dvāsaptatiś ca ṣaṣṭiñ ca	BAvayamAnaH caturaSIti-DAraNI-Sata-sahasrANi dvAsaptatiH ca zazwin ca
   sahasrāṇi pratilabhate mahāmaitrīkaruṇādayaḥ / ye ca māṃ dhāraṇīṃ	sahasrANi pratilaBate mahA-mEtrI-karuNA-AdayaH / ye ca mAm DAraNIm
   śroṣyanti te 'vaivartino bhaviṣyanti / ye likhiṣyanti te buddhadarśanena	Srozyanti te avEvartinaH Bavizyanti / ye liKizyanti te budDa-darSanena
   saddharmaśravaṇena saṅghopasthānenāvirahitā bhaviṣyanti / ye	sadDarma-SravaNena saFGa-upasTAnena-avirahitAH Bavizyanti / ye
   likhāpayiṣyanti te anuttareṇa parinirvāṇenāvirahitā / [Page 15] ye	liKApayizyanti te anuttareNa parinirvANena-avirahitA / [Page 15] ye
   svādhyāyanti teṣāṃ sarvāṇy akarmāni parikṣayaṃ gacchati / ye bhāvayanti	su-ADyAyanti tezAm sarvANi akarmAni parikzayam gacCati / ye BAvayanti
   teṣāṃ pañcānantaryāṇy akarmāni naśyuḥ / ye dhārayanti taiḥ	tezAm paQca-AnantaryANi akarmAni naSyuH / ye DArayanti tEH
   pramuditādidaśabhūmīn pratilabhante / ye vācayanti te 'nuttarāṃ	pramudita-Adi-daSa-BUmIn pratilaBante / ye vAcayanti te anuttarAm
   samyaksaṃbodhiṃ prāpsyanti / ye parebhyaś ca vistareṇa bhāṣayanti te	samyaksaMboDim prApsyanti / ye pareByaH ca vistareNa BAzayanti te
   tathāgatā bhavanti //	taTAgatAH Bavanti //
   atha khalu bhagavān maitreyaṃ bodhisattvam etad avocat / yaiḥ khalu	aTa Kalu BagavAn mEtreyam boDisattvam etat avocat / yEH Kalu
   kulaputrātītānāgatapratyutpannais tathāgatair arhadbhiḥ samyaksaṃbuddhair	kula-putra-atIta-anAgata-pratyutpannEH taTAgatEH arhadBiH samyaksaMbudDEH-
   asyā dhāraṇyāḥ prabhāvena samyaksaṃbodhiḥ prāptāmaḥ / mayā bhūtapūrvaṃ	asyAH DAraNyAH praBAvena samyaksaMboDiH prAptAmaH / mayA BUta-pUrvam
   kulaputra kāśyapasya samyaksaṃbuddhasya sakāśād imān dhāraṇīṃ prāptā, asyā	kula-putra kASyapasya samyaksaMbudDasya sakASAt imAn DAraNIm prAptA, asya-a
   dhāraṇyāḥ prabhāvena samyaksaṃbodhiḥ prāptā, etarhy api mayā dhāritā	DAraNyAH praBAvena samyaksaMboDiH prAptA, etarhi api mayA DAritA
   vācitā parebhyaś ca vistareṇa saṃprakāśitā / evaṃ khalu maitreya yathā	vAcitA pareByaH ca vistareNa saMprakASitA / evam Kalu mEtreya yaTA
   gaganamudrabodhisattvena candrottamatathāgatasya sakāśād imāṃ dhāraṇīṃ	gagana-mudra-boDisattvena candrottama-taTA-gatasya sakASAt imAm DAraNIm
   prāptā dhāritā vācitā, 'syā dhāraṇyāḥ prabhāvena gaganamudro bodhisattvaḥ	prAptAH DAritAH vAcitA, asyAH DAraNyAH praBAvena gaganamudraH boDisattvaH
   candrottamatathāgatasya parinirvāṇād yasyāṃ rātrau prathame yāme	candrottama-taTA-gatasya parinirvANAt yasyAm rAtrO praTame yAme
   saddharmāntarhite tasyāṃ paścime yāme samyaksaṃbodhiṃ prāptā padmāyāṃ	sadDarma-antarhite tasyAm paScime yAme samyaksaMboDim prAptA padmAyAm
   lokadhātau padmottara nāma tathāgato [Page 16] bhavati / tathā kulaputra	lokaDAtO padmottara nAma taTAgataH [Page 16] Bavati / taTA kula-putra
   mama sakāśād iyaṃ drāviḍamantrapadā sarvajñatākāradhāraṇī dhāraya vācaya	mama sakASAt iyam drAvixa-mantra-padA sarvajQa-tA-AkAra-DAraNI DAraya vAcaya
   vistareṇa parebhyaś ca saṃprakāśaya / asyāḥ prabhāvena	vistareNa pareByaH ca saMprakASaya / asyAH praBAvena
   maitreyāśītivarṣasahasrāyuṣi prajāyāṃ maitreyo nāma tathāgato 'rhaṃ	mEtreya-aSIti-varza-sahasra-Ayuzi prajAyAm mEtreyaH nAma taTAgataH arham
   samyaksaṃbuddho bhaviṣyati / tena te maitreyaitarhi mamāntikād yauvarājyaṃ	samyaksaMbudDaH Bavizyati / tena te mEtreya-etarhi mama-antikAt yOvarAjyam
   parigṛhītaṃ, yathātītānāṃ tathāgatānām antikād atītair bodhisattvair	parigRhItaM, yaTA-atItAnAm taTAgatAnAm antikAt atItEH boDisattvEH-
   yauvarājyaṃ parigṛhītāḥ //	yOvarAjyam parigRhItAH //
   tatra khalu bhagavān sarvāvatīṃ parṣadam avalokya tasyāṃ velāyām imāni	tatra Kalu BagavAn sarvAvatIm parzadam avalokya tasyAm velAyAm imAni
   mantrapadāny abhāṣata / tadyathā:	mantra-padAni aBAzata / tat-yaTA:
   dāntabhūmiḥ damathabhūmiḥ smṛtibhūmiḥ prajñābhūmir vaiśāradyabhūmiḥ	dAnta-BUmiH damaTa-BUmiH smRti-BUmiH prajQA-BUmiH vESAradya-BUmiH
