   // śrīḥ //	// SrIH //
   mattavilāsaprahasanaṃ	matta-vilAsa-prahasanam
   Naṭī - kiṃ tāe evva ṇiutto si /	NawI  kim tAe evva NiuttaH si /
   [kiṃ tayaiva niyukto 'si /]	[kim tayA-eva niyuktaH asi /]
   Sūtradhāraḥ - evam etat / api ca, tatra gatā mahāntam anugrahaṃ lapsyase /	SUtra-DAraH  evam etat / api ca, tatra gatAH mahAntam anugraham lapsyase /
   Naṭī - tava evva khu edaṃ jujjai /	NawI  tava evva Ku edam jujjEH /
   [{tavaiva : tathaivaṃ G} khalv etad yujyate /]	[{tava-eva : taTA-evam G} Kalu etat yujyate /]
   Sūtradhāraḥ - bhavati! kim iva na yujyate / tvatprayogaparitoṣitā pariṣad	SUtra-DAraH  Bavati! kim iva na yujyate / tvad-prayoga-paritozitA parizad
   anurahīṣyatīti /	anurahIzyati-iti /
   Naṭī - (saharṣam) evaṃ / laddho ayyamissāṇaṃ pasādo /	NawI  (saharzam) evam / ladDaH ayyamissANam pasAdaH /
   [evam / labdha āryamiśrāṇāṃ prasādaḥ /]	[evam / labDaH Arya-miSrANAm prasAdaH /]
   Sūtradhāraḥ - bāḍham / labdhaḥ /	SUtra-DAraH  bAXam / labDaH /
   Naṭī - jai evaṃ, kiṃ de piakkhāṇiaṃ demi /	NawI  jEH evaM, kim de piakKANiam demi /
   [yady evaṃ, kiṃ te {priyākhyānikaṃ : priyākhyānitakaṃ G} dadāmi /]	[yadi evaM, kim te {priya-AKyAnikam : priya-AKyAnitakam G} dadAmi /]
   Sūtradhāraḥ - alaṃ priyākhyānikapunaruktena / {paśya : kutaḥ E},	SUtra-DAraH  alam priya-AKyAnika-punaruktena / {paSya : kutas E},
   udbhinnaromāñcakapolarekham	udBinna-romAQca-kapola-reKam
   āvirmayūkhasmitam añcitabhru /	Avis-mayUKa-smitam aQcita-Bru /
   labdhvā priye durlabham ānanaṃ te	labDvA priye durlaBam Ananam te
   bhūyo 'pi kiṃ prārthayitavyam asti // 2 //	BUyas api kim prArTayitavyam asti // 2 //
   Naṭī - kiṃ dāṇi ayyeṇa paujjidavvaṃ /	NawI  kim dANi ayyeNa pOjjidavvam /
   [kim idānīm āryeṇa {prayoktavyam : nāṭakaṃ nāṭayitavyam G} /]	[kim idAnIm AryeNa {prayoktavyam : nAwakam nAwayitavyam G} /]
   sūtradhāraḥ - nanu tvayaivābhihitaṃ mattavilāsaprahasanam iti /	sUtra-DAraH  nanu tvayA-eva-aBihitam matta-vilAsa-prahasanam iti /
   Naṭī - ṇūṇaṃ {imassiṃ : imasmi Unni} pakkhavādī me kovo, jeṇa	NawI  NUNam {imassim : imasmi Unni} pakKa-vAdI me kovo, jeNa
   abhippāāṇu{rūvaṃ : gadaṃ Kha} bhaṇāvida hmi / ayya! kadamo uṇa so kavī, jo	aBippAANu{rUvam : gadam Kha} BaNa-avida hmi / ayya! kadamaH uNa saH kavI, jaH-
   imāe kidīe paāsīadi /	imAe kidIe paAsIa-di /
   [{nūnam : ām G} asmin pakṣapātī me kopaḥ, yenābhiprāyānurūpaṃ bhāṇitāsmi /	[{nUnam : Am G} asmin pakzapAtI me kopaH, yena-aBiprAya-anurUpam BANitA-asmi /
   ārya! katamaḥ punaḥ sa kaviḥ, {yo 'nayā kṛtyā prakāsyate : yenānayā kṛtyā	Arya! katamaH punar sa kaviH, {yaH anayA kRtyA prakAsyate : yena-anayA kRtyA
   ātmānam eva prakāśayiṣyati G} /]	AtmAnam eva prakASayizyati G} /]
   Sūtradhāraḥ - bhavati! śrūyatām / {vidita D}pallavakuladharaṇimaṇḍala{kula	SUtra-DAraH  Bavati! SrUyatAm / {vidita D}pallava-kula-DaraNi-maNxala-{kula
   : om. H}parvatasya sarvanayavijitasamastasāmantamaṇḍalasya	: om. H}parvatasya sarva-naya-vijita-samasta-sAmanta-maNxalasya
   ākhaṇḍalasamaparākramaśriyaḥ	AKaNxala-sama-parAkrama-SriyaH
   śrimahimānurūpadānavibhūtiparibhūtarājarājasya śrīsiṃhaviṣṇuvarmaṇaḥ	Srima-hima-anurUpa-dAna-viBUti-pariBUta-rAja-rAjasya SrI-siMha-vizNuvarmaNaH
   putraḥ śatruṣaḍvarganigrahaparaḥ parahitaparatantratayā mahābhūtasadharmā	putraH Satru-zaxvarga-nigraha-paraH para-hita-paratantra-tayA mahABUta-saDarmA
   mahārājaḥ śrīmahendravikramavarmā nāma / api ca -	mahA-rAjaH SrI-mahA-indra-vikramavarmA nAma / api ca -
   prajñādānadayānubhāvadhṛtayaḥ kāntiḥ kalākauśalaṃ	prajQA-dAna-daya-anuBAva-DRtayaH kAntiH kalA-kOSalam
   satyaṃ śauryam amāyatā vinaya ityevamprakārā guṇāḥ /	satyam SOryam amAyatA vinayaH iti-evamprakArAH guNAH /
   aprāptasthitayaḥsametyaśaraṇaṃ yātā yam ekaṃ kalau	aprApta-sTitayaH-sametya-SaraNam yAtAH yam ekam kalO
   kalpānte jagadādim ādipuruṣaṃ sargaprabhedā iva // 3 //	kalpa-ante jagat-Adim Adi-puruzam sarga-praBedAH iva // 3 //
   kiṃ ca -	kim ca -
   ākare sūktiratnānāṃ yasmin guṇagarīyasām /	Akare sUkti-ratnAnAm yasmin guNa-garIyasAm /
   arghanti (3) bahu sūktāni satāṃ sāralaghūny api // 4 //	arGanti (3) bahu sUktAni satAm sAra-laGUni api // 4 //
   Naṭī - kiṃ dāṇi ayyeṇa vilambīadi / ṇaṃ apuruvadāe turiaṃ aṇuṭṭhidavvo aaṃ	NawI  kim dANi ayyeNa vilambIadi / Nam apuruvadAe turiam aNuwWi-davvaH aam
   paoo /	paoaH /
   [kim idānīm āryeṇa vilambyate / nanv apūrvatayā tvaritam anuṣṭhātavyo 'yaṃ	[kim idAnIm AryeNa vilambyate / nanu apUrva-tayA tvaritam anuzWAtavyaH ayam
   prayogaḥ /]	prayogaH /]
   Sūtradhāraḥ - {ahaṃ tu : hanta E} -	SUtra-DAraH  {aham tu : hantaH E} -
   samprati saṅgītadhanaḥ	samprati saFgIta-DanaH
   kaviguṇakathayāsmi nighnatāṃ nītaḥ / 5ab /	kavi-guNa-kaTayA-asmi niGnatAm nItaH / 5aB /
   ({nepathye S : naipathye U})	({nepaTye S : nEpaTye U})
   priye! devasome!	priye! devasome!
   Sūtradhāraḥ - {(śrutvā) E}	SUtra-DAraH  {(SrutvA) E}
   yuvatisakha eṣa surayā	yuvati-saKe eza surayA
   kapālavibhavaḥ kapālīva // 5cd //	kapAla-viBavaH kapAlI-iva // 5cd //
   (niṣkrāntau /)	(nizkrAntO /)
   {sthāpanā : āmukham EH} /	{sTApanA : AmuKam EH} /
   (tataḥ praviśati saparigrahaḥ kapālī /)	(tatas praviSati sa-parigrahaH kapAlI /)
   Kapālī - (kṣībatāṃ rūpayitvā) priye! devasome! satyam evaitat - tapasā	KapAlI  (kzIbatAm rUpayitvA) priye! devasome! satyam eva-etat  tapasA
   kāmarūpatā prāpyata iti / yat tvayā paramavratasya vidhivadanuṣṭhānenānya	kAmarUpa-tA prApyate iti / yat tvayA parama-vratasya viDivat-anuzWAnena-anya
   eva rūpātiśayaḥ kṣaṇāt pratipannaḥ / tava hi -	eva rUpa-atiSayaH kzaNAt pratipannaH / tava hi -
   udbhinnaśramavāribinu vadanaṃ sabhrūlatāvibhramaṃ	udBinna-Srama-vAri-binu vadanam sa-BrU-latA-viBramam
   khelaṃ yātam akāraṇāni hasitāny avyaktavarṇā giraḥ /	Kelam yAtam akAraNAni hasitAni avyakta-varNAH giraH /
   rāgākrāntam adhīratāramalasāpāṅgaṃ yugaṃ netrayor	rAga-AkrAntam aDIra-tAra-malasa-apAFgam yugam netrayoH-
   aṃsopāntavilambinaś ca vigalanmālāguṇā mūrdhajāḥ //6 //	aMsa-upAnta-vilambinaH ca vigalat-mAlA-guNAH mUrDajAH //6 //
   Devasomā - bhaavaṃ! mattaṃ via mattaṃ via maṃ bhanāsi /	DevasomA  Baavan! mattam via mattam via mam BanAsi /
   [bhagavan! mattām iva mattām iva māṃ bhaṇasi /]	[Baga-van! mattAm iva mattAm iva mAm BaNasi /]
   Kapālī - kim āha bhavatī /	KapAlI  kim Aha BavatI /
   Devasomā - ṇa hu kiñci bhaṇāmi /	DevasomA  Na hu kiQci BaNAmi /
   [na khalu kiñcid bhaṇāmi /]	[na Kalu kiQcid BaNAmi /]
   Kapālī - kin nu khalu matto 'smi /	KapAlI  kid nu Kalu mattaH asmi /
   Devasomā - bhaavaṃ! paribbhamai paribbhamai puhuvī / puro vadāmi via /	DevasomA  Baavan! paribBamE paribBamE puhuvI / puras vadAmi via /
   avalamba dāṇi maṃ / [bhagavan! paribhramati paribhramati pṛthivī / puraḥ	avalamba dANi mam / [Baga-van! pariBramati pariBramati pRTivI / puras-
   patāmīva / valambasvedānīṃ mām /]	patAmi-iva / valamba-svedAnIm mAm /]
   Kapālī - priye! {tathāstu : tathā D} / (avalambamānaḥ patanaṃ rūpayitvā)	Ka-pAlI  priye! {taTA-astu : taTA D} / (avalambamAnaH patanam rUpayitvA)
   priye! somadeve! kiṃ tvaṃ kupitāsi, yad avalambitum upasarpato me	priye! somadeve! kim tvam kupitA-asi, yat avalambitum upasarpataH me
   dūrībhavasi /	dUrIBavasi /
   Devasomā - aho ṇu khu āadakovā somadevā, jā tue sīseṇa paṇamia aṇuṇīamāṇā	DevasomA  aho Nu Ku AadakovA somadevA, jA tue sIseNa paNam-ia aNuNIamANA
   vi durīhoi /	vi durIhoi /
   [aho nu khalv āgatakopā somadevā, yā tvayā śīrṣeṇa praṇamyānunīyamānāpi	[aho nu Kalu Agata-kopA somadevA, yA tvayA SIrzeNa praNamya-anunIyamAnA-api
   dūrībhavati /]	dUrIBavati /]
   Kapālī - nanu tvam evāsi somadevā / (dhyātvā) na hi {na hi D}, devasomā /	KapAlI  nanu tvam eva-asi somadevAH / (DyAtvA) na hi {na hi D}, deva-somAH /
   Devasomā - bhaavaṃ! ṇaṃ tahā vallahā somadevā, ṇārhadi mama	DevasomA  Baavan! Nam tahA valla-hA somadevA, Na-arhadi mama
   ṇāmakeṇābhidhāduṃ /	NAmakeNa-aBiDAdum /
   [bhagavan! nanu tathā vallabhā somadevā, nārhati mama {nāmakenābhidhātum :	[Baga-van! nanu taTA vallaBA somadevA, na-arhati mama {nAmakena-aBiDAtum :
   nāmadheyenābhidhātum G} /]	nAmaDeyena-aBiDAtum G} /]
   Kapālī - bhavati! sulabhapadaskhalito me mado 'yaṃ {tavātrāparāddhaḥ :	KapAlI  Bavati! sulaBa-pada-sKalitaH me madaH ayam {ta-vAtra-aparAdDaH :
   tavātrāparādhyati EG} /	tava-atra-aparADyati EG} /
   Devasomā - diṭṭhiā ṇa tuvaṃ /	DevasomA  diwWiA Na tuvam /
   [diṣṭyā na tvam /]	[dizwyA na tvam /]
   Kapālī - kathaṃ madyadoṣo mām evaṃ saṅkrāmayati / bhavatu {bhavatu : om.	KapAlI  kaTam madya-dozaH mAm evam saFkrAmayati / Bavatu {Bavatu : om.
   F} / {aham E} adyaprabhṛti madyaniṣevaṇān nivṛtto 'smi /	F} / {aham E} adya-praBRti madya-nizevaNAt nivRttaH asmi /
   Devasomā - bhaavaṃ! mā mā mama kāraṇādo vadabhaṅgeṇa tavo khaṇḍeduṃ /	DevasomAH  Baavan! mA mA mama kAraNAdaH vadaBaFgeNa tavo KaNxedum /
   [{bhagavan! mā mā mama : mā mā evaṃ bhagavan mama G} kāraṇād vratabhaṅgena	[{Bagavan! mA mA mama : mA mA evam Bagavat mama G} kAraNAt vrata-BaFgena
   tapaḥ khaṇḍayitum /] (pādayoḥ patati /)	tapaH KaNxayitum /] (pAdayoH patati /)
   Kapālī - (saharṣam {utthāpyāliṅgya : utthāpyāliḍya ca CDE)} {dhṛrṇa dhṛrṇa	Ka-pAlI  (saharzam {utTApya-AliFgyaH : utTApya-Alixya ca CDE)} {DRrNa DRrNa
   : dhṛṣṇa dhṛṣṇa D : dhirṇa dhirṇa EG} namaḥ śivāya / priye!	: DRzNa DRzNa D : DirNa DirNaH EG} namaH SivAya / priye!
   peyā surā priyatamāmukham īkṣitavyaṃ	peyA surA priyatamA-muKam Ikzitavyam
   grāhyaḥ svabhāvalalito vikṛtaś ca veṣaḥ /	grAhyaH svaBAva-lalitaH vikRtaH ca vezaH /
   yenedam īdṛśam adṛśyata mokṣavartma	yena-idam IdRSam adRSyata mokza-vartma
   dīrghāyur astu bhagavān sa pinākapāṇiḥ // 7 //	dIrGa-AyuH astu BagavAn sa pinAkapANiH // 7 //
   Devasomā - bhaavaṃ! ṇaṃ tahā bhaṇidavvaṃ / aghante mokkhamaggaṃ aṇṇahā	DevasomA  Baavan! Nam tahA BaNidavvam / aGante mokKa-maggam aNNa-hA
   vaṇṇaanti / [bhagavan! nanu tathā bhaṇitavyam / arhanto {mokṣamārgam	vaNNaanti / [Baga-van! nanu taTA BaNitavyam / arhantaH {mokza-mArgam
   anyathā : anyathā mokṣamārga G (note ambiguous)} varṇayanti / ]	anyaTA : anyaTA mokza-mArga G (note ambi-guous)} varNayanti / ]
   Kapālī - bhadre! te khalu mithyādṛṣṭayaḥ / kutaḥ -	KapAlI  Badre! te Kalu miTyA-dRzwayaH / kutas -
   kāryasya niḥsaṃśayam ātmahetoḥ	kAryasya niHsaMSayam Atma-hetoH
   sarūpatāṃ hetubhir abhyupetya /	sarUpa-tAm hetuBiH aByupetya /
   duḥkhasya kāryaṃ sukham āmanantaḥ	duHKasya kAryam suKam AmanantaH
   svenaiva vākyena hatā varākāḥ // 8 //	svena-eva vAkyena hatAH varAkAH // 8 //
   Devasomā - santaṃ santaṃ pāvaṃ /	DevasomAH  santam santam pAvam /
   [śāntaṃ śāntaṃ pāpam /]	[SAntam SAntam pApam /]
   Kapālī - śāntaṃ śāntaṃ pāpam / na khalu te pāpā ākṣepamukhenāpy abhidhātum	KapAlI  SAntam SAntam pApam / na Kalu te pApAH Akzepa-muKena-api aBiDAtum
   arhanti, ye brahmacaryakeśanirloṭana{maladhāraṇa : om.	arhanti, ye brahmacarya-keSa-nirlowana{-mala-DAraNa : om.
   F}bhojanavelāniyama{malinapaṭa : dikpaṭa D}paridhānādibhiḥ prāṇinaḥ	F}Bojana-velA-niyama{-malina-pawaH : diS-pawa D}pariDAna-AdiBiH prANinaH
   parikleśayanti / tadidānīṃ kutīrthasaṅkīrtanopahatāṃ jihvāṃ surayā	parikleSayanti / tat-idAnIm kutIrTa-saFkIrtana-upahatAm jihvAm surayA
   prakṣālayitum icchāmi /	prakzAlayitum icCAmi /
   Devasomā - teṇa hi aṇṇaṃ {dāṇiṃ S : dāṇi U} surāpaṇaṃ gcchāmo /	DevasomA  teNa hi aNNam {dANim S : dANi U} surApaNam gcCAmaH /
   [tena hy anyam idānīṃ surāpāṇaṃ gacchāvaḥ /]	[tena hi anyam idAnIm surA-pANam gacCAvaH /]
   Kapālī - priye! {tathāstu / : tathāstu / kāñcī... (? C)}	Ka-pAlI  priye! {taTA-astu / : taTA-astu / kAQcI... (? C)}
   ({ubhau : om. (C?)} parikrāmataḥ /)	({uBO : om. (C?)} parikrAmataH /)
   Kapālī - aho tu khalu	KapAlI  aho tu Kalu
   vimānaśikharaviśrāntaghanarasitasandigdhamṛdaṅgaśabdasya	vimAna-SiKara-viSrAnta-Gana-rasita-sandigDa-mRdaFga-Sabdasya
   madhusamayanirmāṇamātṛkāyamāṇamālyāpaṇasya	maDu-samaya-nirmANa-mAtRkAyamANa-mAlya-ApaNasya
   kusumaśaravijayaghoṣaṇāyamānavarayuvatikāñcīravasya {kāñcīpurasya : om. H}	kusuma-Sara-vijaya-GozaNAyamAna-vara-yuvati-kAQcI-ravasya {kAQcI-purasya : om. H}
   parā vibhūtiḥ / api ca -	parA viBUtiH / api ca -
   anatiśayam anantaṃ saukhyam apratyanīkaṃ	anatiSayam anantam sOKyam apratyanIkam
   samadhigatasatattvā menire yan munīndrāḥ /	samaDigata-sa-tattvAH menire yat muni-indrAH /
   tad iha niravaśeṣaṃ dṛṣṭam etat tu citraṃ	tat iha niravaSezam dRzwam etat tu citram
   yad uta karaṇabhogyaṃ kāmabhogātmakaṃ ca // 9 //	yat uta karaNa-Bogyam kAma-Boga-Atmakam ca // 9 //
   Devasomā - bhaavaṃ! bhaavadī vāruṇī via aṇavagīamahurā kañcī /	DevasomA  Baavan! BaavadI vAruNI via aNavagIa-mahurA kaQcI /
   [bhagavan! bhagavatī vāruṇīvānavagītamadhurā kāñcī /]	[Baga-van! BagavatI vAruNI-ivAn-avagIta-maDurA kAQcI /]
   Kapālī - priye! paśya paśya / eṣa surāpaṇo yajñavāṭavibhūtim anukaroti /	KapAlI  priye! paSya paSya / eza surApaNaH yajQa-vAwa-viBUtim anukaroti /
   {atra hi : tatra E} dhvajastambho yūpaḥ, surā somaḥ, śauṇḍā ṛtvijaḥ,	{atra hi : tatra E} Dvaja-stamBaH yUpaH, surA somaH, SONxAH RtvijaH,
   caṣakāś camasāḥ, śūlyamāṃsaprabhṛtaya upadaṃśā havir viśeṣāḥ,	cazakAH camasAH, SUlya-mAMsa-praBRtayaH upadaMSAH haviH viSezAH,
   mattavacanāni yajūṃsi, gītāni sāmāni, udaṅkāḥ sruvāḥ, tarṣo 'gniḥ,	matta-vacanAni yajUMsi, gItAni sAmAni, udaFkAH sruvAH, tarzaH agniH,
   surāpaṇādhipatir yajamānaḥ /	surA-paNa-aDipatiH yajamAnaH /
   Devasomā - ahmāaṃ pi ettha bhikkhā ruddabhāo bhavissadi /	DevasomAH  ahmAam pi etTa BikKA ruddaBAaH Bavissadi /
   [āvayor apy atra bhikṣā {rudrabhāgo : vibhāgaḥ G} bhaviṣyati /]	[a-AvayoH api atra BikzA {rudra-BAgaH : viBAgaH G} Bavizyati /]
   Kapālī - aho darśanīyāni prahata{mardala : maddala CDE}{karaṇānugatāni :	KapAlI  aho darSanIyAni prahata{mardala : mad-dala CDE}{karaNa-anugatAni :
   karaṇāhitāni F : karaṇāhatāni C} vividhāṅgahāravacanabhrūvikārāṇi	karaNa-ahitAni F : karaNa-AhatAni C} viviDa-aFga-hAra-vacana-BrU-vikArANi
   ucchritaikahastāvalambitottarīyāṇi {vigalita : vigalitāni	ucCrita-eka-hasta-avalambita-uttarIyANi {vigalitaH : vigalitAni
   E}vasanapratisamādhānakṣaṇaviṣamitalayāni vyākulitakaṇṭhaguṇāni	E}vasana-pratisamADA-na-kzaNa-vizamita-layAni vyAkulita-kaNWa-guNAni
   mattavilāsanṛttāni /	matta-vilAsa-nRttAni /
   Devasomā - aho rasio khu āayyo /	DevasomAH  aho rasiaH Ku AayyaH /
   [aho rasikaḥ khalv ācāryaḥ /]	[ahaH rasikaH Kalu AcAryaH /]
   Kapālī - eṣā bhagavatī vāruṇī caṣakeṣv āvarjitā pratyādeśo maṇḍanānām,	KapAlI  ezA BagavatI vAruNI cazakezu AvarjitA pratyAdeSaH maNxanAnAm-,
   anunayaḥ praṇayakupitānāṃ, parākramo yauvanasya, jīvitaṃ vibhramānām / kiṃ	anunayaH praNaya-kupitAnAM, parAkramaH yOvanasya, jIvitam viBramAnAm / kim
   bahunā -	bahunA -
   mithyā trilocanavilocanapāvakena	miTyA trilocana-vilocana-pAvakena
   bhasmīkṛtāṃ madanamūrtim udāharanti /	BasmIkRtAm madana-mUrtim udAharanti /
   snehātmikā tadabhitāpavaśād vilīnā	sneha-AtmikA tad-aBitApa-vaSAt vilInA
   seyaṃ priye! madayati prasabhaṃ manāṃsi // 10 //	sA-iyam priye! madayati prasaBam manAMsi // 10 //
   Devasomā - bhaavaṃ! jujjai edaṃ / ṇa hi loovaāraṇirado loaṇāho loaṃ	DevasomA  Baavan! jujjEH edam / Na hi loovaAraNiradaH loaNAhar loam
   viṇāsedi /	viNAsedi /
   [bhagavan! yujyata etat / na hi lokopakāranirato lokanātho lokaṃ	[Baga-van! yujyate etat / na hi loka-upakAra-nirataH lokanATaH lokam
   vināśayati /]	vinASayati /]
   (ubhau kapolapaṭahaṃ kurutaḥ /)	(uBO kapola-pawaham kurutaH /)
   Kapālī - bhavati! bhikṣāṃ dehi /	KapAlI  Bavati! BikzAm dehi /
   (nepathye) bhaavaṃ! esā bhikkhā / paḍigaṇhadu bhaavaṃ /	(nepaTye) BaavaM! esA BikKAH / paxi-gaNha-du Baavam /
   [bhagavan! eṣā bhikṣā / pratigṛhṇātu {bhagavān : om. F : bhavān G} /]	[Baga-van! ezA BikzA / pratigRhNAtu {BagavAn : om. F : BavAn G} /]
   Kapālī - {eṣa : eṣa eṣa CDE} pratigṛhṇāmi / priye! kva me kapālam /	KapAlI  {eza : ezaH eza CDE} pratigRhNAmi / priye! kva me kapAlam /
   Devasomā - ahaṃ vi ṇa pekkhāmi /	DevasomAH  aham vi Na pekKAmi /
   [aham api na paśyāmi /]	[aham api na paSyAmi /]
   Kapālī - (dhyātvā) ā, tasminn eva surāpaṇe vismṛtam iti tarkayāmi /	Ka-pAlI  (DyA-tvA) A, tasmin eva surApaNe vismRtam iti tarkayAmi /
   bhavatu, pratinivṛtya drakṣyāvaḥ /	Bavatu, pratinivRtya drakzyAvaH /
   Devasomā - bhaavaṃ! adhammo khu eso ādarovaṇīdāe bhikkhāe appaḍiggaho /	DevasomAH  BaavaM! aDammaH Ku esaH AdarovaNI-dAe BikKAe appaxiggahaH /
   kiṃ {dāṇi S : dāṇī U} karamha /	kim {dANi S : dANI U} karam-ha /
   [bhagavan! adharmaḥ khalv eṣa ādaropanītāyā bhikṣāyā apratigrahaḥ / kim	[Baga-van! aDarmaH Kalu ezaH Adara-upanItAyAH BikzAyAH apratigrahaH / kim
   idānīṃ kurvaḥ /]	idAnIm kurvaH /]
   Kapālī - {priye! H} āpaddharmaṃ pramāṇīkṛtya gośṛṅgeṇa pratigṛhyatām /	Ka-pAlI  {priye! H} Apad-Darmam pramANIkRtya go-SRFgeNa pratigRhyatAm /
   Devasomā - bhaavaṃ! taha /	DevasomAH  Baavan! taha /
   [bhagavan! tathā /] (pratigṛhṇāti /)	[Baga-van! taTA /] (pratigRhNAti /)
   (ubhau {tathā kṛtvā E} parikramyāvalokayataḥ /)	(uBO {taTA kRtvA E} parikramya-avalokayataH /)
   Kapālī - katham ihāpi na dṛśyate / (viṣādaṃ rūpayitvā) bho bho māheśvarāḥ!	KapAlI  kaTam iha-api na dRSyate / (vizAdam rUpayitvA) Bo Bo mAheSvarAH!
   māheśvarāḥ! asmadīyaṃ bhikṣābhājanam iha bhavadbhiḥ kiṃ dṛṣṭaṃ / {(karṇan	mAheSvarAH! asmadIyam BikzA-BAjanam iha BavadBiH kim dRzwam / {(karNan
   dattvā E)} kim āhur bhavantaḥ - na khalu vayaṃ pāśyāma iti / hā hato 'smi	dattvA E)} kim AhuH BavantaH  na Kalu vayam pASyAmaH iti / hA hataH asmi
   / bhraṣṭaṃ me tapaḥ / kenāham idānīṃ kapālī bhaviṣyāmi / bhoḥ! kaṣṭam /	/ Brazwam me tapaH / kena-aham idAnIm kapAlI BavizyAmi / BoH! kazwam /
   yena mama pānabhojana-	yena mama pAna-Bojana-
   śayaneṣu nitāntam upakṛtaṃ śucinā /	Sayanezu nitAntam upakRtam SucinA /
   tasyādya māṃ viyogaḥ	tasya-adya mAm viyogaH
   sanmitrasyeva pīḍayati // 11 //	sat-mitrasya-iva pIxayati // 11 //
   (patitaḥ śirastāḍanaṃ rūpayitvā) bhavatu / asti lakṣaṇamātram / na mukto	(patitaH SiraH-tAxanam rUpayitvA) Bavatu / asti lakzaNa-mAtram / na muktaH-
   'smi kapāli{saṃjñāyāḥ : saṃjñayā Kha} / (uttiṣṭhati /)	asmi kapAli{-saMjQAyAH : saMjQayA Kha} / (uttizWati /)
   Devasomā - bhaavaṃ! keṇa khu gahīḍaṃ kavālaṃ /	DevasomA  BaavaM! keNa Ku gahIxam kavAlam /
   [bhagavan! kena khalu gṛhītaṃ kapālam {bhavet G} /]	[Baga-van! kena Kalu gRhItam kapAlam {Bavet G} /]
   Kapālī - priye! tarkayāmi śūlyamāṃsagarbhatvāc chunā vā śākyabhikṣunā veti	KapAlI  priye! tarkayAmi SUlya-mAMsa-garBa-tvAt SunA vA SAkya-BikzunA vA-iti
   Devasomā - teṇa hi aṇṇesaṇaṇimittaṃ savvaṃ {kañcīuraṃ : kañcīpuram CF}	DevasomA  teNa hi aNNesaNaNimittam savvam {kaQcIuram : kaQcIpuram CF}
   paribbhamāmo /	paribBamAmaH /
   [tena hy anveṣaṇanimittaṃ sarvaṃ kāñcīpuraṃ paribhramāvaḥ /]	[tena hi anvezaNa-nimittam sarvam kAQcI-puram pariBramAvaH /]
   Kapālī - priye! tathā /	KapAlI  priye! taTA /
   (ubhau parikrāmataḥ /)	(uBO parikrAmataH /)
