   śivopaniṣad	Siva-upanizad-
   śivaḥ śivāya bhūtānāṃ taṃ vijñāya vimucyate // 1.16 //	SivaH SivAya BUtAnAm tam vijQAya vimucyate // 1.16 //
   etad eva paraṃ jñānaṃ śiva ity akṣaradvayam /	etat eva param jQAnam SivaH iti akzara-dvayam /
   vicārād yāti vistāraṃ tailabindur ivāmbhasi // 1.17 //	vicArAt yAti vistAram tEla-binduH iva-amBasi // 1.17 //
   sakṛd uccāritaṃ yena śiva ity akṣaradvayam /	sakRt uccAritam yena SivaH iti akzara-dvayam /
   baddhaḥ parikaras tena mokṣopagamanaṃ prati // 1.18 //	badDaH parikaraH tena mokza-upagamanam prati // 1.18 //
   dvyakṣaraḥ śivamantro 'yaṃ śivopaniṣadi smṛtaḥ /	dvi-akzaraH Siva-mantraH ayam Siva-upanizadi smRtaH /
   ekākṣaraḥ punaś cāyam om ity evaṃ vyavasthitaḥ // 1.19 //	eka-akzaraH punar ca-ayam om iti evam vyavasTitaH // 1.19 //
   nāmasaṃkīrtaṇād eva śivasyāśeṣapātakaiḥ /	nAma-saMkIrtaNAt eva Sivasya-aSeza-pAtakEH /
   yataḥ pramucyate kṣipraṃ mantro 'yaṃ dvyakṣaraḥ paraḥ // 1.20 //	yatas pramucyate kzipram mantraH ayam dvi-akzaraH paraH // 1.20 //
   yaḥ śivaṃ śivam ity evaṃ dvyakṣaraṃ mantram abhyaset /	yaH Sivam Sivam iti evam dvi-akzaram mantram aByaset /
   ekākṣaraṃ vā satataṃ sa yāti paramaṃ padam // 1.21 //	eka-akzaram vA satatam sa yAti paramam padam // 1.21 //
   mitrasvajanabandhūnāṃ kuryān nāma śivātmakam /	mitra-sva-jana-banDUnAm kuryAt nAma Siva-Atmakam /
   api tat kīrtanād yāti pāpamuktaḥ śivaṃ puram // 1.22 //	api tat kIrtanAt yAti pApa-muktaH Sivam puram // 1.22 //
   vijñeyaḥ sa śivaḥ śānto naras tadbhāvabhāvitaḥ /	vijQeyaH sa SivaH SAntaH naraH tad-BAva-BAvitaH /
   āste sadā nirudvignaḥ sa dehānte vimucyate // 1.23 //	Aste sadA nirudvignaH sa dehAnte vimucyate // 1.23 //
   hṛdy antaḥkaraṇaṃ jñeyaṃ śivasya āyatanaṃ param /	hRdi antaHkaraNam jQeyam Sivasya Ayatanam param /
   hṛtpadmaṃ vedikā tatra liṅgam oṃkāram iṣyate // 1.24 //	hRd-padmam vedikA tatra liFgam oMkAram izyate // 1.24 //
   puruṣaḥ sthāpako jñeyaḥ satyaṃ saṃmārjanaṃ smṛtam /	puruzaH sTApakaH jQeyaH satyam saMmArjanam smRtam /
   ahiṃsā gomayaṃ proktaṃ śāntiś ca salilaṃ param // 1.25 //	ahiMsA gomayam proktam SAntiH ca salilam param // 1.25 //
   kuryāt saṃmārjanaṃ prājño vairāgyaṃ candanaṃ smṛtam /	kuryAt saMmArjanam prAjQaH vErAgyam candanam smRtam /
   pūjayed dhyānayogena saṃtoṣaiḥ kusumaiḥ sitaiḥ // 1.26 //	pUjayet DyAna-yogena saMtozEH kusumEH sitEH // 1.26 //
   dhūpaś ca guggulur deyaḥ prāṇāyāmasamudbhavaḥ /	DUpaH ca gugguluH deyaH prANAyAma-samudBavaH /
   pratyāhāraś ca naivedyam asteyaṃ ca pradakṣiṇam // 1.27 //	pratyAhAraH ca nEvedyam asteyam ca pradakziNam // 1.27 //
   iti divyopacāraiś ca saṃpūjya paramaṃ śivam /	iti divya-upacArEH ca saMpUjya paramam Sivam /
   japed dhyāyec ca muktyarthaṃ sarvasaṅgavivarjitaḥ // 1.28 //	japet DyAyet ca mukti-arTam sarva-saFga-vivarjitaH // 1.28 //
   jñānayogavinirmuktaḥ karmayogasamāvṛttaḥ /	jQAna-yoga-vinirmuktaH karma-yoga-samAvRttaH /
   mṛtaḥ śivapuraṃ gacchet sa tena śivakarmaṇā // 1.29 //	mRtaH Siva-puram gacCet sa tena Siva-karmaNA // 1.29 //
   tatra bhuktvā mahābhogān pralaye sarvadehinām /	tatra BuktvA mahA-BogAn pralaye sarva-dehinAm /
   śivadharmāc chivajñānaṃ prāpya muktim avāpnuyāt // 1.30 //	Siva-DarmAt Siva-jQAnam prApya muktim avApnuyAt // 1.30 //
   jñānayogena mucyante dehapātād anantaram /	jQAna-yogena mucyante dehapAtAt anantaram /
   bhogān bhuktvā ca mucyante pralaye karmayoginaḥ // 1.31 //	BogAn BuktvA ca mucyante pralaye karma-yoginaH // 1.31 //
   tasmāj jñānavido yogāt tathājñāḥ karmayoginaḥ /	tasmAt jQAna-vidaH yogAt taTA-jQAH karma-yoginaH /
   sarva eva vimucyante ye narāḥ śivam āśritāḥ // 1.32 //	sarve eva vimucyante ye narAH Sivam ASritAH // 1.32 //
   sa bhogaḥ śivavidyārthaṃ yeṣāṃ karmāsti nirmalam /	sa BogaH Siva-vidyA-arTam yezAm karma-asti nirmalam /
   te bhogān prāpya mucyante pralaye śivavidyayā // 1.33 //	te BogAn prApya mucyante pralaye Siva-vidyayA // 1.33 //
   vidyā saṃkīrtanīyā hi yeṣāṃ karma na vidyate /	vidyA saMkIrtanIyAH hi yezAm karma na vidyate /
   te cāvartya vimucyante yāvat karma na tad bhavet // 1.34 //	te ca-Avartya vimucyante yAvat karma na tat Bavet // 1.34 //
   śivajñānavidaṃ tasmāt pūjayed vibhavair gurum /	Siva-jQAna-vidam tasmAt pUjayet viBavEH gurum /
   vidyādānaṃ ca kurvīta bhogamokṣajigīṣayā // 1.35 //	vidyA-dAnam ca kurvIta Boga-mokza-jigIzayA // 1.35 //
   śivayogī śivajñānī śivajāpī tapo'dhikaḥ /	Siva-yogI Siva-jQAnI Siva-jApI tapaH-aDikaH /
   kramaśaḥ karmayogī ca pañcaite muktibhājanāḥ // 1.36 //	kramaSas karma-yogI ca paQca-ete mukti-BAjanAH // 1.36 //
   karmayogasya yan mūlaṃ tad vakṣyāmi samāsataḥ /	karma-yogasya yat mUlam tat vakzyAmi samAsatas /
   liṅgam āyatanaṃ ceti tatra karma pravartate // 1.37 //	liFgam Ayatanam ca-iti tatra karma pravartate // 1.37 //
   // iti śivopaniṣadi muktinirdeśādhyāyaḥ prathamaḥ //	// iti Siva-upanizadi mukti-nirdeSa-aDyAyaH praTamaH //
   atha pūrvasthito liṅge garbhaḥ sa triguṇo bhavet /	aTa pUrva-sTitaH liFge garBaH sa triguNaH Bavet /
   garbhād vāpi vibhāgena sthāpya liṅgaṃ śivālaye // 2.1 //	garBAt vA-api viBAgena sTApya liFgam Siva-Alaye // 2.1 //
   yāval liṅgasya dairghyaṃ syāt tāvad vedyāś ca vistaraḥ /	yAvat liFgasya dErGyam syAt tAvat vedyAH ca vistaraH /
   liṅgatṛtīyabhāgena bhaved vedyāḥ samucchrayaḥ // 2.2 //	liFga-tRtIya-BAgena Bavet vedyAH samucCrayaH // 2.2 //
   bhāgam ekaṃ nyased bhūmau dvitīyaṃ vedimadhyataḥ /	BAgam ekam nyaset BUmO dvitIyam vedi-maDyataH /
   tṛtīyabhāge pūjā svād iti liṅgaṃ tridhā sthitam // 2.3 //	tRtIya-BAge pUjA svAt iti liFgam triDA sTitam // 2.3 //
   bhūmisthaṃ caturaśraṃ svād aṣṭāśraṃ vedimadhyataḥ /	BUmi-sTam caturaSram svAt azwa-ASram vedi-maDyataH /
   pūjārthaṃ vartulaṃ kāryaṃ dairghyāt triguṇavistaram // 2.4 //	pUjA-arTam vartulam kAryam dErGyAt triguNa-vistaram // 2.4 //
   adhobhāge sthitaḥ skandaḥ sthitā devī ca madhyataḥ /	aDoBAge sTitaH skandaH sTitA devI ca maDyatas /
   ūrdhvaṃ rudraḥ kramād vāpi brahmaviṣṇumaheśvarāḥ // 2.5 //	UrDvam rudraH kramAt vA-api brahma-vizNu-maheSvarAH // 2.5 //
   eta eva trayo lokā eta eva trayo guṇāḥ /	ete eva trayaH lokAH ete eva trayaH guNAH /
   eta eva trayo vedā etac cānyat sthitaṃ tridhā // 2.6 //	ete eva trayaH vedAH etat ca-anyat sTitam triDA // 2.6 //
   navahastaḥ smṛto jyeṣṭhaḥ ṣaḍḍhastaś cāpi madhyamaḥ /	nava-hastaH smRtaH jyezWaH zaz-hastaH ca-api maDyamaH /
   vidyāt kanīyas traihastaṃ liṅgamānam idaṃ smṛtam // 2.7 //	vidyAt kanIyaH trEhastam liFgamAnam idam smRtam // 2.7 //
   garbhasyānataḥ pravistāras tadūnaś ca na śasyate /	garBasya-AnataH pravistAraH tad-UnaH ca na Sasyate /
   garbhasyānataḥ pravistārād tadupary api saṃsthitam // 2.8 //	garBasya-AnataH pravistArAt tad-upari api saMsTitam // 2.8 //
   prāsādaṃ kalpayec chrīmān vibhajeta tridhā punaḥ /	prAsAdam kalpayet SrImAn viBajeta triDA punar /
   bhāga eko bhavej jaṅghā dvau bhāgau mañjarī smṛtā // 2.9 //	BAgaH ekaH Bavet jaFGA dvO BAgO maQjarI smRtAH // 2.9 //
   mañjaryā ardhabhāgasthaṃ śukanāsaṃ prakalpayet /	maQjaryAH arDa-BAga-sTam Suka-nAsam prakalpayet /
   garbhād ardhena vistāram āyāmaṃ ca suśobhanam // 2.10 //	garBAt arDena vistAram AyAmam ca su-SoBanam // 2.10 //
   garbhād vāpi tribhāgena śukanāsaṃ prakalpayet /	garBAt vA-api tri-BAgena Suka-nAsam prakalpayet /
   garbhād ardhena vistīrṇā garbhāc ca dviguṇāyatā // 2.11 //	garBAt arDena vistIrNA garBAt ca dviguNa-AyatA // 2.11 //
   jaṅghābhiś ca bhavet kāryā mañjaryaṅgularāśinā /	jaFGABiH ca Bavet kAryA maQjarI-aFgula-rASinA /
   prāsādārdhena vijñeyo maṇḍapas tasya vāmataḥ // 2.12 //	prAsAda-arDena vijQeyaH maNxapaH tasya vAmatas // 2.12 //
   maṇḍapāt pādavistīrṇā jagatī tāvaducchritā /	maNxapAt pAda-vistIrNA jagatI tAvat-ucCritAH /
   prāsādasya pramāṇena jagatyā sārdham aṅgaṇam // 2.13 //	prAsAdasya pramANena jagatyA sArDam aFgaNam // 2.13 //
   prākāraṃ tatsamantāc ca gupurād ālabhūṣitam /	prAkAram tad-samantAt ca gupurAt AlaBUzitam /
   prākārāntaḥ sthitaṃ kāryaṃ vṛṣasthānaṃ samucchritam // 2.14 //	prAkAra-antar sTitam kAryam vRza-sTAnam samucCritam // 2.14 //
   nandīśvaramahākālau dvāraśākhāvyavasthitau /	nandISvara-mahA-kAlO dvAra-SAKA-vyavasTitO /
   prākārād dakṣiṇe kāryaṃ sarvopakaraṇānvitam // 2.15 //	prAkArAt dakziNe kAryam sarva-upakaraNa-anvitam // 2.15 //
   pañcabhaumaṃ tribhaumaṃ vā yogīndrāvasathaṃ mahat /	paQca-BOmam tri-BOmam vA yogi-indra-AvasaTam mahat /
   prākāraguptaṃ tat kāryaṃ maitrasthānasamanvitam // 2.16 //	prAkAra-guptam tat kAryam mEtra-sTAna-samanvitam // 2.16 //
   sthānād daśasamāyuktaṃ bhavyavṛkṣajalānvitam /	sTAnAt daSa-samAyuktam Bavya-vRkza-jala-anvitam /
   tan mahānasam āgneyyāṃ pūrvataḥ sattramaṇḍapam // 2.17 //	tat mahAnasam AgneyyAm pUrvatas sattra-maNxapam // 2.17 //
   sthānaṃ caṇḍeśam aiśānyāṃ puṣpārāmaṃ tathottaram /	sTAnam caNxeSam ESAnyAm puzpa-ArAmam taTA-uttaram /
   koṣṭhāgāraṃ ca vāyavyāṃ vāruṇyāṃ varuṇālayam // 2.18 //	kozWAgAram ca vAyavyAm vAruNyAm varuNAlayam // 2.18 //
   śamīndhanakuśasthānam āyudhānāṃ ca nairṛtam /	SamI-inDana-kuSa-sTAnam AyuDAnAm ca nErRtam /
   sarvalokopakārāya nagarasthaṃ prakalpayet // 2.19 //	sarva-loka-upakArAya nagara-sTam prakalpayet // 2.19 //
   śrīmadāyatanaṃ śambhor yogināṃ vijane vane /	SrImat-Ayatanam SamBoH yoginAm vijane vane /
   śivasyāyatane yāvat sametāḥ paramāṇavaḥ // 2.20 //	Sivasya-Ayatane yAvat sametAH paramANavaH // 2.20 //
   manvantarāṇi tāvanti kartur bhogāḥ śive pure /	manvantarANi tAvanti kartuH BogAH Sive pure /
   mahāpratimaliṅgāni mahānty āyatanāni ca // 2.21 //	mahA-pratima-liFgAni mahAnti AyatanAni ca // 2.21 //
   kṛtvāpnoti mahābhogān ante muktiṃ ca śāśvatīm /	kRtvA-Apnoti mahA-BogAn ante muktim ca SASvatIm /
   liṅgapratiṣṭhāṃ kurvīta yadā tallakṣaṇaṃ kṛtī // 2.22 //	liFga-pratizWAm kurvIta yadA tad-lakzaNam kRtI // 2.22 //
   pañcagavyena saṃśodhya pūjayitvādhivāsayet /	paQcagavyena saMSoDya pUjayitvA-aDivAsayet /
   pālāśodumbarāśvattha- pṛṣadājyatilair yavaiḥ // 2.23 //	pAlASa-udumbara-aSvatTa pRzadAjya-tilEH yavEH // 2.23 //
   agnikāryaṃ prakurvīta dadyāt pūrṇāhutitrayam /	agni-kAryam prakurvIta dadyAt pUrNAhuti-trayam /
   śivasyāṣṭaśataṃ hutvā liṅgamūlaṃ spṛśed budhaḥ // 2.24 //	Sivasya-azwaSatam hutvA liFga-mUlam spRSet buDaH // 2.24 //
   evaṃ madhye 'vasāne tan mūrtimantraiś ca mūrtiṣu /	evam maDye avasAne tat mUrti-mantrEH ca mUrtizu /
   aṣṭau mūrtīśvarāḥ kāryāḥ navamaḥ sthāpakaḥ smṛtaḥ // 2.25 //	azwO mUrti-ISvarAH kAryAH navamaH sTApakaH smRtaH // 2.25 //
   prātaḥ saṃsthāpayel liṅgaṃ mantrais tu navabhiḥ kramāt /	prAtar saMsTApayet liFgam mantrEH tu navaBiH kramAt /
   mahāsnāpanapūjāṃ ca sthāpya liṅgaṃ prapūjayet // 2.26 //	mahA-snApana-pUjAm ca sTApya liFgam prapUjayet // 2.26 //
   guror mūrtidharāṇāṃ ca dadyād uttamadakṣiṇām /	guroH mUrti-DarANAm ca dadyAt uttama-dakziNAm /
   yatīnāṃ ca samastānāṃ dadyān madhyamadakṣiṇām // 2.27 //	yatInAm ca samastAnAm dadyAt maDyama-dakziNAm // 2.27 //
   dīnāndhakṛpaṇebhyaś ca sarvāsām upakalpayet /	dIna-anDa-kRpaNeByaH ca sarvAsAm upakalpayet /
   sarvabhakṣyānnapānādyair aniṣiddhaṃ ca bhojanam // 2.28 //	sarva-Bakzya-anna-pAna-AdyEH anizidDam ca Bojanam // 2.28 //
   kalpayed āgatānāṃ ca bhūtebhyaś ca baliṃ haret /	kalpayet AgatAnAm ca BUteByaH ca balim haret /
   rātrau mātṛgaṇānāṃ ca baliṃ dadyād viśeṣataḥ // 2.29 //	rAtrO mAtR-gaNAnAm ca balim dadyAt viSezataH // 2.29 //
   evaṃ yaḥ sthāpayel liṅgaṃ tasya puṇyaphalaṃ śṛṇu /	evam yaH sTApayet liFgam tasya puNya-Palam SRNu /
   kulatriṃśakam uddhṛtya bhṛtyaiś ca parivāritaḥ // 2.30 //	kula-triMSakam udDRtya BRtyEH ca parivAritaH // 2.30 //
   kalatraputramitrādyaiḥ sahitaḥ sarvabāndhavaiḥ /	kalatra-putra-mitra-AdyEH sahitaH sarva-bAnDavEH /
   vimucya pāpakalilaṃ śivalokaṃ vrajen naraḥ /	vimucya pApa-kalilam Siva-lokam vrajet naraH /
   tatra bhuktvā mahābhogān pralaye muktim āpnuyāt // 2.31 //	tatra BuktvA mahA-BogAn pralaye muktim ApnuyAt // 2.31 //
   // iti śivopaniṣadi liṅgāyatanādhyāyo dvitīyaḥ //	// iti Siva-upanizadi liFga-Ayatana-aDyAyaH dvitIyaH //
   athānyair alpavittaiś ca nṛpaiś ca śivabhāvitaiḥ /	aTa-anyEH alpa-vittEH ca nRpEH ca Siva-BAvitEH /
   śaktitaḥ svāśrame kāryaṃ śivaśāntigṛhadvayam // 3.1 //	Saktitas sva-ASrame kAryam Siva-SAnti-gRha-dvayam // 3.1 //
   gṛhasyeśānadigbhāge kāryam uttarato 'pi vā /	gRhasya-ISAna-digBAge kAryam uttaratas api vA /
   khātvā bhūmiṃ samuddhṛtya śalyān ākoṭya yatnataḥ // 3.2 //	KAtvA BUmim samudDRtya SalyAn Akowya yatnatas // 3.2 //
   śivadevagṛhaṃ kāryam aṣṭahastapramāṇataḥ /	Siva-deva-gRham kAryam azwa-hasta-pramANataH /
   dakṣiṇottaradigbhāge kiṃcic dīrghaṃ prakalpayet // 3.3 //	dakziNa-uttara-diS-BAge kiMcid dIrGam prakalpayet // 3.3 //
   hastamātrapramāṇaṃ ca dṛḍhapaṭṭacatuṣṭayam /	hasta-mAtra-pramANam ca dRXa-pawwa-catuzwayam /
   catuṣkoṇeṣu saṃyojyam arghyapātrādisaṃśrayam // 3.4 //	catuzkoNezu saMyojyam arGya-pAtra-Adi-saMSrayam // 3.4 //
   garbhamadhye prakurvīta śivavediṃ suśobhanām /	garBa-maDye prakurvIta Siva-vedim su-SoBanAm /
   udagarvāk cchritāṃ(?) kiṃcic catuḥśīrṣakasaṃyutām // 3.5 //	udagarvAk cCrita-aM(?) kiMcid catur-SIrzaka-saMyutAm // 3.5 //
   trihastāyām avistārām ṣoḍaśāṅgulam ucchritām /	tri-hastAyAm avistArAm zoxaSa-aFgulam ucCritAm /
   tacchīrṣāṇīva hastārdham āyāmād vistareṇa ca // 3.6 //	tad-SIrzANi-iva hasta-arDam AyAmAt vistareNa ca // 3.6 //
   śivasthaṇḍilam ity etac caturhastaṃ samaṃ śiraḥ /	Siva-sTaNxilam iti etat catur-hastam samam SiraH /
   mūrtinaivedyadīpānāṃ vinyāsārthaṃ prakalpayet // 3.7 //	mUrti-nEvedya-dIpAnAm vinyAsa-arTam prakalpayet // 3.7 //
   śaivaliṅgena kāryaṃ syāt kāryaṃ maṇijapārthivaiḥ /	SEva-liFgena kAryam syAt kAryam maNija-pArTivEH /
   sthaṇḍilārdhe ca kurvanti vedim anyāṃ savartulām // 3.8 //	sTaNxila-arDe ca kurvanti vedim anyAm sa-vartulAm // 3.8 //
   ṣoḍaśāṅgulam utsedhāṃ vistīrṇāṃ dviguṇena ca /	zoxaSa-aFgulam utseDAm vistIrNAm dviguNena ca /
   gṛhe na sthāpayec chailaṃ liṅgaṃ maṇijam arcayet // 3.9 //	gRhe na sTApayet SElam liFgam maNijam arcayet // 3.9 //
   trisaṃdhyaṃ pārthivaṃ vāpi kuryād anyad dinedine /	trisaMDyam pArTivam vA-api kuryAt anyat dinedine /
   sarveṣām eva varṇānāṃ sphāṭikaṃ sarvakāmadam // 3.10 //	sarvezAm eva varNAnAm sPAwikam sarva-kAma-dam // 3.10 //
   sarvadoṣavinirmuktam anyathā doṣam āvahet /	sarva-doza-vinirmuktam anyaTA dozam Avahet /
   āyuṣmān balavāñ śrīmān putravān dhanavān sukhī // 3.11 //	AyuzmAn balavAn SrImAn putravAn DanavAn suKI // 3.11 //
   varam iṣṭaṃ ca labhate liṅgaṃ pārthivam arcayan /	varam izwam ca laBate liFgam pArTivam arcayan /
   tasmād dhi pārthivaṃ liṅgaṃ jñeyaṃ sarvārthasādhakam // 3.12 //	tasmAt Di pArTivam liFgam jQeyam sarva-arTa-sADakam // 3.12 //
   nirdoṣaṃ sulabhaṃ caiva pūjayet satataṃ budhaḥ /	nirdozam sulaBam ca-eva pUjayet satatam buDaH /
   yathā yathā mahāliṅgaṃ pūjā śraddhā yathā yathā // 3.13 //	yaTA yaTA mahA-liFgam pUjA SradDA yaTA yaTA // 3.13 //
   tathā tathā mahat puṇyaṃ vijñeyam anurūpataḥ /	taTA taTA mahat puNyam vijQeyam anurUpatas /
   pratimāliṅgavedīṣu yāvantaḥ paramāṇavaḥ /	pratimA-AliFga-vedIzu yAvantaH paramANavaH /
   tāvatkalpān mahābhogas tatkartāste śive pure // 3.14 //	tAvat-kalpAn mahA-BogaH tad-kartAH-te Sive pure // 3.14 //
   // iti śivopaniṣadi śivagṛhādhyāyas tṛtīyaḥ //	// iti Siva-upanizadi Siva-gRha-aDyAyaH tRtIyaH //
   athaikabhinnāvicchinnaṃ purataḥ śāntimaṇḍapam /	aTa-eka-Binna-avicCinnam puratas SAnti-maNxapam /
   pūrvāparāṣṭahastaṃ syād dvādaśottaradakṣiṇe // 4.1 //	pUrva-apara-azwa-hastam syAt dvAdaSa-uttara-dakziNe // 4.1 //
   tad dvārabhittisaṃbaddhaṃ kapicchukasamāvṛtam /	tat dvAra-Bitti-saMbadDam kapicSuka-samAvRtam /
   paṭadvayaṃ bhavet sthāpya sruvādyāvārahetunā // 4.2 //	pawa-dvayam Bavet sTApya sruva-Adi-AvAra-hetunA // 4.2 //
   dvāraṃ triśākhaṃ vijñeyaṃ navatyaṅgulam ucchritam /	dvAram tri-SAKam vijQeyam navati-aFgulam ucCritam /
   tadardhena ca vistīrṇaṃ satkavāṭaṃ śivālaye // 4.3 //	tad-arDena ca vistIrNam sat-kavAwam Siva-Alaye // 4.3 //
   dīrghaṃ pañcanavatyā ca pañcaśākhāsuśobhitam /	dIrGam paQcanavatyA ca paQca-SAKA-su-SoBitam /
   satkavāṭadvayopetaṃ śrīmad vāhanamaṇṭapam // 4.4 //	sat-kavAwa-dvaya-upetam SrImat vAhana-maNwapam // 4.4 //
   dvāraṃ paścānmukhaṃ jñeyam aśeṣārthaprasādhakam /	dvAram paScAt-muKam jQeyam aSeza-arTa-prasADakam /
   abhāve prāṅmukhaṃ kāryam udagdakṣiṇato na ca // 4.5 //	aBAve prAFmuKam kAryam udak-dakziNatas na ca // 4.5 //
   gavākṣakadvayaṃ kāryam apidhānaṃ suśobhanam /	gavAkzaka-dvayam kAryam apiDAnam su-SoBanam /
   dhūmanirgamanārthāya dakṣiṇottarakuḍyayoḥ // 4.6 //	DUma-nirgamana-arTAya dakziNa-uttara-kuxyayoH // 4.6 //
   āgneyabhāgāt paritaḥ kāryā jālagavākṣakāḥ /	Agneya-BAgAt paritas kAryAH jAlagavAkzakAH /
   ūrdhvastūpikayā yuktā īṣacchidrapidhānayā // 4.7 //	UrDvaH-tUpikayA yuktAH Izat-Cidra-piDAnayA // 4.7 //
   śivāgnihotrakuṇḍaṃ ca vṛttaṃ hastapramāṇataḥ /	Siva-agnihotra-kuNxam ca vRttam hasta-pramANataH /
   caturaśravedi(kā) śrīman mekhalātrayabhūṣitam // 4.8 //	caturaSravedi(kA) SrImat meKalA-traya-BUzitam // 4.8 //
   kuḍyaṃ dvihastavistīṛṇaṃ pañcahastasamucchritam /	kuxyam dvi-hasta-vistIRNam paQca-hasta-samucCritam /
   śivāgnihotraśaraṇaṃ kartavyam atiśobhanam // 4.9 //	Siva-agnihotra-SaraNam kartavyam ati-SoBanam // 4.9 //
   jagatīstambhapaṭṭādyaṃ saptasaṃkhyaṃ ca kalpayet /	jagatI-stamBa-pawwa-Adyam sapta-saMKyam ca kalpayet /
   bandhayogavinirmuktaṃ tulyasthānapadāntaram // 4.10 //	banDa-yoga-vinirmuktam tulya-sTAna-pada-antaram // 4.10 //
