   akartā nityayajñānāṃ YSS_2.9a	akartA nitya-yajQAnAm YSH-_2.9a
   athāto yamadharmasya YS182v_1.1a	aTa-atas yama-Darmasya YS182u-_1.1a
   athāto hy asya dharmasya YS78v_1a	aTa-atas hi asya Darmasya YS78u-_1a
   adūṣyaṃ caiva viprendraṃ YS182v_3.40c	adUzyam ca-eva vipra-indram YS182u-_3.40c
   adaivaṃ bhojayec chrāddhaṃ YS99v_81c	adEvam Bojayet SrAdDam YS99u-_81c
   adharmadaṇḍasāhasaṃ YSS_2.14b	aDarma-daNxa-sAhasam YSH-_2.14b
   adhikasya ca bhāgau dvau YS182v_5.23a	aDikasya ca BAgO dvO YS182u-_5.23a
   adhītañ ca dvijādibhiḥ YSS_2.28b	aDItan ca dvija-AdiBiH YSH-_2.28b
   anantaṃ nātra saṃśayaḥ YS182v_3.43f	anantam na-atra saMSayaH YS182u-_3.43f
   anarcayitvā yo bhuṅkte YS182v_3.25c	anarcayitvA yaH BuFkte YS182u-_3.25c
   anāhitāgnir varteta YS78v_48c	anAhitAgniH varteta YS78u-_48c
   aniṣṭvā ca hutāśanaṃ YSS_2.33b	anizwvA ca hutASanam YSH-_2.33b
   anucchiṣṭena saṃspṛṣṭe YS78v_42a	anucCizwena saMspRzwe YS78u-_42a
   anucchiṣṭena saṃspṛṣṭe YS99v_15a	anucCizwena saMspRzwe YS99u-_15a
   anutāparatasya ca YS182v_4.40b	anutApa-ratasya ca YS182u-_4.40b
   anutāpādya[po ya]dā puṃsāṃ[so] YS182v_4.28a	anutApa-Adi-a[paH ya]dA puMsAM[so] YS182u-_4.28a
   anutsṛṣṭā hi lokasya YSS_2.19c	anutsRzwAH hi lokasya YSH-_2.19c
   anūḍhā na pṛthak kanyā YS99v_84a	anUXA na pRTak kanyA YS99u-_84a
   anṛtau tu striyaṃ gatvā YS99v_16c	anRtO tu striyam gatvA YS99u-_16c
   aneke yasya ye putrāḥ YS182v_5.14a	aneke yasya ye putrAH YS182u-_5.14a
   ante vārdhuṣikaṃ dṛṣṭvā YS182v_3.16c	ante vArDuzikam dRzwvA YS182u-_3.16c
   ante vārdhuṣikaṃ dṛṣṭvā YS78v_35c	ante vArDuzikam dRzwvA YS78u-_35c
   antyād ajñānato bhuktvā YSS_1.6a	antyAt ajQAnataH BuktvA YSH-_1.6a
   annadānahiraṇyakaiḥ YS182v_3.59d	anna-dAna-hiraNyakEH YS182u-_3.59d
   annaṃ śūdrasya bhojyaṃ vā YS78v_21a	annam SUdrasya Bojyam vA YS78u-_21a
   anyathābhāvadoṣeṇa YS182v_2.5c	anyaTA-BAva-dozeNa YS182u-_2.5c
   anyathāhāradoṣeṇa YS78v_9c	anyaTA-AhAra-dozeNa YS78u-_9c
   anyaprāṇilayaṃ kurvan YSS_1.24a	anya-prANi-layam kurvan YSH-_1.24a
   anyāsu pitṛgotrāsu YS99v_37a	anyAsu pitR-gotrAsu YS99u-_37a
   anyonyaṃ spṛśate(taḥ) kvacit YS99v_13b	anyonyam spRSata-i(taH) kvacid YS99u-_13b
   anvaṣṭakām aṣṭakāṃ vā YSS_2.50a	anvazwakAm azwakAm vA YSH-_2.50a
   apatyaṃ tanmayo dvijaḥ YSS_2.63b	apatyam tad-mayaH dvijaH YSH-_2.63b
   aparās te na ca spṛśyās YS78v_13c	aparAH te na ca spRSyAH YS78u-_13c
   apasnāto divāsnātaḥ YSS_2.12a	apasnAtaH divAsnAtaH YSH-_2.12a
   apaḥ karanakhaspṛṣṭāḥ YS78v_65a	apaH karanaKa-spRzwAH YS78u-_65a
   apāṅktās te ca vijñeyāḥ YS182v_4.62c	apAFktAH te ca vijQeyAH YS182u-_4.62c
   apāṅktyānāṃ tv akalyāṇāṃ YSS_2.69a	apAFktyAnAm tu akalyANAm YSH-_2.69a
   aputrasya ca putrāḥ syuḥ YS182v_5.16c	aputrasya ca putrAH syuH YS182u-_5.16c
   aputrasya ca vijñeyā YS182v_5.19a	aputrasya ca vijQeyAH YS182u-_5.19a
   aputrebhyo na saṃśayaḥ YS182v_5.21d	aputreByaH na saMSayaH YS182u-_5.21d
   apūpam annaṃ māṃsañ ca YSS_2.45a	apUpam annam mAMsan ca YSH-_2.45a
   apūrṇaṣoḍaśābdasya YSS_1.20a	apUrNa-zoxaSa-abdasya YSH-_1.20a
   apṛcchann ṛṣayo gatvā YSS_1.1c	apRcCan RzayaH gatvA YSH-_1.1c
   apraśastā na te spṛśyās YS182v_2.8c	apraSastAH na te spRSyAH YS182u-_2.8c
   apraśastās tu taṃ spṛṣṭvā YSS_1.17c	apraSastAH tu tam spRzwvA YSH-_1.17c
   abhakṣyāṇām apeyānām YS182v_3.62a	aBakzyANAm apeyAnAm YS182u-_3.62a
   abhakṣyāṇām apeyānām YS78v_46a	aBakzyANAm apeyAnAm YS78u-_46a
   abhiṣikto yadā bhavet YS182v_4.46b	aBiziktaH yadA Bavet YS182u-_4.46b
   abhojyāś cāpratigrāhyā YS182v_2.9a	aBojyAH ca-apratigrAhyAH YS182u-_2.9a
   abhojyāś cāpratigrāhyā YS78v_14a	aBojyAH ca-apratigrAhyA YS78u-_14a
   amāyāṃ tu na bhuñjīta YS182v_2.6c	amAyAm tu na BuQjIta YS182u-_2.6c
   amāvāsyāṃ na bhuñjīta YS78v_10c	amAvAsyAm na BuQjIta YS78u-_10c
   amedhyaliptaṃ tu bhavec charīram YS78v_44b	ameDya-liptam tu Bavet SarIram YS78u-_44b
   amedhyena tu saṃspṛṣṭo YSS_1.4Aa	ameDyena tu saMspRzwaH YSH-_1.4Aa
   amedhyena sadā śuci YSS_1.4b	ameDyena sadA Suci YSH-_1.4b
   amedhyena sadā śuci YS99v_97b	ameDyena sadA Suci YS99u-_97b
   ayājyānāñ ca yājakaḥ YS78v_30d	ayAjyAnAn ca yAjakaH YS78u-_30d
   ayājyānāṃ ca yājakaḥ YS182v_3.35d	ayAjyAnAm ca yAjakaH YS182u-_3.35d
   ayājyānāṃ ca yājakāḥ YS182v_4.62b	ayAjyAnAm ca yAjakAH YS182u-_4.62b
   arddhakṛcchran tu khāte syāt YS78v_69c	ardDa-kRcCran tu KAte syAt YS78u-_69c
   ardhakṛcchraṃ caret pūrvā YS182v_3.66c	arDa-kRcCram caret pUrvAH YS182u-_3.66c
   alubdho veda tat paraḥ YS182v_3.43b	alubDaH veda tat paraH YS182u-_3.43b
   alubhdāhlādaniṣpāpā YS182v_4.54a	aluBda-AhlAda-nizpApAH YS182u-_4.54a
   alehyānāñ ca bhakṣaṇe YS78v_46b	alehyAnAn ca BakzaNe YS78u-_46b
   alehyānāṃ ca bhakṣaṇe YS182v_3.62b	alehyAnAm ca BakzaNe YS182u-_3.62b
   avivāhyāḥ sutāś caiva YSS_1.38c	avivAhyAH sutAH ca-eva YSH-_1.38c
   avṛṣeṇa bṛhaspatiḥ YS78v_27b	avRzeNa bRhaspatiH YS78u-_27b
   aśitvā caiva tat sarvaṃ YS99v_8c	aSitvA ca-eva tat sarvam YS99u-_8c
   aśītir yasya varṣāṇi YSS_1.19a	aSItiH yasya varzANi YSH-_1.19a
   aśītīryasya varṣāṇi YS78v_17a	aSItIH-yasya varzANi YS78u-_17a
   aśītyadhikavarṣāṇi YS182v_3.3a	aSIti-aDika-varzANi YS182u-_3.3a
   aśucir brāhmaṇaḥ kvacit YS99v_7b	aSuciH brAhmaNaH kvacid YS99u-_7b
   aśubhaṃ kāritāḥ karma YS182v_5.6a	aSuBam kAritAH karma YS182u-_5.6a
   aśnataś ced virekaḥ syād YS99v_9a	aSnataH ced virekaH syAt YS99u-_9a
   aśnanti pitaras tāvad YS78v_38c	aSnanti pitaraH tAvat YS78u-_38c
   aśrautasmārtavihitaṃ YS99v_59a	aSrOta-smArta-vihitam YS99u-_59a
   aśvasya hantā puruṣasya hantā YSS_1.40a	aSvasya hantA puruzasya hantA YSH-_1.40a
   aṣṭavarṣā bhaved gaurī YS182v_3.21a	azwa-varzA Bavet gOrI YS182u-_3.21a
   aṣṭaśālyāṃ mṛtā ye ca YS182v_4.30c	azwa-SAlyAm mRtAH ye ca YS182u-_4.30c
   aṣṭaśālyāṃ mṛto vipraḥ YS182v_4.31c	azwa-SAlyAm mRtaH vipraH YS182u-_4.31c
   asakṛc ca yadā jñātvā YS182v_4.43c	asakRt ca yadA jQAtvA YS182u-_4.43c
   asakṛd gamanāc caiva YS182v_4.44a	asakRt gamanAt ca-eva YS182u-_4.44a
   asac chūdreṣu annādyaṃ YS182v_3.11a	asat SUdrezu annAdyam YS182u-_3.11a
   asatyavādinaṃ vāde YSS_2.32a	asatya-vAdinam vAde YSH-_2.32a
   asadālāpakas tathā YS182v_3.36d	asat-AlApakaH taTA YS182u-_3.36d
   asadālāpakas tathā YS78v_31d	asat-AlApakaH taTA YS78u-_31d
   asavarṇāsu nārīṣu YSS_1.37Aa	asavarNAsu nArIzu YSH-_1.37Aa
   asaṃpaṅktyāvivāhikāḥ YS182v_2.9b	asaMpaFktyAvivAhikAH YS182u-_2.9b
   asaṃpāṭhyā avivāhinaḥ YSS_1.18b	asaMpAWyAH avivAhinaH YSH-_1.18b
   asaṃpāṭhyā vivāhinaḥ YS78v_14b	asaMpAWyA vivAhinaH YS78u-_14b
   asaṃbhaṣyo hy apāṅkteyaḥ YS182v_3.19c	asaMBazyaH hi apAFkteyaH YS182u-_3.19c
   asaṃbhāṣyo hy apāṅkteyaḥ YS78v_24c	asaMBAzyaH hi apAFkteyaH YS78u-_24c
   asaṃbhojyā apratigrāhyā YSS_1.18a	asaMBojyAH apratigrAhyAH YSH-_1.18a
   asaṃskṛtapramītānāṃ YS99v_98c	asaMskRta-pramItAnAm YS99u-_98c
   asākṣivyavahāreṣu YS182v_5.26c	asAkzi-vyavahArezu YS182u-_5.26c
   asevyāsevino viprā YS182v_4.62a	asevya-AsevinaH viprAH YS182u-_4.62a
   astaṃ gate yadā sūrye YS182v_3.8a	astam gate yadA sUrye YS182u-_3.8a
   astaṃ gato yadā sūryaś YS78v_18a	astam gataH yadA sUryaH YS78u-_18a
   asthi saṃcayanaṃ kāryaṃ YS99v_87c	asTi saMcayanam kAryam YS99u-_87c
   asthisaṃcayanaṃ proktaṃ YS99v_88c	asTisaMcayanam proktam YS99u-_88c
   asvasthas triśataṃ japet YS99v_9b	asvasTaH tri-Satam japet YS99u-_9b
   ahorātreṇa śudhyati YS182v_3.49b	ahorAtreNa SuDyati YS182u-_3.49b
   ahorātroṣito bhūtvā YS99v_5c	ahorAtra-uzitaH BUtvA YS99u-_5c
   ahorātroṣito bhūtvā YS99v_6c	ahorAtra-uzitaH BUtvA YS99u-_6c
   ākāśe ca kṣiped vāri YS99v_94a	AkASe ca kzipet vAri YS99u-_94a
   āgacchantu me pitaro YS99v_92c	AgacCantu me pitaraH YS99u-_92c
   āgomaithunam āsevyaḥ YSS_1.27c	AgomETunam AsevyaH YSH-_1.27c
   ācaret trīṇi kṛcchrāṇi YS78v_49a	Acaret trINi kRcCrANi YS78u-_49a
   ācāryasya pitur bhrātuḥ YSS_2.34a	AcAryasya pituH BrAtuH YSH-_2.34a
   āture snānasamprāpte YS78v_53a	Ature snAna-samprApte YS78u-_53a
   ātmānaṃ ghātayed yas tu YS99v_20a	AtmAnam GAtayet yaH tu YS99u-_20a
   ādāya gacchaty aviśiṣṭabuddhiḥ YSS_1.47b	AdAya gacCati aviSizwa-budDiH YSH-_1.47b
   ādhau pratigrahe krānte YS182v_5.23c	ADO pratigrahe krAnte YS182u-_5.23c
   āpaḥ pitṛgaṇās tathā YS99v_95b	ApaH pitR-gaNAH taTA YS99u-_95b
   āpo devagaṇāḥ proktā YS99v_95a	ApaH deva-gaNAH proktAH YS99u-_95a
   āpo hiṣṭḥety ṛgabhiṣiktā YS182v_3.58a	ApaH hizwHA-iti Rc-aBiziktAH YS182u-_3.58a
   ābdikaṃ caiva śūdrasya YS182v_4.13c	Abdikam ca-eva SUdrasya YS182u-_4.13c
   āraṇyakā ye yadi daṃṣṭriṇas tu YSS_1.54a	AraNyakAH ye yadi daMzwriNaH tu YSH-_1.54a
   ārāmaś ca viśeṣeṇa YS99v_69c	ArAmaH ca viSezeNa YS99u-_69c
   ārūḍhapatitāj jāto YSS_1.36a	ArUXa-patitAt jAtaH YSH-_1.36a
   āśā[śai]vālakuḍe[ṇḍe] vā 'pi YS182v_4.3c	ASA[-SE]vAla-kuxe[Nxe] vA api YS182u-_4.3c
   āśaucaṃ na bhavaty eva YS182v_5.9a	ASOcam na Bavati eva YS182u-_5.9a
   āśramasthaṃ sukhāsīnaṃ YSS_1.1a	ASrama-sTam suKa-AsInam YSH-_1.1a
   āsane tu samāsīna YSS_2.35a	Asane tu samAsIna YSH-_2.35a
   āsane pādam ārūḍho YS182v_3.31a	Asane pAdam ArUXaH YS182u-_3.31a
   āsaneśv āsanaṃ dadyān YS182v_3.30a	AsaneSu Asanam dadyAn YS182u-_3.30a
   āsye ca maithunaṃ kṛtvā YSS_1.32Ac	Asye ca mETunam kRtvA YSH-_1.32Ac
   āhāraṃ maithunaṃ nidrāṃ YS78v_76c	AhAram mETunam nidrAm YS78u-_76c
   āhārāj jāyate vyādhiḥ YS78v_77a	AhArAt jAyate vyADiH YS78u-_77a
   āhṛtya praṇavenaiva hy YS99v_73a	AhRtya praNavena-eva hi YS99u-_73a
   itarebhyaḥ(?) samāsataḥ YS182v_5.23b	itareByaH(?) samAsatas YS182u-_5.23b
   iti dharmo vyavasthitaḥ YS99v_99d	iti DarmaH vyavasTitaH YS99u-_99d
   iti prāha svayaṃ yamaḥ YS182v_3.39d	iti prAha svayam yamaH YS182u-_3.39d
   iti prāha svayaṃ yamaḥ YS182v_4.21b	iti prAha svayam yamaH YS182u-_4.21b
   iti prāha svayaṃ yamaḥ YS182v_4.34d	iti prAha svayam yamaH YS182u-_4.34d
   iti śātātapo 'bravīt YS182v_5.17b	iti SAtAtapaH abravIt YS182u-_5.17b
   iti śātātapo 'bravīt YS99v_11d	iti SAtAtapaH abravIt YS99u-_11d
   iti saṃcintya daṇḍayet YSS_2.74d	iti saMcintya daNxayet YSH-_2.74d
   ity āha bhagavān yamaḥ YS182v_3.49d	iti Aha BagavAn yamaH YS182u-_3.49d
   ity āha bhagavān yamaḥ YS182v_4.28d	iti Aha BagavAn yamaH YS182u-_4.28d
   ity āha bhagavān yamaḥ YS182v_4.32d	iti Aha BagavAn yamaH YS182u-_4.32d
   ity āha bhagavān yamaḥ YS182v_4.55b	iti Aha BagavAn yamaH YS182u-_4.55b
   ity āha bhagavān yamaḥ YS182v_4.58d	iti Aha BagavAn yamaH YS182u-_4.58d
   idānīṃ bhāganirṇayam YS182v_5.20c	idAnIm BAga-nirNayam YS182u-_5.20c
   indudvayena śuddhyanti YS78v_4c	indu-dvayena SudDyanti YS78u-_4c
   indudvayena śudhyanti YS182v_1.5c	indu-dvayena SuDyanti YS182u-_1.5c
   iṣṭāpūrtaṃ tu kartavyaṃ YS99v_68a	izwApUrtam tu kartavyam YS99u-_68a
   iṣṭena labhate svargaṃ YS99v_68c	izwena laBate svargam YS99u-_68c
   iha janmani śūdratvaṃ YS182v_3.14c	iha janmani SUdra-tvam YS182u-_3.14c
   ihaloke paratra ca YSS_1.16d	ihaloke paratra ca YSH-_1.16d
   iha loke paratra ca YS182v_2.7d	iha loke paratra ca YS182u-_2.7d
   iha loke paratra ca YS78v_12d	iha loke paratra ca YS78u-_12d
   īkṣitaṃ bhuktamiśritaṃ YSS_2.68b	Ikzitam Bukta-miSritam YSH-_2.68b
   uktaś caiva viśeṣataḥ YS182v_5.4d	uktaH ca-eva viSezataH YS182u-_5.4d
   ucchiṣṭatve 'śucitve ca YS99v_4c	ucCizwa-tve aSuci-tve ca YS99u-_4c
   ucchiṣṭabhājanaṃ yena YS182v_3.45a	ucCizwa-BAjanam yena YS182u-_3.45a
   ucchiṣṭasalilasrāvaṃ YSS_2.42a	ucCizwa-salila-srAvam YSH-_2.42a
   ucchiṣṭaṃ taṃ dvijaṃ yas tu YS182v_3.49a	ucCizwam tam dvijam yaH tu YS182u-_3.49a
   ucchiṣṭena ca saṃspṛṣṭā YS99v_14a	ucCizwena ca saMspRzwAH YS99u-_14a
   ucchiṣṭocchiṣṭasaṃspṛṣṭaḥ YS182v_3.44a	ucCizwa-ucCizwa-saMspRzwaH YS182u-_3.44a
   ucchiṣṭocchiṣṭasaṃspṛṣṭaḥ YS182v_3.47a	ucCizwa-ucCizwa-saMspRzwaH YS182u-_3.47a
   ucchiṣṭocchiṣṭasaṃspṛṣṭo YS182v_3.46a	ucCizwa-ucCizwa-saMspRzwaH YS182u-_3.46a
   ucchiṣṭocchiṣtasaṃspṛṣṭaḥ YS78v_41a	ucCizwa-ucCizta-saMspRzwaH YS78u-_41a
   u([turu])pāsanaparo hi saḥ YS182v_4.52d	u([turu])pAsana-paraH hi saH YS182u-_4.52d
   utkṛṣṭenāpi gohantā YS182v_4.9c	utkRzwena-api go-hantA YS182u-_4.9c
   uttame 'sminn avasthite YSS_2.35b	uttame asmin avasTite YSH-_2.35b
   uttaraḥ syāc caturvidhaḥ YS182v_5.25b	uttaraH syAt caturviDaH YS182u-_5.25b
   utthāpya praṇavena ca YS99v_73b	utTApya praNavena ca YS99u-_73b
   utthāya ṣaṭpadaṃ gacchet YS99v_46c	utTAya zawpadam gacCet YS99u-_46c
   utsṛṣṭāgnis tu yo vipras YSS_2.8a	utsRzwA-agniH tu yaH vipraH YSH-_2.8a
   udake snānam ācaret YS99v_66d	udake snAnam Acaret YS99u-_66d
   udakyā dṛṣṭipātena YS182v_3.51a	udakyAH dRzwi-pAtena YS182u-_3.51a
   udakyā patitena ca YS78v_63b	udakyA patitena ca YS78u-_63b
   udakyāṃ sūtikāṃ vāpi YS99v_11a	udakyAm sUtikAm vA-api YS99u-_11a
   udakyāḥ sparśane caiva YS182v_3.54a	udakyAH sparSane ca-eva YS182u-_3.54a
   udite grahanakṣatre YS182v_1.2c	udite graha-nakzatre YS182u-_1.2c
   udgacchanti hi nakṣatrāṇy YS99v_66a	udgacCanti hi nakzatrANi YS99u-_66a
   uddiśya pitṛpākaṃ ca YS182v_5.8c	uddiSya pitR-pAkam ca YS182u-_5.8c
   unmānañ ca tathāmānaṃ YSS_2.36a	unmAnan ca taTAmAnam YSH-_2.36a
   upapattim avasthāñ ca YS78v_51c	upapattim avasTAn ca YS78u-_51c
   upapātakayukto yo YSS_2.4a	upapAtaka-yuktaH yaH YSH-_2.4a
   upapātakinas tathā YSS_1.2b	upapAtakinaH taTA YSH-_1.2b
   upapātakināṃ caiva YS182v_4.24c	upapAtakinAm ca-eva YS182u-_4.24c
   upariṣṭāc ca ye grahāḥ YS99v_66b	uparizwAt ca ye grahAH YS99u-_66b
   upavāsam athāpi vā YS182v_4.25d	upavAsam aTa-api vA YS182u-_4.25d
   upavāsena śudhyati YS99v_8b	upavAsena SuDyati YS99u-_8b
   upasthānārcano sūryaṃ YSS_2.8c	upasTAna-arcanaH sUryam YSH-_2.8c
   upādhyāyasya yoṣitaḥ YS182v_3.5b	upADyAyasya yozitaH YS182u-_3.5b
   upāyaiś śuddhim āyāti YSS_2.71c	upAyEH SudDim AyAti YSH-_2.71c
   upāsyām e[sītai]va yatnataḥ YS182v_4.50b	upAsyAm e[sItE]va yatnataH YS182u-_4.50b
   upekṣako yo rājā tu YSS_2.72a	upekzakaH yaH rAjA tu YSH-_2.72a
   upoṣya dvijasaṃskāraṃ YS182v_3.50c	upozya dvija-saMskAram YS182u-_3.50c
   upoṣya rajanīm ekāṃ YS182v_3.44c	upozya rajanIm ekAm YS182u-_3.44c
   upoṣya rajanīm ekāṃ YS182v_3.48a	upozya rajanIm ekAm YS182u-_3.48a
   upoṣya rajamīm ekāṃ YS78v_41c	upozya rajamIm ekAm YS78u-_41c
   ubhayāvasitaḥ pāpaḥ YS99v_24a	uBaya-avasitaH pApaH YS99u-_24a
   ubhayāvasitāḥ pāpā YS182v_1.5a	uBaya-avasitAH pApAH YS182u-_1.5a
   ubhayāvasitāḥ pāpā YS78v_4a	uBaya-avasitAH pApAH YS78u-_4a
   ubhayāvāsinaḥ pāpā YSS_1.9a	uBayA-vAsinaH pApAH YSH-_1.9a
   ubhayoḥ sūtakaṃ bhavet YS78v_75b	uBayoH sUtakam Bavet YS78u-_75b
   ubhābhyāṃ tarpaṇe dadyād YS99v_99c	uBAByAm tarpaNe dadyAt YS99u-_99c
   ubhāv apy aśucī syātāṃ YS99v_17a	uBO api aSucI syAtAm YS99u-_17a
   ūnaikādaśavarṣasya YS182v_3.1a	Una-ekAdaSa-varzasya YS182u-_3.1a
   ūnaikādaśavarṣasya YS78v_15a	Una-ekAdaSa-varzasya YS78u-_15a
   ūrdhvaṃ nābheḥ karau muktvā YS78v_45a	UrDvam nABeH karO muktvA YS78u-_45a
   ūrdhvaṃ snānam adhaḥ śaucaṃ YS78v_45c	UrDvam snAnam aDas SOcam YS78u-_45c
   ṛtau tu garbhaśaṅkitvāt YS99v_16a	RtO tu garBa-SaFki-tvAt YS99u-_16a
   ṛṣiḥ śātātapo 'bravīt YS182v_5.20d	RziH SAtAtapaH abravIt YS182u-_5.20d
   ekatvaṃ sā vrajed bhartuḥ YS99v_86c	eka-tvam sA vrajet BartuH YS99u-_86c
   ekabhaktaṃ tathā naktam YS182v_4.25c	eka-Baktam taTA naktam YS182u-_4.25c
   ekam eva mṛte 'hani YS99v_83d	ekam eva mRte ahani YS99u-_83d
   ekarātropavāsaś ca YS182v_1.13c	eka-rAtra-upavAsaH ca YS182u-_1.13c
   ekādaśāhe pretasya YS99v_89a	ekAdaSa-ahe pretasya YS99u-_89a
   ekaikaśaś caret kṛcchram YS99v_44c	ekEkaSas caret kRcCram YS99u-_44c
   ekaikaśaś caret kṛcchraṃ YS99v_42c	ekEkaSas caret kRcCram YS99u-_42c
   ekaikaṃ varddhayec chukle YS78v_10a	ekEkam vardDayet Sukle YS78u-_10a
   ekaikaṃ vardhayed grāsaṃ YS182v_2.6a	ekEkam varDayet grAsam YS182u-_2.6a
   ekaike tu kṛte pāpe YSS_1.12a	ekEke tu kRte pApe YSH-_1.12a
   eko hato yo bahubhiḥ sametaiḥ YSS_1.55a	ekaH hataH yaH bahuBiH sametEH YSH-_1.55a
   etat te kathitaṃ sarvaṃ YS182v_4.11a	etat te kaTitam sarvam YS182u-_4.11a
   etat te kathitaṃ sarvaṃ YS78v_68a	etat te kaTitam sarvam YS78u-_68a
   etad dinacatuṣkeṇa YS182v_4.26a	etat dina-catuzkeNa YS182u-_4.26a
   etad bhāsvatir abravīt YS78v_33d	etat BAsvatiH abravIt YS78u-_33d
   etā gatvā striyo mohāt YS182v_3.5c	etAH gatvA striyaH mohAt YS182u-_3.5c
   etān niyojayed yas tu YS78v_34a	etAn niyojayet yaH tu YS78u-_34a
   ete brāhmaṇakutsāḥ syus YS182v_5.3c	ete brAhmaNa-kutsAH syuH YS182u-_5.3c
   ete varjyāḥ prayatnena YS182v_3.38a	ete varjyAH prayatnena YS182u-_3.38a
   ete varjyāḥ prayatnena YS78v_33c	ete varjyAH prayatnena YS78u-_33c
   ete śūdrās tu bhojyānnā YS182v_3.10c	ete SUdrAH tu Bojya-annAH YS182u-_3.10c
   ete śūdreṣu bhojyānnā YS78v_20c	ete SUdrezu Bojya-annAH YS78u-_20c
   ete śrāddhe ca dāne ca YS182v_3.37a	ete SrAdDe ca dAne ca YS182u-_3.37a
   ete śrāddhe ca dāne ca YS78v_a	ete SrAdDe ca dAne ca YS78u-_a
   eteṣām udakaṃ pītvā YS182v_3.63c	etezAm udakam pItvA YS182u-_3.63c
   eteṣām udakaṃ pītvā YS78v_47c	etezAm udakam pItvA YS78u-_47c
   eteṣāṃ sparśanāt pāpaṃ YS182v_3.53a	etezAm sparSanAt pApam YS182u-_3.53a
   eteṣu dvādaśābdaṃ ca YS182v_4.23c	etezu dvAdaSa-abdam ca YS182u-_4.23c
   edhyena liptaṃ tu bhavet kadācit YS182v_3.61b	eDyena liptam tu Bavet kadAcid YS182u-_3.61b
   evam ukto hi bhagavān YS182v_4.19c	evam uktaH hi BagavAn YS182u-_4.19c
