   BhP_06.01.001/0 śrīparīkṣiduvāca	Bhu-_06.01.001/0 SrIparIkzit-uvAca
   BhP_06.01.008/1 tasmāt puraivāśviha pāpaniṣkṛtau yateta	Bhu-_06.01.008/1 tasmAt purA-eva-ASvi-ha pApa-nizkRtO yateta
   mṛtyoravipadyatātmanā	mRtyoH-avipadyata-AtmanA
   BhP_06.01.008/2 doṣasya dṛṣṭvā gurulāghavaṃ yathā bhiṣak cikitseta rujāṃ	Bhu-_06.01.008/2 dozasya dRzwvA gurulAGavam yaTA Bizaj cikitseta rujAm
   nidānavit	nidAna-vid-
   BhP_06.01.009/0 śrīrājovāca	BhP_06.01.009/0 SrI-rAjA-uvAca
   BhP_06.01.009/1 dṛṣṭaśrutābhyāṃ yat pāpaṃ jānannapy ātmano 'hitam	Bhu-_06.01.009/1 dRzwa-SrutAByAm yat pApam jAnan=-api AtmanaH ahitam
   BhP_06.01.009/2 karoti bhūyo vivaśaḥ prāyaścittamatho katham	Bhu-_06.01.009/2 karoti BUyas vivaSaH prAyaScittam-aTo kaTam
   BhP_06.01.010/1 kvacin nivartate 'bhadrāt kvacic carati tat punaḥ	Bhu-_06.01.010/1 kvacid nivartate aBadrAt kvacid carati tat punar-
   BhP_06.01.010/2 prāyaścittamatho 'pārthaṃ manye kuñjaraśaucavat	BhP_06.01.010/2 prAyaScittam-aTo apArTam manye kuQjara-SOca-vat-
   BhP_06.01.011/0 śrībādarāyaṇiruvāca	Bhu-_06.01.011/0 SrI-bAdarAyaNiH-uvAca
   BhP_06.01.011/1 karmaṇā karmanirhāro na hy ātyantika iṣyate	BhP_06.01.011/1 karmaNA karma-nirhAraH na hi AtyantikaH izyate
   BhP_06.01.011/2 avidvadadhikāritvāt prāyaścittaṃ vimarśanam	Bhu-_06.01.011/2 avidvat-aDikAri-tvAt prAyaScittam vimarSanam
   BhP_06.01.012/1 nāśnataḥ pathyamevānnaṃ vyādhayo 'bhibhavanti hi	Bhu-_06.01.012/1 na-aSnataH paTyam-eva-annam vyADayaH aBiBavanti hi
   BhP_06.01.012/2 evaṃ niyamakṛdrājan śanaiḥ kṣemāya kalpate	Bhu-_06.01.012/2 evam niyama-kRt-rAjan SanEs kzemAya kalpate
   BhP_06.01.013/1 tapasā brahmacaryeṇa śamena ca damena ca	Bhu-_06.01.013/1 tapasA brahmacaryeNa Samena ca damena ca
   BhP_06.01.013/2 tyāgena satyaśaucābhyāṃ yamena niyamena vā	Bhu-_06.01.013/2 tyAgena satya-SOcAByAm yamena niyamena vA
   BhP_06.01.014/1 dehavāgbuddhijaṃ dhīrā dharmajñāḥ śraddhayānvitāḥ	Bhu-_06.01.014/1 deha-vAc-budDi-jam DIrAH Darma-jQAH SradDayA-anvitAH
   BhP_06.01.014/2 kṣipanty aghaṃ mahadapi veṇugulmamivānalaḥ	Bhu-_06.01.014/2 kzipanti aGam mahat-api veNu-gulmam-iva-analaH
   BhP_06.01.015/1 kecit kevalayā bhaktyā vāsudevaparāyaṇāḥ	Bhu-_06.01.015/1 kecid kevalayA BaktyA vAsudeva-parAyaNAH
   BhP_06.01.015/2 aghaṃ dhunvanti kārtsnyena nīhāramiva bhāskaraḥ	Bhu-_06.01.015/2 aGam Dunvanti kArtsnyena nIhAram-iva BAskaraH
   BhP_06.01.016/1 na tathā hy aghavān rājan pūyeta tapāadibhiḥ	Bhu-_06.01.016/1 na taTA hi aGavAn rAjan pUyeta tapAa-diBiH
   BhP_06.01.016/2 yathā kṛṣṇārpitaprāṇastatpuruṣaniṣevayā	Bhu-_06.01.016/2 yaTA kRzNa-arpita-prANaH-tatpuruza-nizevayA
   BhP_06.01.017/1 sadhrīcīno hy ayaṃ loke panthāḥ kṣemo 'kutobhayaḥ	Bhu-_06.01.017/1 saDrIcInaH hi ayam loke panTAH kzemaH akutoBayaH
   BhP_06.01.017/2 suśīlāḥ sādhavo yatra nārāyaṇaparāyaṇāḥ	Bhu-_06.01.017/2 su-SIlAH sADavaH yatra nArAyaNa-parAyaNAH
   BhP_06.01.018/1 prāyaścittāni cīrṇāni nārāyaṇaparāṅmukham	Bhu-_06.01.018/1 prAyaScittAni cIrNAni nArAyaNa-parAFmuKam
   BhP_06.01.018/2 na niṣpunanti rājendra surākumbhamivāpagāḥ	Bhu-_06.01.018/2 na nizpunanti rAja-indra surA-kumBam-iva-ApagAH
   BhP_06.01.019/1 sakṛn manaḥ kṛṣṇapadāravindayor niveśitaṃ tadguṇarāgi	Bhu-_06.01.019/1 sakRt manaH kRzNa-pada-aravindayoH niveSitam tad-guNa-rAgi
   yairiha	yEH-iha
   BhP_06.01.019/2 na te yamaṃ pāśabhṛtaśca tadbhaṭān svapne 'pi paśyanti hi	Bhu-_06.01.019/2 na te yamam pASaBRtaH-ca tad-BawAn svapne api paSyanti hi
   cīrṇaniṣkṛtāḥ	cIrNa-nizkRtAH
   BhP_06.01.020/1 atra codāharantīmamitihāsaṃ purātanam	Bhu-_06.01.020/1 atra ca-udAharanti-imam-itihAsam purAtanam
   BhP_06.01.020/2 dūtānāṃ viṣṇuyamayoḥ saṃvādastaṃ nibodha me	Bhu-_06.01.020/2 dUtAnAm vizNu-yamayoH saMvAdaH-tam niboDa me
   BhP_06.01.021/1 kānyakubje dvijaḥ kaściddāsīpatirajāmilaḥ	Bhu-_06.01.021/1 kAnyakubje dvijaH kaScid-dAsI-patiH-ajAmilaH
   BhP_06.01.021/2 nāmnā naṣṭasadācāro dāsyāḥ saṃsargadūṣitaḥ	Bhu-_06.01.021/2 nAmnA nazwa-sat-AcAraH dAsyAH saMsarga-dUzitaH
   BhP_06.01.022/1 bandyakṣaiḥ kaitavaiścauryairgarhitāṃ vṛttimāsthitaḥ	Bhu-_06.01.022/1 bandi-akzEH kEtavEH-cOryEH-garhitAm vRttim-AsTitaH
   BhP_06.01.022/2 bibhrat kuṭumbamaśuciryātayāmāsa dehinaḥ	Bhu-_06.01.022/2 biBrat kuwumbam-aSuciH-yAtayAmAsa dehinaH
   BhP_06.01.023/1 evaṃ nivasatastasya lālayānasya tatsutān	Bhu-_06.01.023/1 evam nivasataH-tasya lAlayAnasya tad-sutAn
   BhP_06.01.023/2 kālo 'tyagān mahān rājannaṣṭāśītyāyuṣaḥ samāḥ	BhP_06.01.023/2 kAlaH atyagAt mahAn rAjan=-azwASIti-AyuzaH samAH
   BhP_06.01.024/1 tasya pravayasaḥ putrā daśa teṣāṃ tu yo 'vamaḥ	Bhu-_06.01.024/1 tasya pravayasaH putrAH daSa tezAm tu yaH avamaH
   BhP_06.01.024/2 bālo nārāyaṇo nāmnā pitrośca dayito bhṛśam	Bha-a_06.01.024/2 bAlaH nArAyaNaH nAmnA pitroH-ca dayitaH BRSam
   BhP_06.01.025/1 sa baddhahṛdayastasminnarbhake kalabhāṣiṇi	Bhu-_06.01.025/1 sa badDa-hRdayaH-tasmin=-arBake kala-BAziNi
   BhP_06.01.025/2 nirīkṣamāṇastallīlāṃ mumude jaraṭho bhṛśam	BhP_06.01.025/2 nirIkzamANaH-tad-lIlAm mumude jaraWaH BRSam
   BhP_06.01.026/1 bhuñjānaḥ prapiban khādan bālakaṃ snehayantritaḥ	Bhu-_06.01.026/1 BuQjAnaH prapiban KAdan bAlakam sneha-yantritaH
   BhP_06.01.026/2 bhojayan pāyayan mūḍho na vedāgatamantakam	BhP_06.01.026/2 Bojayan pAyayan mUXaH na veda-Agatam-antakam
   BhP_06.01.027/1 sa evaṃ vartamāno 'jño mṛtyukāla upasthite	Bhu-_06.01.027/1 saH evam vartamAnaH ajQaH mRtyu-kAle upasTite
   BhP_06.01.027/2 matiṃ cakāra tanaye bāle nārāyaṇāhvaye	Bhu-_06.01.027/2 matim cakAra tanaye bAle nArAyaNa-Ahvaye
   BhP_06.01.028/1 sa pāśahastāṃstrīn dṛṣṭvā puruṣān atidāruṇān	Bhu-_06.01.028/1 sa pASa-hastAn=-trIn dRzwvA puruzAn ati-dAruNAn
   BhP_06.01.028/2 vakratuṇḍān ūrdhvaromṇa ātmānaṃ netumāgatān	Bhu-_06.01.028/2 vakratuNxAn UrDva-romNaH AtmAnam netum-AgatAn
   BhP_06.01.029/1 dūre krīḍanakāsaktaṃ putraṃ nārāyaṇāhvayam	Bhu-_06.01.029/1 dUre krIxanaka-Asaktam putram nArAyaNa-Ahvayam
   BhP_06.01.029/2 plāvitena svareṇoccairājuhāvākulendriyaḥ	Bhu-_06.01.029/2 plAvitena svareNa-uccEs-AjuhAva-Akula-indriyaH
   BhP_06.01.030/1 niśamya mriyamāṇasya mukhato harikīrtanam	Bhu-_06.01.030/1 niSamya mriyamANasya muKataH hari-kIrtanam
   BhP_06.01.030/2 bharturnāma mahārāja pārṣadāḥ sahasāpatan	BhP_06.01.030/2 BartuH-nAma mahA-rAja pArzadAH sahasA-apatan
   BhP_06.01.031/1 vikarṣato 'ntarhṛdayāddāsīpatimajāmilam	Bhu-_06.01.031/1 vikarzataH antar-hRdayAt-dAsI-patim-aja-amilam
   BhP_06.01.031/2 yamapreṣyān viṣṇudūtā vārayāmāsurojasā	Bhu-_06.01.031/2 yama-prezyAn vizNu-dUtA vArayAmAsuH-ojasA
   BhP_06.01.032/1 ūcurniṣedhitāstāṃste vaivasvatapuraḥsarāḥ	Bhu-_06.01.032/1 UcuH-nizeDitAH-tAn=-te vEvasvata-puraHsarAH
   BhP_06.01.032/2 ke yūyaṃ pratiṣeddhāro dharmarājasya śāsanam	Bhu-_06.01.032/2 ke yUyam pratizedDAraH DarmarAjasya SAsanam
   BhP_06.01.033/1 kasya vā kuta āyātāḥ kasmādasya niṣedhatha	Bhu-_06.01.033/1 kasya vA kutas AyAtAH kasmAt-asya nizeDaTa
   BhP_06.01.033/2 kiṃ devā upadevā yā yūyaṃ kiṃ siddhasattamāḥ	Bhu-_06.01.033/2 kim devAH upadevAH yAH yUyam kim sidDa-sattamAH
   BhP_06.01.034/1 sarve padmapalāśākṣāḥ pītakauśeyavāsasaḥ	Bhu-_06.01.034/1 sarve padma-palASa-akzAH pIta-kOSeya-vAsasaH
   BhP_06.01.034/2 kirīṭinaḥ kuṇḍalino lasatpuṣkaramālinaḥ	BhP_06.01.034/2 kirIwinaH kuNxalinaH lasat-puzkara-mAlinaH
   BhP_06.01.035/1 sarve ca nūtnavayasaḥ sarve cārucaturbhujāḥ	Bhu-_06.01.035/1 sarve ca nUtna-vayasaH sarve cAru-caturBujAH
   BhP_06.01.035/2 dhanurniṣaṅgāsigadā śaṅkhacakrāmbujaśriyaḥ	Bhu-_06.01.035/2 DanuH-nizaFga-asi-gadA SaFKa-cakra-ambuja-SriyaH
   BhP_06.01.036/1 diśo vitimirālokāḥ kurvantaḥ svena tejasā	Bhu-_06.01.036/1 diSaH vitimirAlokAH kurvantaH svena tejasA
   BhP_06.01.036/2 kimarthaṃ dharmapālasya kiṅkarān no niṣedhatha	Bhu-_06.01.036/2 kim-arTam DarmapAlasya kiFkarAn naH nizeDaTa
   BhP_06.01.037/0 śrīśuka uvāca	BhP_06.01.037/0 SrI-SukaH uvAca
   BhP_06.01.037/1 ity ukte yamadūtaiste vāsudevoktakāriṇaḥ	Bhu-_06.01.037/1 iti ukte yama-dUtEH-te vAsudeva-ukta-kAriNaH
   BhP_06.01.037/2 tān pratyūcuḥ prahasyedaṃ meghanirhrādayā girā	Bhu-_06.01.037/2 tAn pratyUcuH prahasya-idam meGa-nirhrAdayA girA
   BhP_06.01.038/0 śrīviṣṇudūtā ūcuḥ	Bhu-_06.01.038/0 SrI-vizNu-dUtAH UcuH
   BhP_06.01.038/1 yūyaṃ vai dharmarājasya yadi nirdeśakāriṇaḥ	Bhu-_06.01.038/1 yUyam vE DarmarAjasya yadi nirdeSa-kAriNaH
   BhP_06.01.038/2 brūta dharmasya nastattvaṃ yac cādharmasya lakṣaṇam	Bhu-_06.01.038/2 brUta Darmasya naH-tattvam yat ca-aDarmasya lakzaNam
   BhP_06.01.039/1 kathaṃ sviddhriyate daṇḍaḥ kiṃ vāsya sthānamīpsitam	Bhu-_06.01.039/1 kaTam svid-Driyate daNxaH kim vA-asya sTAnam-Ipsitam
   BhP_06.01.039/2 daṇḍyāḥ kiṃ kāriṇaḥ sarve āho svit katicin nṛṇām	Bhu-_06.01.039/2 daNxyAH kim kAriNaH sarve Aho svid katicid nRNAm
   BhP_06.01.040/0 yamadūtā ūcuḥ	Bhu-_06.01.040/0 yama-dUtAH UcuH
   BhP_06.01.040/1 vedapraṇihito dharmo hy adharmastadviparyayaḥ	Bhu-_06.01.040/1 veda-praNihitaH DarmaH hi aDarmaH-tad-viparyayaH
   BhP_06.01.040/2 vedo nārāyaṇaḥ sākṣāt svayambhūriti śuśruma	BhP_06.01.040/2 vedaH nArAyaNaH sAkzAt svayamBUH-iti SuSruma
   BhP_06.01.041/1 yena svadhāmny amī bhāvā rajaḥsattvatamomayāḥ	Bhu-_06.01.041/1 yena sva-DAmni amI BAvAH rajaH-sattva-tamaH-mayAH
   BhP_06.01.041/2 guṇanāmakriyārūpairvibhāvyante yathātatham	Bhu-_06.01.041/2 guNa-nAma-kriyA-rUpEH-viBAvyante yaTAtaTam
   BhP_06.01.042/1 sūryo 'gniḥ khaṃ maruddevaḥ somaḥ sandhyāhanī diśaḥ	BhP_06.01.042/1 sUryaH agniH Kam marut-devaH somaH sanDyA-ahanI diSaH
   BhP_06.01.042/2 kaṃ kuḥ svayaṃ dharma iti hy ete daihyasya sākṣiṇaḥ	Bhu-_06.01.042/2 kam kuH svayam DarmaH iti hi ete dEhyasya sAkziNaH
   BhP_06.01.043/1 etairadharmo vijñātaḥ sthānaṃ daṇḍasya yujyate	Bhu-_06.01.043/1 etEH-aDarmaH vijQAtaH sTAnam daNxasya yujyate
   BhP_06.01.043/2 sarve karmānurodhena daṇḍamarhanti kāriṇaḥ	Bhu-_06.01.043/2 sarve karma-anuroDena daNxam-arhanti kAriNaH
   BhP_06.01.044/1 sambhavanti hi bhadrāṇi viparītāni cānaghāḥ	Bhu-_06.01.044/1 samBavanti hi BadrANi viparItAni ca-anaGAH
   BhP_06.01.044/2 kāriṇāṃ guṇasaṅgo 'sti dehavān na hy akarmakṛt	Bhu-_06.01.044/2 kAriNAm guNa-saFgaH asti dehavAn na hi akarma-kRt-
   BhP_06.01.045/1 yena yāvān yathādharmo dharmo veha samīhitaḥ	Bhu-_06.01.045/1 yena yAvAn yaTADarmaH DarmaH vA-iha samIhitaH
   BhP_06.01.045/2 sa eva tatphalaṃ bhuṅkte tathā tāvadamutra vai	Bhu-_06.01.045/2 saH eva tad-Palam BuFkte taTA tAvat-amutra vE
   BhP_06.01.046/1 yatheha devapravarāstraividhyamupalabhyate	Bhu-_06.01.046/1 yaTA-iha deva-pravarAH-trEviDyam-upalaByate
   BhP_06.01.046/2 bhūteṣu guṇavaicitryāt tathānyatrānumīyate	Bhu-_06.01.046/2 BUtezu guNa-vEcitryAt taTA-anyatra-anumIyate
   BhP_06.01.047/1 vartamāno 'nyayoḥ kālo guṇābhijñāpako yathā	Bhu-_06.01.047/1 vartamAnaH anyayoH kAlaH guNa-aBijQApakaH yaTA
   BhP_06.01.047/2 evaṃ janmānyayoretaddharmādharmanidarśanam	Bhu-_06.01.047/2 evam janma-anyayoH-etat-Darma-aDarma-nidarSanam
   BhP_06.01.048/1 manasaiva pure devaḥ pūrvarūpaṃ vipaśyati	Bhu-_06.01.048/1 manasA-eva pure devaH pUrva-rUpam vipaSyati
   BhP_06.01.048/2 anumīmāṃsate 'pūrvaṃ manasā bhagavān ajaḥ	Bhu-_06.01.048/2 anumImAMsate apUrvam manasA BagavAn ajaH
   BhP_06.01.049/1 yathājñastamasā yukta upāste vyaktameva hi	Bhu-_06.01.049/1 yaTAjQaH-tamasA yuktaH upAste vyaktam-eva hi
   BhP_06.01.049/2 na veda pūrvamaparaṃ naṣṭajanmasmṛtistathā	Bhu-_06.01.049/2 na veda pUrvam-aparam nazwa-janma-smRtiH-taTA
   BhP_06.01.050/1 pañcabhiḥ kurute svārthān pañca vedātha pañcabhiḥ	Bhu-_06.01.050/1 paQcaBiH kurute sva-arTAn paQca veda-aTa paQcaBiH
   BhP_06.01.050/2 ekastu ṣoḍaśena trīn svayaṃ saptadaśo 'śnute	Bhu-_06.01.050/2 ekaH-tu zoxaSena trIn svayam saptadaSaH aSnute
   BhP_06.01.051/1 tadetat ṣoḍaśakalaṃ liṅgaṃ śaktitrayaṃ mahat	Bhu-_06.01.051/1 tat-etat zoxaSa-kalam liFgam Sakti-trayam mahat-
   BhP_06.01.051/2 dhatte 'nusaṃsṛtiṃ puṃsi harṣaśokabhayārtidām	Bhu-_06.01.051/2 Datte anusaMsRtim puMsi harza-Soka-Baya-Arti-dAm
   BhP_06.01.052/1 dehy ajño 'jitaṣaḍvargo necchan karmāṇi kāryate	Bhu-_06.01.052/1 dehi ajQaH ajita-zaxvargaH na-icCan karmANi kAryate
   BhP_06.01.052/2 kośakāra ivātmānaṃ karmaṇācchādya muhyati	Bhu-_06.01.052/2 koSakAraH iva-AtmAnam karmaNA-AcCAdya muhyati
   BhP_06.01.053/1 na hi kaścit kṣaṇamapi jātu tiṣṭhaty akarmakṛt	Bhu-_06.01.053/1 na hi kaScid kzaNam-api jAtu tizWati akarma-kRt-
   BhP_06.01.053/2 kāryate hy avaśaḥ karma guṇaiḥ svābhāvikairbalāt	Bhu-_06.01.053/2 kAryate hi avaSaH karma guNEH svABAvikEH-balAt-
   BhP_06.01.054/1 labdhvā nimittamavyaktaṃ vyaktāvyaktaṃ bhavaty uta	Bhu-_06.01.054/1 labDvA nimittam-avyaktam vyakta-avyaktam Bavati uta
   BhP_06.01.054/2 yathāyoni yathābījaṃ svabhāvena balīyasā	Bhu-_06.01.054/2 yaTA-yoni yaTAbIjam svaBAvena balIyasA
   BhP_06.01.055/1 eṣa prakṛtisaṅgena puruṣasya viparyayaḥ	Bhu-_06.01.055/1 eza prakRti-saFgena puruzasya viparyayaH
   BhP_06.01.055/2 āsīt sa eva na cirādīśasaṅgādvilīyate	Bhu-_06.01.055/2 AsIt saH eva na cirAt-ISa-saFgAt-vilIyate
   BhP_06.01.056/1 ayaṃ hi śrutasampannaḥ śīlavṛttaguṇālayaḥ	Bhu-_06.01.056/1 ayam hi Sruta-sampannaH SIla-vRtta-guNa-AlayaH
   BhP_06.01.056/2 dhṛtavrato mṛdurdāntaḥ satyavāṅ mantravic chuciḥ	Bhu-_06.01.056/2 DRta-vrataH mRduH-dAntaH satya-vAc mantra-vid SuciH
   BhP_06.01.057/1 gurvagnyatithivṛddhānāṃ śuśrūṣuranahaṅkṛtaḥ	Bhu-_06.01.057/1 guru-agni-atiTi-vRdDAnAm SuSrUzuH-anahaFkRtaH
   BhP_06.01.057/2 sarvabhūtasuhṛt sādhurmitavāg anasūyakaḥ	Bhu-_06.01.057/2 sarva-BUta-suhRd sADuH-mita-vAc anasUyakaH
   BhP_06.01.058/1 ekadāsau vanaṃ yātaḥ pitṛsandeśakṛddvijaḥ	Bhu-_06.01.058/1 ekadA-asO vanam yAtaH pitR-sandeSa-kRt-dvijaH
   BhP_06.01.058/2 ādāya tata āvṛttaḥ phalapuṣpasamitkuśān	Bhu-_06.01.058/2 AdAya tatas AvRttaH Pala-puzpa-samiD-kuSAn
   BhP_06.01.059/1 dadarśa kāminaṃ kañcic chūdraṃ saha bhujiṣyayā	Bhu-_06.01.059/1 dadarSa kAminam kaQcid SUdram saha BujizyayA
   BhP_06.01.059/2 pītvā ca madhu maireyaṃ madāghūrṇitanetrayā	Bhu-_06.01.059/2 pItvA ca maDu mEreyam mada-AGUrNita-netrayA
   BhP_06.01.060/1 mattayā viślathannīvyā vyapetaṃ nirapatrapam	Bhu-_06.01.060/1 mattayA viSlaTat-nIvyAH vyapetam nirapatrapam
   BhP_06.01.060/2 krīḍantamanugāyantaṃ hasantamanayāntike	Bhu-_06.01.060/2 krIxantam-anugAyantam hasantam-anayA-antike
   BhP_06.01.061/1 dṛṣṭvā tāṃ kāmaliptena bāhunā parirambhitām	Bhu-_06.01.061/1 dRzwvA tAm kAma-liptena bAhunA pariramBitAm
   BhP_06.01.061/2 jagāma hṛcchayavaśaṃ sahasaiva vimohitaḥ	Bhu-_06.01.061/2 jagAma hRcCaya-vaSam sahasA-eva vimohitaH
   BhP_06.01.062/1 stambhayannātmanātmānaṃ yāvat sattvaṃ yathāśrutam	Bhu-_06.01.062/1 stamBayan=-AtmanA-AtmAnam yAvat sattvam yaTASrutam
   BhP_06.01.062/2 na śaśāka samādhātuṃ mano madanavepitam	Bhu-_06.01.062/2 na SaSAka samADAtum manaH madana-vepitam
   BhP_06.01.063/1 tannimittasmaravyāja grahagrasto vicetanaḥ	Bhu-_06.01.063/1 tad-nimitta-smara-vyAja graha-grastaH vicetanaH
   BhP_06.01.063/2 tāmeva manasā dhyāyan svadharmādvirarāma ha	Bhu-_06.01.063/2 tAm-eva manasA DyAyan svaDarmAt-virarAma ha
   BhP_06.01.064/1 tāmeva toṣayāmāsa pitryeṇārthena yāvatā	Bhu-_06.01.064/1 tAm-eva tozayAmAsa pitryeNa-arTena yAvatA
   BhP_06.01.064/2 grāmyairmanoramaiḥ kāmaiḥ prasīdeta yathā tathā	Bhu-_06.01.064/2 grAmyEH-manoramEH kAmEH prasIdeta yaTA taTA
   BhP_06.01.065/1 viprāṃ svabhāryāmaprauḍhāṃ kule mahati lambhitām	Bhu-_06.01.065/1 viprAm sva-BAryAm-aprOXAm kule mahati lamBitAm
   BhP_06.01.065/2 visasarjācirāt pāpaḥ svairiṇyāpāṅgaviddhadhīḥ	Bhu-_06.01.065/2 visasarja-acirAt pApaH svEriNya-apAFga-vidDa-DIH
   BhP_06.01.066/1 yatastataścopaninye nyāyato 'nyāyato dhanam	Bhu-_06.01.066/1 yatas-tatas-ca-upaninye nyAyataH anyAyataH Danam
   BhP_06.01.066/2 babhārāsyāḥ kuṭumbinyāḥ kuṭumbaṃ mandadhīrayam	Bhu-_06.01.066/2 baBAra-AsyAH kuwumbinyAH kuwumbam manda-DIrayam
   BhP_06.01.067/1 yadasau śāstramullaṅghya svairacāry atigarhitaḥ	Bhu-_06.01.067/1 yat-asO SAstram-ullaFGya svEra-cArI ati-garhitaH
   BhP_06.01.067/2 avartata ciraṃ kālamaghāyuraśucirmalāt	Bhu-_06.01.067/2 avartata ciram kAlam-aGa-AyuH-aSuciH-malAt-
   BhP_06.01.068/1 tata enaṃ daṇḍapāṇeḥ sakāśaṃ kṛtakilbiṣam	Bhu-_06.01.068/1 tatas enam daNxapANeH sakASam kRta-kilbizam
   BhP_06.01.068/2 neṣyāmo 'kṛtanirveśaṃ yatra daṇḍena śuddhyati	Bhu-_06.01.068/2 nezyAmaH akRta-nirveSam yatra daNxena SudDi-ati
   BhP_06.02.001/0 śrībādarāyaṇiruvāca	Bhu-_06.02.001/0 SrI-bAdarAyaNiH-uvAca
   BhP_06.02.001/1 evaṃ te bhagavaddūtā yamadūtābhibhāṣitam	Bhu-_06.02.001/1 evam te Bagavat-dUtAH yama-dUta-aBiBAzitam
   BhP_06.02.001/2 upadhāryātha tān rājan pratyāhurnayakovidāḥ	Bhu-_06.02.001/2 upaDArya-aTa tAn rAjan pratyAhuH-naya-kovidAH
   BhP_06.02.002/0 śrīviṣṇudūtā ūcuḥ	Bhu-_06.02.002/0 SrI-vizNu-dUtAH UcuH
   BhP_06.02.002/1 aho kaṣṭaṃ dharmadṛśāmadharmaḥ spṛśate sabhām	Bhu-_06.02.002/1 aho kazwam Darma-dRSa-Am-aDarmaH spRSate saBAm
   BhP_06.02.002/2 yatrādaṇḍyeṣvapāpeṣu daṇḍo yairdhriyate vṛthā	Bhu-_06.02.002/2 yatra-adaNxyezu-apApezu daNxaH yEH-Driyate vRTA
   BhP_06.02.003/1 prajānāṃ pitaro ye ca śāstāraḥ sādhavaḥ samāḥ	Bhu-_06.02.003/1 prajAnAm pitaraH ye ca SAstAraH sADavaH samAH
   BhP_06.02.003/2 yadi syāt teṣu vaiṣamyaṃ kaṃ yānti śaraṇaṃ prajāḥ	Bhu-_06.02.003/2 yadi syAt tezu vEzamyam kam yAnti SaraNam prajAH
   BhP_06.02.004/1 yadyadācarati śreyān itarastat tadīhate	Bhu-_06.02.004/1 yat-yat-Acarati SreyAn itaraH-tat tat-Ihate
   BhP_06.02.004/2 sa yat pramāṇaṃ kurute lokastadanuvartate	BhP_06.02.004/2 sa yat pramANam kurute lokaH-tat-anuvartate
   BhP_06.02.005/1 yasyāṅke śira ādhāya lokaḥ svapiti nirvṛtaḥ	Bhu-_06.02.005/1 yasya-aFke SiraH ADAya lokaH svapiti nirvRtaH
   BhP_06.02.005/2 svayaṃ dharmamadharmaṃ vā na hi veda yathā paśuḥ	Bhu-_06.02.005/2 svayam Darmam-aDarmam vA na hi veda yaTA paSuH
