   kṛtirmaitreyanāthasya //	kRtiH-mEtreya-nATasya //
   liṅgaṃ tasya vivṛddhiśca nirūḍhiścittasaṃsthitiḥ /	liFgam tasya vivRdDiH-ca nirUXiH-citta-saMsTitiH /
   caturdhā ca vikalpasya pratipakṣaścaturvidhaḥ // Abhs_1.14 //	caturDA ca vikalpasya pratipakzaH-caturviDaH // ABH-_1.14 //
   pratyekaṃ darsanākhye ca bhāvanākhye ca vartmani /	pratyekam darsana-AKye ca BAvanA-AKye ca vartmani /
   ānantaryasamādhiśca saha vipratipattibhiḥ // Abhs_1.15 //	Anantarya-samADiH-ca saha vipratipattiBiH // ABH-_1.15 //
   mūrdhābhisamayaḥ tredhā daśadhā cānupūrvikaḥ /	mUrDa-aBisamayaH treDA daSaDA ca-AnupUrvikaH /
   ekakṣaṇābhisaṃbodho lakṣaṇena caturvidhiḥ // Abhs_1.16 //	eka-kzaNa-aBisaMboDaH lakzaNena caturviDiH // ABH-_1.16 //
   svābhāvikaḥ sasāṃbhogo nairmāṇiko 'parastathā /	svABAvikaH sa-sAMBogaH nErmANikaH aparaH-taTA /
   dharmakāyaḥ sakāritraścaturdhā samudīritaḥ // Abhs_1.17 //	Darma-kAyaH sa-kAritraH-caturDA samudIritaH // ABH-_1.17 //
   cittotpādaḥ parārthāya sammyaksaṃbodhikāmatā /	citta-utpAdaH para-arTAya sammyaksaMboDi-kAma-tA /
   samāsavyāsataḥ sā ca yathāsutraṃ sa cocyate // Abhs_1.18 //	samAsa-vyAsataH sA ca yaTA-sutram sa ca-ucyate // ABH-_1.18 //
   bhūhemacandrajvalanairnidhiratnākarārṇavaiḥ /	BU-hema-candra-jvalanEH-niDi-ratna-Akara-arNavEH /
   vajrācalauṣadhīmitraiścintāmaṇyarkagītibhiḥ // Abhs_1.19 //	vajra-acala-ozaDI-mitrEH-cintAmaNI-arka-gItiBiH // ABH-_1.19 //
   nṛpagañjamahāmārgayānaprasravaṇodakaiḥ /	nRpagaQja-mahA-mArga-yAna-prasravaNa-udakEH /
   ānandoktinadīmeghairdvāviṃśatividhaḥ sa ca // Abhs_1.20 //	Ananda-ukti-nadI-meGEH-dvAviMSativiDaH sa ca // ABH-_1.20 //
   pratipattau ca satyeṣu buddharatnādiṣu triṣu /	pratipattO ca satyezu budDa-ratna-Adizu trizu /
   asaktāvapariśrāntau pratipatsaṃparigrahe // Abhs_1.21 //	asaktO=-apariSrAntO pratipad-saMparigrahe // ABH-_1.21 //
   cakṣuḥṣu pañcasu jñeyaḥ ṣaṭsvabhijñāguṇeṣu ca /	cakzuHzu paQcasu jQeyaH zawsu-aBijQA-guNezu ca /
   dṛṅmārge bhāvanākhye cetyavavādo daśātmakaḥ // Abhs_1.22 //	dRS-mArge BAvanA-AKye ca-iti-avavAdaH daSa-AtmakaH // ABH-_1.22 //
   mṛdutikṣṇendriyau śraddhādṛṣṭiprāptau kulaṃkulau /	mRdu-tikzNa-indriyO SradDA-dRzwi-prAptO kulaMkulO /
   ekavīcyantarotpadya kārākārākaniṣṭhagāḥ // Abhs_1.23 //	ekavIcI-antara-utpadya kAra-AkArA-ka-nizWa-gAH // ABH-_1.23 //
   plutāstrayo bhavasyāgraparamo rūparāgaha /	plutAH-trayaH Bavasya-agra-paramaH rUpa-rAgaha /
   dṛṣṭadharmaśamaḥ kāyasākṣī khaṅgaśca viṃśatiḥ // Abhs_1.24 //	dRzwa-Darma-SamaH kAya-sAkzI KaFgaH-ca viMSatiH // ABH-_1.24 //
   ālambanata ākārāddhetutvātsaṃparigrahāt /	AlambanataH AkArAt-hetu-tvAt-saMparigrahAt /
   caturvikalpasaṃyogaṃ yathāsvaṃ bhajatāṃ satām // Abhs_1.25 //	catur-vikalpa-saMyogam yaTAsvam BajatAm satAm // ABH-_1.25 //
   śrāvakebhyaḥ sakhaḍgebhyo bodhisattvasya tāyinaḥ /	SrAvakeByaH sa-KaxgeByaH boDisattvasya tAyinaH /
   mṛdumadhyādhimātrāṇāmūṣmādīnāṃ viśiṣṭatā // Abhs_1.26 //	mRdu-maDya-aDimAtrANAm-Uzma-AdInAm viSizwa-tA // ABH-_1.26 //
   ālambanamanityādi satyādhāraṃ tadākṛtiḥ /	Alambanam-anitya-Adi satya-ADAram tad-AkRtiH /
   niṣedho 'miniveśāderheturyānatrayāptaye // Abhs_1.27 //	nizeDaH ami-niveSa-AdeH-hetuH-yAn-atraya-Aptaye // ABH-_1.27 //
   rūpādyāyavyayau viṣṭhāsthitī prajñaptyavācyate /	rUpa-AdyAya-vyayO vizWA-sTitI prajQapti-avAcyate /
   rūpādāvasthitisteṣāṃ tadbhāvenāsvabhāvatā // Abhs_1.28 //	rUpAda-avasTitiH-tezAm tad-BAvena-asvaBAva-tA // ABH-_1.28 //
   tayormithaḥsvabhāvatvaṃ tadanityādyasaṃsthitiḥ /	tayoH-miTas-svaBAva-tvam tat-anitya-Adi-asaMsTitiH /
   tāsāṃ tadbhāvaśūnyatvaṃ mithaḥ svabhāvyametayoḥ // Abhs_1.29 //	tAsAm tad-BAva-SUnya-tvam miTas sva-BAvyam-etayoH // ABH-_1.29 //
   anudgraho yo dharmāṇāṃ tannimittāsamīkṣaṇam /	anudgrahaH yaH DarmANAm tad-nimitta-asam-IkzaNam /
   parīkṣaṇaṃ ca prajñāyāḥ sarvasyānupalambhataḥ // Abhs_1.30 //	parIkzaNam ca prajQAyAH sarvasya-anupalamBataH // ABH-_1.30 //
   rūpāderasvabhavāvatvaṃ tadabhāvasvabhāvatā /	rUpa-AdeH-asvaBavAva-tvam tad-aBAva-svaBAva-tA /
   tadajātiraniryāṇaṃ śuddhistadanimittatā // Abhs_1.31 //	tad-ajAtiH-aniryANam SudDiH-tad-animitta-tA // ABH-_1.31 //
   tannimittānadhiṣṭhānānadhimuktirasaṃjñatā /	tad-nimittAn-aDizWAna-anaDimuktiH-asaMjQa-tA /
   samādhistasya kāritraṃ vyākṛtirmananākṣayaḥ // Abhs_1.32 //	samADiH-tasya kAritram vyAkRtiH-mananA-kzayaH // ABH-_1.32 //
   mithastrikasya svābhāvyaṃ samādheravikalpanā /	miTas-trikasya svABAvyam samADeH-avikalpanA /
   iti nirvedhabhāgīyaṃ mṛdumadhyādhimātrataḥ // Abhs_1.33 //	iti nirveDa-BAgIyam mRdu-maDya-aDimAtrataH // ABH-_1.33 //
   dvaividhyaṃ grāhyakalpasya vastutatpratipakṣataḥ /	dvEviDyam grAhya-kalpasya vastu-tad-pratipakzataH /
   moharāśyādibhedena pratyekaṃ navadhā tu saḥ // Abhs_1.34 //	moha-rASi-Adi-Bedena pratyekam navaDA tu saH // ABH-_1.34 //
   dravyaprajñaptyadhiṣṭhāno dvividho grāhako mataḥ /	dravya-prajQapti-aDizWAnaH dviviDaH grAhakaH mataH /
   svatantrātmādirūpeṇa skandhādyāśrayatastathā // Abhs_1.35 //	svatantra-Atma-Adi-rUpeNa skanDa-Adi-ASrayataH-taTA // ABH-_1.35 //
   cittānavalīnatvādi naīḥsvābhāvyādideśakaḥ /	citta-anavalIna-tva-Adi naIH-svABAvya-AdideSakaH /
   tadvipakṣaparityāgaḥ sarvathā saṃparigrahaḥ // Abhs_1.36 //	tad-vipakza-parityAgaH sarvaTA saMparigrahaH // ABH-_1.36 //
   ṣoḍhādhigamadharmasya pratipakṣaprahāṇayoḥ /	zoXA-aDigama-Darmasya pratipakza-prahANayoH /
   tayoḥ paryupayogasya prajñāyāḥ kṛpayā saha // Abhs_1.37 //	tayoH paryupayogasya prajQAyAH kRpayA saha // ABH-_1.37 //
   śiṣyāsādhāraṇatvasya parārthānukramasya ca /	Sizya-asADAraNa-tvasya para-arTa-anukramasya ca /
   jñānasyāyatnavṛtteśca pratiṣṭhā gotramucyate // Abhs_1.38 //	jQAnasya-ayatna-vRtteH-ca pratizWA gotram-ucyate // ABH-_1.38 //
   dharmadhātorasaṃbhedādgotrabhedo na yujyate /	DarmaDAtoH-asaMBedAt-gotra-BedaH na yujyate /
   ādheyadharmabhedāttu tadbhedaḥ parigīyate // Abhs_1.39 //	ADeya-Darma-BedAt-tu tad-BedaH parigIyate // ABH-_1.39 //
   ālambanaṃ sarvadharmāste punaḥ kuśalādayaḥ /	Alambanam sarva-DarmAH-te punar kuSala-AdayaH /
   laukikādhigamākhyāścaṃ ye ca lokettarā matāḥ // Abhs_1.40 //	lOkika-aDigama-AKyAH-cam ye ca loka-ittarAH matAH // ABH-_1.40 //
   sāsravānāsravā dharmāḥ saṃskṛtāsaṃskṛtāśca ye /	sa-Asrava-anAsravAH DarmAH saMskRta-AsaMskRtAH-ca ye /
   śiṣyasādhāraṇā dharmā ye cāsādhāranā muneḥ // Abhs_1.41 //	Sizya-sADAraNAH DarmAH ye ca-asADAranA muneH // ABH-_1.41 //
   sarvasattvāgratā cittaprahāṇādhigamatraye /	sarva-sattva-agra-tA citta-prahANa-aDigama-traye /
   tribhirmahattvairūddeśo vijñeyo 'ya svayaṃbhuvām // Abhs_1.42 //	triBiH-mahat-tvEru-uddeSaH vijQeyaH aya svayaMBuvAm // ABH-_1.42 //
   dānādau ṣaḍvidha teṣāṃ pratyekaṃ saṃgraheṇa yā /	dAna-AdO zaxviDa tezAm pratyekam saMgraheNa yA /
   saṃnāhapratipattiḥ sā ṣaḍbhiḥ ṣaṭkairyathodithā // Abhs_1.43 //	saMnAha-pratipattiH sA zaxBiH zawkEH-yaTA-udiTA // ABH-_1.43 //
   dyānārūpyeṣu dānādau mārge maitryādikeṣu ca /	dyAna-ArUpyezu dAna-AdO mArge mEtrI-Adikezu ca /
   gatopalambhayoge ca trimaṇḍalaviśuddhiṣu // Abhs_1.44 //	gata-upalamBa-yoge ca tri-maNxala-viSudDizu // ABH-_1.44 //
   uddeśe ṣaṭsvabhijñāsu sarvākārajñatānaye /	uddeSe zawsu-aBijQAsu sarva-AkAra-jQa-tA-naye /
   prasthānapratipajjñeyā mahāyānādhirohiṇī // Abhs_1.45 //	prasTAna-pratipad-jQeyA mahAyAna-aDirohiNI // ABH-_1.45 //
   dayā dānādikaṃ ṣaṭkaṃ śamathaḥ savidarśanaḥ /	dayA dAna-Adikam zawkam SamaTaH sa-vidarSanaH /
   yuganaddhaśca yo mārga upāye yacca kauśalam // Abhs_1.46 //	yuganadDaH-ca yaH mArgaH upAye yat-ca kOSalam // ABH-_1.46 //
   jñānaṃ puṇyaṃ ca mārgaśca dhāraṇī bhūmayo daśa /	jQAnam puNyam ca mArgaH-ca DAraNI BUmayaH daSa /
   pratipakṣaśca vijñeyaḥ saṃbhārapratipatkramaḥ // Abhs_1.47 //	pratipakzaH-ca vijQeyaH saMBAra-pratipad-kramaH // ABH-_1.47 //
   labhyate prathamā bhumirdaśadhā parikarmaṇā /	laByate praTamA BumiH-daSaDA parikarmaNA /
   āśayo hitavastutvaṃ sattveṣu samacittatā // Abhs_1.48 //	ASayaH hita-vastu-tvam sattvezu sama-citta-tA // ABH-_1.48 //
   tyāgaḥ sevā ca mitrāṇāṃ saddharmālambanaiṣaṇā /	tyAgaH sevA ca mitrANAm sat-Darma-Alamba-na-ezaNAH /
   sadā naiṣkramyacittatvaṃ buddhakāyagatā spṛhā // Abhs_1.49 //	sadA nEzkramya-citta-tvam budDa-kAya-gatA spRhA // ABH-_1.49 //
   dharmasya deśanā satyaṃ daśamaṃ vākyamiṣyate /	Darmasya deSanA satyam daSamam vAkyam-izyate /
   jñeyam ca pārikarmaiṣāṃ svabhāvānupalambhataḥ // Abhs_1.50 //	jQeyam ca pArikarma-ezAm svaBAva-anupalamBataH // ABH-_1.50 //
   śīlaṃ kṛtajñatā kṣāntiḥ pramodyaṃ mahatī kṛpā /	SIlam kRtajQa-tA kzAntiH pramodyam mahatI kRpA /
   gauravaṃ guruśuśrūṣā vīryaṃ dānādike 'ṣṭamam // Abhs_1.51 //	gOravam guru-SuSrUzA vIryam dAna-Adike azwamam // ABH-_1.51 //
   atṛptatā śrute dānaṃ dharmasya ca nirāmiṣam /	atRpta-tA Srute dAnam Darmasya ca nirAmizam /
   buddhakṣetrasya saṃśuddhiḥ saṃsārāparikheditā // Abhs_1.52 //	budDa-kzetrasya saMSudDiH saMsAra-apariKeditA // ABH-_1.52 //
   hrīrapatrāpyamityetat pañcadhā mananātmakam /	hrIH-apatrApyam-iti-etat paQcaDA mananA-Atmakam /
   vanāśālpecChatā tuṣṭirdhūtasaṃlekhasevanam // Abhs_1.53 //	vanASa-alpet-ChatA tuzwiH-DUta-saMleKa-sevanam // ABH-_1.53 //
   śikṣāyā aparityāgaḥ kāmānāṃ vijugupsanam /	SikzAyAH aparityAgaH kAmAnAm vijugupsanam /
   nirvitsarvāstisaṃtyāgo 'navalinānapekṣate // Abhs_1.54 //	nirvitsarva-asti-saMtyAgaH anavalina-an-apekzate // ABH-_1.54 //
   saṃstavaṃ kulamātsaryaṃ sthānaṃ saṃgaṇikāvaham /	saMstavam kula-mAtsaryam sTAnam saMgaNika-Avaham /
   ātmotkarṣaparāvajñe karmamārgān daśāśubhān // Abhs_1.55 //	Atma-utkarza-para-avajQe karma-mArgAn daSa-aSuBAn // ABH-_1.55 //
   mānaṃ stambhaṃ viparyāsaṃ vimatiṃ kleśamarṣaṇam /	mAnam stamBam viparyAsam vimatim kleSa-marzaNam /
   vivarjayan samāpneti daśaitān pañcamīṃ bhuvam // Abhs_1.56 //	vivarjayan samApna-iti daSa-etAn paQcamIm Buvam // ABH-_1.56 //
   dānaśīlakṣamāvīryadhyānaprajñāprapūraṇāt /	dAna-SIla-kzamA-vIrya-DyAna-prajQA-prapUraNAt /
   śiṣyakhaḍgaspṛhātrāsacetasāṃ parivarjakaḥ // Abhs_1.57 //	Sizya-Kaxga-spRhA-trAsa-cetasAm parivarjakaH // ABH-_1.57 //
   yācito 'navalinaśca sarvatyāge 'pyadurmanāḥ /	yAcitaH anavalinaH-ca sarva-tyAge api-adurmanAH /
   kṛśo 'pi nārthināṃ kṣeptā ṣaṣṭhīṃ bhūmiṃ samaśrute // Abhs_1.58 //	kRSaH api na-arTinAm kzeptA zazWIm BUmim samaSrute // ABH-_1.58 //
   ātmasattvagraho jīvapudgalocChedaśāśvataḥ /	Atma-sattva-grahaH jIva-pudgala-ucChet-aSASvataH /
   nimittahetvoḥ skandheṣu dhātuṣvāyataneṣu ca // Abhs_1.59 //	nimitta-hetvoH skanDezu DAtuzu-Ayatanezu ca // ABH-_1.59 //
   traidhātuke pratiṣṭhānaṃ saktirālīnacittatā /	trEDAtuke pratizWAnam saktiH-AlIna-citta-tA /
   ratnatritayaśīleṣu taddṛṣṭyabhiniveśitā // Abhs_1.60 //	ratna-tritaya-SIlezu tad-dRzwi-aBiniveSitAH // ABH-_1.60 //
   śūnyatāyāṃ vivadaśca tadvirodhaśca viṃśatiḥ /	SUnyatAyAm vivadaH-ca tad-viroDaH-ca viMSatiH /
   kalaṅkā yasya vicChinnāḥ saptamīmetyasau bhuvam // Abhs_1.61 //	kalaFkAH yasya vicChinnAH saptamImA-iti-asO Buvam // ABH-_1.61 //
   trivimokṣamukhajñānaṃ trimaṇḍalaviśuddhatā /	tri-vimokza-muKa-jQAnam tri-maNxala-viSudDa-tA /
   karūṇāmananā dharmasamataikanayajñatā // Abhs_1.62 //	karUNAmananAH Darma-samata-ekanaya-jQa-tA // ABH-_1.62 //
   anutpādakṣamājñānaṃ dharmāṇāmekadheraṇā /	anutpAda-kzama-ajQAnam DarmANAm-eka-DeraNAH /
   kalpanāyāḥ samuddhātaḥ saṃjñādṛkkleśavarjanam // Abhs_1.63 //	kalpanAyAH samudDAtaH saMjQA-dRS-kleSa-varjanam // ABH-_1.63 //
   śamathasya ca nidhyaptiḥ kauśalaṃ ca vidarśane /	SamaTasya ca niDyaptiH kOSalam ca vidarSane /
   cittasya dāntatā jñānaṃ sarvatrāpratighāti ca // Abhs_1.64 //	cittasya dAnta-tA jQAnam sarvatra-apratiGAti ca // ABH-_1.64 //
   sakterabhūmiryatrecChaṃ kṣetrāntaragatiḥ samam /	sakteH-aBUmiH-yatrecSham kzetra-antara-gatiH samam /
   sarvatra svātmabhāvasya darśanaṃ ceti viṃśatiḥ // Abhs_1.65 //	sarvatra sva-Atma-BAvasya darSanam ca-iti viMSatiH // ABH-_1.65 //
   sarvasattvamanojñānamabhijñākrīḍanaṃ śubhā /	sarva-sattva-manaH-jQAnam-aBijQA-krIxanam SuBA /
   buddhakṣetrasya niṣpattirbuddhasevāparīkṣaṇe // Abhs_1.66 //	budDa-kzetrasya nizpattiH-budDa-sevA-parIkzaNe // ABH-_1.66 //
   akṣajñānaṃ jinakṣetraśuddhirmāyopamā sthitiḥ /	akza-jQAnam jina-kzetra-SudDiH-mAyA-upamA sTitiH /
   saṃcintya ca bhavādānamidaṃ karmāṣṭadhoditam // Abhs_1.67 //	saMcintya ca Bava-AdAnam-idam karma-azwaDA-uditam // ABH-_1.67 //
   praṇidhānānyanantāni devādīnāṃ rūtajñatā /	praNiDAnAni-anantAni deva-AdInAm rUta-jQa-tA /
   nadīva pratibhānānāṃ garbhāvakrāntirūttamā // Abhs_1.68 //	nadI-iva pratiBAnAnAm garBa-avakrAnti-ru-uttamA // ABH-_1.68 //
   kulajātyośca gotrasya parivārasya janmanaḥ /	kula-jAtyoH-ca gotrasya parivArasya janmanaH /
   naiṣkramyabodhivṛkṣāṇāṃ guṇapūreśca saṃpadaḥ // Abhs_1.69 //	nEzkramya-boDi-vRkzANAm guNa-pUreH-ca saMpadaH // ABH-_1.69 //
   nava bhūmīratikramya buddhabhūmau pratiṣṭhate /	nava BUmIH-atikramya budDa-BUmO pratizWate /
   yena jñānena sā jñeyā daśamī bodhisattvabhūḥ // Abhs_1.70 //	yena jQAnena sA jQeyA daSamI boDisattva-BUH // ABH-_1.70 //
   pratipakṣo 'ṣṭadhā jñeyo darṣanābhyāsamārgayoḥ /	pratipakzaH azwaDA jQeyaH darzana-aByAsa-mArgayoH /
   grāhyagrāhakavikalpānāmaṣṭānāmupaśāntaye // Abhs_1.71 //	grAhya-grAhaka-vikalpAnAm-azwAnAm-upaSAntaye // ABH-_1.71 //
   uddeśe samatāyāṃ ca sattvārthe yatnavarjane /	uddeSe samatAyAm ca sattva-arTe yatna-varjane /
   atyantāya ca niryāṇaṃ niryāṇaṃ prāptilakṣaṇam // Abhs_1.72 //	atyantAya ca niryANam niryANam prApti-lakzaNam // ABH-_1.72 //
   sarvākārajñatayāṃ ca niryāṇaṃ mārgagocaram /	sarva-AkAra-jQa-tayAm ca niryANam mArga-gocaram /
   niryāṇapratipajjñeyā seyamaṣṭavidhātmikā // Abhs_1.73 //	niryANa-pratipad-jQeyA sA-iyam-azwa-viDa-AtmikA // ABH-_1.73 //
   // abhisamayālaṅkāre prajñāpāramitopadeśaśāstre	// aBisamaya-alaFkAre prajQApAramitA-upadeSa-SAstre
   sarvākārajñatādhikāraḥ prathamaḥ //	sarva-AkAra-jQa-tA-aDikAraH praTamaH //
   dhyāmīkaraṇatā bhābhirdevānāṃ yogyatāṃ prati /	DyAmIkaraNa-tA BABiH-devAnAm yogya-tAm prati /
   viṣayo niyato vyāptiḥ svabhāvastasya karma ca // Abhs_2.1 //	vizayaH niyataH vyAptiH svaBAvaH-tasya karma ca // ABH-_2.1 //
   caturṇamāryasatyānāmākārānupalambhataḥ /	caturNam-Arya-satyAnAm-AkAra-anupalamBataH /
   śrāvakāṇāmayaṃ mārgo jñeyo mārgajñatānaye // Abhs_2.2 //	SrAvakANa-Amayam mArgaH jQeyaH mArga-jQa-tA-naye // ABH-_2.2 //
   rūpādiskandhaśūnyatvācChūnyatānāmabhedataḥ /	rUpa-Adi-skanDa-SUnya-tvAt-ShUnyatAnAm-aBedataH /
   uṣmāṇaḥ anupalambhena teṣāṃ murdhagataṃ matam // Abhs_2.3 //	uzmANaH anupalamBena tezAm murDa-gatam matam // ABH-_2.3 //
   kṣāntayasteṣu nityādiyogasthānaniṣedhataḥ /	kzAntayaH-tezu nitya-Adi-yoga-sTAna-nizeDataH /
   daśa bhūmīḥ samārabhya vistarāsthānadeśanat // Abhs_2.4 //	daSa BUmIH samAraBya vistara-AsTAna-deSanat // ABH-_2.4 //
   agradharmagataṃ proktamāryaśrāvakavartmani /	agra-Darma-gatam proktam-Arya-SrAvaka-vartmani /
   tatkasya hetorbuddhena buddhvā dharmāsamīkṣaṇāt // Abhs_2.5 //	tat-kasya hetoH-budDena budDvA Darma-asam-IkzaNAt // ABH-_2.5 //
   paropadeśavaiyarthyaṃ svayaṃbodhāt svayaṃbhuvām /	para-upadeSa-vEyarTyam svayaMboDAt svayaMBuvAm /
   gambhīratā ca jñānasya khaḍgānāmabhidhīyate // Abhs_2.6 //	gamBIra-tA ca jQAnasya KaxgAnAm-aBiDIyate // ABH-_2.6 //
   śuśrūṣā yasya yasyārthe yatra yatra yathā yathā /	SuSrUzA yasya yasya-arTe yatra yatra yaTA yaTA /
   sa so 'rthaḥ khyātyaśabdo 'pi tasya tasya tathā tathā // Abhs_2.7 //	sa saH arTaH KyAti-aSabdaH api tasya tasya taTA taTA // ABH-_2.7 //
   grahyārthakalpanāhānādgrāhakasyāprahāṇataḥ /	grahya-arTa-kalpanA-AhAnAt-grAhakasya-aprahANataH /
   ādhārataśca vijñeyaḥ khaḍgamārgasya saṃgrahaḥ // Abhs_2.8 //	ADArataH-ca vijQeyaH Kaxga-mArgasya saMgrahaH // ABH-_2.8 //
   prajñapteravirodhena dharmatāsūcanākṛtiḥ /	prajQapteH-aviroDena DarmatA-sUcana-AkRtiH /
   usṣmagam mūrdhagaṃ rūpādyahānādiprabhāvitam // Abhs_2.9 //	uszmagam mUrDa-gam rUpa-Adi-ahAna-Adi-praBAvitam // ABH-_2.9 //
   adyātmaśūnyatādyābhī rūpāderaparigrahāt /	adya-Atma-SUnyatA-AdyABiH rUpa-AdeH-aparigrahAt /
   kṣāntiḥ rūpādyanutpādādyākārairagradharmatā // Abhs_2.10 //	kzAntiH rUpa-Adi-anutpAda-Adi-AkArEH-agra-DarmatA // ABH-_2.10 //
   kṣāntijñānakṣaṇaiḥ satyasatyaṃ prati caturvidhaiḥ /	kzAnti-jQA-na-kzaNEH satya-satyam prati caturviDEH /
   mārgajñatāyāṃ dṛṅmārgaḥ sānuśaṃso 'yamucyate // Abhs_2.11 //	mArga-jQa-tAyAm dRS-mArgaH sa-anuSaMsaH ayam-ucyate // ABH-_2.11 //
   ādhārādheyatābhāvāttathatābuddhayormithaḥ /	ADAra-ADeya-tA-BAvAt-taTatA-budDayoH-miTas /
   paryāyeṇānanujñānaṃ mahattā sāpramāṇatā // Abhs_2.12 //	paryAyeNa-ananujQAnam mahat-tA sa-apramANa-tA // ABH-_2.12 //
   parimāṇāntatābhāvo rūpāderavadhāraṇam /	parimANa-anta-tA-BAvaH rUpa-AdeH-avaDAraNam /
   tasyāṃ sthitasya buddhatve 'nugrahātyāgatādayaḥ // Abhs_2.13 //	tasyAm sTitasya budDa-tve anugraha-atyAgata-AdayaH // ABH-_2.13 //
