   // smṛtyadhyāyaḥ //	// smRti-aDyAyaH //
   // prathamamāhnikam //	// praTamam-Ahnikam //
   nyā. pa. śa. 50 yattu bhāṣye	nyA. pa. Sa. 50 yat-tu BAzye
   sanmātragrāhipratyakṣanirākaraṇadaśāyāmuktam-- "aśve hastini ca	sat-mAtra-grAhi-pratyakza-nirAkaraNa-daSAyAm-uktam- "aSve hastini ca
   saṃvedanayorekaviṣayatvenoparitanasya gṛhītagrāhitvād viśeṣābhāvācca	saMvedanayoH-eka-vizaya-tvena-uparitanasya gRhIta-grAhi-tvAt viSeza-aBAvAt-ca
   smṛtivailakṣaṇyaṃ na syāt" iti, na tatra smṛteraprāmāṇyaṃ sūcitam,	smRti-vElakzaNyam na syAt" iti, na tatra smRteH-aprAmANyam sUcitam,
   prakārāntareṇāpi vailakṣaṇyasiddheḥ, tadapekṣayā ca prasaṅgopapatteḥ /	prakAra-antareNa-api vElakzaNya-sidDeH, tad-apekzayA ca prasaFga-upapatteH /
   yaccāparaṃ bhāṣyam--- "indriyajanmanaḥ pratyakṣasya hyeṣa svabhāvaniyamaḥ,	yat-ca-aparam BAzyam-- "indriya-janmanaH pratyakzasya hi-eza svaBAva-niyamaH,
   yat svasamakālavartinaḥ padārthasya grāhakatvam, na tu sarveṣāṃ jñānānāṃ	yat sva-sama-kAla-vartinaH padArTasya grAhaka-tvam, na tu sarvezAm jQAnAnAm
   pramāṇānāṃ ca, smaraṇānumānāgamayogipratyakṣādiṣu kālāntaravartinopi	pramANAnAm ca, smaraNa-anumAna-Agama-yogi-pratyakza-Adizu kAla-antara-vartinA-upi
   grahaṇadarśanāt" ityādi, tatrāpi parasyāniṣṭaprasaṅgāya	grahaNa-darSana-at" ityAdi, tatra-api parasya-anizwa-prasaFgAya
   tadabhiprāyānudhāvanena vibhajyodāharaṇaṃ yuktam /	tad-aBiprAya-anuDAvanena viBajya-udAharaNam yuktam /
   yacca śāstrayonyadhikaraṇe bhāṣitam---	yat-ca SAstra-yoni-aDikaraNe BAzitam---
   "bhāvanāprakarṣaparyantajanmanastasya viśadāvabhāsatvepi	"BAvanA-prakarza-paryanta-janmanaH-tasya viSada-avaBAsa-tvepi
   pūrvānubhūtaviṣayasmṛtimātratvānna prāmāṇyamiti kutaḥ pratyakṣatā ?" iti,	pUrva-anuBUta-vizaya-smRti-mAtra-tvAt-na prAmANyam-iti kutas pratyakzatA ?" iti,
   idamapi na sākṣāt siddhāntastham; na ca yāthārthyaṃ tatra pratikṣiptam /	idam-api na sAkzAt sidDAnta-sTam; na ca yATArTyam tatra pratikziptam /
   evamanyadapi bhāvyam /	evam-anyat-api BAvyam /
   smṛtyaprāmāṇyavādinopi vaiśeṣikāstāṃ yathārthyādvidyākoṭau paṭhanti /	smRtyaprAmANya-vAdinA-upi vESezikAH-tAm yaTA-arTyAt-vidyA-kowO paWanti /
   tata eva ca tadekadeśibhirapi tatprāmāṇyaṃ svīkṛtam, iti //	tatas eva ca tad-eka-deSiBiH-api tat-prAmANyam svIkRtam, iti //
   iti śrīkavitārkikasiṃhasya sarvatantrasvatantrasya śrīmadveṅkaṭanāthasya	iti SrI-kavi-tArkika-siMhasya sarva-tantra-svatantrasya SrImat-veFkawa-nATasya
   vedāntācāryasya kṛtiṣu nyāyapariśuddhau smṛtyadhyāye prathamamāhnikam //	vedAnta-AcAryasya kRtizu nyAya-pariSudDO smRti-aDyAye praTamam-Ahnikam //
