   śrīpāda dhyāna-candra gosvāmī	SrIpAda DyAna-candra gosvAmI
   smaret śrīmad gaura-candraṃ svardhunyā dakṣiṇe taṭe /	smaret SrImat gOra-candram svarDunyAH dakziNe tawe /
   cintāmaṇi-citta-dhāmni śrī-navadvīpa-nāmake // GGS_9 //	cintAmaNi--citta--DAmni SrI-navat-vIpa-nAmake // GGS_9 //
   svardhunyāṃ cāru-tīre sphuritam atibṛhat-kurma-pṛṣṭhābha-gātraṃ	svarDunyAm cAru--tIre sPuritam ati-bRhat--kurma--pRzWa-ABa--gAtram
   ramyārāmāvṛtaṃ sanmaṇi-kanaka-mahā-sadma-ṣaṇḍaiḥ parītam /	ramya-ArAma-AvRtam sat-maNi--kanaka--mahA--sadma-zaNxEH parItam /
   nityaṃ pratyālayodyat-praṇaya-bhara-lasat-kṛṣṇa-saṃkīrtanāṭyaṃ	nityam pratyAlaya-udyat--praNaya--Bara--lasat--kRzNa--saMkIrta-nAwyam
   śrī-vṛndāṭavy abhinnaṃ tri-jagad anupamaṃ śrī-navadvīpam īḍe // GGS_10 //	SrI--vRndAwavI aBinnam tri-jagat anupamam SrI-navadvIpam Ixe // GGS_10 //
   phullac-chrīmad druma-vallī-tallaja-lasat-tīrā taraṅgāvalī-	Pulla-c-SrImat druma-vallI--tallaja-lasat-tIrA taraFga-AvalI-
   ramyā manda-marum-marāla-jalaja-śreṇiṣu bhṛṅgāspadam /	ramyA manda--marum-marAla---jalaja--SreNizu BRFga-Aspadam /
   sad-ratnācita-divya-tīrtha-nivahā śrī-gaura-pādāmbuja-	sat--ratna-Acita--divya-tIrTa--nivahA SrI--gOra-pAda-ambuja-
   dhūli-dhūsaritāṅga-bhāva-nicitā gaṅgāsti sampāvanī // GGS_11 //	DUli-DU-sarita-aFga-BAva--nicitA gaFgA-asti sampAvanI // GGS_11 //
   tasyās tīra-suramya-hema-surasā-madhye lasac chrī-nava-	tasyAH tIra--su-ramya--hema--surasA--maDye lasat SrI-nava-
   dvīpo bhāti sumaṅgalo madhu-ripor ānanda-vanyo mahān /	dvIpaH BAti sumaFgalaH maDu-ripoH Ananda--vanyaH mahAn /
   nānā-puṣpa-phalāḍhya-vṛkṣa-latikāramyo mahat sevito	nAnA-puzpa--Pala-AXya-vRkza--latikA-ramyaH mahat sevitaH-
   nānā-varṇa-vihaṅgamāli-ninadair hṛt-karṇa-hārī hi yaḥ // GGS_12 //	nAnA--varNa--vihaFga-mAli--ninadEH hRt--karNa-hArI hi yaH // GGS_12 //
   kāṇḍaṃ mārakataṃ prabhūta-viṭapī-śākhā suvarṇātmikā	kANxam mArakatam praBUta-viwapI-SAKA suvarNa-AtmikA
   patrāliḥ kuruvinda-komala-mayī prāvālikāḥ korakāḥ /	patrAliH kuruvinda--komala--mayI prAvAlikAH korakAH /
   puṣpāṇāṃ nikaraḥ suhīraka-mayo vaidūryakīyā phala-	puzpANAm nikaraH suhIraka-mayaH vEdUryakIyA Pala-
   śreṇī yasya sa ko 'pi śākhi-nikaro yatrātimātrojjvalaḥ // GGS_13 //	SreNI yasya sa kaH api SAKi-nikaraH yatra-atimAtra-ujjvalaH // GGS_13 //
   tan madhye dvija-bhavya-loka-nikarāgārāli-ramyāṅganam	tat maDye dvija-Bavya--loka-nikara-AgAra-ali--ramya-aFganam
   ārāmopavanāli-vilasad vedī-vihārāspadam /	ArAma-upavana-ali-vilasat vedI--vihAra-Aspadam /
   sad-bhakti-prabhayā virājita-mahā-bhaktāli-nityotsavaṃ	sat--Bakti-praBayA virAjita--mahA--Bakta-ali-nitya-utsavam
   praty āgāram aghāri-mūrti-sumahad-bhātīha yat pattanam // GGS_14 //	prati AgAram aGAri--mUrti-su-mahat--BAti-iha yat pattanam // GGS_14 //
   evaṃbhūte śrī-navadvīpa-madhye manasi nivāsaṃ kṛtvā tatra śrī-gurudevasya	evaMBUte SrI-navadvIpa--maDye manasi nivAsam kRtvA tatra SrI--guru-devasya
   śayyotthāna-mukha-prakṣālana-danta-dhāvanādi-krameṇa yathā-yogyaṃ sevāṃ	SayyA-utTAna--muKa--prakzAla-na-danta--DAvana-Adi--krameNa yaTA-yogyam sevAm
   kuryāt sevānantaraṃ dhyāyet yathā yāmale--	kuryAt sevA-anantaram DyAyet yaTA yAmale--
   tatra śrī-guru-dhyānam--	tatra SrI--guru--DyAnam--
   kṛpā-marandānvita-pāda-paṅkajaṃ	kRpA-a-maranda-anvita--pAda--paFkajam
   śvetāmbaraṃ gaura-ruciṃ sanātanam /	Sveta-ambaram gOra-rucim sanAtanam /
   śandaṃ sumālyābharaṇaṃ guṇālayaṃ	Sandam sumAlya-ABaraNam guNa-Alayam
   smarāmi sad-bhaktam ahaṃ guruṃ harim // GGS_15 //	smarAmi sat--Baktam aham gurum harim // GGS_15 //
   śrī-guru-parama-guru-parātpara-guru-parameṣṭhi-gurūṇām anugāmitvena śrīman	SrI--guru--parama--guru--parAtpara--guru--paramezWi--gurUNAm anugAmi-tvena SrIman
   mahāprabhor mandiraṃ gacchet /	mahA-praBoH mandiram gacCet /
   tatra tad-ājñayā śrī-navadvīpa-candrasya śayyotthānaṃ suvāsita-jalena	tatra tad--AjQayA SrI-navadvIpa-candrasya SayyA-utTAnam su-vAsita--jalena
   śrī-mukha-prakṣālanādi-krameṇa sevāṃ kuryāt /	SrI--muKa--prakzAlana-Adi--krameNa sevAm kuryAt /
   tatra śrīman mahāprabhor dhyānaṃ yathā ūrddhvāmnāye (3.15)--	tatra SrImat mahA-praBoH DyAnam yaTA UrdDvA-AmnAye (3.15)--
   dvi-bhujaṃ svarṇa-ruciraṃ varābhaya-karaṃ tathā /	dvi-Bujam svarNa--ruciram vara-aBaya-karam taTA /
   premāliṅgana-sambaddhaṃ gṛṇantaṃ hari-nāmakam // GGS_16 //	prema-AliFgana--sambadDam gRNantam hari-nAmakam // GGS_16 //
   anantaraṃ śrī-vṛndāvanaṃ dhyāyet--	anantaram SrI--vRndAvanam DyAyet--
   vṛndāvanaṃ divya-latā-parītaṃ	vRndAvanam divya--latA--parItam
   latāś ca puṣpa-sphuritāgra-bhājaḥ /	latAH ca puzpa-sPurita-agra-BAjaH /
   puṣpāṇy api sphīta-madhu-vratāni	puzpANi api sPIta--maDu-vratAni
   madhu-vratāś śruti-hāri-gītāḥ // GGS_17 //	maDu-vratAH Sruti-hAri-gItAH // GGS_17 //
   madhye vṛndāvane ramye pañcāśat-kuñja-maṇḍite /	maDye vRndAvane ramye paQcASat--kuQja--maNxite /
   kalpa-vṛkṣa-nikuñje tu divya-ratna-maye gṛhe // GGS_18 //	kalpa-vRkza--nikuQje tu divya--ratna-maye gRhe // GGS_18 //
   tatra siddha-dehena śrī-rādhā-kṛṣṇayor niśānta-līlāṃ smared yathā--	tatra sidDa--dehena SrI-rADA--kRzNayoH niSA-anta--lIlAm smaret yaTA--
   niśāvasāne śrī-rādhā-kṛṣṇau	niSA-avasAne SrI-rADA--kRzNO
   śrī-vṛndā-niyukta-rasamaya-parama-vidagdha-śuka-śāri-vṛnda-padya-paṭhana-janita-prabodhāv	SrI--vRndA--niyukta-rasa-maya--parama--vidagDa-Suka--SAri-vRnda-padya-paWana--janita--praboDO=-
   api gāḍhopagūhana-sukha-bhaṅgād asahiṣṇutayā kṣaṇam avakāśyamāna-jāgarau	api gAXa-upagUha-na--suKa--BaFgAt asahizNu-tayA kzaNam avakASyamAna--jAgarO
   tat-tat-padya-prapaṭhita-niśāvasāna-sātaṅkau puṣpamayānanda-talpotthitau	tat-tat--padya--prapaWita--niSA-avasAna-sa-AtaFkO puzpa-maya-Ananda-talpa-utTitO
   sva-sva-kuñjāt	sva--sva-kuQjAt-
   tat-kālāgata-śrīmal-lalitā-viśākhādi-priya-sakhī-vṛnda-sanarma-vāg-vilāsena	tat-kAlAgata--SrImal--lalitA--viSAKA-Adi--priya--saKI--vRnda--sanarma-vAc---vilAsena
   sāntarānandau kakkhaṭy-udita-jaṭilā-śravaṇāt sa-śaṅkau saṅga-tyāga-bhayam	sa-antara-AnandO kakKawi--udita--jawilA--SravaNAt sa-SaFkO saFga-tyAga-Bayam
   asahamānau tau bhītyotkaṇṭhākulau sva-sva-gṛhaṃ gacchataḥ /	asahamAnO tO BItyA-utkaNWa-AkulO sva--sva-gRham gacCataH /
   evaṃ krameṇa śrī-gauracandrasya śrī-rādhā-kṛṣṇayor līlāṃ smaret /	evam krameNa SrI--gOra-candrasya SrI-rADA--kRzNayoH lIlAm smaret /
   niśānta-līlā-smaraṇānantaraṃ gurv-ādīn daṇḍavat praṇamet yathā--	niSA-anta--lIlA--smaraNa-anantaram guru--AdIn daNxa-vat praNamet yaTA--
   ajñāna-timirāndhasya jñānāñjana-śalākayā /	ajQAna--timira-anDasya jQAna-aQjana--SalAkayA /
   cakṣur unmīlitaṃ yena tasmai śrī-gurave namaḥ // GGS_19 //	cakzuH unmIlitam yena tasmE SrI--gurave namaH // GGS_19 //
   iti mantraṃ paṭhitvā śrī-guruṃ daṇḍavat praśamya evaṃ	iti mantram paWitvA SrI--gurum daNxa-vat praSamya evam
   parama-guru-parātpara-guru-parameṣṭhi-guru-gosvāmi-caraṇān krameṇa	parama---guru--parAtpara--guru--paramezWi--guru--go-svAmi-caraNAn krameNa
   daṇḍavat praṇamet /	daNxa-vat praNamet /
   tataḥ śrī-gauracandraṃ praṇamet--	tatas SrI--gOra-candram praNama-it--
   viśvambharāya gaurāya caitanyāya mahātmane /	viSvamBarAya gOrAya cEtanyAya mahAtmane /
   śacī-putrāya mitrāya lakṣmīśāya namo namaḥ // GGS_20 //	SacI--putrAya mitrAya lakzmi-ISAya namaH namaH // GGS_20 //
   nityānandam ahaṃ vande karṇe lambita-mauktikam /	nitya-Anandam aham vande karNe lambita-mOktikam /
   caitanyāgraja-rūpeṇa pavitrī-kṛta-bhūtalam // GGS_21 //	cEtanya-agraja--rUpeNa pavitrI--kRta-BU-talam // GGS_21 //
   nistāritāśeṣa-janaṃ dayāluṃ	nistArita-aSeza--janam dayAlum
   premāmṛtābdhau parimagna-cittam /	prema-amRta-abDO parimagna--cittam /
   caitanya-candrādṛtam arcitaṃ tam	cEtanya--candra-AdRtam arcitam tam
   advaita-candraṃ śirasā namāmi // GGS_22 //	advEta-candram SirasA namAmi // GGS_22 //
   gadādhara namas tubhyaṃ yasya gaurāṅgo jīvanam /	gadADara namaH tuByam yasya gOra-aFgaH jIvanam /
   namas te śrī-śrīnivāsa-paṇḍita prema-vigraha // GGS_23 //	namaH te SrI--SrInivAsa--paNxita prema--vigrahaH // GGS_23 //
   evaṃ krameṇa gaura-bhakta-gaṇān daṇḍavat praṇamet /	evam krameNa gOra-Bakta--gaNAn daNxa-vat praNamet /
   śrī-navadvīpa-dhāmne namaḥ /	SrI-navadvIpa--DAmne namaH /
   śrī-gaṅgāyai namaḥ /	SrI-gaFgAyE namaH /
   śrī-saṅkīrtanāya namaḥ /	SrI--saFkIrtanAya namaH /
   śrī-gauḍa-maṇḍalāya namaḥ /	SrI--gOxa--maNxalAya namaH /
   kandarpa-koṭi-ramyāya sphurad-indīvara-tviṣe /	kandarpa--kowi--ramyAya sPurat--indIvara-tvize /
   jagan-mohana-līlāya namo gopendra-sūnave // GGS_24 //	jagan--moha-na--lIlAya namaH gopendra--sUnave // GGS_24 //
   tapta-kāñcana-gaurāṅgi rādhe vṛndāvaneśvari /	tapta--kAQcana-gOra-aFgi rADe vRndAvaneSvari /
   vṛṣabhānu-sute devi praṇamāmi hari-priye // GGS_25 //	vRzaBa-anu-sute devi praNamAmi hari-priye // GGS_25 //
   śrī-rādhikā-prāṇa-samāṃ kanīyasīṃ	SrI-rADikA--prANa--samAm kanIyasIm
   viśākhikā-śikṣita-saukhya-sauṣṭhavām /	viSAKikA--Sikzita--sOKya--sOzWavAm /
   līlāmṛtenocchalitāṅga-mādhurīm	lIlA-mRtena-ucCalita-aFga-mADurIm
   anaṅga-purvāṃ praṇamāmi mañjarīm // GGS_26 //	anaFga-purvAm praNamAmi maQjarIm // GGS_26 //
   lalitādi-parama-preṣṭha-sakhī-vṛndebhyo namaḥ /	lalita-Adi--parama--prezWa--saKI--vRndeByaH namaH /
   kusumikādi-sakhī-vṛndebhyo namaḥ /	kusumikA-Adi-saKI--vRndeByaH namaH /
   kastūryādi-nitya-sakhī-vṛndebhyo namaḥ /	kastUrI-Adi--nitya--saKI--vRndeByaH namaH /
   śaśimukhyādi-prāṇa-sakhī-vṛndebhyo namaḥ /	SaSi-muKya-Adi--prANa--saKI--vRndeByaH namaH /
   kuraṅgākṣyādi-priya-sakhī-vṛndebhyo namaḥ /	kuraFga-akzi-Adi-priya--saKI--vRndeByaH namaH /
   śrī-rūpādi-mañjarībhyo namaḥ /	SrI--rUpa-Adi-maQjarIByaH namaH /
   śrīdāmādi-sakhi-vṛndebhyo namaḥ /	SrI-dAma-Adi-saKi--vRndeByaH namaH /
   sarva-gopa-gopībhyo namaḥ /	sarva-gopa-gopIByaH namaH /
   vraja-vāsibhyo namaḥ /	vraja--vAsiByaH namaH /
   śrī-vṛndā-vipinebhyo namaḥ /	SrI--vRndA--vipineByaH namaH /
   śrī-rāsa-maṇḍalāya namaḥ /	SrI--rAsa--maNxalAya namaH /
   śrī-yamunāyai namaḥ /	SrI-yamunAyE namaH /
   śrī-rādhā-kuṇḍa-śyāma-kuṇḍābhyāṃ namaḥ /	SrI--rADA--kuNxa--SyAma--kuNxAByAm namaH /
   śrī-govardhanāya namaḥ /	SrI--govarDanAya namaH /
   śrī-dvādaśa-vipinebhyo namaḥ /	SrI--dvAdaSa--vipineByaH namaH /
   śrī-vraja-maṇḍalāya namaḥ /	SrI-vraja--maNxalAya namaH /
   śrī-mathurā-maṇḍalāya namaḥ /	SrI-maTurA--maNxalAya namaH /
   sarvāvatārebhyo namaḥ /	sarva-avatAreByaH namaH /
   ananta-koṭi-vaiṣṇavebhyo namaḥ /	ananta--kowi--vEzNaveByaH namaH /
   vāñchā-kalpa-tarubhyaś ca kṛpā-sindhubhya eva ca /	vAQCA--kalpa--taruByaH ca kRpA--sinDuByaH eva ca /
   patitānāṃ pāvanebhyo vaiṣṇavebhyo namo namaḥ // GGS_27 //	patitAnAm pAvaneByaH vEzNaveByaH namaH namaH // GGS_27 //
   atha snānam ācaret yathā--nady ādau pravāhābhimukhe taḍāgādiṣu	aTa snAnam Acaret yaTA--nadI AdO pravAha-aBimuKe taxAga-Adizu
   pūrvābhimukhī tīrthāni āhvayed yathā--	pUrva-aBimuKI tIrTAni Ahvayet yaTA--
   gaṅge ca yamune caiva godāvari sarasvati /	gaFge ca yamune ca-eva godAvari sarasvati /
   narmade sindho kāveri jale 'smin sannidhiṃ kuru // GGS_28 //	narmade sinDaH kAveri jale asmin sanniDim kuru // GGS_28 //
   mahā-pāpa-bhaṅge dayālo nu gaṅge	mahA-a--pApa-BaFge dayAlaH nu gaFge
   maheśottamāṅge lasac citta-raṅge /	maheSa-uttamAFge lasat citta--raFge /
   drava-brahma-dhāmācyutāṅghryabjaje mā	drava--brahma-DAma-acyuta-aFGrI-abja-je mA
   punīhīna-kanye pravāhormi-dhanye // GGS_29 //	punI-hIna--kanye pravAha-Urmi--Danye // GGS_29 //
   viṣṇor nābhy-ambu-madhyād vara-kamalam abhūt tasya nālī-sumeror	vizNoH nABy-ambu--maDyAt vara--kamalam aBUt tasya nAlI--sumeroH-
   madhye niḥsyandamānā tvam asi bhagavati brahma-lokāt prasūtā /	maDye niHsyandamAnA tvam asi Bagavati brahma-lokAt prasUtA /
   khād-bhraṣṭā rudra-mūrdhni praṇipatita-jalā gāṃ gatāsīti gaṅgā	KAd-BrazwA rudra--mUrDni praNipatita--jalA gAm gatA-asi-iti gaFgA
   kas tvāṃ yo nābhivanden madhu-mathana-hara-brahma-samparka-pūtām // GGS_30	kaH tvAm yaH na-aBivandet maDu-maTana--hara--brahma--samparka--pUtAm // GGS_30
   gaṅgā gaṅgeti yo brūyāt yojanānāṃ śatair api /	gaFgA gaFgA-iti yaH brUyAt yojanAnAm SatEH api /
   mucyate sarva-pāpebhyo viṣṇu-lokaṃ sa gacchati // GGS_31 //	mucyate sarva-pApeByaH vizNu--lokam sa gacCati // GGS_31 //
   cidānanda-bhānoḥ sadā nanda-sūnoḥ	cit-Ananda-BAnoH sadA nanda--sUnoH
   para-prema-pātrī drava-brahma-gātrī /	para-prema-pAtrI drava--brahma-gAtrI /
   aghānāṃ lavitrī jagat-kṣema-dhātrī	aGAnAm lavitrI jagat--kzema-DAtrI
   pavitrī-kriyān no vapur mitra-putrī // GGS_32 //	pavitrI--kriyAn naH vapuH mitra-putrI // GGS_32 //
   rādhikā-sama-saubhāgya sarva-tīrtha-pravandita /	rADikA--sama-sOBAgya sarva-tIrTa--pravanditaH /
   prasīda rādhikā-kuṇḍa snāmi te salile śubhe // GGS_33 //	prasIda rADikA--kuNxa snAmi te salile SuBe // GGS_33 //
   tataḥ śukla-vastre paridhāya śrī-hari-mandira-dhāraṇaṃ kṛtvā	tatas Sukla--vastre pariDAya SrI--hari-mandira--DAraNam kRtvA
   śrī-hari-nāmākṣaram aṅkayed gātre--	SrI--hari-nAma-akzaram aFkayet gAtre--
   lalāṭe keśavaṃ dhyāyen nārāyaṇam athodare /	lalAwe keSavam DyAyet nArAyaNam aTa-udare /
   vakṣaḥ-sthale mādhavaṃ tu govindaṃ kaṇṭha-kūpake // GGS_34 //	vakzaH-sTale mADavam tu govindam kaNWa-kUpake // GGS_34 //
   viṣṇuṃ ca dakṣiṇe kukṣau bāhau ca madhusūdanam /	vizNum ca dakziNe kukzO bAhO ca maDusUdanam /
   trivikramaṃ kandhare tu vāmanaṃ vāma-pārśvake // GGS_35 //	trivikramam kanDare tu vAmanam vAma-pArSvake // GGS_35 //
   śrīdharaṃ vāma-bāhau tu hṛṣīkeśaṃ ca kandhare /	SrIDaram vAma-bAhO tu hRzIkeSam ca kanDare /
   pṛṣṭhe tu padma-nābhaṃ ca kaṭyāṃ dāmodaraṃ nyaset /	pRzWe tu padma-nABam ca kawyAm dAmodaram nyaset /
   tat prakṣālana-toyaṃ tu vāsudeveti mūrdhani // GGS_36 //	tat prakzAlana--toyam tu vAsudeva-iti mUrDani // GGS_36 //
   pūrvavat sthirāsane sthira-cittaḥ tatrādau śrī-navadvīpa-madhye	pUrvavat sTira-Asane sTira-cittaH tatra-AdO SrI-navadvIpa--maDye
   śrī-ratna-mandire ratna-siṃhāsanopari bhakta-vṛnda-parisevitaṃ	SrI--ratna--mandire ratna--siMhAsana-upari Bakta-vRnda--parisevitam
   śrī-śrī-kṛṣṇa-caitanya-devaṃ gurvādi-krameṇa dhyātvā pūjayet /	SrI--SrI-kRzNa--cEtanya--devam guru-Adi--krameNa DyAtvA pUjayet /
   tatrādau śrī-jagannātha-miśrasya mandiraṃ dhyāyet /	tatra-AdO SrI--jagat-nATa--miSrasya mandiram DyAyet /
   yathā caitanyārcana-candrikāyām--	yaTA cEtanya-arcana--candrikAyAm--
   śrī-jagannātha-miśrasya mandirāṅganam uttamaiḥ /	SrI-jagannATa--miSrasya mandira-aFganam uttamEH /
   nānā-ratna-maṇi-yuktair vicitra-mandira-puram // GGS_37 //	nAnA-ratna--maNi--yuktEH vicitra--mandira--puram // GGS_37 //
   tan-madhye ravi-kānti-nindi-kanaka-prākāra-satoraśaṃ	tan--maDye ravi--kAnti-nindi--kanaka--prAkAra--satoraSam
   śrī-nārāyaṇa-geham agra-vilasat saṃkīrtana-prāṅgaṇam /	SrI-nArAyaNa--geham agra--vilasat saMkIrtana--prAFgaNam /
   lakṣmy-antaḥpura-pāka-bhoga-śayana-śrī-candraśālaṃ puraṃ	lakzmI--antaHpura-pAka--Boga-Sayana--SrI--candraSAlam puram
   yad-gaurāṅga-harer vibhāti sukhadaṃ svānanda-saṃvṛhitam // GGS_38 //	yad--gOra-aFga-hareH viBAti suKa-dam sva-Ananda--saMvRhitam // GGS_38 //
   tan-madhye nava-cūḍa-ratna-kalasaṃ vrajendra-ratnāntarā*	tan--maDye nava-cUxa--ratna--kalasam vraja-indra-ratna-antarA*
   muktā-dāma-vicitra-hema-paṭalaṃ sad-bhakti-ratnācitam /	muktA-dAma--vicitra--hema--pawalam sat--Bakti-ratna-Acitam /
   veda-dvāra-sad-aṣṭa-mṛṣṭa-maṇi-ruṭ-śobhā-kavāṭānvitaṃ	veda-dvAra--sat--azwa--mRzwa--maNi-ruw--SoBA--kavAwa-anvitam
   sac-candrātapa-padma-rāga-vidhu-ratnālambiyan-mandiram // GGS_39 //	sac--candra-Atapa--padma--rAga-viDu--ratna-Alambiyan-mandiram // GGS_39 //
   tan-madhye maṇi-citra-hema-racite mantrārṇa-yantrānvite	tan--maDye maNi--citra--hema---racite mantra-arNa-yantra-anvite
   ṣaṭ-koṇāntara-karṇikāra-śikhara-śrī-keśaraiḥ sannibhe /	zaw--koNa-antara-karNikAra--SiKara--SrI--keSarEH sanniBe /
   kūrmākāra-mahiṣṭha-yoga-mahasi śrī-yoga-pīṭhāmbuje	kUrma-AkAra--mahizWa--yoga--mahasi SrI--yoga--pIWa-ambuje
   rākeśāvali-sūrya-lakṣa-vimale yad-bhāti siṃhāsanam // GGS_40 //	rAkeSa-Avali--sUrya--lakza--vimale yat--BAti siMhAsanam // GGS_40 //
   pārśvādhaḥ-padma-paṭi-ghaṭita-hari-maṇi-stambha-vaidūrya-pṛṣṭhaṃ	pArSva-aDas---padma--pawi--Gawita-hari-maNi--stamBa--vEdUrya--pRzWam
   citra-chādāvalambi-pravara-maṇi-mahā-mauktikaṃ kānti-jālam /	citra-CAda-avalambi--pravara-maNi--mahA-mOktikam kAnti--jAlam /
   tūlāntaś cīna-celāsanam-uḍupa-mṛdu-prānta-pṛṣṭhopadhānaṃ	tUla-antaH cIna-cela-Asanam--uxupa--mRdu--prAnta--pRzWa-upaDAnam
   svarṇāntaś citra-mantraṃ vasu-hari-caraṇa-dhyāna-gamyāṣṭa-kośam // GGS_41	svarNa-antar citra-mantram vasu--hari--caraNa--DyAna--gamya-azwa-koSam // GGS_41
   tan-madhye śrī-gaura-candraṃ vāme śrīla-gadādharam /	tan--maDye SrI--gOra-candram vAme SrI-la-gadA-Daram /
   tad-dakṣiṇe 'vadhūtendraṃ śrīlādvaitaṃ tataḥ smaret // GGS_42 //	tad--dakziNe avaDUta-indram SrIlAdvEtam tatas smaret // GGS_42 //
   tad-dakṣiṇe śrīnivāsaṃ smaret śrī-paṇḍitottamam /	tad--dakziNe SrInivAsam smaret SrI---paNxita-uttamam /
   smaret śrī-bhakta-vṛndaṃ ca catur-dikṣu suveṣṭitam // GGS_43 //	smaret SrI--Bakta-vRndam ca catur--dikzu su-vezwitam // GGS_43 //
   śrīmad-gaura-bhakta-vṛnde svīya-svīya-gaṇānvite /	SrI-mat--gOra-Bakta--vRnde svIya--svIya--gaNa-anvite /
   rūpa-svarūpa-pramukhe sva-gaṇa-sthān gurūn smaret // GGS_44 //	rUpa--svarUpa--pramuKe sva--gaNa--sTAn gurUn smaret // GGS_44 //
