   Daśasāhasrikā Prajñāpāramitā	DaSa-sA-ahasrikA PrajQApAramitA
   bodhisattvānaṃ prajñāpāramitā? kasya dharmasya pāramitāyāṃ bodhisattvāḥ	boDisattvAnam prajQApAramitA? kasya Darmasya pAramitAyAm boDisattvAH
   prajñāpāramitāyāṃ pāraṃ gatāḥ kṣipram anuttarāṃ samyaksaṃbodhim	prajQApAramitAyAm pAram gatAH kzipram anuttarAm samyaksaMboDim
   abhisaṃbudhyante?	aBisaMbuDyante?
   evam ukte bhagavān āyuṣmate śāradvatīputrāya sādhukāram adāt: sādhu,	evam ukte BagavAn Ayuzmate SAradvatI-putrAya sADu-kAram adAt: sADu,
   sādhu, śāradvatīputra, yat tvaṃ tathāgatasyādhiṣṭhānād evaṃ praśnaṃ	sADu, SAradvatI-putra, yat tvam taTAgatasya-aDizWAnAt evam praSnam
   pṛcchasi, sādhu; sundaras te saṃkalpaḥ, tena hi tvaṃ śṛṇu, sādhu ca suṣṭhu	pRcCasi, sADu; sundaraH te saMkalpaH, tena hi tvam SRNu, sADu ca suzWu
   ca manasi kuru, bhāṣiṣye 'haṃ prajñāpāramitām.	ca manasi kuru, BAzizye aham prajQApAramitAm.
   evam astu bhadanta bhagavann ity āyuṣmān śāradvatīputro bhagavataḥ	evam astu Badanta Bagavan iti AyuzmAn SAradvatI-putraH BagavataH
   pratyaśroṣīt.	pratyaSrozIt.
   bhagavāṃs tasyaitad avocat: śāradvatīputra prajñāpāramitā prajñāpāramitety	BagavAn tasya-etat avocat: SAradvatI-putra prajQApAramitA prajQApAramitA-iti-
   ucyate yad idaṃ sarvadharmānabhiniveśaḥ. anabhiniviṣṭāḥ śāradvatīputra	ucyate yat idam sarva-Darma-an-aBiniveSaH. anaBinivizwAH SAradvatI-putra
   bodhisattvāḥ prajñāpāramitāyāṃ pāraṃ gatāḥ kṣipram anuttarāṃ	boDisattvAH prajQApAramitAyAm pAram gatAH kzipram anuttarAm
   samyaksaṃbodhim abhisaṃbudhyante.	samyaksaMboDim aBisaMbuDyante.
   āha: katame bhadanta bhagavaṃs te sarvadharmā yeṣu bodhisattvā mahāsattvā	Aha: katame Badanta Bagavan te sarva-DarmAH yezu boDisattvAH mahAsattvA
   anabhiniviṣṭāḥ?	anaBinivizwAH?
   bhagavān āha: sarvadharmāḥ śāradvatīputrocyante yaduta pañca skandhā,	BagavAn Aha: sarva-DarmAH SAradvatI-putra-ucyante yat-uta paQca skanDA,
   dvādaśāyatanāny, aṣṭādaśa dhātavaś, catvāry āryasatyāni, dvādaśa	dvAdaSa-AyatanAny, azwAdaSa DAtavaS, catvAri Arya-satyAni, dvAdaSa
   pratītyasamutpādāṅgāni, catvāri smṛtyupasthānāni, catvāri samyakprahāṇāṇi,	pratItyasamutpAda-aFgAni, catvAri smRti-upasTAnAni, catvAri samyak-prahANANi,
   catvāra ṛddhipādāḥ, pañcendriyāṇi, pañca balāni, sapta bodhyaṅgāny,	catvAraH RdDi-pAdAH, paQca-indriyANi, paQca balAni, sapta boDi-aFgAni-,
   āryāṣṭāṅgamārgaḥ, śūnyatāvimokṣamukham, animittavimokṣamukham,	Arya-azwa-aFga-mArgaH, SUnyatA-vimokza-muKam, animitta-vimokza-muKam,
   apraṇihitavimokṣamukhaṃ, catvāri dhyānāni, catvāry apramānāni, catasra	apraNihita-vimokza-muKaM, catvAri DyAnAni, catvAri apramAnAni, catasra
   ārūpyasamāpattayo, 'sṭau vimokṣā, daśānupūrvavihārasamāpattayo, nava	ArUpya-samApattayo, aswO vimokzA, daSa-anupUrva-vihAra-samApattayo, nava
   saṃjñā, daśānusmṛtayaḥ, ṣaṭ saṃjñākārā, dharmajñānam, anvayajñānaṃ,	saMjQA, daSa-anusmRtayaH, zaw saMjQA-kArA, Darma-jQAnam, anvaya-jQAnaM,
   paracittajñānani, saṃvṛtijñānaṃ, duḥkhajñānaṃ, samudayajñānaṃ,	para-citta-jQAna-ni, saMvRti-jQAnan, duHKa-jQAnaM, samudaya-jQAnaM,
   nirodhajñānaṃ, mārgajñānaṃ, kṣayajñānam, anutpādajñānaṃ, yathābhūtajñānaṃ	niroDa-jQAnaM, mArga-jQAnaM, kzaya-jQAnam, anutpAda-jQAnan, yaTABUta-jQAnam
   ca; evam eva savitarkaḥ savicāraḥ samādhir, avitarko vicāramātraḥ	ca; evam eva savitarkaH sa-vicAraH samADir, avitarkaH vicAra-mAtraH
   samādhir, avitarkāvicāraḥ samādhir, anājñātamājñāsyāmīndriyam,	samADir, avitarka-avicAraH samADir, anAjQAtam-AjQAsyAmi-indriyam,
   ājñendriyam, ājñātāvīndriyam, aṣṭāv abhibhvāyatanāni, daśa kṛtsnāyatanāny,	AjQa-indriyam, AjQAta-a=-i-indriyam, azwO aBiBvAyatanAni, daSa kRtsnA-AyatanAni-,
   aṣṭādaśa śūnyatā, daśa tathāgatabalāni, catvāri vaiśāradyāni, catasraḥ	azwAdaSa SUnyatA, daSa taTAgata-balAni, catvAri vESAradyAni, catasraH
   pratisaṃvido, mahāmaitrī, mahākaruṇā, aṣṭādaśāveṇikā buddhadharmāś ca;	pratisaMvido, mahA-mEtrI, mahA-karuNA, azwAdaSa-AveNikAH budDa-DarmAH ca;
   evam eva sarvajñatā, mārgākārajñatā, sarvākārajñatā, ṣaṭ pāramitāḥ,	evam eva sarvajQa-tA, mArga-AkAra-jQa-tA, sarva-AkAra-jQa-tA, zaw pAramitAH,
   pañcābhijñāḥ, pañca cakṣūṃṣi, dvātriṃśan mahāpuruṣalakṣaṇāny, aśītir	paQca-aBijQAH, paQca cakzUMzi, dvAtriMSat mahApuruza-lakzaNAny, aSItiH-
   anuvyañjānāni ca. ete te sarvadharmā yeṣv anabhiniviṣṭā bodhisattvā	anuvyaQjAnAni ca. ete te sarva-DarmAH yezu anaBinivizwA boDisattvA
   mahāsattvāḥ prajñāpāramitāyāṃ pāraṃ gatāḥ kṣipram anuttarāṃ	mahAsattvAH prajQApAramitAyAm pAram gatAH kzipram anuttarAm
   samyaksaṃbodhim abhisaṃbudhyante.	samyaksaMboDim aBisaMbuDyante.
   tata āyuṣmān śāradvatīputro bhagavantam etad avocat: katame bhadanta	tatas AyuzmAn SAradvatI-putraH Bagavantam etat avocat: katame Badanta
   bhagavan pañca skandhāḥ, peyālaṃ yāvat katamāni dvādaśa	Bagavan paQca skanDAH, peyAlam yAvat katamAni dvAdaSa
   pratītyasamutpādāṅgāni, katamāni catvāri smṛtyupasthānāni, peyālaṃ yāvat	pratItyasamutpAda-aFgAni, katamAni catvAri smRti-upasTAnAni, peyAlam yAvat-
   katama āryāṣṭāṅgamārgaḥ, katamaṃ śūnyatāvimokṣamukhaṃ, peyālaṃ yāvat	katamaH Arya-azwa-aFga-mArgaH, katamam SUnyatA-vimokza-muKan, peyAlam yAvat-
   sarvākārajñatā, katamāḥ ṣaṭ pāramitāḥ, peyālaṃ yāvad aśītir anuvyañjanāni?	sarva-AkAra-jQa-tA, katamAH zaw pAramitAH, peyAlam yAvat aSItiH anuvyaQjanAni?
   [DsP_1] evam ukte bhagavān āyuṣmantaṃ śāradvatīputram etad avocat: pañca	[DsP_1] evam ukte BagavAn Ayuzmantam SAradvatI-putram etat avocat: paQca
   skandhā iti, śāradvatīputra, ucyante yaduta rūpaṃ, vedanā, saṃjñā,	skanDAH iti, SAradvatI-putra, ucyante yat-uta rUpaM, vedanA, saMjQA,
   saṃskārā, vijñānam.	saMskArA, vijQAnam.
   [DsP_2] tatra katamāni dvādaśāyatanāni? ṣaḍ ādhyātmikāni, ṣaḍ bāhyāni.	[DsP_2] tatra katamAni dvAdaSa-AyatanAni? zaw ADyAtmikAni, zaw bAhyAni.
   etāny ucyante dvādaśāyatanāni.	etAni ucyante dvAdaSa-AyatanAni.
   tatra katamāni ṣaḍ ādhyātmikāny āyatanāni? yaduta cakṣurāyatanaṃ,	tatra katamAni zaw ADyAtmikAni AyatanAni? yat-uta cakzuH-AyatanaM,
   śrotrāyatanaṃ, ghrāṇāyatanaṃ, jihvāyatanaṃ, kāyāyatanaṃ, manaāyatanam.	Srotra-AyatanaM, GrANa-AyatanaM, jihvA-AyatanaM, kAya-AyatanaM, manaA-Ayatanam.
   etāny ucyante ṣaḍ ādhyātmikāny āyatanāni.	etAni ucyante zaw ADyAtmikAni AyatanAni.
   tatra katamāni ṣaḍ bāhyāny āyatanāni? yaduta rūpāyatanaṃ, śabdāyatanaṃ,	tatra katamAni zaw bAhyAni AyatanAni? yat-uta rUpa-AyatanaM, Sabda-AyatanaM,
   gandhāyatanaṃ, rasāyatanaṃ, spraṣṭavyāyatanaṃ, dharmāyatanam. etāny	ganDa-AyatanaM, rasa-AyatanaM, sprazwavya-AyatanaM, Darma-Ayatanam. etAni-
   ucyante ṣaḍ bāhyāny āyatanāni.	ucyante zaw bAhyAni AyatanAni.
   [DsP_3] tatra katama aṣṭādaśa dhātavaḥ? yaduta cakṣurdhātū, rūpadhātuś,	[DsP_3] tatra katama azwAdaSa DAtavaH? yat-uta cakzuH-DAtU, rUpa-DAtuS,
   cakṣurvījñānadhātuḥ; śrotradhātuḥ, śabdadhātuḥ, śrotravijñānadhātuḥ;	cakzuH-vIjQAna-DAtuH; Srotra-DAtuH, Sabda-DAtuH, Srotra-vijQAna-DAtuH;
   ghrānadhātur, gandhadhātur, ghrāṇavijñānadhātuḥ; jihvādhātū, rasadhātur,	GrAna-DAtur, ganDaDAtur, GrANa-vijQAna-DAtuH; jihvA-DAtU, rasa-DAtuH-,
   jihvāvijñānadhātuḥ; kāyadhātuḥ, spraṣṭavyadhātuḥ, kāyavijñānadhātuḥ;	jihvA-vijQAna-DAtuH; kAya-DAtuH, sprazwavya-DAtuH, kAya-vijQAna-DAtuH;
   manodhātur, dharmadhātur, manovijñānadhātuḥ. eta ucyanta aṣṭādaśa	manaH-DAtur, DarmaDAtur, manaH-vijQAna-DAtuH. ete ucyanta azwAdaSa
   dhātavaḥ.	DAtavaH.
   [DsP_4] tatra katamāni catvāry āryasatyāni? yaduta duḥkham āryasatyaṃ,	[DsP_4] tatra katamAni catvAri Arya-satyAni? yat-uta duHKam Arya-satyaM,
   samudaya āryasatyaṃ, nirodha āryasatyaṃ, mārga āryasatyam. etāny ucyante	samudayaH Arya-satyaM, niroDaH Arya-satyan, mArgaH Arya-satyam. etAni ucyante
   catvāry āryasatyāni.	catvAri Arya-satyAni.
   [DsP_5] tatra katamāni dvādaśa pratītyasamutpādāṅgāni?	[DsP_5] tatra katamAni dvAdaSa pratItyasamutpAda-aFgAni?
   yadutāvidyāpratyayāḥ saṃskārāḥ, saṃskārapratyayaṃ vijñānaṃ,	yaduta-avidyA-pratyayAH saMskArAH, saMskAra-pratyayam vijQAnaM,
   vijñānapratyayaṃ nāmarūpaṃ, nāmarūpapratyayāni ṣaḍ āyatanāni,	vijQAna-pratyayam nAma-rUpaM, nAma-rUpa-pratyayAni zaw AyatanAni,
   ṣaḍāyatanapratyayaḥ sparśaḥ, sparśapratyayā vedanā, vedanāpratyayā tṛṣṇā,	zaz-Ayatana-pratyayaH sparSaH, sparSa-pratyayA vedanA, vedanA-pratyayA tRzNA,
   tṛṣṇāpratyayam upādānam, upādānapratyayo bhavo, bhavapratyayā jātir,	tRzNA-pratyayam upAdAnam, upAdAna-pratyayaH Bavo, Bava-pratyayAH jAtiH-,
   jātipratyayā jarāmaraṇaśokaparidevaduḥkhadaurmanasyopayāsāḥ. evam asya	jAti-pratyayAH jarA-maraNa-Soka-parideva-duHKa-dOrmanasya-upayAsAH. evam asya
   kevalasya mahato duḥkhaskandhasya samudayo bhavati.	kevalasya mahataH duHKa-skanDasya samudayaH Bavati.
   avidyānirodhāt saṃskāranirodhaḥ, saṃskāranirodhād vijñānanirodho,	avidyA-niroDAt saMskAra-niroDaH, saMskAra-niroDAt vijQAna-niroDaH-,
   vijñānanirodhān nāmarūpanirodho, nāmarūpanirodhāt ṣaḍāyatananirodhaḥ,	vijQAna-niroDAt nAma-rUpa-niroDo, nAma-rUpa-niroDAt zaz-Ayatana-niroDaH,
   ṣaḍāyatananirodhāt sparśanirodhaḥ, sparśanirodhād vedanānirodho,	zaz-Ayatana-niroDAt sparSa-niroDaH, sparSa-niroDAt vedanA-niroDaH-,
   vedanānirodhāt tṛṣṇānirodhas, tṛṣṇānirodhād upādānanirodha,	vedanA-niroDAt tRzNA-niroDas, tRzNA-niroDAt upAdAna-niroDa,
   upādānanirodhād bhavanirodho, bhavanirodhāj jātinirodho, jātinirodhāj	upAdAna-niroDAt Bava-niroDo, Bava-niroDAt jAti-niroDo, jAti-niroDa-aj
   jarāmaraṇaśokaparidevaduḥkhadaurmanasyopayāsanirodhaḥ. evam asya kevalasya	jarA-maraNa-Soka-parideva-duHKa-dOrmanasya-upayAsa-niroDaH. evam asya kevalasya
   duḥkhaskandhasya nirodho bhavati. eṣa ucyate pratītyasamutpādo 'nulomaś ca	duHKa-skanDasya niroDaH Bavati. ezaH ucyate pratItyasamutpAdaH anulomaH ca
   pratilomaś ca.	pratilomaH ca.
   [DsP_6] tatra katamāni catvāri smṛtyupasthānāni? yaduta kāye	[DsP_6] tatra katamAni catvAri smRti-upasTAnAni? yat-uta kAye
   kāyānupaśyanāsmṛtyupasthānaṃ, vedanāsu vedanānupaśyanāsmṛtyupasthānaṃ,	kAyAnupaSyana-asmRti-upasTAnaM, vedanAsu vedanA-anupaSyana-asmRti-upasTAnaM,
   citte cittānupaśyanāsmṛtyupasthānaṃ, dharmeṣu	citte citta-anupaSyana-asmRti-upasTAnaM, Darmezu
   dharmānupaśyanāsmṛtyupasthānam. etāny ucyante catvāri smṛtyupasthānāni.	DarmAnupaSyana-asmRti-upasTAnam. etAni ucyante catvAri smRti-upasTAnAni.
   [DsP_7] tatra katamāni catvāri samyakprahāṇāni? iha bodhisattvo mahāsattvo	[DsP_7] tatra katamAni catvAri samyak-prahANa-ani? iha boDisattvaH mahAsattvaH-
   'nutpannānāṃ pāpakānām akuśalānāṃ dharmāṇām anutpādāya chandaṃ janayati	anutpannAnAm pApakAnAm akuSalAnAm DarmANAm anutpAdAya Candam janayati
   vyāyacchate vīryam ārabhati cittaṃ pragrhṇāti samyak pradadhāti;	vyAyacCate vIryam AraBati cittam pragrhNAti samyak pradaDAti;
   utpannānāṃ pāpakānām akuśalānāṃ dharmāṇāṃ prahāṇāya chandaṃ janayati	utpannAnAm pApakAnAm akuSalAnAm DarmANAm prahANAya Candam janayati
   vyāyacchate vīryam ārabhati cittaṃ pragṛhṇāti samyak pradadhāti;	vyAyacCate vIryam AraBati cittam pragRhNAti samyak pradaDAti;
   anutpannānāṃ kuśalānāṃ dharmāṇām utpādāya chandaṃ janayati vyāyacchate	anutpannAnAm kuSalAnAm DarmANAm utpAdAya Candam janayati vyAyacCate
   vīryam ārabhati cittaṃ pragṛhṇāti samyak pradadhāti;	vIryam AraBati cittam pragRhNAti samyak pradaDAti;
   utpannānāṃ kuśalānāṃ dharmāṇāṃ sthitaye 'saṃpramoṣāya bhūyobhāvanāyai	utpannAnAm kuSalAnAm DarmANAm sTitaye asaMpramozAya BUyas-BAvanAyE
   paripūraṇāya chandaṃ janayati vyāyacchate vīryam ārabhati cittaṃ	paripUraNAya Candam janayati vyAyacCate vIryam AraBati cittam
   pragṛhṇāti samyak pradadhāti. etāny ucyante catvāri samyakprahāṇāni.	pragRhNAti samyak pradaDAti. etAni ucyante catvAri samyak-prahANAni.
   [DsP_8] tatra katame catvāra ṛddhipādāh? yaduta	[DsP_8] tatra katame catvAraH RdDipAda-ah? yat-uta
   chandasamādhiprahāṇasaṃskārasamanvāgata ṛddhipādo,	Canda-samADi-prahANa-saMskAra-samanvAgataH RdDipAdaH-,
   vīryasamādhiprahāṇasaṃskārasamanvāgata ṛddhipādaś,	vIrya-samADi-prahANa-saMskAra-samanvAgataH RdDipAdaS,
   cittasamādhiprahāṇasaṃskārasamanvāgata ṛddhīpādo,	citta-samADi-prahANa-saMskAra-samanvAgataH RdDIpAdaH-,
   mīmāṃsāsamādhiprahāṇasaṃskārasamanvāgata ṛddhipādaḥ. eta ucyante catvāra	mImAMsA-samADi-prahANa-saMskAra-samanvAgataH RdDipAdaH. ete ucyante catvAra
   ṛddhipādāḥ.	RdDi-pAdAH.
   [DsP_9] tatra katamāni pañcendriyāṇi? śraddhendriyaṃ, vīryendriyaṃ,	[DsP_9] tatra katamAni paQca-indriyANi? SradDa-indriyan, vIrya-indriyaM,
   smṛtīndriyaṃ, samādhīndriyaṃ, prajñendriyam. etāny ucyante pañcendriyāṇi.	smRti-indriyan, samADi-indriyan, prajQA-indriyam. etAni ucyante paQca-indriyANi.
   [DsP_10] tatra katamāni pañca balāni? śraddhābalaṃ, vīryabalaṃ,	[DsP_10] tatra katamAni paQca balAni? SradDA-balaM, vIrya-balaM,
   smṛtibalaṃ, samādhibalaṃ, prajñābalam. etāny ucyante pañca balāni.	smRti-balaM, samADi-balaM, prajQA-balam. etAni ucyante paQca balAni.
   [DsP_11] tatra katamāni sapta bodhyaṅgāni? yaduta smṛtisaṃbodhyaṅgaṃ,	[DsP_11] tatra katamAni sapta boDi-aFgAni? yat-uta smRti-saMboDi-aFgaM,
   dharmapravicayasaṃbodhyaṅgaṃ, vīryasaṃbodhyaṅgaṃ, prītisaṃbodhyaṅgaṃ,	Darma-pravicaya-saMboDi-aFgaM, vIrya-saMboDi-aFgaM, prIti-saMboDi-aFgaM,
   prasrabdhisaṃbodhyaṅgaṃ, samādhisaṃbodhyaṅgam, upekṣāsaṃbodhyaṅgam. etāny	prasrabDi-saMboDi-aFgaM, samADi-saMboDi-aFgam, upekzA-saMboDi-aFgam. etAni-
   ucyante sapta bodhyaṅgāni.	ucyante sapta boDi-aFgAni.
   [DsP_12] tatra katama āryāṣṭāṅgamārgaḥ? yaduta samyagdṛṣṭiḥ,	[DsP_12] tatra katamaH Arya-azwa-aFga-mArgaH? yat-uta samyak-dRzwiH,
   samyaksaṃkalpaḥ, samyagvāk, samyakkarmāntaḥ, samyagājīvaḥ, samyagvyāyāmaḥ,	samyak-saMkalpaH, samyak-vAk, samyak-karmAntaH, samyak-AjIvaH, samyak-vyAyAmaH,
   samyaksmṛtiḥ, samyaksamādhiḥ. eṣa ucyata āryāṣṭāngamārgaḥ.	samyak-smRtiH, samyak-samADiH. ezaH ucyate Arya-azwAn-ga-mArgaH.
   [DsP_13] tatra katamac chūnyatāvimokṣamukham? yaduta	[DsP_13] tatra katamat SUnyatA-vimokza-muKam? yat-uta
   sarvadharmasvalakṣaṇatāśūnyapratyavekṣaṇacittasthitir vimokṣamukham. etad	sarva-Darma-sva-lakzaNa-tA-SUnya-pratyavekzaNa-citta-sTitiH vimokza-muKam. etat-
