   atha prathamaḥ paṭalaḥ	aTa praTamaH pawalaH
   tathā 'sāyaṃ prātarata ūrdhvam'(āpa.gṛ.7 19.) 'yāvajjīvamagnihotraṃ	taTA asAyam prAtar atas UrDvam a(Apa.gR.7 19.) ayAvat jIvam agni hotram
   juhoti,''vasante jyotiṣṭomena yajeta'(āpa.śrau.10 2 5) ityevamādibhiḥ,	juhoti, aavasante jyotizwomena yajeta a(Apa. SrO.10 2 5) iti evamAdiBiH,
   'aharahaḥ pravṛjyante'(tai.brā.2 1 3.), ardhamāser'dhamāse	aaharahar pravRjyante a(tE.brA.2 1 3.), arDa mAser aDamAse
   pravṛjyate'(tai.bāra.3 2 8), 'punarbhakṣyo 'sya somapīthobhavati';	pravRjyate a(tE.bAra .3 2 8), apunarBakzyaH asya soma pIToBavati a;
   (tai.brā.3 2 3). ityevamādibhiḥ, (1) karmaṇyorambhanyāyena ca	(tE.brA.3 2 3). iti evamAdiBiH, (1) karmaNyoH amBa nyAyena ca
   prayogābhyāsāvagamāt /	prayoga aByAsa avagamAt /
   tathaiva somasyeṣaṭyādeścākaraṇe aindrāgnaśuvibhraṣṭeṣṭyādi	taTA eva somasya IzawI AdeH ca akaraNe Endra agna Su vi Brazwa izwi Adi
   prāyaścittavidhānena pratyavāyotpattyavagamāt /	prAyaScitta viDAnena pratyavAya utpatti avagamAt /
   tathaiva 'sa etāṃśṭaturhotṝnātmasparaṇānapaśyat'(tai.brā.2 3 7) iti	taTA eva asaH etAM= watuH hotLn Atma sparaNAn apaSyat a(tE.brA.2 3 7) iti
   agnihotrādisomāntānāmātmaniṣkrayaṇārthatvāvagamāt /	agnihotra Adi soma antAnAm Atma nizkrayaNa arTa tva avagamAt /
   na tu sauryādivat(2) kovalaṃ kāmyāḥ uktahetūnāṃ sarveṣāmanupapattaiḥ /	na tu sOrya Adi vat(2) kovalam kAmyAH ukta hetUnAm sarvezAm anupapattEH /
   yata evaite nityāṃ ata eva 'anāhitāgnitāsteyam'(manu.11 65).	yatas eva ete nityAm atas eva aanAhitAgni tA steyam a(manu.11 65).
   ityanāhitāgnitāyā upapātakagaṇe pāṭhaḥ /	iti anAhitAgni tAyAH upapAtaka gaNe pAWaH /
   ata eva nityādhikāravidhiprayuktamādhānam /	atas eva nitya aDikAra viDi prayuktam ADAnam /
   kāmyasiddhistu nitayānuṣṭānenaiva guṇaphalādhikāravidhayā prāsaṅgikī	kAmya sidDiH tu nitaya anuzwA anena eva guNa Pala aDikAra viDayA prAsaFgikI
   bhavatu /	Bavatu /
   mīmāṃsakamatyā tu yadyapi kāmyādhikāravidhigrayuktamādhānaṃ,	mImAMsakamatyA tu yadi api kAmya aDikAra viDi gra yuktam ADAnaM,
   kāmyānuṣṭhānaina ca nityasiddhiḥ (3) prasaṅgāt;tathāpi kalpasūtrakāraṇāṃ	kAmya anuzWAna ena ca nitya sidDiH (3) prasaFgAt; taTA api kalpasUtra kAraNAm
   prakriyayā sādhikāratvena (4)prayuktisaktiyogyatayā anyato 'prayuktau	prakriyayA sADikAra tvena (4) prayukti sakti yogya tayA anyatas aprayuktO
   nityādhikāravidhiprayuktirapyupapannā /	nitya aDikAra viDi prayuktiH api upapannAH /
   yathā(5) vivaraṇamate svavidhiprayuktamadhyayanamiti /	yaTA(5) vivaraNa mate sva viDi prayuktam aDyayanam iti /
   tasmāt mandamadhyamotkṛṣṭabuddhibhi (6) ssarvairapi traivarṇikairete	tasmAt manda maDyama utkRzwa budDiBi (6) ssarvEH api trEvarNikEH ete
   'vaśyaṃ kartavyāḥ /	avaSyam kartavyAH /
   te ca nānāsādhanakā nānāśākhāntarasthāṅgakā	te ca nAnA sADanakAH nAnA SAKA antara sTAFgakA
   mīmāṃsānyāyasahasranirdhāryavacanavyaktikā mandabuddhibhiridānīntanair(7)	mImAMsA nyAya sahasra nirDArya vacana vyaktikAH manda budDiBiH idAnInta nEH (7)
   durśānā  ajñāne cānuṣṭhātumaśaktāḥ kathañcana pratyaveyuritu	durSAnA ajQAne ca anuzWAtum aSaktAH kaTaQcana pratyaveyuH itu
   kṛpāviṣṭacetaskatayā sūtrakāreṇa'yajñaṃ vyākhyāsyāmaḥ'(āpa.pari.1 1) iti	kRpA Avizwa cetaska tayA sUtrakAreNa ayajQam vyAKyAsyAmaH a(Apa. pari.1 1) iti
   paribhāṣāyāmekaviṃśatiyajñān sāmānyataḥ (8)	pariBAzAyAm ekaviMSati yajQAn sAmAnyatas (8)
   saṃkṣepataśca vyākhāyāya tāvanmātreṇānuṣṭhānānupayogāt 'athāto	saMkzepataH ca vyAKAyAya tAvat mAtreNa anuzWAna anupayogAt aaTa atas 
   darśapūrṇamāsau'(āpa.śrau.1 1) ityārabhya śrautā haviryajñāssomasaṃsthāḥ	darSa pUrNamAsO a(Apa. SrO.1 1) iti AraBya SrOtAH haviH yajQa Assoma saMsTAH
   kṣāmavatyādayo naimittikāḥ prasaṅgāt kāmyāśca(10) viśeṣato vyākhyātāḥ //	kzAmavatI AdayaH nEmittikAH prasaFgAt kAmyAH ca(10) viSezataH vyAKyAtAH //
   atha anantaram /	aTa anantaram /
   ācārāt āṅ ityupasargasya avicchedo vyāptirabhipretor'thaḥ /	AcArAt  AF iti upasargasya avicCedaH vyAptiH aBipretor aTaH /
   cāraḥ caraṇaṃ ka4masu pravartanam, 'piṇḍapitṛyajñena	cAraH caraNam ka4masu pravartanam, apiNxa pitR yajQena
   caranti'(āpa.śrau.1 7 2) ityādau darśanāt /	caranti a(Apa. SrO.1 7 2) ityAdO darSanAt /
   tena yatsarveṣu deśeṣu sarveṣu koleṣu ca	tena yat sarvezu deSezu sarvezu kolezu ca
   sarvaistraividyavṛddhaiśśiṣṭairlaukikaprayojanābhāve	sarvEH trEvidya vRdDEH SizwEH lOkika prayojana aBAve
   'pyavicchinnamavi(1)gānenādriyamāṇaṃ, ataeva mūlāntarāsambhāvāt	api avicCinnam avi(1) gAnena AdriyamANan, ataeva mUla antara asamBAvAt
   svamūlabhūtavedānumāneliṅgabhūtaṃ karmasu pravartanaṃ sa ācāraḥ /	sva mUla BUta veda anumA neliFga BUtam karmasu pravartanam saH AcAraH /
   tasmādācārāt anumitairvedaiḥ yāni aupāsanahomādīni pākayajñaśabdavācyāni	tasmAt AcArAt anumitEH vedEH yAni OpAsana homa AdIni pAkayajQa Sabda vAcyAni
   pāṇigrahaṇādīni ca yaśeṣvadhikāriṣyamāṇadehasaṃskārārthānikarmāṇi	pANigrahaNa AdIni ca yaSezu aDikArizyamANa deha saMskAra arTa anikarmANi
   gṛhyantejñāyante kartavyatvena tāni vyākhyāsyāma iti śeṣaḥ /	gRhyanta ijQAyante kartavya tvena tAni vyAKyAsyAmaH iti SezaH /
   yata eva ācārānumeyavedāvagamyāni gārhyaaṇi karmāṇi ata eva tebhyaḥ	yatas eva AcAra anumeya vedO= agamyAni gArhyaaNi karmANi atas eva teByaH
   prathamamanuṣṭheyebhyo 'pi pūrva śrautānāṃ vyākhāyānaṃ	praTamam anuzWeyeByaH api pUrva SrOtAnAm vyAKAyAnam
   kṛtam;pratyaśrutivihiteṣu jijñāsāyāḥ prathamabhāvitvāt,	kRtam ;pratyaSruti vihitezu jijQAsAyAH praTama BAvi tvAt,
   anumitavedārthajijñāsāyā(2) ścaramabhāvitvāt, jijñāsāśāntrthatvācca	anumita veda arTa jijQAsA AyA(2) Scarama BAvi tva at, jijQAsA SAntrTa tvAt ca
   vyākhyānasyeti /	vyAKyAnasya iti /
   atra ca ācārādityācāreṇopalakṣya gārhyaaṇi karmāṇi vadannevaṃ jñāpayati 	atra ca AcArAt iti AcAreNa upalakzya gArhyaaNi karmANi vadan= evam jQApayati 
   iha sākṣādanibaddhānāmapi yeṣāṃ 'jamadagnīnāṃ tu pañcāvattam';	iha sAkzAt anibadDAnAm api yezAm ajamat agnInAm tu paQcAvattam a;
   (āpa.śrau.2 18 2) ityādīnāṃ padārthānāmācāraḥ kṛtsnadeśādivyāptassyāt te	(Apa. SrO.2 18 2) ityAdInAm padArTAnAm AcAraH kRtsna deSa Adi vyApta ssyAt te
   'pi vedamūlā evoti /	api veda mUlAH eva uti /
   kṛtsnadeśādivyāptiścādhikapaunaruktyādibhiśśraute darśanena	kRtsna deSa Adi vyAptiH ca aDika pOnarukti AdiBiH SrOte darSanena
   gṛhyāntarairrdhamaśāstraiḥ nyāyabalena sampradāyavidvākhyātṛvacanairvā	gRhya antarEH H Dama SAstrEH nyAya balena sampradAya vidva AKyAtR vacanEH vA
   niścetavyā /	niScetavyAH /
   idaṃ cādhikārasūtram /	idam ca aDikAra sUtram /
   yānyaṅgānyuttaratra'purastādudagvopakramaḥ'(āpa.gṛ1 5) ityādīni vakṣyante	yAni aFgAni uttaratra apurastAt udak va upakramaH a(Apa.gR1 5) ityAdIni vakzyante
   teṣāṃ gārhyakarmārthatāṃ, śrautānāṃ sārvatrikāṇāmapi svato 'nidamarthatāṃ	tezAm gArhya karma arTa tAM, SrOtAnAm sArvatrikANAm api svatas anidam arTa tAm
   ca jñāpayitum /	ca jQApayitum /
   etacca(3) samānopadeśātideśayorabhāvāt //	etat ca(3) samAna upadeSa atideSayoH aBAvAt //
   kecit karmāṇītyetadgṛhye vakṣyamāṇānyasmaccaraṇārthānyeva, na	kecit  karmANi iti etat gRhye vakzyamANAni asmad caraNa arTAni eva, na
   tudharmaśabdādhikṛtadharmaśāstroktavatsarvārtāni /	tuDarma Sabda aDikRta Darma SAstra ukta vat sarva ArtAni /
   tathā śrautānantaraṃ gārhyaadhikāraḥ śrautoktasārvatrikadharmāmāmiha	taTA SrOta anantaram gArhi aaDikAraH SrOta ukta sArvatrika Darma AmAm iha
   prāptyartha iti //	prApti arTaH iti //
   2 udagayanādikālavidhiḥ /	2 udagayana Adi kAla viDiH /
   udagayanapūrvapakṣāhaḥpuṇyāheṣu kāryāṇi // ĀpGs_1.2 //	udagayana pUrva pakza ahaH puNyAhezu kAryANi // ĀpGs_1.2 //
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_1.2:	ĀpGs AnAH _1.2:
   udagayanādividhānaṃ dakṣiṇāyanādipratiṣedhārtham /	udagayana Adi viDAnam dakziNAyana Adi pratizeDa arTam /
   samuñcayaścodagayanādīnāṃ na vikalpaḥ /	sa muQcayaH ca udagayana AdInAm na vikalpaH /
   puṇyāhāḥdevanakṣatrāṇi jyotiśśāstre prasiddhāni yamanakṣatrāṇi ca	puNyAhAH deva nakzatrANi jyotiSSAstre prasidDAni yama nakzatrANi ca
   tadvihitāni /	tad vihitAni /
   ĀpGs Tāt_1.2:	ĀpGs TAt _1.2:
   udagayanādayaḥ prasiddhāḥ /	udagayana AdayaH prasidDAH /
   puṇyāhāstvahno navadhā vibhaktasyāyu jo bhāgāḥ  prātassaṅgava(1)	puNyAhAH tu ahnaH navaDA viBaktasya Ayu jaH BAgAH prAtassaFgava(1)
   madhyāhṇasāyaṃśabdavācyāḥ puṇyanakṣatrāparaparyāyāḥ pañca /	maDyAhNasAyaMSabda vAcyAH puNya nakzatra apara paryAyAH paQca /
   'samānasyāhnaḥ pañca puṇyāni nakṣatrāṇi'(tai,brā.2 5.6) 'mitrasya saṅgavaḥ	asamAnasya ahnaH paQca puNyAni nakzatrANi a(tE,brA. 2 5.6) amitrasya saFgavaH
   tatpuṇyaṃ tejassvyahaḥ'; (tai.brā.1 5 6) ityādiśruteḥ /	tat puNyam tejassvi ahaH a; (tE.brA.1 5 6) iti Adi SruteH /
   yugmāstvaślīlāḥ, 'catvāryaślīlāni'(tai.brā.1 5 6) iti śruteḥ /	yugmAH tu aSlIlAH, acatvArya SlIlAni a(tE.brA.1 5 6) iti SruteH /
   kecit kṛttikādiviśākhāntāni devanakṣatrāṇi puṇyāhāḥ, 'yānyeva	kecit  kRttika Adi viSAKA antAni deva nakzatrANi puNyAhAH, ayAni eva
   devanaśratrāṇi /	devana SratrANi /
   teṣu kurvīta yatkārī syāt /	tezu kurvIta yat kArI syAt /
   puṇyāha eva kurute'; (tai.brā.1 5 2) iti śruteḥ /	puNyAhaH eva kurute a; (tE.brA.1 5 2) iti SruteH /
   udagayanetyādirayaṃ samāso dvandvaḥ /	udagayana ityAdiH ayam samAsaH dvandvaH /
   teṣu kāryāṇi /	tezu kAryANi /
   gārhyaaṇīti śeṣaḥ /	gArhyaaNI iti SezaH /
   eṣāṃ samuccayaḥ na vikalpaḥ /	ezAm samuccayaH na vikalpaH /
   etacca sāmānyavidhānaṃ tatra tatra viśeṣavidhānenāpodyate niyamyate ca /	etat ca sAmAnya viDAnam tatra tatra viSeza viDAnena apodyate niyamyate ca /
   evamudagayanādīnāṃ vidāne satyapi kvacidaniyamaḥ pratibhāsate /	evam udagayana AdInAm vidAne sati api kvacid aniyamaH pratiBAsate /
   'sarva ṛtavo vivāhasya'; (āpa.gṛ.2 12.) iti vacanāt yadā dakṣiṇāyane 'pi	asarvaH RtavaH vivAhasya a; (A apa.gR.2 12.) iti vacanAt yadA dakziNAyane api
   vivāhassyāttadā samāvartanaṃ tatkālasamīpakāla eva /	vivAha ssyAt tadA samAvartanam tad kAla samIpa kAle eva /
   itarathā udagayanasamāvṛttasya śaradi vivāhe sati bahukālavyavadhāne,	itaraTAH udagayana samAvRttasya Saradi vivAhe sati bahu kAla vyavaDAne,
   'anāśramī na tiṣṭheta dinamekamapi dvijaḥ'; /	aanASramI na tizWeta dinam ekam api dvijaH a; /
   (dakṣasaṃ.a.1) iti niṣedhātikramaprasaṅgāt /	(dakza saM.a.1) iti nizeDa atikrama prasaFgAt /
   kiñca āśvalāyanagṛhye 'udagayana āpūryamāṇapakṣe kalyāṇe nakṣatre	kiQca ASvalAyana gRhye audagayane ApUryamANa pakze kalyANe nakzatre
   caulakarmopanayanagodānavivāhāḥ'(āśva.gṛ.1 5) ityatra caulavikāratvādeva	cOla karma upanayana go dAna vivAhAH a(ASva. gR.1 5) iti atra cOla vikAra tvAt eva
   godānasya udagayanaprāptau punastatra tadvidhiḥ tadvikārāntare samāvartane	go dAnasya udagayana prAptO punar tatra tad viDiH tad vikAra antare samAvartane
   udagayananiyamānivṛttyartha iti gamyate /	udagayana niyama anivRtti arTaH iti gamyate /
   tathā baudhāyanīye samāvartanasya caulavikāratvādeva	taTA bODAyanIye samAvartanasya cOla vikAra tvAt eva
   āpūryamāṇapakṣaprāptau punastatra tadvidhi(2) rudagayanāniyamārta iti	ApUryamANa pakza prAptO punar tatra tad viDi(2) ruda gayanA aniyama ArtaH iti
   gamyate /	gamyate /
   tathā gṛhanirmāṇapraveśayoḥ jyotiśśāstre dakṣiṇāyanasyāpi vidhānāt	taTA gRha nirmANa praveSayoH jyotiSSAstre dakziNAyanasya api viDAnAt 
   avigītaśiṣṭācārācca udagayanāniyamaḥ /	avigIta Sizwa AcArAt ca udagayana aniyamaH /
   tathā aparapakṣe 'pyāpañcamyāḥ	taTA apara pakze api ApaQcamyAH
   jyotiśśāstrādannaprīśana(3)gṛhanirmāmapraveśān rātrāvapyācaranti /	jyotiSSAstrAt anna prISana (3)gRha nirmAm a praveSAn rAtrO= api Acaranti /
   tathaiva yadā puṇyāhāḥ jyautiṣoktadoṣopahatāḥ tadā aślīleṣvapi /	taTA eva yadA puNya ahAH jyOtiza ukta doza upahatAH tadA aSlIlezu api /
   tathaiva yadā puṇyāhā  jyotiṣoktadoṣopahatāḥ tadā aślīleṣvapi	taTA eva yadA puNya AhA jyotiza ukta doza upahatAH tadA aSlIlezu api
   taduktaguṇayukteṣi(4) avigānena karmāṇyācaranti /	tad ukta guNa yuktA izi(4) avigAnena karmANi Acaranti /
   jyotśśāstramapi (1)	jyotSSAstram api (1)
   vedāṅgatvādagṛhyamāṇakāraṇatvāt, śiṣṭaparigṛhītatvācca	vedAFga tvAt agRhyamANa kAraNa tva at, Sizwa parigRhIta tvAt ca
   kalpasūtrādivadādaraṇīyameva /	kalpa sUtra Adi vat AdaraNIyam eva /
   nirṇaye ti śiṣṭāḥ pramāṇaṃ sarvatra //	nirNaye ti SizwAH pramANam sarvatra //
   3 yajñopavītaprādakṣiṇyādividhiḥ /	3 yajQopavIta prAdakziNya Adi viDiH /
   yajñopavītinā // ĀpGs_1.3 //	yajQa upavItinA // ĀpGs_1.3 //
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_1.3:	ĀpGs AnAH _1.3:
   kāryāṇi ityanuvartate //	kAryANi iti anuvartate //
   ĀpGs Tāt_1.3:	ĀpGs TAt _1.3:
   kāryāṇīti sambandhaḥ /	kAryANi iti sambanDaH /
   nanu yajñopavītaṃ pākayajñeṣu 'prāgapavarmāṇi'(āpa.pa.215) ityādinā	nanu yajQopavItam pAkayajQezu aprAc apavarmANi a(Apa.pa.215) ityAdinA
   siddham /	sidDam /
   vivāhādihomeṣu japādiṣu ca 'home japyakarmaṇi'(āpa.dha.1 151) ityādinā /	vivAha Adi homezu japa Adizu ca ahome japya karmaNi a(Apa.Da.1 151) ityAdinA /
   ato 'traitadvidhirrvyathaḥ /	atas atra etat viDiH H vyaTaH /
   satyam;yatrāprāpti(2)rhemantapratyavarohaṇādiṣu tatrāyaṃ vidhissārtha eva	satyam ;yatra aprApti(2)rhemanta pratyavarohaNa Adizu tatra ayam viDiH sArTaH eva
   pradakṣiṇam // ĀpGs_1.4 //	pradakziNam // ĀpGs_1.4 //
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_1.4:	ĀpGs AnAH _1.4:
   pradakṣiṇaṃ ca tāni kartavyāni dakṣinaṃ pāṇiṃ pratigataṃ pradakṣiṇam /	pradakziNam ca tAni kartavyAni dakzinam pANim pratigatam pradakziNam /
   udāharaṇaṃ paristaraṇādi /	udAharaNam paristaraNa Adi /
   nanu tadidamubhayamavidheyaṃ, pūrvameva śrauteṣu vihitatvāt	nanu tat idam uBayam aviDeyaM, pUrvam eva SrOtezu vihita tvAt 
   'daivānī'ti(āpa.pa.2 35) tatrocyate, iha mānuṣeṣu jātakarmādiṣvapyetayoḥ	adEvAnI ati(a apa.pa.2 35) tatra ucyate, iha mAnuzezu jAtakarma Adizu api etayoH
   pravṛttiriṣyate93)tadarthamayamārambhaḥ /	pravRttiH izyate93)tad arTam ayam AramBaH /
   ĀpGs Tāt_1.4:	ĀpGs TAt _1.4:
   kāryāṇītyeva sambandhaḥ /	kAryANi iti eva sambanDaH /
   idaṃ tu prādakṣiṇyaṃ pākayajñeṣu tatkoṭiṣu ca vivāhādiṣu	idam tu prAdakziNyam pAkayajQezu tad kowizu ca vivAha Adizu
   paribhāṣāsiddhamapi(4)	pariBAzA sidDam api(4)
   tadvatiriktagārhyaratha vidhīyate /	tadvatirikta gArhya raTa viDIyate /
   'tatāpavargaḥ'(āpa..gṛ.1 6) iti cetthameva //	atata apavargaH a(Apa..gR.1 6) iti ca itTam eva //
   purastādudagvopakramaḥ // ĀpGs_1.5 //	purastAt udak va upakramaH // ĀpGs_1.5 //
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_1.5:	ĀpGs AnAH _1.5:
   aniyame niyamārthamidaṃ vacanam /	aniyame niyama arTam idam vacanam /
   dakṣiṇataḥ paścādvopakrāmo mābhūditi /	dakziNatas paScAt vA upakrAmaH mABUt iti /
   paristaraṇādyevodāharaṇam //	paristaraNa Adi eva udAharaNam //
   ĀpGs Tāt_1.5:	ĀpGs TAt _1.5:
   kārya iti śeṣaḥ /	kAryaH iti SezaH /
   ayaṃ tu sarveṣvapi yajñāyajñarūpagārhyeṣvaprāptatvādvidhīyate //	ayam tu sarvezu api yajQAyajQa rUpa gArhyezu aprApta tvAt viDIyate //
   tathāpavargaḥ // ĀpGs_1.6 //	taTA apavargaH // ĀpGs_1.6 //
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_1.6:	ĀpGs AnAH _1.6:
   teṣāmapavargo 'pi tathā pratyetavyaḥ /	tezAm apavargaH api taTA pratyetavyaH /
   purastādudagvetyarthaḥ /	purastAt udak vA iti arTaH /
   apavargaḥ parisamāptiḥ /	apavargaH parisamAptiH /
   na cātra upakrāmāpavargayoḥ samānabhidaṃ niyamanaṃ	na ca atra upakrAma apavargayoH samAna Bidam niyamanam
   kriyate purastādupakrānte tatraiva samāpyaṃ udagārabhyaṃ ca tatraiveti /	kriyate  purastAt upakrAnte tatra eva samApyam udak AraByam ca tatra eva iti /
   kiṃ tarhi yathāsaṃbhavaṃ pravṛttiḥ tadyathā paristaraṇasya	kim tarhi yaTAsaMBavam pravRttiH tat yaTA paristaraNasya
   purastādupakrāntasya tatraivāpavargāsambavādudagapavargaḥ /	purastAt upakrAntasya tatra eva apavarga asambavAt udak apa vargaH /
   tatrāpavargavidherānarthakyaṃ, śrauteṣveva	tatra apavarga viDeH AnarTakyaM, SrOtezu eva
   paribhāṣitatvāt"prāgapavargāṇyudagapavargāṇi ve"ti (āpa.pa.2 15) /	pariBAzita tvAt" prAk apavargANi udak apavargANi ve"ti (a apa.pa.2 15) /
   ucyate /	ucyate /
   yadyapavargavidhiḥ punariha nārabhyate, apareṇāgniṃ dve kuṭī	yadi apavarga viDiH punar iha na AraByate, apareNa agnim dve kuwI
   kṛtve'(āpa.gṛ.19 14). tyatra dakṣiṇāpavargatā prāpnoti,	kRtve a(Apa.gR.19 14). tyatra dakziNA apavarga tA prApnoti,
   atropakramasyodaggatatvaniyamāt /	atra upakramasya udak gata tva niyamAt /
