   Adhyāya 1, Adhikaraṇa 1:	ADyAyaH 1, ADikaraNa 1:
   kintu kṣmātilakāḥ kuśāgradhiṣaṇāḥ siddhāntabaddhādarā madvākyaṃ parihṛtya	kintu kzmA-tilakAH kuSa-agra-DizaNAH sidDAnta-badDa-AdarA mad-vAkyam parihRtya
   tatkṛtimalaṅkurvantviyaṃ me matiḥ // 4 //	tad-kRtim-alaFkurvantu-iyam me matiH // 4 //
   (ṭippaṇārambhjñapratijñā) atraca1 yadyapi	(wippaNa-AramBjQa-pratijQA) atraca1 yadi-api
   balābalādhikaraṇasamāptiparyantaṃ svakṛtena kaustubhagranthena	bala-abala-aDikaraNa-samApti-paryantam sva-kRtena kOstuBa-granTena
   vyākhyātārthā bhāṭṭadīpikā bhavatītyatastadantaṃ vihāya ṭippaṇaṃ	vyAKyAta-arTA BAwwa-dIpikA Bavati-iti-atas-tad-antam vihAya wippaNam
   kartavyamiti ājñā pūjyapādānāmāsīditi tadantagranthaṭippaṇaṃ kartuṃ na	kartavyam-iti AjQA pUjya-pAdAnAm-AsIt-iti tad-anta-granTa-wippaNam kartum na
   yuktam; tathāpi tatsaṃgṛhītārthānāṃ mūlākṣarārūḍhatvajñāpanāya	yuktam; taTA-api tad-saMgRhIta-arTAnAm mUla-akzara-ArUXa-tva-jQApanAya
   lokopakārāya ca kaustubhadarśitamārgeṇaiva āditaḥ ṭippaṇamārabhyate /	loka-upakArAya ca kOstuBa-darSita-mArgeNa-eva Aditas wippaNam-AraByate /
   (upoddhātavicārapratijñā) tatra vyākhyāsyamānārthavādādhikaraṇe	(upodDAta-vicAra-pratijQA) tatra vyAKyAsyamAna-arTa-vAda-aDikaraNe
   yadupoddhātatvenāvaśapekṣitaṃ tat kiñcidādau nirūpyate /	yat-upodDAta-tvena-avaSapa-Ikzitam tat kiQcid-AdO nirUpyate /
   tatra tāvat pūrvacaraṇe	tatra tAvat pUrva-caraNe
   athāto dharmajijñāsā / Jaim_1,1.1 /	aTa-atas Darma-jijQAsA / JEm_1,1.1 /
   iti śāstrārambhasūtreṇa pramāṇasvarūpasādhanaphalaiḥ	iti SAstra-AramBa-sUtreNa pramANa-svarUpa-sADana-PalEH
   sābhāsairvicarayiṣyamāṇaḥ sakalo dharmādharmaprameyarūpaḥ śāstrārthaḥ	sa-ABAsEH-vicarayizyamANaH sakalaH Darma-aDarma-prameya-rUpaH SAstra-arTaH
   pratijñāto maharṣiṇā jaimininā /	pratijQAtaH mahA-RziNA jEmininA /
   (vivāre vaidhatvopapādanam) śāstrārambhamūlaṃ ca "svādhyāyo 'dhyetavyaḥ"	(vivAre vEDatva-upapAdanam) SAstra-AramBa-mUlam ca "svADyAyaH aDyetavyaH"
   (tai.ā.16) ityadhyayanavidhiḥ ;	(tE.A.16) iti-aDyayana-viDiH ;
   tatrādhyayanarūpakaraṇavidhānādvicāramantareṇa arthajñānānutpatteḥ	tatra-aDyayana-rUpa-karaNa-viDAnAt-vicAram-antareNa arTa-jQAna-anutpatteH
   vicārarūpetikartavyatānuṣṭhānākṣepeṇa tatkartavyatābodhanāt tasyāśrca	vicAra-rUpa-iti-kartavyatA-anuzWAnAkzepeNa tad-kartavya-tA-boDanAt tasyASrca
   tatpratipādakaśāstrābhāve '- saṃbhavāt	tad-pratipAdaka-SAstra-aBAve a saMBavAt-
   śāstrārambhatadadhyayanakartavyatābodhanarūpaphalasyāpyarthato vidhānāt /	SAstra-AramBa-tad-aDyayana-kartavya-tA-boDana-rUpa-Palasya-api-arTataH viDAnAt /
   taduktam -	tat-uktam -
   "dharme pramīyamāṇe hi vedena karaṇātmanā /	"Darme pramIyamANe hi vedena karaNa-AtmanA /
   itikartavyatābhāgo mīmāṃsā pūrayiṣyate" iti //	itikartavya-tA-BAgaH mImAMsA pUrayizyate" iti //
   <B3> (1) F.N. - atrāvataraṇagranthe "athāto dharmajijñāse"	<B3> (1) F.N.  atra-avataraNa-granTe "aTa-atas Darma-jijQAse"
   tyādisūtrārthanirūpaṇapūrvakaṃ svatantrameva prathamapādārthaṃ	tyAdi-sUtra-arTa-nirUpaNa-pUrvakam svatantram-eva praTama-pAda-arTam
   saṃgṛhṇantaḥ āditaḥ ṭippaṇamārabhyata iti pratijñāyāpi	saMgRhNantaH Aditas wippaNam-AraByate iti pratijQAya-api
   arthavādapādamārabhyaiva ṭippaṇamāracayantaśca śaṃbhubhaṭṭāḥ	arTavAda-pAdam-AraBya-eva wippaNam-AracayantaH-ca SaMBu-BawwAH
   prathamapādavyākhyeyaṃ bhāṭṭadīpikāgranthaṃ khaṇḍadevācāryakṛtaṃ	praTama-pAda-vyAKyeyam BAwwa-dIpikA-granTam KaNxadeva-AcArya-kRtam
   avidyamānamabhiprayanti /	avidyamAnam-aBiprayanti /
   tadatra maisūranagaramudrāpitabhāṭṭadīpikāpustake	tat-atra mEsUra-nagara-mudrA-pita-BAwwa-dIpikA-pustake
   prathamapādabhāṭṭadīpikāpi prakāśitā yaddarīdṛśyate, yacca	praTama-pAda-BAwwa-dIpikA-api prakASitA yat-darI-dRSyate, yat-ca
   tadanusārīdānīntanānāṃ mānyamānyānāṃ mahāmahopādhyāyānāṃ śrīmatāṃ	tad-anusArI-dAnIntanAnAm mAnyamAnyAnAm mahA-mahA-upADyAyAnAm SrImatAm
   rāmasubrahmaṇyaśāstriṇāṃ bhāṭṭakalpatarunāmakaṃ ekaṃ	rAma-subrahmaNya-SAstriNAm BAwwa-kalpataru-nAmakam ekam
   prathamapādabhāṭṭadīpikāvyākhyānamapyupalabhyate, tatra svatantraṃ	praTama-pAda-BAwwa-dIpikA-vyAKyAnam-api-upalaByate, tatra svatantram
   kenacanānyena kalpitā bhāṭṭadīpikaiva sā na khaṇḍadevācāryakṛtā seti	kenacana-anyena kalpitA BAwwadIpikA-eva sA na KaNxadeva-AcArya-kRtA sA-iti
   bahavo manyante /	bahavaH manyante /
   kalkattānagaramudrāpitabhāṭṭadīpikāpustake dvitīyapādata evārambho 'pi	kalkattA-nagara-mudrA-pita-BAwwa-dIpikA-pustake dvitIya-pAdataH eva-AramBaH api
   teṣāṃ matamupodbalayati /	tezAm matam-upodbalayati /
   mantrādhikaraṇaṃ niyamaparisaṃkhyādividhilakṣaṇādigranthoḥyaḥ	mantra-aDikaraNam niyama-parisaMKya-Adi-viDi-lakzaNa-Adi-granToHyaH
   kalkattānagaramudrāpitabhāṭṭadīpikāpustake upalabhyate, sa mākiṃ	kalkattA-nagara-mudrA-pita-BAwwa-dIpikA-pustake upalaByate, sa mAkim
   ekapuṭaparimitaḥ prācīnatālapatramayeṣvapi asmābhirupalabdheṣu	eka-puwa-parimitaH prAcIna-tAla-patra-mayezu-api asmABiH-upalabDezu
   mantrādhikaraṇa evopalabhyamānaḥ prathamapāde samuddhṛtya kenāpi prakāśita	mantra-aDikaraNaH eva-upalaByamAnaH praTama-pAde samudDRtya kena-api prakASita
   iti te varṇayanti /	iti te varNayanti /
   tatra kiṃ prathamapādātsamuddhṛtya mantrādhikaraṇe ghaṭanaṃ, uta	tatra kim praTama-pAdAt-samudDRtya mantra-aDikaraNe Gawanan, uta
   mantrādhikaraṇāt prathame pāde iti śaṅkā tu mantrādhikaraṇa eva	mantra-aDikaraNAt praTame pAde iti SaFkA tu mantra-aDikaraNaH eva
   pūrvatanānāṃ khaṇḍadevācāryapriyāntevāsināṃ śaṃbhubhaṭṭānāṃ teṣāṃ	pUrvatanAnAm KaNxa-deva-AcArya-priya-antevAsinAm SaMBu-BawwAnAm tezAm
   vivaraṇaṃ dṛśyate iti nātrāvasaraṃ labhate /	vivaraNam dRSyate iti na-atra-avasaram laBate /
   anyāni ca yāni dvitīyapādata ārabhyaiva khaṇḍadevācāryaiḥ bhāṭṭadīpikā	anyAni ca yAni dvitIya-pAdataH AraBya-eva KaNxa-deva-AcAryEH BAwwa-dIpikA
   viracitā, prathamapādasya tu tatastataḥ khaṇḍadevācāryavākyagrahaṇena	viracitA, praTama-pAdasya tu tatas-tatas KaNxadeva-AcArya-vAkya-grahaNena
   svatantrameva kasyakasyāpi vākyasya racanayā ca kenāpyadhunātanena	svatantram-eva kasyakasya-api vAkyasya racanayA ca kena-api-aDunAtanena
   pūrvatanena vā kalpitānyaiveyaṃ maisūranagaramudrāpitā	pUrvatanena vA kalpitAni-Eva-iyam mEsUra-nagara-mudrA-pitA
   prathamapādabhāṭṭadīpiketyatra nimittāni teṣāmabhimatāni, tāni asyaiva	praTama-pAda-BAwwa-dIpikA-iti-atra nimittAni tezAm-aBimata-ani, tAni asya-eva
   pustakasya prakāśayiṣyamāṇasya bhūmikāyāṃ sūcayiṣyāma iti	pustakasya prakASayizyamANasya BUmikAyAm sUcayizyAmaH iti
   vistarabhayāduparamyate /	vistara-BayAt-uparamyate /
   <B2> (adhyayanānantaryavivakṣāyā gurukulanivṛttimātrabādhaphalakatvam)	<B2> (aDyayana-anantaryavivakzAyAH guru-kula-nivRtti-mAtra-bADa-Palaka-tvam)
   tataśrca sāṅgavedādhyanena	tatas-rca sAFga-veda-aDyanena
   vicāraśāstrādhyayanapūrvakānuṣṭhānopayogidharmādharmaparicchedarūpapadārthajñānaphalaṃ	vicAra-SAstra-aDyayana-pUrvaka-anuzWAna-upayogi-Darma-aDarma-paricCeda-rUpa-padArTa-jQAna-Palam
   sādhyedityarthakādhyayanavidheḥ kḷptadṛṣṭārthatvanirvāhāya	sADyet-iti-arTaka-aDyayana-viDeH k?pta-dRzwa-arTa-tva-nirvAhAya
   adhdhnāvyavadhānarūpānarntayamapi vicārasya siddhyati /	aDDna-avyavaDAna-rUpAnarntayam-api vicArasya sidDyati /
   etatparyantamapi tātparyakalpanāyāḥ "adhītya snāyādi" ti smṛtibādhaḥ	etat-paryantam-api tAtparya-kalpanAyAH "aDItya snAya-Adi" ti smRti-bADaH
   phalam, itarathā adhyayanānantaraṃ samāvartanamātrānuṣṭhāne	Palam, itaraTAH aDyayana-anantaram samAvartana-mAtra-anuzWAne
   'dhyayanavidhibodhitādhyayanasyādṛṣṭārthatvāpatteḥ /	aDyayana-viDi-boDita-aDyayanasya-adRzwa-arTa-tva-ApatteH /
   yadyapi vā	yadi-api vA
   snānaniyatanivṛttirūpasnānopalakṣitasakabrahmacāridharmanivṛtteradhyayanānantarye	snAna-niyata-nivRtti-rUpa-snAna-upalakzita-sakabrahmacAri-Darma-nivRtteH-aDyayana-Anantarye
   smṛtyā pratipādyate ; tathāpi gurukulanivṛttyaṃśa eva tadbādhaḥ, tasyaiva	smRtyA pratipAdyate ; taTA-api guru-kula-nivRtti-aMSaH eva tad-bADaH, tasya-eva
   vicāravirodhitvāt /	vicAra-viroDi-tvAt /
   taduktaṃ vārtike - "snānopalakṣitā chātranivṛttirguruveśmanaḥ /	tat-uktam vArtike  "snAna-upalakzitA CAtra-nivRttiH-guru-veSmanaH /
   virodhitvena bādhyeta natu madhvādibhakṣaṇam //	viroDi-tvena bADyeta na-tu maDu-Adi-BakzaNam //
   tasmādgurukul.e tiṣṭhenmadhumāṃsādyavarjayan /	tasmAt-guru-kul.e tizWet-maDu-mAMsa-Adi-avarjayan /
   jijñāsetāviruddhatvāddharmamityavagamyate" iti //	jijQAseta-avirudDa-tvAt-Darmam-iti-avagamyate" iti //
   (adhyayanānantaraṃ samāvartanopapādanam tatra prayogakārāṇāṃ	(aDyayana-anantaram samAvartana-upapAdanam tatra prayoga-kArANAm
   vicārānantarameva samāvartanamiti siddhāntakhaṇḍanaṃ ca)	vicAra-anantaram-eva samAvartanam-iti sidDAnta-KaNxanam ca)
   tathāca sāṅgavedādhyayanānantaramapi gurukulaṃ	taTA-ca sa-aFga-veda-aDyayana-anantaram-api guru-kulam
   vasataivetarabrahmacāridharmanivṛttirūpasamāvartane kṛte 'pi	vasatA-eva-itara-brahmacAri-Darma-nivRtti-rUpa-samAvartane kRte api
   dharmādharmarūpavicāraśāstrādhyayanaṃ kāryam, natu gurukulavāsasyāpi	Darma-aDarma-rUpa-vicAra-SAstra-aDyayanam kAryam, na-tu guru-kula-vAsasya-api
   nivṛttyādhyayanānantaraṃ sarvatyāga ityarthe 'viruddhe sati	nivRttya-aDyayana-anantaram sarva-tyAgaH iti-arTe avirudDe sati
   yatprayogakārakṛtā- "adhītya snāyādi" ti smṛtiradhyayanavidheḥ	yad-prayoga-kAra-kRtA "aDItya snAya-Adi" ti smRtiH-aDyayana-viDeH
   dṛṣṭārthāvabodhaphalakatve saṃbhavati svargakalpanānupapatteḥ samāvartane	dRzwa-arTa-avaboDa-Palaka-tve saMBavati svarga-kalpanA-anupapatteH samAvartane
   adhyayananānantaryakramasya vidhātumaśakyatvādadhyayane	aDyayanana-Anantarya-kramasya viDAtum-aSakyatvAt-aDyayane
   snānnapūrvakālamātreṇopapannā ; itarathā "vedamanūcyācāryo	snAnna-pUrva-kAla-mAtreNa-upapannAH ; itaraTAH "vedam-anUcya-AcAryaH-
   'ntevāsinamanuśāsti" ityādinā 'tathā teṣu vartethāḥ' ityantena granthena	antevAsinam-anuSAsti" ityAdinA ataTA tezu varteTAH-a iti-antena granTena
   taittirīye vedādhyayanānte vedārthetikartavyatopadeśānupapatteḥ /	tEttirIye veda-aDyayana-ante veda-arTa-iti-kartavyatA-upadeSa-anupapatteH /
   ato 'dhyayanānantaraṃ dharmajijñāsaivocitā na snānam - ityuktam,	atas aDyayana-anantaram Darma-jijQAsA-eva-ucitAH na snAnam  iti-uktam,
   tadapāstam ; samāvartanānantarameva kriyamāṇasya śāstravicārasya adyāvadhi	tad-apAstam ; samAvartana-anantaram-eva kriyamANasya SAstra-vicArasya adya-avaDi
   śiṣṭasaṃpradāyasiddhasyāpalāpaprasaṅgāt,	Sizwa-saMpradAya-sidDasya-apalApa-prasaFgAt,
   upanayanādhyayanabrahmacaryādiniyamavidhibalādevādhyayanasya	upanayana-aDyayana-brahmacarya-Adi-niyama-viDi-balAt-eva-aDyayanasya
   snānapūrvakālatvasiddhau sarvabrahmacāridharmāṇāṃ madhye	snAna-pUrva-kAla-tva-sidDO sarva-brahmacAri-DarmANAm maDye
   adhyayanarūpakarmānantaryasya samāvartane kathamapyaprāptasya	aDyayana-rUpa-karma-Anantaryasya samAvartane kaTam-api-aprAptasya
   vidhānābhāvena 'adhītya snāyāditi' smṛtivaiyarthyaprasaṅgācca,	viDAna-aBAvena aaDItya snAyAt-iti-a smRti-vEyarTya-prasaFgAt-ca,
   adhyayanavidhidṛṣṭārthatvānurodhena kalpyamānasyādhyayanadharmavicārayoḥ	aDyayana-viDi-dRzwa-arTa-tva-anuroDena kalpyamAnasya-aDyayana-Darma-vicArayoH
   parasparānantaryasya vedādhyayanasamāptidina eva samāvartanānantaraṃ	paraspara-Anantaryasya veda-aDyayana-samApti-dinaH eva samAvartana-anantaram
   śāstrārambhe 'pi dṛṣṭārthatvāhanirupapannatvenādhyayanasnānayoḥ kramabādhe	SAstra-AramBe api dRzwa-arTa-tva-aha-niH-upapanna-tvena-aDyayana-snAnayoH krama-bADe
   pramāṇābhāvācca, tavāpi vedādhyayanasamāptyanantaraṃ viśiṣṭagurvādyalābhe	pramANa-aBAvAt-ca, tava-api veda-aDyayana-samApti-anantaram viSizwa-guru-Adi-alABe
   vyavadhānasaṃbhavādāvaśyakagaṇapatyādipūjanenāvyavadhāne	vyavaDAna-saMBavAt-AvaSyaka-gaNapatyAdi-pUjanena-avyavaDAne
   bādhasyāvaśyakatvenāvyavahitatvā- aṃśatyāgenānantaryamātrabodhasyaiva	bADasi-AvaSyaka-tvena-avyavahita-tvA aMSa-tyAgena-Anantarya-mAtra-boDasya-eva
   viruddhavyāpārāntaranivṛttitātparyakatayā	virudDa-vyApAra-antara-nivRtti-tAt-paryaka-tayA
   varṇanīyatvenāviruddhasamāvartanānuṣṭhāne tadbādhābhāvāt, pratyuta	varNa-nIya-tvena-avirudDa-samAvartana-anuzWAne tad-bADa-aBAvAt, pratyuta
   bhikṣācaryādervicāravirodhitvena tannivṛttestadupakārakatvācca /	BikzA-caryA-AdeH-vicAra-viroDi-tvena tad-nivRtteH-tad-upakAraka-tvAt-ca /
   ataeva bādhakasatve	ataeva bADaka-satve
   'vyavahitatvāṃśatyāgenādhyayanahetutvāsaṃbhavamabhipretyāthaśabdabalādeva	avyavahita-tva-aMSa-tyAgena-aDyayana-hetutva-asaMBavam-aBipretya-aTa-Sabda-balAt-eva
   snānavidhibādhaḥ prakāśakāraiḥ śrutipadādyadhikaraṇe sādhitaḥ /	snAna-viDi-bADaH prakASa-kArEH Sruti-pada-Adi-aDikaraNe sADitaH /
   tasmāt yena	tasmAt yena
   vinādhyayanavidhervicāretikartavyatākārthajñānarūpadṛṣṭaphalahānistāvanmātrameva	vinA-aDyayana-viDeH-vicAra-iti-kartavya-tAkA-arTa-jQAna-rUpa-dRzwa-Pala-hAniH-tAvat-mAtram-eva
   snānavidhyuktaṃ bādhanīyam /	snAna-viDi-uktam bADanIyam /
   tacca gurukulavāsanivṛttirūpaṃ vicāravirodhīti tadevādhyayanānantarye	tat-ca guru-kula-vAsa-nivRtti-rUpam vicAra-viroDi-iti tat-eva-aDyayana-Anantarye
   vidadhatā vidhinā bādhyate, natu tadatiriktaṃ vidhinā vihitaṃ	vidaDatA viDinA bADyate, na-tu tat-atiriktam viDinA vihitam
   padārthatayā'camanādivat prabalaṃ snānamātramapītyeva kalpanaṃ	padArTa-tayA-acamana-Adi-vat prabalam snAna-mAtram-api-iti-eva kalpanam
   nirastadoṣaṃ sādhu /	nirasta-dozam sADu /
   tamimamadhyayanavidhinā śrutyarthābhyāṃ siddhamarthe mūlīkṛtyaiva	tam-imam-aDyayana-viDinA Sruti-arTAByAm sidDam-arTe mUlIkRtya-eva
   maharṣiṇā 'athāto dharmajijñāsā' iti sūtreṇārabdhaṃ śāstram //	mahA-RziNA aaTa-atas Darma-jijQAsA-a iti sUtreNa-ArabDam SAstram //
   (jijñāsāsūtrārthavarṇanam) sūtrārthastu - atha sāṅgavedādhyayanānantaram /	(jijQAsA-sUtra-arTa-varNa-nam) sUtra-arTaH-tu  aTa sa-aFga-veda-aDyayana-anantaram /
   yatastanmātreṇa vicāramantarā tatphalamanuṣṭhānopayogiparicchedarūpaṃ	yatas-tanmAtreNa vicAram-antarA tad-Palam-anuzWAna-upayogi-paricCeda-rUpam
   dharmādharmarūpārthajñānaṃ na jāyate, ataḥ	Darma-aDarma-rUpa-arTa-jQAnam na jAyate, atas-
   adhyayanasyārthajñānarūpadṛṣṭaprayojanakatvāddhetoḥ	aDyayanasya-arTa-jQAna-rUpa-dRzwa-prayojanaka-tvAt-hetoH
   tādṛśadharmādharmajñānecchajña kartavyā, icchāviṣayastādṛśajñānaṃ	tAdRSa-Darma-aDarma-jQAna-icCa-jQa kartavyA, icCA-vizayaH-tAdRSa-jQAnam
   kartavyamiti yāvat /	kartavyam-iti yAvat /
   vicāraṃ cāntareṇa tatkartavyatānupapatteḥ pramāṇasvarūpasādhanaphalaiḥ	vicAram ca-antareNa tad-kartavyatA-anupapatteH pramANa-svarUpa-sADana-PalEH
   tadvicāraḥ kartavya ityartha iti //	tad-vicAraH kartavyaH iti-arTaH iti //
   (dharmāya jijñāseti tādarthyavivakṣāprayojananirūpaṇena	(DarmAya jijQAsA-iti tAdarTya-vivakzA-prayojana-nirUpaNena
   dharmajijñāsetyatra ṣaṣṭhīsamāsapratiṣṭhāpanam) atraca dharmajijñāseti	Darma-jijQAsA-iti-atra zazWI-samAsa-pratizWApanam) atra-ca Darma-jijQAsA-iti
   pade dharmāya jijñāseti tādarthyākhyasaṃbandhaviśeṣaparatayā ṣaṣṭhī	pade DarmAya jijQAsA-iti tAdarTyAKya-saMbanDa-viSeza-para-tayA zazWI
   vyākhyātā bhāṣyakārādibhiḥ /	vyAKyAtAH BAzya-kAra-AdiBiH /
   tatra viṣayitvārthakaṣaṣṭhīparatāṃ vihāya tādarthyaparatvavyākhyāne	tatra vizayitvA-arTa-ka-zazWI-para-tAm vihAya tAdarTya-paratva-vyAKyAne
   prayojanaṃ vicārasya dharmānuṣṭhānopayogitvajñāpanameva /	prayojanam vicArasya Darma-anuzWAna-upayogi-tva-jQApanam-eva /
   tathāca dharmānuṣṭhānāyāyaṃ vicāraḥ kartavya iti cārthikam, natu	taTA-ca Darma-anuzWAnAya-ayam vicAraH kartavyaH iti ca-arTikam, na-tu
   tādarthyacaturthīsamāsapradarśanaparam ; vārtikakāramate	tAdarTya-caturTI-samAsa-pradarSana-param ; vArtikakAra-mate
   kadācidaśrvaghāsādipade iva tatsaṃbhave 'pi mahābhāṣyakāreṇa	kadAcid-aSru-a-GAsa-Adi-pade iva tad-saMBave api mahA-BAzya-kAreNa
   tanmatapratyākhyāne aśrvaghāsādiśabde 'pi ṣaṣṭhīsamāsāśrayaṇātṛ	tad-mata-pratyAKyAne aSru-aGAsa-Adi-Sabde api zazWI-samAsa-ASrayaNa-atR
   tadvadevehāpi tadaucityāt /	tadvat-eva-iha-api tad-OcityAt /
   ataeva - bhaṭṭapādaiḥ dharmāya jijñāseti bhāṣyakāravacanaṃ	ataeva  Bawwa-pAdEH DarmAya jijQAsA-iti BAzya-kAra-vacanam
   ṣaṣṭhīsamāsalabdhārthikārthapradarśanaparam, natu vigrahapradarśanaparam ;	zazWI-samAsa-labDa-arTikA-arTa-pradarSana-param, na-tu vigraha-pradarSana-param ;
   tasya jñātumicchediti nigamavākye ṣaṣṭhīsamāsavibhāvanāt iti - vyākhyātam	tasya jQAtum-icCet-iti nigama-vAkye zazWI-samAsa-viBAvanAt iti  vyAKyAtam
   ataḥ ṣaṣṭhīsamāsa eva yukta iti dhyeyam //	atas zazWI-samAsaH eva yuktaH iti Dyeyam //
   (jijñāsāpadārtha.ḥ) jijñāsāpade ca vicāralakṣaṇā /	(jijQAsA-padArTa.H) jijQAsA-pade ca vicAra-lakzaNAH /
   athavā - vicārakartavyatāyā arthādeva siddheḥ śrutipadādyadhikaraṇe	aTavA  vicAra-kartavyatAyAH arTAt-eva sidDeH Sruti-pada-Adi-aDikaraNe
   vārtikoktarītyā naiva lakṣaṇā, kintu yathāśrutaparameveti dhyeyam //	vArtikA-ukta-rItyA na-eva lakzaNA, kintu yaTASruta-param-eva-iti Dyeyam //
   (athaśabdaprayojanam) idaṃ ca sūtraṃ	(aTa-Sabda-prayojanam) idam ca sUtram
   adhyayanavidhyarthasiddhādhyayanānantarye vicāre athaśabdena bodhyat tasya	aDyayana-viDi-arTa-sidDa-aDyayana-Anantarye vicAre aTa-Sabdena boDyat tasya
   śrautakramasidyartham ; yatra hi pāṭhādeva	SrOta-krama-sidi-arTam ; yatra hi pAWAt-eva
   hṛdayādyavadānānāmānantaryakramasiddhiḥ, tatrāthaśabdasyānuvādyatve 'pi	hRdaya-Adi-avadAnAnAm-Anantarya-krama-sidDiH, tatra-aTa-Sabdasya-anuvAdya-tve api
   pramāṇāntarāvadhṛtayoḥ padārthayorvidhinā vidhānābhāve	pramANa-antara-avaDRtayoH padArTayoH-viDinA viDAna-aBAve
   'thaśabdasyānantaryarūpakramavidhāyatavena prakṛte 'pi	aTa-Sabdasya-anantarya-rUpa-krama-viDAyatavena prakRte api
   svādhyāyavidhinādhyayanasya vicārasya ca karmānuṣṭhānopayogitvena	svADyAya-viDinA-aDyayanasya vicArasya ca karma-anuzWAna-upayogi-tvena
   prāptatvāt sūtrasthāthaśabdena kramamātravidhiparatvapratīteḥ /	prApta-tvAt sUtrasTATa-Sabdena krama-mAtra-viDi-paratva-pratIteH /
   sūcitaṃ cedaṃ pañcame vārtikatantraratrayoḥ //	sUcitam ca-idam paQcame vArtika-tantra-ratrayoH //
   (keṣāñcinmatena vedārtho dharmapadārtha iti vivecanena smṛtyādivicārasyāpi	(kezAQcit-matena veda-arTaH Darma-padArTaH iti vivecanena smRti-Adi-vicArasya-api
   pratijñāviṣayatvopapādanam) atra ca - vedārthajñānārthameva	pratijQA-vizaya-tva-upapAdanam) atra ca  veda-arTa-jQAna-arTam-eva
   vedādhyayanānantaraṃ vicārakartavyatokteḥ vedārthatvenaiva vedārtho	veda-aDyayana-anantaram vicAra-kartavyatA-ukteH veda-arTa-tvena-eva veda-arTaH-
   jijñāsyaḥ, natu dharmatvena, sūtrasthaṃ dharmapadaṃ vedārthamātraparamiti	jijQAsyaH, na-tu Darma-tvena, sUtra-sTam Darma-padam veda-arTa-mAtra-param-iti
   - kecidāhuḥ //	 kecid-AhuH //
   naca - asmin mate vedādhyayanasya vedārthavicārahetutve 'pi na	na-ca  asmin mate veda-aDyayanasya veda-arTa-vicAra-hetu-tve api na
   smṛtyādyarthavicārahetutvaṃ yathā, tathā	smRti-Adi-arTa-vicAra-hetu-tvam yaTA, taTA
   svādhyāyapadopāttaikaśākhadhyayanasyāpi na śākhāntarārthavicārahetutvaṃ	svADyAya-pada-upAtta-eka-SAKaDyayanasya-api na SAKA-antara-arTa-vicAra-hetu-tvam
   saṃbhavatīti kathamadhyayanasya kṛtsnavedārthavicārahetutvam ? iti -	saMBavati-iti kaTam-aDyayanasya kRtsna-veda-arTa-vicAra-hetu-tvam ? iti -
   vācyam ;	vAcyam ;
   adhyayanavidhervicārākṣepakatvavadekaśākhāprayogavidhyarthanirṇayasya	aDyayana-viDeH-vicAra-Akzepakatva-vat-eka-SAKA-prayoga-viDi-arTa-nirNayasya
