   Pātañjalayogaśāstram	PAtaQjala-yoga-SAstram
        anumeyasya tulyajātīyeṣv anuvṛtto bhinnajātīyebhyo vyāvṛttaḥ	anumeyasya tulya-jAtIyezu anuvRttaH Binna-jAtIyeByaH vyAvRttaH
   saṃbandho yas tadviṣayā sāmānyāvadhāraṇapradhānā vṛttir anumānam. yathā	saMbanDaH yaH tad-vizayA sAmAnya-avaDAraNa-praDAnA vRttiH anumAnam. yaTA
   deśāntaraprāpter gatimac candratārakaṃ caitravat, vindhyaś cāprāptir	deSa-antara-prApteH gatimat candra-tArakam cEtravat, vinDyaH ca-aprAptiH-
   agatiḥ. āptena dṛṣṭo 'numito vārthaḥ paratra svabodhasaṃkrāntaye	agatiH. Aptena dRzwaH anumitaH vA-arTaH paratra sva-boDa-saMkrAntaye
   śabdenopadiśyate, śabdāt tadarthaviṣayā vṛttiḥ śrotur āgamaḥ.	Sabdena-upadiSyate, SabdAt tad-arTa-vizayA vRttiH SrotuH AgamaH.
   yasyāśraddheyārtho vaktā na dṛṣṭānumitārthaḥ sa āgamaḥ plavate.	yasya-aSradDeya-arTaH vaktA na dRzwa-anumita-arTaH saH AgamaH plavate.
   mūlavaktari tu dṛṣṭānumitārthe nirviplavaḥ syāt. 1.7	mUla-vaktari tu dRzwa-anumita-arTe nirviplavaH syAt. 1.7
   viparyayo mithyājñānam atadrūpapratiṣṭham || YS_1.8 ||	viparyayaH miTyAjQAnam atad-rUpa-pratizWam || YH-_1.8 ||
        sa kasmān na pramāṇam. yataḥ pramāṇena bādhyate. bhūtārthaviṣayatvāt	sa kasmAt na pramANam. yatas pramANena bADyate. BUta-arTa-vizaya-tvAt
   pramāṇasya. tatra pramāṇena bādhanam apramāṇasya dṛṣṭam. tadyathā	pramANasya. tatra pramANena bADanam apramANasya dRzwam. tat-yaTA
   dvicandradarśanaṃ sadviṣayeṇaikacandradarśanena bādhyata iti. seyaṃ	dvi-candra-darSanam sat-vizayeNa-eka-candra-darSanena bADyate iti. sA-iyam
   pañcaparvā bhavaty avidyā. avidyāsmitārāgadveṣābhiniveśāḥ kleśā iti. eta	paQca-parvA Bavati avidyA. avidyA-smitA-rAga-dveza-aBiniveSAH kleSAH iti. eta
   eva svasaṃjñābhis tamo moho mahāmohas tāmisro 'ndhatāmisra iti. ete	eva sva-saMjQABiH tamaH mohaH mahAmohaH tAmisraH anDatAmisraH iti. ete
   cittamalaprasaṅgenābhidhāsyante. 1.8	citta-mala-prasaFgena-aBiDAsyante. 1.8
   śabdajñānānupātī vastuśūnyo vikalpaḥ || YS_1.9 ||	Sabda-jQAna-anupAtI vastu-SUnyaH vikalpaH || YH-_1.9 ||
        sa na pramāṇopārohī. na viparyayopārohī ca. vastuśūnyatve 'pi	sa na pramANa-upArohI. na viparyaya-upArohI ca. vastu-SUnya-tve api
   śabdajñānamāhātmyanibandhano vyavahāro dṛśyate. tad yathā caitanyaṃ	Sabda-jQAna-mAhAtmya-nibanDanaH vyavahAraH dRSyate. tat yaTA cEtanyam
   puruṣasya svarūpam iti. yadā citir eva puruṣas tadā kim atra kena	puruzasya sva-rUpam iti. yadA citiH eva puruzaH tadA kim atra kena
   vyapadiśyate.	vyapadiSyate.
        bhavati ca vyapadeśe vṛttiḥ. yathā caitrasya gaur iti. tathā	Bavati ca vyapadeSe vRttiH. yaTA cEtrasya gOH iti. taTA
   pratiṣiddhavastudharmo niṣkriyaḥ puruṣaḥ, tiṣṭhati bāṇaḥ sthāsyati sthita	pratizidDa-vastu-DarmaH nizkriyaH puruzaH, tizWati bANaH sTAsyati sTita
   iti. gatinivṛttau dhātvarthamātraṃ gamyate. tathānutpattidharmā puruṣa	iti. gati-nivRttO DAtu-arTa-mAtram gamyate. taTA-anutpatti-DarmA puruza
   iti, utpattidharmasyābhāvamātram avagamyate na puruṣānvayī dharmaḥ. tasmād	iti, utpatti-Darmasya-aBAva-mAtram avagamyate na puruza-anvayI DarmaH. tasmAt-
   vikalpitaḥ sa dharmas tena cāsti vyavahāra iti. 1.9	vikalpitaH sa DarmaH tena ca-asti vyavahAraH iti. 1.9
   abhāvapratyayālambanā vṛttir nidrā || YS_1.10 ||	aBAva-pratyaya-AlambanA vRttiH nidrA || YH-_1.10 ||
        sā ca saṃprabodhe pratyavamarśāt pratyayaviśeṣaḥ. katham, sukham aham	sA ca saMpraboDe pratyavamarSAt pratyaya-viSezaH. kaTam, suKam aham
   asvāpsam. prasannaṃ me manaḥ. prajñāṃ me viśāradīkaroti. duḥkham aham	asvApsam. prasannam me manaH. prajQAm me viSAradIkaroti. duHKam aham
   asvāpsam. styānaṃ me mano bhramaty anavasthitam gāḍhaṃ mūḍho 'ham	asvApsam. styAnam me manaH Bramati anavasTitam gAXam mUXaH aham
   asvāpsam. gurūṇi me gātrāṇi. klāntaṃ me cittam. alasaṃ muṣitam iva	asvApsam. gurUNi me gAtrANi. klAntam me cittam. alasam muzitam iva
   tiṣṭhatīti. sa khalv ayaṃ prabuddhasya pratyavamarśo na syād asati	tizWati-iti. sa Kalu ayam prabudDasya pratyavamarSaH na syAt asati
   pratyayānubhave tadāśritāḥ smṛtayś ca tadviṣayā na syuḥ. tasmāt	pratyaya-anuBave tad-ASritAH smRtayH ca tad-vizayAH na syuH. tasmAt-
   pratyayaviśeṣo nidrā. sā ca samādhāv itarapratyayavan niroddhavyeti. 1.10	pratyaya-viSezaH nidrA. sA ca samADO itara-pratyaya-vat nirodDa-vyA-iti. 1.10
   anubhūtaviṣayāsaṃpramoṣaḥ smṛtiḥ || YS_1.11 ||	anuBUta-vizaya-asaMpramozaH smRtiH || YH-_1.11 ||
        kiṃ pratyayasya cittaṃ smaraty āhosvid viṣayasyeti. grāhyoparaktaḥ	kim pratyayasya cittam smarati Ahosvit vizayasya-iti. grAhya-uparaktaH
   pratyayo grāhyagrahaṇobhayākāranirbhāsas tajjātīyakaṃ saṃskāram ārabhate.	pratyayaH grAhya-grahaNa-uBaya-AkAra-nirBAsaH tad-jAtIyakam saMskAram AraBate.
   sa saṃskāraḥ svavyañjakāñjanas tadākārām eva grāhyagrahaṇobhayātmikāṃ	sa saMskAraH sva-vyaQjaka-aQjanaH tad-AkArAm eva grAhya-grahaNa-uBaya-AtmikAm
   smṛtiṃ janayati.	smRtim janayati.
        tatra grahaṇākārapūrvā buddhiḥ. grāhyākārapūrvā smṛtiḥ. sā ca dvayī	tatra grahaNa-AkAra-pUrvA budDiH. grAhya-AkAra-pUrvA smRtiH. sA ca dvayI
   --- bhāvitasmartavyā cābhāvitasmartavyā ca. svapne bhāvitasmartavyā.	-- BAvita-smartavyA ca-aBAvita-smartavyA ca. svapne BAvita-smartavyA.
   jāgratsamaye tv abhāvitasmartavyeti. sarvāḥ smṛtayaḥ	jAgrat-samaye tu aBAvita-smartavyA-iti. sarvAH smRtayaH
   pramāṇaviparyayavikalpanidrāsmṛtīnām anubhavāt prabhavanti. sarvāś caitā	pramANa-viparyaya-vikalpa-nidrA-smRtInAm anuBavAt praBavanti. sarvAH ca-etAH-
   vṛttayaḥ sukhaduḥkhamohātmikāḥ. sukhaduḥkhamohāś ca kleśeṣu vyākhyeyāḥ.	vRttayaH suKa-duHKa-moha-AtmikAH. suKa-duHKa-mohAH ca kleSezu vyAKyeyAH.
   sukhānuśayī rāgaḥ. duḥkhānuśayī dveṣaḥ. mohaḥ punar avidyeti. etāḥ sarvā	suKa-anuSayI rAgaH. duHKa-anuSayI dvezaH. mohaH punar avidyA-iti. etAH sarvA
   vṛttayo niroddhavyāḥ. āsāṃ nirodhe saṃprajñāto vā samādhir bhavaty	vRttayaH nirodDavyAH. AsAm niroDe saMprajQAtaH vA samADiH Bavati-
   asaṃprajñāto veti. 1.11	asaMprajQAtaH veti. 1.11
   athāsāṃ nirodhe ka upāya iti ---	aTa-AsAm niroDe kaH upAyaH iti ---
        abhyāsavairāgyābhyāṃ tannirodhaḥ || YS_1.12 ||	aByAsa-vErAgyAByAm tad-niroDaH || YH-_1.12 ||
   cittanadī nāmobhayatovāhinī vahati kalyāṇāya vahati pāpāya ca. yā tu	citta-nadI nAma-uBayatas-vAhinI vahati kalyANAya vahati pApAya ca. yA tu
   kaivalyaprāgbhārā vivekaviṣayanimnā sā kalyāṇavahā.	kEvalya-prAgBArA viveka-vizaya-nimnA sA kalyANa-vahA.
   saṃsāraprāgbhārāvivekaviṣayaniṃnā pāpavahā. tatra vairāgyeṇa viṣayasrotaḥ	saMsAra-prAgBArA-viveka-vizaya-niMnA pApa-vahA. tatra vErAgyeNa vizaya-srotaH
   khilīkriyate. vivekadarśanābhyāsena vivekasrota udghāṭyata ity	KilIkriyate. viveka-darSana-aByAsena viveka-srotaH udGAwyate iti-
   ubhayādhīnaś cittavṛttinirodhaḥ. 1.12	uBaya-aDInaH citta-vRtti-niroDaH. 1.12
   tatra sthitau yatno 'bhyāsaḥ || YS_1.13 ||	tatra sTitO yatnaH aByAsaH || YH-_1.13 ||
        cittasyāvṛttikasya praśāntavāhitā sthitiḥ. tadarthaḥ prayatno vīryam	cittasya-avRttikasya praSAnta-vAhi-tA sTitiH. tad-arTaH prayatnaH vIryam
   utsāhaḥ. tat saṃpipādayiṣayā tat sādhanānuṣṭhānam abhyāsaḥ. 1.13	utsAhaH. tat saMpipAdayizayA tat sADana-anuzWAnam aByAsaH. 1.13
   sa tu dīrghakālanairantaryasatkārāsevito dṛḍhabhūmiḥ || YS_1.14 ||	sa tu dIrGa-kAla-nErantarya-satkAra-AsevitaH dRXa-BUmiH || YH-_1.14 ||
        dīrghakālāsevito nirantarāsevitaḥ satkārāsevitaḥ. tapasā	dIrGa-kAla-AsevitaH nirantara-AsevitaH satkAra-AsevitaH. tapasA
   brahmacaryeṇa vidyayā śraddhayā ca saṃpāditaḥ satkāravān dṛḍhabhūmir	brahmacaryeNa vidyayA SradDayA ca saMpAditaH satkAravAn dRXa-BUmiH-
   bhavati. vyutthānasaṃskāreṇa drāg ity evānabhibhūtaviṣaya ity arthaḥ. 1.14	Bavati. vyutTAna-saMskAreNa drAk iti eva-anaBiBUta-vizayaH iti arTaH. 1.14
   dṛṣṭānuśravikaviṣayavitṛṣṇasya vaśīkārasaṃjñā vairāgyam || YS_1.15 ||	dRzwa-AnuSravika-vizaya-vitRzNasya vaSIkAra-saMjQAH vErAgyam || YH-_1.15 ||
        striyo 'nnapānam aiśvaryam iti dṛṣṭaviṣaye vitṛṣṇasya	striyaH anna-pAnam ESvaryam iti dRzwa-vizaye vitRzNasya
   svargavaidehyaprakṛtilayatvaprāptāv ānuśravikaviṣaye vitṛṣṇasya	svarga-vEdehya-prakRti-laya-tva-prAptO AnuSravika-vizaye vitRzNasya
   divyādivyaviṣayasaṃprayoge 'pi cittasya viṣayadoṣadarśinaḥ	divya-Adivya-vizaya-saMprayoge api cittasya vizaya-doza-darSinaH
   prasaṃkhyānabalād anābhogātmikā heyopādeyaśūnyā vaśīkārasaṃjñā vairāgyam.	prasaMKyAna-balAt anABoga-AtmikA heya-upAdeya-SUnyAH vaSIkAra-saMjQA vErAgyam.
   tat paraṃ puruṣakhyāter guṇavaitṛṣṇyam || YS_1.16 ||	tat param puruza-KyAteH guNa-vEtRzNyam || YH-_1.16 ||
        dṛṣṭānuśravikaviṣayadoṣadarśī viraktaḥ puruṣadarśanābhyāsāt	dRzwa-AnuSravika-vizaya-doza-darSI viraktaH puruza-darSana-aByAsAt
   tacchuddhipravivekāpyāyitabuddhir guṇebhyo vyaktāvyaktadharmakebhyo	tad-SudDi-praviveka-ApyAyita-budDiH guNeByaH vyakta-avyakta-DarmakeByaH-
   virakta iti. tad dvayaṃ vairāgyam. tatra yad uttaraṃ taj	viraktaH iti. tat dvayam vErAgyam. tatra yat uttaram tad-
   jñānaprasādamātram. yasyodaye sati yogī pratyuditakhyātir evaṃ manyate ---	jQAna-prasAda-mAtram. yasya-udaye sati yogI pratyudita-KyAtiH evam manyate ---
   prāptaṃ prāpaṇīyaṃ, kṣīṇāḥ kṣetavyāḥ kleśāḥ, chinnaḥ śliṣṭaparvā	prAptam prApaNIyaM, kzINAH kzetavyAH kleSAH, CinnaH Slizwa-parvA
   bhavasaṃkramaḥ, yasyāvicchedāj janitvā mriyate mṛtvā ca jāyata iti.	Bava-saMkramaH, yasya-avicCedAt janitvA mriyate mRtvA ca jAyate iti.
   jñānasyaiva parā kāṣṭhā vairāgyam. etasyaiva hi nāntarīyakaṃ kaivalyam	jQAnasya-eva parA kAzWA vErAgyam. etasya-eva hi na-AntarIyakam kEvalyam
   iti. 1.16	iti. 1.16
   athopāyadvayena niruddhacittavṛtteḥ katham ucyate saṃprajñātaḥ samādhir	aTa-upAya-dvayena nirudDa-citta-vRtteH kaTam ucyate saMprajQAtaH samADiH-
   iti ---	iti ---
        vitarkavicārānandāsmitārūpānugamāt saṃprajñātaḥ || YS_1.17 ||	vitarka-vicAra-Ananda-asmitA-rUpa-anugamAt saMprajQAtaH || YH-_1.17 ||
   vitarkaś cittasyālambane sthūla ābhogaḥ. sūkṣmo vicāraḥ. ānando hlādaḥ.	vitarkaH cittasya-Alambane sTUlaH ABogaH. sUkzmaH vicAraH. AnandaH hlAdaH.
   ekātmikā saṃvid asmitā. tatra prathamaś catuṣṭayānugataḥ samādhiḥ	eka-AtmikA saMvid asmitA. tatra praTamaH catuzwaya-anugataH samADiH
   savitarkaḥ. dvitīyo vitarkavikalaḥ savicāraḥ. tṛtīyo vicāravikalaḥ	savitarkaH. dvitIyaH vitarka-vikalaH sa-vicAraH. tRtIyaH vicAra-vikalaH
   sānandaḥ. caturthas tadvikalo 'smitāmātra iti. sarva ete sālambanāḥ	sa-AnandaH. caturTaH tad-vikalaH asmitA-mAtraH iti. sarve ete sa-AlambanAH
   samādhayaḥ. 1.17	samADayaH. 1.17
   athāsaṃprajñātaḥ samādhiḥ kimupāyaḥ kiṃsvabhāvo veti ---	aTa-asaMprajQAtaH samADiH kim-upAyaH kiMsvaBAvaH vA-iti ---
        virāmapratyayābhyāsapūrvaḥ saṃskāraśeṣo 'nyaḥ || YS_1.18 ||	virAma-pratyaya-aByAsa-pUrvaH saMskAra-SezaH anyaH || YH-_1.18 ||
   sarvavṛttipratyastamaye saṃskāraśeṣo nirodhaś cittasya samādhir	sarva-vRtti-pratyasta-maye saMskAra-SezaH niroDaH cittasya samADiH-
   asaṃprajñātaḥ. tasya paraṃ vairāgyam upāyaḥ. sālambano hy abhyāsas	asaMprajQAtaH. tasya param vErAgyam upAyaH. sa-AlambanaH hi aByAsaH-
   tatsādhanāya na kalpata iti virāmapratyayo nirvastuka ālambanīkriyate. sa	tad-sADanAya na kalpate iti virAma-pratyayaH nirvastukaH AlambanIkriyate. sa
   cārthaśūnyaḥ. tadabhyāsapūrvakaṃ hi cittaṃ nirālambanam abhāvaprāptam iva	ca-arTa-SUnyaH. tad-aByAsa-pUrvakam hi cittam nirAlambanam aBAva-prAptam iva
   bhavatīty eṣa nirbījaḥ samādhir asaṃprajñātaḥ. 1.18	Bavati-iti eza nirbIjaH samADiH asaMprajQAtaH. 1.18
   sa khalv ayaṃ dvividhaḥ --- upāyapratyayo bhavapratyayaś ca.	sa Kalu ayam dviviDaH -- upAya-pratyayaH Bava-pratyayaH ca.
   tatropāyapratyayo yogināṃ bhavati ---	tatra-upAya-pratyayaH yoginAm Bavati ---
        bhavapratyayo videhaprakṛtilayānām || YS_1.19 ||	Bava-pratyayaH videha-prakRti-layAnAm || YH-_1.19 ||
   videhānāṃ devānāṃ bhavapratyayaḥ. te hi svasaṃskāramātropayogena cittena	videhAnAm devAnAm Bava-pratyayaH. te hi sva-saMskAra-mAtra-upayogena cittena
   kaivalyapadam ivānubhavantaḥ svasaṃskāravipākaṃ tathājātīyakam	kEvalya-padam iva-anuBavantaH sva-saMskAra-vipAkam taTAjAtIyakam
   ativāhayanti. tathā prakṛtilayāḥ sādhikāre cetasi prakṛtilīne	ativAhayanti. taTA prakRti-layAH sa-aDikAre cetasi prakRti-lIne
   kaivalyapadam ivānubhavanti, yāvan na punar āvartate 'dhikāravaśāc cittam	kEvalya-padam iva-anuBavanti, yAvat na punar Avartate aDikAra-vaSAt cittam
   iti. 1.19	iti. 1.19
   śraddhāvīryasmṛtisamādhiprajñāpūrvaka itareṣām || YS_1.20 ||	SradDA-vIrya-smRti-samADi-prajQA-pUrvakaH itarezAm || YH-_1.20 ||
        upāyapratyayo yogināṃ bhavati. śraddhā cetasaḥ saṃprasādaḥ. sā hi	upAya-pratyayaH yoginAm Bavati. SradDA cetasaH saMprasAdaH. sA hi
   jananīva kalyāṇī yoginaṃ pāti. tasya hi śraddadhānasya vivekārthino vīryam	jananI-iva kalyANI yoginam pAti. tasya hi SraddaDAnasya viveka-arTinaH vIryam
   upajāyate. samupajātavīryasya smṛtir upatiṣṭhate. smṛtyupasthāne ca cittam	upajAyate. samupajAta-vIryasya smRtiH upatizWate. smRti-upasTAne ca cittam
   anākulaṃ samādhīyate. samāhitacittasya prajñāviveka upāvartate. yena	anAkulam samADIyate. samAhita-cittasya prajQA-vivekaH upAvartate. yena
   yathārthaṃ vastu jānāti. tadabhyāsāt tattadviṣayāc ca vairāgyād	yaTArTam vastu jAnAti. tad-aByAsAt tad-tad-vizayAt ca vErAgyAt-
   asaṃprajñātaḥ samādhir bhavati. 1.20	asaMprajQAtaH samADiH Bavati. 1.20
   te khalu nava yogino mṛdumadhyādhimātropāyā bhavanti. tadyathā ---	te Kalu nava yoginaH mRdu-maDya-aDimAtra-upAyAH Bavanti. tat-yaTA ---
   mṛdūpāyo madhyopāyo 'dhimātropāya iti. tatra mṛdūpāyas trividhaḥ ---	mRdu-upAyaH maDya-upAyaH aDimAtra-upAyaH iti. tatra mRdu-upAyaH triviDaH ---
   mṛdusaṃvego madhyasaṃvegas tīvrasaṃvega iti. tathā madhyopāyas	mRdu-saMvegaH maDya-saMvegaH tIvra-saMvegaH iti. taTA maDya-upAya-s
   tathādhimātropāya iti. tatrādhimātropāyānām ---	taTA-aDimAtra-upAyaH iti. tatra-aDimAtra-upAyAnAm ---
        tīvrasaṃvegānām āsannaḥ || YS_1.21 ||	tIvra-saMvegAnAm AsannaH || YH-_1.21 ||
   samādhilābhaḥ samādhiphalaṃ ca bhavatīti. 1.21	samADi-lABaH samADi-Palam ca Bavati-iti. 1.21
   mṛdumadhyādhimātratvāt tato 'pi viśeṣaḥ || YS_1.22 ||	mRdu-maDya-aDimAtra-tvAt tatas api viSezaH || YH-_1.22 ||
        mṛdutīvro madhyatīvro 'dhimātratīvra iti. tato 'pi viśeṣaḥ.	mRdu-tIvraH maDya-tIvraH aDimAtra-tIvraH iti. tatas api viSezaH.
