   Ratnākaraśāntiviracitā	RatnAkara SAnti viracitA
   vyākriyate / yacca nītārthaṃ sūtraṃ tena hi [sphuṭābhiprāyeṇa] vyākhyānāt	vyAkriyate / yat ca nIta arTam sUtram tena hi [sPuwa aBiprAyeNa] vyAKyAnAt 
   / gāthā katamā? yatra [dvipadā tripadā catuṣpadā pañcapadā] ṣaṭpadā ca /	/ gATA katamA? yatra [dvipadA tripadA catuzpadA paQca padA] zawpadA ca /
   udānaṃ katamat? yaduddiśya bhāṣitam / sotpattiśikṣāprajñaptibhāṣitaṃ vā /	udAnam katamat? yat uddiSya BAzitam / sa utpatti SikzA prajQapti BAzitam vA /
   avadānaṃ katamat? sadṛṣṭāntakabhāṣitam / itivṛttakaṃ katamat?	avadAnam katamat? sa dRzwa antaka BAzitam / iti vRttakam katamat?
   pūrvayogapratisaṃyuktam / [jātakaṃ katamat? bodhisattvacaryāpratisaṃyuktam	pUrva yoga pratisaMyuktam / [jAtakam katamat? boDisattva caryA pratisaMyuktam
   / vaipulyaṃ katamat?] yadbodhisattvapiṭakapratisaṃyuktam /	/ vEpulyam katamat?] yat boDisattva piwaka pratisaMyuktam /
   sarvasattvahitasukhādhiṣṭhānatvāt / adbhūtā dharmāḥ katame? yatra	sarva sattva hita suKa aDizWAna tvAt / adBUtAH DarmAH katame? yatra
   śrāvakabodhisattvabuddhānāmāścaryādbhutā dharmā deśyante / upadeśāḥ	SrAvaka boDisattva budDAnAm AScaryA adButAH DarmAH deSyante / upadeSAH
   katame? yatrāviparītaṃ dharmalakṣaṇamupadiśyate [tatropadeśe 'ntargateyaṃ	katame? yatra aviparItam Darma lakzaNam upadiSyate [tatra upadeSe antargatA iyam
   bhagavatī sūtraratnam /]	BagavatI sUtra ratnam /]
   paramapuruṣārthasādhanasya paramagambhīrasya dharmasya sarvairākāraiḥ	parama puruza arTa sADanasya parama gamBIrasya Darmasya sarvEH AkArEH
   sūcanāt / athaiṣā katibhiḥ padārthairabhidheyairdarśitā? katame vata iti	sUcanAt / aTa ezA katiBiH padArTEH aBiDeyEH darSitA? katame vataH iti
   praśne śāstram 	praSne SAstram 
   [1] prajñāpāramitāṣṭābhiḥ padārthaiḥ samudīritā /	[1] prajQApAramitA azwABiH padArTEH samudIritA /
   sarvākārajñatā mārgajñatā sarvajñatā [tataḥ] // 1 3 //	sarva AkAra jQa tA mArga jQa tA sarvajQa tA [tataH] // 1 3 //
   (RSt_3)	(RSt _3)
   [2] [sarvā]kārābhisambodho mūrddhaprāpto 'nupūrvikaḥ /	[2] [sarva a]kAra aBisamboDaH mUrdDa prAptaH anupUrvikaH /
   ekakṣaṇābhisambodho dharmakāyaśca te 'ṣṭadhā // 1 4 //	eka kzaNa aBisamboDaH Darma kAyaH ca te azwaDA // 1 4 //
   iti / svārthe 'dhā' pratyayaḥ / ime te 'ṣṭāvityarthaḥ / bodhyabhimukhaḥ	iti / sva arTe aDAa pratyayaH / ime te azwO= iti arTaH / boDi aBimuKaH
   samyagbodhi' 'bhisambodhaḥ' / ata evā....... / abhisamīyate saptabhiḥ	samyak boDi a aBisamboDaH a / atas eva a....... / aBisamIyate saptaBiH
   prāpyate yataḥ / mūrdhā prakarṣaḥ / taṃ prāpto 'mūrdhaprāptaḥ' /	prApyate yatas / mUrDA prakarzaH / tam prAptaH amUrDa prAptaH a /
   anupūrvamanukramaḥ / tadyogāt 'anupūrvikaḥ' / ubhayatrāpi 'sambodha' iti	anupUrvam anukramaH / tad yogAt aanupUrvikaH a / uBayatra api asamboDa a iti
   vartate /	vartate /
   punaḥ śāstram 	punar SAstram 
   [3] lakṣaṇaṃ [tatprayogastatprakarṣastadanukramaḥ /]	[3] lakzaNam [tad prayogaH tad prakarzaH tad anukramaH /]
   [tanniṣṭhā tadvipākaścetyanyaḥ ṣoḍhārtha] saṃgrahaḥ // 9 1 //	[tad nizWA tad vipAkaH ca iti anyaH zoXA arTa] saMgrahaH // 9 1 //
   athavā........ṣaḍarthāḥ / yata ādau trividhā sarvajñatā tat 'lakṣaṇaṃ'	aTavA a........zaw arTAH / yatas AdO triviDA sarvajQa tA tat alakzaNama
   prajñāpāramitāyāḥ / tataścatvāro 'syāḥ prayogaḥ prayogaprakarṣaḥ	prajQApAramitAyAH / tatas catvAraH asyAH prayogaH prayoga prakarzaH
   prayogānukramaḥ prayoganiṣṭhā ceti / ........ /	prayoga anukramaH prayoga nizWA ca iti / ........ /
   punaḥ śāstram 	punar SAstram 
   [4] viṣayāstritayo hetuḥ prayogaścaturātmakaḥ /	[4] vizayAH tritayaH hetuH prayogaH catur AtmakaH /
   dharmakāyaḥ phalaṃ karmetyanyastredhārthasaṃgrahaḥ // 9 2 //	Darma kAyaH Palam karma iti anyaH treDA arTa saMgrahaH // 9 2 //
   athavātisaṃkṣepato 'syāṃ trayo 'rthāḥ / tathā hi trividhaḥ prayogaviṣayaḥ	aTavA ati saMkzepataH asyAm trayaH arTAH / taTA hi triviDaH prayoga vizayaH
   sarvajñatātrayaśca[taddhetuḥ] 'viṣayaḥ' / 'prayogaścaturātmaka' /	sarvajQa tA trayaH ca[tad hetuH] avizayaH a / aprayogaH catur Atmaka a /
   sarvākārā hi sambodhādiḥ / tasya hetoḥ 'phalaṃ dharmakāyaḥ' tat 'karma' ca	sarva AkArAH hi samboDa AdiH / tasya hetoH aPalam Darma kAyaH a tat akarma a ca
   tadevamaṣṭau ṣaṭ trayo vāsya sūtrasyārthāḥ sākalyena / prādhānyena	tat evam azwO zaw trayaH vA asya sUtrasya arTAH sAkalyena / prADAnyena
   punareka eva vārthaḥ / anyathā ekavākyatāpi na syāt /	punar ekaH eva vA arTaH / anyaTA eka vAkyatA api na syAt /
   daśadāḍimādipasamūhavat / avayavārthaiḥ parasparo[para]ktasya svārthena	daSa dAxima Adi pasamUha vat / avayava arTEH parasparaH [para ]ktasya sva arTena
   (?) ekatvādupasaṃhārāt / tasmāt sambaddhān(nu)guṇopāyāt /	(?) eka tvAt upasaMhArAt / tasmAt sambadDAn (nu)guNa upAyAt /
   samyaksambodhiratra (RSt_4) prādhānyenocyata ityeke / tadasat / yataḥ	samyaksamboDiH atra (RSt _4) prADAnyena ucyate iti eke / tat asat / yatas 
   samyaksambodhiḥ śrāvakapiṭake 'pyatipratītatvādajijñāsitā / prajñāpāramitā	samyaksamboDiH SrAvaka piwake api ati pratIta tvAt aji jQAsitA / prajQApAramitA
   tu tatrāviditatvājjijñāsiteti / saiva [śāstre prādhānyena]abhidhīyate /	tu tatra avidita tvAt jijQAsitA iti / sA eva [SAstre prADAnyena] aBiDIyate /
   [duradhimokṣā] gambhīratvāt / bhagavatastu vacanāt [pratilabdhād]	[duH aDi mokzA] gamBIra tvAt / BagavataH tu vacanAt [pratilabDAt ]
   adhimucyate.............. / tato 'pīyaṃ prādhānyena bhagavatā vaktavyā /	aDimucyate.............. / tatas api iyam prADAnyena BagavatA vaktavyA /
   yathā yathā ceyamadhimacyate tathā tathā bodherāsannībhavati / tato 'pīyaṃ	yaTA yaTA ca iyam aDimacyate taTA taTA boDeH AsannIBavati / tatas api iyam
   prādhānyena vacanīyā / aṣṭāsu cābhisamayeṣu yathā [sāraṃ tatheyaṃ]	prADAnyena vacanIyAH / azwAsu ca aBisamayezu yaTA [sAram taTA iyaM]
   vistareṇocyamānā kathaṃ prādhānyena nocyate? prajñāpāramitaiva mārgaḥ	vistareNa ucyamAnA kaTam prADAnyena na ucyate? prajQApAramitA eva mArgaH
   sambodheḥ / śeṣāṇāmapi tathaiva mārgīkaraṇāt / ityevamiyamucyamānā sutarāṃ	samboDeH / SezANAm api taTA eva mArgIkaraNAt / iti evam iyam ucyamAnA sutarAm
   prādhānyenocyata ityalamativistareṇa / ata eva prādhānyena	prADAnyena ucyate iti alam ati vistareNa / atas eva prADAnyena
   vyapadeśādetatsūtraṃ prajñāpāramitā / [na samyaksambodhi]riti /	vyapadeSAt etat sUtram prajQApAramitA / [na samyaksamboDi]H iti /
   tasmātprajñāpāramitaivaḥ....... /	tasmAt prajQApAramitA evaH....... /
   evaṃ mayetyādi / atha kasyedaṃ vacanam? saṃṅgītikārasya / saṅgītatvena	evam mayA ityAdi / aTa kasya idam vacanam? saMFgItikArasya / saFgIta tvena
   loke saṃpratyayārtham / tatkiṃ ........prakṣepaḥ? naivam /	loke saMpratyaya arTam / tat kim ........ prakzepaH? na evam /
   bhagavadājñayaivaṃ tena pāṭhāt / uktaṃ hi bhagavatā [śrutaṃ mayā] iti	Bagavat AjQayA evam tena pAWAt / uktam hi BagavatA [Srutam mayA] iti
   saṅgītikāraḥ aḍakavatīnivāsī vajrapāṇirmahābodhisattvaḥ / sa hi	saFgItikAraH axakavatI nivAsI vajrapANiH mahA boDisattvaH / sa hi
   bhādrakalpikānāṃ tathāgatānāṃ rūpakāyasya dharmakāyasya ca rakṣādhikṛtaḥ	BAdra kalpikAnAm taTAgatAnAm rUpa kAyasya Darma kAyasya ca rakzA aDikRtaH
   pṛṣṭhato 'vagataḥ / evaṃ te (taiḥ?) pratyarpitaśāsanaśca....... /	pRzWatas avagataH / evam te (tEH?) pratyarpita SAsanaH ca....... /
   ............. .......... yato 'syāmacyu (?)tasamādhiniśrito mahān	............. .......... yatas asya Am acyu (?)ta samADi niSritaH mahAn
   dharmāvabhāsastasmāt prabhākarī / yato 'syāṃ bodhipakṣyaiḥ	Darma avaBAsaH tasmAt praBAkarI / yatas asyAm boDi pakzyEH
   saṃkleśendhanadahanaṃ tasmādarciṣmatī / yato 'syāṃ	saMkleSa inDana dahanam tasmAt arcizmatI / yatas asyAm
   laukikalokottarayorvidyāsatyajñānayoranyonyavirodhādduṣkaraḥ	lOkika loka uttarayoH vidyA satya jQAnayoH anyonya viroDAt duzkaraH
   parijayastasmātsudurjayā / yato 'syāṃ pratītyasamutpādapravicayādabhimukho	parijayaH tasmAt su durjayA / yatas asyAm pratItyasamutpAda pravicayAt aBimuKaH 
   bhavatyasaṅgamukhākhyaḥ prajñāpāramitāvihārastasmādabhimukhī / yato 'syāṃ	Bavati asaFga muKa AKyaH prajQApAramitA vihAraH tasmAt aBimuKI / yatas asyAm
   bodhipakṣyasatya[pratītya] samutpādālambano nirnimittavihāra ābhogavāhī	boDi pakzya satya[pratItya] samutpAda AlambanaH nirnimitta vihAraH ABogavAhI
   tasmāddūraṃgamā / yato 'syāṃ sa eva svarasavāhitvādacalaḥ tasmādacalā /	tasmAt dUraMgamA / yatas asyAm saH eva svarasa vAhi tvAt acalaH tasmAt acalAH /
   yato 'syāṃ pratisaṃvibhdirdhārmakathikatvādbodhisattvaḥ sādhustasmāt	yatas asyAm pratisaMviBdiH DArma kaTika tvAt boDisattvaH sADuH tasmAt 
   sādhumatī / yato 'syāṃ bodhisattvo 'bhiṣicyate yau[va]rājyāya	sADumatI / yatas asyAm boDisattvaH aBizicyate yO[va]rAjyAya
   tasmāddharmameghā / ..........etāḥ pratyekaṃ ṣaḍbhiḥ pāramitābhiḥ	tasmAt Darma meGAH / ..........etAH pratyekam zaxBiH pAramitABiH
   saṃgṛhītāḥ yathākramam / etāsu daśa pāramitā atiricyate /	saMgRhItAH yaTAkramam / etAsu daSa pAramitA atiricyate /
   katamā daśa?	katamA daSa?
   (RSt_5)	(RSt _5)
   "dānaṃ śīlaṃ kṣamā vīrya dhyānaṃ prajñā upāyatā /	"dAnam SIlam kzamA vIrya DyAnam prajQA upAya tA /
   praṇidhānaṃ balaṃ jñānametāḥ pāramitā daśa //"	praNiDAnam balam jQAnam etAH pAramitA daSa //"
   tatra yatpāramitopacitasya kuśalamūlasyānuttarāyāṃ samyaksambodhau	tatra yat pAramitA upacitasya kuSala mUlasya anuttarAyAm samyaksamboDO
   samyakpariṇāmanamupādāya pāramitā tenopāyena tasyākṣayīkaraṇāt / āha ca /	samyak pariNAmanam upAdAya pAramitA tena upAyena tasya akzayIkaraNAt / Aha ca /
   "ābodhe kṣayamiti svalpamapi na bodhipariṇataṃ kuśalam / āsamantātpatitaḥ	"AboDe kzayam iti su alpam api na boDi pariNatam kuSalam / AsamantAt patitaH
   payonidhau salilabidnuriva" iti / bhadracaryādikaṃ praṇidhānapāramitā yayā	payoniDO salila bidnuH iva" iti / BadracaryA Adikam praNiDAna pAramitA yayA
   pratijanma yatpāramitāścarati / bhāvanābalaṃ pratisaṃkhyānabalaṃ ca	pratijanma yat pAramitAH carati / BAvanA balam pratisaMKyAna balam ca
   balapāramitā / yayā pratyahaṃ pratikṣaṇaṃ tāścarati /	bala pAramitA / yayA pratyaham pratikzaNam tAH carati /
   yathābhiprāyamayathārutaṃ mahāyānasya parijñānaṃ jñānapāramitā /	yaTA aBiprAyam ayaTA rutam mahAyAnasya parijQAnam jQAna pAramitA /
   bhūmīnāṃ vistara āryadaśabhūmakādau / parikarmāṇi punarāsāṃ	BUmInAm vistaraH Arya daSa BUmaka AdO / parikarmANi punar AsAm
   mahatyorbhagavatyoruddiṣṭāni nirdiṣṭāni ca bhūmīnāṃ parikarmāṇyadhikṛtya	mahatyoH BagavatyoH uddizwAni nirdizwAni ca BUmInAm parikarmANi aDikRtya
   śāstre trayoviṃśatiḥ ślokāḥ / tāni yathābhūmi pṛthakkṛtya vakṣyāmaḥ /	SAstre trayoviMSatiH SlokAH / tAni yaTA BUmi pRTakkRtya vakzyAmaH /
   [5] labhyate daśamā (prathamā) bhūmidarśadhā parikarmaṇā /	[5] laByate daSamA (praTamA) BUmi darSaDA parikarmaNA /
   āśayo hitavastutvaṃ sattveṣu samacittatā // 1 48 //	ASayaH hita vastu tvam sattvezu sama citta tA // 1 48 //
   [6] tyāgaḥ sevā ca mitrāṇāṃ saddharmālambanaiṣaṇā /	[6] tyAgaH sevA ca mitrANAm sat Darma Alamba na ezaNAH /
   sadā naiṣkramyacittatvaṃ buddhakāyagatā spṛhā // 1 49 //	sadA nEzkramya citta tvam budDa kAya gatA spRhA // 1 49 //
   [7] dharmasya deśanā satyaṃ daśamaṃ vākyamiṣyate /	[7] Darmasya deSanA satyam daSamam vAkyam izyate /
   jñeyaṃ ca parikarmaiṣāṃ svabhāvānupalambhataḥ // 1 50 //	jQeyam ca parikarmA ezAm svaBAva anupalamBataH // 1 50 //
   'daśadhā' iti daśavidhena / taccāśayādi // 'āśayaḥ' śraddhāchandau /	adaSaDAa iti daSaviDena / tat ca ASaya Adi // aASayaH a SradDA CandO /
   'hitavastutvaṃ' sarvasattvahitaiṣitā / heturasyāḥ 'sattveṣu	ahita vastu tvama sarva sattva hita ezitAH / hetuH asyAH asattvezu
   praśamacittatā' / 'tyāgo ' dānapāramitā / 'eṣaṇā' paryeṣaṇā / sā ca	praSama citta tA a / atyAgaH a dAna pAramitA / aezaNA a paryezaNA / sA ca
   'saddharmālambanā' dharmaparyeṣṭirityarthaḥ / gṛhavāsānniṣkramaṇaṃ	asat Darma AlambanAa Darma paryezwiH iti arTaH / gRha vAsAt nizkramaNam
   niṣkramaḥ / svārthe ṣyañ 'naiṣkramyaṃ' taccittatā / 'spṛhā' ityatra sadeti	nizkramaH / sva arTe zyan anEzkramyama tad citta tA / aspRhAa iti atra sadA iti
   vartate / 'satyaṃ' coktamiti satyavacanaṃ taddaśamam / 'eṣāṃ'	vartate / asatyama ca uktam iti satya vacanam tat daSamam / aezAM a
   ityāśayādīnām //	iti ASaya AdInAm //
   [8] śīlaṃ kṛtajñatā kṣāntiḥ prāmodyaṃ mahatī kṛpā /	[8] SIlam kRtajQa tA kzAntiH prAmodyam mahatI kRpA /
   gauravaṃ guruśuśrūṣā vīryaṃ dānādike 'ṣṭamam // 1 51 //	gOravam guru SuSrUzA vIryam dAna Adike azwamam // 1 51 //
   (RSt_6) 'śīlaṃ' śīlapariśuddhiḥ / 'kṣāntiḥ' kṣāntibalam / pramoda eva	(RSt _6) aSIlama SIla pariSudDiH / akzAntiH a kzAnti balam / pramodaH eva
   'prāmodyam' 'mahatī' sarvasattvāparityāgitayā / 'gauravaṃ' gauravārheṣu /	aprAmodyam a amahatI a sarva sattva aparityAgitayA / agOravama gOrava arhezu /
   'gurūśuśrūṣā' kalyāṇamitreṣa śāstṛsaṃjñā / 'dānādike ' iti pāramitāsu /	aguru uSuSrUzA a kalyANamitreza SAstR saMjQA / adAna Adike a iti pAramitAsu /
   'aṣṭama' grahaṇādaṣṭāveva parikarmāṇi dvitīyāyām /	aazwama a grahaNAt azwO= eva parikarmANi dvitIyAyAm /
   [9] atṛptatā śrute dānaṃ dharmasya ca nirāmiṣam /	[9] atRpta tA Srute dAnam Darmasya ca nirAmizam /
   buddhakṣetrasya saṃśuddhiḥ saṃsāroparikheditā // 1 52 //	budDa kzetrasya saMSudDiH saMsAra upari KeditA // 1 52 //
   [10] hrīrapatrāpyamityetat pañcadhāmananātmakam /	[10] hrIH apatrApyam iti etat paQcaDA manana Atmakam /
   'śrutaṃ' bāhuśrutyam / 'saṃśuddhiḥ' pariśuddhiḥ / sā tasyāmeva	aSrutama bAhu Srutyam / asaMSudDiH a pariSudDiH / sA tasyAm eva
   puṇyapariṇāmanāt / 'amananātmakaṃ' tenāmananāt / 'pañcadhā' iti vacanāt	puNya pariNAmanAt / aamanana Atmakama tena AmananAt / apaQcaDA a iti vacanAt 
   pañcaiva parikarmāṇi tṛtīyāyām /	paQca eva parikarmANi tRtIyAyAm /
   vanāśālpecchatā tuṣṭirdhutasaṃlekhasevanam // 1 53 //	vanASa alpa icCatA tuzwiH Duta saMleKa sevanam // 1 53 //
   [11] śikṣāya aparityāgaḥ kāmānāṃ vijugupsanam /	[11] SikzAya aparityAgaH kAmAnAm vijugupsanam /
   nirvitsarvāstisaṃtyāgā[vana]valīna[tvān]pekṣate // 1 54 //	nirvitsarvAsti saMtyAga a[ vana ]valIna[tvAn]pekzate // 1 54 //
   vanasya ('vānāśā) araṇyavāsastatkāryatvāt / 'tuṣṭiḥ' santuṣṭiḥ / 'dhuta'	vanasya ( avAnASA) araNya vAsaH tad kArya tvAt / atuzwiH a santuzwiH / aDuta a
   guṇa 'saṃlekhasya' 'sevanaṃ' anutsargaḥ / 'nirvitsarvāstisaṃtyāgau' iti	guNa asaMleKasya a asevanaM a anutsargaH / anirvid sarvAsti saMtyAgO a iti
   nirvedaḥ sarvasatāṃ tyāgaśca / 'anavalīnatvānapekṣate ' iti /	nirvedaH sarva satAm tyAgaH ca / aanavalIna tva anapekzate a iti /
   anavalīnacittatā sarvavastunirapekṣatā ca / anavalīnatvaṃ asaṃkucutatvam /	anavalIna citta tA sarva vastu nirapekza tA ca / anavalIna tvam asaMkucuta tvam /
   daśeti vakṣyamāna(ṇa)manuvartate / tato daśaiva parikarmāṇi caturthyām /	daSa iti vakzyamAna(Na)m anuvartate / tatas daSa eva parikarmANi caturTyAm /
   [12] saṃstavaṃ kulamātsarya sthānaṃ saṅgaṇikāvaham /	[12] saMstavam kulamAtsarya sTAnam saFgaNika Avaham /
   ātmotkarṣaparāvajñe karmamārgān daśāśubhān // 1 55 //	Atma utkarza para avajQe karma mArgAn daSa aSuBAn // 1 55 //
   [13] mānaṃ stambhaṃ viparyāsaṃ vimatiṃ kleśamarṣaṇam /	[13] mAnam stamBam viparyAsam vimatim kleSa marzaNam /
   vivarja[ya]n samāpnoti daśaitān pañcamīṃ bhuvam // 1 56 //	vivarja[ya]n samApnoti daSa etAn paQcamIm Buvam // 1 56 //
   'saṃstavo ' gṛhipravrajitaiḥ / 'kuleṣu' upasaṃ[kra]maṇīyāgṛheṣu	asaMstavaH a gRhi pravrajitEH / akulezu a upasaM[kra]maNIyA gRhezu
   'mātsaryam' / 'saṅgaṇikā' apratirūpakathā / 'utkarṣaṇam' / 'avajñā'	amAtsaryam a / asaFgaNikAa apratirUpa kaTA / autkarzaNam a / aavajQA a
   (RSt_7) paṃsanam / 'karmamārgāḥ' 'karmapathāḥ' / 'mānaḥ' cittonnatiḥ /	(RSt _7) paMsanam / akarma mArgAHa akarma paTAH a / amAnaH a citta unnatiH /
   'stambho ' gurūṣvapraṇatakāyatā / 'viparyāso ' viparātārthagrāhaḥ /	astamBaH a gurUzu apraNata kAya tA / aviparyAsaH a viparAta arTa grAhaH /
   'vimatiḥ' vicikitsā / 'kleśamarṣaṇaṃ' rāgadveṣamohādhivāsanam / 'etān' iti	avimatiH a vicikitsA / akleSam arzaNama rAga dveza moha aDivAsanam / aetAn a iti
   saṃstavādīn /	saMstava AdIn /
   [14] dānaśīlakṣamāvīryadhyānaprajñā prapūrakaḥ /	[14] dAna SIla kzamA vIrya DyAna prajQA prapUrakaH /
   śiṣyakhaḍgaspṛhātrāsacetasāṃ parivarjakaḥ // 1 57 //	Sizya Kaxga spRhA trAsa cetasAm parivarjakaH // 1 57 //
   [15] yācito 'navalīnaśca sarvatyāgepyadurmanāḥ /	[15] yAcitaH anavalInaH ca sarva tyAgepya durmanAH /
   kṛśo 'pi nārthināṃ kṣeptā ṣaṣṭhīṃ bhūmiṃ samaśnute // 1 58 //	kRSaH api na arTinAm kzeptA zazWIm BUmim samaSnute // 1 58 //
   ṣaṇṇāṃ pāramitānāṃ pratyekaṃ pūraka iti ṣaḍdharmāḥ / śrāvakaspṛhāyāḥ	zaNNAm pAramitAnAm pratyekam pUrakaH iti zaz DarmAH / SrAvaka spRhAyAH
   pratyekabuddhaspṛhāyāḥ parita(tra)sanacittasya ca parivarjaka iti trayaḥ /	pratyekabudDa spRhAyAH parita(tra)sana cittasya ca parivarjakaH iti trayaH /
   yācitasyānabalīnacittatā, sarvasvatyāge 'pyadaurmanasya, daurbalyepi na	yAcitasya anabalIna citta tA, sarva sva tyAge api adOrmanasya, dOrbalyepi na
   yācakānāṃ kṣepa iti trayaḥ / ebhirdvādaśabhirdharmaiḥ ṣaṣṭhiṃ bhūmiṃ	yAcakAnAm kzepaH iti trayaH / eBiH dvAdaSaBiH DarmEH zazWim BUmim
   prāpnoti /	prApnoti /
   [16] ātmasattvagraho jīvapudgalocchedaśāśvate /	[16] Atma sattva grahaH jIva pudgala ucCeda SASvate /
   nimittahetvoḥ skandheṣu dhātuṣvāyataneṣu ca // 1 59 //	nimitta hetvoH skanDezu DAtuzu Ayatanezu ca // 1 59 //
   [17] traidhātuke pratiṣṭhānaṃ saktirālīnacittatā /	[17] trEDAtuke pratizWAnam saktiH AlIna citta tA /
   ratnatritayaśīleṣu taddṛṣṭyabhiniveśitā // 1 60 //	ratna tritaya SIlezu tad dRzwi aBiniveSitAH // 1 60 //
   [18] śūnyatayāṃ viśā(ṣā)daśca tadvirodhaśca viṃśatiḥ /	[18] SUnyatayAm viSA(zA)daH ca tad viroDaH ca viMSatiH /
   kalaṅkā yasya vicchinnāḥ saptamīmetyasau bhuvam // 1 61 //	kalaFkAH yasya vicCinnAH saptamImA iti asO Buvam // 1 61 //
   [19] trivimokṣamukhajñānaṃ trimaṇḍalaviśuddhitā /	[19] tri vimokza muKa jQAnam tri maNxala viSudDi tA /
   karuṇā mananā dharmasamataikanayajñatā // 1 62 //	karuNA mananA Darma samatA ekanaya jQa tA // 1 62 //
   [20] anutpādakṣamājñānaṃ dharmāṇāmekadheraṇā /	[20] anutpAda kzamA jQAnam DarmANAm eka DeraNAH /
   kalpanāyāḥ samudghātaḥ saṃjñādṛkleśavarjanam // 1 63 //	kalpanAyAH samudGAtaH saMjQA dRS leSa varjanam // 1 63 //
   [21] śamathasya ca nidhyaptiḥ kauśalaṃ ca vidarśane /	[21] SamaTasya ca niDyaptiH kOSalam ca vidarSane /
   cittasya dāntatā jñānaṃ sarvatrāpratighāti ca // 1 64 //	cittasya dAnta tA jQAnam sarvatra apratiGAti ca // 1 64 //
   (RSt_8)	(RSt _8)
   [22] śa(sa)kterabhūmiryatrecchaṃ kṣetrāntaragatiḥ samam /	[22] Sa(sa)ktera BUmiH yatra icCam kzetra antara gatiH samam /
   sarvatra svātmabhāvasya darśanaṃ ceti [viṃśatiḥ] // 1 65 //	sarvatra sva Atma BAvasya darSanam ca iti [viMSatiH] // 1 65 //
   dvitīyāt 'viṃśati' śabdādūrdhvaṃ guṇāḥ......ātmagrahādayo 'viṃśatiḥ' /	dvitIyAt aviMSati a SabdAt UrDvam guNAH......a Atma graha AdayaH aviMSatiH a /
   'kalaṅkāḥ' doṣāḥ / yasya 'vicchinnāḥ' prahīṇāḥ /	akalaFkAH a dozAH / yasya avicCinnAH a prahINAH /
   trivimokṣamukhajñānādayaśca viṃśatiḥ gunāḥ (ṇāḥ) paripūrṇāḥ sa saptamīṃ	tri vimokza muKa jQAna AdayaH ca viMSatiH gunAH (NAH) paripUrNAH sa saptamIm
   bhūmiṃ prāpnotīti samāsato 'rthaḥ /	BUmim prApnoti iti samAsatas arTaH /
   ' graho ''bhiniveṣaḥ(śaḥ) / tasya viśeṣaṇamātmādirāyatanaparyantaḥ /	a grahaH aaBinivezaH(SaH) / tasya viSezaNam Atma AdiH Ayatana paryantaH /
