   atha gauḍapādīyakārikāḥ	aTa gOxapAdIya-kArikAH
   svapnanidrāyutāv ādyau prājñas tv asvapnanidrayā /	svapna-nidrA-yutO AdyO prAjQaH tu asvapna-nidrayA /
   na nidrāṃ naiva ca svapnaṃ turye paśyanti niścitāḥ // 1.14 //	na nidrAm na-eva ca svapnam turye paSyanti niScitAH // 1.14 //
   anyathā gṛhṇataḥ svapno nidrā tattvam ajānataḥ /	anyaTA gRhNataH svapnaH nidrA tattvam ajAnataH /
   viparyāse tayoḥ kṣīṇe turīyaṃ padam aśnute // 1.15 //	viparyAse tayoH kzINe turIyam padam aSnute // 1.15 //
   anādimāyayā supto yadā jīvaḥ prabudhyate /	anAdi-mAyayA suptaH yadA jIvaH prabuDyate /
   ajam anidram asvapnam advaitaṃ budhyate tadā // 1.16 //	ajam anidram asvapnam advEtam buDyate tadA // 1.16 //
   prapañco yadi vidyeta nivarteta na saṃśayaḥ /	prapaQcaH yadi vidyeta nivarteta na saMSayaH /
   māyāmātram idaṃ dvaitam advaitaṃ paramārthataḥ // 1.17 //	mAyA-mAtram idam dvEtam advEtam paramArTataH // 1.17 //
   vikalpo vinivarteta kalpito yadi kenacit /	vikalpaH vinivarteta kalpitaH yadi kenacid /
   upadeśād ayaṃ vādo jñāte dvaitaṃ na vidyate // 1.18 //	upadeSAt ayam vAdaH jQAte dvEtam na vidyate // 1.18 //
   viśvasyātvavivakṣāyām ādisāmānyam utkaṭam /	viSvasya-Atu-a-vivakzAyAm Adi-sAmAnyam utkawam /
   mātrāsaṃpratipattau syād āptisāmānyam eva ca // 1.19 //	mAtrA-saMpratipattO syAt Apti-sAmAnyam eva ca // 1.19 //
   taijasasyotvavijñāne utkarṣo dṛśyate sphuṭam /	tEjasasya-utva-vijQAne utkarzaH dRSyate sPuwam /
   mātrāsaṃpratipattau syād ubhayatvaṃ tathāvidham // 1.20 //	mAtrA-saMpratipattO syAt uBaya-tvam taTAviDam // 1.20 //
   makārabhāve prājñasya mānasāmānyam utkaṭam /	makAra-BAve prAjQasya mAna-sAmAnyam utkawam /
   mātrāsaṃpratipattau tu layasāmānyam eva ca // 1.21 //	mAtrA-saMpratipattO tu laya-sAmAnyam eva ca // 1.21 //
   triṣu dhāmasu (yat [B:]yas) tulyaṃ sāmānyaṃ vetti niścitaḥ /	trizu DAmasu (yat [B:]yas) tulyam sAmAnyam vetti niScitaH /
   sa pūjyaḥ sarvabhūtānāṃ vandyaś caiva mahāmuniḥ // 1.22 //	sa pUjyaH sarva-BUtAnAm vandyaH ca-eva mahA-muniH // 1.22 //
   akāro nayate viśvam ukāraś cāpi taijasam /	akAraH nayate viSvam ukAraH ca-api tEjasam /
   makāraś ca punaḥ prājñaṃ nāmātre vidyate gatiḥ // 1.23 //	makAraH ca punar prAjQam na-ama-atre vidyate gatiH // 1.23 //
   oṃkāraṃ pādaśo vidyāt pādā mātrā na saṃśayaḥ /	oMkAram pAdaSas vidyAt pAdAH mAtrA na saMSayaH /
   oṃkāraṃ pādaśo jñātvā na kiṃcid api cintayet // 1.24 //	oMkAram pAdaSas jQAtvA na kiMcid api cintayet // 1.24 //
   yuñjīta praṇave cetaḥ praṇavo brahma nirbhayam /	yuQjIta praNave cetaH praNavaH brahma nirBayam /
   praṇave nityayuktasya na bhayaṃ vidyate kvacit // 1.25 //	praNave nitya-yuktasya na Bayam vidyate kvacid // 1.25 //
   praṇavo hy aparaṃ brahma praṇavaś ca (paraḥ [B:,S:]paraṃ) smṛtaḥ /	praNavaH hi aparam brahma praNavaH ca (paraH [B:,S:]-paran) smRtaH /
   apūrvo 'nantaro 'bāhyo anaparaḥ praṇavo 'vyayaḥ // 1.26 //	apUrvaH anantaraH abAhyaH anaparaH praNavaH avyayaH // 1.26 //
   sarvasya praṇavo hy ādir madhyam antas tathaiva ca /	sarvasya praNavaH hi AdiH maDyam antar taTA-eva ca /
   evaṃ hi praṇavaṃ jñātvā vyaśnute tad anantaram // 1.27 //	evam hi praNavam jQAtvA vyaSnute tat anantaram // 1.27 //
   praṇavaṃ hīśvaraṃ vidyāt sarvasya hṛdi saṃsthitam /	praNavam hi-ISvaram vidyAt sarvasya hRdi saMsTitam /
   sarvavyāpinam oṃkāraṃ matvā dhīro na śocati // 1.28 //	sarva-vyApinam oMkAram matvA DIraH na Socati // 1.28 //
   amātro 'nantamātraś ca dvaitasyopaśamaḥ śivaḥ /	amAtraH ananta-mAtraH ca dvEtasya-upaSamaH SivaH /
   oṃkāro vidito yena sa munir netaro janaḥ // 1.29 //	oMkAraH viditaH yena sa muniH na-itaraH janaH // 1.29 //
   [col: iti (māṇḍūkyopaniṣadarthāviṣkaraṇaparāyāṃ gauḍapādīyakārikāyāṃ	[col: iti (mANxUkya-upanizad-arTa-AvizkaraNa-parAyAm gOxapAdIya-kArikAyAm
   prathamam āgamaprakaraṇam	praTamam Agama-prakaraNam
   [B:]gaudapādīye āgamaśāstre āgamākhyaṃ prathamaṃ prakaraṇaṃ samāptam)	[B:]ga-OdapAdIye AgamaSAstre Agama-AKyam praTamam prakaraNam samAptam)
   :col]	:col]
   (atha gauḍapādīyakārikāyāṃ vaitathyākhyaṃ dvitīyaṃ prakaraṇam [K:]dvitīyaṃ	(aTa gOxapAdIya-kArikAyAm vEtaTya-AKyam dvitIyam prakaraNam [K:]dvitIyam
   prakaraṇam	prakaraNam
   [S:]vaitathyaprakaraṇam)	[S:]-vEtaTya-prakaraNam)
   vaitathyaṃ sarvabhāvānāṃ svapne āhur manīṣiṇaḥ /	vEtaTyam sarva-BAvAnAm svapne AhuH manIziNaH /
   antaḥsthānāt tu bhāvānāṃ saṃvṛtatvena hetunā // 2.1 //	antar-sTAnAt tu BAvAnAm saMvRta-tvena hetunA // 2.1 //
   adīrghatvāc ca kālasya gatvā deśān na paśyati /	adIrGa-tvAt ca kAlasya gatvA deSAt na paSyati /
   pratibuddhaś ca vai sarvas tasmin deśe na vidyate // 2.2 //	pratibudDaH ca vE sarvaH tasmin deSe na vidyate // 2.2 //
   abhāvaś ca rathādīnāṃ śrūyate nyāyapūrvakam /	aBAvaH ca raTa-AdInAm SrUyate nyAya-pUrvakam /
   vaitathyaṃ tena vai prāptaṃ svapne āhuḥ prakāśitam // 2.3 //	vEtaTyam tena vE prAptam svapne AhuH prakASitam // 2.3 //
   antaḥsthānāt tu bhedānāṃ (tasmāj [B:]tathā) jāgarite smṛtam /	antar-sTAnAt tu BedAnAm (tasmAt [B:]taTA) jAgarite smRtam /
   yathā tatra tathā svapne (saṃvṛtatvena [B:]saṃvṛtatvaṃ na) bhidyate // 2.4	yaTA tatra taTA svapne (saMvRta-tvena [B:]-saMvRta-tvam na) Bidyate // 2.4
   (svapnajāgaritasthāne [B,S:]svapnajāgarite sthāne) hy ekam āhur manīṣiṇaḥ	(svapna-jAgarita-sTAne [B,S:]-svapna-jAgarite sTAne) hi ekam AhuH manIziNaH
   bhedānāṃ hi samatvena prasiddhenaiva hetunā // 2.5 //	BedAnAm hi samatvena prasidDena-eva hetunA // 2.5 //
   ādāv ante ca yan nāsti vartamāne 'pi tat tathā /	AdO ante ca yat na-asti vartamAne api tat taTA /
   vitathaiḥ sadṛśāḥ santo avitathā iva lakṣitāḥ // 2.6 //	vitaTEH sadRSAH santaH avitaTAH iva lakzitAH // 2.6 //
   saprayojanatā teṣāṃ svapne (vipratipadyate [B:]api pratipadyate) /	sa-prayojana-tA tezAm svapne (vipratipadyate [B:]-api pratipadyate) /
   tasmād ādyantavattvena mithyaiva khalu te smṛtāḥ // 2.7 //	tasmAt Adi-antavat-tvena miTyA-eva Kalu te smRtAH // 2.7 //
   (apūrvaṃ [B:]apūrvāḥ) sthāni(dharmo [B:]dharmā) hi yathā svarganivāsinām /	(a-pUrvam [B:]a-pUrvAH) sTAni(-DarmaH [B:]DarmA) hi yaTA svarga-nivAsinAm /
   tān ayaṃ prekṣate gatvā yathaiveha suśikṣitaḥ // 2.8 //	tAn ayam prekzate gatvA yaTA-eva-iha su-SikzitaH // 2.8 //
   svapnavṛttāv api tv antaś cetasā kalpitaṃ tv asat /	svapna-vRttO api tu antar cetasA kalpitam tu asat /
   bahiś cetogṛhītaṃ sad dṛṣṭaṃ vaitathyam etayoḥ // 2.9 //	bahis cetaH-gRhItam sat dRzwam vEtaTyam etayoH // 2.9 //
   jāgradvṛttāv api tv antaś cetasā kalpitaṃ tv asat /	jAgrat-vRttO api tu antar cetasA kalpitam tu asat /
   bahiś cetogṛhītaṃ sad yuktaṃ vaitathyam etayoḥ // 2.10 //	bahis cetaH-gRhItam sat yuktam vEtaTyam etayoH // 2.10 //
   ubhayor api vaitathyaṃ bhedānāṃ sthānayor yadi /	uBayoH api vEtaTyam BedAnAm sTAnayoH yadi /
   ka etān budhyate bhedān ko vai teṣāṃ vikalpakaḥ // 2.11 //	kaH etAn buDyate BedAn kaH vE tezAm vikalpakaH // 2.11 //
   kalpayaty ātmanātmānam ātmā devaḥ svamāyayā /	kalpayati AtmanA-AtmAnam AtmA devaH sva-mAyayA /
   sa eva budhyate bhedān iti vedāntaniścayaḥ // 2.12 //	saH eva buDyate BedAn iti vedAnta-niScayaH // 2.12 //
   vikaroty aparān bhāvān antaś citte (vyavasthitān [B:]avyavasthitān) /	vikaroti aparAn BAvAn antar citte (vyavasTitAn [B:]a-vyavasTitAn) /
   niyatāṃś ca bahiś citte evaṃ kalpayate prabhuḥ // 2.13 //	niyatAn ca bahis citte evam kalpayate praBuH // 2.13 //
   citta(kālā hi [B:]kālāś ca) ye 'ntas tu dvayakālāś ca ye bahiḥ /	citta(kAlAH hi [B:]kAlAH ca) ye antar tu dvaya-kAlAH ca ye bahis /
   kalpitā eva te sarve viśeṣo nānyahetukaḥ // 2.14 //	kalpitAH eva te sarve viSezaH na-anya-hetukaH // 2.14 //
   avyaktā eva ye 'ntas tu sphuṭā eva ca ye bahiḥ /	avyaktAH eva ye antar tu sPuwAH eva ca ye bahis /
   kalpitā eva te sarve viśeṣas tv indriyāntare // 2.15 //	kalpitAH eva te sarve viSezaH tu indriya-antare // 2.15 //
   jīvaṃ kalpayate pūrvaṃ tato bhāvān pṛthagvidhān /	jIvam kalpayate pUrvam tatas BAvAn pRTagviDAn /
   bāhyān ādhyātmikāṃś caiva yathāvidyas tathāsmṛtiḥ // 2.16 //	bAhyAn ADyAtmikAn ca-eva yaTA-vidyaH taTA-asmRtiH // 2.16 //
   aniścitā yathā rajjur andhakāre vikalpitā /	aniScitAH yaTA rajjuH anDakAre vikalpitA /
   sarpadhārādibhir bhāvais tadvad ātmā vikalpitaḥ // 2.17 //	sarpa-DArA-AdiBiH BAvEH tadvat AtmA vikalpitaH // 2.17 //
   niścitāyāṃ yathā rajjvāṃ vikalpo vinivartate /	niScitAyAm yaTA rajjvAm vikalpaH vinivartate /
   rajjur eveti cādvaitaṃ tadvad ātmaviniścayaḥ // 2.18 //	rajjuH eva-iti ca-advEtam tadvat Atma-viniScayaH // 2.18 //
   prāṇādibhir (anantaiś ca [B,S:]anantais tu) $ bhāvair etair vikalpitaḥ /	prANa-AdiBiH (anantEH ca [B,S:]anantEH tu) $ BAvEH etEH vikalpitaH /
   māyaiṣā tasya devasya (yayā saṃmohitaḥ [B,S:]yayāyaṃ mohitaḥ) svayam //	mAyA-ezA tasya devasya (yayA saMmohitaH [B,S:]yayA-ayam mohitaH) svayam //
   (prāṇa [B:]prāṇā) iti prāṇavido bhūtānīti ca tadvidaḥ /	(prANaH [B:]-prANA) iti prANa-vidaH BUtAni-iti ca tad-vidaH /
   guṇā iti guṇavidas tattvānīti ca tadvidaḥ // 2.20 //	guNAH iti guNa-vidaH tattvAni-iti ca tad-vidaH // 2.20 //
   pādā iti pādavido viṣayā iti tadvidaḥ /	pAdAH iti pAda-vidaH vizayAH iti tad-vidaH /
   lokā iti lokavido devā iti ca tadvidaḥ // 2.21 //	lokAH iti loka-vidaH devAH iti ca tad-vidaH // 2.21 //
   vedā iti vedavido yajñā iti ca tadvidaḥ /	vedAH iti veda-vidaH yajQAH iti ca tad-vidaH /
   bhokteti ca bhoktṛvido bhojyam iti ca tadvidaḥ // 2.22 //	BoktA-iti ca BoktR-vidaH Bojyam iti ca tad-vidaH // 2.22 //
   sūkṣma iti sūkṣmavidaḥ sthūla iti ca tadvidaḥ /	sUkzmaH iti sUkzma-vidaH sTUlaH iti ca tad-vidaH /
   mūrta iti mūrtavido amūrta iti ca tadvidaḥ // 2.23 //	mUrtaH iti mUrta-vidaH amUrtaH iti ca tad-vidaH // 2.23 //
   kāla iti kālavido diśa iti ca tadvidaḥ /	kAlaH iti kAla-vidaH diSaH iti ca tad-vidaH /
   vādā iti vādavido bhuvanānīti tadvidaḥ // 2.24 //	vAdAH iti vAda-vidaH BuvanAni-iti tad-vidaH // 2.24 //
   mana iti manovido buddhir iti ca tadvidaḥ /	manaH iti manaH-vidaH budDiH iti ca tad-vidaH /
   cittam iti cittavido dharmādharmau ca tadvidaḥ // 2.25 //	cittam iti citta-vidaH Darma-aDarmO ca tad-vidaH // 2.25 //
   pañcaviṃśaka ity eke ṣaḍviṃśa iti cāpare /	paQcaviMSakaH iti eke zaxviMSaH iti ca-apare /
   ekatriṃśaka ity āhur ananta iti cāpare // 2.26 //	ekatriMSakaH iti AhuH anantaH iti ca-apare // 2.26 //
   lokāṃl lokavidaḥ prāhur āśramā iti tadvidaḥ /	lokAn loka-vidaH prAhuH ASramAH iti tad-vidaH /
   strīpuṃnapuṃsakaṃ laiṅgāḥ parāparam athāpare // 2.27 //	strI-puMnapuMsakam lEFgAH para-aparam aTa-apare // 2.27 //
   sṛṣṭir iti sṛṣṭivido laya iti ca tadvidaḥ /	sRzwiH iti sRzwi-vidaH layaH iti ca tad-vidaH /
   sthitir iti sthitividaḥ (sarve [B:]sarvaṃ) ceha tu sarvadā // 2.28 //	sTitiH iti sTiti-vidaH (sarve [B:]-sarvan) ca-iha tu sarvadA // 2.28 //
   yaṃ bhāvaṃ darśayed yasya taṃ bhāvaṃ sa tu paśyati /	yam BAvam darSayet yasya tam BAvam sa tu paSyati /
   taṃ cāvati sa bhūtvāsau tadgrahaḥ samupaiti tam // 2.29 //	tam ca-avati sa BUtvA-asO tad-grahaH samupEti tam // 2.29 //
   etair eṣo apṛthagbhāvaiḥ pṛthag eveti lakṣitaḥ /	etEH ezaH apRTagBAvEH pRTak eva-iti lakzitaH /
   evaṃ yo veda tattvena kalpayet so 'viśaṅkitaḥ // 2.30 //	evam yaH veda tattvena kalpayet saH aviSaFkitaH // 2.30 //
   svapnamāye yathā dṛṣṭe gandharvanagaraṃ yathā /	svapna-mAye yaTA dRzwe ganDarvanagaram yaTA /
   tathā viśvam idaṃ dṛṣṭaṃ vedānteṣu vicakṣaṇaiḥ // 2.31 //	taTA viSvam idam dRzwam vedAntezu vicakzaNEH // 2.31 //
   na nirodho na cotpattir na baddho na ca sādhakaḥ /	na niroDaH na ca-utpattiH na badDaH na ca sADakaH /
   na mumukṣur na vai mukta ity eṣā paramārthatā // 2.32 //	na mumukzuH na vE muktaH iti ezA paramArTa-tA // 2.32 //
   bhāvair asadbhir evāyam advayena ca kalpitaḥ /	BAvEH asadBiH eva-ayam advayena ca kalpitaH /
   bhāvā apy advayenaiva tasmād advayatā śivā // 2.33 //	BAvAH api advayena-eva tasmAt advayatA SivAH // 2.33 //
   (nātma[B:]nānya)bhāvena nānedaṃ na svenāpi kathaṃcana /	(nA-Atma[-B:]nAnya)BAvena nAnA-idam na svena-api kaTaMcana /
   na pṛthaṅ nāpṛthak kiṃcid iti tattvavido viduḥ // 2.34 //	na pRTak na-apRTak kiMcid iti tattva-vidaH viduH // 2.34 //
   vītarāgabhayakrodhair munibhir vedapāragaiḥ /	vIta-rAga-Baya-kroDEH muniBiH vedapAragEH /
   nirvikalpo hy ayaṃ dṛṣṭaḥ prapañcopaśamo 'dvayaḥ // 2.35 //	nirvikalpaH hi ayam dRzwaH prapaQca-upaSamaH advayaH // 2.35 //
   tasmād evaṃ viditvainam advaite yojayet smṛtim /	tasmAt evam viditvA-enam advEte yojayet smRtim /
   advaitaṃ samanuprāpya jaḍaval lokam ācaret // 2.36 //	advEtam samanuprApya jaxa-vat lokam Acaret // 2.36 //
   niḥstutir nirnamaskāro niḥsvadhākāra eva ca /	niHstutiH nirnamaskAraH niHsvaDAkAraH eva ca /
   calācalaniketaś ca yatir yādṛcchiko bhavet // 2.37 //	calAcala-niketaH ca yatiH yAdRcCikaH Bavet // 2.37 //
   tattvam ādhyātmikaṃ dṛṣṭvā tattvaṃ dṛṣṭvā tu bāhyataḥ /	tattvam ADyAtmikam dRzwvA tattvam dRzwvA tu bAhyatas /
   tattvībhūtas tadārāmas tattvād apracyuto bhavet // 2.38 //	tattvIBUtaH tad-ArAmaH tattvAt apracyutaH Bavet // 2.38 //
   [col: iti (gauḍapādīyakārikāyāṃ [B:]gauḍapādīye āgamaśāstre	[col: iti (gOxapAdIya-kArikAyAm [B:]-gOxapAdIye Agama-SAstre
   [S:]gauḍapādīyakārikāsu)vaitathyākhyaṃ	[S:]-gOxapAdIya-kArikA-su)vEtaTya-AKyam
   dvitīyaṃ (prakaraṇam [B:]prakaraṇaṃ samāptam) :col]	dvitIyam (prakaraNam [B:]-prakaraNam samAptam) :col]
   atha gauḍapādīyakārikāsv advaitākhyaṃ tṛtīyaṃ prakaraṇam | oṃ	aTa gOxapAdIya-kArikAsu advEta-AKyam tRtIyam prakaraNam | om
   upāsanāśrito dharmo jāte brahmaṇi vartate /	upAsana-ASritaH DarmaH jAte brahmaNi vartate /
   prāg utpatter ajaṃ sarvaṃ tenāsau kṛpaṇaḥ smṛtaḥ // 3.1 //	prAk utpatteH ajam sarvam tena-asO kRpaNaH smRtaH // 3.1 //
   ato vakṣyāmy akārpaṇyam ajāti samatāṃ gatam /	atas vakzyAmi akArpaNyam ajAti sama-tAm gatam /
   yathā na jāyate kiṃcij jāyamānaṃ samantataḥ // 3.2 //	yaTA na jAyate kiMcid jAyamAnam samantataH // 3.2 //
   ātmā hy ākāśavaj jīvair ghaṭākāśair ivoditaḥ /	AtmA hi AkASa-vat jIvEH Gawa-AkASEH iva-uditaH /
   ghaṭādivac ca saṃghātair jātāv etan nidarśanam // 3.3 //	Gawa-Adi-vat ca saMGAtEH jAtO etat nidarSanam // 3.3 //
   ghaṭādiṣu pralīneṣu ghaṭākāśādayo yathā /	Gawa-Adizu pralInezu Gawa-AkASa-AdayaH yaTA /
   ākāśe saṃpralīyante tadvaj jīvā ihātmani // 3.4 //	AkASe saMpralIyante tadvat jIvAH iha-Atmani // 3.4 //
   yathaikasmin ghaṭākāśe rajodhūmādibhir yute /	yaTA-ekasmin Gawa-AkASe rajaH-DUma-AdiBiH yute /
   na sarve saṃprayujyante tadvaj jīvāḥ sukhādibhiḥ // 3.5 //	na sarve saMprayujyante tadvat jIvAH suKa-AdiBiH // 3.5 //
   rūpakāryasamākhyāś ca bhidyante tatra tatra vai /	rUpa-kArya-samAKyAH ca Bidyante tatra tatra vE /
   ākāśasya na bhedo 'sti tadvaj jīveṣu nirṇayaḥ // 3.6 //	AkASasya na BedaH asti tadvat jIvezu nirNayaH // 3.6 //
   nākāśasya ghaṭākāśo vikārāvayavau yathā /	na-AkASasya Gawa-AkASaH vikAra-avayavO yaTA /
   naivātmanaḥ sadā jīvo vikārāvayavau tathā // 3.7 //	na-eva-AtmanaH sadA jIvaH vikAra-avayavO taTA // 3.7 //
   yathā bhavati bālānāṃ gaganaṃ malinaṃ malaiḥ /	yaTA Bavati bAlAnAm gaganam malinam malEH /
   tathā bhavaty abuddhānām ātmāpi malino malaiḥ // 3.8 //	taTA Bavati abudDAnAm AtmA-api malinaH malEH // 3.8 //
   maraṇe saṃbhave caiva gatyāgamanayor api /	maraNe saMBave ca-eva gati-AgamanayoH api /
   (sthitau [B:]sthitaḥ) sarvaśarīreṣu (ākāśenā[K,S:]cākāśenā)vilakṣaṇaḥ	(sTitO [B:]-sTitaH) sarva-SarIrezu (a-AkASena-a[K,S:]ca-AkASenA)-vilakzaNaH
   [CHECK!] // 3.9 //	[SHECK!] // 3.9 //
   saṃghātāḥ svapnavat (sarve [K: ,S:]sarve) ātmamāyāvisarjitāḥ [CHECK!] /	saMGAtAH svapna-vat (sarve [K: ,S:]-sarve) Atma-mAyA-visarjitAH [SHECK!] /
   ādhikye sarvasāmye vā nopapattir hi vidyate // 3.10 //	ADikye sarva-sAmye vA na-upapattiH hi vidyate // 3.10 //
   rasādayo hi ye kośā vyākhyātās taittirīyake /	rasa-AdayaH hi ye koSAH vyAKyAtAH tEttirIyake /
   teṣāṃ ātmā paro jīvaḥ (khaṃ yathā [B:]sayathā) saṃprakāśitaḥ // 3.11 //	tezAm AtmA paraH jIvaH (Kam yaTA [B:]sa-yaTA) saMprakASitaH // 3.11 //
   dvayor dvayor madhujñāne paraṃ brahma prakāśitam /	dvayoH dvayoH maDu-jQAne param brahma prakASitam /
   pṛthivyām udare caiva yathākāśaḥ prakāśitaḥ // 3.12 //	pRTivyAm udare ca-eva yaTA-AkASaH prakASitaH // 3.12 //
   jīvātmanor ananyatvam abhedena praśasyate /	jIvAtmanoH ananya-tvam aBedena praSasyate /
   nānātvaṃ nindyate yac ca tad evaṃ hi samañjasam // 3.13 //	nAnAtvam nindyate yat ca tat evam hi samaQjasam // 3.13 //
   jīvātmanoḥ pṛthaktvaṃ yat prāg utpatteḥ prakīrtitam /	jIvAtmanoH pRTaktvam yat prAk utpatteH prakIrtitam /
   bhaviṣyadvṛttyā gauṇaṃ tan mukhyatvaṃ (hi na [B:]na hi) yujyate // 3.14 //	Bavizyat-vRttyA gONam tat muKya-tvam (hi na [B:]na hi) yujyate // 3.14 //
   mṛllohavisphuliṅgādyaiḥ sṛṣṭir yā coditānyathā /	mRd-loha-visPuliFga-AdyEH sRzwiH yA coditA-anyaTA /
   upāyaḥ so 'vatārāya nāsti bhedaḥ kathaṃcana // 3.15 //	upAyaH saH avatArAya na-asti BedaH kaTaMcana // 3.15 //
   āśramās trividhā hīna $ madhyamotkṛṣṭadṛṣṭayaḥ /	ASramAH triviDA hInaH $ maDyama-utkRzwa-dRzwayaH /
   upāsanopadiṣṭeyaṃ tadartham anukampayā // 3.16 //	upAsana-upadizwA-iyam tad-arTam anukampayA // 3.16 //
   svasiddhāntavyavasthāsu dvaitino niścitā dṛḍham /	sva-sidDAnta-vyavasTAsu dvEtinaH niScitA dRXam /
   parasparaṃ virudhyante tair ayaṃ na virudhyate // 3.17 //	parasparam viruDyante tEH ayam na viruDyate // 3.17 //
   advaitaṃ paramārtho hi dvaitaṃ tadbheda ucyate /	advEtam parama-arTaH hi dvEtam tad-BedaH ucyate /
   teṣām ubhayathā dvaitaṃ tenāyaṃ na virudhyate // 3.18 //	tezAm uBayaTA dvEtam tena-ayam na viruDyate // 3.18 //
   māyayā bhidyate hy etan nānyathājaṃ kathaṃcana /	mAyayA Bidyate hi etat na-anyaTA-Ajam kaTaMcana /
   tattvato bhidyamāne hi martyatām amṛtaṃ vrajet // 3.19 //	tattvataH BidyamAne hi martyatAm amRtam vrajet // 3.19 //
   ajātasyaiva bhāvasya jātim icchanti vādinaḥ /	ajAtasya-eva BAvasya jAtim icCanti vAdinaH /
   ajāto hy amṛto bhāvo martyatāṃ katham eṣyati // 3.20 //	ajAtaH hi amRtaH BAvaH martyatAm kaTam ezyati // 3.20 //
