   agre māhiṣakaṃ dṛṣṭvā YS182v_3.16a	agre mAhizakam dRzwvA YS182u-_3.16a
   kukarmasthās tu ye viprā YS182v_4.55c	kukarma-sTAH tu ye viprAH YS182u-_4.55c
   kukkuṭāṇḍakamātraṃ tu YS182v_2.5a	kukkuwa-aNxaka-mAtram tu YS182u-_2.5a
   kunakhī śyāvadantakaḥ YS182v_3.34b	kunaKI SyAva-dantakaH YS182u-_3.34b
   kumbhīpākeṣu pacyante YS182v_4.61c	kumBIpAkezu pacyante YS182u-_4.61c
   kulamitrārdhasīriṇaḥ YS182v_3.10b	kula-mitra-arDa-sIriNaH YS182u-_3.10b
   kuśāśvatthapalāśayoḥ YS182v_3.63b	kuSa-aSvatTa-palASayoH YS182u-_3.63b
   kūpe vā cāvaṭe 'pi vā YS182v_4.3b	kUpe vA ca-avawe api vA YS182u-_4.3b
   kṛcchraṃ vai dvādaśābdikam YS182v_4.25b	kRcCram vE dvAdaSa-Abdikam YS182u-_4.25b
   kṛcchraṃ sāṃtapanaṃ smṛtam YS182v_1.13d	kRcCram sAMtapanam smRtam YS182u-_1.13d
   kṛcchraṃ sāṃtapanādikam YS182v_1.10d	kRcCram sAMtapana-Adikam YS182u-_1.10d
   kṛcchrārdhaṃ saṃprakurvīta YS182v_1.7c	kRcCra-arDam saMprakurvIta YS182u-_1.7c
   kṛcchreṇa śudhyate śūdrī YS182v_3.68c	kRcCreNa SuDyate SUdrI YS182u-_3.68c
   kṛtaghnā duṣṭacāriṇaḥ YS182v_4.6b	kRtaGnAH duzwa-cAriNaH YS182u-_4.6b
   kṛtā vipreṇa caiva hi YS182v_4.45b	kRtA vipreNa ca-eva hi YS182u-_4.45b
   kṛtvā gandhān samarca[rpa]yet YS182v_3.32b	kRtvA ganDAn samarca-[rpa]yet YS182u-_3.32b
   kṛtvā 'ghamarṣaṇaṃ pakṣaṃ YS182v_1.15c	kRtvA aGamarzaNam pakzam YS182u-_1.15c
   kṛmibhir brahmasaṃyuktaṃ YS182v_1.7a	kRmiBiH brahma-saMyuktam YS182u-_1.7a
   ko vidhiḥ sa vinirdiṣṭaḥ YS182v_4.19a	kaH viDiH sa vinirdizwaH YS182u-_4.19a
   kṣaṇitā vā prayatnataḥ YS182v_5.8b	kzaNitAH vA prayatnataH YS182u-_5.8b
   kṣattriṇyāṃ viśa eva vā YS182v_4.47b	kzattriNyAm viSaH eva vA YS182u-_4.47b
   kṣattriyo brāhmaṇīsaktaḥ YS182v_4.47a	kzattriyaH brAhmaNI-saktaH YS182u-_4.47a
   kṣattriyo vaiśya eva ca YS182v_3.47b	kzattriyaH vESyaH eva ca YS182u-_3.47b
   kṣayaṃ yāti na saṃśayaḥ YS182v_4.20b	kzayam yAti na saMSayaH YS182u-_4.20b
   khātaṃ vāpī tathā kūpa- YS182v_4.1a	KAtam vApI taTA kUpa YS182u-_4.1a
   khāte ca patitā yā gauḥ YS182v_4.3a	KAte ca patitA yAH gOH YS182u-_4.3a
   gatvā cāndrāyaṇaṃ kuryāt YS182v_2.1c	gatvA cAndrAyaNam kuryAt YS182u-_2.1c
   gatvā tu praviśed agniṃ YS182v_3.7c	gatvA tu praviSet agnim YS182u-_3.7c
   garbhe jāte parityāgo YS182v_4.36c	garBe jAte parityAgaH YS182u-_4.36c
   gavādiprāṇihiṃsanam YS182v_5.6b	gavA-Adi-prANi-hiMsanam YS182u-_5.6b
   gavāṃ ca [vi]ghātam uttamam YS182v_4.11b	gavAm ca [vi]GAtam uttamam YS182u-_4.11b
   gavāṃ madhye vased rātrau YS182v_4.15c	gavAm maDye vaset rAtrO YS182u-_4.15c
   gām ālabhya viśudhyati YS182v_3.9d	gAm AlaBya viSuDyati YS182u-_3.9d
   gāyatryā cāyutatrayam YS182v_4.38b	gAyatryA ca-ayuta-trayam YS182u-_4.38b
   gāyatryā vyāhṛtibhiś ca YS182v_3.59a	gAyatryA vyAhRtiBiH ca YS182u-_3.59a
   gāyatryā śodhanaṃ param YS182v_3.46d	gAyatryA SoDanam param YS182u-_3.46d
   gāvo dūrapracāreṇa YS182v_4.60a	gAvaH dUra-pracAreNa YS182u-_4.60a
   gokṣattriyaṃ tathā vaiśyaṃ YS182v_2.4a	gokzattriyam taTA vESyam YS182u-_2.4a
   goghno 'ham iti vācayet YS182v_4.14d	go-GnaH aham iti vAcayet YS182u-_4.14d
   gobrāhmaṇahataṃ dagdhaṃ YS182v_1.6a	go-brAhmaNa-hatam dagDam YS182u-_1.6a
   gomāṃsabhakṣaṇe kṛte YS182v_2.3b	go-mAMsa-BakzaNe kRte YS182u-_2.3b
   gomūtrayāvakāhāraḥ YS182v_1.8c	go-mUtra-yAvaka-AhAraH YS182u-_1.8c
   gomūtraṃ gomayaṃ kṣīraṃ YS182v_1.13a	go-mUtram gomayam kzIram YS182u-_1.13a
   govadhe caiva yat pāpaṃ YS182v_4.2a	go-vaDe ca-eva yat pApam YS182u-_4.2a
   govartapatitā gāvaḥ YS182v_4.10c	govarta-patitAH gAvaH YS182u-_4.10c
   goṣṭhe nivasanaṃ kāryaṃ YS182v_4.14c	gozWe nivasanam kAryam YS182u-_4.14c
   grāsaṃ ca parikalpayet YS182v_2.5b	grAsam ca parikalpayet YS182u-_2.5b
   ghṛtaṃ yonyāṃ kṣiped ghoraṃ YS182v_4.37c	GRtam yonyAm kzipet Goram YS182u-_4.37c
   ghṛtāhutyā śatāṣṭakaṃ YS182v_3.58d	GRta-AhutyA Sata-azwakam YS182u-_3.58d
   caturṇām api varṇanāṃ YS182v_3.64c	caturNAm api varNanAm YS182u-_3.64c
   caturṇām api varṇānāṃ YS182v_1.1c	caturNAm api varNAnAm YS182u-_1.1c
   carec cāndrāyaṇadvayam YS182v_4.44b	caret cAndrAyaNa-dvayam YS182u-_4.44b
   carec cāndrāyaṇavratam YS182v_3.11d	caret cAndrAyaNa-vratam YS182u-_3.11d
   carec cāndrāyaṇaṃ vratam YS182v_2.4d	caret cAndrAyaNam vratam YS182u-_2.4d
   caret sāṃtapanaṃ vipraḥ YS182v_1.11a	caret sAMtapanam vipraH YS182u-_1.11a
   cāṇḍālaghaṭabhāṇḍasthaṃ YS182v_1.9a	cANxAla-Gawa-BANxa-sTam YS182u-_1.9a
   cāṇḍālabhāṇḍasaṃspṛṣṭaṃ YS182v_1.8a	cANxAla-BANxa-saMspRzwam YS182u-_1.8a
   cāṇḍālamūrtikā ye ca YS182v_1.14a	cANxAla-mUrtikAH ye ca YS182u-_1.14a
   cāṇḍālam ṛtumatstriyaḥ YS182v_3.8b	cANxAlam Rtumat-striyaH YS182u-_3.8b
   cāṇḍālānnaṃ bhakṣayitvā YS182v_1.12a	cANxAla-annam BakzayitvA YS182u-_1.12a
   cāṇḍālikāsu nārīṣu YS182v_1.15a	cANxAlikAsu nArIzu YS182u-_1.15a
   cāndrāyaṇam athāpi vā YS182v_1.12d	cAndrAyaNam aTa-api vA YS182u-_1.12d
   cāndrāyaṇena śudhyanti YS182v_1.4c	cAndrAyaNena SuDyanti YS182u-_1.4c
   cchedayed aṅguladvayam YS182v_4.17b	cCedayet aFgula-dvayam YS182u-_4.17b
   chatam aṣṭottareṇa hi YS182v_4.38d	Catam azwa-uttareNa hi YS182u-_4.38d
   jambūkena vṛkeṇa vā YS182v_1.2b	jambUkena vRkeNa vA YS182u-_1.2b
   jalāgnibandhanabhraṣṭāḥ YS182v_1.3a	jala-agni-banDana-BrazwAH YS182u-_1.3a
   jātake naiva mṛtakaṃ YS182v_4.20a	jAtake na-eva mRtakam YS182u-_4.20a
   jātake vartamāne 'pi YS182v_4.18c	jAtake vartamAne api YS182u-_4.18c
   jātake sū([mṛ])take vā 'pi YS182v_5.12c	jAtake sU([mR])take vA api YS182u-_5.12c
   jātam antyajasaṃjñakam YS182v_5.2b	jAtam antyaja-saMjQakam YS182u-_5.2b
   jātarūpyaṃ suvarṇaṃ tu YS182v_3.9a	jAtarUpyam suvarNam tu YS182u-_3.9a
   jñātvā caiva vratadvayam YS182v_2.2d	jQAtvA ca-eva vrata-dvayam YS182u-_2.2d
   jñātvā viśeṣeṇa tataś YS182v_2.4c	jQAtvA viSezeNa tatas YS182u-_2.4c
   jñā[snā]nena lepopahatasya śuddhiḥ YS182v_3.61d	jQA[snA]nena lepa-upahatasya SudDiH YS182u-_3.61d
   jyeṣṭhabhrātā tathaiva ca YS182v_3.22b	jyezWa-BrAtA taTA-eva ca YS182u-_3.22b
   jyeṣṭhena vā kaniṣṭhena YS182v_5.21a	jyezWena vA kanizWena YS182u-_5.21a
   jyeṣṭhena hi kṛtaṃ sarvaṃ YS182v_5.14c	jyezWena hi kRtam sarvam YS182u-_5.14c
   takṣacarmopajīvinaḥ YS182v_3.52d	takza-carma-upajIvinaH YS182u-_3.52d
   tataḥ karma samācaret YS182v_3.59b	tatas karma samAcaret YS182u-_3.59b
   tat kṣaṇe 'sau vidhīyate YS182v_3.25d	tat kzaNe asO viDIyate YS182u-_3.25d
   tatkṣanāt kṣipate yas tu YS182v_1.9c	tad-kzanAt kzipate yaH tu YS182u-_1.9c
   tat pāpaṃ na praṇaśyati YS182v_3.60b	tat pApam na praNaSyati YS182u-_3.60b
   tat pāpaṃ parṣadaṃ vrajet YS182v_4.29d	tat pApam parzadam vrajet YS182u-_4.29d
   tatsamo nātra saṃśayaḥ YS182v_4.23b	tad-samaH na-atra saMSayaH YS182u-_4.23b
   tat sarvaṃ saphalaṃ bhavet YS182v_5.12d	tat sarvam saPalam Bavet YS182u-_5.12d
   tathā kṣattriyavaiśyau vā YS182v_4.42c	taTA kzattriya-vESyO vA YS182u-_4.42c
   tathā carmopajīvinīm YS182v_2.1d	taTA carma-upajIvinIm YS182u-_2.1d
   tathā ca vṛṣalīpatiḥ YS182v_3.26b	taTA ca vRzalI-patiH YS182u-_3.26b
   tathā caiva tu mohitaḥ YS182v_3.53b	taTA ca-eva tu mohitaH YS182u-_3.53b
   tathā devalakaś caiva YS182v_3.37c	taTA devalakaH ca-eva YS182u-_3.37c
   tathā pātakināṃ caiva YS182v_4.24a	taTA pAtakinAm ca-eva YS182u-_4.24a
   tathā strīṇāṃ ca dāpayet YS182v_4.32b	taTA strINAm ca dApayet YS182u-_4.32b
   tathā strīṇāṃ vigarhitam YS182v_4.35b	taTA strINAm vigarhitam YS182u-_4.35b
   tathaiva mantravidyuktaḥ YS182v_3.41a	taTA-eva mantra-vidyuktaH YS182u-_3.41a
   tadardhaṃ tu cared vaiśyaḥ YS182v_1.11c	tad-arDam tu caret vESyaH YS182u-_1.11c
   tadbhakṣaṇe japen nityaṃ YS182v_3.12c	tad-BakzaNe japet nityam YS182u-_3.12c
   tadvat salilam eva ca YS182v_1.12b	tadvat salilam eva ca YS182u-_1.12b
   tanayāgāmināṃ tathā YS182v_2.2b	tanaya-AgAminAm taTA YS182u-_2.2b
   taptakṛcchradvayaṃ caret YS182v_1.6d	taptakRcCra-dvayam caret YS182u-_1.6d
   taptakṛcchradvayena ca YS182v_1.4d	taptakRcCra-dvayena ca YS182u-_1.4d
   taptakṛcchraṃ cared vipro YS182v_2.3c	taptakRcCram caret vipraH YS182u-_2.3c
   taptakṛcchraṃ samācaret YS182v_1.14d	taptakRcCram samAcaret YS182u-_1.14d
   taptakṛcchraṃ samācaret YS182v_3.4d	taptakRcCram samAcaret YS182u-_3.4d
   tasmāc ca pāpinā grāhyaṃ YS182v_4.7a	tasmAt ca pApinA grAhyam YS182u-_4.7a
   tasmāc chāstrānusāreṇa YS182v_4.30a	tasmAt SAstra-anusAreNa YS182u-_4.30a
   tasmāt pāpād viśuddhyarthaṃ YS182v_4.49c	tasmAt pApAt viSudDi-arTam YS182u-_4.49c
   tasmāt sarvaprayatnena YS182v_3.40a	tasmAt sarva-prayatnena YS182u-_3.40a
   tasmād brāhmaṇa([ṇya])m uttamam YS182v_5.3d	tasmAt brAhmaNa-([Nya])m uttamam YS182u-_5.3d
   tasya kālasya kā kriyā YS182v_3.57b	tasya kAlasya kA kriyA YS182u-_3.57b
   tasyās tu yo bhaved bhartā YS182v_3.24c	tasyAH tu yaH Bavet BartA YS182u-_3.24c
   tasyāṃ caiva prasūtasya YS182v_3.15c	tasyAm ca-eva prasUtasya YS182u-_3.15c
   taṃ tu vidyād ajāvikam YS182v_3.24d	tam tu vidyAt ajAvikam YS182u-_3.24d
   tān doṣān kṣamate yas tu YS182v_3.17c	tAn dozAn kzamate yaH tu YS182u-_3.17c
   tāratam yena dātavyam YS182v_4.34c	tAratam yena dAtavyam YS182u-_4.34c
   tāratam yena dātavyaṃ YS182v_4.41a	tAratam yena dAtavyam YS182u-_4.41a
   tāratam yena vā dvijaiḥ YS182v_5.6d	tAratam yena vA dvijEH YS182u-_5.6d
   tāvaccīrṇavratasyāpi YS182v_3.60a	tAvat-cIrNa-vratasya-api YS182u-_3.60a
   tāvato grasate pretya YS182v_3.29c	tAvataH grasate pretya YS182u-_3.29c
   tṛṇāgreṇāpi saṃspṛṣṭvā YS182v_3.26c	tRNa-agreNa-api saMspRzwvA YS182u-_3.26c
   tena snātvā ca pītvā ca YS182v_3.9c	tena snAtvA ca pItvA ca YS182u-_3.9c
   tebhyo dattam anantaṃ hi YS182v_4.55a	teByaH dattam anantam hi YS182u-_4.55a
   tebhyo dattaṃ niṣphalaṃ syān YS182v_4.56c	teByaH dattam nizPalam syAn YS182u-_4.56c
   teṣāṃ caiva viśeṣataḥ YS182v_4.35d	tezAm ca-eva viSezataH YS182u-_4.35d
