   Adhyaya 2, Pada 1	ADyayaH 2, Pada 1
   kintu pādacatuṣyayārthasaṅgato '(pya)yaṃ na niṣkṛṣṭaikatraiva pāde	kintu pAda catuzyaya arTa saFgataH a(pi a)yam na nizkRzwa ekatra eva pAde
   'ntarbhavati /	antarBavati /
   tato 'dhyāyādau tadante vā vaktavyaḥ /	tatas aDyAya AdO tad ante vA vaktavyaH /
   prathamātikrame ca kāraṇaṃ na kiñcidastītyādyādhikaraṇe nirūpyata iti /	praTama atikrame ca kAraNam na kiQcid asti ityAdya aDikaraNe nirUpyate iti /
   evañca tatrāpi ca smṛterityayamuktasyāpavādo bhavannapi na sarvathetyuktaṃ	evaQca tatra api ca smRteH iti ayam uktasya apavAdaH Bavan= api na sarvaTA iti uktam
   bhavati /	Bavati /
   samayādivirodhasyāpi parihāreṇa	samaya Adi viroDasya api parihAreNa
   niṣkṛṣṭapādārthābhāvādyuktivirodhaparihārasyāpi	nizkRzwa pAda arTa aBAvAt yukti viroDa parihArasya api
   bhāvenāntarbhāvasambhavācca /	BAvena antar BAva samBavAt ca /
   ekasyaivādhikaraṇasya pādacatuṣyayārthasambandhena	ekasya eva aDikaraNasya pAda catuzyaya arTa sambanDena
   catussvarūpatvakathana(nena)prasaṅgacchiṣyāṇāṃ śāstre	catur sva rUpa tva kaTana( nena) prasaFgat SizyANAm SAstre
   bahumānotpādanāyānyadapi cāturvidhyaṃ vakti  pratyekamiti //	bahu mAna utpAdanAya anyat api cAturviDyam vakti pratyekam iti //
   ... pratyekaṃ caturātmakāḥ /	... pratyekam catur AtmakAH /
   pādāḥ sarve tadaṃśāśca ... // MAnuv_2,1.2bc //	pAdAH sarve tad aMSAH ca ... // Ma anuv_2,1.2bc //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   catvāro 'pi pādāḥ pratyekaṃ caturātmakāḥ pādacatuṣyayārthavanto draṣṭavyāḥ	catvAraH api pAdAH pratyekam catur AtmakAH pAda catuzyayA arTavantaH drazwavyAH
   tadyathā /	tat yaTA /
   yuktivirodhaparihāralakṣaṇo 'pyayaṃ pādaḥ	yukti viroDa parihAra lakzaNaH api ayam pAdaH
   samayāditrayavirodhaparihārātmako 'pi bhavati /	samaya Adi traya viroDa parihAra AtmakaH api Bavati /
   tathā samayavirodhaparihāralakṣaṇo 'pi dvitīyo	taTA samaya viroDa parihAra lakzaNaH api dvitIyaH 
   yuktyāditrayavirodhaparihārātmako 'pi bhavatītyādi /	yukti Adi traya viroDa parihAra AtmakaH api Bavati ityAdi /
   pādā ityevokte sannihitatvādetadadhyāyagatā eveti jñāyate /	pAdAH iti eva ukte sannihita tvAt etat aDyAya gatAH eva iti jQAyate /
   tadarthaṃ sarve ityuktam /	tad arTam sarve iti uktam /
   sarvādhyāyasambandhino 'pītyarthaḥ /	sarva aDyAya sambanDinaH api iti arTaH /
   yo yadadhyāyagataḥ pādaḥ sa	yaH yat aDyAya gataH pAdaH sa
   tadadhyāya(gata)pādacatuṣyayārthavānavadhe(se)yaḥ /	tad aDyAya( gata)pAda catuzyaya arTavAn avaDe( se)yaH /
   na kevalamevaṃ pādāḥ, kintu tadaṃśāśca te pādā aṃśā yeṣāṃ te tadaṃśā	na kevalam evam pAdAH, kintu tad aMSAH ca te pAdAH aMSAH yezAm te tad aMSA
   adhyāyā ityarthaḥ /	aDyAyAH iti arTaH /
   prathamādhyāyaḥ samanvayasyevāvirodhāditrayasyāpi pratipādako bhavatītyādi	praTama aDyAyaH samanvayasya iva aviroDa Adi trayasya api pratipAdakaH Bavati ityAdi
   pādānāṃ caturātmakatve 'dhikaraṇānāṃ tathātvaṃ siddhameva /	pAdAnAm catur Atmaka tve aDikaraNAnAm taTAtvam sidDam eva /
   na caivamadhyāyādibhedānupapattiḥ paunaruktyadoṣaśceti vācyam /	na ca evam aDyAya Adi Beda anupapattiH pOnaruktyadozaH ca iti vAcyam /
   vivakṣābhedena sāmañjasyāt /	vivakzA Bedena sAmaQjasyAt /
   yadā prathamaḥ samanvayasyārtho vivakṣyate na tadā tadarthatetareṣāmityādi	yadA praTamaH samanvayasya arTaH vivakzyate na tadA tad arTa tA itarezAm ityAdi
   anyadādi cāturvidhyaṃ śāstrasya darśayati  mūrtīnāmiti //	anyat Adi cAturviDyam SAstrasya darSayati mUrtInAm iti //
   Vyāsa (8)	VyAsa (8)
   ... mūrtīnāṃ varṇamā'gamāt // MAnuv_2,1.2d //	... mUrtInAm varNam A agamAt // MA anuv_2,1.2d //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   catasṛṇāṃ vāsudevādimūrtīnāṃ pratipādakatvenāpi caturātmakatvaṃ	catasRNAm vAsudeva Adi mUrtInAm pratipAdaka tvena api catur Atmaka tvam
   jñātavyamiti yojanā /	jQAtavyam iti yojanA /
   nanvetaduktameva, punaḥ kasmāducyata ityata āha  varṇamiti //	nanu etat uktam eva, punar kasmAt ucyate iti atas Aha varNam iti //
   atrāgamādityāṅgadvayasyopaśleṣo draṣṭavyaḥ /	atra Agama Aditya aFga dvayasya upaSlezaH drazwavyaH /
   tatrādyasyārabhyetyarthaḥ /	tatra Adyasya AraByA iti arTaH /
   dvitīyo 'bhividhau /	dvitIyaH aBiviDO /
   āgama iti caturadhyāyiśāstramucyate /	AgamaH iti caturaDyAyi SAstram ucyate /
   tataścāyamarthaḥ /	tatas ca ayam arTaH /
   na kevalaṃ pratyakṣaraṃ pratipadaṃ pratisūtraṃ pratyadhikaraṇaṃ	na kevalam pratyakzaram pratipadam pratisUtram pratyaDikaraNam
   kintvetacchāstragatamekaṃ varṇamārabhya ā sarvaśāstrāt, pratyadhikaraṇaṃ	kintu etat SAstra gatam ekam varNam AraByaH A sarva SAstra at, pratyaDikaraNam
   pratipādaṃ pratyādhyāyaṃ samastena śāstreṇa ca catasro mūrtayaḥ	pratipAdam pratyADyAyam samastena SAstreNa ca catasraH mUrtayaH
   pratipādyanta ityarthaḥ /	pratipAdyante iti arTaH /
   kuta etadavagantavyamityata āha  āgamāditi //	kutas etat avagantavyam iti atas Aha AgamAt iti //
   bṛhattantrāderityarthaḥ /	bRhat tantra AdeH iti arTaH /
   *5,26f.*	*5,26f.*
   etatpādādhikaraṇapūrvapakṣasiddhāntayuktīḥ saṅkṣepeṇāha  āptatetyādinā //	etad pAda aDikaraNa pUrva pakza sidDAnta yuktIH saFkzepeNa aha Apta tA ityAdinA //
   āptatā samatādṛṣṭiśrutisāmyabalādbhavāḥ /	Apta tA samatA dRzwi Sruti sAmya balAt BavAH /
   sarvānusāro laghutā viśeṣādarśanāphale // MAnuv_2,1.3 //	sarva anusAraH laGu tA viSeza adarSana aPale // Ma anuv_2,1.3 //
   iṣyasiddhiśca niyamaḥ pūrvapakṣeṣu yuktayaḥ /	izya sidDiH ca niyamaH pUrva pakzezu yuktayaH /
   etā eva tvatibalā siddhāntasya niyāmakāḥ // MAnuv_2,1.4 //	etAH eva tu atibalA sidDAntasya niyAmakAH // Ma anuv_2,1.4 //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   uktārthaṃ smṛtivirodhenākṣipya samādadhatsūtram oṃ	ukta arTam smRti viroDena Akzipya samAdaDat sUtram om
   smṛtyanavakāśadoṣaprasaṅga iti cennānyasmṛtyanavakāśadoṣaprasaṅgāt oṃ //	smRti anavakASa doza prasaFgaH iti ced na anya smRti anavakASa doza prasaFgAt om //
   iti /	iti /
   asyārthaḥ /	asya arTaH /
   yaduktaṃ parasya brahmaṇo viṣṇoḥ sakalajagajjanmādikāraṇatvaṃ	yat uktam parasya brahmaNaH vizNoH sakala jagat janma Adi kAraNa tvam
   sārvajñyādisakalaguṇapūrṇatvaṃ samastadoṣadūratvaṃ ca tadayuktam /	sArvajQi Adi sakala guNa pUrNa tvam samasta doza dUra tvam ca tat ayuktam /
   pāśupatasāṅkhayabauddhārhatādismṛtiviruddhatvāt /	pASupatasAFKaya bOdDa arhata Adi smRti virudDa tvAt /
   tā hi śivaprabhṛtīnāmeva jagajjanmādikāraṇatvādikaṃ pratipādayanti /	tAH hi Siva praBRtInAm eva jagat janma Adi kAraNa tva Adikam pratipAdayanti /
   naca tāsāmanyo 'vakāśo 'sti yena pratīte 'pyarthe tātparyābhāvaṃ pratīmaḥ	na ca tAsAm anyaH avakASaH asti yena pratIte api arTe tAtparya aBAvam pratImaH
   anyathā tāsāṃ smṛtīnāmanavakāśenāprāmāṇyalakṣaṇadoṣaprasaṅga iti /	anyaTA tAsAm smRtInAm anavakASena aprAmANya lakzaNa doza prasaFgaH iti /
   tanna /	tat na /
   puruṣottamasyaiva pañcarātrādismṛtibhirakhilajagatkāraṇatvāderuktatvāt /	puruzottamasya eva paQca rAtra Adi smRtiBiH aKila jagat kAraNa tva AdeH ukta tvAt /
   apara(nya)thā tāsāṃ pāśupatādi(smṛti)bhyo 'nyāsāṃ	apara(nya)TA tAsAm pASupata Adi( smRti)ByaH anyAsAm
   pañcarātrādismṛtīnāmavakāśāntarābhāvenāprāmāṇyadoṣaprasaṅgāditi /	paQca rAtra Adi smRtInAm avakASa antara aBAvena aprAmANya doza prasaFgAt iti /
   tatrākṣepastāvadayamayuktaḥ /	tatra AkzepaH tAvat ayam ayuktaH /
   śrutisamanvayenāsyārthasya sādhitatvāt /	Sruti samanvayena asya arTasya sADita tvAt /
   śrutiviruddhānāṃ(ca) smṛtīnāmaprāmāṇyasyeṣṭatvāt /	Sruti virudDAnAn(ca) smRtInAm aprAmANyasya izwa tvAt /
   śrutisamanvayanyāyena pāśupatādismṛtīnāmapi parabrahmaṇi samanvayena	Sruti samanvaya nyAyena pASupata Adi smRtInAm api para brahmaNi samanvayena
   śivārcanādiparatvena vā sāvakāśatvācca /	Siva arcana Adi paratvena vA sa avakASa tvAt ca /
   samādhānamapīdamayuktam /	samADAnam api idam ayuktam /
   sakalaśāstrapramāṇakatvamuktārthasyābhidhāyedānīṃ smṛtimātropādāne	sakala SAstra pramANaka tva mukta arTasya aBiDAya idAnIm smRti mAtra upAdAne
   kāraṇābhāvāt /	kAraNa aBAvAt /
   parābhidhitsitaṃ doṣamavabuddhaya śrutiparityāgastvayuktaḥ /	para aBiDitsitam dozam avabudDaya Sruti parityAgaH tu ayuktaH /
   kintu sa parihartavyaḥ /	kintu sa parihartavyaH /
   anyathā prāgapi śrutiranādeyā syāt /	anyaTA prAk api SrutiH anAdeyA syAt /
   kiñca pañcarātrādismṛtīnāmaprāmāṇyaṃ parasyeṣyameva /	kiQca paQca rAtra Adi smRtInAm aprAmANyam parasya izyam eva /
   vāsudevārcanādiparatayā sāvakāśatāpi tena sambhāvyeta /	vAsudeva arcana Adi paratayA sa avakASa tA api tena samBAvyeta /
   sāmyāpādanamātre 'pi parasyaiva jayo niścayapratibandhakatvādityato	sAmya ApAdana mAtre api parasya eva jayaH niScaya pratibanDaka tva Aditi atas 
   nirdalaṃ pūrvapakṣa tāvadujjīvayati  āptairiti //	nirdalam pUrva pakza tAvat ujjIvayati AptEH iti //
   smṛtyanavakāśadoṣaprasaṅga iti cen nānyasmṛtyanavakāśadoṣaprasaṅgāt |	smRti anavakASa doza prasaFgaH iti ced na anya smRti anavakASa doza prasaFgAt |
   BBs_2,1.1 |	BBH _2,1.1 |
   āptaiḥ pratyakṣato dṛṣṭvā proktamarthaṃ kathaṃ śratiḥ /	AptEH pratyakzatas dRzwvA proktam arTam kaTam SratiH /
   pipīlikālipinibhā vārayeta sarvagā hi te // MAnuv_2,1.5 //	pipIlikA lipi niBAH vArayeta sarvagAH hi te // Ma anuv_2,1.5 //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   ayamihābhisandhiḥ pūrvapakṣiṇaḥ /	ayam iha aBisanDiH pUrva pakziNaH /
   śrutivirodhena smṛtīnāmaprāmāṇyamabhilaṣatā prabaladurbalatve sarvathā	Sruti viroDena smRtInAm aprAmANyam aBilazatA prabala durbala tve sarvaTA
   samarthanīye /	samarTanIye /
   anyathātiprasaṅgāt /	anyaTA ati prasaFgAt /
   na tāvatprāmāṇyakāraṇabhāvābhāvābhyāṃ prābalyadaurbalye /	na tAvat prAmANya kAraNa BAva aBAvAByAm prAbalya dOrbalye /
   prāmāṇyasya svatastvenāṅgīkṛtatvāt /	prAmANyasya svatastvena aFgIkRta tvAt /
   vaiparītyācca /	vEparItyAt ca /
   vākyaprāmāṇye hi kāraṇaṃ vakturāptatvam /	vAkya prAmANye hi kAraNam vaktuH Apta tvam /
   vaktāraśca smṛtīnāmāptāḥ /	vaktAraH ca smRtInAm AptAH /
   na śruteḥ /	na SruteH /
   apauruṣeyatvenāṅgīkṛtatvāt /	apOruzeya tvena aFgIkRta tvAt /
   ata eva samūlatvanirmūlatvābhyām /	atas eva sa mUla tva nirmUla tvAByAm /
   smṛtīnāmāptimūlatvāt /	smRtI nAm Apti mUla tvAt /
   śrutestadabhāvāt /	SruteH tad aBAvAt /
   nāpi kṛttimatvākṛtrimatvābhyām /	na api kRttimatvA akRtrima tvAByAm /
   svarūpato 'prayojakatvāt /	svarUpataH aprayojaka tvAt /
   uktarītyā vaiparītyācca /	ukta rItyA vEparItyAt ca /
   tadidamuktamāptai rudrakapilakamalāsanādibhiḥ uktamarthaṃ śivādīnāṃ	tat idam uktam AptEH rudra kapila kam ala Asana AdiBiH uktam arTam Siva AdInAm
   jagatkāraṇatvādikaṃ, pipīlikālipinibhā buddhipūrvapraṇayahīnā, śrutiḥ,	jagat kAraNa tva AdikaM, pipIlikA lipi niBA budDi pUrva praNaya hInA, SrutiH,
   kathaṃ vārayet na kathamapīti /	kaTam vArayet na kaTam api iti /
   *5,30f.*	*5,30f.*
   nanvaudumbarīṃ spṛṣṭvodgāyedityādiśrutiviruddhānāmaudumbarī sarvā	nanu OdumbarIm spRzwvA udgAyet iti Adi Sruti virudDAnAm OdumbarI sarvA
   veṣyayitavyetyādismṛtīnāmaprāmāṇyamupalabdhaṃ tathātra syāt /	vezyayitavyA ityAdi smRtInAm aprAmANyam upalabDam taTA atra syAt /
   na syāt /	na syAt /
   vaiṣamyāt /	vEzamyAt /
   śrutimūlatayābhimatā hi tāḥ smṛtayo 'tastāsāṃ mūlaśrutyanumāpakatvena	Sruti mUla tayA aBimatAH hi tAH smRtayaH atas tAsAm mUla Sruti anumApaka tvena
   prāmāṇyamiṣyam /	prAmANyam izyam /
