   Suvarṇavarṇāvadāna	SuvarNa-varNa-avadAna
   aputraḥ putrābhinandī tad adyāgreṇa sapatnīko yāvajjīvaṃ ratnatrayaṃ	aputraH putra-aBinandI tat adya-agreNa sa-patnIkaH yAvajjIvam ratnatrayam
   śaraṇaṃ gaccha | putras te bhaviṣyatīti || divākaraḥ sārthavāho hṛṣṭatuṣṭa	SaraNam gacCa | putraH te Bavizyati-iti || divAkaraH sArTavAhaH hRzwa-tuzwa
   udagramanāḥ kathayati | devendra yathā tvam ājñāpayasi tathā karomy eṣo	udagra-manAH kaTayati | deva-indra yaTA tvam AjQApayasi taTA karomi ezaH-
   'ham adyāgreṇa sapatnīko jāvajjīvaṃ ratnatrayaṃ śaraṇaṅ gacchāmīty atha	aham adya-agreNa sa-patnIkaH jAvajjIvam ratna-trayam SaraNaF gacCAmi-iti aTa
   śakro devendro divākaraṃ sārthavāhaṃ sapatnīkaṃ śaraṇagamane pratiṣṭhāpya	SakraH deva-indraH divAkaram sArTavAham sa-patnIkam SaraNa-gamane pratizWApya
   rājagṛhād antarhito deveṣu trayastriṃśeṣv pratyaṣṭāt | tasya devaputrasya	rAja-gRhAt antarhitaH devezu trayastriMSezu pratyazwAt | tasya deva-putrasya
   bhavane tataḥ śakro devendras tasya devaputrasyaitat prakaraṇaṃ	Bavane tatas SakraH deva-indraH tasya deva-putrasya-etat prakaraNam
   vistareṇākhyātavān |	vistareNa-AKyAtavAn |
   Sva Roy 7,3 - 9,10	Svas Roy 7,3  9,10
   [5] yāvad asau devaputro devebhyas trayastriṃśebhyaś cyuto rājagṛhe nagare	[5] yAvat asO deva-putraH deveByaH trayastriMSeByaH cyutaH rAja-gRhe nagare
   divākarasya sārthavāhasya patnyāḥ kukṣim avakrāntaḥ | sa yata eva tasyāḥ	divAkarasya sArTavAhasya patnyAH kukzim avakrAntaH | sa yatas eva tasyAH
   kukṣim avakrāntas tata eva tasyāḥ sārthavāhapatnyāḥ śarīre parā	kukzim avakrAntaH tatas eva tasyAH sArTavAha-patnyAH SarIre parA
   varṇapuṣkalatā prādurbhūtā | manojñaś ca gandhaḥ pravātum ārabdhaḥ |	varNa-puzkalatA prAdurBUtA | manojQaH ca ganDaH pravAtum ArabDaH |
   pañcāveṇikā dharmā ekatye paṇḍitajātīye mātṛgrāme | katame pañca | raktaṃ	paQca-AveNikAH DarmAH ekatye paNxita-jAtIye mAtR-grAme | katame paQca | raktam
   puruṣaṃ jānāti | viraktaṃ jānāti | kālaṃ jānāti | ṛtuṃ jānāti | garbham	puruzam jAnAti | viraktam jAnAti | kAlam jAnAti | Rtum jAnAti | garBam
   avakrāntaṃ jānāti | yasya sakāśād garbho 'vakrāmati taṃ jānāti | dārakaṃ	avakrAntam jAnAti | yasya sakASAt garBaH avakrAmati tam jAnAti | dArakam
   jānāti | dārikāṃ jānāti | sa ced dārako bhavati dakṣiṇaṃ kukṣiṃ niśṛtya	jAnAti | dArikAm jAnAti | sa ced dArakaH Bavati dakziNam kukzim niSRtya
   tiṣṭhati | sa ced dārikā bhavati | vāmaṃ kukṣin niḥsṛtya tiṣṭhati | sā	tizWati | sa ced dArikA Bavati | vAmam kukzit niHsRtya tizWati | sA
   āttamanāttamanā svāmine ārocayati | diṣṭyāryaputra varddhase |	Attam-anAtta-manA svAmine Arocayati | dizwyA-Arya-putra vardDase |
   āpannasattvāsmi saṃvṛttā | yathā ca me dakṣiṇaṃ kukṣiṃ niśritya tiṣṭhati	ApannasattvA-asmi saMvRttA | yaTA ca me dakziNam kukzim niSritya tizWati
   niyataṃ dārako bhaviṣyatīti | śrutvā ca punaḥ so 'py āttamanātamanāḥ	niyatam dArakaH Bavizyati-iti | SrutvA ca punar saH api Attam-anAta-manAH
   pūrvakāyam abhyunnamayya dakṣiṇam bāhum abhiprasāryodānam udānayati | apy	pUrva-kAyam aByunnamayya dakziNam bAhum aBiprasArya-udAnam udAnayati | api-
   evāhaṃ cirakālābhilaṣitaṃ putramukhaṃ paśyeyaṃ jāto me syān nāvajātaḥ	eva-aham cira-kAla-aBilazitam putra-muKam paSyeyam jAtaH me syAt na-avajAtaH
   kṛtyāni me kurvvīta bhṛtaḥ pratibibhṛyād dāyādyaṃ pratipadyet | kulavaṃśo	kRtyAni me kurvvIta BRtaH pratibiBRyAt dAyAdyam pratipadyet | kula-vaMSaH-
   me cirasthitikaḥ syād asmākañ cātyatītakālagatānām alpaṃ vā prabhūtam vā	me cira-sTitikaH syAt asmAkan ca-atyatIta-kAla-gatAnAm alpam vA praBUtam vA
   dānāni datvā puṇyāni kṛtvā asmākañ ca nāmnā dakṣiṇām ādekṣyate | idaṃ	dAnAni datvA puNyAni kRtvA asmAkan ca nAmnA dakziNAm Adekzyate | idam
   tayor yatra tatropapannayor gacchator anugacchatv iti	tayoH yatra tatra-upapannayoH gacCatoH anugacCatu iti
   Sva Roy 10,2 - 12,3	Svas Roy 10,2  12,3
   [6] āpannasattvāñ caināṃ viditvā upariprāsādatalagatām ayantritāṃ	[6] Apanna-sattvAn ca-enAm viditvA upari-prAsAda-tala-gatAm ayantritAm
   dhārayati | śīte śītopakaraṇai uṣṇe uṣṇopakaraṇair vaidyaprajñaptair	DArayati | SIte SIta-upakaraNEH uzNe uzNa-upakaraNEH vEdya-prajQaptEH-
   āhārair nātitiktair nātyamlair nātilavaṇair nātimadhurair nātikaṭukair	AhArEH na-ati-tiktEH na-ati-amlEH na-ati-lavaNEH na-ati-maDurEH na-ati-kawukEH-
   nātikaṣāyais tiktāmlalavaṇamadhurakaṭukakaṣāyavivarjitair āhārair	na-ati-kazAyEH tikta-amla-lavaNa-maDura-kawuka-kazAya-vivarjitEH AhArEH-
   hārārdhahāravibhūṣitagātrtrīm apsarasam iva nandanavanavicāriṇīṃ mañcān	hAra-arDa-hAra-viBUzita-gAtrtrIm apsarasam iva nandana-vana-vicAriNIm maQcAn
   mañcaṃ pīṭhāt pīṭham anavatarantīm adharimāṃ bhūmiṃ | na cāsyāḥ kiñcid	maQcam pIWAt pIWam anavatarantIm aDarimAm BUmim | na ca-asyAH kiQcid-
   amanojñaśabdaśravaṇaṃ yāvad eva garbhasya paripākāya | sā aṣṭānām vā	amanojQa-Sabda-SravaNam yAvat eva garBasya paripAkAya | sA azwAnAm vA
   navānām vā māsānām atyayāt prasūtā | dārako jāto 'bhirūpo darśanīyaḥ	navAnAm vA mAsAnAm atyayAt prasUtA | dArakaH jAtaH aBirUpaH darSanIyaH
   prāsādikaḥ sarvāṅgapratyaṅgopetaḥ | uttaptasuvarṇavarṇayā varṇapuṣkalatayā	prAsAdikaH sarva-aFga-pratyaFga-upetaH | uttapta-suvarNa-varNayA varNa-puzkala-tayA
   samanvāgataḥ sarvajanamanonayanaharaḥ suvarṇapītair vastrair	samanvAgataH sarva-jana-manaH-nayana-haraH suvarNa-pItEH vastrEH-
   avaguṇṭhitavigrahaḥ sarvaśarīrāc cāsya candanagandho vāti | mukhāc cāsya	avaguNWita-vigrahaH sarva-SarIrAt ca-asya candana-ganDaH vAti | muKAt ca-asya
   nīlotpalagandhaḥ | tasya jātamātrasya tasmin gṛhe vastravarṣaṃ	nIlotpala-ganDaH | tasya jAta-mAtrasya tasmin gRhe vastra-varzam
   karṇikārakusumavarṣañ ca patitam | tāni ca vastrāṇi suvarṇavarṇāni |	karNikAra-kusuma-varzan ca patitam | tAni ca vastrANi suvarNa-varNAni |
   Sva Roy 12,3 - 14,3	Svas Roy 12,3  14,3
   [7] tatas tām atyadbhutāṃ tasya ca rūpaudāryasampadāṃ dṛṣṭvā divākarasya	[7] tatas tAm atyadButAm tasya ca rUpa-OdArya-sampadAm dRzwvA divAkarasya
   sārthavāhasya patnī parijanaś ca param vismayam āpannaḥ | divākaraś ca	sArTavAhasya patnI parijanaH ca param vismayam ApannaH | divAkaraH ca
   sārthavāho gṛhasya bahir dvārakoṣṭhake sthitaḥ | tasya niveditaṃ	sArTavAhaH gRhasya bahis dvAra-kozWake sTitaH | tasya niveditam
   sārthavāho diṣṭyā varddhase putras tu jāta iti | sa hṛṣṭatuṣṭodagramanā	sArTavAhaH dizwyA vardDase putraH tu jAtaH iti | sa hRzwa-tuzwa-uda-gra-manA
   gṛhaṃ praviṣṭo yāvat paśyati kumāram atyantam abhirūpaṃ darśanīyaṃ |	gRham pravizwaH yAvat paSyati kumAram atyantam aBirUpam darSanIyam |
   prāsādikaṃ sarvāṅgapratyaṅgopetaṃ | uttaptasuvarṇavarṇayā varṇapuṣkalatayā	prAsAdikam sarva-aFga-pratyaFga-upetam | uttapta-suvarNa-varNayA varNa-puzkala-tayA
   samanvāgataṃ sarvajanamanonayanaharaṃ suvarṇapītair vastrair	samanvAgatam sarva-jana-manaH-nayana-haram suvarNa-pItEH vastrEH-
   avaguṇṭhitavigrahaṃ kāyāc cāsya candanagandho vāti mukhāc ca	avaguNWita-vigraham kAyAt ca-asya candana-ganDaH vAti muKAt ca
   nīlotpalagandhaḥ | vastravaryaṃ karṇikārakusumavarṣañ ca patitaṃ | tāni ca	nIlotpala-ganDaH | vastra-varyam karNikAra-kusuma-varzan ca patitam | tAni ca
   vastrāṇi suvarṇavarṇāni dṛṣṭvā ca punaḥ paramaprītiprāmodya udānam	vastrANi suvarNa-varNAni dRzwvA ca punar parama-prIti-prAmodya udAnam
   udānayati aho lābhā me sulabdhāḥ aho paripūṇo me manoratho yasya me īdṛśaḥ	udAnayati aho lABAH me su-labDAH aho paripUNaH me manoraTaH yasya me IdRSaH
   puṇyamaheśākhyaḥ putro jāta iti | hṛṣṭatuṣṭapramuditamanās tāni ca	puNya-maheSa-AKyaH putraH jAtaH iti | hRzwa-tuzwa-pramudita-manAH tAni ca
   vastrāṇi śramaṇabrāhmaṇakṛpaṇavanīpakasuhṛtsambandhibāndhavebhyo dattāni |	vastrANi SramaNa-brAhmaNa-kRpaNa-vanIpaka-suhRd-sambanDi-bAnDaveByaH dattAni |
   Sva Roy 14,3 - 17,3	Svas Roy 14,3  17,3
   [8] tasya ca kumārasya trīṇi saptakāny ekaviṃśati divasān vistareṇa	[8] tasya ca kumArasya trINi saptakAni ekaviMSati divasAn vistareNa
   jātamātrasya jātimahaṃ kṛtvā nāmadheyaṃ vyavasthāpyate | kiṃ bhavatu	jAta-mAtrasya jAti-maham kRtvA nAmaDeyam vyavasTApyate | kim Bavatu
   dārakasya nāmeti | jñātaya ucur ayaṃ kumāra uttaptasuvarṇavarṇayā	dArakasya nAma-iti | jQAtayaH ucuH ayam kumAraH uttapta-suvarNa-varNayA
   varṇapuṣkalatayā samanvāgataḥ | tasmād bhavatu kumārasya suvarṇavarṇa iti	varNa-puzkala-tayA samanvAgataH | tasmAt Bavatu kumArasya suvarNa-varNaH iti
   nāma suvarṇavarṇa iti nāmadheyaṃ vyavasthāpitaṃ suvarṇavarṇaḥ kumāro	nAma suvarNa-varNaH iti nAmaDeyam vyavasTApitam suvarNa-varNaH kumAraH-
   'ṣṭābhyo dhātrībhyo 'nupradattaḥ | dvābhyām aṅkadhātrībhyāṃ dvābhyāṃ	azwAByaH DAtrIByaH anupradattaH | dvAByAm aFkaDAtrIByAm dvAByAm
   kṣīradhātrībhyāṃ dvābhyāṃ maladhātrībhyāṃ dvābhyāṃ krīḍanikābhyāṃ	kzIraDAtrIByAm dvAByAm malaDAtrIByAm dvAByAm krIxanikAByAm
   dhātrībhyāṃ yāvad āśu varddhate hradastham iva paṅkajam sa yadā mahān	DAtrIByAm yAvat ASu vardDate hrada-sTam iva paFkajam sa yadA mahAn
   saṃvṛttaḥ tadā lipyām upanyastaḥ saṃkhyāyāṃ gaṇanāyāṃ mudrāyāṃ uddhāre	saMvRttaH tadA lipyAm upanyastaH saMKyAyAm gaNanAyAm mudrAyAm udDAre
   nyāse nikṣepe vastuparīkṣāyāṃ vastraparīkṣāyāṃ vastraparīkṣāyāṃ	nyAse nikzepe vastu-parIkzAyAm vastra-parIkzAyAm vastra-parIkzAyAm
   ibhiparīkṣāyāṃ aśvaparīkṣāyāṃ dāruparīkṣāyāṃ ratnaparīkṣāyāṃ	iBi-parIkzAyAm aSva-parIkzAyAm dAru-parIkzAyAm ratna-parIkzAyAm
   kumāraparīkṣāyāṃ kumārikāparīkṣāyāṃ so 'ṣṭāsu parīkṣāsūdghāṭako vācakaḥ	kumAra-parIkzAyAm kumArikA-parIkzAyAm saH azwAsu parIkzA-su-udGAwakaH vAcakaH
   paṇḍitaḥ paṭupracāraḥ samvṛttaḥ | sa ca śrāddho bhadraḥ kalyāṇāśayaḥ	paNxitaH pawu-pracAraH samvRttaH | sa ca SrAdDaH BadraH kalyANa-ASayaH
   ātmahitaparahitaṃ pratipannaḥ | kāruṇiko mahātmā dharmmakāmaḥ satvatsalas	Atma-hita-para-hitam pratipannaH | kAruNikaH mahAtmA Darmma-kAmaH sa-tvatsalas
   tena ca śāstrāṇy adhītāni | so 'tyantaṃ puṇyamaheśākhyo yac cintayati |	tena ca SAstrANi aDItAni | saH atyantam puNya-maheSa-AKyaH yat cintayati |
   yat prārthayati | vastrādikan dhanaṃ sarvan tat tathaiva sampadyate | kin	yat prArTayati | vastra-Adikan Danam sarvan tat taTA-eva sampadyate | kin
   tu na vijānāty aham eva puṇyamaheśākhya iti | divākaraś ca sārthavāho	tu na vijAnAti aham eva puNya-maheSa-AKyaH iti | divAkaraH ca sArTavAhaH-
   ratnatrayaśaraṇagamanaprabhāvān me putro jāta iti bhūyasyā mātrayā	ratnatraya-SaraNa-gamana-praBAvAt me putraH jAtaH iti BUyasyA mAtrayA
   bhagavac chāsane 'bhiprasannaḥ sa kālena kālaṃ bhagavacchāsane kārāṅ	Bagavat SAsane aBiprasannaH sa kAlena kAlam Bagavat-SAsane kArAF
   karoti sma |	karoti sma |
   Sva Roy 17,3 - 19,5	Svas Roy 17,3  19,5
   [9] tena khalu samayena rājagṛhe nagare vimalo nāma sārthavāho	[9] tena Kalu samayena rAja-gRhe nagare vimalaH nAma sArTavAhaH-
   mahāsamudrāt saṃsiddhayānapātro 'bhyāgatas tenārddhatrayodaśaparivāraṃ	mahA-samudrAt saMsidDa-yAnapAtraH aByAgataH tena-ardDa-trayodaSa-parivAram
   buddham bhagavantaṃ bhojayitvā ekaiko bhikṣus tricīvareṇācchāditas tasya	budDam Bagavantam BojayitvA ekEkaH BikzuH tricIvareNa-AcCAditaH tasya
   yaśasā sarvo loka āpūrṇaḥ sārthasya saphalaṃ mahāsamudrāvataraṇaṃ	yaSasA sarvaH loke ApUrNaH sArTasya saPalam mahA-samudra-avataraNam
   sārthavāhaśabdaś ca yenaivaṃ bhagavacchāsane kārāḥ kṛtā iti | divākarasya	sArTavAha-SabdaH ca yena-evam Bagavat-SAsane kArAH kRtA iti | divAkarasya
   sārthavāhasya śrutvā sparddhā jātā | aham api mahāsamudram avatarāmi |	sArTavAhasya SrutvA spardDA jAtAH | aham api mahA-samudram avatarAmi |
   yadi tataḥ saṃsiddhayānapātro 'bhyāgacchāmi | yāvantaḥ ke cana	yadi tatas saMsidDa-yAnapAtraH aByAgacCAmi | yAvantaH ke cana
   bhagavacchrāvakā jambūdvīpe prativasanti bhagavantaṃ vijñapya tān aikadhya	Bagavat-SrAvakAH jambUdvIpe prativasanti Bagavantam vijQapya tAn EkaDya
   sannipātya praṇītenāhāreṇa santarpya ekaikaṃ bhikṣuṃ mahārheṇa	sannipAtya praNItena-AhAreNa santarpya ekEkam Bikzum mahArheNa
   tricīvareṇācchādayiṣyāmīti | tena patnyā eṣa vṛttānto niveditaḥ | sā	tricIvareNa-AcCAdayizyAmi-iti | tena patnyAH eza vRttAntaH niveditaH | sA
   kathayati svāmin ṛdhyantu tava saṅkalpāḥ | paripūryantām manorathā iti |	kaTayati svAmin RDyantu tava saFkalpAH | paripUryantAm manoraTAH iti |
   tato divākaraḥ sārthavāho rājagṛhe nagare yāvat trir api ghaṇṭāvaghoṣaṇaṅ	tatas divAkaraH sArTavAhaH rAjagRhe nagare yAvat tris api GaNwA-avaGozaNaF
   kārayitvā pañcavaṇikaśataparivāro mahāsamudram avatīrṇas tasya tasmin	kArayitvA paQcavaNika-Sata-parivAraH mahA-samudram avatIrNaH tasya tasmin
   mahāsamudre 'vatīrṇasya bhagavān parinirvṛtas tatra sthitasyaiva cāsya	mahA-samudre avatIrNasya BagavAn parinirvRtaH tatra sTitasya-eva ca-asya
   sthaviramahākāśyapo 'pi parinirvṛto	sTavira-mahAkASyapaH api parinirvRtaH-
   Sva Roy 19,5 - 21,3	Svas Roy 19,5  21,3
   [10] yāvad apareṇa samayena suvarṇavarṇaḥ kumāro veṇuvanaṅ gatas tatra	[10] yAvat apareNa samayena suvarNa-varNaH kumAraH veNu-vanaF gataH tatra
   bhikṣur anityatāpratisaṃyuktā gāthā svādhyāyati sma |	BikzuH anitya-tA-pratisaMyuktA gATA su-ADyAyati sma |
   āyur divā ca rātrau ca carato vā sthitasya vā |	AyuH divA ca rAtrO ca carataH vA sTitasya vA |
   sroto mahānadīnām vā yāty eva na nivartate |1|	srotaH mahA-nadInAm vA yAti eva na nivartate |1|
   yeṣāṃ rātrinivāsena āyur alpataram bhavet |	yezAm rAtri-nivAsena AyuH alpataram Bavet |
   alpodake ca matsyānāṃ kā nu teṣāṃ rati bhavet |2|	alpa-udake ca matsyAnAm kA nu tezAm rati Bavet |2|
   parijīrṇam idaṃ rūpaṃ roganīḍaṃ prabhaṅguraṃ |	parijIrNam idam rUpam roga-nIxam praBaFguram |
   bhetsyati pūtisaṃghātaṃ maraṇāntaṃ hi jīvitaṃ |3|	Betsyati pUti-saMGAtam maraNa-antam hi jIvitam |3|
   na cirād vata kāyo 'yaṃ pṛthivīm adhiśeṣyate |	na cirAt vata kAyaH ayam pRTivIm aDiSezyate |
   śūnyo vyapeta vijñāno nirastaṃ vā kaḍaṅgaraṃ |4|	SUnyaH vyapeta vijQAnaH nirastam vA kaxaFgaram |4|
   kim anena śarīreṇa pūtivisravatā sadā |	kim anena SarIreNa pUti-visravatA sadA |
   nityaṃ rogābhibhūtena jarāmaraṇabhīruṇā |5|	nityam roga-aBiBUtena jarA-maraNa-BIruNA |5|
   anena pūtikāyena bhaṅgureṇātureṇa ca |	anena pUtikAyena BaFgureNa-AtureNa ca |
   mīmita paramāṃ śāntiṃ yogakṣemam anuttaram iti |6|	mImita paramAm SAntim yogakzemam anuttaram iti |6|
   Sva Roy 21,3 - 23,1	Svas Roy 21,3  23,1
   [11] athaitā gāthāḥ śrutvā suvarṇavarṇaḥ kumāraḥ samvignaḥ saṃsārān	[11] aTa-etAH gATAH SrutvA suvarNa-varNaH kumAraH samvignaH saMsArAn
   nirvāṇānuśaṃsadarśī | tasya bhikṣor vandanāṃ kṛtvā pṛcchati | ārya kim	nirvANa-anuSaMsa-darSI | tasya BikzoH vandanAm kRtvA pRcCati | Arya kim
   idam iti bhikṣuṇābhihitam āyuṣman buddhavacanam iti | tasya śrutvā	idam iti BikzuNA-aBihitam Ayuzman budDa-vacanam iti | tasya SrutvA
   bhagavacchāsane mahān prasāda utpannaḥ pravrajyābhilāṣo mokṣābhilāś ca |	Bagavat-SAsane mahAn prasAdaH utpannaH pravrajyA-aBilAzaH mokza-aBilAH ca |
   tatas tasya bhikṣoḥ satkṛtya pādayor nipatya kathayaty ārya pravrajitum	tatas tasya BikzoH satkRtya pAdayoH nipatya kaTayati Arya pravrajitum
   icchāmi | tadanukampām upādāya māṃ pravrājayitum arhasīti |	icCAmi | tad-anukampAm upAdAya mAm pravrAjayitum arhasi-iti |
   bhikṣuṇābhihitam āyuṣman kim anujñāto 'si mātāpitṛbhyām iti | sa kathayati	BikzuNA-aBihitam Ayuzman kim anujQAtaH asi mAtA-pitRByAm iti | sa kaTayati
   neti | bhikṣuḥ kathayati gacchāyuṣmān mātāpitarau tāvad avalokaya na hy	na-iti | BikzuH kaTayati gacCa-AyuzmAn mAtA-pitarO tAvat avalokaya na hi-
   ananujñātaṃ mātāpitṛbhyām vayaṃ pravrājayāma iti | sa kathayaty evaṅ	ananujQAtam mAtA-pitRByAm vayam pravrAjayAmaH iti | sa kaTayati evaF
   karomīti |	karomi-iti |
   Sva Roy 23,1 - 26,5	Svas Roy 23,1  26,5
   [12] tataḥ suvarṇavarṇaḥ kumāraḥ saṃsārabhayodvignamanāḥ svaniveśanaṃ	[12] tatas suvarNa-varNaH kumAraH saMsAra-Baya-udvigna-manAH sva-niveSanam
   gatvā mātuḥ pādayor nipatya kathayaty ambānujānīhi māṃ pravrajāmi	gatvA mAtuH pAdayoH nipatya kaTayati ambA-anujAnIhi mAm pravrajAmi
   svākhyāte dharmavinaye | iti śrutvāsya mātā paramaviṣādam āpannā | urasi	su-AKyAte Darma-vinaye | iti SrutvA-asya mAtA parama-vizAdam ApannA | urasi
   prahāraṃ dattvā kathayati | putra tvam me ekaputrakaḥ priyo manāpaḥ kānto	prahAram dattvA kaTayati | putra tvam me eka-putrakaH priyaH manApaH kAntaH-
   'pratikūlo manorathaśataiḥ pratilabdhaḥ | kathan nāma tvaṃ mām apahāya	apratikUlaH manoraTa-SatEH pratilabDaH | kaTat nAma tvam mAm apahAya
   pravrajasīti | sa kathayaty ambāvaśyaṃ bhāvī priyaviprayogas tad anujānīhi	pravrajasi-iti | sa kaTayati ambA-avaSyam BAvI priya-viprayogaH tat anujAnIhi
   māṃ pravrajāmi svākhyāte dharmavinaya iti | tasya śrutvā mahān samvego	mAm pravrajAmi su-AKyAte Darma-vinayaH iti | tasya SrutvA mahAn samvegaH-
