   //āśramavāsikaṃ parva//	//ASrama-vAsikam parva//
   cakāra tadvadhakathāṃ bahuśabdaṃ ca durmadaḥ // Bhmj_15.10 //	cakAra tad-vaDa-kaTAm bahu-Sabdam ca durmadaH // Bhmd-_15.10 //
   dhṛtarāṣṭro jitakrodhastadākarṇya vadhūsakhaḥ /	DRtarAzwraH jita-kroDaH-tat-AkarNya vaDU-saKaH /
   vidhāyāśrutavatsarvamabhūtsaṃnyāsalālasaḥ // Bhmj_15.11 //	viDAya-aSruta-vat-sarvam-aBUt-saMnyAsa-lAlasaH // Bhmd-_15.11 //
   tatastasyātinirvedādbhāvabhramaparāṅbhukham /	tatas-tasya-ati-nirvedAt-BAva-Brama-para-aFBuKam /
   babhuva śamakāmasya vairāgyābharaṇaṃ manaḥ // Bhmj_15.12 //	baBuva Sama-kAmasya vErAgya-ABaraNam manaH // Bhmd-_15.12 //
   viyogaśatadagdhānāmavamānaviṣāśinām /	viyoga-Sata-dagDAnAm-avamAna-vizASinAm /
   sarvatyāgaḥ sukhāyaiva nirvāṇāmṛtanirjharaḥ // Bhmj_15.13 //	sarva-tyAgaH suKAya-eva nirvANa-amRta-nirJaraH // Bhmd-_15.13 //
   sa yudhiṣṭhiramabhyetya vanavāsasamutsukaḥ /	sa yuDizWiram-aByetya vana-vAsa-samutsukaH /
   uvāca niyamakṣāmo damopaśamamanthanam // Bhmj_15.14 //	uvAca niyama-kzAmaH dama-upaSama-manTanam // Bhmd-_15.14 //
   varṇāśramaguro rājannanujānīhi pārtha mām /	varNa-ASrama-guroH rAjan=-anujAnIhi pArTa mAm /
   daśāṃ vṛddhocitāṃ labdhuṃ vrajāmyeṣa tapovanam // Bhmj_15.15 //	daSAm vRdDa-ucitAm labDum vrajAmi-eza tapaH-vanam // Bhmd-_15.15 //
   iyaṃ bhavasukhāsvādaratistatparacetasām /	iyam Bava-suKa-AsvAda-ratiH-tad-para-cetasAm /
   nṛṇāmajīrṇatṛṣṇeva satataṃ parivardhate // Bhmj_15.16 //	nRNAm-ajIrNa-tRzNA-iva satatam parivarDate // Bhmd-_15.16 //
   spṛśa māṃ puṇyagandhena vapuṣā dharmanandana /	spRSa mAm puNya-ganDena vapuzA Darmanandana /
   svasti te pāhi pṛthivīṃ putravatpaśya ca prajāḥ // Bhmj_15.17 //	svasti te pAhi pRTivIm putra-vat-paSya ca prajAH // Bhmd-_15.17 //
   kośadurgabalādāne kurvīthā yatnamuttamam /	koSa-durga-bala-AdAne kurvITAH yatnam-uttamam /
   gūḍhamantraḥ prajāpāla unmūlā hi nṛpaśriyaḥ // Bhmj_15.18 //	gUXa-mantraH prajApAlaH unmUlAH hi nRpa-SriyaH // Bhmd-_15.18 //
   ityuktvā mūrdhnyupāghrāya nirāhāraḥ kṛśo nṛpam /	iti-uktvA mUrDni-upAGrAya nirAhAraH kRSaH nRpam /
   kampamānatanurvṛddho babhūva gamanotsukaḥ // Bhmj_15.19 //	kampamAna-tanuH-vRdDaH baBUva gamana-utsukaH // Bhmd-_15.19 //
   taṃ sāśrulocano rājā yayāce racitāñjaliḥ /	tam sa-aSru-locanaH rAjA yayAce racita-aQjaliH /
   māmutsṛjya kathaṃ nāma gantumarhasi kānanam // Bhmj_15.20 //	mAm-utsRjya kaTam nAma gantum-arhasi kAnanam // Bhmd-_15.20 //
   tvatpādasevāsaṃtoṣaṃ tyuktuṃ nāhamihotsahe /	tvad-pAda-sevA-saMtozam tyuktum na-aham-iha-utsahe /
   vītarāgasya te tāta gṛheṣveva tapovanam // Bhmj_15.21 //	vIta-rAgasya te tAta gRhezu-eva tapaH-vanam // Bhmd-_15.21 //
   iti tenārthyamāno 'pi bubudhe na yadā sa tat /	iti tena-arTyamAnaH api bubuDe na yadA sa tat /
   tadā satyavatīsūnurmuniḥ svayamupāyayau // Bhmj_15.22 //	tadA satyavatI-sUnuH-muniH svayam-upAyayO // Bhmd-_15.22 //
   sa dharmarājamabhyetya babhāṣe jñānalocanaḥ /	sa DarmarAjam-aByetya baBAze jQAna-locanaH /
   tyajyatāmeṣa bhūpāla vṛddho yātu tapovanam // Bhmj_15.23 //	tyajyatAm-eza BUpAla vRdDaH yAtu tapaH-vanam // Bhmd-_15.23 //
   śrutasya vayaso buddhervivekasya kulasya ca /	Srutasya vayasaH budDeH-vivekasya kulasya ca /
   supakvamanasāṃ kāle vairāgyaṃ paramaṃ phalam // Bhmj_15.24 //	su-pakva-manasAm kAle vErAgyam paramam Palam // Bhmd-_15.24 //
   jarāśubhreṣu keśeṣu praśānte viṣayādare /	jarA-SuBrezu keSezu praSAnte vizaya-Adare /
   tapovanātparaṃ manye bhūṣaṇaṃ na śarīriṇām // Bhmj_15.25 //	tapaH-vanAt-param manye BUzaNam na SarIriNAm // Bhmd-_15.25 //
   ityuktvāntarhite vyāse viṣaṇṇena mahībhujā /	iti-uktvA-antarhite vyAse vizaNNena mahIBujA /
   kṛcchrādiva tathetyukto jaharṣa kurupuṃgavaḥ // Bhmj_15.26 //	kRcCrAt-iva taTA-iti-uktaH jaharza kuru-puMgavaH // Bhmd-_15.26 //
   sa kṛtvā bhīṣmamukhyānāṃ gurūṇāṃ śrāddhamuttamam /	sa kRtvA BIzma-muKyAnAm gurUNAm SrAdDam-uttamam /
   mahārhaḥ vipulaṃ dānaṃ dadau brāhmaṇasaṃmatam // Bhmj_15.27 //	mahArhaH vipulam dAnam dadO brAhmaNa-saMmatam // Bhmd-_15.27 //
   dadatastasya no vighnaṃ cakrire pāṇḍunandanāḥ /	dadataH-tasya naH viGnam cakrire pANxu-nandanAH /
   bhamastu kopatāmrākṣo dhanaṃjayamabhāṣata // Bhmj_15.28 //	BamaH-tu kopa-tAmra-akzaH DanaMjayam-aBAzata // Bhmd-_15.28 //
   kilbiṣaṃ yaiḥ kṛtaṃ ghoraṃ purāsmāsu bahucchalam /	kilbizam yEH kRtam Goram purA-asmAsu bahu=-Calam /
   kauravāṇāṃ kathaṃ śrāddhe teṣāṃ vittavyayaṃ sahe // Bhmj_15.29 //	kOravANAm kaTam SrAdDe tezAm vitta-vyayam sahe // Bhmd-_15.29 //
   yātu duryodhanaḥ pāpo narakaṃ sahito 'nujaiḥ /	yAtu duryoDanaH pApaH narakam sahitaH anujEH /
   vayaṃ śrāddhaṃ kariṣyāmaḥ svayaṃ śaṃtanunandane // Bhmj_15.30 //	vayam SrAdDam karizyAmaH svayam SaMtanu-nandane // Bhmd-_15.30 //
   iti bruvāṇamasakṛnnivārya pavanātmajam /	iti bruvANam-asakRt-nivArya pavanAtmajam /
   naitadvācyaṃ punariti provāca śvetavāhanaḥ // Bhmj_15.31 //	na-etat-vAcyam punar-iti provAca SvetavAhanaH // Bhmd-_15.31 //
   atha pratasthe gāndhāryā saha rājāmbikāsutaḥ /	aTa pratasTe gAnDAryA saha rAjA-ambikA-sutaH /
   gāvalganisakhaḥ paurānāmantrya vidurānugaḥ // Bhmj_15.32 //	gAvalgani-saKaH pOrAn-Amantrya vidura-anugaH // Bhmd-_15.32 //
   putrairudaśrunayanaiḥ snuṣābhiścārthitā bhṛśam /	putrEH-udaSru-nayanEH snuzABiH-ca-arTitAH BRSam /
   kuntī tapovanaruciṃ nātyajaddevarānugā // Bhmj_15.33 //	kuntI tapaH-vana-rucim na-atyajat-devara-anugAH // Bhmd-_15.33 //
   athāgre sahitaḥ kuntyā dhṛtarāṣṭraḥ sahānujaḥ /	aTa-agre sahitaH kuntyA DRtarAzwraH saha-anujaH /
   rājarṣijuṣṭaṃ vipinaṃ viveśa viśadāśayaḥ // Bhmj_15.34 //	rAjarzi-juzwam vipinam viveSa viSada-ASayaH // Bhmd-_15.34 //
   tatra rājarṣivaryeṇa śatayūpena saṃgataḥ /	tatra rAjarzi-varyeNa SatayUpena saMgataH /
   jaṭāvalkalabhṛccakre sānujaḥ suciraṃ tapaḥ // Bhmj_15.35 //	jawA-valkala-BRt-cakre sa-anujaH su-ciram tapaH // Bhmd-_15.35 //
   taṃ tīvraniyamakṣāmaṃ nāradādyā maharṣayaḥ /	tam tIvra-niyama-kzAmam nArada-AdyAH mahA-RzayaH /
   kṛtakṛtyatayā prāptaṃ draṣṭavyā draṣṭumāyayuḥ // Bhmj_15.36 //	kRtakRtya-tayA prAptam drazwavyAH drazwum-AyayuH // Bhmd-_15.36 //
   sarvābhirbharatastrībhiḥ sahitāste mahārathāḥ /	sarvABiH-Barata-strIBiH sahitAH-te mahA-raTAH /
   nidhāya kānanopānte caturaṅge mahadbalam // Bhmj_15.37 //	niDAya kAnana-upAnte caturaFge mahat-balam // Bhmd-_15.37 //
   apanītasitacchattracāmarāḥ pādacāriṇaḥ /	apanIta-sita=-Cattra-cAmarAH pAda-cAriNaH /
   tapovanaṃ praviviśurdhṛtarāṣṭreṇa sevitam // Bhmj_15.38 //	tapaH-vanam praviviSuH-DRtarAzwreNa sevitam // Bhmd-_15.38 //
   te praṇamyāmbikāsūnuṃ jananīṃ saṃjayaṃ tathā /	te praNamya-ambikA-sUnum jananIm saMjayam taTA /
   viṣaṇṇāḥ prayayurmūrcchāṃ snāyuśeṣānvilokya tān // Bhmj_15.39 //	vizaNNAH prayayuH-mUrcCAm snAyu-SezAn-vilokya tAn // Bhmd-_15.39 //
   dhṛtarāṣṭro 'pi rājānaṃ saṃjayena niveditam /	DRtarAzwraH api rAjAnam saMjayena niveditam /
   papraccha kuśalaṃ kośe paure janapade tathā // Bhmj_15.40 //	papracCa kuSalam koSe pOre janapade taTA // Bhmd-_15.40 //
   tapovṛddhiṃ tataḥ pṛṣṭvā kuruvṛddhaṃ yudhiṣṭhiraḥ /	tapaH-vRdDim tatas pRzwvA kuruvRdDam yuDizWiraH /
   viduraḥ kveti papraccha sa ca pṛṣṭastamabravīt // Bhmj_15.41 //	viduraH kva-iti papracCa sa ca pRzwaH-tam-abravIt // Bhmd-_15.41 //
   vāyubhakṣo 'sthiśeṣāṅgaḥ svecchācārī nirambaraḥ /	vAyuBakzaH asTi-Seza-aFgaH svecCA-AcArI nirambaraH /
   viduro 'sminvane putra dṛśyate na ca dṛśyate // Bhmj_15.42 //	viduraH asmin-vane putra dRSyate na ca dRSyate // Bhmd-_15.42 //
   ityukte dhṛtarāṣṭreṇa samabhyāyādyadṛcchayā /	iti-ukte DRtarAzwreNa samaByAyAt-yadRcCayA /
   viduro dhūlidigdhāṅgo bilvamātramukhaḥ kṛśaḥ // Bhmj_15.43 //	viduraH DUli-digDa-aFgaH bilva-mAtra-muKaH kRSaH // Bhmd-_15.43 //
   āśrame sa janaṃ dṛṣṭvā palāyanaparo 'bhavat /	ASrame sa janam dRzwvA palAyana-paraH aBavat /
   tamanvadhāvadekākī sāśrunetro yudhiṣṭhiraḥ // Bhmj_15.44 //	tam-anvaDAvat-ekAkI sa-aSru-netraH yuDizWiraH // Bhmd-_15.44 //
   dṛśyaḥ kvacidadṛśyaśca vidurastamanādarāt /	dRSyaH kvacid-adRSyaH-ca viduraH-tam-anAdarAt /
   apaśyadvītarāgāṇāṃ tṛṇe rājñi ca tulyatā // Bhmj_15.45 //	apaSyat-vIta-rAgANAm tRNe rAjQi ca tulya-tA // Bhmd-_15.45 //
   sa vṛkṣamūlamāśritya jñānadeho jvalanniva /	sa vRkza-mUlam-ASritya jQAna-dehaH jvalan=-iva /
   ukto yudhiṣṭhiro 'smīti rājñā saṃbhāṣaṇārthinā // Bhmj_15.46 //	uktaH yuDizWiraH asmi-iti rAjQA saMBAzaNa-arTinA // Bhmd-_15.46 //
   nirnimeṣekṣaṇo maunī taṃ vīkṣya kṣapitāśayaḥ /	nirnimeza-IkzaNaH mOnI tam vIkzya kzapita-ASayaH /
   netrapāṇendriyaiḥ kṣipraṃ tameva sahasāviśat // Bhmj_15.47 //	netra-pANa-indriyEH kzipram tam-eva sahasA-AviSat // Bhmd-_15.47 //
   dehaṃ nirmokavattyaktvā praviṣṭe vidure nṛpaḥ /	deham nirmoka-vat-tyaktvA pravizwe vidure nRpaH /
   vihāya rājasaṃ bhāvaṃ babhūva jñānanirbharaḥ // Bhmj_15.48 //	vihAya rAjasam BAvam baBUva jQAna-nirBaraH // Bhmd-_15.48 //
   dagdhumabhyudyataṃ kṣatturatha tatra kalevaram /	dagDum-aByudyatam kzattuH-aTa tatra kalevaram /
   yudhiṣṭhiraṃ vyomacarā jñānasiddhā nyavārayan // Bhmj_15.49 //	yuDizWiram vyoma-carAH jQAna-sidDA nyavArayan // Bhmd-_15.49 //
   tataḥ sametya tatsarvaṃ dhṛtarāṣṭrāya bhūpatiḥ /	tatas sametya tat-sarvam DRtarAzwrAya BUpatiH /
   nivedya tasthau nirduḥkhaḥ sānujo māturantike // Bhmj_15.50 //	nivedya tasTO nirduHKaH sa-anujaH mAtuH-antike // Bhmd-_15.50 //
   phalāhāraḥ kṣamāśāyī kṣapayitvātha śarvarīm /	Pala-AhAraH kzamA-SAyI kzapayitvA-aTa SarvarIm /
   prātardatvā yathākāmaṃ dvijebhyo ratnakāñcanam // Bhmj_15.51 //	prAtar-datvA yaTAkAmam dvijeByaH ratna-kAQcanam // Bhmd-_15.51 //
   rājarṣibhiḥ sahāsīnaṃ praṇamya kurupuṃgavam /	rAjarziBiH saha-AsInam praNamya kuru-puMgavam /
   dadarśa tejasāṃ rāśiṃ prāptaṃ satyavatīsutam // Bhmj_15.52 //	dadarSa tejasAm rASim prAptam satyavatI-sutam // Bhmd-_15.52 //
   vyāso 'pi dharmatanayaṃ saṃbhāvya racitāñjalim /	vyAsaH api Darma-tanayam saMBAvya racita-aQjalim /
   yatidharmeṇa tāṃ siddhiṃ ślāghyāṃ kṣatturapūjayat // Bhmj_15.53 //	yati-DarmeNa tAm sidDim SlAGyAm kzattuH-apUjayat // Bhmd-_15.53 //
   arthitaḥ kṣatravṛddhena gāndhāryā pṛthayā tayā /	arTitaH kzatra-vRdDena gAnDAryA pRTayA tayA /
   paralokagatānsarvānbhūpālānsaha kauravaiḥ // Bhmj_15.54 //	para-loka-gatAn-sarvAn-BUpAlAn-saha kOravEH // Bhmd-_15.54 //
   adarśayatkurustrīṇāṃ vyāsaḥ svarganadījale /	adarSayat-kuru-strINAm vyAsaH svarga-nadI-jale /
   sādhvyo 'pi tānanuyayurvimānaistyaktavigrahāḥ // Bhmj_15.55 //	sADvyaH api tAn-anuyayuH-vimAnEH-tyakta-vigrahAH // Bhmd-_15.55 //
   atha dharmātmajo rājā tatra saptarṣisevite /	aTa DarmAtmajaH rAjA tatra saptaRzi-sevite /
   māsaṃ sthitvā puraṃ prāyātkuruvṛddhena coditaḥ // Bhmj_15.56 //	mAsam sTitvA puram prAyAt-kuruvRdDena coditaH // Bhmd-_15.56 //
   rathāśvakuñjarānīkaiḥ sa gatvā niḥśvasanmuhuḥ /	raTa-aSva-kuQjara-anIkEH sa gatvA niHSvasan-muhur /
   akāma iva kṛcchreṇa rājadhānīṃ samāviśat // Bhmj_15.57 //	akAmaH iva kRcCreNa rAjaDAnIm samAviSat // Bhmd-_15.57 //
   atha dharmeṇa vasudhāṃ dharmarājasya śāsataḥ /	aTa DarmeNa vasuDAm DarmarAjasya SAsataH /
   yāti kāle suramunirnāradaḥ samupāyayau // Bhmj_15.58 //	yAti kAle sura-muniH-nAradaH samupAyayO // Bhmd-_15.58 //
   dhṛtarāṣṭrakathāṃ pṛṣṭaḥ pūjitaḥ sa mahībhujā /	DRtarAzwra-kaTAm pRzwaH pUjitaH sa mahIBujA /
   uvāca rājanyāto 'sau rājarṣiḥ paramāṃ gatim // Bhmj_15.59 //	uvAca rAjan-yAtaH asO rAjarziH paramAm gatim // Bhmd-_15.59 //
   saṃvatsaraṃ vāyubhakṣo varṣaṃ ca tyaktabhojanaḥ /	saMvatsaram vAyuBakzaH varzam ca tyakta-BojanaH /
   kandukākāravadano durlakṣyaḥ so 'bhavatkṛśaḥ // Bhmj_15.60 //	kanduka-AkAra-vadanaH durlakzyaH saH aBavat-kRSaH // Bhmd-_15.60 //
   tataḥ sa vahnīṃstatyāja mumukṣurniṣkriyo muniḥ /	tatas sa vahnIn=-tatyAja mumukzuH-nizkriyaH muniH /
   kānane te 'pyavartanta jarattarunirantare // Bhmj_15.61 //	kAnane te api-avartanta jarat-taru-nirantare // Bhmd-_15.61 //
   tatra priyāsakho rājā kuntyā saha mahāmatiḥ /	tatra priyA-saKaH rAjA kuntyA saha mahAmatiH /
   vanaṃ prajvalitaṃ dṛṣṭvā samādhi vidadhe param // Bhmj_15.62 //	vanam prajvalitam dRzwvA samADi vidaDe param // Bhmd-_15.62 //
   avyāptā vyāpakāḥ svacchāḥ svayaṃ galitavṛttayaḥ /	avyAptAH vyApakAH su-acCAH svayam galita-vRttayaH /
   sphucabrahmāṇḍavivarāste dhāma paramaṃ yayuḥ // Bhmj_15.63 //	sPuca-brahmANxa-vivarAH-te DAma paramam yayuH // Bhmd-_15.63 //
   evaṃ śamāṅkurasteṣāṃ sarvasaṃnyāsapallavaḥ /	evam Sama-aFkuraH-tezAm sarva-saMnyAsa-pallavaH /
   svāntaprakāśakusumaḥ phalito jñānapādapaḥ // Bhmj_15.64 //	svAnta-prakASa-kusumaH PalitaH jQAna-pAdapaH // Bhmd-_15.64 //
   tato dāvāgninā tena dagdhāste bandhunā yathā /	tatas dAva-agninA tena dagDAH-te banDunA yaTA /
   saṃjayastu vratakṣāmo yātastuhinabhūdharam // Bhmj_15.65 //	saMjayaH-tu vrata-kzAmaH yAtaH-tuhina-BUDaram // Bhmd-_15.65 //
   śrutvaitatpāṇḍutanayo vyāptaḥ śokakṛṣāṇu(śānu)nā /	SrutvA-etat-pANxu-tanayaH vyAptaH Soka-kRza-aNu(SAnu)nA /
   śuśoca sānujaḥ kuntīṃ sasutaṃ ca kurūdvaham // Bhmj_15.66 //	SuSoca sa-anujaH kuntIm sa-sutam ca kuru-udvaham // Bhmd-_15.66 //
   tataḥ prayāte devarṣau rājā kṛtvā jalakriyām /	tatas prayAte deva-RzO rAjA kRtvA jalakriyAm /
   tānevoddiśya vipulaṃ dadau draviṇamakṣayam // Bhmj_15.67 //	tAn-eva-uddiSya vipulam dadO draviNam-akzayam // Bhmd-_15.67 //
   so 'tha dhairyaṃ samālambya śokamutsārya dehajam /	saH aTa DEryam samAlambya Sokam-utsArya deha-jam /
   saṃsārāsāratāṃ dhyāyanvivekaśaraṇo 'bhavat // Bhmj_15.68 //	saMsAra-asAra-tAm DyAyan-viveka-SaraNaH aBavat // Bhmd-_15.68 //
   bhāvāḥ svabhāvaviśarārava eva teṣu saktaṃ mano na virahe sahate 'nutāpam /	BAvAH svaBAva-viSara-AravaH eva tezu saktam manaH na virahe sahate anutApam /
   tatsarvathā priyaviyogaviṣāhatānāṃ śāntyai sudhā tanubhṛtāṃ vipulo vivekaḥ	tat-sarvaTA priya-viyoga-viza-AhatAnAm SAntyE suDA tanuBRtAm vipulaH vivekaH
   // Bhmj_15.69 //	// Bhmd-_15.69 //
   iti śrīkṣemendraviracitāyāṃ bhāratamañjaryāmāśramavāsikaṃ parva	iti SrIkzema-indra-viracitAyAm BArata-maQjaryAm-ASrama-vAsikam parva
