   // śalyaparva //	// Salyaparva //
   sa tayā bhinnahṛdayaḥ papāta kṣmābhṛtāṃ varaḥ /	sa tayA Binna-hRdayaH papAta kzmABRtAm varaH /
   śrotranāsāsyavivarasravadrudhiranirjharaḥ // Bhmj_9.40 //	Srotra-nAsA-Asya-vivara-sravat-ruDira-nirJaraH // Bhmd-_9.40 //
   ***** śalyavadhaḥ || 1 || *****	***** Salya-vaDaH || 1 || *****
   śalye hate kauravāṇāmāśā śeṣāvalambane /	Salye hate kOravANAm-ASA Seza-avalambane /
   rathino dudruvuḥ sarve bhagnamānamanorathāḥ // Bhmj_9.41 //	raTinaH dudruvuH sarve Bagna-mAna-manoraTAH // Bhmd-_9.41 //
   tataḥ śalyānujaḥ kruddho vicitrakavacābhidhaḥ /	tatas Salya-anujaH krudDaH vicitraka-vaca-aBiDaH /
   abhyāyāyau dharmarājaṃ dārayantamanīkinīm // Bhmj_9.42 //	aByAyAyO DarmarAjam dArayantam-anIkinIm // Bhmd-_9.42 //
   pṛṣatkavarṣiṇastasya citraratnojjvalaṃ śiraḥ /	pRzatka-varziNaH-tasya citra-ratna-ujjvalam SiraH /
   rohaṇādrerivottuṅgaṃ śṛṅgaṃ ciccheda dharmajaḥ // Bhmj_9.43 //	rohaNa-adreH-iva-uttuFgam SRFgam cicCeda DarmajaH // Bhmd-_9.43 //
   tasminhate bhajyamānāṃ nāthahīnāṃ patākinīm /	tasmin-hate BajyamAnAm nATa-hInAm patAkinIm /
   parāvṛtya kṛpadrauṇihārdikyāstūrṇamāyayuḥ // Bhmj_9.44 //	parAvRtya kRpa-drONi-hArdikyAH-tUrNam-AyayuH // Bhmd-_9.44 //
   nadadbhiścedipāñcālairlabdhalakṣyairmahārathāḥ /	nadadBiH-cedi-pAQcAlEH-labDa-lakzyEH-mahA-raTAH /
   te muhūrtaṃ yuyudhire prayātā bahutāmiva // Bhmj_9.45 //	te muhUrtam yuyuDire prayAtAH bahu-tAm-iva // Bhmd-_9.45 //
   tataḥ svāmivadhāmarṣādyudhiṣṭhiramabhidrutān /	tatas svAmi-vaDa-AmarzAt-yuDizWiram-aBidrutAn /
   hatvā śeṣānaho madrānamadrāṃ pṛthivīṃ vyadhāt // Bhmj_9.46 //	hatvA SezAn-ahaH madrAnamadrAm pRTivIm vyaDAt // Bhmd-_9.46 //
   atha bhīmo gadāpāṇirnipuṇaḥ kṣayakarmasu /	aTa BImaH gadA-pANiH-nipuNaH kzaya-karmasu /
   niṣpiṣya mlecchānsarvāṃśca raṇaṃ śūnyamivākarot // Bhmj_9.47 //	nizpizya mlecCAn-sarvAn=-ca raNam SUnyam-iva-akarot // Bhmd-_9.47 //
   tataḥ sātyakinā vīre satyarāje nipātite /	tatas sAtyakinA vIre satya-rAje nipAtite /
   svayaṃ duryodhano 'bhyetya pāṇḍuputrānayodhayat // Bhmj_9.48 //	svayam duryoDanaH aByetya pANxu-putrAn-ayoDayat // Bhmd-_9.48 //
   na ratho na gajo nāśvo na yodhaḥ pāṇḍaveṣvabhūt /	na raTaH na gajaH na-aSvaH na yoDaH pANxavezu-aBUt /
   haimanāmāṅkitairvyāpto yo na duryodhaneṣubhiḥ // Bhmj_9.49 //	hEma-nAma-aFkitEH-vyAptaH yaH na duryoDana-izuBiH // Bhmd-_9.49 //
   cakampe kuñjarakulaṃ tasya nārācavarṣiṇaḥ /	cakampe kuQjara-kulam tasya nArAca-varziNaH /
   maṇikāñcanajhāṅkāratāramaurvīravairmuhuḥ // Bhmj_9.50 //	maNi-kAQcana-JAFkAra-tAra-mOrvI-ravEH-muhur // Bhmd-_9.50 //
   duryodhane yudhyamāne labdhalakṣyairarātibhiḥ /	duryoDane yuDyamAne labDa-lakzyEH-arAtiBiH /
   āyayurdraiṇihārdikyasuśarmakṛpasaubalāḥ // Bhmj_9.51 //	AyayuH-drENi-hArdikya-suSarma-kRpa-sObalAH // Bhmd-_9.51 //
   ghore raṇavyatikare teṣāṃ nibiḍapātinām /	Gore raNa-vyatikare tezAm nibixa-pAtinAm /
   nirāloko 'bhavalloko rajasā saṃvṛte ravau // Bhmj_9.52 //	nirAlokaH aBavat-lokaH rajasA saMvRte ravO // Bhmd-_9.52 //
   kuñjarendrataṭāghātakṣame rajasi duḥsahe /	kuQjara-indra-tawa-AGAta-kzame rajasi duHsahe /
   vibhāgo nābhavatkaścitkalpāpāya ivāgate // Bhmj_9.53 //	viBAgaH na-aBavat-kaScid-kalpa-apAyaH iva-Agate // Bhmd-_9.53 //
   kva drauṇiḥ kva ca gāndhāraḥ kva ca rājā suyodhanaḥ /	kva drONiH kva ca gAnDAraH kva ca rAjA suyoDanaH /
   ityabhūdvipulaḥ śabdaḥ pāṇḍusenāsu sarvataḥ // Bhmj_9.54 //	iti-aBUt-vipulaH SabdaH pANxu-senAsu sarvatas // Bhmd-_9.54 //
   tasminmuhūrte pralayāvartasaṃkrāntagocare /	tasmin-muhUrte pralaya-Avarta-saMkrAnta-gocare /
   jaghāna mārutasutaḥ śeṣānduryodhanānujān // Bhmj_9.55 //	jaGAna mAruta-sutaH SezAn-duryoDana-anujAn // Bhmd-_9.55 //
   mahābāhuṃ bhūribalaṃ jaitraṃ durdarśanaṃ śalam /	mahA-bAhum BUri-balam jEtram durdarSanam Salam /
   sunādaṃ ca sa hatvā tānunnanāda kṣayocitān // Bhmj_9.56 //	sunAdam ca sa hatvA tAn-unnanAda kzaya-ucitAn // Bhmd-_9.56 //
   tato māmagrahīdvīraḥ sātyakirvinarale raṇe /	tatas mAm-agrahIt-vIraH sAtyakiH-vinarale raNe /
   saṃjayo 'yaṃ mayā labdho nigadyeti sasaṃbhramam // Bhmj_9.57 //	saMjayaH ayam mayA labDaH nigadya-iti sa-saMBramam // Bhmd-_9.57 //
   athārjunaḥ suśarmāṇaṃ saputraṃ sapadānugam /	aTa-arjunaH suSarmANam sa-putram sa-padAnugam /
   hatvā saṃśaptakānīkaṃ niḥśeṣaṃ viśikhairvyadhāt // Bhmj_9.58 //	hatvA saMSaptaka-anIkam niHSezam viSiKEH-vyaDAt // Bhmd-_9.58 //
   dyūte raṇābhidhe tasminsāyakākṣānkṣipanmuhuḥ /	dyUte raNa-aBiDe tasmin-sAyaka-akzAn-kzipan-muhur /
   sahadevor'dhacandreṇa jahāra śakuneḥ śiraḥ // Bhmj_9.59 //	sahadevor-aDacandreNa jahAra SakuneH SiraH // Bhmd-_9.59 //
   ***** śakunivadhaḥ || 2 || *****	***** Sakuni-vaDaH || 2 || *****
   ulūkaṃ tatsutaṃ hatvā gāndhārāṇāmanīkinīm /	ulUkam tad-sutam hatvA gAnDArANAm-anIkinIm /
   jaghāna mādrītanayo vanavāsadaśāṃ smaran // Bhmj_9.60 //	jaGAna mAdrI-tanayaH vana-vAsa-daSAm smaran // Bhmd-_9.60 //
   atha niḥśeṣite sainye śrānto nihatavāhanaḥ /	aTa niHSezite sEnye SrAntaH nihata-vAhanaH /
   apasṛtya raṇātprāyātpadbhyāṃ rājā suyodhanaḥ // Bhmj_9.61 //	apasRtya raNAt-prAyAt-padByAm rAjA suyoDanaH // Bhmd-_9.61 //
   kṛtavarmakṛpadrauṇiśeṣe tasminmahāraṇe /	kRtavarma-kRpa-drONi-Seze tasmin-mahA-raNe /
   kṣaṇādaśeṣatāṃ yāte bhūtavetālamaṇḍale // Bhmj_9.62 //	kzaNAt-aSeza-tAm yAte BUta-vetAla-maNxale // Bhmd-_9.62 //
   dhṛṣṭadyumnasya vacasā māṃ nihantuṃ samudyate /	DRzwadyumnasya vacasA mAm nihantum samudyate /
   śaineye bhagavānvyāso rarakṣa karuṇānidhiḥ // Bhmj_9.63 //	SEneye BagavAn-vyAsaH rarakza karuNA-niDiH // Bhmd-_9.63 //
   tato dinānte śokārtaḥ prasthito 'haṃ suyodhanam /	tatas dina-ante Soka-ArtaH prasTitaH aham suyoDanam /
   apaśyaṃ vajrahṛdayaṃ prayāntaṃ cakravartinam // Bhmj_9.64 //	apaSyam vajra-hRdayam prayAntam cakravartinam // Bhmd-_9.64 //
   sa pādacārī māṃ dṛṣṭvā lajjākuṭilakandharaḥ /	sa pAda-cArI mAm dRzwvA lajjA-kuwila-kanDaraH /
   ūce saṃjayarājānaṃ brūyāstvaṃ janakaṃ mama // Bhmj_9.65 //	Uce saMjaya-rAjAnam brUyAH-tvam janakam mama // Bhmd-_9.65 //
   tena karṇena suhṛdā taiśca vīrairvinā kṛtaḥ /	tena karNena suhRdA tEH-ca vIrEH-vinA kRtaH /
   hradaṃ praviṣṭaḥ putraste hīno duḥśāsanādibhiḥ // Bhmj_9.66 //	hradam pravizwaH putraH-te hInaH duHSAsana-AdiBiH // Bhmd-_9.66 //
   māmityuktvā sa saṃstambhya salilaṃ daityamāyayā /	mAm-iti-uktvA sa saMstamBya salilam dEtya-mAyayA /
   hradaṃ viveśa vipulaṃ prauḍhaśokānalākulaḥ // Bhmj_9.67 //	hradam viveSa vipulam prOXa-Soka-anala-AkulaH // Bhmd-_9.67 //
   taṃ stambhitorusalile sarasi praviṣṭaṃ jñātvā girā mama gurostanayaḥ	tam stamBita-uru-salile sarasi pravizwam jQAtvA girA mama guroH-tanayaH
   kṛpaśca /	kRpaH-ca /
   bhojaśca bhūpatiśikhāmaṇilīḍhapādaṃ lakṣmīvilāsasadanaṃ śuśucustametya //	BojaH-ca BUpati-SiKAmaNi-lIXa-pAdam lakzmI-vilAsa-sadanam SuSucuH-tam-etya //
   Bhmj_9.68 //	Bhmd-_9.68 //
   akṣauhiṇīparivṛto 'tha visṛjya gehaṃ rātrau yuyutsumakhilaiḥ saha	akzOhiNI-parivRtaH aTa visRjya geham rAtrO yuyutsum-aKilEH saha
   rājadāraiḥ /	rAja-dArEH /
   dharmātmajastamṛṇaśeṣamiva pradadhyau duryodhanaṃ saha	DarmAtmajaH-tam-RNa-Sezam-iva pradaDyO duryoDanam saha
   dhanaṃjayabhīmamukhyaiḥ // Bhmj_9.69 //	DanaMjaya-BIma-muKyEH // Bhmd-_9.69 //
   yatpādapadmanakhacandramarīcimālā mālā iva kṣitibhṛtāṃ babhuruttamāṅge /	yad-pAda-padma-naKa-candra-marIci-mAlAH mAlAH iva kzitiBRtAm baBuH-uttamAFge /
   so 'pyeka eva kururājasutaḥ padātiryāto dhigāsthiravilāsavikāsi daivam //	saH api-ekaH eva kuru-rAja-sutaH padAtiH-yAtaH Dik-A-sTira-vilAsa-vikAsi dEvam //
   Bhmj_9.70 //	Bhmd-_9.70 //
   yasyā vaśādbata natonnatabhāñji bhāvacakrāṇi hanta viśarārudaśāṃ viśanti /	yasyAH vaSAt-bata nata-unnata-BAQji BAva-cakrANi hanta viSarAru-daSAm viSanti /
   saṃkrandanāni yativibhramamudritāni tasyai namo 'stu satataṃ	saMkrandanAni yati-viBrama-mudritAni tasyE namaH astu satatam
   bhavitavyatāyai // Bhmj_9.71 //	Bavitavya-tAyE // Bhmd-_9.71 //
   iti kṣemendraviracitāyāṃ bhāratamañjaryāṃ śalyaparva	iti kzema-indra-viracitAyAm BArata-maQjaryAm Salyaparva
