   (Msa 1)	(MsaH 1)
   buddhavacanatvaprasādhanārthaṃ kāraṇavibhājyam ārabhya ślokaḥ |	budDa vacana tva prasADana arTam kAraNa viBAjyam AraBya SlokaH |
   ādāv avyākaraṇāt samapravṛtter agocarāt siddheḥ |	AdO avyAkaraNAt sama pravRtteH agocarAt sidDeH |
   bhāvābhāve 'bhāvāt pratipakṣatvād rutānyatvāt || AMsa_1.7 ||	BAva aBAve aBAvAt pratipakza tvAt ruta anya tvAt || AMsaH _1.7 ||
   ādāv avyākaraṇāt yady etat saddharmāntarāye paścāt kenāpi utpāditaṃ |	AdO avyAkaraNAt yadi etat sadDarma antarAye paScAt kena api utpAditam |
   kasmād ādau bhavatā na vyākṛtam anāgatabhayavat | samapravṛtteḥ samakālaṃ	kasmAt AdO BavatA na vyAkRtam anAgata Baya vat | sama pravRtteH sama kAlam
   ca śrāvakayānena mahāyānasya pravṛtter upalabhyate na paścād iti katham	ca SrAvaka yAnena mahAyAnasya pravRtteH upalaByate na paScAt iti kaTam
   asyābuddhavacanatvaṃ vijñāyate | agocarān nāyam evam udāro gambhīraś ca	asya abudDa vacana tvam vijQAyate | agocarAn na ayam evam udAraH gamBIraH ca
   dharmas tārkikāṇāṃ gocaraḥ | tīrtikaśāstreṣu tatprakārānupalambhād iti |	DarmaH tArkikANAm gocaraH | tIrtika SAstrezu tad prakAra anupalamBAt iti |
   nāyam anyair bhāṣito yujyate | ucyamāne 'pi tadanadhimukteḥ | siddhe	na ayam anyEH BAzitaH yujyate | ucyamAne api tad anaDimukteH | sidDe
   athānyenābhisaṃbudhya bhāṣitaḥ | siddham asya buddhavacanatvaṃ | sa eva	aTa anyena aBisaMbuDya BAzitaH | sidDam asya budDa vacana tvam | saH eva
   buddho yo 'bhisaṃbudhya evam bhāṣate | bhāvābhāve 'bhāvād yadi mahāyānaṃ	budDaH yaH aBisaMbuDya evam BAzate | BAva aBAve aBAvAt yadi mahAyAnam
   kiṃcid asti tasya bhāva siddhim idaṃ buddhavacanam ato 'nyasya	kiMcid asti tasya BAva sidDim idam budDa vacanam atas anyasya
   mahāyānasyābhāvāt | atha nāsti tasyābhāve śrāvakayānasyāpy abhāvāt |	mahAyAnasya aBAvAt | aTa na asti tasya aBAve SrAvaka yAnasya api aBAvAt |
   śrāvakayānaṃ budhavacanaṃ na mahāyānam iti na yujyate vinā buddhayānena	SrAvaka yAnam buDa vacanam na mahAyAnam iti na yujyate vinA budDa yAnena
   buddhānām anutpādāt | pratipakṣatvād bhāvyamānaṃ ca mahāyānaṃ	budDAnAm anutpAdAt | pratipakza tvAt BAvyamAnam ca mahAyAnam
   sarvanirvikalpajñānāśrayatvena kleśānāṃ pratipakṣo bhavati tasmād	sarva nirvikalpa jQAna ASraya tvena kleSAnAm pratipakzaH Bavati tasmAt 
   buddhavacanaṃ | rutānyatvāt na cāsya yathārutam arthas tasmān na	budDa vacanam | ruta anya tvAt na ca asya yaTArutam arTaH tasmAt na
   yathārutārthānusāreṇedam abuddhavacanaṃ veditavyaṃ | yad uktam ādāv	yaTA ruta arTa anusAreNa idam abudDa vacanam veditavyam | yat uktam AdO= 
   avyākaraṇād ity anābhogād etad anāgataṃ bhagavatā na vyākṛtam iti kasyacit	avyAkaraNAt iti anABogAt etat anAgatam BagavatA na vyAkRtam iti kasyacid 
   syād ata upekṣāyā ayoge ślokaḥ |	syAt atas upekzAyAH ayoge SlokaH |
   pratyakṣacakṣuṣo buddhāḥ śāsanasya ca rakṣakāḥ |	pratyakza cakzuzaH budDAH SAsanasya ca rakzakAH |
   adhvany anyanāvṛtajñānā upekṣāto na yujyate || AMsa_1.8 ||	aDvani anyanAvRta jQAnAH upekzAtaH na yujyate || AMsaH _1.8 ||
   (Msa 4)	(MsaH 4)
   anena kiṃ darśayati | tribhiḥ kāraṇair anāgatasya mahataḥ	anena kim darSayati | triBiH kAraNEH anAgatasya mahataH
   śāsanopadravasyopkeṣā na yujyate | buddhānām ayatnato jñānapravṛtteḥ	SAsana upadravasya upkezA na yujyate | budDAnAm ayatnataH jQAna pravRtteH
   pratyakṣacakṣuṣkatayā śāsanarakṣayāś ca yatnavatvāt |	pratyakza cakzuzka tayA SAsana rakzayAH ca yatnava tvAt |
   anāgatajñānasāmarthyāc ca sarvakālāvyāhatajñānatayeti | yad uktaṃ	anAgata jQAna sAmarTyAt ca sarva kAla avyAhata jQAna tayA iti | yat uktam
   bhāvābhāve 'bhāvād iti | etad eva śrāvakayānaṃ mahāyānam etenaiva	BAva aBAve aBAvAt iti | etat eva SrAvaka yAnam mahAyAnam etena eva
   mahābodhiprāptir iti kasyacit syād ataḥ śrāvakayānasya mahāyānatvāyoge	mahAboDi prAptiH iti kasyacid syAt atas SrAvaka yAnasya mahAyAna tva ayoge
   ślokaḥ |	SlokaH |
   vaikalyato virodhād anupāyatvāt tathāpy anupadeśāt |	vEkalyataH viroDAt anupAya tvAt taTA api anupadeSAt |
   na śrāvakayānam idaṃ bhavati mahāyānadharmākhyam || AMsa_1.9 ||	na SrAvaka yAnam idam Bavati mahAyAna Darma AKyam || AMsaH _1.9 ||
   vaikalyāt parārthopadeśasya na hi śrāvakayāne kaścit parārtha upadiṣṭaḥ	vEkalyAt para arTa upadeSasya na hi SrAvaka yAne kaScid para arTaH upadizwaH
   śrāvakāṇām ātmano nirvidvirāgavimuktimātropāyopadeśāt | na ca svārtha eva	SrAvakANAm AtmanaH nirvidvirAga vimukti mAtra upAya upadeSAt | na ca sva arTaH eva
   pareṣūpadiśyamānaḥ parārtho bhavitum arhati | virodhāt svārthe hi paro	parezu upadiSyamAnaH para arTaH Bavitum arhati | viroDAt sva arTe hi paraH 
   niyujyamānaḥ svārtha eva prayujyate sa ātmana eva parinirvāṇārthaprayukto	niyujyamAnaH sva arTaH eva prayujyate saH AtmanaH eva parinirvANa arTa prayuktaH 
   'nuttarāṃ samyaksaṃbodhim abhisaṃbhotsyata iti virodham etat | na ca	anuttarAm samyaksaMboDim aBisaMBotsyate iti viroDam etat | na ca
   śrāvakayānenaiva cirakālaṃ bodhau ghaṭamāno buddho bhavitum arhati |	SrAvaka yAnena eva cira kAlam boDO GawamAnaH budDaH Bavitum arhati |
   anupāyatvāt | anupāyo hi śrāvakayānaṃ buddhatvasya na cānupāyena ciram api	anupAya tvAt | anupAyaH hi SrAvaka yAnam budDa tvasya na ca anupAyena ciram api
   prayujyamānaḥ prārthitam arthaṃ prāpnoti | śṛṅgād iva dugdhaṃ na bhastrayā	prayujyamAnaH prArTitam arTam prApnoti | SRFgAt iva dugDam na BastrayA
   | athānyathāpy atropadiṣṭaṃ yathā bodhisatvena prayoktavyaṃ | tathāpy	| aTa anyaTA api atra upadizwam yaTA boDisatvena prayoktavyam | taTA api 
   anupadeśān na śrāvakayānam eva mahāyānaṃ bhavitum arhati | na hi sa tādṛśa	anupadeSAt na SrAvaka yAnam eva mahAyAnam Bavitum arhati | na hi sa tAdRSa
   upadeśa etasminn upalabhyate | viruddham vā cānyonyaṃ śrāvakayānaṃ cety	upadeSaH etasmin upalaByate | virudDam vA ca anyonyam SrAvaka yAnam ca iti 
   anyonyavirodhe ślokaḥ |	anyonya viroDe SlokaH |
   āśayasyopadeśasya prayogasya virodhataḥ |	ASayasya upadeSasya prayogasya viroDataH |
   upastambhasya kālasya yat hīnaṃ hīnam eva tat || AMsa_1.10 ||	upastamBasya kAlasya yat hInam hInam eva tat || AMsaH _1.10 ||
   kathaṃ viruddhaṃ | pañcabhir virodhaiḥ | āśayopadeśaprayoga	kaTam virudDam | paQcaBiH viroDEH | ASaya upadeSa prayoga
   upatambhakālavirodhaiḥ | śrāvakayāne hy ātmaparinirvāṇāyaivāśayas	upatamBa kAla viroDEH | SrAvaka yAne hi Atma parinirvANAya eva ASayas
   tadartham evaupadeśas tadartham eva prayogaḥ parīttaś ca	tad arTam eva OpadeSaH tad arTam eva prayogaH parIttaH ca
   puṇyajñānasaṃbhārasaṃgṛhīta upastambhaḥ kālena cālpena tadarthaprāptir	puNya jQAna saMBAra saMgRhItaH upastamBaH kAlena ca alpena tad arTa prAptiH 
   yāvat tribhir api janmabhiḥ | mahāyāne tu sarvaṃ viparyayeṇa | tasmād	yAvat triBiH api janmaBiH | mahAyAne tu sarvam viparyayeNa | tasmAt 
   anyonyavirodhād yad yānaṃ hīnaṃ hīnam eva tat | na tan mahāyānaṃ bhavitum	anyonya viroDAt yat yAnam hInam hInam eva tat | na tat mahAyAnam Bavitum
   arhati | buddhavacanasyedaṃ lakṣaṇaṃ yat sūtre 'vatarati vinaye saṃdṛśyate	arhati | budDa vacanasya idam lakzaNam yat sUtre avatarati vinaye saMdRSyate
   dharmatāṃ ca na vilomayati | na caivaṃ mahāyānaṃ (Msa 5)	DarmatAm ca na vilomayati | na ca evam mahAyAnam (MsaH 5)
   sarvadharmaniḥsvabhāvatvopadeśāt | tasmān na buddhavacanam iti kasyacit	sarva Darma niHsvaBAva tva upadeSAt | tasmAt na budDa vacanam iti kasyacid 
   syād ato lakṣaṇavirodhe ślokaḥ |	syAt atas lakzaNa viroDe SlokaH |
   svake 'vatārāt svasyaiva vinaye darśanād api |	svake avatArAt svasya eva vinaye darSanAt api |
   audāryād api gāmbhīryād aviruddhaiva dharmatā || AMsa_1.11 ||	OdAryAt api gAmBIryAt avirudDA eva DarmatA || AMsaH _1.11 ||
   anena ślokena kiṃ darśyati | avataraty evedaṃ svasmin mahāyānasūtre svasya	anena Slokena kim darSyati | avatarati eva idam svasmin mahAyAna sUtre svasya
   ca śleśasya vinayaḥ saṃdṛśyate | yo mahāyāne bodhisatvānāṃ śleśa uktaḥ |	ca SleSasya vinayaH saMdRSyate | yaH mahAyAne boDisatvAnAm SleSaH uktaH |
   vikalpaśleśā hi bodhisatvāḥ | audāryagambhīryalakṣaṇatvāc ca | na	vikalpa SleSAH hi boDisatvAH | OdArya gamBIrya lakzaNa tvAt ca | na
   dharmatāṃ vilomayaty athaiva hi dharmatā mahābodhiprāpataye tasmān nāsti	DarmatAm vilomayati aTa eva hi DarmatA mahA boDi prApataye tasmAt na asti
   lakṣaṇavirodhaḥ | agocarād ity uktam atas tarkagocaratvāyoge ślokaḥ |	lakzaNa viroDaH | agocarAt iti uktam atas tarka gocara tva ayoge SlokaH |
   niśrito 'niyato 'vyāpī sāṃvṛtaḥ khedavān api |	niSritaH aniyataH avyApI sAMvRtaH KedavAn api |
   bālāśrayo matas tarkas tasyāto viṣayo na tat || AMsa_1.12 ||	bAla ASrayaH mataH tarkaH tasya atas vizayaH na tat || AMsaH _1.12 ||
   adṛṣṭasatyāśreyo hi tarkaḥ kaścid āgamaniśrito bhavati | aniyataś ca	adRzwa satya aSreyaH hi tarkaH kaScid Agama niSritaH Bavati | aniyataH ca
   bhavati kālāntareṇānyathā pratyavagamāt | avyāpī ca na sarvajñeyaviṣayaḥ |	Bavati kAla antareNa anyaTA pratyavagamAt | avyApI ca na sarva jQeya vizayaH |
   sāṃvṛtasatyaviṣayaś ca na parmārthaviṣayaḥ | khedavāṃś ca	sAMvRta satya vizayaH ca na parma arTa vizayaH | KedavAn ca
   pratibhānaparyādanāt | mahāyānas tu na niśritaṃ yāvat akhedavat |	pratiBAna paryAdanAt | mahAyAnaH tu na niSritam yAvat aKeda vat |
   śatasāhasrikādyanekasūtropadeśāt | ato na tarkasya tadviṣayaḥ |	Sata sAhasrikA Adi aneka sUtra upadeSAt | atas na tarkasya tad vizayaH |
   anupāyatvāt śrāvakayāne na buddhatvaṃ prāptam ity uktam atha mahāyānaṃ	anupAya tvAt SrAvaka yAne na budDa tvam prAptam iti uktam aTa mahAyAnam
   katham upāyo yukta ity upāyatvayoge ślokaḥ |	kaTam upAyaH yuktaH iti upAya tva yoge SlokaH |
   audāryād api gāmbhīryāt paripāko 'vikalpanā |	OdAryAt api gAmBIryAt paripAkaH avikalpanA |
   deśanā'to dvayasyāsmin sa copāyo niruttare || AMsa_1.13 ||	deSanA atas dvayasya asmin sa ca upAyaH niruttare || AMsaH _1.13 ||
   anena ślokena kiṃ darśayati | prabhāv audāryadeśanayā satvānāṃ paripāko	anena Slokena kim darSayati | praBO OdArya deSanayA satvAnAm paripAkaH 
   prabhāv adhimuktito ghaṭanāt | gāmbhīryadeśanayā avikalpanā ata etasya	praBO aDimuktitaH GawanAt | gAmBIrya deSanayA avikalpanA atas etasya
   dvayasyāsmin mahāyāne deśanā sa copāyo niruttare jñāne tābhyāṃ yathākramaṃ	dvayasya asmin mahAyAne deSanA sa ca upAyaH niruttare jQAne tAByAm yaTAkramam
   (Msa 6)satvānāṃ paripācanād ātmanaś ca buddhadharmaparipākād iti | ye	(MsaH 6)satvAnAm paripAcanAt AtmanaH ca budDa Darma paripAkAt iti | ye
   punar asmāt trasanti tadartham asthānatrāsādīnave kāraṇatvena ślokaḥ |	punar asmAt trasanti tad arTam asTAna trAsa AdInave kAraNa tvena SlokaH |
   tadasthānatrāso bhavati jagatāṃ dāhakaraṇo mahāpuṇyaskandhaprasavakaraṇād	tad asTAna trAsaH Bavati jagatAm dAha karaNaH mahA puNya skanDa prasava karaNAt 
   dīrghasamayam |	dIrGa samayam |
   agotro 'sanmitro 'kṛtamatir apūrvācitaśubhas trasaty asmin dharme patati	agotraH asat mitraH akRta matiH apUrvAcita SuBaH trasati asmin Darme patati
   mahato 'rthād gata iha || AMsa_1.14 ||	mahataH arTAt gataH iha || AMsaH _1.14 ||
   trāsāsthāne trāsas tadasthānatrāsaḥ | dāhakaraṇo bhavaty apāyeṣu kiṃ	trAsa AsTAne trAsaH tad asTAna trAsaH | dAha karaNaH Bavati apAyezu kim
   kāraṇaṃ | mahato apuṇyaskandhaprasavasya karaṇāt | kiyantaṃ kālam iti	kAraNam | mahataH apuNya skanDa prasavasya karaNAt | kiyantam kAlam iti
   dīrghasamayaṃ | evaṃ paścād ādīnavaḥ | yena ca kāraṇena yāvantaṃ ca kālaṃ	dIrGa samayam | evam paScAt AdInavaH | yena ca kAraNena yAvantam ca kAlam
   tat saṃdarśayati | kiṃ punaḥ kāraṇe tu satīti caturvidhaṃ trāsakāraṇaṃ	tat saMdarSayati | kim punar kAraNe tu sati iti caturviDam trAsa kAraNam
   darśayati | gotraṃ cāsya na bhavati sanmitraṃ vā avyutpannamatir vā	darSayati | gotram ca asya na Bavati sat mitram vA avyutpanna matiH vA
   bhavati mahāyānadharmatāyāṃ pūrvaṃ vānupacitaśubho bhavati | patati mahato	Bavati mahAyAna Darma tAyAm pUrvam vA anupacita SuBaH Bavati | patati mahataH 
   'rthāditi mahābodhisaṃbhārārthāt | aprāptaparihāṇito 'paramādīnavaṃ	arTAt iti mahA boDi saMBAra arTAt | aprApta parihANitaH aparam AdInavam
   darśayati | trāsakāraṇam uktam atrāsakāraṇaṃ vaktavyam ity atrāsakāraṇatve	darSayati | trAsa kAraNam uktam atra Asa kAraNam vaktavyam iti atrAsa kAraNa tve
   ślokaḥ |	SlokaH |
   tadanyānyānyābhāvāt paramagahanatvād anugamāt vicitrasyākhyānād	tad anyAnyA anya aBAvAt parama gahana tvAt anugamAt vicitrasya AKyAnAt 
   dhruvakathanayogād bahumukhāt |	Druva kaTana yogAt bahu muKAt |
   yathākhyānaṃ nārthād bhagavati ca bhāvātigahanāt na dharme 'smiṃs trāso	yaTA AKyAnam na arTAt Bagavati ca BAva ati gahanAt na Darme asmin trAsaH 
   bhavati viduṣāṃ yonivicayāt || AMsa_1.15 ||	Bavati viduzAm yoni vicayAt || AMsaH _1.15 ||
   tadanyānyānyābhāvād iti tato 'nyasya mahāyānasthābhāvāt | atha	tad anyAnyA anya aBAvAt iti tatas anyasya mahAyAna sTa aBAvAt | aTa
   śrāvakayānam eva mahānaṃ syād anyasya śrāvakasya pratyekabuddhasya	SrAvaka yAnam eva mahAnam syAt anyasya SrAvakasya pratyekabudDasya
   vābhāvaḥ syāt | sarva eva hi buddhā bhaveyuḥ | paramagahanatvāc ca |	vABAvaH syAt | sarve eva hi budDAH BaveyuH | parama gahana tvAt ca |
   sarvajñajñānamārgasyānugamāc ca tulyakālapravṛttyā | vicitrasyākhyānād |	sarvajQa jQAna mArgasya anugamAt ca tulya kAla pravRttyA | vicitrasya AKyAnAt |
   vicitraś cātra saṃbhāramārga ākhyāyate na kevalaṃ śūnyataiva | tasmād	vicitraH ca atra saMBAra mArgaH AKyAyate na kevalam SUnyatA eva | tasmAt 
   abhiprāyikenānena bhavitavyam iti | dhruvakathanayogād bahumukhād	aBiprAyikena anena Bavitavyam iti | Druva kaTana yogAt bahu muKAt 
   abhīkṣṇaṃ cātra śūnyatā kathyate bahibhiś ca paryāyais teṣu teṣu	aBIkzNam ca atra SUnyatA kaTyate bahiBiH ca paryAyEH tezu tezu
   sutrānteṣu tasmād bhavitavyam atra mahatā prayogena | anyathā hi sakṛt	sutra antezu tasmAt Bavitavyam atra mahatA prayogena | anyaTA hi sakRt 
   pratiṣedhamātrakṛtam abhaviṣyad iti | yathākhyānaṃ nārthāt na cāsya	pratizeDa mAtra kRtam aBavizyat iti | yaTA AKyAnam na arTAt na ca asya
   yathārutam artho 'smād api trāso na yuktaḥ | bhagavati ca bhāvātigahanād	yaTArutam arTaH asmAt api trAsaH na yuktaH | Bagavati ca BAva ati gahanAt 
   atigahanaś ca buddhānāṃ bhāvo durājñeyas tasmān nāsmabhis tadajñānāt	ati gahanaH ca budDAnAm BAvaH durAjQeyaH tasmAt na asmaBiH tad ajQAnAt
   trasitavyam iti | (Msa 7) evaṃ yoniśaḥ pravicayād viduṣāṃ trāso na bhavati	trasitavyam iti | (MsaH 7) evam yoniSas pravicayAt viduzAm trAsaH na Bavati
   | dūrānupraviṣṭajñānagocaratve ślokaḥ |	| dUra anupravizwa jQAna gocara tve SlokaH |
   śrutaṃ niśrityādau prabhavati manaskāra iha yo	Srutam niSriti AdO praBavati manaskAraH iha yaH 
   manaskārāj jñānaṃ prabhavati ca tatvārthaviṣayam |	manaskArAt jQAnam praBavati ca tatvA arTa vizayam |
   tato dharmaprāptiḥ prabhavati ca tasmin matirato	tatas Darma prAptiH praBavati ca tasmin matiH atas 
   yadā pratyātmaṃ sā katham asati tasmin vyavasitiḥ || AMsa_1.16 ||	yadA pratyAtmam sA kaTam asati tasmin vyavasitiH || AMsaH _1.16 ||
   śrutaṃ niśrityādau manaskāraḥ prabhavati yo yoniśa ity arthaḥ | yoniśo	Srutam niSriti a AdO manaskAraH praBavati yaH yoniSas iti arTaH | yoni Sas 
   manasikārāt tatvārthaviṣayaṃ jñānaṃ prabhavati lokottarā samyagdṛṣṭis	manasikArAt tatvA arTa vizayam jQAnam praBavati lokottarA samyak dRzwi s
   tatas tat phalasya dharmasya prāptis tatas tasmin prāpte matir	tatas tat Palasya Darmasya prAptiH tatas tasmin prApte matiH 
   vimuktijñānaṃ prādurbhavati | evaṃ yadā pratyātmaṃ sā matir bhavati |	vimukti jQAnam prAdurBavati | evam yadA pratyAtmam sA matiH Bavati |
   katham asati tasminn eṣā vyavasitir niścayo bhavati naivedaṃ buddhavacanam	kaTam asati tasmin ezA vyavasitiH niScayaH Bavati na eva idam budDa vacanam
   iti | atrāsapadasthānatve ślokaḥ |	iti | atra Asapada sTAna tve SlokaH |
   ahaṃ na boddhā na gabhīraboddhā buddho gabhīraṃ kim atarkagamyaṃ |	aham na bodDA na gaBIra bodDA budDaH gaBIram kim atarka gamyam |
