   śrī-śrī-gopāla-campūḥ	SrI--SrI--gopAla--campUH
   vāñchita-sadanta-vakra-danta-dantavakra-saṃyad-udantataḥ parataḥ punas	vAQCita--sat-anta--vakra--danta--danta-vakra--saMyad-udantataH paratas punar-
   teṣāṃ vakṣyamāṇa-pramāṇa-lakṣyatayā tat-pradeśa-praveśaḥ sa yadā babhūva,	tezAm vakzyamANa--pramANa--lakzya-tayA tat--pradeSa--praveSaH sa yadA baBUva,
   tadā kadācid	tadA kadAcid-
   anavadya-hari-bhakti-vidyā-viśārada-sarva-manoratha-pārada-śrī-nārada-kṛpā-kūpāra-taraṅga-labdha-tat	anavadya--hari--Bakti-vidyA--viSArada--sarva--manoraTa--pArada--SrI--nArada--kRpA-kUpa-Ara-taraFga--labDa--tat
   prasaṅga-sārau madhukaṇṭha-snigdhakaṇṭhābhida-sūta-prabhava-nava-kumārau	prasaFga--sArO maDu-kaNWa--snigDa-kaNWa-aBida--sUta--praBava-nava-kumArO
   śrīmad-vraja-mahendra-tat-kumārādibhir	SrImat--vraja--mahA-indra--tat-kumAra-AdiBiH-
   virājamānaṃ tad eva sadanam āsadatām |	virAjamAnam tat eva sadanam AsadatAm |
   [7] tadā ca tad-ācarita-niyogaṃ pari tad-eka-vṛttitayā	[7] tadA ca tad--Acarita--niyogam pari tad--eka--vRtti-tayA
   tantrī-niyantrita-gīta-yantra-tulyau parama-kulyau parasparaṃ kathakatāṃ	tantrI--niyantrita-gIta--yantra--tulyO parama--kulyO parasparam kaTakatAm
   kathaṅkathikatām api muhuḥ saṃprathayya sarva-śarma-śīlāṃ śrī-kṛṣṇasya	kaTaFkaTika-tAm api muhur saMpraTayya sarva--Sarma--SIlAm SrI--kRzNasya
   vraja-līlāṃ kathāyām unmīlayāmāsatuḥ |	vraja--lIlAm kaTAyAm unmIlayAmAsatuH |
   [8] tatra ca tasya pitṛ-paitāmahaṃ vṛttaṃ pūrvaṃ tau vṛttaṃ kurvantau	[8] tatra ca tasya pitR-pEtAmaham vRttam pUrvam tO vRttam kurvantO
   tac-carita-bhavya-maya-navya-kāvyasyāpi tad ivācaritavantau janma-vṛttena	tac-carita-Bavya---maya--navya-kAvyasya-api tat iva-AcaritavantO janma--vRttena
   ca janma-vṛttam iva |	ca janma--vRttam iva |
   [9] samanantaraṃ ca yad vicitraṃ tasya caritraṃ sakramatayā samavarṇayatām	[9] samanantaram ca yat vicitram tasya caritram sakrama-tayA samavarNayatAm
   [10] tac cettham uttara-kathā-prathanārtham anusmaryate | aho! yena khalu	[10] tat ca-itTam uttara--kaTA--praTana-arTam anusmaryate | aho! yena Kalu
   pūtanā pūtanārī babhūva, śakaṭaḥ sa kaṭaval-laghutayā patanam avāpa,	pUtanA pUta-nArI baBUva, SakawaH sa kawaval--laGu-tayA patanam avApa,
   tṛṇāvartas tṛṇāvartavad vighaṭitāṅgatāṃ gatavān, arjuna-yugalaṃ cārjunavat	tRNa-AvartaH tRNAvarta-vat viGawita-aFga-tAm gatavAn, arjuna--yugalam ca-arjuna-vat
   kṛtam anugrahaṃ jagrāha | tatra vatsakas tad vatsakaḥ, bakas tu baka eva |	kRtam anugraham jagrAha | tatra vatsakaH tat vatsakaH, bakaH tu bakaH eva |
   [11] vyomaś ca vyomavad eva bhavituṃ yuktaḥ |	[11] vyomaH ca vyoma-vat eva Bavitum yuktaH |
   [12] āstām apīdam, tad idaṃ tu tatrāticitraṃ, yadaho! agho'py anagha āsīt,	[12] AstAm api-idam, tat idam tu tatra-ati-citran, yat-aho! aGaH-api anaGaH AsIt-,
   kāliyaś ca mukta-kañcuka iva jīvann eva nirmuktatayābhidhīyata iti |	kAliyaH ca mukta-kaQcukaH iva jIvan eva nirmukta-tayA-aBiDIyate iti |
   [13] tad evam api parama-vīrya-śālī śālīnatā-vaśaṃvadatayā nija-jyāyasi	[13] tat evam api parama-vIrya-SAlI SAlInatA-a-vaSaMvadatayA nija-jyAyasi
   yaśaḥ saṃvalayan dhenuka-pralambau tat-pratāpānala-jvālāyāṃ lambamānau yac	yaSaH saMvalayan Denuka--pralambO tat--pratApa-anala--jvAlAyAm lambamAnO yat-
   cakāra, tena labdha-madhurācāratā-pracāraś cāyaṃ naś cetasi vikāra-sāram	cakAra, tena labDa--maDura-AcAra-tA--pracAraH ca-ayam naH cetasi vikAra--sAram
   āsādayati |	AsAdayati |
   [14] aho! nija-janeṣu sauhṛdya-hṛdyatāṃ tasya paśya, yaḥ khalu tānavan	[14] aho! nija-janezu sOhRdya--hRdyatAm tasya paSya, yaH Kalu tAn-avan
   dava-hutāśanam api nijāśanam ācacāra |	dava-hutASanam api nija-aSanam AcacAra |
   [15] varṣa-gaṇanayā paugaṇḍo'py avikalāṅgatayā vāma-bhujaṃ giri-cchatraṃ	[15] varza--gaNanayA pOgaNxaH-api avikala-aFga-tayA vAma-Bujam giri-=-Catram
   pari pracaṇḍaṃ daṇḍaṃ cakāra | haṃho! tasya bahala-kutūhalatām api kalaya,	pari pracaNxam daNxam cakAra | haMho! tasya bahala-kutUhala-tAm api kalaya,
   yo'yaṃ kudarśanatāṃ prāptam api sudarśanaṃ sudarśanam eva nirmitavān |	yaH-ayam kudarSana-tAm prAptam api sudarSanam sudarSanam eva nirmitavAn |
   śaṅkhacūḍa-nāmnaḥ khalv asya mani-cūḍatā na yuktā syād itīva yakṣatayā	SaFKacUxa--nAmnaH Kalu asya mani-cUxa-tA na yuktA syAt iti-iva yakza-tayA
   vittasya yakṣa-vittasya tasya śaṅkha-mātrāvaśeṣatayā cūḍāmaṇim apajahāra,	vittasya yakza--vittasya tasya SaFKa--mAtrO=-aSeza-tayA cUxAmaNim apajahAra,
   ariṣṭaṃ riṣṭaṃ cakāra, keśinaḥ pratyayam ākṛṣya tad-arthena cātmani	arizwam rizwam cakAra, keSinaH pratyayam AkRzya tad--arTena ca-Atmani
   kṛtārthatāṃ prakṛṣya keśavatāṃ nirdeśayāmāsa |	kRtArTa-tAm prakRzya keSavatAm nirdeSayAmAsa |
   kiṃ ca-	kim ca-
   yā janma-śrīr ajani gaditā yā ca kaumāra-śobhā	yA janma--SrIH ajani gaditA yA ca kOmAra-SoBA
   yā paugaṇḍa-dyutir agha-ripor yā ca kaiśora-lakṣmīḥ |	yA pOgaNxa-dyutiH aGa-ripoH yA ca kESora--lakzmIH |
   ekā sā sā hṛdayam aharan nas tadā drāg idānīṃ	ekA sA sA hRdayam aharat naH tadA drAk idAnIm
   saṃhatyāmūs tad atha balaval-lobhataḥ kṣobhayanti ||GC_2,1.3||	saMhatya-amUH tat aTa bala-val-loBataH kzoBayanti ||GC_2,1.3||
   pitror vātsalyam ādi-sthita-vayasi mukundasya paugaṇḍa-bhāve	pitroH vAtsalyam Adi--sTita--vayasi mukundasya pOgaNxa-BAve
   sakhyaṃ teṣāṃ bahūnāṃ kim api mṛga-dṛśāṃ navya-tāruṇya-lakṣmyām |	saKyam tezAm bahUnAm kim api mRga-dRSAm navya--tAruNya-lakzmyAm |
   smāraṃ smāraṃ mano naś calati na purataḥ kintu tatrātha bhūyaḥ	smAram smAram manaH naH calati na puratas kintu tatra-aTa BUyas-
   sambhūyāste gṛhāntar-nidhim iva vaṇijaḥ suṣṭhu dūraṃ prayātu ||GC_2,1.4||	samBUyAH-te gRha-antar--niDim iva vaNijaH suzWu dUram prayAtu ||GC_2,1.4||
   iti |	iti |
   [16] tad evam api tat-tulayā tat-poṣārtham udyamāntaraṃ kurvantaḥ	[16] tat evam api tat-tulayA tat-poza-arTam udyama-antaram kurvantaH
   parāmṛśāmaḥ | yadyapi tatra tatra mohanatā-dhuryaṃ tan-mādhuryaṃ tau	parAmRSAmaH | yadi-api tatra tatra mohana-tA--Duryam tan--mADuryam tO
   sūta-sutau yathāyogaṃ vyañjitavantau, tathāpi na vinā vipralambheṇa	sUta-sutO yaTAyogam vyaQjitavantO, taTA-api na vinA vipralamBeNa
   sambhogaḥ puṣṭim aśnute iti-rītyā vraja-satṛṣṇena śri-kṛṣṇena	samBogaH puzwim aSnute iti--rItyA vraja--sa-tRzNena Sri-kRzNena
   bhakta-duḥkha-bhāra-niḥsāra-viśāradasya śrī-nāradasya saṃvādamanu tasya	Bakta--duHKa--BAra--niHsAra--viSAradasya SrI-nAradasya saMvAdam-anu tasya
   yadu-nigama-gamanaṃ	yadu-nigama--gamanam
   punar vrajāgamanaṃ goloka-dhāma-saṅgamanam api samāsād varṇitavantau |	punar vraja-Agamanam goloka--DAma--saFgamanam api samAsAt varNitavantO |
   [17] tat tat sarvaṃ varṇyamānam avakarṇya dināntare labdhāntare pūrvavad	[17] tat tat sarvam varNyamAnam avakarNya dina-antare labDa-antare pUrvavat-
   eva pūrvāhne śrī-kṛṣṇa-sanātha-sabhā-bhāsamānaḥ śrī-vrajanātha-pradhānaḥ	eva pUrvAhne SrI-kRzNa-sanATa--saBA-BAsamAnaH SrI--vrajanATa--praDAnaH
   sa-vraja-janas tad-gamanādikasya vyāsaṃ tāv eva papraccha-	sa-vraja--janaH tad--gamana-Adikasya vyAsam tO eva papracCa-
   yataḥ-	yatas--
   yad apy antaḥ-pīḍā pratata-nija-duḥkha-śravaṇatas	yat api antaH-pIxA pratata--nija--duHKa--SravaNatas
   tathāvad bhātā syāt tad api manujās tan na jahāti |	taTAvat BAtA syAt tat api manujAH tat na jahAti |
   vraṇaṃ śuṣkī-bhāvaṃ gatam api nijaṃ te smṛtatayā	vraNam SuzkI-BAvam gatam api nijam te smRta-tayA
   balāt pīḍaṃ pīḍaṃ niviḍam anubhūtaṃ vidadhati ||GC_2,1.5||	balAt pIxam pIxam nivixam anuBUtam vidaDati ||GC_2,1.5||
   athavā-	aTavA-
   cirād bandhau labdhe'py asukham abhito yāti na tadā	cirAt banDO labDe-api asuKam aBitas yAti na tadA
   gṛhītvā tat-kanṭhaṃ na yadi vilapet tat-priyatamaḥ |	gRhItvA tat-kanWam na yadi vilapet tat--priyatamaH |
   sadā śālīnas tu svayam idam akurvan vraja-janas	sadA SAlInaH tu svayam idam akurvan vraja--janas
   tathā kṛṣṇas tābhyāṃ sadasi kathakābhyām akathayat ||GC_2,1.6||	taTA kRzNaH tAByAm sadasi kaTakAByAm akaTayat ||GC_2,1.6||
   [18] atha pṛṣṭau ca tau sukha-duḥkha-spṛṣṭau śrī-rāmacandra-sabhāyāṃ	[18] aTa pRzwO ca tO suKa--duHKa--spRzwO SrI--rAmacandra--saBAyAm
   kuśa-lavāv ivāsyāṃ śri-kṛṣṇacandra-sabhāyāṃ pratuṣṭuvāte | tatra	kuSa-lavO iva-asyAm Sri-kRzNa-candra--saBAyAm pratuzwu-vAte | tatra
   prathamataḥ snigdhakaṇṭhaḥ samutkaṇṭhatayā babhāṣe |	praTamatas snigDa-kaNWaH samutkaNWa-tayA baBAze |
   [19] tatra ca maṅgalācaraṇam-	[19] tatra ca maFgala-AcaraNam-
   gīr devīm anuyāmaḥ	gIH devIm anuyAmaH
   sakala-śruti-sāra-bhāgavata-rūpām |	sakala--Sruti--sAra-BAgavata--rUpAm |
   yad-rasa-siddhāntābhyāṃ	yat--rasa--sidDAntAByAm
   navam api kāvyaṃ pramāṇatāṃ yāti ||GC_2,1.7||	navam api kAvyam pramANa-tAm yAti ||GC_2,1.7||
   [20] atha pūrva-campūm anusmṛtya kathā-	[20] aTa pUrva-campUm anusmRtya kaTA-
   dinaṃ dinaṃ caivam anandi sa vrajaḥ	dinam dinam ca-evam anandi sa vrajaH
   kṛṣṇena kṛṣṇaḥ sa bhṛśaṃ vrajena ca |	kRzNena kRzNaH sa BRSam vrajena ca |
   sitākhya-pakṣaḥ sita-kāntinā yathā	sita-AKya-pakzaH sita--kAntinA yaTA
   sitākhya-pakṣeṇa yathā sita-dyutiḥ ||GC_2,1.8||	sita-AKya-pakzeNa yaTA sita-dyutiH ||GC_2,1.8||
   [21] tad evam api-	[21] tat evam api-
   kṛṣṇāyāsīt tasya tṛṣṇā samantāt	kRzNAya-AsIt tasya tRzNA samantAt-
   tṛṣṇāyai vā kṛṣṇa ity atra bhedaḥ |	tRzNAyE vA kRzNaH iti atra BedaH |
   nābhūd itthaṃ puruṣaṃ sva-prakṛtyā	na-aBUt itTam puruzam sva--prakRtyA
   yuktaṃ vijñās tatra dṛṣṭāntayanti ||GC_2,1.9||	yuktam vijQAH tatra dRzwAntayanti ||GC_2,1.9||
   pipāsūnāṃ nīraṃ kṣud-udayavatām annam abhitaḥ	pipAsUnAm nIram kzuD--udayavatAm annam aBitas-
   prataptānāṃ śitaṃ hima-jaḍa-hṛdāṃ tapti-nikaraḥ |	prataptAnAm Sitam hima--jaxa--hRdAm tapti-nikaraH |
   yathā tadvat kṛṣṇaḥ samajani yadā gokula-bhuvām	yaTA tadvat kRzNaH samajani yadA go-kula-BuvAm
   tadā vaiyagryaṃ sa pratijana-sukhāya pratigataḥ ||GC_2,1.10||	tadA vEyagryam sa pratijana--suKAya pratigataH ||GC_2,1.10||
   tātas-tad bhrātṛ-vargas-tad akhila-bhaginī-bhartṛ-jāmātṛ-mukhyā	tAta-s-tat BrAtR-varga-s-tat aKila--BaginI--BartR--jA-mAtR-muKyA
   mātā mātuḥ pituś ca svasṛ-mukha-mahilās tadvad anye ca ye ye |	mAtA mAtuH pituH ca svasR--muKa--mahilAH tadvat anye ca ye ye |
   saṛveṣām eva teṣāṃ yugapad api vasann antare vāsayaṃś ca	saR-vezAm eva tezAm yugapad api vasan antare vAsayan ca
   svāntas tān vāsudeva-śruti-bhaṇitam iva vyañjayāmāsa kṛṣṇaḥ ||GC_2,1.11||	svAntaH tAn vAsudeva--Sruti--BaNitam iva vyaQjayAmAsa kRzNaH ||GC_2,1.11||
   surapati-maṇi-mānitāṅga-lakṣmīḥ	surapati-maNi--mAnita-aFga--lakzmIH
   śaradija-sārasa-sāra-hāri-netraḥ |	Saradija--sArasa---sAra--hAri--netraH |
   nikhila-mati-gatiḥ kathaṃ na sa syāt	niKila--mati--gatiH kaTam na sa syAt-
   pitṛ-jananī-sukha-mādhurī-dhurīṇaḥ ||GC_2,1.12||	pitR-jana-nI--suKa--mADurI--DurINaH ||GC_2,1.12||
   dhyāne kūrmavad īkṣaṇe śakalivad ghrāṇa-grahe dhenuvat	DyAne kUrma-vat IkzaNe Sakali-vat GrANa--grahe Denu-vat-
   sparśe pakṣivad asya poṣaṇa-parau śaśvad vrajeśāv amū |	sparSe pakzi-vat asya pozaNa--parO SaSvat vraja-ISO amU |
   nityaṃ nityam udañcad-utkalikikām āśāṃ cirād vardhitāṃ	nityam nityam udaQcat--utkalikikAm ASAm cirAt varDitAm
   kaiśore pratipadya suṣṭhu phalitāṃ jāḍyaṃ mudā jagmatuḥ ||GC_2,1.13||	kESore pratipadya suzWu PalitAm jAxyam mudA jagmatuH ||GC_2,1.13||
   sad-bhrātṛtāṃ svamanu tasya samīksya rāmaḥ	sat--BrAtR-tAm svam-anu tasya samIksya rAmaH
   phullāṅgatāṃ pratidinaṃ gatavān yathā tu |	Pulla-aFgatAm pratidinam gatavAn yaTA tu |
   śeṣa-pramāṇa-tanutāṃ tanuyād asau kiṃ	Seza--pramANa--tanu-tAm tanuyAt asO kim
   diṣṭa-kramād iti janā matim iṣṭavantaḥ ||GC_2,1.14||	dizwa-kramAt iti janAH matim izwavantaH ||GC_2,1.14||
   mukhyaḥ prāṇas tad-vibhedāś ca yadvat	muKyaH prANaH tad--viBedAH ca yadvat-
   kṛṣṇas tadvac chrīla-dāmādayaś ca |	kRzNaH tadvat SrIla-dAma-AdayaH ca |
   ekātmanaḥ śaśvad uddiśya caikaṃ	eka-AtmanaH SaSvat uddiSya ca-ekam
   kāryaṃ yat te yānti tat-tad-vihāram ||GC_2,1.15||	kAryam yat te yAnti tat-tat--vihAram ||GC_2,1.15||
   yeṣāṃ sevyaḥ samajani sa hariḥ sevakānāṃ nijānāṃ	yezAm sevyaH samajani sa hariH sevakAnAm nijAnAm
   teṣāṃ prāṇa-pratikṛtir abhavad deha-sādṛśya-bhājām |	tezAm prANa--pratikRtiH aBavat deha--sAdRSya-BAjAm |
   sāhāyyaṃ taṃ prati tam api vinā te na tiṣṭhanti so'pi	sAhAyyam tam prati tam api vinA te na tizWanti saH-api
   nyasthāt tatra svam iti budhamatā teṣu dṛṣṭāntateyam ||GC_2,1.16||	nyasTAt tatra svam iti buDamatA tezu dRzwAntatA-iyam ||GC_2,1.16||
   vatsa-goṣṭha-vipinādi ced bhajed	vatsa-gozWa--vipina-Adi ced Bajet-
   ghrāṇa-tarpaṇam aghāri-saurabham |	GrANa-tarpaNam aGa-ari--sOraBam |
   tarhi tatra dhavalāvalir bhaved	tarhi tatra Davala-AvaliH Bavet-
   drāg ajāgara-dharā na cānyadā ||GC_2,1.17||	drAk ajAgara--DarA na ca-anyadA ||GC_2,1.17||
   śraddadhyān na jagad yad asya tu guṇair vanyāś ca te prāṇinaḥ	SraddaDyAt na jagat yat asya tu guNEH vanyAH ca te prANinaH
   santi drāg anugāḥ parasparam api prīṇanti yad-dveṣiṇaḥ |	santi drAk anugAH parasparam api prINanti yad-dveziNaH |
   yady evaṃ svayam eva so'pi bhagavān śrī-yukta-vaiyāsakiḥ	yadi evam svayam eva saH-api BagavAn SrI--yukta--vEyAsakiH
   śrīmad-bhāgavatākhya-vajra-lipibhir niṣṭaṅkayen nāgrataḥ ||GC_2,1.18||	SrImat--BAgavata-AKya-vajra--lipiBiH nizwaFkayet na-agratas ||GC_2,1.18||
   tat tad yadyapi śarma-jātam abhavad goṣṭhe tathāpy acyuta-	tat tat yadi-api Sarma-jAtam aBavat gozWe taTA-api acyuta-
   dveṣāya prahitān muhur nija-bhaṭāt kaṃsena bhīr utthitā |	dvezAya prahitAn muhur nija--BawAt kaMsena BIH utTitA |
   tasmād atra na tarhi śānti-rajanīty unnīya līlām imāṃ	tasmAt atra na tarhi SAnti--rajanI-iti unnIya lIlAm imAm
   cittaṃ dhūta-bhayām ihānavarataṃ nirvaktum anvicchati ||GC_2,1.19||	cittam DUta-BayAm iha-anavaratam nirvaktum anvicCati ||GC_2,1.19||
   [21] atha tad duḥkhaṃ smarantaṃ vrajeśvaraṃ prati sāntvanaṃ samāpanam āha	[21] aTa tat duHKam smarantam vrajeSvaram prati sAntvanam samApanam Aha
   sma-	sma-
   goṣṭhe duḥkhāgadaṅkāraḥ kulālaṅkāra eṣa te |	gozWe duHKa-agadaFkAraH kula-alaFkAraH eza te |
   sarvāṃ śaṅkāṃ punar dhunvann arvāg-aṅkāgatas tava ||GC_2,1.20|| iti |	sarvAm SaFkAm punar Dunvan arvAk--aFka-AgataH tava ||GC_2,1.20|| iti |
   [22] tad evaṃ śrī-vrajeśvara-sabhāntaḥ prātaḥ-kathā kathitā | yasyāṃ	[22] tat evam SrI--vraja-ISvara--saBA-antaH prAtaH--kaTA kaTitA | yasyAm
   savyavadhāna-deśe niveśena śrī-vrajeśvaryādayaḥ śrī-rādhādayaś ca	savya-vaDAna--deSe niveSena SrI--vrajeSvari-AdayaH SrI--rADa-AdayaH ca
   prati-nija-karṇam abhyarṇita-varṇa-varṇaṃ cakruḥ |	prati-nija--karNam aByarNita-varNa-varNam cakruH |
   [23] atha pūrvavad ekānte kānte virājamāna-śrī-kānte śrī-rādhikā-niśānte	[23] aTa pUrvavat ekAnte kAnte virAjamAna--SrI-kAnte SrI-rADikA--niSA-ante
   niśāntas tat-	niSA-antaH tat-
   kathā-śeṣaḥ saṃśleṣam avāpa |	kaTA-a-SezaH saMSlezam avApa |
   [24] yatra ca snigdhakaṇṭha uvāca-	[24] yatra ca snigDa-kaNWaH uvAca-
   svayaṃ lakṣmīr apy acyuta-hṛdi gatāpy anya-vapuṣā	svayam lakzmIH api acyuta--hRdi gatA-api anya-vapuzA
   tapas taptvā yaṃ kvāpy alabhata na rāsādi-mahasi |	tapaH taptvA yam kvApi alaBata na rAsa-Adi--mahasi |
   tam etaṃ govindaṃ vaśitam anuvindan vraja-ramā-	tam etam govindam vaSitam anuvindan vraja-ramA-
   gaṇaḥ śarmāvindat kiyad iti kathaṃ kaḥ kathayatu? ||GC_2,1.21||	gaNaH Sarma-avindat kiyat iti kaTam kaH kaTayatu? ||GC_2,1.21||
   prasādaṃ yaṃ svapne'py alabhata na laksmīr api hares	prasAdam yam svapne-api alaBata na laksmIH api hareH-
   tam etaṃ śrī-gopyaḥ samadadhata rāsādi-mahasi |	tam etam SrI---gopyaH samadaData rAsa-Adi--mahasi |
   aho yasyā bhāgyaṃ spṛhitam api tābhir na kalitaṃ	aho yasyAH BAgyam spRhitam api tABiH na kalitam
   kim asyā rādhāyāḥ kavayatu kavis tan-maya-sukham? ||GC_2,1.22|| iti |	kim asyAH rADAyAH kavayatu kaviH tan-m-aya--suKam? ||GC_2,1.22|| iti |
   [25] atha kṣaṇam uṣṇībhūya tuṣṇīmbhūya ca punar āha-tathāpi bhrātar	[25] aTa kzaNam uzNIBUya tuzNImBUya ca punar Aha-taTA-api BrAtar
   madhukaṇṭha! tad idaṃ mukta-kaṇṭhaṃ punar anuvadituṃ śaktir na	maDu-kaNWa! tat idam mukta-kaNWam punar anuvaditum SaktiH na
   prasaktībhavati | yataḥ,	prasaktIBavati | yatas-,
   kulīnānāṃ ślāghyair nija-kulaja-lokaiḥ parivṛtis	kulInAnAm SlAGyEH nija--kula-ja--lokEH parivRti-s
   tathāryāṇāṃ rītir yad api kila tāsām avicalā |	taTA-AryANAm rItiH yat api kila tAsAm avicalAH |
   tathāpy uccais tat-tad-vicalana-kṛtir dhvasta-nikhilā	taTA-api uccEs tat--tad--vicala-na--kRtiH Dvasta--niKilA
   mukunda-premārtir mama hṛdi vimohaṃ prathayati ||GC_2,1.23||	mukunda--prema-ArtiH mama hRdi vimoham praTayati ||GC_2,1.23||
   [26] punaḥ sāsraṃ śrī-rādhā-mukham īkṣamāṇa uvāca-	[26] punar sa-asram SrI--rADA--muKam IkzamANaH uvAca-
   kharāṃśor aṃśu-spṛg-vapur iva kharāṃśor maṇi-tatir	KarAMSoH aMSu--spRS---vapuH iva KarAMSoH maNi-tatir
   vidhoḥ kānti-sparśi-sthitir iva vidho ratna-vitatiḥ |	viDoH kAnti--sparSi--sTitiH iva viDaH ratna-vitatiH |
   muhur jvālāṃ hanta dravam api vahantī tad abhavan	muhur jvAlAm hanta dravam api vahantI tat aBavan
   murārer diṅ-mātrād bhramayati tad eṣā mama manaḥ ||GC_2,1.24||	murAreH diF--mAtrAt Bramayati tat ezA mama manaH ||GC_2,1.24||
   [27] tad evam evāvṛtyā punar api tat-tad-viṣayam uvāca, yathā-	[27] tat evam eva-AvRtyA punar api tat--tat--vizayam uvAca, yaTA-
   yadā dṛṣṭiṃ yātaḥ katham api haris tāsu sa tadā	yadA dRzwim yAtaH kaTam api hariH tAsu sa tadA
   paraṃ sphūrti-bhrāntiṃ racayati purāvan na tu param |	param sPUrti-BrAntim racayati purAvat na tu param |
   yadā spṛṣṭiṃ prāptaḥ kvacid api tadāpi prathamavat	yadA spRzwim prAptaH kvacid api tadA-api praTama-vat-
   tad etad vaiyagryaṃ mama hṛdayam uccair dalayati ||GC_2,1.25||	tat etat vEyagryam mama hRdayam uccEs dalayati ||GC_2,1.25||
   tad etad vaiyagryaṃ vṛṣaravi-sutāyām adhigamād	tat etat vEyagryam vRzara-vi-sutAyAm aDigamAt-
   vidūraṃ yad guptaṃ hasati kim u vā roditi yadā |	vidUram yat guptam hasati kim u vA roditi yadA |
   tadā tasyā hāse sphurati nikhilaṃ hṛṣyatitarāṃ	tadA tasyAH hAse sPurati niKilam hRzi-atitarAm
   tathā rode glāniṃ kalayatitarāṃ ha jagad api ||GC_2,1.26 ||	taTA rode glAnim kalayatitarAm ha jagat api ||GC_2,1.26 ||
   yadā rāsānanda-prabhṛti-hari-līlāḥ suvalitās	yadA rAsa-Ananda--praBRti-hari--lIlAH suvalitA-as
   tadā gopyaḥ satyaṃ parama-paramaṃ śarma samayuḥ |	tadA gopyaH satyam parama--paramam Sarma samayuH |
