   (Vaidya 117)	(VEdyaH 117)
   ṣaṭsu vā punaḥ sparśāyataneṣu yathābhūta(tā?)saṃprativedhaḥ iti | yadatra	zawsu vA punar sparSa-Ayatanezu yaTABUta(tA?)-saMprativeDaH iti | yat-atra
   tatra yathābhūtasyājñānam, adarśanam, anabhisamayaḥ, tamaḥ, saṃmohaḥ,	tatra yaTABUtasya-ajQAnam, adarSanam, anaBisamayaH, tamaH, saMmohaH,
   avidyāndhakāram, iyamucyate 'vidyā ||	avidyA-anDakAram, iyam-ucyate avidyA ||
   avidyāpratyayāḥ saṃskārāḥ katame? trayaḥ saṃskārāḥ - kāyasaṃskārāḥ	avidyA-pratyayAH saMskArAH katame? trayaH saMskArAH  kAya-saMskArAH
   vāksaṃskārāḥ manaḥsaṃskārā iti ||	vAc-saMskArAH manaH-saMskArAH iti ||
   saṃskārapratyayaṃ vijñānamiti vijñānaṃ katamat? ṣaḍ vijñānakāyāḥ -	saMskAra-pratyayam vijQAnam-iti vijQAnam katamat? zaw vijQAna-kAyAH -
   cakṣurvijñānaṃ śrotraghrāṇajihvākāyamanovijñānam ||	cakzuH-vijQAnam Srotra-GrANa-jihvA-kAya-manaH-vijQAnam ||
   vijñānapratyayaṃ nāmarūpamiti nāma katamat? catvāra arūpiṇaḥ skandhāḥ |	vijQAna-pratyayam nAma-rUpam-iti nAma katamat? catvAra arUpiNaH skanDAH |
   katame catvāraḥ? vedanāskandhaḥ saṃjñāskandhaḥ saṃskāraskandhaḥ	katame catvAraH? vedanA-skanDaH saMjQA-skanDaH saMskAra-skanDaH
   vijñānaskandhaḥ | rūpaṃ katamat? yat kiṃcidrūpam, sarvaṃ tat catvāri	vijQAna-skanDaH | rUpam katamat? yat kiMcid-rUpam, sarvam tat catvAri
   mahābhūtāni | catvāri ca mahābhūtānyupādāya itīdaṃ ca nāma,	mahABUtAni | catvAri ca mahABUtAni-upAdAya iti-idam ca nAma,
   tadaikadhyamabhisaṃkṣipya nāmarūpamityucyate ||	tat-EkaDyam-aBisaMkzipya nAma-rUpam-iti-ucyate ||
   nāmarūpapratyayaṃ ṣaḍāyatanamiti ṣaḍāyatanaṃ katamat?	nAma-rUpa-pratyayam zaz-Ayatanam-iti zaz-Ayatanam katamat?
   ṣaḍādhyātmikānyāyatanāni | cakṣurādhyātmikamāyatanaṃ	zaz-ADyAtmikAni-AyatanAni | cakzuH-ADyAtmikam-Ayatanam
   śrotaghrāṇajihvākāyamanaādhyātmikamāyatanam ||	Srota-GrANa-jihvA-kAya-manaA-DyAtmikam-Ayatanam ||
   ṣaḍāyatanapratyayaḥ sparśa iti sparśaḥ katamaḥ? ṣaṭ sparśakāyāḥ |	zaz-Ayatana-pratyayaH sparSaH iti sparSaH katamaH? zaw sparSakAyAH |
   cakṣuḥsaṃsparśaḥ śrotraghrāṇajihvākāyamanaḥsaṃsparśaḥ ||	cakzuH-saMsparSaH Srotra-GrANa-jihvA-kAya-manaH-saMsparSaH ||
   (Psvibh, Vaidya 118) sparśapratyayā vedaneti vedanā katamā? tisro vedanāḥ	(PsviB, VEdyaH 118) sparSa-pratyayAH vedanA-iti vedanA katamA? tisraH vedanAH
   | sukhā duḥkhā aduḥkhāsukhā ca ||	| suKA duHKAH aduHKa-asuKA ca ||
   vedanāpratyayā tṛṣṇeti tṛṣṇā katamā? tisrastṛṣṇāḥ | kāmatṛṣṇā rūpatṛṣṇā	vedanA-pratyayA tRzNA-iti tRzNA katamA? tisraH-tRzNAH | kAma-tRzNA rUpa-tRzNA
   arūpyatṛṣṇā ca ||	arUpya-tRzNA ca ||
   tṛṣṇāpratyayamupādānamiti upādānaṃ katamat? catvāryupādānāni | kāmopādānaṃ	tRzNA-pratyayam-upAdAnam-iti upAdAnam katamat? catvAri-upAdAnAni | kAma-upAdAnam
   dṛṣṭyupādānaṃ śīlavratopādānamātmavādopādānam ||	dRzwi-upAdAnam SIla-vrata-upAdAnam-Atma-vAda-upAdAnam ||
   upādānapratyayo bhava iti bhavaḥ katamaḥ? trayo bhavāḥ | kāmabhavaḥ	upAdAna-pratyayaH BavaH iti BavaH katamaH? trayaH BavAH | kAma-BavaH
   rūpabhavaḥ arūpyabhavaḥ ||	rUpa-BavaH arUpya-BavaH ||
   bhavapratyayā jātiriti jātiḥ katamā? yā teṣāṃ teṣāṃ sattvānāṃ	Bava-pratyayA jAtiH-iti jAtiH katamA? yA tezAm tezAm sattvAnAm
   tasmiṃstasmin sattvanikāye jātiḥ saṃjātiravakrāntirabhirvṛttiḥ	tasmin=-tasmin sattva-nikAye jAtiH saMjAtiH-avakrAntiH-aBiH-vRttiH
   prādurbhāvaḥ skandhapratilambho dhātupratilambhaḥ āyatanapratilambhaḥ	prAdurBAvaH skanDa-pratilamBaH DAtu-pratilamBaH Ayatana-pratilamBaH
   skandhānāmabhinirvṛttiḥ jīvitendriyasya prādurbhāvaḥ ||	skanDAnAm-aBinirvRttiH jIvita-indriyasya prAdurBAvaH ||
   jātipratyayaṃ jarāmaraṇamiti jarā katamā? yattat khālatyaṃ pālityaṃ	jAti-pratyayam jarA-maraNam-iti jarA katamA? yat-tat KAlatyam pAlityam
   valīpracuratā jīrṇatā bhugnatā kubjagopānasīvaṅkatā tilakālakācitagātratā	valI-pracura-tA jIrNa-tA Bugna-tA kubja-gopAnasi-ivaFka-tA tila-kAla-kAcita-gAtra-tA
   khuapraśvāsakāyatā purataḥ prāgbhārakāyatā daṇḍaviṣkambhaṇatā dhandhatvaṃ	Kua-praSvAsa-kAya-tA puratas prAgBArakAyatA daNxa-vizkamBaNa-tA DanDa-tvam
   mandatvaḥ hāniḥ parihāṇiḥ indriyāṇāṃ paripākaḥ paribhedaḥ saṃskārāṇāṃ	manda-tvaH hAniH parihANiH indriyANAm paripAkaH pariBedaH saMskArANAm
   purāṇībhāvaḥ jarjarībhāvaḥ | iyamucyate jarā ||	purANIBAvaH jarjarIBAvaH | iyam-ucyate jarA ||
   maraṇaṃ karamat? yā teṣāṃ teṣāṃ sattvānāṃ tasmāttasmāt sattvanikāyāt	maraNam karam-at? yA tezAm tezAm sattvAnAm tasmAt-tasmAt sattva-nikAyAt-
   cyutiḥ cyavanato bhedaḥ antarahāṇiḥ āyuṣo hāṇiḥ uṣmaṇo hāṇiḥ	cyutiH cyavanatas BedaH antarahANiH AyuzaH hANiH uzmaNaH hANiH
   jīvitendriyasya nirodhaḥ skandhānāṃ nikṣepaḥ maraṇaṃ kālakriyā |	jIvita-indriyasya niroDaH skanDAnAm nikzepaH maraNam kAla-kriyA |
   idamucyate maraṇamiti | idaṃ ca maraṇa pūrvikā ca jarā,	idam-ucyate maraNam-iti | idam ca maraNa pUrvikA ca jarA,
   tadubhayamaikadhyamabhisaṃkṣipya jarāmaraṇamityucyate ||	tat-uBayam-EkaDyam-aBisaMkzipya jarA-maraNam-iti-ucyate ||
   ayamucyate pratītyasamutpādasya vibhaṅgaḥ | pratītyasamutpādasyādiṃ vo	ayam-ucyate pratItyasamutpAdasya viBaFgaH | pratItyasamutpAdasya-Adim vaH-
   deśayiṣyāmi iti vibhaṅgaṃ ca iti vo yaduktam, tadetat pratyuktam ||	deSayizyAmi iti viBaFgam ca iti vaH yat-uktam, tat-etat pratyuktam ||
   idamavocadbhagavān | āttamanasaste bhikṣavo bhagavato bhāṣitamabhyanandan	idam-avocat-BagavAn | Atta-manasaH-te BikzavaH BagavataH BAzitam-aByanandan
   pratītyasamutpādādivibhaṅganirdeśasūtraṃ samāptam ||	pratItyasamutpAda-Adi-viBaFga-nirdeSa-sUtram samAptam ||
