   Kālidāsa: Raghuvaṃśa	KAli-dAsa: RaGu-vaMSa
   tadanvaye śuddhimati prasūtaḥ śuddhimattaraḥ /	tad-anvaye SudDimati prasUtaH SudDimattaraH /
   dilīpa iti rājendurinduḥ kṣīranidhāviva // Ragh(K)_1.12 //	dilIpaH iti rAja-induH-induH kzIra-niDO=-iva // RaG(K)_1.12 //
   vyūḍhorasko vṛṣaskandhaḥ sālaprāṃśurmahābhujaḥ /	vyUXa-uraskaH vRza-skanDaH sAla-prAMSuH-mahA-BujaH /
   ātmakarmakṣamaṃ dehaṃ kṣātro dharma ivāśritaḥ // Ragh(K)_1.13 //	Atma-karma-kzamam deham kzAtraH DarmaH iva-ASritaH // RaG(K)_1.13 //
   sarvātiriktasāreṇa sarvatejobhibhāvinā /	sarva-atirikta-sAreNa sarva-tejaH-BiBAvinA /
   sthitaḥ sarvonnatenorvīṃ krāntvā merurivātmanā // Ragh(K)_1.14 //	sTitaH sarva-unnatena-urvIm krAntvA meruH-iva-AtmanA // RaG(K)_1.14 //
   ākārasadṛśaprajñaḥ prajñayā sadṛśāgamaḥ /	AkAra-sadRSa-prajQaH prajQayA sadRSa-AgamaH /
   āgamaiḥ sadṛśārambhaḥ prārambhasadṛśodayaḥ // Ragh(K)_1.15 //	AgamEH sadRSa-AramBaH prAramBa-sadRSa-udayaH // RaG(K)_1.15 //
   bhīmakāntairnṛpaguṇaiḥ sa babhūvopajīvinām /	BIma-kAntEH-nRpa-guNEH sa baBUva-upajIvinAm /
   adhṛṣyaścābhigamyaśca yādoratnairivārṇavaḥ // Ragh(K)_1.16 //	aDRzyaH-ca-aBigamyaH-ca yAdaH-ratnEH-iva-arNavaH // RaG(K)_1.16 //
   rekhāmātramapi kṣuṇṇādātmano vartmanaḥ param /	reKA-mAtram-api kzuNNAt-AtmanaH vartmanaH param /
   na vyatīyuḥ prajāstasya niyanturnemivṛttayaḥ // Ragh(K)_1.17 //	na vyatIyuH prajAH-tasya niyantuH-nemi-vRttayaH // RaG(K)_1.17 //
   prajānāmeva bhūtyarthaṃ sa tābhyo balimagrahīt /	prajAnAm-eva BUti-arTam sa tAByaH balim-agrahIt /
   sahasraguṇamutsraṣṭumādatte hi rasaṃ raviḥ // Ragh(K)_1.18 //	sahasraguNam-utsrazwum-Adatte hi rasam raviH // RaG(K)_1.18 //
   senā paricchadastasya dvayamevārthasādhanam /	senA paricCadaH-tasya dvayam-eva-arTa-sADanam /
   śāstre ca vyāpṛtā buddhirmaurvī dhanuṣi cātatā // Ragh(K)_1.19 //	SAstre ca vyApRtA budDiH-mOrvI Danuzi ca-AtatA // RaG(K)_1.19 //
   tasya saṃvṛtamantrasya gūḍhākāreṅgitasya ca /	tasya saMvRta-mantrasya gUXa-AkAra-iFgitasya ca /
   phalānumeyāḥ prārambhāḥ saṃskārāḥ prāktanā iva // Ragh(K)_1.20 //	Pala-anumeyAH prAramBAH saMskArAH prAktanAH iva // RaG(K)_1.20 //
   jugopātmānamatrasto bheje dharmamanāturaḥ /	jugopa-AtmAnam-atrastaH Beje Darmam-anAturaH /
   agṛdhnurādade so 'rthānasaktaḥ sukhamanvabhūt // Ragh(K)_1.21 //	agRDnuH-Adade saH arTAn-asaktaH suKam-anvaBUt // RaG(K)_1.21 //
   jñāne maunaṃ kṣamā śaktau tyāge ślāghāviparyayaḥ /	jQAne mOnam kzamA SaktO tyAge SlAGA-viparyayaH /
   guṇā guṇānubandhitvāttasya saprasavā iva // Ragh(K)_1.22 //	guNAH guNa-anubanDi-tvAt-tasya sa-prasavAH iva // RaG(K)_1.22 //
   anākṛṣṭasya viṣayairvidyānāṃ pāradṛśvanaḥ /	anAkRzwasya vizayEH-vidyAnAm pAradRSvanaH /
   tasya dharmaraterāsīdvṛddhatvaṃ jarasā vinā // Ragh(K)_1.23 //	tasya Darma-rateH-AsIt-vRdDa-tvam jarasA vinA // RaG(K)_1.23 //
   prajānāṃ vinayādhānādrakṣaṇādbharaṇādapi /	prajAnAm vinaya-ADAnAt-rakzaNAt-BaraNAt-api /
   sa pitā pitarastāsāṃ kevalaṃ janmahetavaḥ // Ragh(K)_1.24 //	sa pitA pitaraH-tAsAm kevalam janma-hetavaH // RaG(K)_1.24 //
   sthityai daṇḍayato daṇḍyānpariṇetuḥ prasūtaye /	sTityE daNxayataH daNxyAn-pariNetuH prasUtaye /
   apyarthakāmau tasyāstāṃ dharma eva manīṣiṇaḥ // Ragh(K)_1.25 //	api-arTa-kAmO tasya-AstAm DarmaH eva manIziNaH // RaG(K)_1.25 //
   dudoha gāṃ sa yajñāya sasyāya maghavā divam /	dudoha gAm sa yajQAya sasyAya maGavA divam /
   sampadvinimayenobhau dadhaturbhuvanadvayam // Ragh(K)_1.26 //	sampad-vinimayena-uBO daDatuH-Buvana-dvayam // RaG(K)_1.26 //
   na kilānuyayustasya rājāno rakṣituryaśaḥ /	na kila-anuyayuH-tasya rAjAnaH rakzituH-yaSaH /
   vyāvṛttā yatparasvebhyaḥ śrutau taskaratā sthitā // Ragh(K)_1.27 //	vyAvRttA yat-para-sveByaH SrutO taskara-tA sTitAH // RaG(K)_1.27 //
   dveṣyo 'pi sammataḥ śiṣṭastasyārtasya yathauṣadham /	dvezyaH api sammataH SizwaH-tasya-Artasya yaTA-OzaDam /
   tyājyo duṣṭaḥ priyo 'pyāsīddaṣṭo 'ṅguṣṭha ivāhinā // Ragh(K)_1.28 //	tyAjyaH duzwaH priyaH api-AsIt-dazwaH aFguzWaH iva-ahinA // RaG(K)_1.28 //
   taṃ vedhā vidadhe nūnaṃ mahābhūtasamādhinā /	tam veDAH vidaDe nUnam mahABUta-samADinA /
   tathā hi sarve tasyāsanparārthaikaphalā guṇāḥ // Ragh(K)_1.29 //	taTA hi sarve tasya-Asan-para-arTa-eka-PalAH guNAH // RaG(K)_1.29 //
   sa velāvapravalayāṃ parikhīkṛtasāgarām /	sa velO=-apravalayAm pariKIkRta-sAgarAm /
   ananyaśāsanāmurvīṃ śaśāsaikapurīmiva // Ragh(K)_1.30 //	ananya-SAsanAm-urvIm SaSAsa-eka-purIm-iva // RaG(K)_1.30 //
   tasya dākṣiṇyarūḍhena nāmnā māgadhavaṃśajā /	tasya dAkziNya-rUXena nAmnA mAgaDa-vaMSa-jAH /
   patnī sudakṣiṇetyāsīdadhvarasyeva dakṣiṇā // Ragh(K)_1.31 //	patnI sudakziNA-iti-AsIt-aDvarasya-iva dakziNA // RaG(K)_1.31 //
   kalatravantamātmānamavarodhe mahatyapi /	kalatravantam-AtmAnam-avaroDe mahati-api /
   tayā mene manasvinyā lakṣmyā ca vasudhādhipaḥ // Ragh(K)_1.32 //	tayA mene manasvinyA lakzmyA ca vasuDADipaH // RaG(K)_1.32 //
   tasyāmātmānurūpāyāmātmajanmasamutsukaḥ /	tasyAm-Atma-anurUpAyAm-Atma-janma-samutsukaH /
   vilambitaphalaiḥ kālaṃ sa nināya manorathaiḥ // Ragh(K)_1.33 //	vilambita-PalEH kAlam sa ninAya manoraTEH // RaG(K)_1.33 //
   gaṅgāṃ bhagīratheneva pūrveṣāṃ pāvanakṣamām /	gaFgAm BagIraTena-iva pUrvezAm pAvana-kzamAm /
   īpsatā santatiṃ nyastā tena mantriṣu kosalā // Ragh(K)_1.34 //	IpsatA santatim nyastA tena mantrizu kosalAH // RaG(K)_1.34 //
   athābhyarcya vidhātāraṃ prayatau putrakāmyayā /	aTa-aByarcya viDAtAram prayatO putra-kAmyayA /
   tau dampatī vasiṣṭhasya gurorjagmaturāśramam // Ragh(K)_1.35 //	tO dampatI vasizWasya guroH-jagmatuH-ASramam // RaG(K)_1.35 //
   snigdhagambhīranirghoṣamekaṃ syandanamāśritau /	snigDa-gamBIra-nirGozam-ekam syandanam-ASritO /
   prāvṛṣeṇyaṃ payovāhaṃ vidyudairāvatāviva // Ragh(K)_1.36 //	prAvRzeNyam payaH-vA-aham vidyut-ErAvatO=-iva // RaG(K)_1.36 //
   mā bhūdāśramapīḍeti parimeyapuraḥsarau /	mA BUt-ASrama-pIxA-iti parimeya-puraHsarO /
   vaśānāgau sagandhālpakalabhānugatāviva // Ragh(K)_1.37 //	vaSA-nAgO sa-ganDA-alpa-kalaBa-anugatO=-iva // RaG(K)_1.37 //
   sevyamānau sukhasparśaiḥ sālaniryāsagandhibhiḥ /	sevyamAnO suKa-sparSEH sAla-niryAsa-ganDiBiH /
   puṣpareṇūtkirairvātairādhūtavanarājibhiḥ // Ragh(K)_1.38 //	puzpa-reNu-utkirEH-vAtEH-ADUta-vana-rAjiBiH // RaG(K)_1.38 //
   pavanasyānukūlatvātprārthanāsiddhiśaṃsinaḥ /	pavanasya-anukUla-tvAt-prArTanA-sidDi-SaMsinaH /
   rajobhisturagotkīrṇairaspṛṣṭālakaveṣṭanau // Ragh(K)_1.39 //	rajoBiH-turaga-utkIrNEH-aspRzwa-alaka-vezwanO // RaG(K)_1.39 //
   haiyaṅgavīnamādāya ghoṣavṛddhānupāgatān /	hEyaFgavInam-AdAya Goza-vRdDa-an-upAgatAn /
   nāmadheyāni pṛcchantau vanyānāṃ mārgaśākhinām // Ragh(K)_1.40 //	nAmaDeyAni pRcCantO vanyAnAm mArga-SAKinAm // RaG(K)_1.40 //
   sarasīṣvaravindānāṃ vīcivikṣobhaśītalam /	sarasIzu-aravindAnAm vIci-vikzoBa-SItalam /
   āmodamupajighrantau svaniḥśvāsānukāriṇam // Ragh(K)_1.41 //	Amodam-upajiGrantO sva-niHSvAsa-anukAriNam // RaG(K)_1.41 //
   manobhirāmāḥ śṛṇvantau rathanemisvanonmukhaiḥ /	manoBirAmAH SRNvantO raTa-nemi-svana-unmuKEH /
   ṣaḍjasaṃvādinīḥ kekā dvidhā bhinnāḥ śikhaṇḍibhiḥ // Ragh(K)_1.42 //	zaxja-saMvAdinIH kekAH dviDA BinnAH SiKaNxiBiH // RaG(K)_1.42 //
   parasparākṣisādṛśyamadūrojjhitavartmasu /	paraspara-akzi-sAdRSya-madUra-ujJita-vartmasu /
   mṛgadvandveṣu paśyantau syandanābaddhadṛṣṭiṣu // Ragh(K)_1.43 //	mRga-dvandvezu paSyantO syandana-AbadDa-dRzwizu // RaG(K)_1.43 //
   śreṇibandhādvitanvadbhirastambhāṃ toraṇasrajam /	SreNi-banDAt-vitanvadBiH-astamBAm toraNa-srajam /
   sārasaiḥ kalanirhrādaiḥ kvacidunnamitānanau // Ragh(K)_1.44 //	sArasEH kala-nirhrAdEH kvacid-unnamita-AnanO // RaG(K)_1.44 //
   grāmeṣvātmanisṛṣṭeṣu yūpacihneṣu yajvanām /	grAmezu-Atma-nisRzwezu yUpa-cihnezu yajvanAm /
   amoghāḥ pratigṛhṇantāvarghyānupadamāśiṣaḥ // Ragh(K)_1.45 //	amoGAH pratigRhNantO=-arGya-anupadam-ASizaH // RaG(K)_1.45 //
   kāpyabhikhyā tayorāsīdvrajatoḥ śuddhaveśayoḥ /	kA-api-aBiKyA tayoH-AsIt-vrajatoH SudDa-veSayoH /
   himanirmuktayoryoge citrācandramasoriva // Ragh(K)_1.46 //	hima-nirmuktayoH-yoge citrA-candramasoH-iva // RaG(K)_1.46 //
   tattadbhūmipatiḥ patnyai darśayanpriyadarśanaḥ /	tad-tat-BUmipatiH patnyE darSayan-priya-darSanaH /
   api laṅghitamadhvānaṃ bubudhe na budhopamaḥ // Ragh(K)_1.47 //	api laFGitam-aDvAnam bubuDe na buDa-upamaH // RaG(K)_1.47 //
   sa duṣprāpayaśāḥ prāpadāśramaṃ śrāntavāhanaḥ /	sa duzprApayaSAH prApat-ASramam SrAnta-vAhanaH /
   sāyaṃ saṃyaminastasya maharṣermahiṣīsakhaḥ // Ragh(K)_1.48 //	sAyam saMyaminaH-tasya mahA-RzeH-mahizI-saKaH // RaG(K)_1.48 //
   vanāntarādupāvṛttaiḥ skandhāsaktasamitkuśaiḥ /	vana-antarAt-upAvRttEH skanDa-Asakta-samiD-kuSEH /
   agnipratyudgamātpūtaiḥ pūryamāṇaṃ tapasvibhiḥ // Ragh(K)_1.49 //	agni-pratyudgamAt-pUtEH pUryamANam tapasviBiH // RaG(K)_1.49 //
   sekānte munikanyābhirviviktīkṛtavṛkṣakam /	sekAnte muni-kanyABiH-viviktIkRta-vRkzakam /
   āśvāsāya vihaṅgānāmālavālāmbupāyinām // Ragh(K)_1.50 //	ASvAsAya vihaFgAnAm-Ala-vAla-ambu-pAyinAm // RaG(K)_1.50 //
   ātapāpāyasaṅkṣiptanīvārāsu niṣādibhiḥ /	Atapa-apAya-saFkzipta-nIvArAsu nizAdiBiH /
   mṛgairvartitaromanthamuṭajāṅganabhūmiṣu // Ragh(K)_1.51 //	mRgEH-vartitaromanTa-muwaja-aFgana-BUmizu // RaG(K)_1.51 //
   ākīrṇamṛṣipatnīnāmuṭajadvārarodhibhiḥ /	AkIrNam-Rzi-patnInA-muwaja-dvAra-roDiBiH /
   apatyairiva nīvārabhāgadheyocitairmṛgaiḥ // Ragh(K)_1.52 //	apatyEH-iva nIvAra-BAga-Deya-ucitEH-mRgEH // RaG(K)_1.52 //
   abhyuddhṛtāgnipiśunairatithīnāśramonmukhān /	aByudDRta-agni-piSunEH-atiTIna-ASrama-unmuKAn /
   punānaṃ pavanoddhūtairdhūmairāhutigandhibhiḥ // Ragh(K)_1.53 //	punAnam pavana-udDUtEH-DUmEH-Ahuti-ganDiBiH // RaG(K)_1.53 //
   atha yantāramādiśya dhuryānviśramayeti saḥ /	aTa yantAram-AdiSya DuryAn-viSramayA-iti saH /
   tāmavārohayatpatnīṃ rathādavaruroha ca // Ragh(K)_1.54 //	tAm-avArohayat-patnIm raTAt-avaruroha ca // RaG(K)_1.54 //
   tasmai sabhyāḥ sabhāryāya goptre guptatamendriyāḥ /	tasmE saByAH sa-BAryAya goptre guptatama-indriyAH /
   arhaṇāmarhate cakrurmunayo nayacakṣuṣe // Ragh(K)_1.55 //	arhaNAm-arhate cakruH-munayaH naya-cakzuze // RaG(K)_1.55 //
   vidheḥ sāyantanasyānte sa dadarśa taponidhim /	viDeH sAyantanasya-ante sa dadarSa tapaH-niDim /
   anvāsitamarundhatyā svāhayeva havirbhujam // Ragh(K)_1.56 //	anvAsitam-arunDatyA svAhayA-iva havirBujam // RaG(K)_1.56 //
   tayorjagṛhatuḥ pādau rājā rājñī ca māgadhī /	tayoH-jagRhatuH pAdO rAjA rAjQI ca mAgaDI /
   tau gururgurupatnī ca prītyā pratinanandatuḥ // Ragh(K)_1.57 //	tO guruH-guru-patnI ca prItyA pratinanandatuH // RaG(K)_1.57 //
   ātitheyastamātithyavinītādhvapariśramam /	AtiTeyaH-tam-AtiTya-vinIta-aDva-pariSramam /
   papraccha kuśalaṃ rājye rājyāśramamuniṃ muniḥ // Ragh(K)_1.58 //	papracCa kuSalam rAjye rAjya-ASrama-munim muniH // RaG(K)_1.58 //
   athātharvanidhestasya vijitāripuraḥ puraḥ /	aTa-aTarva-niDeH-tasya vijita-ari-puraH puras /
   arthyāmarthapatirvācamādade vadatāṃ varaḥ // Ragh(K)_1.59 //	arTyAm-arTa-patiH-vAcam-Adade vadatAm varaH // RaG(K)_1.59 //
   upapannaṃ nanu śivaṃ saptasvaṅgeṣu yasya me /	upapannam nanu Sivam sapta-su-aFgezu yasya me /
   daivīnāṃ mānuṣīṇāṃ ca pratikartā tvamāpadām // Ragh(K)_1.60 //	dEvInAm mAnuzINAm ca pratikartA tvam-ApadAm // RaG(K)_1.60 //
   tava mantrakṛto mantrairdūrātsaṃyamitāribhiḥ /	tava mantra-kRtaH mantrEH-dUrAt-saMyamita-ariBiH /
   pratyādiśyanta iva me dṛṣṭalakṣyabhidaḥ śarāḥ // Ragh(K)_1.61 //	pratyAdiSyantaH iva me dRzwa-lakzya-BidaH SarAH // RaG(K)_1.61 //
   havirāvarjitaṃ hotastvayā vidhivadagniṣu /	haviH-Avarjitam hotar-tvayA viDivat-agnizu /
   vṛṣṭībhavati sasyānāmavagrahaviśoṣiṇām // Ragh(K)_1.62 //	vRzwIBavati sasyAnAm-avagraha-viSoziNAm // RaG(K)_1.62 //
   puruṣāyuṣajīvinyo nirātaṅkā nirītayaḥ /	puruza-Ayuza-jIvinyaH nirAtaFkAH nirItayaH /
   yanmadīyāḥ prajāstatra hetustvadbrahmavarcasam // Ragh(K)_1.63 //	yat-madIyAH prajAH-tatra hetuH-tvad-brahmavarcasam // RaG(K)_1.63 //
   tadevaṃ cintyamānasya guruṇā brahmayoninā /	tat-evam cintyamAnasya guruNA brahma-yoninA /
   sānubandhāḥ kathaṃ na syuḥ sampado me nirāpadaḥ // Ragh(K)_1.64 //	sa-anubanDAH kaTam na syuH sampadaH me nirApadaH // RaG(K)_1.64 //
   kiṃ tu vadhvāṃ tavaitasyāmadṛṣṭasadṛśaprajam /	kim tu vaDvAm tava-etasyAm-adRzwa-sadRSa-prajam /
   na māmavati sadvīpā ratnasūrapi medinī // Ragh(K)_1.65 //	na mAm-avati sa-dvIpA ratnasUH-api medinI // RaG(K)_1.65 //
   matparaṃ durlabhaṃ matvā nūnamāvarjitaṃ mayā /	mad-param durlaBam matvA nUnam-Avarjitam mayA /
   payaḥ pūrve svaniḥśvāsakaduṣṇamupabhuñjate // Ragh(K)_1.66 //	payaH pUrve sva-niHSvAsa-kaduzNam-upaBuQjate // RaG(K)_1.66 //
   so 'hamijyāviśuddhātmā prajālopanimīlitaḥ /	saH aham-ijyA-viSudDa-AtmA prajAlopanimIlitaH /
   prakāśaścāndhakāraśca lokāloka ivācalaḥ // Ragh(K)_1.67 //	prakASaH-ca-anDakAraH-ca lokAlokaH iva-acalaH // RaG(K)_1.67 //
   lokāntarasukhaṃ puṇyaṃ tapodānasamudbhavam /	loka-antara-suKam puNyam tapaH-dAna-samudBavam /
   santatiḥ śuddhavaṃśyā tu paratreha ca śarmaṇe // Ragh(K)_1.68 //	santatiH SudDa-vaMSyA tu paratra-iha ca SarmaNe // RaG(K)_1.68 //
   tayā hīnaṃ vinetā māṃ kathaṃ paśyanna dūyate /	tayA hInam vinetA mAm kaTam paSyan-na dUyate /
   siktaṃ svayamiva snehādvandhyamāśramavṛkṣakam // Ragh(K)_1.69 //	siktam svayam-iva snehAt-vanDyam-ASrama-vRkzakam // RaG(K)_1.69 //
   asahyapīḍaṃ bhagavannṛṇabandhamavaihi me /	asahya-pIxam Bagavat-nRNa-banDam-avEhi me /
   aruntudamivālānaṃ navabaddhasya dantinaḥ // Ragh(K)_1.70 //	aruntudam-iva-AlAnam nava-badDasya dantinaH // RaG(K)_1.70 //
   tasmādyathā vimucyeyaṃ saṃvidhātuṃ tathārhasi /	tasmAt-yaTA vimucyeyam saMviDAtum taTA-arhasi /
   ikṣvākūṇāṃ durāpe 'rthe tvadadhīnā hi siddhayaḥ // Ragh(K)_1.71 //	ikzvAkUNAm durApe arTe tvad-aDInAH hi sidDayaH // RaG(K)_1.71 //
   iti vijñāpito rājñā dhyānastimitalocanaḥ /	iti vijQApitaH rAjQA DyAna-stimita-locanaH /
   kṣaṇamātramṛṣistasthau suptamīna iva hradaḥ // Ragh(K)_1.72 //	kzaNa-mAtram-RziH-tasTO supta-mInaH iva hradaH // RaG(K)_1.72 //
   so 'paśyatpraṇidhānena santatistambhakāraṇam /	saH apaSyat-praNiDAnena santati-stamBa-kAraNam /
   bhāvitātmā bhuvo bharturathainaṃ pratyabodhayat // Ragh(K)_1.73 //	BAvitAtmA BuvaH BartuH-aTa-enam pratyaboDayat // RaG(K)_1.73 //
   purā śakramupasthāya tavorvīṃ pratiyāsyataḥ /	purA Sakram-upasTAya tava-urvIm pratiyAsyataH /
   āsītkalpatarucchāyāsevinī surabhiḥ pathi // Ragh(K)_1.74 //	AsIt-kalpa-taru=-CAyA-sevinI suraBiH paTi // RaG(K)_1.74 //
   imāṃ devīmṛtusnātāṃ smṛtvā sapadi satvaraḥ /	imAm devIm-Rtu-snAtAm smRtvA sapadi sa-tvaraH /
   pradakṣiṇakriyātītastasyāḥ kopamajījanaḥ // Ragh(K)_1.75 //	pradakziNa-kriyA-atItaH-tasyAH kopam-ajIjanaH // RaG(K)_1.75 //
   avajānāsi māṃ yasmādataste na bhaviṣyati /	avajAnAsi mAm yasmAt-atas-te na Bavizyati /
   matprasūtimanārādhya prajeti tvā śaśāpa sā // Ragh(K)_1.76 //	mad-prasUtim-anArADya prajA-iti tvA SaSApa sA // RaG(K)_1.76 //
   sa śāpo na tvayā rājanna ca sārathinā śrutaḥ /	sa SApaH na tvayA rAjan-na ca sAraTinA SrutaH /
   nadatyākāśagaṅgāyāḥ srotasyuddāmadiggaje // Ragh(K)_1.77 //	nadati-AkASagaFgAyAH srotasi-uddAma-diggaje // RaG(K)_1.77 //
   avaimi tadapadhyānādyatnāpekṣaṃ manoratham /	avEmi tad-apaDyAnAt-yatna-apekzam manoraTam /
   pratibadhnāti hi śreyaḥ pūjyapūjāvyatikramaḥ // Ragh(K)_1.78 //	pratibaDnAti hi SreyaH pUjya-pUjA-vyatikramaH // RaG(K)_1.78 //
   haviṣe dīrghasattrasya sā cedānīṃ pracetasaḥ /	havize dIrGasattrasya sA ca-idAnIm pracetasaH /
   bhujaṅgapihitadvāraṃ pātālamadhitiṣṭhati // Ragh(K)_1.79 //	BujaFga-pihita-dvAram pAtAlam-aDitizWati // RaG(K)_1.79 //
   sa tvamekāntarāṃ tasyā madīyāṃ vatsamātaram /	sa tvam-ekAntarAm tasyAH madIyAm vatsa-mAtaram /
   ārādhaya sapatnīkaḥ sā vāṃ kāmaṃ pradāsyati // Ragh(K)_1.80 //	ArADaya sa-patnIkaH sA vAm kAmam pradAsyati // RaG(K)_1.80 //
   iti vādina evāsya hoturāhutisādhanam /	iti vAdinaH eva-asya hotuH-Ahuti-sADanam /
   anindyā nandinī nāma dhenurāvavṛte vanāt // Ragh(K)_1.81 //	anindyA nandinI nAma Denu-rAva-vRte vanAt // RaG(K)_1.81 //
   tāmrā lalāṭajāṃ rājiṃ bibhratī sāsitetarām /	tAmrA lalAwa-jAm rAjim biBratI sa-asitetarAm /
   sandhyā prātipadeneva vyatibhinnā himāṃśunā // Ragh(K)_1.82 //	sanDyA prAtipadena-iva vyatiBinnA himAMSunA // RaG(K)_1.82 //
   bhuvaṃ koṣṇena kuṇḍodhnī medhyenāvabhṛthādapi /	Buvam kozNena kuNxoDnI meDyena-avaBRTAt-api /
   prasnavenābhivarṣantī vatsālokapravartinā // Ragh(K)_1.83 //	prasnavena-aBivarzantI vatsa-Aloka-pravartinA // RaG(K)_1.83 //
   rajaḥkaṇaiḥ khuroddhūtaiḥ spṛśadbhirgātramantikāt /	rajaH-kaNEH Kura-udDUtEH spRSadBiH-gAtram-antikAt /
   tīrthābhiṣekajāṃ śuddhimādadhānā mahīkṣitaḥ // Ragh(K)_1.84 //	tIrTa-aBizeka-jAm SudDim-AdaDAnAH mahIkzitaH // RaG(K)_1.84 //
   tāṃ puṇyadarśanāṃ dṛṣṭvā nimittajñastapodhanaḥ /	tAm puNya-darSanAm dRzwvA nimitta-jQaH-tapoDanaH /
   yājyamāśaṃsitāvandhyaprārthanaṃ punarabravīt // Ragh(K)_1.85 //	yAjyam-ASaMsitO=-anDya-prArTanam punar-abravIt // RaG(K)_1.85 //
   adūravartinīṃ siddhiṃ rājanvigaṇayātmanaḥ /	adUra-vartinIm sidDim rAjan-vigaNayA-AtmanaH /
   upasthiteyaṃ kalyāṇī nāmni kīrtita eva yat // Ragh(K)_1.86 //	upasTitA-iyam kalyANI nAmni kIrtitaH eva yat // RaG(K)_1.86 //
   vanyavṛttirimāṃ śaśvadātmānugamanena gām /	vanya-vRttiH-imAm SaSvat-Atma-anugamanena gAm /
   vidyāmabhyasaneneva prasādayitumarhasi // Ragh(K)_1.87 //	vidyAm-aByasanena-iva prasAdayitum-arhasi // RaG(K)_1.87 //
   prasthitāyāṃ pratiṣṭhethāḥ sthitāyāṃ sthānamācareḥ /	prasTitAyAm pratizWeTAH sTitAyAm sTAnam-AcareH /
   niṣaṇṇāyāṃ niṣīdāsyāṃ pītāmbhasi piverapaḥ // Ragh(K)_1.88 //	nizaNNAyAm nizIda-asyAm pIta-amBasi piverapaH // RaG(K)_1.88 //
