   || sūtraprasthānam ||	|| sUtra-prasTAnam ||
   sa eva brahmaśabdārtho nārāyaṇapadoditaḥ // MAnuv_1,1.9 //	saH eva brahma-Sabda-arTaH nArAyaNa-pada-uditaH // Ma-anuv_1,1.9 //
   sa eva bhargaśabdārtho vyāhṛtīnāṃ ca bhūmataḥ /	saH eva Barga-Sabda-arTaH vyAhRtInAm ca BUmataH /
   bhāvanāccaiva sutvācca so 'yaṃ puruṣa ityapi // MAnuv_1,1.10 //	BAvanAt-ca-eva sutvAt-ca saH ayam puruzaH iti-api // Ma-anuv_1,1.10 //
   sa eva sarvavedārtho jijñāsyo 'yaṃ vidhīyate /	saH eva sarva-veda-arTaH jijQAsyaH ayam viDIyate /
   jñānī priyatamo 'to me taṃ vidvāneva cāmṛtaḥ // MAnuv_1,1.11 //	jQAnI priyatamaH atas me tam vidvAn-eva ca-amRtaH // Ma-anuv_1,1.11 //
   vṛṇute yaṃ tena labhya ityādyuktibalena hi /	vRNute yam tena laByaH ityAt-yukti-balena hi /
   jijñāsotthajñānajāt tatprasādādeva mucyate // MAnuv_1,1.12 //	jijQAsA-utTa-jQAna-jAt tad-prasAdAt-eva mucyate // Ma-anuv_1,1.12 //
   dravyaṃ karma ca kālaśca svabhāvo jīva eva ca /	dravyam karma ca kAlaH-ca svaBAvaH jIvaH eva ca /
   yadanugrahataḥ santi na santi yadupekṣayā // MAnuv_1,1.13 //	yat-anugrahataH santi na santi yat-upekzayA // Ma-anuv_1,1.13 //
   narte tvat kriyate kiñcidityāderna hariṃ vinā /	na-Rte tvat kriyate kiQcid-iti-AdeH-na harim vinA /
   jñānasvabhāvato 'pi syānmuktiḥ kasyāpi hi kvacit // MAnuv_1,1.14 //	jQAna-svaBAvataH api syAt-muktiH kasya-api hi kvacid // Ma-anuv_1,1.14 //
   ajñānāṃ jñānado viṣṇurjñānināṃ mokṣadaśca saḥ /	ajQAnAm jQAna-daH vizNuH-jQAninAm mokza-daH-ca saH /
   ānandadaśca muktānāṃ sa evaiko janārdanaḥ // MAnuv_1,1.15 //	Ananda-daH-ca muktAnAm saH eva-ekaH janArdanaH // Ma-anuv_1,1.15 //
   ityukterbandhamithyātvaṃ naiva muktirapekṣate /	iti-ukteH-banDa-miTyAtvam na-eva muktiH-apekzate /
   mithyātvamapi bandhasya na pratyakṣavirodhataḥ // MAnuv_1,1.16 //	miTyAtvam-api banDasya na pratyakza-viroDataH // Ma-anuv_1,1.16 //
   mithyātvaṃ yadi duḥkhādestadvākyāgrato bhavet /	miTyAtvam yadi duHKa-AdeH-tad-vAkya-agratas Bavet /
   mithyāyāḥ sādhakatvaṃ ca na siddhaṃ prativādinaḥ // MAnuv_1,1.17 //	miTyAyAH sADaka-tvam ca na sidDam prativAdinaH // Ma-anuv_1,1.17 //
   tacca mithyāpramāṇena satā vā sādhyate tvayā /	tat-ca miTyA-pramANena satA vA sADyate tvayA /
   satā ced dvaitasiddhiḥ syānna siddhaṃ cānyasādhanam // MAnuv_1,1.18 //	satA ced dvEta-sidDiH syAt-na sidDam ca-anya-sADanam // Ma-anuv_1,1.18 //
   sādhakatvaṃ satastena sākṣiṇā siddhimicchatā /	sADaka-tvam sataH-tena sAkziNA sidDim-icCatA /
   svīkṛtaṃ hyaviśeṣasya sādhyā sādhakatā punaḥ // MAnuv_1,1.19 //	svIkRtam hi-aviSezasya sADyA sADaka-tA punar // Ma-anuv_1,1.19 //
   taccāviśeṣamānena sādhyamityanavasthitiḥ /	tat-ca-AviSeza-mAnena sADyam-iti-anavasTitiH /
   anaṅgīkurvatāṃ viśvasatyatāṃ tanna vāditā // MAnuv_1,1.20 //	anaFgIkurvatAm viSvasatyatAm tat-na vAditAH // Ma-anuv_1,1.20 //
   tasmād vyavahṛtiḥ sarvā satyetyeva vyavasthitā /	tasmAt vyavahRtiH sarvA satya-iti-eva vyavasTitAH /
   vyāvahārikametasmāt satyamityeva cāgatam // MAnuv_1,1.21 //	vyAvahArikam-etasmAt satyam-iti-eva ca-Agatam // Ma-anuv_1,1.21 //
   vyavahārasataścāpi sādhakatvaṃ tu pūrvavat /	vyavahArasataH-ca-api sADaka-tvam tu pUrvavat /
   sattraividhyaṃ ca mānena siddhayet keneti pṛcchyate // MAnuv_1,1.22 //	sattrEviDyam ca mAnena sidDayet kena-iti pRcCyate // Ma-anuv_1,1.22 //
   tasyāpyuktaprakāreṇa naiva siddhiḥ kathañcana /	tasya-api-ukta-prakAreNa na-eva sidDiH kaTaQcana /
   vailakṣaṇyaṃ sadasatorapyetena niṣidhyate // MAnuv_1,1.23 //	vElakzaNyam sat-asatoH-api-etena niziDyate // Ma-anuv_1,1.23 //
   vailakṣaṇyaṃ sataścāpi svayaṃ sadbhedavādinaḥ /	vElakzaNyam sataH-ca-api svayam sat-Beda-vAdinaH /
   asataścāpi viśvasya tenāniṣyaṃ kathaṃ bhavet // MAnuv_1,1.24 //	asataH-ca-api viSvasya tena-anizyam kaTam Bavet // Ma-anuv_1,1.24 //
   yadyucyate 'pi sarvasmāditi sadbhedasaṃsthitiḥ /	yadi-ucyate api sarvasmAt-iti sadBeda-saMsTitiH /
   sanmātratvaṃ brahmaṇo 'pi tasmāt tadapi no bhavet // MAnuv_1,1.25 //	sat-mAtra-tvam brahmaNaH api tasmAt tat-api naH Bavet // Ma-anuv_1,1.25 //
   jñānabādhyatvamapi tu na siddhaṃ prativādinaḥ /	jQAna-bADya-tvam-api tu na sidDam prativAdinaH /
   vijñātasyānyathā samyag vijñānaṃ hyeva tanmatam // MAnuv_1,1.26 //	vijQAtasya-anyaTA samyak vijQAnam hi-eva tat-matam // Ma-anuv_1,1.26 //
   asadvilakṣaṇajñaptyai jñātavyamasadeva hi /	asat-vilakzaNa-jQaptyE jQAtavyam-asat-eva hi /
   tasmādasatpratītiśca kathaṃ tena nivāryate // MAnuv_1,1.27 //	tasmAt-asat-pratItiH-ca kaTam tena nivAryate // Ma-anuv_1,1.27 //
   anyathātvamasat tasmād bhrāntāveva pratīyate /	anyaTAtvam-asat tasmAt BrAntO=-eva pratIyate /
   sattvasyāsata evaṃ hi svīkāryaiva pratītatā // MAnuv_1,1.28 //	sattvasya-asate evam hi svIkArya-eva pratIta-tA // Ma-anuv_1,1.28 //
   tasyānirvacanīyatve syādeva hyanavasthitiḥ /	tasya-anirvacanIya-tve syAt-eva hi-anavasTitiH /
   nirviśeṣe svayaṃ bhāte kimajñānāvṛtaṃ bhavetaḥ // MAnuv_1,1.29 //	nirviSeze svayam BAte kim-ajQAna-AvRtam BavetaH // Ma-anuv_1,1.29 //
   mithyāviśeṣo 'pyajñānasiddhimeva hyapekṣate /	miTyA-viSezaH api-ajQAna-sidDim-eva hi-apekzate /
   nacāavaraṇamajñānamasatye tena ceṣyate // MAnuv_1,1.30 //	nacAa-varaNam-ajQAnam-asatye tena ca-izyate // Ma-anuv_1,1.30 //
   aprakāśasvarūpatvājjaḍe 'jñānaṃ na manyate /	aprakASa-svarUpa-tvAt-jaxe ajQAnam na manyate /
   ajñānābhāvataḥ śāstraṃ sarvaṃ vyarthībhaviṣyati // MAnuv_1,1.31 //	ajQAna-aBAvataH SAstram sarvam vyarTIBavizyati // Ma-anuv_1,1.31 //
   ajñānasya ca mithyātvamajñānāditi kalpane /	ajQAnasya ca miTyAtvam-ajQAnAt-iti kalpane /
   anavasthitistathāca syādanyonyāśrayatāthavā // MAnuv_1,1.32 //	anavasTitiH-taTA-ca syAt-anyonya-ASrayatA-aTavA // Ma-anuv_1,1.32 //
   svabhāvājñānavādasya nirdoṣatvānna tad bhavet /	svaBAva-ajQAna-vAdasya nirdoza-tvAt-na tat Bavet /
   avidyādurghaṭatvaṃ cet syādātmāpi hi tādṛśaḥ // MAnuv_1,1.33 //	avidyA-durGawa-tvam ced syAt-AtmA-api hi tAdRSaH // Ma-anuv_1,1.33 //
   ato 'dhikāriviṣayaphalayogādivarjitam /	atas aDikAri-vizaya-Pala-yoga-Adi-varjitam /
   anantadoṣaduṣṭaṃ ca heyaṃ māyāmataṃ śubhaiḥ // MAnuv_1,1.34 //	ananta-doza-duzwam ca heyam mAyA-matam SuBEH // Ma-anuv_1,1.34 //
   satyatvāt tena duḥkhādeḥ pratyakṣeṇa virodhataḥ /	satya-tvAt tena duHKa-AdeH pratyakzeNa viroDataH /
   na brahmatāṃ vaded vedo jīvasya hi kathañcana // MAnuv_1,1.35 //	na brahma-tAm vadet vedaH jIvasya hi kaTaQcana // Ma-anuv_1,1.35 //
   yajamānaprastaratvaṃ yathā nārthaḥ śruterbhavet /	yajamAna-prastara-tvam yaTA na-arTaH SruteH-Bavet /
   brahmatvamapi jīvasya pratyakṣasyāviśeṣataḥ // MAnuv_1,1.36 //	brahma-tvam-api jIvasya pratyakzasya-aviSezataH // Ma-anuv_1,1.36 //
   sārvajñyādiguṇaṃ jīvād bhinnaṃ jñāpayati śrutiḥ /	sArvajQi-Adi-guNam jIvAt Binnam jQApayati SrutiH /
   īśaṃ tāmupajīvyaiva vartate hyaikyavādinī // MAnuv_1,1.37 //	ISam tAm-upajIvya-eva vartate hi-Ekya-vAdinI // Ma-anuv_1,1.37 //
   upajīvyavirodhena nāsyāstanmānatā bhavet /	upajIvya-viroDena na-asya-aH-tat-mAnatA Bavet /
   svātantrye ca viśiṣṭatve sthānamattyaikyayorapi // MAnuv_1,1.38 //	svAtantrye ca viSizwa-tve sTAna-mattya-EkyayoH-api // Ma-anuv_1,1.38 //
   sādṛśye caikyavāk samyak sāvakāśā yatheṣyataḥ /	sAdRSye ca-Ekya-vAc samyak sa-avakASAH yaTA-izyataH /
   avakāśojkhitā bhedaśrutirnātibalā katham // MAnuv_1,1.39 //	avakASa-ujKitA Beda-SrutiH-na-ati-balA kaTam // Ma-anuv_1,1.39 //
   ajñānāsambhavādeva mithyābhedo nirākṛtaḥ /	ajQAna-asamBavAt-eva miTyA-BedaH nirAkRtaH /
   ato yathārthabandhasya vinā viṣṇuprasādataḥ // MAnuv_1,1.40 //	atas yaTA-arTa-banDasya vinA vizNu-prasAdataH // Ma-anuv_1,1.40 //
   anivṛttestadarthaṃ hi jijñāsātra vidhīyate /	anivRtteH-tad-arTam hi jijQAsA-atra viDIyate /
   yathā dṛṣṭayā prasannaḥ san rājā bandhāpanodakṛt // MAnuv_1,1.41 //	yaTA dRzwayA prasannaH san rAjA banDa-apanoda-kRt // Ma-anuv_1,1.41 //
   evaṃ dṛṣṭaḥ sa bhagavān kuryād bandhavibhedanam /	evam dRzwaH sa BagavAn kuryAt banDa-viBedanam /
   kāryatā ca na kācit syādiṣṭasādhanatāṃ vinā // MAnuv_1,1.42 //	kArya-tA ca na kAcid syAt-izwa-sADana-tAm vinA // Ma-anuv_1,1.42 //
   kāryaṃ na hi kriyāvyāpyaṃ niṣiddhasya samatvataḥ /	kAryam na hi kriyA-vyApyam nizidDasya samatvataH /
   na bhaviṣyatkriyā kāryaṃ srakṣyatīśa iti hyapi // MAnuv_1,1.43 //	na Bavizyat-kriyA kAryam srakzyati-ISaH iti hi-api // Ma-anuv_1,1.43 //
   kāryaṃ syānnaiva cākartumaśakyaṃ kāryamiṣyate /	kAryam syAt-na-eva ca-akartum-aSakyam kAryam-izyate /
   sāmyādeva niṣiddhasya tadiṣṭaṃ sādhanaṃ tathā // MAnuv_1,1.44 //	sAmyAt-eva nizidDasya tat-izwam sADanam taTA // Ma-anuv_1,1.44 //
   kāryaṃ sādhanamiṣṭasya bhagavāniṣṭadevatā /	kAryam sADanam-izwasya BagavAn-izwadevatA /
   mukhyeṣyaṃ vā sumanasāṃ preyastaditi ca śrutiḥ // MAnuv_1,1.45 //	muKyezyam vA sumanasAm preyaH-tat-iti ca SrutiH // Ma-anuv_1,1.45 //
   prāṇabuddhimanaḥkhātmadehāpatyadhanādayaḥ /	prANa-budDi-manaH-Ka-Atma-deha-apatya-Dana-AdayaH /
   yatsamparkāt priyā āsaṃstataḥ ko nvaparaḥ priyaḥ // MAnuv_1,1.46 //	yad-samparkAt priyAH Asan=-tatas kaH nu-aparaH priyaH // Ma-anuv_1,1.46 //
   ityādivākyairākāṅkṣāsannidhiryogyatā yataḥ /	ityAdi-vAkyEH-AkAFkzA-sanniDiH-yogya-tA yatas /
   asminneva samastasyetīṣye vyutpattiriṣyate // MAnuv_1,1.47 //	asmin=-eva samastasya-itIzye vyutpattiH-izyate // Ma-anuv_1,1.47 //
   attyapūpāṃstava bhrātetyādāvāvāpato 'pi ca /	attya-pUpAn=-tava BrAtA-iti-AdO=-O=-ApataH api ca /
   udvāpād vartamānatvādākāṅkṣādibalādapi // MAnuv_1,1.48 //	udvApAt vartamAna-tvAt-AkAFkza-Adi-balAt-api // Ma-anuv_1,1.48 //
   bālo vyutpattimapyeti nānayetyādivākyataḥ /	bAlaH vyutpattim-apyeti nAnayA-ityAdi-vAkyataH /
   ānīyamānadṛṣṭayaiva vyutpatteḥ sambhave sati // MAnuv_1,1.49 //	AnIyamAna-dRzwayA-eva vyutpatteH samBave sati // Ma-anuv_1,1.49 //
   eṣyadānayanāyāyaṃ kuta eva pratīkṣate /	ezyat-AnayanAya-ayam kutas eva pratIkzate /
   vyutpanno vartamāne tu kriyāśabde bhaviṣyati // MAnuv_1,1.50 //	vyutpannaH vartamAne tu kriyA-Sabde Bavizyati // Ma-anuv_1,1.50 //
   punardṛṣṭyaiva śabdaśrut paścāt vyutpattimeṣyati /	punar-dRzwyA-eva Sabda-SruD paScAt vyutpattim-ezyati /
   vartamānamatītaṃ ca bhaviṣyaditi ca kramāt // MAnuv_1,1.51 //	vartamAnam-atItam ca Bavizyat-iti ca kramAt // Ma-anuv_1,1.51 //
   ākāṅkṣādiyutaṃ yasmād vidhervyutpādanaṃ kutaḥ /	AkAFkza-Adi-yutam yasmAt viDeH-vyutpAdanam kutas /
   dṛṣṭyā jñātapadārthasya padākāṅkṣā bhaviṣyati // MAnuv_1,1.52 //	dRzwyA jQAta-padArTasya pada-AkAFkzA Bavizyati // Ma-anuv_1,1.52 //
   vyutpattiḥ prathamā tasmād vatarmāne gate tataḥ /	vyutpattiH praTamA tasmAt vatarmAne gate tatas /
   iṣṭamākāṅkṣate sarvo na pravṛttimapekṣate // MAnuv_1,1.53 //	izwam-AkAFkzate sarvaH na pravRttim-apekzate // Ma-anuv_1,1.53 //
   aparokṣaṃ parokṣaṃ vā jñānamiṣṭasya sādhanam /	aparokzam parokzam vA jQAnam-izwasya sADanam /
   kvāpi ceṣyā tadarthā syādattirhi rasavittaye // MAnuv_1,1.54 //	kvApi cezyA tad-arTA syAt-attiH-hi rasa-vittaye // Ma-anuv_1,1.54 //
   vākyārthajñānamātreṇa kvacidiṣṭaṃ bhavedapi /	vAkya-arTa-jQAna-mAtreNa kvacid-izwam Bavet-api /
   na ca srukasruvavahnayādāvatātparyaṃ śruterbhavet // MAnuv_1,1.55 //	na ca srukasruva-vahnayA-adAvatAt-paryam SruteH-Bavet // Ma-anuv_1,1.55 //
   yatkiñcitkaraṇarasyāpi yajñataivānyathā bhavet /	yat-kiQcit-karaNa-rasya-api yajQa-tA-eva-anyaTA Bavet /
   tasmādupāsanārthaṃ ca svārthe tātparyavad bhavet // MAnuv_1,1.56 //	tasmAt-upAsana-arTam ca sva-arTe tAtparyavat Bavet // Ma-anuv_1,1.56 //
   iti śabdonnaye 'gnāvityunnīte smṛtirbhavet /	iti Sabda-unnaye agnO=-iti-unnIte smRtiH-Bavet /
   itiśabdavyapetāni hyapi santi vacāṃsyalam // MAnuv_1,1.57 //	iti-Sabda-vyapetAni hi-api santi vacAMsi-alam // Ma-anuv_1,1.57 //
   ātmānamevetyādīni yoge 'gnāvapi tat samam /	AtmAnam-eva-ityAdIni yoge agnO=-api tat samam /
   ekavākyatvayoge tu vedasyāpi hyaśeṣataḥ // MAnuv_1,1.58 //	eka-vAkya-tva-yoge tu vedasya-api hi-aSezatas // Ma-anuv_1,1.58 //
   vākyabhedo na yuktaḥ syād yogaśca syānmahāphale /	vAkya-BedaH na yuktaH syAt yogaH-ca syAt-mahA-Pale /
   iti brūyāditi vaco gatamagnau samīpagam // MAnuv_1,1.59 //	iti brUyAt-iti vacaH gatam-agnO samIpa-gam // Ma-anuv_1,1.59 //
   kalpanāgauravaṃ cet syāt pṛthak tātparyasambhave /	kalpanA-gOravam ced syAt pRTak tAtparya-samBave /
   kalpanāgauravādeva padārthā na syureva hi // MAnuv_1,1.60 //	kalpanA-gOravAt-eva padArTAH na syuH-eva hi // Ma-anuv_1,1.60 //
   pramāṇāvagatatvaṃ cet tātparyāṇaśaṃ tathaiva hi /	pramANa-avagata-tvam ced tAtparyANaSam taTA-eva hi /
   tasmāt padārthe vākyārthe tātparyamubhayatra ca // MAnuv_1,1.61 //	tasmAt padArTe vAkya-arTe tAtparyam-uBayatra ca // Ma-anuv_1,1.61 //
   pṛthageva ca vākyatvaṃ pṛthaganvayato bhavet /	pRTak-eva ca vAkya-tvam pRTak-anvayataH Bavet /
   avāntaratvād vākyānāṃ vākyabhedo na dūṣaṇam // MAnuv_1,1.62 //	avAntara-tvAt vAkyAnAm vAkya-BedaH na dUzaNam // Ma-anuv_1,1.62 //
   aṅgīkṛtatvādapi taiḥ padārthānāṃ pṛthak pṛthak /	aFgIkRta-tvAt-api tEH padArTAnAm pRTak pRTak /
   kriyāpadenānvayasya vākyabhedāddhi dūṣaṇam // MAnuv_1,1.63 //	kriyA-padena-anvayasya vAkya-BedAt-hi dUzaNam // Ma-anuv_1,1.63 //
   pratyakṣādivirodhe 'to gauṇārthasyāpi sambhavāt /	pratyakza-Adi-viroDe atas gONa-arTasya-api samBavAt /
   atātparyaṃ padārthe 'pi na kalpyamavirodhataḥ // MAnuv_1,1.64 //	atAtparyam padArTe api na kalpyam-aviroDataH // Ma-anuv_1,1.64 //
   ato jñānaphalānyeva karmāṇi jñānameva hi /	atas jQAna-PalAni-eva karmANi jQAnam-eva hi /
   mukhyaprasādadaṃ viṣṇorjijñāsāyāśca tad bhavet // MAnuv_1,1.65 //	muKya-prasAda-dam vizNoH-jijQAsAyAH-ca tat Bavet // Ma-anuv_1,1.65 //
   kartavyā tena jijñāsā śrutiprāmāṇyayogataḥ /	kartavyA tena jijQAsA Sruti-prAmANya-yogataH /
   pratyakṣavacca prāmāṇyaṃ svata evāgamasya hi // MAnuv_1,1.66 //	pratyakza-vat-ca prAmANyam svatas eva-Agamasya hi // Ma-anuv_1,1.66 //
   anavasthānyathā hi syādaprāmāṇyaṃ tathānyataḥ /	anavasTA-anyaTA hi syAt-aprAmANyam taTA-anyatas /
   mithyājñaptipralambhādestena vedavirodhi yat // MAnuv_1,1.67 //	miTyAjQapti-pralamBa-AdeH-tena veda-viroDi yat // Ma-anuv_1,1.67 //
   na mānamapi vedānāmaṅgīkāryā hi nityatā /	na mAnam-api vedAnAm-aFgI-kAryA hi nitya-tA /
   na hi dharmādisiddhiḥ syānnityavākyaṃ vinā kvacit // MAnuv_1,1.68 //	na hi Darma-Adi-sidDiH syAt-nitya-vAkyam vinA kvacid // Ma-anuv_1,1.68 //
   avipralambhastajjñānaṃ tatkṛtatvādayo 'pi ca /	avipralamBaH-tat-jQAnam tad-kRta-tva-AdayaH api ca /
   kalpyā gauravadoṣeṇa puṃvākyaṃ jñāpakaṃ na tat // MAnuv_1,1.69 //	kalpyAH gOrava-dozeNa puMvAkyam jQApakam na tat // Ma-anuv_1,1.69 //
   pratyakṣaḥ kasyacid dharmo vastutvāditi codite /	pratyakzaH kasyacid DarmaH vastu-tvAt-iti codite /
   na buddho dharmadarśī syāt puṃstvādityanumāhatiḥ // MAnuv_1,1.70 //	na budDaH Darma-darSI syAt puMstvAt-iti-anumAhatiH // Ma-anuv_1,1.70 //
   adharmavādino vākyamaprayojanameva hi /	aDarma-vAdinaH vAkyam-aprayojanam-eva hi /
   dharmābhāvo 'pi no tena pratyakṣāvagato bhavet // MAnuv_1,1.71 //	Darma-aBAvaH api no tena pratyakza-avagataH Bavet // Ma-anuv_1,1.71 //
   ataḥ saṃśayasampattau vākyaṃ pratyakṣavat pramā /	atas saMSaya-sampattO vAkyam pratyakza-vat pramA /
   śaktiścaivānvite svārthe śabdānāmanubhūyate // MAnuv_1,1.72 //	SaktiH-ca-eva-anvite sva-arTe SabdAnAm-anuBUyate // Ma-anuv_1,1.72 //
   ato 'nvitābhidhāyitvaṃ gauravaṃ kalpane 'nyathā /	atas anvita-aBiDAyi-tvam gOravam kalpane anyaTA /
   nacāśakyābhidhāyitvaṃ pravṛttiśca dvidhānyathā // MAnuv_1,1.73 //	naca-aSakyA-aBiDAyi-tvam pravRttiH-ca dviDA-anyaTA // Ma-anuv_1,1.73 //
   etat sarvaṃ tarkaśāstre brahmatarke hi vistarāt /	etat sarvam tarkaSAstre brahmatarke hi vistarAt /
   uktaṃ vidyāpṛthaktavāttu saṅkṣepeṇātra sūcitam // MAnuv_1,1.74 //	uktam vidyA-pRTaktavAt-tu saFkzepeNa-atra sUcitam // Ma-anuv_1,1.74 //
   pramāṇanyāyasacchikṣā kriyate tarkaśāstrataḥ /	pramANa-nyAyasa=-SikzA kriyate tarka-SAstrataH /
   mānanyāyaistu tatsiddhaimīmāṃsā meyaśodhanam // MAnuv_1,1.75 //	mAna-nyAyEH-tu tad-sidDEmImAMsAH meya-SoDanam // Ma-anuv_1,1.75 //
   brahmatarkaṃ ca bhagavān sa eva kṛtavān prabhuḥ /	brahmatarkam ca BagavAn saH eva kRtavAn praBuH /
   pañcāśatkoṭivistārānnārāyaṇatanau kṛtāt // MAnuv_1,1.76 //	paQcASat-kowi-vistArAt-nArAyaNa-tanO kRtAt // Ma-anuv_1,1.76 //
   uddhṛtya pañcasāhasraṃ kṛtavān bādarāyaṇaḥ /	udDRtya paQca-sAhasram kRtavAn bAdarAyaNaH /
   atastadarthaṃ saṅkṣepādata ityabhyasūcayat // MAnuv_1,1.77 //	atas-tad-arTam saFkzepAt-atas iti-aByasUcayat // Ma-anuv_1,1.77 //
   yato 'nubhavataḥ sarvaṃ siddhametadato 'pi ca /	yatas anuBavataH sarvam sidDam-etat-atas api ca /
   devaiśca durgamārtheṣu vyāpṛto nātivistṛtim // MAnuv_1,1.78 //	devEH-ca durgama-arTezu vyApRtaH na-ati-vistRtim // Ma-anuv_1,1.78 //
   cakāraitā hyavajñeyā yuktayaḥ pratipakṣagāḥ /	cakAra-etAH hi-avajQeyAH yuktayaH pratipakza-gAH /
   pratyakṣekṣākṣamaḥ pakṣaṃ kamevātrābhivīkṣate // MAnuv_1,1.79 //	pratyakzekza-akzamaH pakzam kam-eva-atra-aBivIkzate // Ma-anuv_1,1.79 //
   tasmādakṣamapakṣatvānmokṣaśāstre 'bhyupekṣitaḥ /	tasmAt-akzama-pakza-tvAt-mokza-SAstre aByupekzitaH /
   svayaṃ bhagavatā viṣṇurbrahmetyetat puroditam // MAnuv_1,1.80 //	svayam BagavatA vizNuH-brahma-iti-etat purA-uditam // Ma-anuv_1,1.80 //
   sa viṣṇurāha hīyante devaśāstrasya tena hi /	sa vizNuH-Aha hIyante deva-SAstrasya tena hi /
   ādyantaṃ devaśāstrasya svayaṃ bhagavatā kṛtam // MAnuv_1,1.81 //	Adi-antam deva-SAstrasya svayam BagavatA kRtam // Ma-anuv_1,1.81 //
   madhyaṃ tadājñayā pailaśeṣābhyāṃ kṛtamañjasā /	maDyam tad-AjQayA pEla-SezAByAm kRtam-aQjasA /
   atastatraiva viṣṇutvasiddherbrahmetyasūcayat // MAnuv_1,1.82 //	atas-tatra-eva vizNu-tva-sidDeH-brahma-iti-asUcayat // Ma-anuv_1,1.82 //
   doṣāracchidraśabdānāṃ paryāyatvaṃ yatastataḥ /	doza-ara=-Cidra-SabdAnAm paryAya-tvam yatas-tatas /
   guṇā nārā iti jñeyastadvān nārāyaṇaḥ smṛtaḥ // MAnuv_1,1.83 //	guNAH nArAH iti jQeyaH-tadvAn nArAyaNaH smRtaH // Ma-anuv_1,1.83 //
   brahmaśabdo 'pi hi guṇapūrtimeva vadatyayam /	brahma-SabdaH api hi guNa-pUrtim-eva vadati-ayam /
   ato nārāyaṇasyaiva jijñāsātra vidhīyate // MAnuv_1,1.84 //	atas nArAyaNasya-eva jijQAsA-atra viDIyate // Ma-anuv_1,1.84 //
   siddhatvād brahmaśabdasya viṣṇau spaṣṭatayā śrutau /	sidDa-tvAt brahma-Sabdasya vizNO spazwa-tayA SrutO /
   ambhasyapāra ityukto nārāyaṇapaderitaḥ // MAnuv_1,1.85 //	amBasi-apAraH iti-uktaH nArAyaNa-pada-IH-itaH // Ma-anuv_1,1.85 //
   āpo nārā iti hyāha sa evāpsvantarīritaḥ /	ApaH nArAH iti hi-Aha saH eva-apsu-antarIritaH /
