   YRps, Adhyāya 1	YRps, ADyAyaH 1
   dhātūnāṃ śodhanaṃ caiva māraṇaṃ guṇavarṇanam // YRps_1.6 //	DAtUnAm SoDanam ca-eva mAraNam guNa-varNanam // YRpH-_1.6 //
   aṣṭau mahārasāḥ samyak procyante 'tra mayā khalu /	azwO mahArasAH samyak procyante atra mayA Kalu /
   tathā coparasānāṃ hi guṇāḥ śodhanamāraṇam // YRps_1.7 //	taTA ca-uparasAnAm hi guNAH SoDana-mAraNam // YRpH-_1.7 //
   drutipātaṃ ca sarveṣāṃ kathayāmi savistaram /	drutipAtam ca sarvezAm kaTayAmi sa-vistaram /
   ratnānāṃ guṇadoṣaśca tathā śodhanamāraṇam // YRps_1.8 //	ratnAnAm guNa-dozaH-ca taTA SoDana-mAraNam // YRpH-_1.8 //
   krāmaṇaṃ raṃjanaṃ caiva drutimelānakaṃ rase /	krAmaNam raMjanam ca-eva druti-melAnakam rase /
   rasāṃśca śatasaṃkhyākān kathayāmi savistarāt // YRps_1.9 //	rasAn=-ca Sata-saMKyAkAn kaTayAmi sa-vistarAt // YRpH-_1.9 //
   auṣadhīnāṃ samākhyātā bhedāścatvāra eva ca /	OzaDInAm samAKyAtAH BedAH-catvAraH eva ca /
   divyauṣadhyo rasauṣadhyaḥ siddhauṣadhyastathā parāḥ // YRps_1.10 //	divyOzaDyaH rasOzaDyaH sidDOzaDyaH-taTA parAH // YRpH-_1.10 //
   mahauṣadhya iti proktā yaṃtrāṇyatha puṭāni ca /	mahOzaDyaH iti proktA yaMtrANi-aTa puwAni ca /
   mūṣāścaiva hi dhātūnāṃ kautukāni samāsataḥ // YRps_1.11 //	mUzAH-ca-eva hi DAtUnAm kOtukAni samAsatas // YRpH-_1.11 //
   vājīkaraṇayogāśca śukrarataṃbhakarāsta /	vAjIkaraNa-yogAH-ca Sukra-rataMBakarAH-te /
   nātisaṃkṣepavistārāt graṃthe 'smin parikalpitāḥ // YRps_1.12 //	na-ati-saMkzepa-vistArAt graMTe asmin parikalpitAH // YRpH-_1.12 //
   <sūtotpatti (mithilfe einer schṆnen Frau)>	<sUta-utpatti (miTilfe eineH sCṆnet FrO)>
   himālayātpaścimadigvibhāge girīndranāmā ruciro 'sti bhūdharaḥ /	himAlayAt-paScima-diS-viBAge girIndra-nAmA ruciraH asti BUDaraH /
   tatsannidhāne 'tisuvṛttakūpe sākṣādraseṃdro nivasatyayaṃ hi // YRps_1.13	tad-sanniDAne ati-su-vRtta-kUpe sAkzAt-raseMdraH nivasati-ayam hi // YRpH-_1.13
   kumārikārūpaguṇena yuktā svalaṃkṛtā vāhavare 'dhirūḍhā /	kumArikA-rUpa-guNena yuktA su-alaMkRtA vAha-vare aDirUXAH /
   tatrāgatā kūpamavekṣamāṇā nivartitā sā mahatā javena // YRps_1.14 //	tatra-AgatA kUpam-avekzamANA nivartitA sA mahatA javena // YRpH-_1.14 //
   pradhāvitaḥ sūtavaraścaturṣu kakupsu bhūmau patito hi nūnam // YRps_1.15	praDAvitaH sUta-varaH-caturzu kakupsu BUmO patitaH hi nUnam // YRpH-_1.15
   paritaḥ parvatātsamyak kṣetraṃ dvādaśayojanam /	paritas parvatAt-samyak kzetram dvAdaSa-yojanam /
   vistīrṇaṃ ca suvṛttaṃ hi sūtakasya samīritam // YRps_1.16 //	vistIrNam ca su-vRttam hi sUtakasya samIritam // YRpH-_1.16 //
   tanmṛdaḥ pātane yaṃtre pātitaḥ khalu rogahā /	tat-mRdaH pAtane yaMtre pAtitaH Kalu roga-hA /
   jāyate ruciraḥ sākṣād ucyate pāradaḥ svayam // YRps_1.17 //	jAyate ruciraH sAkzAt ucyate pAradaH svayam // YRpH-_1.17 //
   <mercury:: subtypes:: caste (after emanation from the well)>	<meH-cuH-y:: subti-pes:: caH-te (afteH emanation from Te well)>
   kūpādviniḥsṛtaḥ sūtaś caturdikṣu gato dvijaḥ /	kUpAt-viniHsRtaH sUtaH catur-dikzu gataH dvijaH /
   kṣatriyo vaiśyaśūdrau ca caturṇāṃ jāyate khalu // YRps_1.18 //	kzatriyaH vESya-SUdrO ca caturNAm jAyate Kalu // YRpH-_1.18 //
   <mercury:: subtypes:: colour>	<mercuH-y:: subti-pes:: ca-ulouH->
   śvetā kṛṣṇā tathā pītā raktā vai jāyate chaviḥ /	SvetA kRzNA taTA pItA raktA vE jAyate CaviH /
   prācyāṃ yāmyāṃ pratīcyāṃ ca kauberyāṃ ca diśi kramāt // YRps_1.19 //	prAcyAm yAmyAm pratIcyAm ca kOberyAm ca diSi kramAt // YRpH-_1.19 //
   <mercury:: subtypes:: colour:: use>	<mercuH-y:: subti-pes:: ca-ulouH-:: use>
   śvetaḥ śvetavidhāne syāt kṛṣṇo dehakarastathā /	SvetaH Sveta-viDAne syAt kRzNaH deha-karaH-taTA /
   pītavarṇaḥ svarṇakartā rakto rogavināśakṛt // YRps_1.20 //	pIta-varNaH svarNa-kartA raktaH roga-vinASa-kRt // YRpH-_1.20 //
   sarva ekīkṛtā eva sarvakāryakarāḥ sadā /	sarve ekIkRtAH eva sarva-kArya-karAH sadA /
   sevitāḥ sarvarogaghnāḥ sarvasiddhividhāyakāḥ // YRps_1.21 //	sevitAH sarva-roga-GnAH sarva-sidDi-viDAyakAH // YRpH-_1.21 //
   itthaṃ sūtodbhavaṃ jñātvā na rogaivārdhyate khalu /	itTam sUta-udBavam jQAtvA na roga-eva-arDyate Kalu /
   śodhito māritaścaiva krāmitaḥ sāritaḥ śubhaḥ // YRps_1.22 //	SoDitaH mAritaH-ca-eva krAmitaH sAritaH SuBaH // YRpH-_1.22 //
   <pāradnā āṭh saṃskār athavā karm>	<pAradnAH AW saMskAH aTavA karm>
   svedanaṃ mardanaṃ caiva mūrcchanaṃ syāttadutthitam /	svedanam mardanam ca-eva mUrcCanam syAt-tad-utTitam /
   pātanaṃ rodhanaṃ samyak niyāmanasudīpane // YRps_1.23 //	pAtanam roDanam samyak niyAmana-su-dIpane // YRpH-_1.23 //
   tathābhrakagrāsamāna- cāraṇaṃ ca krameṇa hi /	taTA-aBraka-grAsamAna cAraNam ca krameNa hi /
   garbhadrutirbāhyadrutiḥ proktaṃ jāraṇakaṃ tathā // YRps_1.24 //	garBadrutiH-bAhyadrutiH proktam jAraNakam taTA // YRpH-_1.24 //
   sāraṇaṃ krāmaṇaṃ proktaṃ vedhakarma ca raṃjanam /	sAraNam krAmaNam proktam veDa-karma ca raMjanam /
   sevanaṃ pāradasyātha karmāṇyaṣṭādaśaiva hi /	sevanam pAradasya-aTa karmANi-azwAdaSa-eva hi /
   uddeśato mayātraiva nāmāni kathitāni vai // YRps_1.25 //	uddeSataH mayA-atra-eva nAmAni kaTitAni vE // YRpH-_1.25 //
   <pāradadoṣāḥ>	<pArada-dozAH>
   doṣāḥ pañca samuddiṣṭāḥ pāradānāṃ bhiṣagvaraiḥ /	dozAH paQca samuddizwAH pAradAnAm Bizaj-varEH /
   malo viṣaṃ tathā vahnir mado darpaśca vai kramāt /	malaH vizam taTA vahniH madaH darpaH-ca vE kramAt /
   mūrcchāṃ mṛtyuṃ madaṃ caiva sphoṭaṃ kuryuḥ śirobhramam // YRps_1.26 //	mUrcCAm mRtyum madam ca-eva sPowam kuryuH SiraH-Bramam // YRpH-_1.26 //
   <pāradakañcukāḥ>	<pArada-kaQcukAH>
   kañcukāḥ sapta sūtasya kathayāmi yathārthataḥ /	kaQcukAH sapta sUtasya kaTayAmi yaTArTataH /
   nāmāni kathayāmyeṣāṃ devīśāstrānusārataḥ // YRps_1.27 //	nAmAni kaTayAmi-ezAm devI-SAstra-anusArataH // YRpH-_1.27 //
   mṛcchailajalaśulbāyo- nāgavaṃgasamudbhavāḥ /	mRd-SEla-jala-SulbAyo nAga-vaMga-samudBavAH /
   sūtake kaṃcukāḥ sapta tataścaiva viṣopamāḥ // YRps_1.28 //	sUtake kaMcukAH sapta tatas-ca-eva viza-upamAH // YRpH-_1.28 //
   <mercury:: use of śodhana>	<meH-cuH-y:: use of SoDana>
   dvādaśaiva hi doṣāḥ syur yaiśca niṣkāsitā dvijaiḥ /	dvAdaSa-eva hi dozAH syuH yEH-ca nizkAsitAH dvijEH /
   teṣāṃ hi rasasiddhiḥ syād apare yamasannibhāḥ /	tezAm hi rasa-sidDiH syAt apare yama-sanniBAH /
   tasmāddoṣāpaharaṇaṃ kartavyaṃ bhiṣaguttamaiḥ // YRps_1.29 //	tasmAt-doza-apaharaNam kartavyam Bizaj-uttamEH // YRpH-_1.29 //
   <svedana>	<svedana>
   tatra svedanakaṃ kuryād yathāvacca śubhe dine /	tatra svedanakam kuryAt yaTAvat-ca SuBe dine /
   sūtasya svedanaṃ kāryaṃ dolāyaṃtreṇa vārtikaiḥ // YRps_1.30 //	sUtasya svedanam kAryam dolAyaMtreNa vArtikEH // YRpH-_1.30 //
   kṣārau cāmlena sahitau tathā ca paṭupaṃcakam /	kzArO ca-amlena sahitO taTA ca pawupaMcakam /
   trikaṭu triphalā caiva citrakeṇa samanvitā // YRps_1.31 //	trikawu triPalA ca-eva citrakeNa samanvitAH // YRpH-_1.31 //
   puṣpakāsīsasaurāṣṭryau sarvāṇyeva tu mardayet /	puzpakAsIsa-sOrAzwryO sarvANi-eva tu mardayet /
   oṣadhāni samāṃśāni rasād aṣṭamabhāgataḥ // YRps_1.32 //	ozaDAni sama-aMSAni rasAt azwama-BAgataH // YRpH-_1.32 //
   kṛtvāndhamūṣāṃ teṣāṃ tu tanmadhye pāradaṃ kṣipet /	kRtvA-anDamUzAm tezAm tu tad-maDye pAradam kzipet /
   triguṇena suvastreṇa bhūrjapatreṇa veṣṭayet // YRps_1.33 //	triguNena su-vastreNa BUrja-patreNa vezwayet // YRpH-_1.33 //
   guṇena kāṣṭhakhaṇḍe vai baddhāṃ tu rasapoṭalīm /	guNena kAzWa-KaNxe vE badDAm tu rasa-powalIm /
   lambāyamānāṃ bhāṇḍe tu tuṣavāriprapūrite // YRps_1.34 //	lambAyamAnAm BANxe tu tuza-vAri-prapUrite // YRpH-_1.34 //
   tridinaṃ svedayetsamyak svedanaṃ tadudīritam // YRps_1.35 //	tri-dinam svedayet-samyak svedanam tat-udIritam // YRpH-_1.35 //
   <2. mardana>	<2. mardana>
   atha mardanakaṃ karma yena śuddhatamo rasaḥ /	aTa mardanakam karma yena SudDatamaH rasaH /
   prajāyate vistareṇa kathayāmi yathātatham // YRps_1.36 //	prajAyate vistareNa kaTayAmi yaTAtaTam // YRpH-_1.36 //
   khalve vimardayetsūtaṃ dināni trīṇi caiva hi /	Kalve vimardayet-sUtam dinAni trINi ca-eva hi /
   <khalva:: dimensions>	<Kalva:: dimet-sions>
   atha khalvapramāṇaṃ hi vakṣye tatra mayādhunā // YRps_1.37 //	aTa KalvapramANam hi vakzye tatra mayA-aDunA // YRpH-_1.37 //
   kalāṃgulas tadāyāmaś cotsedho 'pi navāṃgulaḥ /	kalA-aMgulaH tadAyAmaH ca-utseDaH api nava-aMgulaH /
   vistareṇa tathā kuryān nimnatvena ṣaḍaṅgulam // YRps_1.38 //	vistareNa taTA kuryAt nimnatvena zaz-aFgulam // YRpH-_1.38 //
   dvyaṃgulaḥ pṛṣṭhavistāro madhye 'timasṛṇīkṛtaḥ /	dvi-aMgulaH pRzWa-vistAraH maDye ati-masRNIkRtaH /
   <pestle:: size>	<peH-tle:: size>
   ardhacandrākṛtiścāpi mardako 'tra daśāṃgulaḥ // YRps_1.39 //	arDacandra-AkRtiH-ca-api mardakaH atra daSa-aMgulaH // YRpH-_1.39 //
   <mardana (cont.)>	<mardana (cont.)>
   sūtaḥ pañcapalastasmin mardayet kāñjikaistryaham /	sUtaH paQca-palaH-tasmin mardayet kAQjikEH-tri-aham /
   bahirmalavināśāya rasarājaṃ tu niścitam // YRps_1.40 //	bahis-mala-vinASAya rasarAjam tu niScitam // YRpH-_1.40 //
   uṣṇakāṃjikatoyena kṣālayet tadanantaram // YRps_1.41 //	uzNa-kAMjika-toyena kzAlayet tad-anantaram // YRpH-_1.41 //
   <3. mūrchana>	<3. mUrCana>
   ataḥparaṃ pravakṣyāmi pāradasya tu mūrcchanam /	atas-param pravakzyAmi pAradasya tu mUrcCanam /
   mūrcchanaṃ doṣarahitaṃ saptakañcukanāśanam // YRps_1.42 //	mUrcCanam doza-rahitam sapta-kaQcuka-nASanam // YRpH-_1.42 //
   svarjikā yāvaśūkaśca tathā ca paṭupaṃcakam /	svarjikA yAvaSUkaH-ca taTA ca pawupaMcakam /
   amlauṣadhāni sarvāṇi sūtena saha mardayet // YRps_1.43 //	amla-OzaDAni sarvANi sUtena saha mardayet // YRpH-_1.43 //
   khalve dinatrayaṃ tāvad yāvannaṣṭatvam āpnuyāt /	Kalve dina-trayam tAvat yAvat-nazwa-tvam ApnuyAt /
   svarūpasya vināśena mūrcchanaṃ tadihocyate /	svarUpasya vinASena mUrcCanam tat-iha-ucyate /
   nirmalatvam avāpnoti granthibhedaśca jāyate // YRps_1.44 //	nirmala-tvam avApnoti granTiBedaH-ca jAyate // YRpH-_1.44 //
   <4. utthāpana>	<4. utTApana>
   athotthāpanakaṃ karma pāradasya bhiṣagvaraiḥ /	aTa-utTApanakam karma pAradasya Bizaj-varEH /
   karaṇīyaṃ prayatnena rasaśāstrasya vartmanā // YRps_1.45 //	karaNIyam prayatnena rasa-SAstrasya vartmanA // YRpH-_1.45 //
   dolāyaṃtre tataḥ svedyaḥ pūrvavaddivasatrayam /	dolAyaMtre tatas svedyaH pUrvavat-divasa-trayam /
   sūryātape mardito 'sau dinamekaṃ śilātale /	sUrya-Atape marditaH asO dinam-ekam SilA-tale /
   utthāpanaṃ bhavetsamyak mūrchādoṣavināśanam // YRps_1.46 //	utTApanam Bavet-samyak mUrCA-doza-vinASanam // YRpH-_1.46 //
   <5. pātana>	<5. pAtana>
   pātanaṃ hi mahatkarma kathayāmi suvistaram /	pAtanam hi mahat-karma kaTayAmi su-vistaram /
   tridhā pātanamityuktaṃ rasadoṣavināśanam // YRps_1.47 //	triDA pAtanam-iti-uktam rasa-doza-vinASanam // YRpH-_1.47 //
   ūrdhvapātastvadhaḥpātas tiryakpātaḥ krameṇa hi /	UrDvapAtaH-tu-aDaHpAtaH tiryakpAtaH krameNa hi /
   <ūrdhvapātanayantra>	<u-UrDvapAtanayantra>
   ūrdhvapātanayaṃtrasya lakṣaṇaṃ tadihocyate /	UrDvapAtanayaMtrasya lakzaNam tat-iha-ucyate /
   mṛṇmayī sthālikā kāryā cocchritā tu ṣaḍaṃgulā // YRps_1.48 //	mRNmayI sTAlikA kAryA ca-ucCritA tu zaz-aMgulAH // YRpH-_1.48 //
   mukhe saptāṅgulāyāmā paritastridaśāṃgulā /	muKe sapta-aFgula-AyAmA paritas-tridaSa-aMgulAH /
   iyanmānā dvitīyā ca kartavyā sthālikā śubhā // YRps_1.49 //	iyat-mAnA dvitIyA ca kartavyA sTAlikA SuBA // YRpH-_1.49 //
   kṣāradvayaṃ rāmaṭhaṃ ca tathā hi paṭupañcakam /	kzAra-dvayam rAmaWam ca taTA hi pawu-paQcakam /
   amlavargeṇa saṃyuktaṃ sūtakaṃ taistu mardayet // YRps_1.50 //	amlavargeNa saMyuktam sUtakam tEH-tu mardayet // YRpH-_1.50 //
   lepayettena kalkena adhaḥsthāṃ sthālikāṃ śubhām /	lepayet-tena kalkena aDas-sTAm sTAlikAm SuBAm /
   uparisthām adhovaktrāṃ dattvā saṃpuṭamācaret // YRps_1.51 //	upari-sTAm aDas-vaktrAm dattvA saMpuwam-Acaret // YRpH-_1.51 //
   sabhasmalavaṇenaiva mudrāṃ tatra prakārayet /	sa-Basma-lavaNena-eva mudrAm tatra prakArayet /
   culyāṃ sthālīṃ niveśyātha dhānyāgniṃ tatra kārayet // YRps_1.52 //	culyAm sTAlIm niveSya-aTa DAnya-agnim tatra kArayet // YRpH-_1.52 //
   tasyopari jalādhānaṃ kāryaṃ yāmacatuṣṭayam /	tasya-upari jala-ADAnam kAryam yAma-catuzwayam /
   svāṅgaśītalatāṃ jñātvā ūrdhvaṃgaṃ grāhayedrasam // YRps_1.53 //	svAFgaSItala-tAm jQAtvA UrDvaMgam grAhayet-rasam // YRpH-_1.53 //
   ūrdhvapātanayaṃtraṃ hi tadevaṃ parikīrtitam /	UrDvapAtanayaMtram hi tat-evam parikIrtitam /
   <5.2. adhaḥpātana>	<5.2. aDaHpAtana>
   pūrvoktāṃ sthālikāṃ samyak viparītāṃ tu paṃkile /	pUrva-uktAm sTAlikAm samyak viparItAm tu paMkile /
   garte tu sthāpitāṃ bhūmau jvālayenmūrdhni pāvakam // YRps_1.54 //	garte tu sTApitAm BUmO jvAlayet-mUrDni pAvakam // YRpH-_1.54 //
   yāmatritayaparyaṃtaṃ adhaḥ patati pāradaḥ /	yAma-tritaya-paryaMtam aDas patati pAradaH /
   adhaḥpātanayaṃtraṃ hi kīrtitaṃ rasavedibhiḥ // YRps_1.55 //	aDaHpAtanayaMtram hi kIrtitam rasa-vediBiH // YRpH-_1.55 //
   <5.3. tiryakpātana>	<5.3. tiryakpAtana>
   pūrvoktairauṣadhaiḥ sārdhaṃ rasarājaṃ vimardayet /	pUrva-uktEH-OzaDEH sArDam rasarAjam vimardayet /
   tiryagghaṭe rasaṃ kṣiptvā tanmukhe hyaparo ghaṭaḥ // YRps_1.56 //	tiryak-Gawe rasam kziptvA tad-muKe hi-aparaH GawaH // YRpH-_1.56 //
   kanīyānudare chidraṃ chidre cāyasanālikām /	kanIyAn-udare Cidram Cidre ca-Ayasa-nAlikAm /
   nālikāṃ jalapātrasthāṃ kārayecca bhiṣagvaraiḥ // YRps_1.57 //	nAlikAm jala-pAtra-sTAm kArayet-ca Bizaj-varEH // YRpH-_1.57 //
   adhastādrasayaṃtrasya tīvrāgniṃ jvālayedbudhaḥ /	aDastAt-rasayaMtrasya tIvra-agnim jvAlayet-buDaH /
   yāmatritayaparyaṃtaṃ tiryakpāto bhavedrasaḥ // YRps_1.58 //	yAma-tritaya-paryaMtam tiryakpAtaH Bavet-rasaH // YRpH-_1.58 //
   yaṃtrāṇāṃ pātanānāṃ ca tritayaṃ sukaraṃ khalu // YRps_1.59 //	yaMtrANAm pAtanAnAm ca tritayam sukaram Kalu // YRpH-_1.59 //
   kathitaṃ hi mayā samyak rasāgamanidarśanāt // YRps_1.60 //	kaTitam hi mayA samyak rasa-Agama-nidarSanAt // YRpH-_1.60 //
   <6. rodhana>	<6. roDana>
   adhunā kathayiṣyāmi rasarodhanakarma ca /	aDunA kaTayizyAmi rasa-roDana-karma ca /
   yatkṛte ca palatvaṃ hi rasarājasya śāmyati // YRps_1.61 //	yad-kRte ca pala-tvam hi rasarAjasya SAmyati // YRpH-_1.61 //
   sindhūdbhavaṃ daśapalaṃ jalaprasthatrayaṃ tathā /	sinDUdBavam daSa-palam jala-prasTa-trayam taTA /
   dhārayedghaṭamadhye ca sūtakaṃ doṣavarjitam // YRps_1.62 //	DArayet-Gawa-maDye ca sUtakam doza-varjitam // YRpH-_1.62 //
   pidhānena yathā samyak mudritaṃ mṛtsnayā khalu /	piDAnena yaTA samyak mudritam mRtsnayA Kalu /
   nirvāte nirjane deśe dhārayed divasatrayam // YRps_1.63 //	nirvAte nirjane deSe DArayet divasa-trayam // YRpH-_1.63 //
   anenaiva prakāreṇa rodhanaṃ kuru vaidyarāṭ // YRps_1.64 //	anena-eva prakAreNa roDanam kuru vEdya-rAj // YRpH-_1.64 //
   <7. niyāmana>	<7. niyAmana>
   ataḥparaṃ pravakṣyāmi pāradasya niyāmanam /	atas-param pravakzyAmi pAradasya niyAmanam /
   jalasaiṃdhavasaṃyukto ghaṭastho hi rasottamaḥ /	jala-sEMDava-saMyuktaH Gawa-sTaH hi rasottamaH /
   dinatrayaṃ sveditaśca vīryavānapi jāyate // YRps_1.65 //	dina-trayam sveditaH-ca vIryavAn-api jAyate // YRpH-_1.65 //
   <8. dīpana>	<8. dIpana>
   athedānīṃ pravakṣyāmi rasarājasya dīpanam /	aTa-idAnIm pravakzyAmi rasarAjasya dIpanam /
   bubhukṣā vyāpakatvaṃ ca yena kṛtvā prajāyate // YRps_1.66 //	buBukzA vyApaka-tvam ca yena kRtvA prajAyate // YRpH-_1.66 //
   rājikā lavaṇopetā maricaṃ śigruṭaṃkaṇe /	rAjikA lavaNa-upetAH maricam Sigru-waMkaNe /
   kāsīsasaṃyutā kāṃkṣī kāṃjikena samanvitaiḥ // YRps_1.67 //	kAsIsa-saMyutA kAMkzI kAMjikena samanvitEH // YRpH-_1.67 //
   dināni trīṇi saṃsvedya paścāt kṣāreṇa mardayet /	dinAni trINi saMsvedya paScAt kzAreNa mardayet /
   anenaiva prakāreṇa dīpanaṃ jāyate dhruvam // YRps_1.68 //	anena-eva prakAreNa dIpanam jAyate Druvam // YRpH-_1.68 //
   tīvratvaṃ vegakāritvaṃ vyāpakatvaṃ bubhukṣutā /	tIvra-tvam vega-kAri-tvam vyApaka-tvam buBukzutA /
   balavattvaṃ viśeṣeṇa kṛte samyak prajāyate // YRps_1.69 //	balavat-tvam viSezeNa kRte samyak prajAyate // YRpH-_1.69 //
   <8.1. dīpana: mukhotpādana>	<8.1. dIpana: muKa-utpAdana>
   mukhotpādanakaṃ karma prakāro dīpanasya hi /	muKa-utpAdanakam karma prakAraH dIpanasya hi /
   kathayāmi samāsena yathāvadrasaśodhanam // YRps_1.70 //	kaTayAmi samAsena yaTAvat-rasa-SoDanam // YRpH-_1.70 //
   aṣṭādaśāṃśabhāgena kanakena ca sūtakaḥ /	azwAdaSa-aMSa-BAgena kanakena ca sUtakaH /
   nimbūrasena saṃmardyo vāsaraikamataḥparam // YRps_1.71 //	nimbU-rasena saMmardyaH vAsara-ekam-atas-param // YRpH-_1.71 //
   kṣāraiśca lavaṇai ramyaiḥ sveditaḥ kāṃjikena hi /	kzArEH-ca lavaNEH ramyEH sveditaH kAMjikena hi /
   kṣālite kāṃjikenaiva vaktraṃ bhoktuṃ prajāyate // YRps_1.72 //	kzAlite kAMjikena-eva vaktram Boktum prajAyate // YRpH-_1.72 //
   <8.2. dīpana: mukhotpādana (2)>	<8.2. dIpana: muKa-utpAdana (2)>
   tāpyasatvaṃ kalāṃśena hemnā tad dviguṇena ca /	tApya-satvam kalA-aMSena hemnA tat dviguNena ca /
   taptam āyasakhalvena taptenātha pramardayet // YRps_1.73 //	taptam Ayasa-Kalvena taptena-aTa pramardayet // YRpH-_1.73 //
   vyaktaṃ hi rasacukreṇa kṣāreṇa caṇakasya hi /	vyaktam hi rasa-cukreNa kzAreNa caNakasya hi /
   jaṃbīrapūrakajalair mardayedekaviṃśatim // YRps_1.74 //	jaMbIra-pUraka-jalEH mardayet-ekaviMSatim // YRpH-_1.74 //
   vāsare yāmamekaṃ tu pratyekaṃ hi vimardayet /	vAsare yAmam-ekam tu pratyekam hi vimardayet /
   yātudhānamukhaṃ samyak yātyeva hi na saṃśayaḥ // YRps_1.75 //	yAtuDAna-muKam samyak yAti-eva hi na saMSayaH // YRpH-_1.75 //
   dvitīyo dīpanasyaivaṃ prakāraḥ kathito mayā /	dvitIyaH dIpanasya-evam prakAraH kaTitaH mayA /
   sūtasyāṣṭau ca saṃskārāḥ kathitā dehakarmaṇi // YRps_1.76 //	sUtasya-azwO ca saMskArAH kaTitAH deha-karmaNi // YRpH-_1.76 //
   tathā ca daśa karmāṇi dehalohakarāṇi hi // YRps_1.77 //	taTA ca daSa karmANi deha-loha-karANi hi // YRpH-_1.77 //
   <9. grāsamāna>	<9. grAsamAna>
   athedānīṃ pravakṣyāmi bhakṣaṇaṃ cābhrakasya hi /	aTa-idAnIm pravakzyAmi BakzaNam ca-aBrakasya hi /
   karoṭividhinā samyak kartavyaṃ lohasaṃpuṭam // YRps_1.78 //	karowi-viDinA samyak kartavyam loha-saMpuwam // YRpH-_1.78 //
   jalayaṃtrasya yogena viḍena sahito rasaḥ /	jalayaMtrasya yogena vixena sahitaH rasaH /
   bhakṣayatyeva cābhrasya kavalāni na saṃśayaḥ // YRps_1.79 //	Bakzayati-eva ca-aBrasya kavalAni na saMSayaH // YRpH-_1.79 //
   <jalayantra>	<jalayantra>
   ato hi jalayaṃtrasya lakṣaṇaṃ kathyate mayā /	atas hi jalayaMtrasya lakzaNam kaTyate mayA /
   suvṛttaṃ lohapātraṃ ca jalaṃ tatrāḍhakatrayam // YRps_1.80 //	su-vRttam loha-pAtram ca jalam tatra-AXaka-trayam // YRpH-_1.80 //
   tanmadhye sudṛḍhaṃ samyak kartavyaṃ lohasaṃpuṭam /	tad-maDye su-dRXam samyak kartavyam loha-saMpuwam /
   lohasaṃpuṭamadhye tu nikṣiptaṃ śuddhapāradam // YRps_1.81 //	loha-saMpuwa-maDye tu nikziptam SudDa-pAradam // YRpH-_1.81 //
   biḍena sahitaṃ caiva ṣoḍaśāṃśena yatnataḥ /	bixena sahitam ca-eva zoxaSa-aMSena yatnatas /
   catuḥṣaṣṭyaṃśakaṃ cābhra- sattvaṃ saṃpuṭake tathā // YRps_1.82 //	catuHzazwi-aMSakam ca-aBra sattvam saMpuwake taTA // YRpH-_1.82 //
   saṃpuṭaṃ mudrayetpaścāt dṛḍhayā toyamṛtsnayā /	saMpuwam mudrayet-paScAt dRXayA toyamRtsnayA /
   vahnimṛttikayā vāpi saṃdhirodhaṃ tu kārayet // YRps_1.83 //	vahnimRttikayA vA-api saMDi-roDam tu kArayet // YRpH-_1.83 //
   culyāṃ niveśya taṃ yaṃtraṃ jalenoṣṇena pūritam /	culyAm niveSya tam yaMtram jalena-uzNena pUritam /
   kramādagniḥ prakartavyo divasārdhakameva hi // YRps_1.84 //	kramAt-agniH prakartavyaH divasa-arDakam-eva hi // YRpH-_1.84 //
