   Māgha: Śiśupālavadha	MAGa: ŚiSupAla vaDa
   vihaṅgarājāṅgaruhairivāyatairhiraṇmayorvīruhavallitatnubhiḥ  /	vihaFga rAja aFga ruhEH iva AyatEH hiraNmayoH vIruha vallitatnuBiH  /
   kṛtopavītaṃ himaśubhramuccakairghanaṃ ghanānte taṭitāṃ gaṇairiva  //	kRta upavItam himaSuBram uccakErGanam Gana ante tawitAm gaNEH iva  //
   MSpv_1.07 //	MSpu _1.07 //
   nisargacitrojvalasūkṣmapakṣmaṇā lasadbisacchedasitāṅgasaṅginā  /	nisarga citra ujvala sUkzma pakzmaNA lasat bisa= Ceda sita aFga saFginA  /
   cakāsataṃ cārucamūrucarmaṇā kuthena nāgendramivendravāhanam  // MSpv_1.08	cakAsatam cArucam Uru carmaNA kuTena nAga indram iva indravAhanam  // MSpu _1.08
   ajasramāsphālitavallakīguṇakṣatojvalāṅguṣṭhanakhāṃśubhinnayā  /	ajasram AsPAlita vallakI guNa kzataH jvala aFguzWa naKa aMSu BinnayA  /
   puraḥ pravālairiva pūritārdhayā vibhāntamacchasphaṭikākṣamālayā  //	puras pravAlEH iva pUrita arDayA viBAntam acCa sPawika akzamAlayA  //
   MSpv_1.09 //	MSpu _1.09 //
   raṇadbhirāghaṭṭanayā nabhasvataḥ pṛthagvibhinnaśrutimaṇḍalaiḥ svaraiḥ  /	raNadBiH AGawwanayA naBasvataH pRTak viBinna Sruti maNxalEH svarEH  /
   sphuṭībhavadgrāmaviśeṣamūrcchanāmavekṣamāṇaṃ mahatīṃ muhurmuhuḥ  //	sPuwIBavat grAma viSeza mUrcCanAm avekzamANam mahatIm muhur muhur  //
   MSpv_1.10 //	MSpu _1.10 //
   nivartya so 'nuvrajataḥ kṛtānatīnatīndrayajñānanidhirnabhaḥ sadaḥ  /	nivartya saH anuvrajataH kRta anatIn a ti indraya jQAna niDiH naBaH sadaH  /
   samāsadatsāditadaityasaṃpadaḥ padaṃ mahendralāyacāru cakriṇaḥ  //	samAsadat sAdita dEtya saMpadaH padam mahA indra lAya cAru cakriNaH  //
   MSpv_1.11 //	MSpu _1.11 //
   patatpataṅgapratimastaponidhiḥ puro 'sya yāvanna bhuvi vlīyata  /	patat pataFga pratimaH tapaH niDiH puras asya yAvat na Buvi vlIyata  /
   girestaḍitvāniva tāvaduccakairjavena pīṭhādutiṣṭhadacyutaḥ  // MSpv_1.12	gireH taxitvAn iva tAvat uccakEs javena pIWAt utizWat acyutaH  // MSpu _1.12
   atha prayatnonnamitānatphaṇairdhṛte kathañcitphaṇināṃ gaṇairadhaḥ  /	aTa prayatna unnamitA natPaNEH DRte kaTaQcid PaNinAm gaNEH aDas  /
   nyadhāyiṣātāmabhi devakīsutaṃ sutena dhātuścaraṇau bhuvastale  //	nyaDAyizAtAm aBi devakI sutam sutena DAtuH caraNO BuvaH tale  //
   MSpv_1.13 //	MSpu _1.13 //
   tamarghyamarghyādikayādipuruṣaḥ saparyayā sādhu sa paryapūjayat   /	tam arGyam arGya AdikayA Adi puruzaH sa paryayA sADu sa paryapUjayat   /
   gṛhānupaituṃ praṇayādabhīpsavo bhavanti nāpuṇyakṛtāṃ manīṣiṇaḥ  //	gRha anupEtum praNayAt aBIpsavaH Bavanti na apuNya kRtAm manIziNaH  //
   MSpv_1.14 //	MSpu _1.14 //
   na yāvadetāvudapaśyadutthitau janastuṣārāñjanaparvatāviva  /	na yAvat etO= udapaSyat utTitO janaH tuzAra an jana parvatO= iva  /
   svahastadatte munimāsane muniściraṃstāvadabhinyavīviśat  // MSpv_1.15 //	sva hasta datte munim Asane muniH ciran= tAvat aBinyavIviSat  // MSpu _1.15 //
   mahāmahānīlaśilārucaḥ puro niṣedivān kaṃsakṛṣaḥ sa viṣṭare  /	mahA mahAnIla SilA rucaH puras nizedivAn kaMsa kRzaH sa vizware  /
   śritodayādrerabhisāyamuccakairacūcuraccandramaso 'bhirāmatām  // MSpv_1.16	Srita udaya adreH aBisAyam uccakEs acUcurat candramasaH aBirAmatAm  // MSpu _1.16
   vidhāya tasyāpacitiṃ praseduṣaḥ prakāmamaprīyata yajvanāṃ priyaḥ  /	viDAya tasya apacitim praseduzaH prakAmam aprIyata yajvanAm priyaH  /
   grahītumāryānparicaryayā muhurmahānubhāvā hi nitāntamarthinaḥ  //	grahItum AryAn paricaryayA muhur mahA anuBAvAH hi nitAntam arTinaH  //
   MSpv_1.17 //	MSpu _1.17 //
   aśeṣatīrthopahṛtāḥ kamaṇḍalornidhāya pāṇāvṛṣīṇābhyudīritāḥ  /	aSeza tIrTa upahRtAH kamaNxaloH niDAya pANO= RzINa aByudIritAH  /
   aghaughavidhvaṃsavidhau paṭīyasīrnatena mūrdnā hariragrahīdāpaḥ  //	aGa oGa viDvaMsa viDO pawIyasIH natena mUrdnA hariH agrahIdApaH  //
   MSpv_1.18 //	MSpu _1.18 //
   sa kāñcane yatra muneranujñayā navāmbudaśayāmavapurnyavikṣata  /	sa kAQcane yatra muneH anujQayA nava ambuda SayAm avapuH nyavikzata  /
   jigāya jambūjanitaśriyaḥ śriyaṃ sumeruśṛṅgasya tadā tadāsanam  //	jigAya jambU janita SriyaH Sriyam sumeru SRFgasya tadA tad Asanam  //
   MSpv_1.19 //	MSpu _1.19 //
   sa taptākārtasvarabhāsvarāmbaraḥ kaṭhoradhārādhipalāñchanacchaviḥ  /	sa tapta AkA Arta svara BAsvara ambaraH kaWora DArA aDipalAQCana= CaviH  /
   vididyute bāḍavajātavedasaḥ śikhābhirāśliṣṭa ivāmbhasāṃ nidhiḥ  //	vididyute bAxava jAtavedasaH SiKABiH ASlizwaH iva amBasAm niDiH  //
   MSpv_1.20 //	MSpu _1.20 //
   rathāṅgapāṇeḥ paṭalena rociṣāmṛṣitviṣaḥ saṃvalitā virejire  /	raTAFga pANeH pawalena rocizAm Rzi tvizaH saMvalitAH virejire  /
   calatpalāśāntaragocarastarotuṣāramūrteriva naktamaṃśavaḥ  // MSpv_1.21 //	calat palASa antara gocaraH tarotuzAra mUrteH iva naktam aMSavaH  // MSpu _1.21 //
   praphullatāpicchanibhairabhīṣubhiḥ śubhaiśca saptacchadapāṃsupāṇḍubhiḥ  /	praPulla tA picCa niBEH aBIzuBiH SuBEH ca saptacCada pAMsu pANxuBiH  /
   parampareṇa cchuritāmalacchavī tadekavarṇāviva tau babhūvatuḥ  //	parampareNa cCurita amala= CavI tad eka varNO= iva tO baBUvatuH  //
   MSpv_1.22 //	MSpu _1.22 //
   yugāntakālamatisaṃhṛtātmano jaganti yasyāṃ savikāsamāsata  /	yuga anta kAlam ati saMhRta AtmanaH jaganti yasyAm savikAsam Asata  /
   tanau mamustatra na kaiṭabhadviṣastapodhanabhyāgamasaṃbhavā mudaḥ  //	tanO mamuH tatra na kEwaBadvizaH tapoDana ByAgama saMBavAH mudaH  //
   MSpv_1.23 //	MSpu _1.23 //
   nidādhadhāmānamivādhidīdhitiṃ mudāvikāsaṃ munimabhyupeyuṣī  /	nidADa DAmAnam iva ADidIDitim mudA vikAsam munim aByupeyuzI  /
   vilocane bibhradadhiśritaśriṇī sa puṇḍarākākṣa iti sphuṭābhavat  //	vilocane biBrat aDiSrita SriNI sa puNxarAkAkzaH iti sPuwA aBavat  //
   MSpv_1.24 //	MSpu _1.24 //
   sitaṃsitimnā sutarāṃ munervapuḥ visāribhiḥ saudhamivātha lambhayan  /	sitaMsitimnA sutarAm muneH vapuH visAriBiH sODam iva aTa lamBayan  /
   dvijāvalivyājaniśākarāṃśubhiḥ śucismitāṃ vācamavocadacyutaḥ  // MSpv_1.25	dvija Avali vyAja niSAkara aMSuBiH Suci smitAm vAcam avocat acyutaH  // MSpu _1.25
   haratyaghaṃ  saṃprati hetureṣyataḥ śubhasya pūrvācaritai kṛtarṃ śubhai  /	harati aGam  saMprati hetuH ezyataH SuBasya pUrva AcaritEH kRtarm SuBEH  /
   śarīrabhājāṃ bhavadīyadarśanaṃ vyanakti kālatritaye 'pi yogyatām  //	SarIra BAjAm BavadIya darSanam vyanakti kAla tritaye api yogyatAm  //
   MSpv_1.26 //	MSpu _1.26 //
   jagatparyāptasahasrabhānunā na yanniyantuṃ samabhāvi bhānunā  /	jagat paryApta sahasra BAnunA na yat niyantum sama BAvi BAnunA  /
   prasahya tejobhirasaṃkhyatāṃ gatair adastvayā nunnamanuttamaṃ tamaḥ  //	prasahya tejoBiH asaMKya tAm gatEH adaH tvayA nunnam anuttamam tamaH  //
   MSpv_1.27 //	MSpu _1.27 //
   kṛtaḥ prajākṣemakṛtā prajāsṛjā supātranikṣenirākulātmanā  /	kRtaH prajA akzema kRtA prajA asRjA su pAtra nikze nirAkula AtmanA  /
   sadopayoge 'pi gurustvamakṣayo nidhiḥ śrutīnāṃ dhanasaṃpadāmiva  //	sadA upayoge api guruH tvam akzayaH niDiH SrutInAm Dana saMpadAm iva  //
   MSpv_1.28 //	MSpu _1.28 //
   vilokanenaiva tavāmunā mune kṛtaḥ kṛtārthosmi nibarhitāṃhasā  /	vilokanena eva tava amunA mune kRtaH kRtArTosmi nibarhita aMhasA  /
   tathāpiśuśrūṣurahaṃ garīyasīrgiro 'thavā śreyasi kena vā tṛpyate  //	taTA apiSuSrUzuH aham garIyasIH giraH aTavA Sreyasi kena vA tRpyate  //
   MSpv_1.29 //	MSpu _1.29 //
   gataspṛho 'pyāgamanaprayojanaṃ vadeti vaktuṃ vyavasīyate yayā  /	gata spRhaH api Agamana prayojanam vada iti vaktum vyavasIyate yayA  /
   tanoti nastāmuditmagauravo gurustavaivāgama eva dhṛṣyatām  // MSpv_1.30 //	tanoti naH tAm uditma gOravaH guruH tava eva AgamaH eva DRzyatAm  // MSpu _1.30 //
   itibruvantaṃ uvāca sa vratī na vācyamitthaṃ puruṣottama tvayā  /	itibruvantam uvAca sa vratI na vAcyam itTam puruzottama tvayA  /
   tvameva sākṣātkaraṇīya ityataḥ kimasti kāryaṃ  guru yogināmapi  //	tvam eva sAkzAtkaraNIyaH iti atas kim asti kAryam  guru yoginAm api  //
   MSpv_1.31 //	MSpu _1.31 //
   udīrṇarāgapratirodhakaṃ janairabhīkṣṇamakṣuṇṇatayātidurgamam  /	udIrNa rAga pratiroDakam janEH aBIkzNam akzuNNa tayA ati durgamam  /
   upeyuṣomokṣapathaṃ manasvinastvamagramūrtirnirapāyasaṃśrayā  // MSpv_1.32	upeyuzomokza paTam manasvinaH tvam agra mUrtiH nirapAya saMSrayA  // MSpu _1.32
   udāsitāraṃ nigrahītamānasairgṛhītamadhyātmadṛśā kathañcana  /	udAsitAram nigrahIta mAnasEH gRhItam aDyAtma dRSA kaTaQcana  /
   bahirvikaraṃ prakṛteḥ pṛthagviduḥ purātanaṃ tvāṃ puruṣaṃ purāvidaḥ  //	bahis vikaram prakRteH pRTak viduH purAtanam tvAm puruzam purAvidaH  //
   MSpv_1.33 //	MSpu _1.33 //
   niveśayāmāsitha helayoddhṛtaṃ phaṇābhṛtāṃ chādanamekamokasaḥ  /	niveSayAmAsiTa helayA udDRtam PaNABRtAm CAdanam ekamokasaH  /
   jagataikasthapatistvamuccakairahīśvarastambhaśiraḥsubhūtalam  // MSpv_1.34	jagata ekasTa patiH tvam uccaka es ahi ISvara stamBa SiraH su BU talam  // MSpu _1.34
   ananyagurvāstava kena kevalaḥ purāṇamūrtemahimāvagamyate  /	ananya guru AH tava kena kevalaH purANa mUrtemahimA avagamyate  /
   manuṣyajanmāpi surāsurānguṇairbhavānbhavacchedakarai karotyadhaḥ  //	manuzya janma api sura asurAn guNEH BavAn Bava= Ceda karEH karoti aDas  //
   MSpv_1.35 //	MSpu _1.35 //
   laghūkariṣyannatibhārabhaṅgurāmamūṃ kila tvaṃ tridivādavātaraḥ  /	laGU karizyan= ati BAra BaFgurAm amUm kila tvam tridivAda vAtaraH  /
   udūḍhalokatritayena sāṃprataṃ gururdharitrī kriyatetarāṃ tvayā  //	udUXa loka tritayena sAMpratam guruH DaritrI kriyata itarAm tvayA  //
   MSpv_1.36 //	MSpu _1.36 //
   nijojasojjāsayituṃ jagadrahāmupajihīthā na mahītale yadi  /	nijojasA ujjAsayitum jagadrahAm upajihITA na mahI tale yadi  /
   samāhitairapyanirūpitastataḥ padaṃ dṛśaḥ syāḥ katham īśa mādṛśām  //	samAhitEH api anirUpitaH tatas padam dRSaH syAH kaTam ISa mAdRSAm  //
   MSpv_1.37 //	MSpu _1.37 //
   upaplutaṃ pātumado madoddhataistvameva viśvaṃbhara viśvamīśiṣe  /	upaplutam pAtumadaH mada udDatEH tvam eva viSvaMBara viSvam ISize  /
   ṛte raveḥ kṣālayituṃ kṣameta kaḥ kṣapātamaskāṇḍamalīmasaṃ tamaḥ  //	Rte raveH kzAlayitum kzameta kaH kzapAtamaskANxa malImasam tamaH  //
   MSpv_1.38 //	MSpu _1.38 //
   karoti kaṃsādimahībhṛtāṃ vadhājjano mṛgāṇāmiva yattava stavam  /	karoti kaMsa Adi mahIBRtAm vaDAt janaH mRgANAm iva yat tava stavam  /
   hare hiraṇyākṣapuraḥsarāsuradvipadviṣaḥ pratyuta sā tiraskriyā  //	hare hiraNyAkza puraHsara asura dvipadvizaH pratyuta sA tiraskriyA  //
   MSpv_1.39 //	MSpu _1.39 //
   pravṛtta eva svayamujjhiśramaḥ krameṇa peṣṭuṃ bhuvanadvaṣāmasi  /	pravRttaH eva svayam ujJiSramaH krameNa pezwum BuvanadvazAmasi  /
   tathāpi vācālatayā yunakti māṃ mithastvadābhāṣaṇalolupaṃ manaḥ  //	taTA api vAcAla tayA yunakti mAm miTas tvad ABAzaNa lolupam manaH  //
   MSpv_1.40 //	MSpu _1.40 //
   tadindrasaṃdiṣṭamupendra yadvacaḥ kṣaṇaṃ mayā viśvajanīnamucyate  /	tat indra saMdizwam upendra yat vacaH kzaNam mayA viSvajanInam ucyate  /
   samastakāryeṣu gatena dhuryatāmahidviṣastadbhavatā niśamyatām  //	samasta kAryezu gatena DuryatAm ahi dvizaH tat BavatA niSamyatAm  //
   MSpv_1.41 //	MSpu _1.41 //
   abhūdabhūmi pratipakṣajanmanāṃ bhiyāṃ tanūjaspanadyutirditeḥ  /	aBUt aBUmi pratipakza janmanAm BiyAm tanUja spana dyutiH diteH  /
   yamindraśabdārthaniṣūdanaṃ harerharaṇyapūrvaṃ kaśipuṃ pracakṣate  //	yam indra Sabda arTa nizUdanam hareH haraNyapUrvam kaSipum pracakzate  //
   MSpv_1.42 //	MSpu _1.42 //
   samatsareṇāsura ityupeyuṣā cirāya nāmnaḥ prathamābhidheyatāṃ  /	sa matsareNa asuraH iti upeyuzA cirAya nAmnaH praTama aBiDeya tAm  /
   bhayasyapūrvāvatarastarasvinā manastu yena dyusadāṃ nyadhīyata  //	Bayasya pUrva avataraH tarasvinA manaH tu yena dyusadAm nyaDIyata  //
   MSpv_1.43 //	MSpu _1.43 //
   diśāmadhīśāṃścaturo yataḥ surānapāsya taṃ rāgāhṛtāḥ siṣevire  /	diSAm aDISAn= caturaH yatas surAn apAsya tam rAga AhRtAH sizevire  /
   avāpurārabhya tataścalā iti pravādamuccairayaśaskaraṃ śriyaḥ  // MSpv_1.44	avApuH AraBya tatas calAH iti pravAdam uccEs ayaSaskaram SriyaH  // MSpu _1.44
   purāṇi durgāṇi niśātamāyudhaṃ balāni śūrāṇi ghanāścakañcukāḥ  /	purANi durgANi niSAtam AyuDam balAni SUrANi GanAH ca kaQcukAH  /
   svarūpaśobhaikaphalāni nākināṃ gaṇairyamāśaṅkya tadādi cakrire  //	svarUpa SoBa eka PalAni nAkinAm gaNEH yam ASaFkya tad Adi cakrire  //
   MSpv_1.45 //	MSpu _1.45 //
   sa saṃcariṣṇu bhuvanāntareṣu yāṃ yadṛcchayāśiśriyādāśrayaḥ śriyaḥ  /	sa saMcarizNu Buvana antarezu yAm yadRcCayA aSiSriyAt ASrayaH SriyaH  /
   akāri tasyai mukuṭopalaskhalatkaraistrisandhyaṃ tridaśairdiśe namaḥ  //	akAri tasyE mukuwa upala sKalat karEH tri sanDyam tridaSEH diSe namaH  //
   MSpv_1.46 //	MSpu _1.46 //
   saṭācchaṭabhinnaghanena bibhratā nṛsiṃha saiṃhīmatanuṃ tanuṃ tvayā  /	sawAt Cawa Binna Ganena biBratA nRsiMha sEMhi im atanum tanum tvayA  /
   sa mugdhakāntāstanasaṅgabhaṅgurairurovidāraṃ praticaskire nakhaiḥ  //	sa mugDa kAntA stana saFga BaFgurEH uraH vidAram praticaskire naKEH  //
   MSpv_1.47 //	MSpu _1.47 //
   vinodamicchannatha darpajanmano raṇena kaṇḍvāstridaśai samaṃ punaḥ  /	vinodam icCan= aTa darpa janmanaH raNena kaNxvAH tridaSE samam punar  /
   sa rāvaṇo nāma nikāmabhīṣaṇaṃ babhūva rakṣaḥ kṣatarakṣaṇaṃ divaḥ  //	sa rAvaNaH nAma nikAma BIzaNam baBUva rakzaH kzata rakzaNam divaH  //
   MSpv_1.48 //	MSpu _1.48 //
   prabhurbubhūṣurbhuvanatrayasya yaḥ śiro 'tirāgāddaśamaṃ cikartiṣuḥ  /	praBuH buBUzuH Buvana trayasya yaH SiraH atirAgAt daSamam cikartizuH  /
   atarkayadvighnamiveṣṭasādhasaḥ prasādamicchāsaddṛśaṃ pinākinaḥ  //	atarkayat viGnam iva izwa sADasaH prasAdam icCA sat dRSam pinAkinaH  //
   MSpv_1.49 //	MSpu _1.49 //
   samutkṣipanyaḥ pṛthivībhṛtāṃ varaṃ varapradānasya cakāra śūlinaḥ  /	samutkzipanyaH pRTivIBRtAm varam vara pradAnasya cakAra SUlinaH  /
   trasattuṣārādrisutāsasaṃbhramasvayaṅgrahāśleṣasukhena niṣkrayam  //	trasat tuzArAdri sutAsa saMBrama svayaFgraha ASleza suKena nizkrayam  //
   MSpv_1.50 //	MSpu _1.50 //
   purīmavaskanda lunīhi nandanaṃ muṣāṇa ratnāni harāmarāṅganāḥ  /	purIm avaskanda lunIhi nandanam muzANa ratnAni hara amara aFganAH  /
   vigṛhya cakre namucidviṣā balī ya itthamasvāsthyamahardivaṃ divaḥ  //	vigRhya cakre namucidvizA balI yaH itTam asvAsTyam ahar divam divaH  //
   MSpv_1.51 //	MSpu _1.51 //
   salīlayātāni na bharturabhramorna citramuccaiśravasaḥ padakramam  /	sa lIla yAtAni na BartuH aBramoH na citram uccESravasaH pada kramam  /
   anudrutaḥ saṃyati yena kevalaṃ balasya śatruḥ praśaśaṃsa śīghratām  //	anudrutaH saMyati yena kevalam balasya SatruH praSaSaMsa SIGra tAm  //
   MSpv_1.52 //	MSpu _1.52 //
   aśuknuvan soḍhumadhīralocanaḥ sahasraraśmeriva yasya darśanam  /	aSuknuvan soXum aDIra locanaH sahasraraSmeH iva yasya darSanam  /
   praviśya hemādriguhāgṛhāntaraṃ nināya bibhyaddivasāni kauśikaḥ  //	praviSya hema adri guhA gRha antaram ninAya biByat divasAni kOSikaH  //
   MSpv_1.53 //	MSpu _1.53 //
   bṛhacchalāniṣṭhurakaṇṭhaghaṭṭanāvikīrṇalolāgnikaṇaṃ suradviṣaḥ  /	bRhat Cala anizWura kaNWa Gawwana avikIrNa lola agni kaNam suradvizaH  /
   jagatprabhoraprasihiṣṇu vaiṣṇavaṃ na cakramasyākramatādhikandharaṃ  //	jagat praBoH aprasihizNu vEzNavam na cakram asya Akrama tA aDikanDaram  //
   MSpv_1.54 //	MSpu _1.54 //
   bibhinnaśaṅkhaḥ kaluṣībhavanmuhurmadena dantīva manuṣyadharmaṇaḥ  /	biBinna SaFKaH kaluzI Bavat muhur madena dantI iva manuzya DarmaNaH  /
   nirastaghāṃbhīryamapāstapuṣpakaṃ prakampayāmāsa na mānasaṃ na saḥ  //	nirastaGAMBIryam apAstapuzpakam prakampayAmAsa na mAnasam na saH  //
   MSpv_1.55 //	MSpu _1.55 //
   raṇeṣu tasya prahitāḥ pracetasā saroṣahuṅkāraparāṅmukhīkṛtāḥ  /	raNezu tasya prahitAH pracetasA sa roza huFkAra parAFmuKIkRtAH  /
   praharturevoragarājarajjavo javena kaṇṭhaṃ sabhayāḥ prapedire  //	prahartuH eva uraga rAja rajjavaH javena kaNWam sa BayAH prapedire  //
   MSpv_1.56 //	MSpu _1.56 //
   parebharturmahiṣo 'munā dhanurvidhātumutkhātaviṣāṇamaṇḍalaḥ /	pareBartuH mahizaH amunA DanuH viDAtum utKAta vizANa maNxalaH /
   hṛte 'pibhāre mahatastrapābharāduvāha duḥkhena bhṛśānṛtaṃ śiraḥ  //	hRte api BAre mahatastrapA BarAt uvAha duHKena BRSa anRtam SiraH  //
   MSpv_1.57 //	MSpu _1.57 //
   sṛpaśansaśaṅkaḥ samaye śucāvapi sthitaḥ karāgrairasamagrapātibhiḥ  /	sRpa Sansa SaFkaH samaye SucO= api sTitaH kara agrEH asamagra pAtiBiH  /
   aghagharmodakabindumauktikairalañcakārāsya vadhūrahaskaraḥ  // MSpv_1.58	aGa Garma udaka bindu mOktikEH alaQcakAra asya vaDU H ahaskaraH  // MSpu _1.58
   kalāsamagreṇagṛhānamuñcatā manasvinīrutkayituṃ  paṭīyasā  /	kalA samagreNa gRhAnamuQcatA manasvinIH utkayitum  pawIyasA  /
   visāsinastasya vitanvatāratiṃ na narmasācivyamakārinendunā  // MSpv_1.59	visAsinaH tasya vitanvatA aratim na narma sAcivyamakArinA indunA  // MSpu _1.59
   vidagdhalīlocitadantapatrikāvidhitsayā nūnamanena māninā  /	vidagDa lIlA ucita dantapatrikA viDit sayA nUnam anena mAninA  /
   na jātu vaināyakamekamuddhṛtaṃ viṣāṇamadyāpi punaḥ prarohati  // MSpv_1.60	na jAtu vEnAyakam ekam udDRtam vizANam adya api punar prarohati  // MSpu _1.60
   niśāntanārīparidhānadhūnanasphuṭāgasāpyūruṣu lolacakṣuṣaḥ  /	niSA anta nArI pariDAna DUnana sPuwa AgasA api Uruzu lola cakzuzaH  /
   priyeṇa tasyānaparādhabādhitāḥ prakampanenānucakampire surāḥ  // MSpv_1.61	priyeNa tasya anaparADa bADitAH prakampanena anuca kampire surAH  // MSpu _1.61
   tiraskṛtastasya janābhibhāvinā muhurmahimnā mahasāṃ mahīyasāṃ  /	tiraskRtaH tasya jana aBiBAvinA muhur mahimnA mahasAm mahIyasAm  /
   babhāra bāṣpairdvaguṇīkṛtaṃ tanutanūnapāddhūmamavitānamādhijaiḥ  //	baBAra bAzpEH dvaguNIkRtam tanu tanUnapAt DUmam avitAnam ADi jEH  //
   MSpv_1.62 //	MSpu _1.62 //
   parasyamarmavidhamujjhatāṃ nijaṃ dvijihvatādoṣamajihmagāmibhiḥ  /	parasyamarmaviDam ujJatAm nijam dvi jihva tA dozam ajihma gAmiBiH  /
   tamiddhamārādhayituṃ sakarṇakaiḥ kulairna bheje phaṇināṃ bhujaṅgatā  //	tam idDam ArADayitum sa karNakEH kulEH na Beje PaNinAm BujaFga tA  //
   MSpv_1.63 //	MSpu _1.63 //
   tadīyamātaṅgaghaṭāvighaṭṭitaiḥ kaṭasthalaproṣitadānavāribhiḥ  /	tadIya mAtaFga GawA viGawwitEH kawa sTala prozita dAna vAriBiH  /
   gṛhītadikkairapunarnivartibhiścirāya yāthārthyamalambi diggajaiḥ  //	gRhIta dikkEH apunar nivartiBiH cirAya yATArTyam alambi diggajEH  //
   MSpv_1.64 //	MSpu _1.64 //
   abhīkṣṇamuṣṇairapi tasya soṣmaṇaḥ surendravandīśvasitānilairyathā  /	aBIkzNam uzNEH api tasya sa UzmaNaH sura indra vandISvasita anilEH yaTA  /
   sacandanāmbhaḥkaṇakomalaistathā vapurjalārdrāpavanairna nirvabau  //	sa candana amBaH kaNa komalEH taTA vapuH jala Ardra apavanEH na nirvabO  //
   MSpv_1.65 //	MSpu _1.65 //
   tapena varṣāḥ śaradā himāgamo vasantalakṣmyā śiśiraḥ sametya ca  /	tapena varzAH SaradA hima AgamaH vasanta lakzmyA SiSiraH sametya ca  /
   prasūnakḷptiṃ dadhataḥ sadartavaḥ purosya vāstavyakuṭumbitāṃ yayau  //	prasUna k?ptim daDataH sa dartavaH purosya vAstavya kuwumbitAm yayO  //
   MSpv_1.66 //	MSpu _1.66 //
   amānavaṃ jātamajaṃ kule manoḥ prabhāvinaṃ bhāvinnamantamātmanaḥ  /	amAnavam jAtam ajam kule manoH praBAvinam BAvinnam antam AtmanaH  /
   mumoca jānannapi jānakīṃ na yaḥ sadabhimānaikadhanā hi māninaḥ  //	mumoca jAnan= api jAnakIm na yaH sat aBimAna eka DanAH hi mAninaH  //
   MSpv_1.67 //	MSpu _1.67 //
   smaratyado dāśarathirbhavānamuṃ vanāntādvanitāpahāriṇam  /	smarati adaH dASaraTiH BavAn amum vanAntAt vanitA apahAriNam  /
   payodhimābaddhacalajjalābilaṃ vilaṅghyalaṅgāṃ nikaṣā haniṣyati  //	payoDim AbadDa calat jalAbilam vilaFGya laFgAm nikazAH hanizyati  //
   MSpv_1.68 //	MSpu _1.68 //
   atopapattiṃ chalanāparo 'parāmavāpya śailūṣa ivaiṣa bhūmikāṃ  /	ata upapattim Calana aparaH aparAm avApya SElUzaH iva eza BUmikAm  /
   tirohitātmā śiśupālasaṃjñayā pratīyate saṃprati sāpyasaḥ paraiḥ  //	tirohita AtmA SiSupAla saMjQayA pratIyate saMprati sA api asaH parEH  //
   MSpv_1.69 //	MSpu _1.69 //
