   athottarabhāgaprāramabhaḥ	aTa uttara BAga prAramaBaH
   nāmatastu pravakṣyāmi nibodhadhvaṃ samāhitāḥ // BndP_3,1.13 //	nAmataH tu pravakzyAmi niboDaDvam samAhitAH // Bndu _3,1.13 //
   ṛtustapaśca śukraśca kṛtirnemiḥ prabhākaraḥ /	RtuH tapaH ca SukraH ca kRtiH nemiH praBAkaraH /
   prabhāso māsakṛddharmastejoraśmiḥ kraturvirāṭ // BndP_3,1.14 //	praBAsaH mAsa kRt DarmaH tejaH raSmiH kratuH virAj // Bndu _3,1.14 //
   arciṣmān dyotano bhānuryaśaḥ kīrttirbudho dhṛtiḥ // BndP_3,1.15 //	arcizmAn dyotanaH BAnuH yaSaH kIrttiH buDaH DRtiH // Bndu _3,1.15 //
   viṃśatiḥ sutapā hyete nāmabhiḥ parikīrttitāḥ /	viMSatiH sutapAH hi ete nAmaBiH parikIrttitAH /
   prabhurvibhurvibhāsaśca jetā hantā rihā ṛtuḥ // BndP_3,1.16 //	praBuH viBuH viBAsaH ca jetA hantA rihAH RtuH // Bndu _3,1.16 //
   sumatiḥ pramatirdīptiḥ samākhyāto maho mahān /	sumatiH pramatiH dIptiH samAKyAtaH mahaH mahAn /
   dehī munirinaḥ poṣṭā samaḥ satyaśca viśrutaḥ // BndP_3,1.17 //	dehI muniH inaH pozwA samaH satyaH ca viSrutaH // Bndu _3,1.17 //
   ityetehyamitābhāstu viṃśatiḥ parikīrttitāḥ /	iti etehi amita ABAH tu viMSatiH parikIrttitAH /
   dāmo dānī ṛtaḥ somo vittaṃ vaidyo yamo nidhiḥ // BndP_3,1.18 //	dAmaH dAnI RtaH somaH vittam vEdyaH yamaH niDiH // Bndu _3,1.18 //
   homo havyaṃ hutaṃ dānaṃ deyaṃ dātā tapaḥ śamaḥ /	homaH havyam hutam dAnam deyam dAtA tapaH SamaH /
   dhruvaṃ sthānaṃ vidhānaṃ ca niyamaśceti viṃśatiḥ // BndP_3,1.19 //	Druvam sTAnam viDAnam ca niyamaH ca iti viMSatiH // Bndu _3,1.19 //
   sukhā hyete samākhyātāḥ sāvarṇye pratharmetare /	suKAH hi ete samAKyAtAH sAvarNye praTarma itare /
   mārīcasyaiva te putrāḥ kaśyapasya mahātmanaḥ // BndP_3,1.20 //	mArIcasya eva te putrAH kaSyapasya mahAtmanaH // Bndu _3,1.20 //
   sāṃpratasya bhaviṣyanti ṣaṣṭirdevāstadantare /	sAMpratasya Bavizyanti zazwiH devAH tad antare /
   sāvarṇasya manoḥ putrā bhaviṣyanti navaiva tu // BndP_3,1.21 //	sAvarNasya manoH putrAH Bavizyanti nava eva tu // Bndu _3,1.21 //
   virajāścārvarīvāṃśca nirmokādyāstathā pare /	virajAH cArvarIvAn= ca nirmoka AdyAH taTA pare /
   nava cānyeṣu vakṣyāmi sāvarṇeṣvantareṣu vai // BndP_3,1.22 //	nava ca anyezu vakzyAmi sAvarNezu antarezu vE // Bndu _3,1.22 //
   sāvarṇamanavaścānye bhaviṣyā brahmaṇaḥ sutāḥ /	sAvarNa manavaH ca anye BavizyAH brahmaNaH sutAH /
   merusāvarṇitaste vai catvāro divyadṛṣṭayaḥ // BndP_3,1.23 //	meru sAvarNitaH te vE catvAraH divya dRzwayaH // Bndu _3,1.23 //
   dakṣasya te hi vauhitrāḥ kriyāyā duhituḥ sutāḥ /	dakzasya te hi vOhitrAH kriyAyAH duhituH sutAH /
   mahatā tapasā yuktā merupṛṣṭhe mahau jasaḥ // BndP_3,1.24 //	mahatA tapasA yuktAH meru pRzWe mahO jasaH // Bndu _3,1.24 //
   brahmādibhistejanitā dakṣeṇaiva ca dhīmatā /	brahma AdiBiH tejanitA dakzeNa eva ca DImatA /
   maharlokaṃ gatā vṛttā bhaviṣyā merumāśritāḥ // BndP_3,1.25 //	mahar lokam gatAH vRttAH BavizyAH merum ASritAH // Bndu _3,1.25 //
   mahānubhāvāste pūrvaṃ jajñire cākṣuṣentare /	mahA anuBAvAH te pUrvam jajQire cAkzuza intare /
   jajñire manavaste hi bhaviṣyānāgatāntare // BndP_3,1.26 //	jajQire manavaH te hi BavizyAnAgata antare // Bndu _3,1.26 //
   prācetasasya dakṣasya dauhitrā manavastu ye /	prAcetasasya dakzasya dOhitrAH manavaH tu ye /
   sāvarṇā nāmataḥ pañca catvāraḥ paramarṣijāḥ // BndP_3,1.27 //	sAvarNAH nAmataH paQca catvAraH parama Rzi jAH // Bndu _3,1.27 //
   saṃjñāputrastu sāvarṇireko vaivasvatastathā /	saMjQA putraH tu sAvarNiH ekaH vEvasvataH taTA /
   jyeṣṭhaḥ saṃjñāsuto nāma murvaivasvataḥ prabhuḥ // BndP_3,1.28 //	jyezWaH saMjQA sutaH nAma murvEvasvataH praBuH // Bndu _3,1.28 //
   vaivasvateṃ'tare prāpte samutpattistayoḥ śubhā /	vEvasvateM atare prApte samutpattiH tayoH SuBA /
   caturdaśaite manavaḥ kīrtitā kīrtivarddhanāḥ // BndP_3,1.29 //	caturdaSA ete manavaH kIrtitA kIrti vardDanAH // Bndu _3,1.29 //
   vede smṛtau purāṇe ca sarve te prabhaviṣṇavaḥ /	vede smRtO purANe ca sarve te praBavizNavaH /
   prajānāṃ patayaḥ sarve bhūtānāṃ patayaḥ sthitāḥ // BndP_3,1.30 //	prajAnAm patayaH sarve BUtAnAm patayaH sTitAH // Bndu _3,1.30 //
   tairiyaṃ pṛthivī sarvā saptadvīpā sapattanā /	tEH iyam pRTivI sarvA sapta dvIpA sa pattanAH /
   pūrṇaṃ yugasahasraṃ vai paripālyā nareśvaraiḥ // BndP_3,1.31 //	pUrNam yuga sahasram vE paripAlyAH nareSvarEH // Bndu _3,1.31 //
   prajābhistapasā caiva vistarasteṣu vakṣyate /	prajABiH tapasA ca eva vistaraH tezu vakzyate /
   caturddaśaite vijñeyāḥ sargāḥ svāyaṃbhuvādayaḥ // BndP_3,1.32 //	catur ddaSA ete vijQeyAH sargAH svAyaMBuva AdayaH // Bndu _3,1.32 //
   manvantarādhikāreṣu varttante 'tra sakṛtsakṛt /	manvantara aDikArezu varttante atra sakRt sakRt /
   vinivṛttādhikārāste mahārlokaṃ samāśritāḥ // BndP_3,1.33 //	vinivRtta aDikArAH te mahArlokam samASritAH // Bndu _3,1.33 //
   samatītāstu ye teṣāmaṣṭau ṣaṭ ca tathāpare /	samatItAH tu ye tezAm azwO zaz ca taTA apare /
   pūrveṣu sāṃprataścāyaṃ śāsti vaivasvataḥ prabhuḥ // BndP_3,1.34 //	pUrvezu sAMprataH ca ayam SAsti vEvasvataH praBuH // Bndu _3,1.34 //
   ye śiṣṭāstānpravakṣyāmi saha devarṣidānavaiḥ /	ye SizwAH tAn pravakzyAmi saha deva Rzi dAnavEH /
   saha prajā nisargeṇa sarvāṃste 'nāgatāndvijaḥ // BndP_3,1.35 //	saha prajAH nisargeNa sarvAn= te anAgatAn dvijaH // Bndu _3,1.35 //
   vaivasvata nisargeṇa teṣāṃ jñeyastu vistaraḥ /	vEvasvata nisargeNa tezAm jQeyaH tu vistaraH /
   anūnā nātiriktāste yasmātmarve vivasvataḥ // BndP_3,1.36 //	anUnAH na atiriktAH te yasma Atmarve vivasvataH // Bndu _3,1.36 //
   punaruktabahutvāttu na vakṣye teṣu vistaram /	punarukta bahu tvAt tu na vakzye tezu vistaram /
   manvantareṣu bhāvyeṣu bhūteṣvapi tathaiva ca // BndP_3,1.37 //	manvantarezu BAvyezu BUtezu api taTA eva ca // Bndu _3,1.37 //
   kulekule nisargāstu tasmājjñeyā vibhāgaśaḥ /	kulekule nisargAH tu tasmAt jQeyAH viBAgaSaH /
   teṣāmeva hi siddhyarthaṃ vistareṇa krameṇa ca // BndP_3,1.38 //	tezAm eva hi sidDi arTam vistareNa krameNa ca // Bndu _3,1.38 //
   dakṣasya kanyā dharmiṣṭhā suvratā nāma viśrutā /	dakzasya kanyA DarmizWA suvratA nAma viSrutA /
   sarvakanyāvariṣṭhā tu jyeṣṭhā yā vīriṇīsutā // BndP_3,1.39 //	sarva kanyA varizWA tu jyezWA yA vIriNI sutAH // Bndu _3,1.39 //
   gṛhītvā tāṃ pitā kanyāṃ jagāma brahmaṇo 'tike /	gRhItvA tAm pitA kanyAm jagAma brahmaNaH atike /
   vairājasthamupāsīnaṃ dharmeṇa ca bhavena ca // BndP_3,1.40 //	vErAja sTam upAsInam DarmeNa ca Bavena ca // Bndu _3,1.40 //
   bhavadharmasamīpasthaṃ dakṣaṃ brahmābhyabhāṣata /	Bava Darma samIpa sTam dakzam brahma aByaBAzata /
   dakṣa kanyā taveyaṃ vai janayiṣyati suvratā // BndP_3,1.41 //	dakza kanyA tava iyam vE janayizyati suvratAH // Bndu _3,1.41 //
   caturo vai manūnputrāṃścāturvarṇyakarāñchubhān /	caturaH vE manUn putrAn= cAturvarNya karAn SuBAn /
   brahmaṇo vacanaṃ śrutvā dakṣo dharmo bhavastadā // BndP_3,1.42 //	brahmaNaH vacanam SrutvA dakzaH DarmaH BavaH tadA // Bndu _3,1.42 //
   tāṃ kanyāṃ manasā jagmustrayaste brahmaṇā saha /	tAm kanyAm manasA jagmuH trayaH te brahmaNA saha /
   satyābhidhyāyināṃ teṣāṃ sadyaḥ kanyā vyajāyata // BndP_3,1.43 //	satya aBiDyAyinAm tezAm sadyas kanyA vyajAyata // Bndu _3,1.43 //
   sadṛśānūpatasteṣāṃ caturo vai kumārakān /	sadRSa AnUpataH tezAm caturaH vE kumArakAn /
   saṃsiddhāḥ kāryakaraṇe saṃbhūtāste śriyānvitāḥ // BndP_3,1.44 //	saMsidDAH kArya karaNe saMBUtAH te SriyA anvitAH // Bndu _3,1.44 //
   upabhogāsamarthaiśca sadyojātaiḥ śarīrakaiḥ /	upaBoga asamarTEH ca sadyojAtEH SarIrakEH /
   te dṛṣṭvā tānsvayaṃbhūtānbrahmavyāhāriṇastadā // BndP_3,1.45 //	te dRzwvA tAn svayaMBUtAn brahma vyAhAriNaH tadA // Bndu _3,1.45 //
   saraṃbdhā vai vyakarṣanta mama putro mametyuta /	saraMbDAH vE vyakarzanta mama putraH mama iti uta /
   abhidhyāyātmanotpannānūcurvai te parasparam // BndP_3,1.46 //	aBiDyAya AtmanA utpannAn UcuH vE te parasparam // Bndu _3,1.46 //
   yo yasya vapuṣā tulyo bhajatāṃ satataṃ sutam /	yaH yasya vapuzA tulyaH BajatAm satatam sutam /
   yasya yaḥ sadṛśaścāpi rūpe vīrye ca mānataḥ // BndP_3,1.47 //	yasya yaH sadRSaH ca api rUpe vIrye ca mAnataH // Bndu _3,1.47 //
   taṃ gṛhṇātu sa bhadraṃ vo varṇato yasya yaḥ samaḥ /	tam gRhNAtu sa Badram vaH varNataH yasya yaH samaH /
   dhruvaṃ rūpaṃ pituḥ putraḥ so 'nurudhyati sarvadā // BndP_3,1.48 //	Druvam rUpam pituH putraH saH anuruDyati sarvadA // Bndu _3,1.48 //
   tasmādātmasamaḥ putraḥ piturmātuśca vīryataḥ /	tasmAt Atma samaH putraH pituH mAtuH ca vIryataH /
   evaṃ te samayaṃ kṛtvā sarveṣāṃ jagṛhaḥ sutān // BndP_3,1.49 //	evam te samayam kRtvA sarvezAm jagRhaH sutAn // Bndu _3,1.49 //
   cākṣuṣasyāntare 'tīte prāpte vaivasvatasya ha /	cAkzuzasya antare atIte prApte vEvasvatasya ha /
   ruceḥ prajāpateḥ putro raucyo nāmābhavatsutaḥ // BndP_3,1.50 //	ruceH prajApateH putraH rOcyaH nAma aBavat sutaH // Bndu _3,1.50 //
   bhūtyāmutpādito yastu bhautyo nāma kaveḥ sutaḥ /	BUtyAm utpAditaH yaH tu BOtyaH nAma kaveH sutaH /
   vaivasvateṃ'tare jātau dvau manū tu vivasvataḥ // BndP_3,1.51 //	vEvasvateM atare jAtO dvO manU tu vivasvataH // Bndu _3,1.51 //
   vaivasvato manuryaśca sāvarṇo yaśca vai śrutaḥ /	vEvasvataH manuH yaH ca sAvarNaH yaH ca vE SrutaH /
   jñeyaḥ saṃjñāsuto vidvānmanurvaivasvataḥ prabhuḥ // BndP_3,1.52 //	jQeyaH saMjQA sutaH vidvAn manuH vEvasvataH praBuH // Bndu _3,1.52 //
   savarṇāyāḥ sutaścānyaḥ smṛto vaivasvato manuḥ /	savarNAyAH sutaH ca anyaH smRtaH vEvasvataH manuH /
   sāvarṇama navo ye ca catvārastu maharṣijāḥ // BndP_3,1.53 //	sAvarNama navaH ye ca catvAraH tu mahA Rzi jAH // Bndu _3,1.53 //
   tapasā saṃbhṛtātmānaḥ sveṣu manvantareṣu vai /	tapasA saMBRta AtmAnaH svezu manvantarezu vE /
   bhaviṣyeṣu bhaviṣyanti sarvakāryārthasādhakāḥ // BndP_3,1.54 //	Bavizyezu Bavizyanti sarva kArya arTa sADakAH // Bndu _3,1.54 //
   prathame merusāvarṇedakṣaputrasya vai manoḥ /	praTame merusAvarNedakza putrasya vE manoH /
   parāmarīcigarbhāśca sudharmāṇaśca te trayaḥ /	parA marIcigarBAH ca suDarmANaH ca te trayaH /
   saṃbhūtāśca mahātmānaḥ sarve vaivasvatentare // BndP_3,1.55 //	saMBUtAH ca mahAtmAnaH sarve vEvasvata intare // Bndu _3,1.55 //
   dakṣaputrasya putrāste rohitasya prajāpateḥ /	dakza putrasya putrAH te rohitasya prajApateH /
   bhaviṣyanti bhaviṣyāstu ekaiko dvādaśo gaṇaḥ // BndP_3,1.56 //	Bavizyanti BavizyAH tu ekEkaH dvAdaSaH gaNaH // Bndu _3,1.56 //
   aiśvaraśca graho rāhurvākurvaṃśastathaiva ca /	ESvaraH ca grahaH rAhuH vAkurvaMSaH taTA eva ca /
   pārā dvādaśa vijñeyā uttarāṃstu nibodhata // BndP_3,1.57 //	pArAH dvAdaSa vijQeyAH uttarAn= tu niboData // Bndu _3,1.57 //
   vājipo vājijiccaiva prabhūtiśca kakudyatha /	vAjipaH vAjijit ca eva praBUtiH ca kakudyaTa /
   dadhikrāvā vipakvaśca praṇīto vijayo madhuḥ // BndP_3,1.58 //	daDikrAvA vipakvaH ca praNItaH vijayaH maDuH // Bndu _3,1.58 //
   utathyottamakau dvau tu dvādaśaite marīcayaḥ /	utaTya uttamakO dvO tu dvAdaSA ete marIcayaH /
   sudharmāṇastu vakṣyāmi nāmatastānnibodhata // BndP_3,1.59 //	suDarmANaH tu vakzyAmi nAmataH tAn niboData // Bndu _3,1.59 //
   varṇastathāthagarviśca bhuraṇyo vrajano 'mitaḥ /	varNaH taTA aTagarviH ca BuraNyaH vrajanaH amitaH /
   amito dravaketuśca jaṃbho 'thājastu śakrakaḥ // BndP_3,1.60 //	amitaH dravaketuH ca jaMBaH aTa ajaH tu SakrakaH // Bndu _3,1.60 //
   sunemirdyutayaścaiva sudharmāṇaḥ prakīrtitāḥ /	sunemiH dyutayaH ca eva suDarmANaH prakIrtitAH /
   teṣāmindrastadā bhāvyo hyadbhuto nāma nāmataḥ // BndP_3,1.61 //	tezAm indraH tadA BAvyaH hi adButaH nAma nAmataH // Bndu _3,1.61 //
   skando 'sau pārvatīyo vai kārtikeyastu pāvakiḥ /	skandaH asO pArvatIyaH vE kArtikeyaH tu pAvakiH /
   medhātithiśca paulastyo vasuḥ kāśyapa evaṃ ca // BndP_3,1.62 //	meDAtiTiH ca pOlastyaH vasuH kASyapaH evam ca // Bndu _3,1.62 //
   jyotiṣmānbhārgavāścaiva dyutimānaṅgirāstathā /	jyotizmAn BArgavAH ca eva dyutimAn aFgirAH taTA /
   vasinaścaiva vāsiṣṭha ātreyo havyavāhanaḥ // BndP_3,1.63 //	vasinaH ca eva vAsizWaH AtreyaH havyavAhanaH // Bndu _3,1.63 //
   sutapāḥ paulahaścaiva saptaite rohitetare /	sutapAH pOlahaH ca eva saptA ete rohita itare /
   dhṛtiketurdīptiketuḥ śāpahastanirāmayāḥ // BndP_3,1.64 //	DRtiketuH dIpti ketuH SApa hasta nirAmayAH // Bndu _3,1.64 //
   pṛthuśravāstathānīko bhūridyumno bṛhadyaśaḥ /	pRTuSravAH taTA anIkaH BUridyumnaH bRhadyaSaH /
   prathamasya tu sāvarṇernava putrāḥ prakīrtitāḥ // BndP_3,1.65 //	praTamasya tu sAvarNeH nava putrAH prakIrtitAH // Bndu _3,1.65 //
   daśame tvatha paryāye dharmaputrasya vai manoḥ /	daSame tu aTa paryAye Darmaputrasya vE manoH /
   dvītīyasya tu sāvarṇerbhāvyasyaivāntare manoḥ // BndP_3,1.66 //	dvItIyasya tu sAvarNeH BAvyasya eva antare manoH // Bndu _3,1.66 //
   sudhāmāno viruddhāśca dvāveva tu gaṇau smṛtau /	suDAmAnaH virudDAH ca dvO= eva tu gaNO smRtO /
   dīptimantaśca te sarve śatasaṃkhyāśca te samāḥ // BndP_3,1.67 //	dIptimantaH ca te sarve Sata saMKyAH ca te samAH // Bndu _3,1.67 //
   prāṇānāṃ yacchataṃ proktaṃ ṛṣibhiḥ puraṣeti vai /	prANAnAm yat Satam proktam RziBiH puraza iti vE /
   devāste vai bhaviṣyanti dharmaputrasya vai manoḥ // BndP_3,1.68 //	devAH te vE Bavizyanti Darmaputrasya vE manoH // Bndu _3,1.68 //
   teṣāmindrastathā vidvānbhaviṣyaḥ śāntirucyate /	tezAm indraH taTA vidvAn BavizyaH SAntiH ucyate /
   haviṣmānpaulahaḥ śrīmānsukīrtiścātha bhārgavaḥ // BndP_3,1.69 //	havizmAn pOlahaH SrImAn sukIrtiH ca aTa BArgavaH // Bndu _3,1.69 //
   āpomūrtistathātreyo vasiṣṭhaścāpavaḥ smṛtaḥ /	ApomUrtiH taTA AtreyaH vasizWaH ca apavaH smRtaH /
   paulastyo 'pratimaścāpi nābhāgaścaiva kāśyapaḥ // BndP_3,1.70 //	pOlastyaH apratimaH ca api nABAgaH ca eva kASyapaH // Bndu _3,1.70 //
   abhimanyuścāṅgirasaḥ saptaite paramarṣayaḥ /	aBimanyuH ca aFgirasaH saptA ete parama RzayaH /
   sukṣetraścottamaujāśca bhūrisenaśca vīryavān // BndP_3,1.71 //	su kzetraH ca uttamOjAH ca BUrisenaH ca vIryavAn // Bndu _3,1.71 //
   śatānīko nirāmitro vṛṣaseno jayadrathaḥ /	SatAnIkaH nirAmitraH vRzasenaH jayadraTaH /
   bhūridyumnaḥ suvarcāśca daśaitemānavāḥ smṛtāḥ // BndP_3,1.72 //	BUridyumnaH suvarcAH ca daSa etemAnavAH smRtAH // Bndu _3,1.72 //
   ekādaśe tu paryāye sāvarṇe vai tṛtīyake /	ekAdaSe tu paryAye sAvarNe vE tRtIyake /
   nirvāṇaratayo devāḥ kāmagā vai manojavāḥ // BndP_3,1.73 //	nirvANa ratayaH devAH kAma gAH vE manaH javAH // Bndu _3,1.73 //
   gaṇāstvete trayaḥ khyātā devātānāṃ mahātmanām /	gaNAH tu ete trayaH KyAtAH devAtAnAm mahAtmanAm /
   ekaikastriṃśatasteṣāṃ gaṇastu tridivaukasām // BndP_3,1.74 //	ekEkaH triMSataH tezAm gaNaH tu tridivOkasAm // Bndu _3,1.74 //
   māsasyāhāni triṃśattu yāni vai kavayo viduḥ /	mAsasya ahAni triMSat tu yAni vE kavayaH viduH /
   nirvāṇaratayo devā rātrayastu vihaṅgamāḥ // BndP_3,1.75 //	nirvANa ratayaH devAH rAtrayaH tu vihaFgamAH // Bndu _3,1.75 //
   gaṇastṛtīyo yaḥ prokte devatānāṃ bhaviṣyati /	gaNaH tRtIyaH yaH prokte devatAnAm Bavizyati /
   manojavā mūrūrttāstu iti devāḥ prakīrtitāḥ // BndP_3,1.76 //	manojavAH mUrUrttAH tu iti devAH prakIrtitAH // Bndu _3,1.76 //
   ete hi brahmaṇaḥ putrā bhaviṣyā mānavāḥ smṛtāḥ /	ete hi brahmaNaH putrAH BavizyAH mAnavAH smRtAH /
   teṣāmidro vṛṣā nāma bhaviṣyaḥ surarāṭ tataḥ // BndP_3,1.77 //	tezAm idraH vRzAH nAma BavizyaH surarAj tatas // Bndu _3,1.77 //
   teṣāṃ saptaṛṣīṃścāpi kīrtyamānānnivaudhata /	tezAm sapta RzIn= ca api kIrtyamAnAn nivOData /
   haviṣmānkāśyapaścāpi vapuṣmāṃścaiva bhārgavaḥ // BndP_3,1.78 //	havizmAn kASyapaH ca api vapuzmAn= ca eva BArgavaH // Bndu _3,1.78 //
   āruṇiśca tathātreyo vasiṣṭho naga eva ca /	AruNiH ca taTA AtreyaH vasizWaH nagaH eva ca /
   puṣṭirāṅgiraso jñeyaḥ paulastyo niścarastathā // BndP_3,1.79 //	puzwiH AFgirasaH jQeyaH pOlastyaH niScaraH taTA // Bndu _3,1.79 //
   paulaho hyatitejaśca devā hyekādaśentare /	pOlahaH hi ati tejaH ca devAH hi ekAdaSa intare /
   sarvavegaḥ sudharmā ca devānīkaḥ purovahaḥ // BndP_3,1.80 //	sarva vegaH suDarmA ca devAnIkaH puras vahaH // Bndu _3,1.80 //
   kṣemadharmā graheṣuśca ādarśaḥ paiṇḍrako maruḥ /	kzema DarmAH graha izuH ca AdarSaH pENxrakaH maruH /
   sāvarṇasya tu te putrāḥ prājāpatyasya vai nava // BndP_3,1.81 //	sAvarNasya tu te putrAH prAjApatyasya vE nava // Bndu _3,1.81 //
   dvādaśe tvatha paryāye rudraputrasya vai manoḥ /	dvAdaSe tu aTa paryAye rudra putrasya vE manoH /
   caturtho rudrasāvarṇo devāṃstasyāntare śṛṇu // BndP_3,1.82 //	caturTaH rudrasAvarNaH devAn= tasya antare SRNu // Bndu _3,1.82 //
   pañcaiva tugaṇāḥ proktā devatānāmanāgatāḥ /	paQca eva tugaNAH proktAH devatAnAm anAgatAH /
   haritā rohitāścaiva devāḥ sumanasastathā // BndP_3,1.83 //	haritAH rohitAH ca eva devAH sumanasaH taTA // Bndu _3,1.83 //
   sukarmāṇaḥ sutaraśca vidvāṃścaiva sahasradaḥ /	sukarmANaH sutaraH ca vidvAn= ca eva sahasra daH /
   parvato 'nu caraścaiva apāśuśca manojavaḥ // BndP_3,1.84 //	parvataH anu caraH ca eva apASuH ca manojavaH // Bndu _3,1.84 //
   ūrjā svāhā svadhā tārā daśete haritāḥ smṛtāḥ /	UrjA svAhA svaDA tArAH daSete haritAH smRtAH /
   tapo jñānī mṛtiścaiva varcā bandhuśca yaḥ smṛtaḥ // BndP_3,1.85 //	tapaH jQAnI mRtiH ca eva varcAH banDuH ca yaH smRtaH // Bndu _3,1.85 //
   rajaścaiva tu rājaśca svarṇapādastathaiva ca /	rajaH ca eva tu rAjaH ca svarNa pAdaH taTA eva ca /
   puṣṭirvidhiśca vai devā daśaite rohitāḥ smṛtāḥ // BndP_3,1.86 //	puzwiH viDiH ca vE devAH daSA ete rohitAH smRtAH // Bndu _3,1.86 //
   tuṣtādyāstu ye devāstraya striṃśatprakīrtitāḥ /	tuzta AdyAH tu ye devAH traya striMSat prakIrtitAH /
   te vai sumanaso vedyānnibodhata sukarmaṇaḥ // BndP_3,1.87 //	te vE sumanasaH vedyAn niboData sukarmaNaH // Bndu _3,1.87 //
   suparvā vṛṣabhaḥ pṛṣṭā kapidyumnavipaścitaḥ /	suparvA vRzaBaH pRzwA kapidyumna vipaScitaH /
   vikramaśca kramaścaiva vibhṛtaḥ kānta eva ca // BndP_3,1.88 //	vikramaH ca kramaH ca eva viBRtaH kAntaH eva ca // Bndu _3,1.88 //
   ete devāḥ sukarmāṇaḥ sutarāṃśca nibodhata /	ete devAH sukarmANaH sutarAn= ca niboData /
   varṣo divyastathāñjiṣṭho varcasvī dyutimānkaviḥ // BndP_3,1.89 //	varzaH divyaH taTA aQjizWaH varcasvI dyutimAn kaviH // Bndu _3,1.89 //
