   atha tṛtīyo 'dhyāyaḥ /	aTa tRtIyaH aDyAyaH /
   tāsvārambhikāsvābhyupagatāsvitaradapi bhūtadvayamavaśyamabhyupagantavyaṃ	tAsu AramBikA svAByupagatAsu itarat api BUta dvayam avaSyam aByupagantavyam
   bhavati /	Bavati /
   tryātmakaśca dehastrayāṇāmapi tejobannānāṃ tasminkāryopalabdheḥ /	tri AtmakaH ca dehaH trayANAm api tejaH bannAnAm tasmin kArya upalabDeH /
   punaśca tryātmakastridhātutvāttribhirvātapittaśleṣmābhiḥ /	punar ca tri AtmakaH tri DAtu tvAt triBiH vAta pitta SlezmABiH /
   na sa bhūtāntarāṇi pratyākhyāya kevalābhiradbhirārabdhuṃ śakyate /	na sa BUta antarANi pratyAKyAya kevalABiH adBiH ArabDum Sakyate /
   tasmādbhūyastvāpekṣo 'yamāpaḥ puruṣavacasa iti /	tasmAt BUyaH tva apekzaH ayam ApaH puruza vacasaH iti /
   praś naprativacanayorapśabdo na kaivalyāpekṣaḥ /	praH na prativacanayoH ap SabdaH na kEvalya apekzaH /
   sarvadeheṣu hi rasalohitādidravadravyabhūyastvaṃ dṛśyate /	sarva dehezu hi rasa lohita Adi drava dravya BUyaH tvam dRSyate /
   nanu pārthivo dhāturbhūyiṣṭho deheṣūpalakṣyate /	nanu pArTivaH DAtuH BUyizWaH dehezu upalakzyate /
   naiṣa doṣaḥ /	na eza dozaH /
   itarāpekṣayāpyapā bāhulyaṃ bhaviṣyati /	itara apekzayA api apA bAhulyam Bavizyati /
   dṛśyate ca śukraśoṇitalakṣaṇe 'pi dehabīje dravabāhulyam /	dRSyate ca Sukra SoNita lakzaNe api deha bIje drava bAhulyam /
   karma ca nimittakāraṇaṃ dehāntarārambhe /	karma ca nimitta kAraNam deha antara AramBe /
   karmāṇi cāgnihotrādīni somājyapayaḥprabhṛtidravadravyavyapāśrayāṇi /	karmANi ca agnihotra AdIni soma Ajya payaH praBRti drava dravya vyapASrayANi /
   karmasamavāyiścāpaḥ śraddhāśabdoditāḥ saha karmabhirdyulokākhye 'gnau	karma samavAyiH ca apaH SradDA Sabda uditAH saha karmaBiH dyu loka AKye agnO
   hūyanta iti vakṣyati /	hUyante iti vakzyati /
   tasmādapyapāṃ bāhulyaprasiddhiḥ /	tasmAt api apAm bAhulya prasidDiH /
   bāhulyāccāpśabdena sarveṣāmeva dehabījānāṃ bhūtasūkṣmāṇāmupādānamiti	bAhulyAt cApSabdena sarvezAm eva deha bIjAnAm BUta sUkzmANAm upAdAnam iti
   niravadyam // 2 //	niravadyam // 2 //
   prāṇagateś ca | BBs_3,1.3 |	prANa gateH ca | BBH _3,1.3 |
   prāṇānāṃ ca dehāntarapratipattau gatiḥ śrāvyate  'tamutkrāmantaṃ prāṇo	prANAnAm ca deha antara pratipattO gatiH SrAvyate  atam utkrAmantam prANaH 
   'nūtkrāmati prāṇamanūtkrāmantaṃ sarve prāṇā anūtkrāmanti' (bṛ. 4.4.2)	anUtkrAmati prANam anUtkrAmantam sarve prANAH anUtkrAmanti a (bR. 4.4.2)
   ityādiśrutibhiḥ /	ityAdi SrutiBiH /
   sā ca prāṇānāṃ gatirnāśrayamantareṇa saṃbhavatītyataḥ prāṇagatiprayuktā	sA ca prANAnAm gatiH na ASrayam antareNa saMBavati iti atas prANa gati prayuktA
   tadāśrayabhūtānāmapāpamapi bhūtāntaropasṛṣṭānāṃ gatiravagamyate /	tad ASraya BUtAnAm apApam api BUta antara upasRzwAnAm gatiH avagamyate /
   nahi nirāśrayāḥ prāṇāḥ kvacidgacchanti tiṣṭhanti vā jīvato darśanāt // 3	na hi nirASrayAH prANAH kvacid gacCanti tizWanti vA jIvataH darSanAt // 3
   agnyādigatiśruter iti cen na bhāktatvāt | BBs_3,1.4 |	agni Adi gati SruteH iti ced na BAkta tvAt | BBH _3,1.4 |
   syādetat /	syAt etat /
   naiva prāṇā dehāntarapratipattau saha jīvena gacchanti agnyādigatiśruteḥ /	na eva prANAH deha antara pratipattO saha jIvena gacCanti agni Adi gati SruteH /
   tathāhi śrutirmaraṇakāle vāgādayaḥ prāṇā agnyādīndevāgacchatīti darśayati 	taTA hi SrutiH maraNa kAle vAc AdayaH prANAH agni Adi in deva AgacCati iti darSayati 
   'yatrāsya puruṣasya mṛtasyāgniṃ vāgapyeti vātaṃ prāṇaḥ' (bṛ. 3.2.13)	ayatra asya puruzasya mRtasya agnim vAc apya iti vAtam prANaH a (bR. 3.2.13)
   ityādineti cet /	ityAdinA iti ced /
   na /	na /
   bhāktatvāt /	BAkta tvAt /
   vāgādīnāmagnyādigatiśrutirgauṇī keśeṣu cādarśanāt /	vAc AdInAm agni Adi gati SrutiH gONI keSezu ca adarSanAt /
   'oṣadhīrlomāni vanaspatīnkeśāḥ' (bṛ. 3.2.13) iti hi tatrāmnāyate /	aozaDIH lomAni vanaspatIn keSAH a (bR. 3.2.13) iti hi tatra AmnAyate /
   nahi lomāni keśāścotplutyauṣadhīrvanaspatīṃśca gacchantīti saṃbhavati /	na hi lomAni keSAH ca utplutya ozaDIH vanaspatIn= ca gacCanti iti saMBavati /
   naca jīvasya prāṇopādhipratyākhyāne gamanamavakalpyate /	na ca jIvasya prANa upADi pratyAKyAne gamanam avakalpyate /
   nāpi prāṇairvinā dehāntara upabhoga upapadyate /	na api prANEH vinA deha antaraH upaBogaH upapadyate /
   vispaṣṭaṃ ca prāṇānāṃ saha jīvena gamanamanyatra śrāvitam /	vispazwam ca prANAnAm saha jIvena gamanam anyatra SrAvitam /
   ato vāgādyadhiṣṭhātrīṇāmagnyādidevatānāṃ vāgādyupakāriṇīnāṃ maraṇakāla	atas vAc Adi aDizWAtrINAm agni Adi devatAnAm vAc Adi upakAriNInAm maraNa kAla
   upakāranivṛttimātramapekṣya vāgādayo 'gnyādīngacchantītyupacaryate // 4 //	upakAra nivRtti mAtram apekzya vAc AdayaH agni AdIn gacCanti iti upacaryate // 4 //
   FN: anyatra tamutkrāmantamityādau /	FN: anyatra tam utkrAmantam iti AdO /
   prathame 'śravaṇād iti cen na tā eva hy upapatteḥ | BBs_3,1.5 |	praTame aSravaNAt iti ced na tAH eva hi upapatteH | BBH _3,1.5 |
   syādetat /	syAt etat /
   kathaṃ punaḥ 'pañcamyāmāhutāvāpaḥ puruṣavacaso bhavanti' (chā. 5.3.3)	kaTam punar apaQcamyAm AhutA vApaH puruza vacasaH Bavanti a (CA. 5.3.3)
   ityetannirdhārayituṃ pāryate /	iti etat nirDArayitum pAryate /
   yāvatā naiva prathame 'gnāvapāṃ śravaṇamasti /	yAvatA na eva praTame agnO= apAm SravaNam asti /
   iha hi dyulokaprabhṛtayaḥ pañcāgnayaḥ pañcānāmāhutīnāmādāratvenādhītāḥ /	iha hi dyuloka praBRtayaH paQca agnayaH paQcAnAm AhutInAm AdAra tvena aDItAH /
   teṣāṃ ca pramukhe 'asau vāva loko gautamāgniḥ' (chā. 5.4.1) ityupakramya	tezAm ca pramuKe aasO vAva lokaH gOtama agniH a (CA. 5.4.1) iti upakramya
   'tasminnetasminnagnau devāḥ śraddhāṃ juhvati' (chā. 5.4.2)	atasmin= etasmin= agnO devAH SradDAm juhvati a (CA. 5.4.2)
   iti śraddhā haumyadravyatvenāveditā /	iti SradDA hOmya dravya tvena AveditA /
   na tatrāpo haumyadravyatayā śrutāḥ /	na tatra apaH hOmya dravya tayA SrutAH /
   yadi nāma parjanyādiṣūttareṣu caturṣvagniṣvapāṃ haumyadravyatā	yadi nAma parjanya Adizu uttarezu caturzu agnizu apAm hOmya dravya tA
   parikalpyeta parikalpyatāṃ nāma /	parikalpyeta parikalpyatAm nAma /
   teṣu hotavyatayopāttānāṃ somādīnāmabbahulatvopapatteḥ /	tezu hotavya tayA upAttAnAm soma AdInAm ap bahula tva upapatteH /
   prathame tvagnau śrutāṃ śraddhāṃ parityajyāśrutā āpaḥ parikalpyanta iti	praTame tu agnO SrutAm SradDAm parityajya aSru tAH ApaH parikalpyante iti
   sāhasametat /	sAhasam etat /
   śraddhā ca nāma pratyayaviśeṣaḥ prasiddhisāmarthyāt /	SradDA ca nAma pratyaya viSezaH prasidDi sAmarTyAt /
   tasmādayuktaḥ pañcamyāhutāvapāṃ puruṣabhāva iti cet /	tasmAt ayuktaH paQcamI AhutO= apAm puruza BAvaH iti ced /
   naiṣa doṣaḥ /	na eza dozaH /
   yatastatrāpi prathame 'gnau tā evāpaḥ śraddhāśabdenābhipreyante /	yatas tatra api praTame agnO tAH eva apaH SradDA Sabdena aBipreyante /
   kutaḥ upapatteḥ /	kutas upapatteH /
   evaṃhyādimadhyāvasānasaṃgānādanākulametadekavākyamupapadyate /	evaMhi Adi maDya avasAna saMgAnAt anAkulam etat eka vAkyam upapadyate /
   itarathā punaḥ pañcamyāmāhutāvapāṃ puruṣavacastvaprakāre pṛṣṭe	itaraTA punar paQcamyAm AhutAvapAm puruza vacaH tu aprakAre pRzwe
   prativacanāvasare prathamāhutisthāne yadyanapo haumyadravyaṃ śraddhāṃ	prativacana avasare praTama Ahuti sTAne yadi anapaH hOmya dravyam SradDAm
   nāmāvatārayettato 'nyathā praśno 'nyathā prativacanamityekavākyatā na syāt	nAma avatArayet tatas anyaTA praSnaH anyaTA prativacanam iti eka vAkyatA na syAt 
   'iti tu pañcamyāmāhutāvāpaḥ puruṣavacaso bhavanti' iti	aiti tu paQcamyAm AhutAvApaH puruza vacasaH Bavanti a iti
   copasaṃharannetadeva darśayati /	ca upasaMharan= etat eva darSayati /
   śraddhākāryaṃ ca somavṛṣṭyādi sthūlībhavadabbahulaṃ lakṣyate /	SradDA kAryam ca soma vRzwi Adi sTUlIBavat abbahulam lakzyate /
   sā ca śraddhāyā aptve yuktiḥ /	sA ca SradDAyAH ap tve yuktiH /
   kāraṇānurūpaṃ hi kāryaṃ bhavati /	kAraNa anurUpam hi kAryam Bavati /
   naca śraddhākhyaḥ pratyayo manaso jīvasya vā dharmaḥ sandharmiṇo niṣkṛṣya	na ca SradDA AKyaH pratyayaH manasaH jIvasya vA DarmaH sanDarmiNaH nizkRzya
   homāyoṣādātuṃ śakyate paśvādibhya iva hṛdayādīnityāpa eva śraddhāśabdā	homa ayozA dAtum Sakyate paSu AdiByaH iva hRdaya AdIn iti ApaH eva SradDA SabdA
   bhaveyuḥ /	BaveyuH /
   śraddhāśabdaścāpsūpapadyate, vaidikaprayogadarśanāt 'śraddhā vā āpaḥ' iti	SradDA SabdaH ca apsu upapadyate, vEdika prayoga darSanAt aSradDA vA ApaH a iti
   tanutvaṃ śraddhāsārūpyaṃ gacchantya āpo dehabījabhūtā ityataḥ	tanu tvam SradDA sArUpyam gacCantyaH ApaH deha bIja BUtAH iti atas 
   śraddhāśabdāḥ syuḥ /	SradDA SabdAH syuH /
   yathā siṃhaparākramo naraḥ siṃhaśabdo bhavati /	yaTA siMha parAkramaH naraH siMha SabdaH Bavati /
   śraddhāpūrvakakarmasamavāyāccāpsu śraddhāśabda upapadyate, mañcaśabda iva	SradDA pUrvaka karma samavAyAt ca apsu SradDA SabdaH upapadyate, maQca SabdaH iva
   puruṣeṣu /	puruzezu /
   śraddhāhetutvācca śraddhāśabdopapattiḥ 'apo hāsmai śraddhāṃ saṃnamante	SradDA hetu tvAt ca SradDA Sabda upapattiH aapaH ha asmE SradDAm saMnamante
   puṇyāya karmaṇe' iti śruteḥ // 5 //	puNyAya karmaNe a iti SruteH // 5 //
   FN: saṃgānaṃ tamutkrāmantamityādau /	FN: saMgAnam tam utkrAmantam iti AdO /
   anapaḥ abdyo 'nyataḥ /	anapaH abdyaH anyatas /
   asmai yajamānāya /	asmE yajamAnAya /
   saṃnamante janayanti /	saMnamante janayanti /
   aśrutatvād iti cen neṣṭādikāriṇāṃ pratīteḥ | BBs_3,1.6 |	aSruta tvAt iti ced na izwa Adi kAriNAm pratIteH | BBH _3,1.6 |
   athāpi syātprativacanābhyāṃ nāmāpaḥ śraddhādikrameṇa pañcamyāmāhutau	aTa api syAt prativacanAByAm nAma apaH SradDA Adi krameNa paQcamyAm AhutO
   puruṣākāraṃ pratipadyeran /	puruza AkAram pratipadyeran /
   natu tatsaṃpariṣvaktā jīvā raṃheyuḥ /	na tu tad saMparizvaktAH jIvAH raMheyuH /
   aśrutatvāt /	aSruta tvAt /
   nahyatrāpāmiva jīvānāṃ śrāvayitā kaścicchabdo 'sti /	na hi atrApAm iva jIvAnAm SrAvayitA kaScid SabdaH asti /
   tasmādraṃhati saṃpariṣvakta ityayuktamiti cet /	tasmAt raMhati saMparizvaktaH iti ayuktam iti ced /
   naiṣa doṣaḥ /	na eza dozaH /
   kutaḥ   iṣṭādikāriṇāṃ pratīteḥ /	kutas  izwa Adi kAriNAm pratIteH /
   'atha ya ime grāma iṣṭāpūrte dattamityupāsate te dhūmamabhisaṃbhavanti'	aaTa ye ime grAmaH izwApUrte dattam iti upAsate te DUmam aBisaMBavanti a
   (chā. 5.10.6) ityupakramyeṣṭādikāriṇāṃ dhūmādinā pitṛyāṇena pathā	(CA. 5.10.6) iti upakramya izwa Adi kAriNAm DUma AdinA pitRyANena paTA
   candraprāptiṃ kathayati  'ākāśāccandramasameṣa somo rājā' (chā. 5.10.4)	candra prAptim kaTayati aAkASAt candramasam eza somaH rAjA a (CA. 5.10.4)
   iti /	iti /
   ta evehāpi pratīyante 'tasminnetasminnagnau devāḥ śraddhāṃ juhvati tasyā	te eva iha api pratIyante atasmin= etasmin= agnO devAH SradDAm juhvati tasyAH 
   āhuteḥ somo rājā saṃbhavati' (chā. 5.4.2) iti śrutisāmānyāt /	AhuteH somaH rAjA saMBavati a (CA. 5.4.2) iti Sruti sAmAnyAt /
   teṣāṃ cāgnihotrādarśapūrṇamāsādikarmasādhanabhūtā dadhipayaḥprabhṛtayo	tezAm ca agnihotra AdarSa pUrNamAsa Adi karma sADana BUtAH daDi payaH praBRtayo
   dravadravyabhūyastvātpratyakṣamevāpaḥ santi /	drava dravya BUyaH tvAt pratyakzam eva apaH santi /
   tāṃ āhavanīye hutāḥ sūkṣmā āhutyo 'pūrvarūpāḥ satyastāniṣṭādikāriṇa	tAm AhavanIye hutAH sUkzmAH AhutyaH apUrvarUpAH satyaH tAn izwa Adi kAriNa
   āśrayanti /	ASrayanti /
   teṣāṃ ca śarīraṃ naidhanena vidhānenāntye 'grāvṛtvijo juhvati 'asau	tezAm ca SarIram nEDanena viDAnena antye agrO= RtvijaH juhvati aasO
   svargāya lokāya svāhā' iti /	svargAya lokAya svAhA a iti /
   tatastāḥ śraddhāpūrvakakarmasamavāyinya āhutimayya āpo 'pūrvarūpāḥ	tatas tAH SradDA pUrvaka karma samavAyinyaH Ahuti mayyaH ApaH apUrvarUpAH
   satyastāniṣṭādikāriṇo jīvānpariveṣṭayāmuṃ lokaṃ phaladānāya nayantīti	satyaH tAn izwa Adi kAriNaH jIvAn parivezwayA amum lokam Pala dAnAya nayanti iti
   yattadatra juhotinābhidhīyate  'śraddhāṃ juhvati' (bṛ. 6.2.9) iti /	yat tat atra juhotinA aBiDIyate  aSradDAm juhvati a (bR. 6.2.9) iti /
   tathācāgnihotre ṣaṭpraśnīnirvacanarūpeṇa vākyaśeṣeṇa 'te vā ete āhutī hute	taTA ca agnihotre zaz praSnI niH vacana rUpeNa vAkya SezeNa ate vE ete AhutI hute
   utkrāmataḥ' ityevamādināgnihotrāhutyoḥ phalārambhāya lokāntaraprāptiḥ	utkrAmataH a iti evamAdinA agnihotra AhutyoH Pala AramBAya loka antara prAptiH
   pradarśitā /	pradarSitA /
   tasmādāhutīmayībhiradbhiḥ saṃpariṣvaktā jīvā raṃhanti	tasmAt AhutImayIBiH adBiH saMparizvaktA jIvAH raMhanti
   svakarmaphalopabhogāyeti śliṣyate // 6 //	sva karma Pala upaBogAya iti Slizyate // 6 //
   FN: naidhanena antyeṣṭyākhyena /	FN: nEDanena antyezwi AKyena /
   asau svargāya gacchatviti mantrārthaḥ /	asO svargAya gacCatu iti mantra arTaH /
   kathaṃ punaridamiṣṭādikāriṇāṃ svakarmaphalopabhogāya raṃhaṇaṃ pratijñāyate	kaTam punar idam izwa Adi kAriNAm sva karma Pala upaBogAya raMhaNam pratijQAyate
   yāvatā teṣāṃ dhūmapratīkena vartmanā candramasamadhirūḍhānāmannabhāvaṃ	yAvatA tezAm DUma pratIkena vartmanA candramasam aDirUXAnAm anna BAvam
   darśayati  'eṣa somo rājā taddevānāmannaṃ te devā bhakṣayanti' (chā.	darSayati  aeza somaH rAjA tat devAnAm annam te devAH Bakzayanti a (CA.
   5.10.4) iti 'te candraṃ prāpyānnaṃ bhavanti tāṃstatra devā yathā somaṃ	5.10.4) iti ate candram prApya annam Bavanti tAn= tatra devAH yaTA somam
   rājānamapyāyasvāpakṣīyasvetyevamenāṃstatra bhakṣayanti' (bṛ. 6.2.16) iti	rAjAnam api Aya sva apakzIyasva iti evam enAn= tatra Bakzayanti a (bR. 6.2.16) iti
   ca samānaviṣayaṃ śrutyantaram /	ca samAna vizayam Sruti antaram /
   naca vyāghrādibhiriva devairbhakṣyamāṇānāmupabhogaḥ saṃbhavatīti /	na ca vyAGra AdiBiH iva devEH BakzyamANAnAm upaBogaH saMBavati iti /
   ata uttaraṃ paṭhati 	atas uttaram paWati 
   bhāktaṃ vānātmavittvāt tathā hi darśayati | BBs_3,1.7 |	BAktam vAnAtma vid tvAt taTA hi darSayati | BBH _3,1.7 |
   vāśabdaścoditadoṣavyāvartanārthaḥ /	vA SabdaH codita doza vyAvartana arTaH /
   bhāktameṣāmannatvaṃ na mukhyam /	BAktam ezAm anna tvam na muKyam /
   mukhye hyannatve svargakāmo yajeta ityevañjātīyakādhikāraśrutirupapadhyeta	muKye hi anna tve svarga kAmaH yajeta iti evan jAtIyaka aDikAra SrutiH upapaDyeta
