   akaveḥ śāstravedanam Bh_1.3d	akaveH SAstra-vedanam Bh_1.3d
   anyaṃ vyañjanacārutā Bh_6.28d	anyam vyaQjana-cAru-tA Bh_6.28d
   anyāpohaśca nāmānya- Bh_6.16c	anya-apohaH-ca nAma-anya Bh_6.16c
   anyāpohena vastunaḥ Bh_3.41b	anya-apohena vastunaH Bh_3.41b
   anyāpohena śabdo 'rtham Bh_6.16a	anya-apohena SabdaH arTam Bh_6.16a
   anyārthaṃ vigame yathā Bh_1.40b	anya-arTam vigame yaTA Bh_1.40b
   anyena vyapadiśyate Bh_5.10d	anyena vyapadiSyate Bh_5.10d
   anye śabdārthabhedataḥ Bh_4.12d	anye Sabda-arTa-BedataH Bh_4.12d
   anyeṣāmapi kartavyā Bh_3.52a	anyezAm-api kartavyA Bh_3.52a
   anyaiḥ svacaritaṃ tasyāṃ Bh_1.29a	anyEH sva-caritam tasyAm Bh_1.29a
   anyotkarṣābhidhitsayā Bh_1.22d	anya-utkarza-aBiDitsayA Bh_1.22d
   anyo 'pyasāveka iva Bh_5.24c	anyaH api-asO=-ekaH iva Bh_5.24c
   anvamīyanta bhṛṅgāli- Bh_2.82c	anvamIyanta BRFga-Ali Bh_2.82c
   anvayavyatirekābhyāṃ Bh_5.50c	anvaya-vyatirekAByAm Bh_5.50c
   anvayavyatirekau hi Bh_5.48a	anvaya-vyatirekO hi Bh_5.48a
   apabhraṃśa iti tridhā Bh_1.16d	apaBraMSaH iti triDA Bh_1.16d
   aparaṃ vakṣyate nyāya- Bh_5.30a	aparam vakzyate nyAya Bh_5.30a
   aparyantārthavartinām Bh_6.22b	aparyanta-arTa-vartinAm Bh_6.22b
   apavādavidhijñāne Bh_6.18c	apavAda-viDi-jQAne Bh_6.18c
   apavṛttau raveriha Bh_5.51d	apavRttO raveH-iha Bh_5.51d
   apahnutirabhīṣṭā ca Bh_3.21a	apahnutiH-aBIzwA ca Bh_3.21a
   apahnutiṃ viśeṣoktaṃ Bh_3.2a	apahnutim viSeza-uktam Bh_3.2a
   apāmabhyarṇavartitvād Bh_5.53c	apAm-aByarNa-varti-tvAt Bh_5.53c
   apārthamityapetārthaṃ Bh_4.3a	apArTam-iti-apeta-arTam Bh_4.3a
   apārthaṃ vyarthamekārthaṃ Bh_4.1a	apArTam vyarTam-eka-arTam Bh_4.1a
   apāṃ yadi tvakchithilā Bh_2.83a	apAm yadi tvac-SiTilA Bh_2.83a
   api vā nopadiśyate Bh_4.28b	api vA na-upadiSyate Bh_4.28b
   apītamattāḥ śikhino Bh_2.78a	apIta-mattAH SiKinaH Bh_2.78a
   apuṣṭārthamavaktrokti Bh_1.34a	apuzwa-arTam-avaktra-ukti Bh_1.34a
   apṛthakkṛtasādhyo 'pi Bh_5.50a	apRTak-kRta-sADyaH api Bh_5.50a
   apetaṃ yattayā yathā Bh_4.38d	apetam yat-tayA yaTA Bh_4.38d
   apratiṣṭhaṃ yadatreti Bh_4.17c	apratizWam yat-atra-iti Bh_4.17c
   aprastutapraśaṃsāṃ ca Bh_3.2c	aprastuta-praSaMsAm ca Bh_3.2c
   aprastutapraśaṃseti Bh_3.29c	aprastuta-praSaMsA-iti Bh_3.29c
   abhāryoḍhena saṃskāram Bh_4.49a	aBArya-UXena saMskAram Bh_4.49a
   abhijātaḥ kathaṃ janaḥ Bh_1.29d	aBijAtaH kaTam janaH Bh_1.29d
   abhidheyā virodhitā Bh_4.34d	aBiDeyAH viroDitA Bh_4.34d
   abhidheyaiḥ parasparam Bh_2.17b	aBiDeyEH parasparam Bh_2.17b
   abhinnalakṣaṇaḥ pakṣaḥ Bh_5.22c	aBinna-lakzaNaH pakzaH Bh_5.22c
   abhiprāyātkavernātra Bh_2.60c	aBiprAyAt-kaveH-na-atra Bh_2.60c
   abhyadhāccāraśūnyatām Bh_4.39d	aByaDAt-cAra-SUnyatAm Bh_4.39d
   abhyastājjheradādeśe Bh_6.58a	aByastAt-JeradA-deSe Bh_6.58a
   abhyasteṣu prayoktavyam Bh_6.59a	aByastezu prayoktavyam Bh_6.59a
   abhyupetān gurūnapi Bh_2.74b	aByupetAn gurUn-api Bh_2.74b
   abhyupaiti yathocyate Bh_5.45d	aByupEti yaTA-ucyate Bh_5.45d
   abhyūhyamanayā diśā Bh_2.95d	aByUhyam-anayA diSA Bh_2.95d
   abhraṣṭakaluṣaṃ jalam Bh_2.78d	aBrazwa-kaluzam jalam Bh_2.78d
   amidbhiḥ śubhradṛgdṛṣṭair Bh_1.46c	amidBiH SuBra-dRS-dRzwEH Bh_1.46c
   amī kusumasaurabhāt Bh_5.53b	amI kusuma-sOraBAt Bh_5.53b
   amī nṛpā dattasamagraśāsanāḥ Bh_2.15a	amI nRpAH datta-samagra-SAsanAH Bh_2.15a
   amuṃ vyākaraṇārṇavam Bh_6.3b	amum vyAkaraNa-arNavam Bh_6.3b
   amūni kurvate 'nvarthām Bh_2.26a	amUni kurvate anvarTAm Bh_2.26a
   amedhobhirasūyitam Bh_6.2b	ameDoBiH-asUyitam Bh_6.2b
   ambhojamiva vaktraṃ te Bh_3.38c	amBojam-iva vaktram te Bh_3.38c
   ayamarthāntaranyāsaḥ Bh_2.73c	ayam-arTa-antaranyAsaH Bh_2.73c
   ayamākṛṣyamāṇasya Bh_3.22c	ayam-AkRzyamANasya Bh_3.22c
   ayaṃ padmāsanāsīnaś Bh_2.55a	ayam padmAsana-AsInaH Bh_2.55a
   ayaṃ mandadyutirbhāsvān Bh_3.34a	ayam manda-dyutiH-BAsvAn Bh_3.34a
   ayaṃ hi madhyamagrāmo Bh_4.33c	ayam hi maDyama-grAmaH Bh_4.33c
   ayuktimad yathā dūtā Bh_1.42a	ayuktimat yaTA dUtAH Bh_1.42a
   arthajñānaphalāḥ śabdā Bh_6.18a	arTa-jQAna-PalAH SabdAH Bh_6.18a
   arthaduṣṭaṃ punarjñeyaṃ Bh_1.50a	arTa-duzwam punar-jQeyam Bh_1.50a
   arthapratītaye gītaḥ Bh_6.8c	arTa-pratItaye gItaH Bh_6.8c
   arthavān varṇasaṃghātaḥ Bh_4.3c	arTavAn varNa-saMGAtaH Bh_4.3c
   arthasya tadavasthatvaṃ Bh_2.93c	arTasya tad-avasTa-tvam Bh_2.93c
   arthādeveti rūpādes Bh_5.10a	arTAt-eva-iti rUpa-AdeH Bh_5.10a
   arthānāmasadharmaṇām Bh_2.89b	arTAnAm-asaDarmaNAm Bh_2.89b
   arthāntaranyāsavatī Bh_3.41c	arTa-antaranyAsavatI Bh_3.41c
   arthyaṃ nyāyyamanākulam Bh_1.35b	arTyam nyAyyam-anAkulam Bh_1.35b
   alaṅkāratayā matā Bh_3.55b	alaFkAra-tayA matA Bh_3.55b
   alaṅkāratayā yathā Bh_2.81d	alaFkAra-tayA yaTA Bh_2.81d
   alaṅkāradvayaṃ viduḥ Bh_2.88b	alaFkAra-dvayam viduH Bh_2.88b
   alaṃkariṣṇunā vaṃśaṃ Bh_4.48c	alaMkarizNunA vaMSam Bh_4.48c
   alaṃ kartumayaṃ janam Bh_6.3d	alam kartu-mayam janam Bh_6.3d
   alaṃkāravadagrāmyam Bh_1.35a	alaMkAra-vat-agrAmyam Bh_1.35a
   alaṃkāraṃ sumedhasaḥ Bh_3.4d	alaMkAram sumeDasaH Bh_3.4d
   alaṃkārāya kalpate Bh_5.66d	alaMkArAya kalpate Bh_5.66d
   avagamya svadhiyā ca kāvyalakṣma Bh_6.64b	avagamya sva-DiyA ca kAvya-lakzma Bh_6.64b
   avalokya matāni satkavīnām Bh_6.64a	avalokya matAni sat-kavInAm Bh_6.64a
   avastukaṃ cedvitathaṃ Bh_5.8c	avastukam ced-vitaTam Bh_5.8c
   avācakamayuktimat Bh_1.37b	avAcakam-ayuktimat Bh_1.37b
   avāco 'vyaktavācaśca Bh_1.43a	avAcaH avyakta-vAcaH-ca Bh_1.43a
   avādīdviduro yathā Bh_3.5b	avAdIt-viduraH yaTA Bh_3.5b
   avigāhyo 'si nārīṇām Bh_2.53a	avigAhyaH asi nArINAm Bh_2.53a
   avivakṣitasāmānyā Bh_2.91a	avivakzita-sAmAnyA Bh_2.91a
   asantamapi yadvākyaṃ Bh_6.41a	asantam-api yat-vAkyam Bh_6.41a
   asabhyavastuviṣayā Bh_1.50c	asaBya-vastu-vizayA Bh_1.50c
   asambhavādayaṃ yuktyā Bh_2.48c	asamBavAt-ayam yuktyA Bh_2.48c
   asaṃgṛhītamapyanyad Bh_2.95c	asaMgRhItam-api-anyat Bh_2.95c
   asādṛśyavivakṣātas Bh_3.45c	asAdRSya-vivakzAtaH Bh_3.45c
   asādhāraṇasāmānya- Bh_5.5c	asADAraNa-sAmAnya Bh_5.5c
   asitartitugadricchit Bh_1.46a	asita-Rti-tugadrit-Cit Bh_1.46a
   asisaṃkāśamākāśaṃ Bh_5.34a	asi-saMkASam-AkASam Bh_5.34a
   asau dadhadalaṃkāraṃ Bh_6.59c	asO daDat-alaMkAram Bh_6.59c
   asau śuklāntanetratvāc Bh_5.54a	asO Sukla-anta-netra-tvAt Bh_5.54a
   astaṃ prati yiyāsati Bh_3.34b	astam prati yiyAsati Bh_3.34b
   astyātmā prakṛtirveti Bh_5.15a	asti-AtmA prakRtiH-vA-iti Bh_5.15a
   asmiñ jahīhi suhṛdi praṇayābhyasūyām Bh_3.56a	asmin jahIhi suhRdi praNaya-aByasUyAm Bh_3.56a
   asya ca kriyate bhidā Bh_3.17b	asya ca kriyate BidA Bh_3.17b
   asyanto vividhānyājāv Bh_4.44a	asyantaH viviDAn-i-AjO Bh_4.44a
   asyākhyāmarthadīpanāt Bh_2.26b	asya-AKyAm-arTa-dIpanAt Bh_2.26b
   asyāṃ suvarṇālaṃkāraḥ Bh_6.30c	asyAm suvarNa-alaMkAraH Bh_6.30c
   ahaṃ tvāṃ yadi nekṣeya Bh_2.69a	aham tvAm yadi na-Ikzeya Bh_2.69a
   ahighnapadmasya jalāridhāmnas Bh_5.63c	ahi-Gna-padmasya jala-ari-DAmnaH Bh_5.63c
   ahṛdyamasunirbhedaṃ Bh_5.62a	ahRdyam-asu-nirBedam Bh_5.62a
   aho nu mandimā teṣāṃ Bh_4.41c	aho nu mandimA tezAm Bh_4.41c
   aho bhāro mahān kaveḥ Bh_5.4d	aho BAraH mahAn kaveH Bh_5.4d
   aho sthemā mahārciṣaḥ Bh_5.34d	aho sTemA mahA-arcizaH Bh_5.34d
   aṃśumadbhiśca maṇibhiḥ Bh_5.64a	aMSumadBiH-ca maNiBiH Bh_5.64a
   ākumāramasandigdha- Bh_5.19a	AkumAram-asan-digDa Bh_5.19a
   ākrośannāhvayannanyān Bh_2.94a	AkroSan=-Ahvayan=-anyAn Bh_2.94a
   ākṣikaḥ śāstriko yathā Bh_6.52d	AkzikaH SAstrikaH yaTA Bh_6.52d
   ākṣepa iti taṃ santaḥ Bh_2.68c	AkzepaH iti tam santaH Bh_2.68c
   ākṣepo 'rthāntaranyāso Bh_2.66a	AkzepaH arTa-antaranyAsaH Bh_2.66a
   āgamāstattvadarśinaḥ Bh_5.33d	AgamAH-tattva-darSinaH Bh_5.33d
   āgamo dharmaśāstrāṇi Bh_4.47a	AgamaH Darma-SAstrANi Bh_4.47a
   ācakṣītāvinaśvaram Bh_5.17d	AcakzIta-avinaSvaram Bh_5.17d
   ādadhāne udaṃśunī Bh_4.27b	AdaDAne udaMSunI Bh_4.27b
   ādimadhyāntayamakaṃ Bh_2.9a	Adi-maDya-anta-yamakam Bh_2.9a
   ādimadhyāntaviṣayaṃ Bh_2.25a	Adi-maDya-anta-vizayam Bh_2.25a
   ādau madhyāntayorvā syād Bh_2.10c	AdO maDya-antayoH-vA syAt Bh_2.10c
   ādhāvanmaṇḍalai rudan Bh_2.94b	ADAvat-maNxalEH rudan Bh_2.94b
   ādhikyamupamānānāṃ Bh_2.61a	ADikyam-upamAnAnAm Bh_2.61a
   ādhikyaṃ kila na hyayam Bh_2.59b	ADikyam kila na hi-ayam Bh_2.59b
   ānandajairnayanavāribhirukṣatu tvām Bh_3.56d	Ananda-jEH-nayana-vAriBiH-ukzatu tvAm Bh_3.56d
   āpagevottitīrṣataḥ Bh_2.53d	ApagA-iva-uttitIrzataH Bh_2.53d
   āpāṇḍugaṇḍametatte Bh_1.56a	ApANxu-gaNxam-etat-te Bh_1.56a
   āmantaṃ ca vadet kvipi Bh_6.40b	Am-antam ca vadet kvipi Bh_6.40b
   āyudhānyaparādhinam Bh_4.44b	AyuDAni-aparADinam Bh_4.44b
   āvidvadaṅganābāla- Bh_2.3c	Avidvat-aFganA-bAla Bh_2.3c
   āvibhāti mude satām Bh_6.5b	AviBAti mude satAm Bh_6.5b
   āśīrapi ca keṣāṃcid Bh_3.55a	ASIH-api ca kezAMcid Bh_3.55a
   āśrayo naśyatīti ca Bh_5.35b	ASrayaH naSyati-iti ca Bh_5.35b
   āśliṣya gāḍhamamumānatamādareṇa Bh_3.56b	ASlizya gAXam-amumAnatam-AdareNa Bh_3.56b
   āsta eva nirātaṅkaṃ Bh_1.6c	Aste eva nirAtaFkam Bh_1.6c
   āhaturvyatirekiṇoḥ Bh_2.31b	AhatuH-vyatirekiNoH Bh_2.31b
   āhariṣyāmyamūmadya Bh_5.38a	AharizyAmi-amUm-adya Bh_5.38a
   āhūto na nivarte 'haṃ Bh_5.42a	AhUtaH na nivarte aham Bh_5.42a
   āhetyanye pracakṣate Bh_6.16b	Aha-iti-anye pracakzate Bh_6.16b
   icchantyacchāndasaṃ kila Bh_6.42b	icCanti-acCAndasam kila Bh_6.42b
   iti kecit pracakṣate Bh_2.93b	iti kecid pracakzate Bh_2.93b
   iti tadbhidyate tridhā Bh_2.25d	iti tat-Bidyate triDA Bh_2.25d
   iti dvayaikānugati- Bh_5.25c	iti dvaya-eka-anugati Bh_5.25c
   iti dharmavirodhinī Bh_5.41d	iti Darma-viroDinI Bh_5.41d
   iti nigaditāstāstā vācāmalaṅkṛtayo mayā Bh_5.69a	iti nigaditAH-tAH-tAH vAcAm-alaFkRtayaH mayA Bh_5.69a
   iti nirdiśyate yathā Bh_4.24d	iti nirdiSyate yaTA Bh_4.24d
   iti pañcaiva tadyathā Bh_2.10d	iti paQca-eva tat-yaTA Bh_2.10d
   iti prayuñjate santaḥ Bh_5.60c	iti prayuQjate santaH Bh_5.60c
   iti prayogasya yathā Bh_5.57a	iti prayogasya yaTA Bh_5.57a
   iti prāhurvisandhyadaḥ Bh_4.27d	iti prAhuH-visanDya-daH Bh_4.27d
   iti bhartṛnideśataḥ Bh_5.37b	iti BartR-nideSataH Bh_5.37b
   iti yuktyā na yujyate Bh_1.43d	iti yuktyA na yujyate Bh_1.43d
   iti vācāmalaṃkārāḥ Bh_2.4c	iti vAcAm-alaMkArAH Bh_2.4c
   iti vismayādvimṛśato 'pi me matis Bh_3.44c	iti vismayAt-vimRSataH api me matiH Bh_3.44c
   iti sādhāritaṃ mohād Bh_4.34a	iti sADAritam mohAt Bh_4.34a
   itihāsāśrayāḥ kathāḥ Bh_1.9b	itihAsa-ASrayAH kaTAH Bh_1.9b
   ityatra meghakariṇāṃ Bh_3.16c	iti-atra meGa-kariNAm Bh_3.16c
   ityanta īdṛśā varṇā Bh_6.13a	iti-ante IdRSAH varNAH Bh_6.13a
   ityaho vartma dustaram Bh_6.20d	iti-ahar vartma dustaram Bh_6.20d
   ityākhyātamapakramam Bh_4.20d	iti-AKyAtam-apakramam Bh_4.20d
   ityukta upamābhedo Bh_2.65a	iti-uktaH upamA-BedaH Bh_2.65a
   ityuktā tulyayogitā Bh_3.27d	iti-uktA tulyayogitAH Bh_3.27d
   ityetat pañcadhocyate Bh_2.9d	iti-etat paQcaDA-ucyate Bh_2.9d
   ityevamādi kiṃ kāvyaṃ Bh_2.87c	iti-evamAdi kim kAvyam Bh_2.87c
   ityevamādiruditā Bh_2.84a	iti-evamAdi-H-uditAH Bh_2.84a
   ityevaṃ vastupañcakam Bh_6.66b	iti-evam vastu-paQcakam Bh_6.66b
   idamaskhalitaṃ vratam Bh_3.42d	idam-asKalitam vratam Bh_3.42d
   idaṃ tu śāstragarbheṣu Bh_5.30c	idam tu SAstra-garBezu Bh_5.30c
   inacca phalabarhābhyāṃ Bh_6.56c	inat-ca Pala-barhAByAm Bh_6.56c
   iniḥ prayuktaḥ prāyeṇa Bh_6.57a	iniH prayuktaH prAyeNa Bh_6.57a
   indīvarābhanayanaṃ Bh_3.46c	indIvara-ABa-nayanam Bh_3.46c
   ibhakumbhanibhe bālā Bh_6.43a	iBa-kumBa-niBe bAlA Bh_6.43a
   iyattā kena vāmīṣāṃ Bh_6.22c	iyattA kena vA-amIzAm Bh_6.22c
   iyadevāstvato 'nyena Bh_2.69c	iyat-eva-astu-atas anyena Bh_2.69c
   iyaṃ candramukhī kanyā Bh_6.30a	iyam candra-muKI kanyA Bh_6.30a
   iṣṭakāryābhyupagamaṃ Bh_5.35c	izwa-kArya-aByupagamam Bh_5.35c
   iṣṭaṃ cātiśayārthatvam Bh_2.50c	izwam ca-atiSaya-arTa-tvam Bh_2.50c
   iṣṭaṃ niścitaye vākyaṃ Bh_4.18c	izwam niScitaye vAkyam Bh_4.18c
   iṣṭaḥ prayogo yugapad Bh_3.15c	izwaH prayogaH yugapad Bh_3.15c
   iṣṭā vācāmalaṃkṛtiḥ Bh_1.36d	izwA vAcAm-alaMkRtiH Bh_1.36d
   iṣṭyā yaścopapāditaḥ Bh_6.29b	izwyA yaH-ca-upapAditaH Bh_6.29b
   ihecchantyapare yathā Bh_2.8b	iha-icCanti-apare yaTA Bh_2.8b
   īdṛgarthābhidhāyinaḥ Bh_6.13b	IdRS-arTa-aBiDAyinaH Bh_6.13b
   uktamevābhidhāsyate Bh_4.13d	uktam-eva-aBiDAsyate Bh_4.13d
   uktasya punarākhyāne Bh_4.15c	uktasya punar-AKyAne Bh_4.15c
   uktasyārthasya dṛṣṭāntaḥ Bh_5.55a	uktasya-arTasya dRzwAntaH Bh_5.55a
   uktaṃ tadabhineyārtham Bh_1.24c	uktam tad-aBineya-arTam Bh_1.24c
   uktaṃ ṣaḍbhiḥ paricchedair Bh_6.66c	uktam zaxBiH paricCedEH Bh_6.66c
   uktādanyatra neṣyate Bh_5.56b	uktAt-anyatra na-izyate Bh_5.56b
   uktārthasya prayogo hi Bh_2.62c	ukta-arTasya prayogaH hi Bh_2.62c
   ukto 'nyaistasya vistaraḥ Bh_1.24d	uktaH anyEH-tasya vistaraH Bh_1.24d
   ucyate kāmamastīdaṃ Bh_2.57a	ucyate kAmam-asti-idam Bh_2.57a
   ucyete saviparyayau Bh_2.52b	ucyete sa-viparyayO Bh_2.52b
   utprekṣātiśayānvitā Bh_2.91d	utprekzA-atiSaya-anvitA Bh_2.91d
   utprekṣāvayavaṃ cānye Bh_3.4a	utprekza-avayavam ca-anye Bh_3.4a
   utprekṣāvayavo yathā Bh_3.47d	utprekzA-avayavaH yaTA Bh_3.47d
   utsavaḥ sudhiyāmeva Bh_2.20c	utsavaH suDiyAm-eva Bh_2.20c
   udayaḥ patanāyeti Bh_3.34c	udayaH patanAya-iti Bh_3.34c
   udāttaṃ śaktimān rāmo Bh_3.11a	udAttam SaktimAn rAmaH Bh_3.11a
   udūḍhaśiśirāsārān Bh_4.31a	udUXa-SiSira-AsArAn Bh_4.31a
   unnatā lokadayitā Bh_3.19a	unnatA loka-dayitA Bh_3.19a
   unmatta iva bhāṣate Bh_1.44b	unmattaH iva BAzate Bh_1.44b
   upakārāya kalpate Bh_1.45d	upakArAya kalpate Bh_1.45d
   upanyasanamanyasya Bh_2.71a	upanyasanam-anyasya Bh_2.71a
   upamāderalaṃkārād Bh_2.65c	upama-AdeH-alaMkArAt Bh_2.65c
   upamānavato 'rthasya Bh_2.75a	upamAnavataH arTasya Bh_2.75a
   upamānādhikatvaṃ ca Bh_2.39c	upamAna-aDika-tvam ca Bh_2.39c
   upamānena tattvaṃ ca Bh_3.43a	upamAnena tattvam ca Bh_3.43a
   upamānena tadbhāvam Bh_3.35a	upamAnena tad-BAvam Bh_3.35a
   upamānena yattattvam Bh_2.21a	upamAnena yat-tat-tvam Bh_2.21a
   upamānena yattattvam Bh_3.14a	upamAnena yat-tat-tvam Bh_3.14a
   upamānopameyatā Bh_3.45b	upamAna-upameya-tA Bh_3.45b
   upamānopameyatvaṃ Bh_3.37a	upamAna-upameya-tvam Bh_3.37a
   upamānopameyayoḥ Bh_3.15d	upamAna-upameyayoH Bh_3.15d
   upamārūpakaṃ cānyad Bh_3.3a	upamArUpakam ca-anyat Bh_3.3a
   upamārūpakaṃ yathā Bh_3.35d	upamArUpakam yaTA Bh_3.35d
   upamāsu prayujyate Bh_2.43d	upamAsu prayujyate Bh_2.43d
   upameyasya yatsāmyaṃ Bh_2.30c	upameyasya yat-sAmyam Bh_2.30c
   upameyasya rūpyate Bh_2.21b	upameyasya rUpyate Bh_2.21b
   upameyasya sādhayan Bh_3.35b	upameyasya sADayan Bh_3.35b
   upameyasya sādhyate Bh_3.14b	upameyasya sADyate Bh_3.14b
   upameyopamāmapi Bh_3.3b	upameya-upamAm-api Bh_3.3b
   upameyopamāṃ nāma Bh_3.37c	upameya-upamAm nAma Bh_3.37c
   upamotprekṣayoryathā Bh_2.50d	upama-utprekzayoH-yaTA Bh_2.50d
   upalapsye svayaṃ sītām Bh_5.37a	upalapsye svayam sItAm Bh_5.37a
   upāntarūḍhopavanac- Bh_3.26a	upAnta-rUXa-upavana-c Bh_3.26a
   upāsaneti ca yucaṃ Bh_6.50a	upAsana-iti ca yucam Bh_6.50a
   upāsitagurutvāttvaṃ Bh_4.11a	upAsita-guru-tvAt-tvam Bh_4.11a
   upeyuṣāmapi divaṃ Bh_1.6a	upeyuzAm-api divam Bh_1.6a
   upeyuṣāmapi divaṃ Bh_6.42c	upeyuzAm-api divam Bh_6.42c
   uvāca ratnāharaṇe Bh_3.8c	uvAca ratna-AharaNe Bh_3.8c
   ūrjasvi karṇena yathā Bh_3.7a	Urjasvi karNena yaTA Bh_3.7a
   ṛṣabhātpañcamastasmāt Bh_4.33a	RzaBAt-paQcamaH-tasmAt Bh_4.33a
   ekadeśavivarti ca Bh_2.22b	eka-deSa-vivarti ca Bh_2.22b
   ekadeśasya vigame Bh_3.23a	eka-deSasya vigame Bh_3.23a
   ekarūpatayā śeṣā Bh_2.67c	eka-rUpa-tayA SezAH Bh_2.67c
   ekavastunibandhanam Bh_4.4d	eka-vastu-nibanDanam Bh_4.4d
   ekasyaiva tryavasthatvād Bh_2.25c	ekasya-eva tri-avasTa-tvAt Bh_2.25c
   ekākinamaraṇyānyāṃ Bh_4.44c	ekAkinam-araNyAnyAm Bh_4.44c
   ekāntaśubhraśyāme tu Bh_2.76c	ekAnta-SuBra-SyAme tu Bh_2.76c
