   akarmakaṃ tathā caitat HSvs_[5.1]393c	akarmakam taTA ca-etat HSvH-_[5.1]393c
   ato na tat pṛthivyādi- HSvs_[3.2]218c	atas na tat pRTivI-Adi HSvH-_[3.2]218c
   ato 'nyac cāpy ato 'nyataḥ HSvs_[2.1]133d	atas anyat ca-api atas anyatas HSvH-_[2.1]133d
   ato 'nyatve dhruvo 'nvayaḥ HSvs_[6.3]446d	atas anya-tve DruvaH anvayaH HSvH-_[6.3]446d
   ato 'nyad duṣkaraṃ nyāyād HSvs_[9.1]569c	atas anyat duzkaram nyAyAt HSvH-_[9.1]569c
   ato 'pi jātimātraṃ tad HSvs_[7.1]517c	atas api jAti-mAtram tat HSvH-_[7.1]517c
   ato 'pi śuklaṃ yad vṛttaṃ HSvs_[10.1]589a	atas api Suklam yat vRttam HSvH-_[10.1]589a
   ato 'syaḥ sa kathaṃ bhavet HSvs_[3.2]229b	atas asyaH sa kaTam Bavet HSvH-_[3.2]229b
   ato hetvantarāpekṣaṃ HSvs_[2.2]190c	atas hetu-antara-apekzam HSvH-_[2.2]190c
   atyantāsati sarvasmin HSvs_[4.3]278a	atyantA-asati sarvasmin HSvH-_[4.3]278a
   atra coktaṃ na cāpy eṣāṃ HSvs_[4.4]312a	atra ca-uktam na ca-api ezAm HSvH-_[4.4]312a
   atrāpi na pramāṇaṃ vaś HSvs_[1.2]70c	atra-api na pramANam vaH HSvH-_[1.2]70c
   atrāpi puruṣasyānye HSvs_[3.2]232a	atra-api puruzasya-anye HSvH-_[3.2]232a
   atrāpi prājña ity anya HSvs_[10.2]627a	atra-api prAjQaH iti anyaH HSvH-_[10.2]627a
   atrāpi bruvate kecit HSvs_[2.1]131a	atra-api bruvate kecid HSvH-_[2.1]131a
   atrāpi bruvate kecid HSvs_[10.1]591a	atra-api bruvate kecid HSvH-_[10.1]591a
   atrāpi bruvate vṛddhāḥ HSvs_[10.2]629a	atra-api bruvate vRdDAH HSvH-_[10.2]629a
   atrāpi varṇayanty anye HSvs_[9.1]556a	atra-api varNayanti anye HSvH-_[9.1]556a
   atrāpi varṇayantyeke HSvs_[1.4]88a	atra-api varNayanti-eke HSvH-_[1.4]88a
   atrāpy abhidadhaty anye HSvs_[4.1]241a	atra-api aBidaDati anye HSvH-_[4.1]241a
   atrāpy abhidadhaty anye HSvs_[6.6]470a	atra-api aBidaDati anye HSvH-_[6.6]470a
   atrāpy abhidadhaty anye HSvs_[7.1]480a	atra-api aBidaDati anye HSvH-_[7.1]480a
   atrāpy abhidadhaty anye HSvs_[10.1]580a	atra-api aBidaDati anye HSvH-_[10.1]580a
   atrāpy evaṃ vadanty anye HSvs_[8.1]546a	atra-api evam vadanti anye HSvH-_[8.1]546a
   atha bhinnasvabhāvāni HSvs_[1.2]53a	aTa Binna-svaBAvAni HSvH-_[1.2]53a
   athānityaṃ tataś cedaṃ HSvs_[1.4]89c	aTa-anityam tatas ca-idam HSvH-_[1.4]89c
   athānyatrāpi sāmarthyaṃ HSvs_[4.4]313a	aTa-anyatra-api sAmarTyam HSvH-_[4.4]313a
   athānyena balād rūpaṃ HSvs_[4.4]317c	aTa-anyena balAt rUpam HSvH-_[4.4]317c
   athābhinnā na saṃkrāntis HSvs_[4.5]327a	aTa-aBinnA na saMkrAntiH HSvH-_[4.5]327a
   adṛṣṭam avagantavyaṃ HSvs_[1.4]106c	adRzwam avagantavyam HSvH-_[1.4]106c
   adṛṣṭaṃ karmasaṃjñitam HSvs_[1.4]91d	adRzwam karma-saMjQitam HSvH-_[1.4]91d
   adṛṣṭaṃ karma saṃskārāḥ HSvs_[1.4]107a	adRzwam karma saMskArAH HSvH-_[1.4]107a
   adṛṣṭākāśakālādi- HSvs_[1.2]63a	adRzwa-AkASa-kAla-Adi HSvH-_[1.2]63a
   adṛṣṭe nopajāyate HSvs_[10.2]636b	adRzwe na-upajAyate HSvH-_[10.2]636b
   ado 'pi yuktiśūnyaṃ yan HSvs_[1.5]111c	adaH api yukti-SUnyam yat HSvH-_[1.5]111c
   advaitadeśanā śāstre HSvs_[8.1]550c	advEta-deSanA SAstre HSvH-_[8.1]550c
   adhikāry api cāsyeha HSvs_[10.2]642a	aDikArI api ca-asya-iha HSvH-_[10.2]642a
   adhyakṣeṇaiva saṃgateḥ HSvs_[1.2]66d	aDyakzeNa-eva saMgateH HSvH-_[1.2]66d
   anantadharmakaṃ vastu HSvs_[11.1]665a	ananta-Darmakam vastu HSvH-_[11.1]665a
   anantaracirātītaṃ HSvs_[4.6]341c	anantara-cira-atItam HSvH-_[4.6]341c
   anantaraṃ ca tadbhāvas HSvs_[4.3]284a	anantaram ca tad-BAvaH HSvH-_[4.3]284a
   anabhivyaktir apy asyā HSvs_[1.2]35a	anaBivyaktiH api asyAH HSvH-_[1.2]35a
   anabhyupagamāc ceha HSvs_[11.1]658a	anaByupagamAt ca-iha HSvH-_[11.1]658a
   anayos tattvadarśibhiḥ HSvs_[1.2]76d	anayoH tattva-darSiBiH HSvH-_[1.2]76d
   analādigatiḥ katham HSvs_[4.6]335d	anala-Adi-gatiH kaTam HSvH-_[4.6]335d
   anavasthādikalpanam HSvs_[7.1]517d	anavasTA-Adi-kalpanam HSvH-_[7.1]517d
   anādikarmayuktatvāt HSvs_[2.1]163a	anAdi-karma-yukta-tvAt HSvH-_[2.1]163a
   anādibhavyabhāvasya HSvs_[9.1]558a	anAdi-Bavya-BAvasya HSvH-_[9.1]558a
   anādimattvāt karmādi- HSvs_[9.1]554c	anAdimattvAt karma-Adi HSvH-_[9.1]554c
   anityam api cotpāda- HSvs_[6.6]468c	anityam api ca-utpAda HSvH-_[6.6]468c
   anityaṃ jīvitaṃ ceha HSvs_[1.1]13c	anityam jIvitam ca-iha HSvH-_[1.1]13c
   anityaṃ yauvanaṃ cāpi HSvs_[1.1]12c	anityam yOvanam ca-api HSvH-_[1.1]12c
   anityaḥ priyasaṃyoga HSvs_[1.1]12a	anityaH priya-saMyogaH HSvH-_[1.1]12a
   anityāḥ sampadas tīvra- HSvs_[1.1]13a	anityAH sampadaH tIvra HSvH-_[1.1]13a
   aniṣṭaṃ samprasajyate HSvs_[8.1]552d	anizwam samprasajyate HSvH-_[8.1]552d
   aniṣṭā saṃprasajyate HSvs_[5.2]407d	anizwA saMprasajyate HSvH-_[5.2]407d
   aniṣṭā saṃprasajyate HSvs_[6.6]474d	anizwA saMprasajyate HSvH-_[6.6]474d
   anubhūtārthaviṣayaṃ HSvs_[4.1]242a	anuBUta-arTa-vizayam HSvH-_[4.1]242a
   anubhūtārthasaṃsmṛtiḥ HSvs_[1.2]41d	anuBUta-arTa-saMsmRtiH HSvH-_[1.2]41d
   anuṣṭupchandasāṃ kṛtam HSvs_[11.4]699b	anuzwuB-CandasAm kRtam HSvH-_[11.4]699b
   anuṣṭhānaṃ karoty asau HSvs_[9.1]567b	anuzWAnam karoti asO HSvH-_[9.1]567b
   anekagrahaṇātmakam HSvs_[6.4]457b	aneka-grahaNa-Atmakam HSvH-_[6.4]457b
   anekaṃ copajāyate HSvs_[4.4]305b	anekam ca-upajAyate HSvH-_[4.4]305b
   anekāntata evātaḥ HSvs_[7.1]500a	anekAntataH eva-atas HSvH-_[7.1]500a
   antareṇa nivartate HSvs_[10.1]616d	antareNa nivartate HSvH-_[10.1]616d
   antareṇopajāyate HSvs_[1.2]75b	antareNa-upajAyate HSvH-_[1.2]75b
   antareṇopajāyate HSvs_[2.2]183d	antareNa-upajAyate HSvH-_[2.2]183d
   antareṇopapadyate HSvs_[7.1]503d	antareNa-upapadyate HSvH-_[7.1]503d
   antarvedyāṃ tu yad dattam HSvs_[10.1]587c	antarvedyAm tu yat dattam HSvH-_[10.1]587c
   ante kṣayekṣaṇaṃ cādya- HSvs_[6.4]451a	ante kzaya-IkzaNam ca-Adya HSvH-_[6.4]451a
   ante kṣayekṣaṇād ādau HSvs_[6.4]453a	ante kzaya-IkzaNAt AdO HSvH-_[6.4]453a
   ante 'pi darśanaṃ nāsya HSvs_[4.2]265a	ante api darSanam na-asya HSvH-_[4.2]265a
   annapradānam ity etat HSvs_[10.1]588c	anna-pradAnam iti etat HSvH-_[10.1]588c
   anyac chabdasya gocaraḥ HSvs_[11.1]666b	anyat Sabdasya gocaraH HSvH-_[11.1]666b
   anyatas tatsamudbhavāt HSvs_[6.2]438d	anyatas tad-samudBavAt HSvH-_[6.2]438d
   anyatas tulyakālāder HSvs_[11.1]655c	anyatas tulya-kAla-AdeH HSvH-_[11.1]655c
   anyatrāto virodhas tad- HSvs_[7.1]513c	anyatra-atas viroDaH tad HSvH-_[7.1]513c
   anyatrāpi samānatvāt HSvs_[4.6]359c	anyatra-api samAna-tvAt HSvH-_[4.6]359c
   anyatreti na saṃgatam HSvs_[6.2]440b	anyatra-iti na saMgatam HSvH-_[6.2]440b
   anyatve 'nyasya sāmarthyam HSvs_[6.2]440a	anya-tve anyasya sAmarTyam HSvH-_[6.2]440a
   anyathā kalpanaṃ cāsya HSvs_[4.6]357c	anyaTA kalpanam ca-asya HSvH-_[4.6]357c
   anyathāgamyasaṃsthitiḥ HSvs_[2.1]148d	anyaTAgamya-saMsTitiH HSvH-_[2.1]148d
   anyathā tattvato 'dvaite HSvs_[8.1]552a	anyaTA tattvataH advEte HSvH-_[8.1]552a
   anyathā tatra nāśvāsaś HSvs_[10.1]596c	anyaTA tatra na-ASvAsaH HSvH-_[10.1]596c
   anyathātatsvabhāvatā HSvs_[5.1]379d	anyaTA-tad-svaBAva-tA HSvH-_[5.1]379d
   anyathā tadabhāvataḥ HSvs_[1.2]63d	anyaTA tad-aBAvataH HSvH-_[1.2]63d
   anyathā tad asad bhavet HSvs_[5.1]392b	anyaTA tat asat Bavet HSvH-_[5.1]392b
   anyathā tan na yuktimat HSvs_[10.2]630b	anyaTA tat na yuktimat HSvH-_[10.2]630b
   anyathā tritayābhāva HSvs_[7.1]489c	anyaTA tritaya-aBAva HSvH-_[7.1]489c
   anyathā dāhaśabdena HSvs_[11.1]667c	anyaTA dAha-Sabdena HSvH-_[11.1]667c
   anyathā dāhasambandhād HSvs_[11.1]667a	anyaTA dAha-sambanDAt HSvH-_[11.1]667a
   anyathā na vyavasthitiḥ HSvs_[5.1]396d	anyaTA na vyavasTitiH HSvH-_[5.1]396d
   anyathāniyatatvena HSvs_[2.2]176a	anyaTA-niyata-tvena HSvH-_[2.2]176a
   anyathā neti suvyaktam HSvs_[6.6]472c	anyaTA na-iti su-vyaktam HSvH-_[6.6]472c
   anyathāpy uktisaṃbhavāt HSvs_[4.4]312d	anyaTA-api ukti-saMBavAt HSvH-_[4.4]312d
   anyathā yogyatā teṣāṃ HSvs_[5.1]381a	anyaTA yogyatA tezAm HSvH-_[5.1]381a
   anyathā vastutattvasya HSvs_[2.1]118a	anyaTA vastu-tattvasya HSvH-_[2.1]118a
   anyathaitad virudhyate HSvs_[11.1]670b	anyaTA-etat viruDyate HSvH-_[11.1]670b
   anyad evendriyagrāhyam HSvs_[11.1]666a	anyat eva-indriya-grAhyam HSvH-_[11.1]666a
   anyadoṣopavarṇanam HSvs_[11.1]660b	anya-doza-upavarNanam HSvH-_[11.1]660b
   anyadoṣo yad anyasya HSvs_[11.1]661a	anya-dozaH yat anyasya HSvH-_[11.1]661a
   anyabhedakabhāve tu HSvs_[1.2]55c	anya-Bedaka-BAve tu HSvH-_[1.2]55c
   anyasattvasthitāv api HSvs_[6.2]441b	anya-sattva-sTitO api HSvH-_[6.2]441b
   anyastvāheha siddhe 'pi HSvs_[2.1]130a	anyaH-tu-Aha-iha sidDe api HSvH-_[2.1]130a
   anyahetur ahetur vā HSvs_[2.1]152c	anya-hetuH ahetuH vE HSvH-_[2.1]152c
   anyaḥ svayaṃ bravīmīti HSvs_[10.1]613c	anyaH svayam bravImi-iti HSvH-_[10.1]613c
   anyādṛśapadārthebhyaḥ HSvs_[4.6]354a	anyAdRSa-padArTeByaH HSvH-_[4.6]354a
   anyābhāvaniyogāc ca HSvs_[11.1]646c	anya-aBAva-niyogAt ca HSvH-_[11.1]646c
   anye kriyāta eveti HSvs_[11.2]673c	anye kriyAtas eva-iti HSvH-_[11.2]673c
   anye tu janyam āśritya HSvs_[6.1]432a	anye tu janyam ASritya HSvH-_[6.1]432a
   anye tu bruvate hy etat HSvs_[3.2]214a	anye tu bruvate hi etat HSvH-_[3.2]214a
   anye tu vāsanārūpaṃ HSvs_[1.4]96c	anye tu vAsanA-rUpam HSvH-_[1.4]96c
   anye tv advaitam icchanti HSvs_[8.1]543a	anye tu advEtam icCanti HSvH-_[8.1]543a
   anye tv abhidadhaty atra HSvs_[1.4]97a	anye tu aBidaDati atra HSvH-_[1.4]97a
   anye tv abhidadhaty atra HSvs_[3.1]197a	anye tu aBidaDati atra HSvH-_[3.1]197a
   anye tv abhidadhaty atra HSvs_[11.1]644a	anye tu aBidaDati atra HSvH-_[11.1]644a
   anye tv abhidadhaty evam HSvs_[6.5]464a	anye tu aBidaDati evam HSvH-_[6.5]464a
   anye tv abhidadhaty evaṃ HSvs_[11.1]652a	anye tu aBidaDati evam HSvH-_[11.1]652a
   anye tv āhur anādy eva HSvs_[7.1]477a	anye tu AhuH anAdi eva HSvH-_[7.1]477a
   anye punar idaṃ śrāddhā HSvs_[2.1]134a	anye punar idam SrAdDAH HSvH-_[2.1]134a
   anye punar vadanty evaṃ HSvs_[9.1]553a	anye punar vadanti evam HSvH-_[9.1]553a
   anye vyākhyānayanty evaṃ HSvs_[8.1]550a	anye vyAKyAnayanti evam HSvH-_[8.1]550a
   anye śāstrakṛtaśramāḥ HSvs_[1.4]93d	anye SAstra-kRta-SramAH HSvH-_[1.4]93d
   anyeṣām api buddhyaivaṃ HSvs_[2.1]161a	anyezAm api budDyA-evam HSvH-_[2.1]161a
   anyonyam iti yad bhedaṃ HSvs_[7.1]509a	anyonyam iti yat Bedam HSvH-_[7.1]509a
   anyonyavyāptijā ceyam HSvs_[3.2]235c	anyonya-vyApti-jA ca-iyam HSvH-_[3.2]235c
   anyonyavyāptito bhedā- HSvs_[7.1]507c	anyonya-vyAptitaH BedA HSvH-_[7.1]507c
   anyonyavyāptisaṃbhavaḥ HSvs_[7.1]509d	anyonya-vyApti-saMBavaH HSvH-_[7.1]509d
   anyonyātmakatāpatteḥ HSvs_[2.2]176c	anyonya-Atmaka-tA-ApatteH HSvH-_[2.2]176c
   anyopādānabhāve ca HSvs_[1.2]74c	anya-upAdAna-BAve ca HSvH-_[1.2]74c
   anvayavyatirekavat HSvs_[7.1]530b	anvaya-vyatireka-vat HSvH-_[7.1]530b
   anvayādimayaṃ vastu HSvs_[7.1]506c	anvaya-Adi-mayam vastu HSvH-_[7.1]506c
   anvayi jñānam eṣṭavyaṃ HSvs_[6.4]457c	anvayi jQAnam ezwavyam HSvH-_[6.4]457c
   anvayo vyatirekaś ca HSvs_[7.1]507a	anvayaH vyatirekaH ca HSvH-_[7.1]507a
   aparīkṣāpi no yuktā HSvs_[2.1]119a	aparIkzA-api naH yuktAH HSvH-_[2.1]119a
   apareṇāpi yuktimat HSvs_[4.2]267d	apareNa-api yuktimat HSvH-_[4.2]267d
   api kartāvigānataḥ HSvs_[10.1]621b	api kartA-vigAnataH HSvH-_[10.1]621b
   api hanta prakāśayet HSvs_[5.1]396b	api hanta prakASayet HSvH-_[5.1]396b
   apekṣāyāṃ niyuṅkte yat HSvs_[6.1]422c	apekzAyAm niyuFkte yat HSvH-_[6.1]422c
   apaity utpattyanantaram HSvs_[6.4]459b	apEti utpatti-anantaram HSvH-_[6.4]459b
   apohasyāpi vācyatvam HSvs_[11.1]669a	apohasya-api vAcya-tvam HSvH-_[11.1]669a
   apoho yan na saṃskāro HSvs_[11.1]670c	apohaH yat na saMskAraH HSvH-_[11.1]670c
   apauruṣeyatāpy asya HSvs_[10.1]620a	apOruzeya-tA-api asya HSvH-_[10.1]620a
   apauruṣeyam iṣṭaṃ vo HSvs_[10.1]615c	apOruzeyam izwam vaH HSvH-_[10.1]615c
   apauruṣeyo 'sau yasmād HSvs_[10.1]584c	apOruzeyaH asO yasmAt HSvH-_[10.1]584c
   apratyakṣatvato naivo- HSvs_[10.1]582c	apratyakza-tvataH na-evo HSvH-_[10.1]582c
   apramāṇam atheha kim HSvs_[10.2]638b	apramANam aTa-iha kim HSvH-_[10.2]638b
   apravṛttyaiva sarvatra HSvs_[2.1]146a	apravRttyA-eva sarvatra HSvH-_[2.1]146a
   aphale pūrvadoṣaḥ syāt HSvs_[3.1]200c	aPale pUrva-dozaH syAt HSvH-_[3.1]200c
   abuddhijanakavyāvṛt- HSvs_[4.4]318a	abudDi-janaka-vyAvRt HSvH-_[4.4]318a
   abhayor api dṛṣṭo 'ntas tv HSvs_[1.2]76c	aBayoH api dRzwaH antar tu HSvH-_[1.2]76c
   abhāvabhavanaṃ tu yat HSvs_[4.2]273b	aBAva-Bavanam tu yat HSvH-_[4.2]273b
   abhāvaḥ katham etasya HSvs_[10.1]592c	aBAvaH kaTam etasya HSvH-_[10.1]592c
   abhāvāpattilakṣaṇaḥ HSvs_[7.1]513d	aBAvApatti-lakzaNaH HSvH-_[7.1]513d
   abhāve 'nyatam asyāpi HSvs_[7.1]491c	aBAve anyatam asya-api HSvH-_[7.1]491c
   abhāvo bhavatīty api HSvs_[4.2]270d	aBAvaH Bavati-iti api HSvH-_[4.2]270d
   abhāvo hetvabhāvataḥ HSvs_[11.3]694b	aBAvaH hetu-aBAvataH HSvH-_[11.3]694b
   abhinnadeśatādīnām HSvs_[4.3]294a	aBinna-deSatA-AdInAm HSvH-_[4.3]294a
   abhinnadeśas tasyeti HSvs_[7.1]526c	aBinna-deSaH tasya-iti HSvH-_[7.1]526c
   abhinnā vā bhaved yadi HSvs_[4.5]326b	aBinnA vA Bavet yadi HSvH-_[4.5]326b
   abhinno dravyato 'bhede- HSvs_[7.1]522c	aBinnaH dravyataH aBede HSvH-_[7.1]522c
   abhiprāyata ity ukto HSvs_[6.6]476c	aBiprAyate iti uktaH HSvH-_[6.6]476c
   abhiprāyas tatas teṣāṃ HSvs_[3.1]209a	aBiprAyaH tatas tezAm HSvH-_[3.1]209a
   abhūtvā nāśabhāvataḥ HSvs_[4.2]271b	aBUtvA nASa-BAvataH HSvH-_[4.2]271b
   abhede 'nyatarasthāna- HSvs_[7.1]520c	aBede anyatara-sTAna HSvH-_[7.1]520c
   abhyāsaḥ karmaṇāṃ satyam HSvs_[10.1]622a	aByAsaH karmaNAm satyam HSvH-_[10.1]622a
   abhyāsātiśayād uktaṃ HSvs_[1.1]21c	aByAsa-atiSayAt uktam HSvH-_[1.1]21c
   abhrāntajātivāde tu HSvs_[11.1]651a	aBrAnta-jAti-vAde tu HSvH-_[11.1]651a
   amūrtāḥ sarvabhāvajñās HSvs_[11.3]697a	amUrtAH sarva-BAva-jQAH HSvH-_[11.3]697a
   ayam ity apy anuttaram HSvs_[1.4]94b	ayam iti api anuttaram HSvH-_[1.4]94b
   ayam eva na yujyate HSvs_[6.1]429d	ayam eva na yujyate HSvH-_[6.1]429d
   ayam evaṃ na vety anya- HSvs_[10.2]628a	ayam evam na vA-iti anya HSvH-_[10.2]628a
   arthakriyā nanu nyāyāt HSvs_[6.4]463c	arTa-kriyA nanu nyAyAt HSvH-_[6.4]463c
   arthakriyā yato 'sau vā HSvs_[6.2]438a	arTa-kriyA yatas asO vE HSvH-_[6.2]438a
   arthakriyāsamarthatvaṃ HSvs_[6.2]437a	arTa-kriyA-samarTa-tvam HSvH-_[6.2]437a
   arthakriyāsamarthatvāt HSvs_[4.1]239c	arTa-kriyA-samarTa-tvAt HSvH-_[4.1]239c
   arthagrahaṇarūpaṃ yat HSvs_[5.1]386a	arTa-grahaNa-rUpam yat HSvH-_[5.1]386a
   arthāpattyāpi gamyate HSvs_[10.1]596b	arTa-ApattyA-api gamyate HSvH-_[10.1]596b
   arthābhāve na vidyate HSvs_[5.1]375d	arTa-aBAve na vidyate HSvH-_[5.1]375d
   arthābhāve na vidyate HSvs_[5.1]385d	arTa-aBAve na vidyate HSvH-_[5.1]385d
   arthāsaṃnidhibhāvena HSvs_[11.1]646a	arTa-asaMniDi-BAvena HSvH-_[11.1]646a
   avagantuṃ na śakyate HSvs_[8.1]547d	avagantum na Sakyate HSvH-_[8.1]547d
   -avasāyapravartakaḥ HSvs_[4.6]349d	-avasAya-pravartakaH HSvH-_[4.6]349d
   avigānena tadgateḥ HSvs_[7.1]487b	avigAnena tad-gateH HSvH-_[7.1]487b
   avicāryaiva tad yuktyā HSvs_[3.2]214c	avicArya-eva tat yuktyA HSvH-_[3.2]214c
   avidyā na sataḥ pṛthak HSvs_[8.1]546b	avidyA na sataH pRTak HSvH-_[8.1]546b
   aviśeṣeṇa sarvatra HSvs_[1.2]51c	aviSezeNa sarvatra HSvH-_[1.2]51c
   aviśeṣeṇa sarveṣām HSvs_[1.2]41c	aviSezeNa sarvezAm HSvH-_[1.2]41c
   avisaṃvādi dṛśyate HSvs_[10.2]634d	avisaMvAdi dRSyate HSvH-_[10.2]634d
   aśubhād apy anuṣṭhānāt HSvs_[2.1]138a	aSuBAt api anuzWAnAt HSvH-_[2.1]138a
   aśeṣadoṣajananī HSvs_[1.1]9a	aSeza-doza-jananI HSvH-_[1.1]9a
   asatastatsamutpādo HSvs_[1.2]46c	asataH-tad-samutpAdaH HSvH-_[1.2]46c
   asataḥ sattvayoge tu HSvs_[4.3]276a	asataH sattva-yoge tu HSvH-_[4.3]276a
   asato bhāvakartṛtvaṃ HSvs_[4.3]299c	asataH BAva-kartR-tvam HSvH-_[4.3]299c
   asattvāt kevalasyeha HSvs_[7.1]516c	asattvAt kevalasya-iha HSvH-_[7.1]516c
   asattvād vastubhedena HSvs_[11.1]669c	asattvAt vastu-Bedena HSvH-_[11.1]669c
   asaty api ca yā bāhye HSvs_[5.2]409a	asati api ca yAH bAhye HSvH-_[5.2]409a
   asatyām api saṃkrāntau HSvs_[4.5]328a	asatyAm api saMkrAntO HSvH-_[4.5]328a
   asat sthūlatvam aṇvādau HSvs_[1.2]45a	asat sTUla-tvam aNu-AdO HSvH-_[1.2]45a
   asadutpattir apy asya HSvs_[4.3]298a	asat-utpattiH api asya HSvH-_[4.3]298a
   asadutpattir apy eva HSvs_[4.3]301a	asat-utpattiH api eva HSvH-_[4.3]301a
   asadutpadyate taddhi HSvs_[4.3]277a	asat-utpadyate tat-hi HSvH-_[4.3]277a
