   BhP_04.01.001/0 maitreya uvāca	Bhu-_04.01.001/0 mEtreyaH uvAca
   BhP_04.01.010/1 devahūtim adāt tāta kardamāyātmajāṃ manuḥ	Bhu-_04.01.010/1 devahUtim adAt tAta kardamAya-AtmajAm manuH
   BhP_04.01.010/2 tat-sambandhi śruta-prāyaṃ bhavatā gadato mama	Bhu-_04.01.010/2 tat-sambanDi Sruta--prAyam BavatA gadataH mama
   BhP_04.01.011/1 dakṣāya brahma-putrāya prasūtiṃ bhagavān manuḥ	Bhu-_04.01.011/1 dakzAya brahma-putrAya prasUtim BagavAn manuH
   BhP_04.01.011/2 prāyacchad yat-kṛtaḥ sargas tri-lokyāṃ vitato mahān	Bhu-_04.01.011/2 prAyacCat yat-kRtaH sargaH tri-lokyAm vitataH mahAn
   BhP_04.01.012/1 yāḥ kardama-sutāḥ proktā nava brahmarṣi-patnayaḥ	Bhu-_04.01.012/1 yAH kardama--sutAH proktAH nava brahmarzi-patnayaH
   BhP_04.01.012/2 tāsāṃ prasūti-prasavaṃ procyamānaṃ nibodha me	Bhu-_04.01.012/2 tAsAm prasUti-prasavam procyamAnam niboDa me
   BhP_04.01.013/1 patnī marīces tu kalā suṣuve kardamātmajā	Bha-a_04.01.013/1 patnI marIceH tu kalA suzuve kardama-AtmajA
   BhP_04.01.013/2 kaśyapaṃ pūrṇimānaṃ ca yayor āpūritaṃ jagat	Bhu-_04.01.013/2 kaSyapam pUrNimAnam ca yayoH ApUritam jagat-
   BhP_04.01.014/1 pūrṇimāsūta virajaṃ viśvagaṃ ca parantapa	Bhu-_04.01.014/1 pUrNimA-asUta virajam viSvagam ca parantapa
   BhP_04.01.014/2 devakulyāṃ hareḥ pāda- śaucād yābhūt sarid divaḥ	Bhu-_04.01.014/2 devakulyAm hareH pAda SOcAt yA-aBUt sarit divaH
   BhP_04.01.015/1 atreḥ patny anasūyā trīñ jajñe suyaśasaḥ sutān	Bhu-_04.01.015/1 atreH patnI anasUyA trIn jajQe su-yaSasaH sutAn
   BhP_04.01.015/2 dattaṃ durvāsasaṃ somam ātmeśa-brahma-sambhavān	Bhu-_04.01.015/2 dattam durvAsasam somam Atma-ISa--brahma--samBavAn
   BhP_04.01.016/0 vidura uvāca	Bhu-_04.01.016/0 viduraH uvAca
   BhP_04.01.016/1 atrer gṛhe sura-śreṣṭhāḥ sthity-utpatty-anta-hetavaḥ	Bhu-_04.01.016/1 atreH gRhe sura--SrezWAH sTiti--utpatti--anta--hetavaH
   BhP_04.01.016/2 kiñcic cikīrṣavo jātā etad ākhyāhi me guro	BhP_04.01.016/2 kiQcid cikIrzavaH jAtAH etat AKyAhi me guro
   BhP_04.01.017/0 maitreya uvāca	Bhu-_04.01.017/0 mEtreyaH uvAca
   BhP_04.01.017/1 brahmaṇā coditaḥ sṛṣṭāv atrir brahma-vidāṃ varaḥ	Bhu-_04.01.017/1 brahmaNA coditaH sRzwO atriH brahma--vidAm varaH
   BhP_04.01.017/2 saha patnyā yayāv ṛkṣaṃ kulādriṃ tapasi sthitaḥ	BhP_04.01.017/2 saha patnyA yayO Rkzam kula-adrim tapasi sTitaH
   BhP_04.01.018/1 tasmin prasūna-stabaka- palāśāśoka-kānane	Bhu-_04.01.018/1 tasmin prasUna--stabaka palASa-aSoka--kAnane
   BhP_04.01.018/2 vārbhiḥ sravadbhir udghuṣṭe nirvindhyāyāḥ samantataḥ	Bhu-_04.01.018/2 vArBiH sravadBiH udGuzwe nirvinDyAyAH samantataH
   BhP_04.01.019/1 prāṇāyāmena saṃyamya mano varṣa-śataṃ muniḥ	Bhu-_04.01.019/1 prANAyAmena saMyamya manaH varza--Satam muniH
   BhP_04.01.019/2 atiṣṭhad eka-pādena nirdvandvo 'nila-bhojanaḥ	BhP_04.01.019/2 atizWat eka-pAdena nirdvandvaH anila-BojanaH
   BhP_04.01.020/1 śaraṇaṃ taṃ prapadye 'haṃ ya eva jagad-īśvaraḥ	Bhu-_04.01.020/1 SaraNam tam prapadye aham yaH eva jagat--ISvaraH
   BhP_04.01.020/2 prajām ātma-samāṃ mahyaṃ prayacchatv iti cintayan	Bhu-_04.01.020/2 prajAm Atma--samAm mahyam prayacCatu iti cintayan
   BhP_04.01.021/1 tapyamānaṃ tri-bhuvanaṃ prāṇāyāmaidhasāgninā	Bhu-_04.01.021/1 tapyamAnam tri-Buvanam prANAyAma-eDasA-agninA
   BhP_04.01.021/2 nirgatena muner mūrdhnaḥ samīkṣya prabhavas trayaḥ	BhP_04.01.021/2 nirgatena muneH mUrDnaH samIkzya praBavaH trayaH
   BhP_04.01.022/1 apsaro-muni-gandharva- siddha-vidyādharoragaiḥ	Bhu-_04.01.022/1 apsaro--muni--ganDarva sidDa-vidyADara-uragEH
   BhP_04.01.022/2 vitāyamāna-yaśasas tad-āśrama-padaṃ yayuḥ	Bhu-_04.01.022/2 vitAyamAna--yaSasaH tad--a-ASrama-padam yayuH
   BhP_04.01.023/1 tat-prādurbhāva-saṃyoga- vidyotita-manā muniḥ	Bhu-_04.01.023/1 tat--prAdurBAva--saMyoga vidyotita-manAH muniH
   BhP_04.01.023/2 uttiṣṭhann eka-pādena dadarśa vibudharṣabhān	Bhu-_04.01.023/2 uttizWan eka-pAdena dadarSa vibuDa-RzaBAn
   BhP_04.01.024/1 praṇamya daṇḍavad bhūmāv upatasthe 'rhaṇāñjaliḥ	Bhu-_04.01.024/1 praNamya daNxa-vat BUmO upatasTe arhaNa-aQjaliH
   BhP_04.01.024/2 vṛṣa-haṃsa-suparṇa-sthān svaiḥ svaiś cihnaiś ca cihnitān	Bhu-_04.01.024/2 vRza--haMsa--suparNa--sTAn svEH svEH cihnEH ca cihnitAn
   BhP_04.01.025/1 kṛpāvalokena hasad- vadanenopalambhitān	Bhu-_04.01.025/1 kRpA-avalokena hasad vadanena-upalamBitAn
   BhP_04.01.025/2 tad-rociṣā pratihate nimīlya munir akṣiṇī	Bhu-_04.01.025/2 tad--rocizA pratihate nimIlya muniH akziNI
   BhP_04.01.026/1 cetas tat-pravaṇaṃ yuñjann astāvīt saṃhatāñjaliḥ	Bhu-_04.01.026/1 cetaH tat--pravaNam yuQjan astAvIt saMhata-aQjaliH
   BhP_04.01.026/2 ślakṣṇayā sūktayā vācā sarva-loka-garīyasaḥ	Bhu-_04.01.026/2 SlakzNayA su-uktayA vAcA sarva-loka--garIyasaH
   BhP_04.01.027/0 atrir uvāca	BhP_04.01.027/0 atriH uvAca
   BhP_04.01.027/1 viśvodbhava-sthiti-layeṣu vibhajyamānair	Bhu-_04.01.027/1 viSva-udBava--sTiti--layezu viBajyamAnEH-
   BhP_04.01.027/2 māyā-guṇair anuyugaṃ vigṛhīta-dehāḥ	Bhu-_04.01.027/2 mAyA--guNEH anuyugam vigRhIta--dehAH
   BhP_04.01.027/3 te brahma-viṣṇu-giriśāḥ praṇato 'smy ahaṃ vas	Bhu-_04.01.027/3 te brahma--vizNu-giriSAH praNataH asmi aham vas
   BhP_04.01.027/4 tebhyaḥ ka eva bhavatāṃ ma ihopahūtaḥ	Bhu-_04.01.027/4 teByaH kaH eva BavatAm me iha-upahUtaH
   BhP_04.01.028/1 eko mayeha bhagavān vividha-pradhānaiś	Bhu-_04.01.028/1 ekaH mayA-iha BagavAn viviDa--praDAna-EH-
   BhP_04.01.028/2 cittī-kṛtaḥ prajananāya kathaṃ nu yūyam	Bhu-_04.01.028/2 cittI-kRtaH prajananAya kaTam nu yUyam
   BhP_04.01.028/3 atrāgatās tanu-bhṛtāṃ manaso 'pi dūrād	Bhu-_04.01.028/3 atra-AgatAH tanu-BRtAm manasaH api dUrAt-
   BhP_04.01.028/4 brūta prasīdata mahān iha vismayo me	Bhu-_04.01.028/4 brUta prasIdata mahAn iha vismayaH me
   BhP_04.01.029/0 maitreya uvāca	Bhu-_04.01.029/0 mEtreyaH uvAca
   BhP_04.01.029/1 iti tasya vacaḥ śrutvā trayas te vibudharṣabhāḥ	BhP_04.01.029/1 iti tasya vacaH SrutvA trayaH te vibuDa-RzaBAH
   BhP_04.01.029/2 pratyāhuḥ ślakṣṇayā vācā prahasya tam ṛṣiṃ prabho	Bhu-_04.01.029/2 pratyAhuH SlakzNayA vAcA prahasya tam Rzim praBo
   BhP_04.01.030/0 devā ūcuḥ	Bhu-_04.01.030/0 devAH UcuH
   BhP_04.01.030/1 yathā kṛtas te saṅkalpo bhāvyaṃ tenaiva nānyathā	Bhu-_04.01.030/1 yaTA kRtaH te saFkalpaH BAvyam tena-eva na-anyaTA
   BhP_04.01.030/2 sat-saṅkalpasya te brahman yad vai dhyāyati te vayam	Bhu-_04.01.030/2 sat--saFkalpasya te brahman yat vE DyAyati te vayam
   BhP_04.01.031/1 athāsmad-aṃśa-bhūtās te ātmajā loka-viśrutāḥ	Bhu-_04.01.031/1 aTa-asmad--aMSa--BUtAH te AtmajAH loka--viSrutAH
   BhP_04.01.031/2 bhavitāro 'ṅga bhadraṃ te visrapsyanti ca te yaśaḥ	Bhu-_04.01.031/2 BavitAraH aFga Badram te visrapsyanti ca te yaSaH
   BhP_04.01.032/1 evaṃ kāma-varaṃ dattvā pratijagmuḥ sureśvarāḥ	Bhu-_04.01.032/1 evam kAma--varam dattvA pratijagmuH sura-ISvarAH
   BhP_04.01.032/2 sabhājitās tayoḥ samyag dampatyor miṣatos tataḥ	Bhu-_04.01.032/2 saBAjitAH tayoH samyak dampatyoH mizatoH tatas-
   BhP_04.01.033/1 somo 'bhūd brahmaṇo 'ṃśena datto viṣṇos tu yogavit	BhP_04.01.033/1 somaH aBUt brahmaNaH aMSena dattaH vizNoH tu yoga-vid-
   BhP_04.01.033/2 durvāsāḥ śaṅkarasyāṃśo nibodhāṅgirasaḥ prajāḥ	Bhu-_04.01.033/2 durvAsAH SaFkarasya-aMSaH niboDa-aFgirasaH prajAH
   BhP_04.01.034/1 śraddhā tv aṅgirasaḥ patnī catasro 'sūta kanyakāḥ	Bha-a_04.01.034/1 SradDA tu aFgirasaH patnI catasraH asUta kanyakAH
   BhP_04.01.034/2 sinīvālī kuhū rākā caturthy anumatis tathā	BhP_04.01.034/2 sinIvAlI kuhuH rAkA caturTI anumatiH taTA
   BhP_04.01.035/1 tat-putrāv aparāv āstāṃ khyātau svārociṣe 'ntare	Bhu-_04.01.035/1 tat-putrO aparO AstAm KyAtO svArocize antare
   BhP_04.01.035/2 utathyo bhagavān sākṣād brahmiṣṭhaś ca bṛhaspatiḥ	Bhu-_04.01.035/2 utaTyaH BagavAn sAkzAt brahmizWaH ca bRhaspatiH
   BhP_04.01.036/1 pulastyo 'janayat patnyām agastyaṃ ca havirbhuvi	Bhu-_04.01.036/1 pulastyaH ajanayat patnyAm agastyam ca haviH-Buvi
   BhP_04.01.036/2 so 'nya-janmani dahrāgnir viśravāś ca mahā-tapāḥ	Bhu-_04.01.036/2 saH anya-janmani dahra-agniH viSravAH ca mahA-tapAH
   BhP_04.01.037/1 tasya yakṣa-patir devaḥ kuberas tv iḍaviḍā-sutaḥ	Bhu-_04.01.037/1 tasya yakza-patiH devaH kuberaH tu ixa-vixA--sutaH
   BhP_04.01.037/2 rāvaṇaḥ kumbhakarṇaś ca tathānyasyāṃ vibhīṣaṇaḥ	BhP_04.01.037/2 rAvaNaH kumBakarNaH ca taTA-anyasyAm viBIzaNaH
   BhP_04.01.038/1 pulahasya gatir bhāryā trīn asūta satī sutān	Bhu-_04.01.038/1 pulahasya gatiH BAryA trIn asUta satI sutAn
   BhP_04.01.038/2 karmaśreṣṭhaṃ varīyāṃsaṃ sahiṣṇuṃ ca mahā-mate	Bhu-_04.01.038/2 karmaSrezWam varIyAMsam sahizNum ca mahA-a-mate
   BhP_04.01.039/1 krator api kriyā bhāryā vālakhilyān asūyata	Bhu-_04.01.039/1 kratoH api kriyA BAryA vAlaKilyAn asUyata
   BhP_04.01.039/2 ṛṣīn ṣaṣṭi-sahasrāṇi jvalato brahma-tejasā	Bhu-_04.01.039/2 RzIn zazwi--sahasrANi jvalataH brahma--tejasA
   BhP_04.01.040/1 ūrjāyāṃ jajñire putrā vasiṣṭhasya parantapa	Bhu-_04.01.040/1 UrjAyAm jajQire putrAH vasizWasya parantapa
   BhP_04.01.040/2 citraketu-pradhānās te sapta brahmarṣayo 'malāḥ	Bhu-_04.01.040/2 citra-ketu--praDAnAH te sapta brahmarzayaH amalAH
   BhP_04.01.041/1 citraketuḥ surociś ca virajā mitra eva ca	BhP_04.01.041/1 citraketuH surociH ca virajAH mitraH eva ca
   BhP_04.01.041/2 ulbaṇo vasubhṛdyāno dyumān śakty-ādayo 'pare	Bhu-_04.01.041/2 ulbaNaH vasuBRdyAnaH dyumAn Sakti--AdayaH apare
   BhP_04.01.042/1 cittis tv atharvaṇaḥ patnī lebhe putraṃ dhṛta-vratam	BhP_04.01.042/1 cittiH tu aTarvaNaH patnI leBe putram DRta--vratam
   BhP_04.01.042/2 dadhyañcam aśvaśirasaṃ bhṛgor vaṃśaṃ nibodha me	Bhu-_04.01.042/2 daDyaQcam aSvaSirasam BRgoH vaMSam niboDa me
   BhP_04.01.043/1 bhṛguḥ khyātyāṃ mahā-bhāgaḥ patnyāṃ putrān ajījanat	BhP_04.01.043/1 BRguH KyAtyAm mahA-BAgaH patnyAm putrAn ajIjanat-
   BhP_04.01.043/2 dhātāraṃ ca vidhātāraṃ śriyaṃ ca bhagavat-parām	Bhu-_04.01.043/2 DAtAram ca viDAtAram Sriyam ca Bagavat--parAm
   BhP_04.01.044/1 āyatiṃ niyatiṃ caiva sute merus tayor adāt	Bhu-_04.01.044/1 Ayatim niyatim ca-eva sute meruH tayoH adAt-
   BhP_04.01.044/2 tābhyāṃ tayor abhavatāṃ mṛkaṇḍaḥ prāṇa eva ca	Bhu-_04.01.044/2 tAByAm tayoH aBavatAm mRkaNxaH prANaH eva ca
   BhP_04.01.045/1 mārkaṇḍeyo mṛkaṇḍasya prāṇād vedaśirā muniḥ	Bhu-_04.01.045/1 mArkaNxeyaH mRkaNxasya prANAt vedaSirAH muniH
   BhP_04.01.045/2 kaviś ca bhārgavo yasya bhagavān uśanā sutaḥ	BhP_04.01.045/2 kaviH ca BArgavaH yasya BagavAn uSanA sutaH
   BhP_04.01.046/1 ta ete munayaḥ kṣattar lokān sargair abhāvayan	Bhu-_04.01.046/1 te ete munayaH kzattar lokAn sargEH aBAvayan
   BhP_04.01.046/2 eṣa kardama-dauhitra- santānaḥ kathitas tava	Bhu-_04.01.046/2 eza kardama--dOhitra santAnaH kaTitaH tava
   BhP_04.01.046/3 śṛṇvataḥ śraddadhānasya sadyaḥ pāpa-haraḥ paraḥ	Bhu-_04.01.046/3 SRNvataH SraddaDAnasya sadyas pApa--haraH paraH
   BhP_04.01.047/1 prasūtiṃ mānavīṃ dakṣa upayeme hy ajātmajaḥ	Bhu-_04.01.047/1 prasUtim mAnavIm dakzaH upayeme hi aja-AtmajaH
   BhP_04.01.047/2 tasyāṃ sasarja duhitṝḥ ṣoḍaśāmala-locanāḥ	Bhu-_04.01.047/2 tasyAm sasarja duhitLH zoxaSa-amala--locanAH
   BhP_04.01.048/1 trayodaśādād dharmāya tathaikām agnaye vibhuḥ	Bhu-_04.01.048/1 trayodaSa-adAt DarmAya taTA-ekAm agnaye viBuH
   BhP_04.01.048/2 pitṛbhya ekāṃ yuktebhyo bhavāyaikāṃ bhava-cchide	Bhu-_04.01.048/2 pitRByaH ekAm yukteByaH BavAya-ekAm Bava-=-Cide
   BhP_04.01.049/1 śraddhā maitrī dayā śāntis tuṣṭiḥ puṣṭiḥ kriyonnatiḥ	Bha-a_04.01.049/1 SradDA mEtrI dayA SAntiH tuzwiH puzwiH kriyA-unnatiH
   BhP_04.01.049/2 buddhir medhā titikṣā hrīr mūrtir dharmasya patnayaḥ	Bha-a_04.01.049/2 budDiH meDA titikzA hrIH mUrtiH Darmasya patnayaH
   BhP_04.01.050/1 śraddhāsūta śubhaṃ maitrī prasādam abhayaṃ dayā	Bhu-_04.01.050/1 SradDA-sUta SuBam mEtrI prasAdam aBayam dayA
   BhP_04.01.050/2 śāntiḥ sukhaṃ mudaṃ tuṣṭiḥ smayaṃ puṣṭir asūyata	Bha-a_04.01.050/2 SAntiH suKam mudam tuzwiH smayam puzwiH asUyata
   BhP_04.01.051/1 yogaṃ kriyonnatir darpam arthaṃ buddhir asūyata	Bhu-_04.01.051/1 yogam kriyA-unnatiH darpam arTam budDiH asUyata
   BhP_04.01.051/2 medhā smṛtiṃ titikṣā tu kṣemaṃ hrīḥ praśrayaṃ sutam	Bhu-_04.01.051/2 meDA smRtim titikzA tu kzemam hrIH praSrayam sutam
   BhP_04.01.052/1 mūrtiḥ sarva-guṇotpattir nara-nārāyaṇāv ṛṣī	Bha-a_04.01.052/1 mUrtiH sarva--guNa-utpattiH nara--nArAyaNO RzI
   BhP_04.01.053/1 yayor janmany ado viśvam abhyanandat sunirvṛtam	Bhu-_04.01.053/1 yayoH janmani adaH viSvam aByanandat su-nirvRtam
   BhP_04.01.053/2 manāṃsi kakubho vātāḥ praseduḥ sarito 'drayaḥ	Bhu-_04.01.053/2 manAMsi kakuBaH vAtAH praseduH saritaH adrayaH
   BhP_04.01.054/1 divy avādyanta tūryāṇi petuḥ kusuma-vṛṣṭayaḥ	Bhu-_04.01.054/1 divi avAdyanta tUryANi petuH kusuma--vRzwayaH
   BhP_04.01.054/2 munayas tuṣṭuvus tuṣṭā jagur gandharva-kinnarāḥ	Bhu-_04.01.054/2 munayaH tuzwuvuH tuzwAH jaguH ganDarva--kinnarAH
   BhP_04.01.055/1 nṛtyanti sma striyo devya āsīt parama-maṅgalam	Bhu-_04.01.055/1 nRtyanti sma striyaH devyaH AsIt parama--maFgalam
   BhP_04.01.055/2 devā brahmādayaḥ sarve upatasthur abhiṣṭavaiḥ	Bhu-_04.01.055/2 devAH brahma-AdayaH sarve upatasTuH aBizwavEH
   BhP_04.01.056/0 devā ūcuḥ	Bhu-_04.01.056/0 devAH UcuH
   BhP_04.01.056/1 yo māyayā viracitaṃ nijayātmanīdaṃ	Bhu-_04.01.056/1 yaH mAyayA viracitam nijayA-Atmani-idam
   BhP_04.01.056/2 khe rūpa-bhedam iva tat-praticakṣaṇāya	Bhu-_04.01.056/2 Ke rUpa--Bedam iva tat--praticakzaNAya
   BhP_04.01.056/3 etena dharma-sadane ṛṣi-mūrtinādya	Bhu-_04.01.056/3 etena Darma-sadane Rzi-mUrtinA-adya
   BhP_04.01.056/4 prāduścakāra puruṣāya namaḥ parasmai	Bhu-_04.01.056/4 prAduScakAra puruzAya namaH parasmE
   BhP_04.01.057/1 so 'yaṃ sthiti-vyatikaropaśamāya sṛṣṭān	Bhu-_04.01.057/1 saH ayam sTiti-vyatikara-upaSamAya sRzwAn
   BhP_04.01.057/2 sattvena naḥ sura-gaṇān anumeya-tattvaḥ	Bhu-_04.01.057/2 sattvena naH sura--gaNAn anumeya--tattvaH
   BhP_04.01.057/3 dṛśyād adabhra-karuṇena vilokanena	Bhu-_04.01.057/3 dRSyAt adaBra-karuNena vilokanena
   BhP_04.01.057/4 yac chrī-niketam amalaṃ kṣipatāravindam	Bhu-_04.01.057/4 yat SrI-niketam amalam kzipata-aravindam
   BhP_04.01.058/1 evaṃ sura-gaṇais tāta bhagavantāv abhiṣṭutau	Bhu-_04.01.058/1 evam sura--gaNEH tAta BagavantO aBizwutO
   BhP_04.01.058/2 labdhāvalokair yayatur arcitau gandhamādanam	Bhu-_04.01.058/2 labDa-avalokEH yayatuH arcitO ganDamAdanam
   BhP_04.01.059/1 tāv imau vai bhagavato harer aṃśāv ihāgatau	Bhu-_04.01.059/1 tO imO vE BagavataH hareH aMSO iha-AgatO
   BhP_04.01.059/2 bhāra-vyayāya ca bhuvaḥ kṛṣṇau yadu-kurūdvahau	Bhu-_04.01.059/2 BAra--vyayAya ca BuvaH kRzNO yadu-kuru-udvahO
   BhP_04.01.060/1 svāhābhimāninaś cāgner ātmajāṃs trīn ajījanat	Bhu-_04.01.060/1 svAhA-aBimAninaH ca-agneH AtmajAn trIn ajIjanat-
   BhP_04.01.060/2 pāvakaṃ pavamānaṃ ca śuciṃ ca huta-bhojanam	Bhu-_04.01.060/2 pAvakam pavamAnam ca Sucim ca huta-Bojanam
   BhP_04.01.061/1 tebhyo 'gnayaḥ samabhavan catvāriṃśac ca pañca ca	Bhu-_04.01.061/1 teByaH agnayaH samaBavan catvAriMSat ca paQca ca
   BhP_04.01.061/2 ta evaikonapañcāśat sākaṃ pitṛ-pitāmahaiḥ	Bhu-_04.01.061/2 te eva-ekonapaQcASat sAkam pitR-pitAmahEH
   BhP_04.01.062/1 vaitānike karmaṇi yan- nāmabhir brahma-vādibhiḥ	Bhu-_04.01.062/1 vEtAnike karmaNi yan nAmaBiH brahma--vAdiBiH
   BhP_04.01.062/2 āgneyya iṣṭayo yajñe nirūpyante 'gnayas tu te	Bhu-_04.01.062/2 AgneyyaH izwayaH yajQe nirUpyante agnayaH tu te
   BhP_04.01.063/1 agniṣvāttā barhiṣadaḥ saumyāḥ pitara ājyapāḥ	Bhu-_04.01.063/1 agnizvAttAH barhizadaH sOmyAH pitaraH AjyapAH
   BhP_04.01.063/2 sāgnayo 'nagnayas teṣāṃ patnī dākṣāyaṇī svadhā	Bhu-_04.01.063/2 sa-agnayaH anagnayaH tezAm patnI dAkzAyaNI svaDA
   BhP_04.01.064/1 tebhyo dadhāra kanye dve vayunāṃ dhāriṇīṃ svadhā	Bhu-_04.01.064/1 teByaH daDAra kanye dve vayunAm DAriNIm svaDA
   BhP_04.01.064/2 ubhe te brahma-vādinyau jñāna-vijñāna-pārage	Bhu-_04.01.064/2 uBe te brahma--vAdinyO jQAna-vijQAna--pArage
   BhP_04.01.065/1 bhavasya patnī tu satī bhavaṃ devam anuvratā	BhP_04.01.065/1 Bavasya patnI tu satI Bavam devam anuvratA
   BhP_04.01.065/2 ātmanaḥ sadṛśaṃ putraṃ na lebhe guṇa-śīlataḥ	Bhu-_04.01.065/2 AtmanaH sadRSam putram na leBe guNa--SIlataH
   BhP_04.01.066/1 pitary apratirūpe sve bhavāyānāgase ruṣā	Bhu-_04.01.066/1 pitari apratirUpe sve BavAya-anAgase ruzA
   BhP_04.01.066/2 aprauḍhaivātmanātmānam ajahād yoga-saṃyutā	Bhu-_04.01.066/2 aprOXA-eva-AtmanA-AtmAnam ajahAt yoga--saMyutA
   BhP_04.02.001/0 vidura uvāca	Bhu-_04.02.001/0 viduraH uvAca
   BhP_04.02.001/1 bhave śīlavatāṃ śreṣṭhe dakṣo duhitṛ-vatsalaḥ	Bhu-_04.02.001/1 Bave SIlavatAm SrezWe dakzaH duhitR-vatsalaH
   BhP_04.02.001/2 vidveṣam akarot kasmād anādṛtyātmajāṃ satīm	Bhu-_04.02.001/2 vidvezam akarot kasmAt anAdRtya-AtmajAm satIm
   BhP_04.02.002/1 kas taṃ carācara-guruṃ nirvairaṃ śānta-vigraham	BhP_04.02.002/1 kaH tam carAcara--gurum nirvEram SAnta--vigraham
   BhP_04.02.002/2 ātmārāmaṃ kathaṃ dveṣṭi jagato daivataṃ mahat	Bhu-_04.02.002/2 Atma-ArAmam kaTam dvezwi jagataH dEvatam mahat-
   BhP_04.02.003/1 etad ākhyāhi me brahman jāmātuḥ śvaśurasya ca	Bhu-_04.02.003/1 etat AKyAhi me brahman jAmAtuH SvaSurasya ca
   BhP_04.02.003/2 vidveṣas tu yataḥ prāṇāṃs tatyaje dustyajān satī	Bhu-_04.02.003/2 vidvezaH tu yatas prANAn tatyaje dustyajAn satI
   BhP_04.02.004/0 maitreya uvāca	Bhu-_04.02.004/0 mEtreyaH uvAca
   BhP_04.02.004/1 purā viśva-sṛjāṃ satre sametāḥ paramarṣayaḥ	Bhu-_04.02.004/1 purA viSva-sRjAm satre sametAH parama-RzayaH
   BhP_04.02.004/2 tathāmara-gaṇāḥ sarve sānugā munayo 'gnayaḥ	Bhu-_04.02.004/2 taTA-amara--gaNAH sarve sa-anugAH munayaH agnayaH
   BhP_04.02.005/1 tatra praviṣṭam ṛṣayo dṛṣṭvārkam iva rociṣā	Bhu-_04.02.005/1 tatra pravizwam RzayaH dRzwvA-arkam iva rocizA
   BhP_04.02.005/2 bhrājamānaṃ vitimiraṃ kurvantaṃ tan mahat sadaḥ	Bhu-_04.02.005/2 BrAjamAnam vitimiram kurvantam tat mahat sadaH
