   %Chapter 1: introduction,	%ChapteH 1: intra-uductiA-Un,
   %visualisation of 5-faced, 16-armed Bhairava	%visuali-sation of 5-faced, 16-armet BhEH-ava
   TiUdgh1.9ab: kaṭakanāgarājendra&keyūrai<ḥ> kaṭisūtrakai<ḥ>% kaṭaka=aṅgada	Tiu-udG1.9ab: kawaka-nAga-rAja-indra&keyUrE<H> kawi-sUtrakE<H>% kawaka-=aFgada
   TiUdgh1.9cd: śobhate devadeveśaṃ & umādehārdhadhāriṇam	Tiu-udG1.9cd: SoBate devadeveSam & umA-deha-arDa-DAriNam
   TiUdgh1.10ab: khaḍgāṅgadhāriṇaṃ deva<ṃ> & śūlapāṇibhayānakam	Tiu-udG1.10ab: Kaxga-aFga-DAriNam deva<M> & SUlapANi-BayAnakam
   TiUdgh1.10cd: [mahā]sa*dharaṃ vīraṃ & tathā vajrāsidhāriṇam	Tiu-udG1.10cd: [mahA]-sa*Daram vIram & taTA vajra-asi-DAriNam
   TiUdgh1.11ab: śaktiparaśuhastaś ca & akṣamālāvibhūṣitam \var{-hastaś\lem	Tiu-udG1.11ab: Sakti-paraSu-hastaH ca & akza-mAlA-viBUzitam \var{--hasta-S\lem
   \em; hastāś \N}	\em; hastAH \N}
   TiUdgh1.11cd: mahāśavakarāṃbhoja&sukṛtakarṇṇipūritaṃ	Tiu-udG1.11cd: mahA-Sava-kara-aMBoja&-su-kRta-karNNi-pUritam
   \var{mahāśavakarāṃbhoja\lem \em; mahāśavakare bhojanaṃ \N}\testim{\SiYoMa	\var{-mahA-Sava-kara-aMBaH-ja\lem \em; mahA-Sava-kare Bojanam \N}\teH-tim{\-SiYoMa
   6.22cd; \TaSaBha 4.18cd}\com{sukṛtakarṇṇipūritaṃ:: aiśa for:	6.22cd; \Ta-SaBha 4.18cd}\-ca-um{-su-kRta-karNNi-pUritaM:: ESa for:
   karṇapūrīkṛta, ``made into earrings''.}	karNapUrIkRta, ``made intaH earrings-aa.}
   TiUdgh1.12ab: gajacarmottarīyañ ca & ghaṇṭāhastabhayānakaṃ	Tiu-udG1.12ab: gaja-carma-uttarIyan ca & GaNwA-hasta-BayAnakam
   \var{ghaṇṭā-\lem \em; ghaṣṭhā \N}	\var{-GaNwA--\lem \em; GazWAH \N}
   TiUdgh1.12cd: vyāghracarmmaparīdhānād & duṣprekṣa<ṃ> tṛdaśair api	Tiu-udG1.12cd: vyAGra-carmma-parIDAnAt & duzprekza<M> tRdaSEH api
   TiUdgh1.13ab: koṭarākṣamahāśastraḥ & mahāmudrāvibhūṣitā	Tiu-udG1.13ab: kowara-akza-mahA-SastraH & mahAmudrA-viBUzitA
   TiUdgh1.13cd: lelihāntamahājihvā&saṃsārosṛṣṭikārakaḥ %or should it be	Tiu-udG1.13cd: lelihA-anta-mahA-jihvA&-saMsAraH-sRzwi-kArakaH %oH should id be
   asṛṣṭi?	asRzwi?
   TiUdgh1.14ab: kapālaṃ vāmahastasthaḥ & tathā ḍamarukaṃ kare	Tiu-udG1.14ab: kapAlam vAma-hasta-sTaH & taTA xamarukam kare
   TiUdgh1.14cd: cakrapāṇidhanuś caiva & sarodyanakare tathā %em: śarodyata-	Tiu-udG1.14cd: cakrapANiDanuH ca-eva & sarodyana-kare taTA %em: Sara-udyata-
   TiUdgh1.15ab: pa[dma?]hastasaṣīnañ ca & tathā bhaṭṭārikaṅ kare %em:	Tiu-udG1.15ab: pa[dma?]-hasta-sazInan ca & taTA BawwAri-kaF kare %em:
   bhaṭṭārikāṃ?	BawwArikAM?
   TiUdgh1.15cd: hasan{taṃ} kilakilāyantaṃ & mahābhīmo [']ṭṭahāsitam	Tiu-udG1.15cd: hasan{taM} kilakilAyantam & mahA-BImaH [-a]wwahAsitam
   TiUdgh1.16ab: bhairavaṃ rūpam āsthāya & mahāyogibhir āvṛtaḥ	Tiu-udG1.16ab: BEravam rUpam AsTAya & mahA-yogiBiH AvRtaH
   TiUdgh1.16cd: evaṃ sukha...	Tiu-udG1.16cd: evam suKa...
   [[1 folio missing]]	[[1 foliaH missing]]
   [[fol. 28r]] ...kaulikasya ca amṛtam	[[fol. 28r]] ...kOlikasya ca amRtam
   mūrkhasya śāstrasadbhāvam & kumārīstrīsukhaṃ yathā	mUrKasya SAstra-sadBAvam & kumArI-strI-suKam yaTA
   tathā pāpiṣṭhapuruṣaḥ & kaulikasya parā<ṅ>mukha<ḥ>	taTA pApizWa-puruzaH & kOlikasya parA<F>muKa<H>
   eva ajñānamūḍh<ā>s tu & śāstrajālena mohitā<ḥ>	eva ajQAna-mUX<A>H tu & SAstra-jAlena mohitA<H>
   na jānanti parānanda<ṃ> & kulajñānaparāmṛtam \var{-āmṛtam\lem -āmṛtā \N}	na jAnanti para-Ananda<M> & kula-jQAna-para-amRtam \var{-a-amRta-m\lem -A-amRtA \N}
   %standard kaula liṅga-rejection passage:	%H-tandart kOla liFga-rejet-tion passage:
   yatheṣṭasiddhidaṃ devi & icchāśaktir adhiṣṭhitā	yaTezwa-sidDi-dam devi & icCA-SaktiH aDizWitA
   yena yena tu veśena & yena tena vratena vā	yena yena tu veSena & yena tena vratena vA
   na yatra nānacācāra&dvaitādvaitayathepsayā	na yatra nAnacA-AcAra&-dvEtAt-vEtayaTa-IpsayA
   avasare tu yadāhaṃ & tadāhañ carukopamaṃ	avasare tu yadA-aham & tadA-Ahan caruka-upamam
   gṛhastho brahmacārī vā & [savāsā**]rūpi vā	gRhasTaH brahmacArI vA & [savAsA**]-rUpi vA
   yathepsa varttamānasya & yatra tatra sthito pi vā	yaTA-Ipsa varttamAnasya & yatra tatra sTitaH pi vA
   yathā tathāpi deveśi & gurugurutarasvinam	yaTA taTA-api deveSi & guru-gurutarasvinam
   rudraśaktisamāveśā[t] & kaul[eyoṇi]na sidhyati %em: kaulayogena siddhyati?	rudra-Sakti-samAveSa-a[t] & kOl[eyoNi]na siDyati %em: kOla-yogena sidDyati?
   \orn iti timirodghāṭane dvitīyaḥ paṭalaḥ	\a-Ur iti timira-udGAwane dvitIyaH pawalaH
   %paṭala 3 praises kaula against vaineya (ordinary Śaiva)	%pawala 3 prEseH kOla agEnst vEneya (oH-dinarI ŚA-eva)
   bhairava uvāca //	BEravaH uvAca //
   TimUdgh3.1ab: granthārtha<ṃ> vadate loke & anyathātmā samācare	Timu-udG3.1ab: granTa-arTa<M> vadate loke & anyaTA-AtmA samAcare
   TimUdgh3.1cd: [vidyāh*]paṇḍityair & garvvitā kugatir gatā	Timu-ud-G3.1cd: [vidyA-h*]-paNxityEH & garvvitA ku-gatiH gatA
   TimUdgh3.2ab: akṣarārthena santuṣṭā & vedaśāstrārthacintakā	Timu-udG3.2ab: akzara-arTena santuzwA & veda-SAstra-arTa-cintakA
   TimUdgh3.2cd: na vindati paraṃ śāntaṃ & mohitā arthapaṇḍitā	Timu-ud-G3.2cd: na vindati param SAntam & mohitA arTa-paNxitA
   TimUdgh3.3ab: ***[[fol28v]]sya kuto jñānaṃ & granthakoṭiśatair api	Timu-udG3.3ab: ***[[fol28v]]sya kutas jQAnam & granTa-kowi-SatEH api
   TimUdgh3.3cd: karpūrakuṃkumādīni & kharovāhi nirarthakaḥ%?	Timu-udG3.3cd: karpUra-kuMkuma-AdIni & KarovAhi nirarTakaH%?
   TimUdgh3.4ab: vinayāsiddhābhiś caiva & bahava kṣipya mohitā % on vinaya,	Timu-udG3.4ab: vinaya-asidDABiH ca-eva & bahava kzipya mohitAH % on vinaya,
   vaineya see also TaĀl 37.28	vA-eneya see alsaH TaĀt 37.28
   TimUdgh3.4cd: kaula[k]**rānandaṃ & na vindanti varānane	Timu-ud-G3.4cd: kOla[k]**ra-Anandam & na vindanti varAnane
   TimUdgh3.5ab: mantratantreṣu santuṣṭā & kiñci svāditapratyayaḥ	Timu-udG3.5ab: mantra-tantrezu santuzwA & kiQci svAdita-pratyayaH
   TimUdgh3.5cd: aprāpya kaulikajñānaṃ & santuṣṭā vinaye narā<ḥ>	Timu-ud-G3.5cd: aprApya kOlika-jQAnam & santuzwAH vinaye narA<H>
   TimUdgh3.6ab: śuklapītā[di]**ṣṭh[ā/o] & anyam vā kaṭukādikam	Timu-udG3.6ab: Sukla-pItA[di]**zW[A/o] & anyam vA kawuka-Adikam
   TimUdgh3.6cd: kuṇḍalā varttulākārā & dahanāpyāyanan tathā	Timu-ud-G3.6cd: kuNxalAH varttula-AkArAH & dahana-ApyAyanan taTA
   TimUdgh3.7ab: evamādi tathā cānya & bhūtaśuddhi tathāparā	Timu-udG3.7ab: evamAdi taTA ca-anyaH & BUtaSudDi taTA-aparA
   TimUdgh3.7cd: bindunāda tathā [śakti] & sūkṣūṃsvādhvānam eva ca %stages of	Timu-ud-G3.7cd: bindunAda taTA [Sakti] & sUkzUMsva-aDvAnam eva ca %stageH of
   uccāra?	uccAra?
   TimUdgh3.8ab: jñānatattvavidhi<ṃ> jñātvā & śaivāsantuṣṭamānavāḥ	Timu-udG3.8ab: jQAna-tattva-viDi<M> jQAtvA & SEvA-santuzwa-mAnavAH
   TimUdgh3.8cd: kaulikaṃ tu sarve saṅg<ā> & yoginīnām mahātmanā %metri causa	Timu-ud-G3.8cd: kOlikam tu sarve saFg<A> & yoginInAm mahAtmanA %metri cOsa
   for mahātmānaḥ ?	foH mahAtmAnaH ?
   TimUdgh3.9ab: [vaineyik<ās> ta]thā kīṭā & paśutvaṃ parikīrtitā<ḥ> %V's are	Timu-udG3.9ab: [vEneyik<As> ta]TA kIwAH & paSu-tvam parikIrtitA<H> %V-as are
   worms!	wa-Urms!
   TimUdgh3.9cd: sauvarṇamṛnmayā cāpi & gajasya maśakasya ca	Timu-ud-G3.9cd: sOvarNa-mRd-mayA ca-api & gajasya maSakasya ca
   TimUdgh3.10ab: tādṛśamatena-n devi & kaulavainyikasya ca %defective	Timu-udG3.10ab: tAdRSa-matena-n devi & kOlavEnyikasya ca %defective
   syntax. The passage presumably intends to compare gold and elephant to the	syntax. The passa-ge presum-ablI intends taH ca-umpare gold and elePant taH Te
   kaula, and clay and mosquito to the vaineya.	kOla, and clay and mosquitaH taH Te vEneya.
   TimUdgh3.10cd: gaganeṣu parācandra&saṃgra*ṣu gajaṃ yathā	Timu-ud-G3.10cd: gaganezu parA-candra&-saMgra*zu gajam yaTA
   TimUdgh3.11ab: tathā śobhate kaulīśa & bhramanta pṛthivītale	Timu-udG3.11ab: taTA SoBate kOlISaH & Bramanta pRTivI-tale
   TimUdgh3.11cd: rañji[t]okṣarasaṃyuktaṃ & kaulavidyākṣarānvitaṃ	Timu-ud-G3.11cd: raQji[t]a-ukzara-saMyuktam & kOla-vidyA-akzara-anvitam
   TimUdgh3.12ab: dhyānacintāmaṇir yogaṃ & acintyaci	Timu-udG3.12ab: DyAna-cintAmaNiH yogam & acintyaci
   [[folio missing]]	[[foliaH missing]]
   %chapter 4 how śakti manifests (with symptoms) in the body	%CapteH 4 how Sakti manifestH (wiT symptoms) id Te body
   TiUdgh04.1ab: [[fol.30r]] dehe katham bhavet	Tiu-udG04.1ab: [[fol.30r]] dehe kaTam Bavet-
   TiUdgh04.1cd: saṃśayo me mahādeva & etat kathaya sureśvara{ḥ}	Tiu-udG04.1cd: saMSayaH me mahAdeva & etat kaTaya sureSvara{H}
   bhairava uvāca	BEravaH uvAca
   TiUdgh04.2ab: sarvvavyāpī tu sā devi & hṛdaye sarvadehinā[ṃ]	Tiu-udG04.2ab: sarvu-avyApI tu sA devi & hRdaye sarva-dehinA[M]
   TiUdgh04.2cd: jñānopadeśaratnena & bodhitā sa vibudhyati	Tiu-udG04.2cd: jQAna-upadeSa-ratnena & boDitA sa vibuDyati
   TiUdgh04.3ab: yo sau vyāpakarūpeṇa & śivaśaktisamek[ṣ]atau	Tiu-udG04.3ab: yaH sO vyApaka-rUpeNa & Siva-Sakti-samek[z]atO
   TiUdgh04.3cd: rudraśaktir iyaṃ devi & āveśagurumukhe sthitaṃ	Tiu-udG04.3cd: rudra-SaktiH iyam devi & AveSa-guru-muKe sTitam
   %hypermetrical	%hi-peH-metri-cal
   TiUdgh04.4ab: yo sau acintyam ity āhu<ḥ> & śivaṃ paramakāraṇaḥ	Tiu-udG04.4ab: yaH sO acintyam iti Ahu<H> & Sivam parama-kAraNaH
   TiUdgh04.4cd: tasye[ś]ānirgatā śakti & nādabinduprabhedinī	Tiu-udG04.4cd: tasye[S]A-nirgatA Sakti & nAdabindu-praBedinI
   TiUdgh04.5ab: tasyoccāritamātreṇa & pratyayaś copajāyate	Tiu-udG04.5ab: tasya-uccArita-mAtreNa & pratyayaH ca-upajAyate
   TiUdgh04.5cd: kar[mm]at**hapiṇḍaṃ tu & tasya stobha prajāyate	Tiu-udG04.5cd: kar[mm]at**hapiNxam tu & tasya stoBa prajAyate
   TiUdgh04.6ab: ābhyāse divya vidyate & divya devi tanusthitaṃ	Tiu-udG04.6ab: AByAse divya vidyate & divya devi tanu-sTitam
   TiUdgh04.6cd: tasya māse{s} tṛbhir devi & yoginī[bheda]darśanaṃ	Tiu-udG04.6cd: tasya mAse{-s} tRBiH devi & yoginI[Beda]-darSanam
   TiUdgh04.7ab: paśyate divyadevāś ca & vimānastho varānane	Tiu-udG04.7ab: paSyate divya-devAH ca & vimAna-sTaH varAnane
   TiUdgh04.7cd: yathābhyāsatayā devi &yathāsṛṣṭi pravarttate %sṛṣṭibīja	Tiu-udG04.7cd: yaTA-aByAsa-tayA devi &yaTA-sRzwi pravarttate %sRzwi-bIja
   intended?	intA-inded?
   TiUdgh04.8ab: hṛdayaṃ kampate pūrvvaḥ & tālukoccāram eva ca	Tiu-udG04.8ab: hRdayam kampate pUrvvaH & tAlukA-uccAram eva ca
   TiUdgh04.8cd: śirañ ca bhramate na sā & sṛṣṭisaṃkrāntilakṣaṇaṃ	Tiu-udG04.8cd: Siran ca Bramate na sA & sRzwi-saMkrAnti-lakzaNam
   TiUdgh04.9ab: ekaika bhrāmayed [evaṃ] & aṅgapratyaṅgasandhiṣu	Tiu-udG04.9ab: ekEka BrAmayet [evaM] & aFga-pratyaFga-sanDizu
   TiUdgh04.9cd: ghūrmmitā sarvvadeho 'yaṃ & kaulavidyāprabhāvataḥ	Tiu-udG04.9cd: GUrmmitA sarvu-adehaH ayam & kOla-vidyA-praBAvataH
   TiUdgh04.10ab: ***[[fol.30v]] ni vikārāṇi & avasthā kurutepsayā %double	Tiu-udG04.10ab: ***[[fol.30v]] ni vikArANi & avasTA kuruta-IpsayA %double
   sandhi	sanDi
   TiUdgh04.10cd: teṣu teṣu na bhetavyaṃ & krīḍate parameśvarī	Tiu-udG04.10cd: tezu tezu na Betavyam & krIxate parameSvarI
   TiUdgh04.11ab: na ca bhūtapiśācāṃ vā & na mohena ca pīḍitā	Tiu-udG04.11ab: na ca BUta-piSAcAm vA & na mohena ca pIxitA
   TiUdgh04.11cd: na cā*h*niruddhe gaṃ*&*ca pīḍā vimucyate	Tiu-udG04.11cd: na ca-a*h*nirudDe gaM*&*ca pIxA vimucyate
   TiUdgh04.12ab: icchāśaktisvarūpeṇa & guruṃ bhavati yoginaḥ	Tiu-udG04.12ab: icCA-Sakti-svarUpeNa & gurum Bavati yoginaH
   TiUdgh04.12cd: ratyānandakarī dehe & sarvvapāpaharim parā	Tiu-udG04.12cd: rati-Ananda-karI dehe & sarvu-apApa-harim parA
   TiUdgh04.13ab: putramitrakala*ṇi& śā&*idhanasa*yaṃ	Tiu-udG04.13ab: putra-mitra-kala*Ni& SA&*iDana-sa*yam
   TiUdgh04.13cd: iṣṭā aniṣṭatā yānti & yogasvāditamānasā	Tiu-udG04.13cd: izwAH anizwatA yAnti & yoga-svAdita-mAnasA
   TiUdgh04.14ab: paśyate divyadevāś ca & vimānasthā varānane	Tiu-udG04.14ab: paSyate divya-devAH ca & vimAna-sTAH varAnane
   TiUdgh04.14cd: mantratantrakṛtāveśā&***ṣṭam acetanam	Tiu-udG04.14cd: mantra-tantra-kRta-AveSA&***zwam acetanam
   TiUdgh04.15ab: rudraśaktisamāveśaṃ & nityāveśam acetanaṃ	Tiu-udG04.15ab: rudra-Sakti-samAveSam & nitya-AveSam acetanam
   TiUdgh04.15cd: divyadevaiś ca saṃyogā & paramānandakāraṇam	Tiu-udG04.15cd: divya-devEH ca saMyogAH & parama-Ananda-kAraNam
   TiUdgh04.16ab: brahmāṇḍā[dara]pra[kṛ*]&bhuktimuktiphalapradā	Tiu-udG04.16ab: brahmANxA[-dara]-pra[kR*]&Bukti-mukti-Pala-pradA
   TiUdgh04.16cd: rudraśaktisamāveśaṃ & śabdadṛṣṭiṣu jāyate	Tiu-udG04.16cd: rudra-Sakti-samAveSam & Sabda-dRzwizu jAyate
   TiUdgh04.17ab: na jānāti divārātrau & yuktayogo varānane	Tiu-udG04.17ab: na jAnAti divArAtrO & yukta-yogaH varAnane
   TiUdgh04.17cd: kṣudhātṛṣ<ṇ>aṃ na jānanti & aṅgapīḍā na tasya vai	Tiu-udG04.17cd: kzuDA-tRz<N>am na jAnanti & aFga-pIxA na tasya vE
   TiUdgh04.18ab: jāyate hṛṣṭituṣṭiñ ca & sadā ānandam eva ca	Tiu-udG04.18ab: jAyate hRzwi-tuzwin ca & sadA Anandam eva ca
   TiUdgh04.18cd: kurute cetanāyukto & mudrābandham anekadhā	Tiu-udG04.18cd: kurute cetanA-yuktaH & mudrA-banDam anekaDA
   TiUdgh04.19ab: kampanaṃ geyanṛtyañ ca & vikārabahuvidhas tathā %	Tiu-udG04.19ab: kampanam geya-nRtyan ca & vikAra-bahuviDaH taTA %
   hypermetrical	hi-peH-metri-cal
   TiUdgh04.19cd: [[fol.31r]] kurute malavikāreṇa & bahujanyāsvayaṅkṛtaṃ	Tiu-udG04.19cd: [[fol.31r]] kurute mala-vikAreNa & bahu-janyA-svayaFkRtam
   TiUdgh04.20ab: dhunate ca malasarddha&parāśaktitanusthitaṃ	Tiu-udG04.20ab: Dunate ca mala-saRdDa&parA-Sakti-tanu-sTitam
   TiUdgh04.20cd: asatyayadita{ṃ?]ve coktaṃ & di[ṣṭyā] naiva pravarttate	Tiu-udG04.20cd: asatyayat-ita{M?]ve ca-uktam & di[zwyA] na-eva pravarttate
   TiUdgh04.21ab: yogacihnan na paśyete & na vidyākramitā kvacit	Tiu-udG04.21ab: yoga-cihnan na paSyete & na vidyA-kramitA kvacid-
   TiUdgh04.21cd: kramitā yadi bhave tasya & tataḥ paśyati niścitaṃ %	Tiu-udG04.21cd: kramitA yadi Bave tasya & tatas paSyati niScitam %
   hypermetrical	hi-peH-metri-cal
   TiUdgh04.22ab: anyathā śāstrakoṭiṣu & evaṃvin na pravartate	Tiu-udG04.22ab: anyaTA SAstra-kowizu & evaMvid na pravartate
   iti timirodghāṭane caturthaḥ paṭalaḥ //\orn	iti timira-udGAwane caturTaH pawalaH //\oH-n
   %kaulajñānopadeśa and its rewards	%kOla-jQAna-upadeSa and its rewards
   bhairva uvāca	BErvaH uvAca
   TimUdgh5.1ab: śṛṇu devi adhordhvena & kaulajñānopadeśikaṃ	Timu-udG5.1ab: SRNu devi aDorDvena & kOla-jQAna-upadeSikam
   TimUdgh5.1cd: guro-padeśalabdhaṃ tu & bhuktimuktiphalapradaṃ %weird sandhi	Timu-ud-G5.1cd: guro-padeSa-labDam tu & Bukti-mukti-Pala-pradam %weird sanDi
   guropadeśa- or is it meant to be guroḥ+upadeśa-	gura-upadeSa oH iH id meant taH be guroH+upadeSa-
   TimUdgh5.2ab: yadā saṃkrāmitajñānaṃ & tadā mukti<ḥ> suniścitaṃ	Timu-udG5.2ab: yadA saMkrAmita-jQAnam & tadA mukti<H> su-niScitam
   TimUdgh5.2cd: kulālacakravad devi & kramati dehapañjaraḥ	Timu-ud-G5.2cd: kulAla-cakra-vat devi & kramati deha-paQjaraH
   TimUdgh5.3ab: [anu**ā*]ye satvā & jñānavīryāprakāśitaṃ	Timu-udG5.3ab: [anu**A*]ye satvA & jQAna-vIrya-aprakASitam
   TimUdgh5.3cd: bhuñjate vividhā bhogā & bhuktimuktiphalapradaṃ	Timu-ud-G5.3cd: BuQjate viviDA BogAH & Bukti-mukti-Pala-pradam
   TimUdgh5.4ab: ākarṣaṇavaśīkaraṇam & vidveṣoccāṭanamāraṇaṃ %hyperm.	Timu-udG5.4ab: AkarzaNa-vaSIkaraNam & vidveza-uccAwana-mAraNam %hi-perm.
   TimUdgh5.4cd: rājasammānanañ caiva & stobhastambhādivās tathā	Timu-ud-G5.4cd: rAja-sammAnanan ca-eva & stoBa-stamBa-AdivAH taTA
   TimUdgh5.5ab: kurute pratyayaṃ [hyetaṃ?] & vācāsiddhim anekadhā	Timu-udG5.5ab: kurute pratyayam [hi-etaM?] & vAcA-sidDim anekaDA
   TimUdgh5.5cd: mantratantreṣu ye coktā & te pi vidyā prayacchati	Timu-udG5.5cd: mantra-tantrezu ye ca-uktA & te pi vidyA prayacCati
   TimUdgh5.6ab: śa*karmāsu saṃsiddhā & sarvakarmaphalapradā	Timu-udG5.6ab: Sa*karmAsu saMsidDAH & sarva-karma-Pala-pradA
   TimUdgh5.6cd: sarvatantrottam[āv*]ā & sarvavarṇeṣu bheditā	Timu-ud-G5.6cd: sarva-tantra-uttam[O=-*]A & sarva-varNezu BeditA
   TimUdgh5.7ab: mṛtasaṃjīvanī śubhā & stobhākarṣe tu cāruṇā %orange	Timu-udG5.7ab: mRta-saMjIvanI SuBA & stoBAkarze tu ca-aruNA %a-urange
   TimUdgh5.7cd: stambha**nipītābhā& sadhūmoccāṭane smṛtā %yellow	Timu-ud-G5.7cd: stamBa**-nipIta-ABA& sa-DUma-uccAwane smRtA %yet-low
   TimUdgh5.8ab: ripumṛtyukarā kṛṣṇā & saṅkrāme raktavarṇikā %black, red	Timu-udG5.8ab: ripu-mRtyu-karA kRzNA & saFkrAme rakta-varNikA %black, red
   TimUdgh5.8cd: śriyā vibhāti padmābhā & muktvāṃ <*> kāntitejasā	Timu-ud-G5.8cd: SriyA viBAti padma-ABA & muktvAm <*> kAnti-tejasA
   TimUdgh5.9ab: aṇimālaghimāñ caiva & mahimāṃ prāptir eva ca	Timu-udG5.9ab: aNima-alaGimAn ca-eva & mahimAm prAptiH eva ca
   TimUdgh5.9cd: prākāmyaśivatattvañ ca & vaśitvaṃ yatra kāmatāḥ	Timu-ud-G5.9cd: prAkAmya-Siva-tattvan ca & vaSitvam yatra kAma-tAH
   TimUdgh5.10ab: śravaṇādarśanādaraṃ & aṣṭamaṃ parikīrtitam	Timu-udG5.10ab: SravaNa-adarSana-Adaram & azwamam parikIrtitam
   TimUdgh5.10cd: kaulividyāprabhāvena & aiśvaryāṣṭaguṇām bhavet %em:	Timu-udG5.10cd: kOlividyA-praBAvena & ESvarya-azwaguNAm Bavet %em:
   kaulavidyā-	kOlavidyA-
   TimUdgh5.11ab: utpadyate guṇā yena & tam priyaṃ kathayāmy aham	Timu-udG5.11ab: utpadyate guNAH yena & tam priyam kaTayAmi aham
   TimUdgh5.11cd: dvādaśāni ca ślokāni & [*ditāsarvvada]rśanaṃ %mudritāḥ /	Timu-ud-G5.11cd: dvAdaSAni ca SlokAni & [*ditA-sarvvada]rSanam %mudritAH /
   gaditāḥ / uditā ?	gaditAH / uditA ?
   %``taught in all sciences''? or ``said to be the essence	%``ta-oGt id all sciet-ces-aa? oH ``sEt taH be Te esset-ce
   (sarvaṃ=sarvasvaṃ) of all schools''?	(sarvan=sarva-svaM) of all sSoolsaa?
   TimUdgh5.12ab: gopitavyaṃ prayatnena & lekhakena na lekhayet	Timu-udG5.12ab: gopitavyam prayatnena & leKakena na leKayet-
   TimUdgh5.12cd: dvādaśāni ca ślokāni & saptāhena varānane	Timu-ud-G5.12cd: dvAdaSAni ca SlokAni & sapta-ahena varAnane
   TimUdgh5.13ab: nāpaṭhe dīyate tasya & karṇṇākarṇe [tu] sañcaret	Timu-udG5.13ab: na-apaWe dIyate tasya & karNNAkarNe [tu] saQcaret-
   TimUdgh5.13cd: taṃ labdhvā tu bhave siddhi & ucchare	Timu-ud-G5.13cd: tam labDvA tu Bave sidDi & ucCare
   sṛṣṭisamarasaṃ%hyperm.	sRzwi-samara-saM%hyperm.
   TimUdgh5.14ab: tatkṣaṇā bandhate mudrā & khecarī tu na saṃśayaḥ	Timu-udG5.14ab: tad-kzaNA banDate mudrA & KecarI tu na saMSayaH
