   Rudrabhaṭṭaḥ: Śṛṅgāratilakaḥ	Rudra-BawwaH: ŚRFgAratilakaH
   svakīyā parakīyā ca sāmānyavanitā tathā /	svakIyA parakIyA ca sAmAnya-vanitA taTA /
   kalākalāpakuśalās tisras tasyeha nāyikāḥ // ST_1.33 //	kalA-kalApa-kuSalAH tisraH tasya-iha nAyikAH // ST_1.33 //
   paurācāraratā sādhvī kṣamārjavavibhūṣitā /	pOra-AcAra-ratA sADvI kzamA-Arjava-viBUzitA /
   mugdhā madhyā pragalbhā ca svakīyā trividhā matā // ST_1.34 //	mugDA maDyA pragalBA ca svakIyA triviDA matAH // ST_1.34 //
   mugdhā navavadhūs tatra navayauvanabhūṣitā /	mugDA nava-vaDUH tatra nava-yOvana-BUzitA /
   navānaṅgarahasyāpi lajjāprāyaratir yathā // ST_1.35 //	nava-anaFga-rahasyA-api lajjA-prAya-ratiH yaTA // ST_1.35 //
   gataṃ karṇābhyarṇe prasarati tathāpy akṣiyugalaṃ	gatam karNa-aByarNe prasarati taTA-api akzi-yugalam
   kucau kumbhārambhau tad api cibukottambhanarucī /	kucO kumBa-AramBO tat api cibuka-uttamBana-rucI /
   nitambaprāgbhāro gurur api gurutvaṃ mṛgayate	nitamba-prAgBAraH guruH api guru-tvam mRgayate
   kathaṃcin no tṛptis taruṇimani manye mṛgadṛśaḥ // ST_1.35a //	kaTaMcid no tRptiH taruNimani manye mRga-dRSaH // ST_1.35aH //
   yathā romāñco'yaṃ stanabhuvi lasatsvedakaṇiko	yaTA romAQcaH-ayam stana-Buvi lasat-sveda-kaNikaH-
   yathā dṛṣṭis tiryak patati sahasā saṅkucati ca /	yaTA dRzwiH tiryak patati sahasA saFkucati ca /
   tathā śaṅke'muṣyāḥ praṇayini darāsvāditarasaṃ	taTA SaFke-amuzyAH praNayini darAsvAditara-saM
   na madhyasthaṃ cetaḥ praguṇaramaṇīyaṃ na ca dṛḍham // ST_1.35b //	na maDya-sTam cetaH praguNa-ramaNIyam na ca dRXam // ST_1.35B //
   virama nātha vimuñca mamāñcalaṃ	virama nATa vimuQca mama-aQcalam
   śamaya dīpam iyaṃ samayā sakhī /	Samaya dIpam iyam samayA saKI /
   iti navoḍhavadhūvacasā yuvā	iti nava-UXa-vaDU-vacasA yuvA
   mudam agād adhikāṃ suaratād api // ST_1.35c // (Skm 501)	mudam agAt aDikAm suaratAt api // ST_1.35t // (Skm 501)
   sakampā cumbane vaktraṃ haraty eṣopagūhitā /	sa-kampA cumbane vaktram harati ezA-upagUhitAH /
   parāvṛtya ciraṃ talpa āste rantuṃ ca vāñchati // ST_1.36 //	parAvRtya ciram talpaH Aste rantum ca vAQCati // ST_1.36 //
   apaharati yadāsyaṃ cumbane śliṣyamāṇā	apaharati yadA-Asyam cumbane SlizyamANA
   valati ca śayanīye kampate ca prakāmam /	valati ca SayanIye kampate ca prakAmam /
   vadati ca yad alakṣyaṃ kiñcid uktāpi bhūyo	vadati ca yat alakzyam kiQcid uktA-api BUyo
   ramayati sutarāṃ taccittam antar navoḍhā // ST_1.36a //	ramayati sutarAm tad-cittam antar na-va-UXAH // ST_1.36aH //
   mugdhām āvarjayaty eṣa mṛdūpāyena sāntvayan /	mugDAm Avarjayati eza mRdu-upAyena sAntvayan /
   nātibhītikarair bhāvaair nibandhair bālabhīṣakaiḥ // ST_1.37 //	na-ati-BIti-karEH BAvaEH nibanDEH bAla-BIzakEH // ST_1.37 //
   sarati sarastīrād eṣā bhramadbhramarāvalī	sarati saraH-tIrAt ezA Bramat-Bramara-AvalI
   sumukhi vimukhī padme manye tavāsyapipāsayā /	su-muKi vimuKI padme manye tava-Asya-pipAsayA /
   iti nigadite kiñcid bhītyā vivartitakandharā	iti nigadite kiQcid BItyA vivartita-kanDarA
   vadanakamale bhartrā bālā ciraṃ paricumbitā // ST_1.37a //	vadana-kamale BartrA bAlA ciram paricumbitAH // ST_1.37aH //
   anyāṃ niṣevamāṇe'pi yadi kupyati sā priye /	anyAm nizevamANe-api yadi kupyati sA priye /
   rodity asyāgrataḥ svalpam anunītā ca tuṣyati // ST_1.38 //	roditi asya-agratas su-alpam anunItA ca tuzyati // ST_1.38 //
   manyau kṛte prathamam eva vikāram anyaṃ	manyO kRte praTamam eva vikAram anyam
   no jānatī navavadhū rudatī paraṃ sā /	no jAnatI nava-vaDuH rudatI param sA /
   dhūrtena locanajalaṃ parimṛjya gāḍhaṃ	DUrtena locana-jalam parimRjya gAXam
   saṃcumbya cādharadale gamitā prasādam // ST_1.38a //	saMcumbya ca-aDara-dale gamitA prasAdam // ST_1.38aH //
   ārūḍhayauvanā madhyā prādubhūtamanobhavā /	ArUXa-yOvanAH maDyA prAdu-BUta-manoBavAH /
   pragalbhavacanā kiñcid vicitrasuratā yathā // ST_1.39 //	pragalBa-vacanA kiQcid vicitra-suratAH yaTA // ST_1.39 //
   tarattāraṃ cakṣuḥ kṣapayati munīnām api dṛśaḥ	tarat-tAram cakzuH kzapayati munInAm api dRSaH
   kucadvandvākrāntaṃ hṛdayam ahṛdaḥ kānna kurute /	kuca-dvandva-AkrAntam hRdayam ahRdaH kAn-na kurute /
   gatir mandībhūtā harati gamanaṃ manmathavatā	gatiH mandIBUtA harati gamanam manmaTavatA
   maho tanvyās tulyaṃ taruṇimani sarvaṃ vijayate // ST_1.39a //	maho tanvyAH tulyam taruNimani sarvam vijayate // ST_1.39aH //
   dṛṣṭiḥ snihyati nirbharaṃ priyatame vaidagdhyabhājo giraḥ	dRzwiH snihyati nirBaram priyatame vEdagDya-BAjaH giraH
   pāṇiḥ kuntalamālikāviracane tyaktānyakāryagrahaḥ /	pANiH kuntala-mAlikA-viracane tyakta-anya-kArya-grahaH /
   vakṣaḥ saṃvriyate punaḥ punar idaṃ bhārālasaṃ gamyate	vakzaH saMvriyate punar punar idam BAra-alasam gamyate
   jātā subhru manoramā tava daśā kasmād akasmād iyam // ST_1.39b // (Skm	jAtA suBru manoramA tava daSA kasmAt akasmAt iyam // ST_1.39B // (Skm
   subhaga kuravakas tvaṃ no kim āliṅganoktiḥ	suBaga kuravakaH tvam no kim AliFganoktiH
   kim u mukhamadirecchuḥ kesaro no hṛdisthaḥ /	kim u muKa-madirecCuH kesaraH naH hRdisTaH /
   tvayi niyatam aśoke yujyate pādaghātaḥ	tvayi niyatam aSoke yujyate pAda-GAtaH
   priyam iti parihāsāt peśalaṃ kācid ūce // ST_1.39c //	priyam iti parihAsAt peSalam kAcid Uce // ST_1.39t //
   kānte tathā katham api prathitaṃ mṛgākṣyā	kAnte taTA kaTam api praTitam mRga-akzyA
   cāturyam uddhatamanobhavayā rateṣu /	cAturyam udData-manoBavayA ratezu /
   tatkūjitāny anuvadadbhir anekavāraṃ	tad-kUjitAni anuvadadBiH aneka-vAram
   śiṣyāyitaṃ gṛhakapotaśatair yathāsyāḥ // ST_1.39d //	SizyAyitam gRha-kapota-SatEH yaTA-asyAH // ST_1.39d //
   gāḍhaṃ vyāpriyate kāntaṃ ibatīva ratāv iyam /	gAXam vyApriyate kAntam ibati-iva ratO iyam /
   viśatīva tadaṅgeṣu muhyatīva sukhe yathā // ST_1.40 //	viSati-iva tad-aFgezu muhyati-iva suKe yaTA // ST_1.40 //
   kṛtvānekavidhāṃ rasena surate keliṃ kathañcic cirā	kRtvA-anekaviDAm rasena surate kelim kaTaQcid cirA
   tprāptāntaḥ sukhamīlitākṣiyugalā svidyat kapolasthalī /	tprApta-antaH suKa-mIlita-akzi-yugalA svidyat kapola-sTalI /
   supteyaṃ kila sundarīti subhagaḥ svairaṃ tathaivāsvaja	suptA-iyam kila sundarI-iti suBagaH svEram taTA-eva-asvaja
   dgāḍhānaṅgavimardaniḥsahavapurnidrāṃ sahaivāgataḥ // ST_1.40a //	dgAXA-anaFga-vimarda-niHsaha-vapuH-nidrAm saha-eva-AgataH // ST_1.40aH //
   sā dhīrā vakti vakroktyā priyaṃ kopāt kṛtāgasam /	sA DIrA vakti vakra-uktyA priyam kopAt kRta-Agasam /
   madhyā rodity upālambhair adhīrā paruṣaṃ yathā // ST_1.41 //	maDyAH roditi upAlamBEH aDIrA paruzam yaTA // ST_1.41 //
   upetya tāṃ dṛḍhaparirambhalālasa	upetya tAm dRXa-pariramBa-lAlasa
   ścirād abhūḥ pramupitacārucandanaḥ /	ScirAt aBUH pramupita-cAru-candanaH /
   dhṛtāñjanaḥ sapadi tadakṣicumbanā	DRtAQjanaH sapadi tad-akzi-cumbanA
   dihaiva te priya viditā kṛtārthatā // ST_1.41a //	diha-eva te priya viditA kRtArTa-tA // ST_1.41aH //
