   // om namo buddhāya //	// om namaH budDAya //
   Saundaranandaṃ Mahākāvyam	SOndara-nandam MahAkAvyam
   bandhumāniva yastasthau sarobhiḥ sasaroruhaiḥ // Saund_1.8 //	banDumAn-iva yaH-tasTO saroBiH sa-saroruhEH // SOnd-_1.8 //
   paryāptaphalapuṣpābhiḥ sarvato vanarājibhiḥ /	paryApta-Pala-puzpABiH sarvatas vana-rAjiBiH /
   śuśubhe vavṛdhe caiva naraḥ sādhanavāniva // Saund_1.9 //	SuSuBe vavRDe ca-eva naraH sADanavAn-iva // SOnd-_1.9 //
   nīvāraphalasantuṣṭaiḥ svasthaiḥ śāntairanutsukaiḥ /	nIvAra-Pala-santuzwEH svasTEH SAntEH-anutsukEH /
   ākīrṇo 'pi tapobhṛddhiḥ śūnyaśūnya ivābhavat // Saund_1.10 //	AkIrNaH api tapaH-BRt-DiH SUnya-SUnyaH iva-aBavat // SOnd-_1.10 //
   agnīnāṃ hūyamānānāṃ śikhināṃ kūjatāmapi /	agnInAm hUyamAnAnAm SiKinAm kUjatAm-api /
   tīrthānāṃ cābhiṣekeṣu śuśruve yatra niḥsvanaḥ // Saund_1.11 //	tIrTAnAm ca-aBizekezu SuSruve yatra niHsvanaH // SOnd-_1.11 //
   virejurhariṇā yatra suptā medhyāsu vediṣu /	virejuH-hariNA yatra suptAH meDyAsu vedizu /
   salājairmādhavīpuṣpairupahārāḥ kṛtā iva // Saund_1.12 //	sa-lAjEH-mADavI-puzpEH-upahArAH kRtAH iva // SOnd-_1.12 //
   api kṣudramṛgā yatra śāntāśceruḥ samaṃ mṛgaiḥ /	api kzudra-mRgAH yatra SAntAH-ceruH samam mRgEH /
   śaraṇyebhyastapasvibhyo vinayaṃ śikṣitā iva // Saund_1.13 //	SaraNyeByaH-tapasviByaH vinayam SikzitAH iva // SOnd-_1.13 //
   saṃdigdhe 'pyapunarbhāve viruddheṣvāgameṣvapi /	saMdigDe api-apunarBAve virudDezu-Agamezu-api /
   pratyakṣiṇa ivākurvaṃstapo yatra tapodhanāḥ // Saund_1.14 //	pratyakziNaH iva-akurvan=-tapaH yatra tapoDanAH // SOnd-_1.14 //
   yatra sma mīyate brahma kaiścit kaiścinna mīyate /	yatra sma mIyate brahma kEScid kEScid-na mIyate /
   kāle nimīyate somo na cākāle pramīyate // Saund_1.15 //	kAle nimIyate somaH na ca-akAle pramIyate // SOnd-_1.15 //
   nirapekṣāḥ śarīreṣu dharme yatra svabuddhayaḥ /	nirapekzAH SarIrezu Darme yatra sva-budDayaH /
   saṃhṛṣṭā iva yatnena tāpasāstepire tapaḥ // Saund_1.16 //	saMhRzwAH iva yatnena tApasAH-tepire tapaH // SOnd-_1.16 //
   śrāmyanto munayo yatra svargāyodyuktacetasaḥ /	SrAmyantaH munayaH yatra svargAya-udyukta-cetasaH /
   taporāgeṇa dharmasya vilopamiva cakrire // Saund_1.17 //	tapaH-rAgeNa Darmasya vilopam-iva cakrire // SOnd-_1.17 //
   atha tejasvisadanaṃ tapaḥkṣetraṃ tamāśramam /	aTa tejasvi-sadanam tapaH-kzetram tam-ASramam /
   kecidikṣvākavo jagmū rājaputrā vivatsavaḥ // Saund_1.18 //	kecid-ikzvAkavaH jagmuH rAja-putrAH vivatsavaH // SOnd-_1.18 //
   suvarṇastambhavarṣmāṇaḥ siṃhoreskā mahābhujāḥ /	suvarNa-stamBa-varzmANaH siMha-ureskAH mahA-BujAH /
   pātraṃ śabdasya mahataḥ śriyāṃ ca vinayasya ca // Saund_1.19 //	pAtram Sabdasya mahataH SriyAm ca vinayasya ca // SOnd-_1.19 //
   arharūpā hyanarhasya mahātmānaścalātmanaḥ /	arha-rUpA hi-anarhasya mahAtmAnaH-cala-AtmanaH /
   prājñāḥ prajñāvimuktasya bhrātṛvyasya yavīyasaḥ // Saund_1.20 //	prAjQAH prajQA-vimuktasya BrAtRvyasya yavIyasaH // SOnd-_1.20 //
   mātṛśulkādupagatāṃ te śriyaṃ [ca] viṣehire /	mAtR-SulkAt-upagatAm te Sriyam [ca] vizehire /
   rarakṣuśca pituḥ satyaṃ yasmācchiśiyire vanam // Saund_1.21 //	rarakzuH-ca pituH satyam yasmAt-SiSiyire vanam // SOnd-_1.21 //
   teṣāṃ munirupādhyāyo gautamaḥ kapilo 'bhavat /	tezAm muniH-upADyAyaH gOtamaH kapilaH aBavat /
   gurugotrādataḥ kautsāste bhavanti sma gautamāḥ // Saund_1.22 //	guru-gotrAt-atas kOtsAH-te Bavanti sma gOtamAH // SOnd-_1.22 //
   ekapitroryathā bhrātroḥ pṛthagguruparigrahāt /	eka-pitroH-yaTA BrAtroH pRTak-guru-parigrahAt /
   rāma evābhavad gārgyo vāsubhadro 'pi gautamaḥ // Saund_1.23 //	rAmaH eva-aBavat gArgyaH vAsuBadraH api gOtamaH // SOnd-_1.23 //
   śākavṛkṣapraticchannaṃ vāsaṃ yasmācca cakrire /	SAka-vRkza-praticCannam vAsam yasmAt-ca cakrire /
   tasmādikṣvākuvaṃśyāste bhuvi śākyā iti smṛtāḥ // Saund_1.24 //	tasmAt-ikzvAku-vaMSyAH-te Buvi SAkyAH iti smRtAH // SOnd-_1.24 //
   sa teṣāṃ gautamaścakre svavaṃśasadṛśīḥ kriyāḥ /	sa tezAm gOtamaH-cakre sva-vaMSa-sadRSIH kriyAH /
   munirūrdhvaṃ kumārasya sagarasyeva bhārgavaḥ // Saund_1.25 //	muniH-UrDvam kumArasya sagarasya-iva BArgavaH // SOnd-_1.25 //
   kaṇvaḥ śākuntalasyeva bharatasya tarasvinaḥ /	kaNvaH SAkuntalasya-iva Baratasya tarasvinaH /
   vālmikiriva dhīmāṃśca dhīmatormaithileyayoḥ // Saund_1.26 //	vAlmikiH-iva DImAn=-ca DImatoH-mETileyayoH // SOnd-_1.26 //
   tadvanaṃ muninā tena taiśca kṣatriyapuṅgavaiḥ /	tat-vanam muninA tena tEH-ca kzatriya-puFgavEH /
   śāntāṃ guptāṃ ca yugapad brahmakṣatraśriyaṃ dadhe // Saund_1.27 //	SAntAm guptAm ca yugapad brahma-kzatra-Sriyam daDe // SOnd-_1.27 //
   athodakalaśaṃ gṛhya teṣāṃ vṛddhicikīrṣayā /	aTa-udakalaSam gRhya tezAm vRdDi-cikIrzayA /
   muniḥ sa viyadutpatya tānuvāca nṛpātmajān // Saund_1.28 //	muniH sa viyat-utpatya tAn-uvAca nRpa-AtmajAn // SOnd-_1.28 //
   yā patet kalaśādasmādakṣayyasalilānmahīm /	yA patet kalaSAt-asmAt-akzayya-salilAt-mahIm /
   dhārā tāmanatikramya māmanveta yathākramam // Saund_1.29 //	DArA tAm-anatikramya mAm-anveta yaTAkramam // SOnd-_1.29 //
   tataḥ paramamityuktvā śirobhiḥ praṇipatya ca /	tatas paramam-iti-uktvA SiroBiH praNipatya ca /
   rathānāruruhuḥ sarve śīghravāhānalaṃkṛtān // Saund_1.30 //	raTAn-AruruhuH sarve SIGra-vAhAn-alaMkRtAn // SOnd-_1.30 //
   tataḥ sa tairanugataḥ syandanasthairnabhogataḥ /	tatas sa tEH-anugataH syandana-sTEH-naBaH-gataH /
   tadāśramamahīprāntaṃ paricikṣepa vāriṇā // Saund_1.31 //	tad-ASrama-mahI-prAntam paricikzepa vAriNA // SOnd-_1.31 //
   aṣṭāpadamivālikhya nimittaiḥ surabhīkṛtam /	azwApadam-iva-AliKya nimittEH suraBIkRtam /
   tānuvāca muniḥ sthitvā bhūmipālasutānidam // Saund_1.32 //	tAn-uvAca muniH sTitvA BUmipAla-sutAn-idam // SOnd-_1.32 //
   asmin dhārāparikṣipte nemicinhitalakṣaṇe /	asmin DArA-parikzipte nemi-cinhita-lakzaNe /
   nirmimīdhvaṃ puraṃ yūyaṃ mayi yāte triviṣṭapam // Saund_1.33 //	nirmimIDvam puram yUyam mayi yAte trivizwapam // SOnd-_1.33 //
   tataḥ kadācitte vīrāstasmin pratigate munau /	tatas kadAcid-te vIrAH-tasmin pratigate munO /
   babhramuyauṃvanoddāmā gajā iva niraṅkuśā // Saund_1.34 //	baBramuyOMvana-uddAmAH gajAH iva niraFkuSAH // SOnd-_1.34 //
   baddhagodhāṅgulītrāṇā hastaviṣṭhitakārmukāḥ /	badDa-goDA-aFgulI-trANAH hasta-vizWita-kArmukAH /
   śarādhmātamahātūṇā vyāyatābaddhavāsasaḥ // Saund_1.35 //	Sara-ADmAta-mahA-tUNAH vyAyata-AbadDa-vAsasaH // SOnd-_1.35 //
   jijñāsamānā nāgeṣu kauśalaṃ śvāpadeṣu ca /	jijQAsamAnAH nAgezu kOSalam SvApadezu ca /
   anucakrurvanasthasya dauṣyanterdevakarmaṇaḥ // Saund_1.36 //	anucakruH-vana-sTasya dOzyanteH-deva-karmaNaH // SOnd-_1.36 //
   tān dṛṣṭvā prakṛtiṃ yātān vṛddhānvyāghraśiśūniva /	tAn dRzwvA prakRtim yAtAn vRdDAn-vyAGra-SiSUn-iva /
   tāpasāstadvanaṃ hitvā himavantaṃ siṣevire // Saund_1.37 //	tApasAH-tat-vanam hitvA himavantam sizevire // SOnd-_1.37 //
   tatastadāśramasthānaṃ śūnyaṃ taiḥ śūnyacetasaḥ /	tatas-tad-ASrama-sTAnam SUnyam tEH SUnya-cetasaH /
   paśyanto manyunā taptā vyālā iva niśaśvasuḥ // Saund_1.38 //	paSyantaH manyunA taptAH vyAlAH iva niSaSvasuH // SOnd-_1.38 //
   atha te puṇyakarmāṇaḥ pratyupasthitavṛddhayaḥ /	aTa te puNya-karmANaH pratyupasTita-vRdDayaH /
   tatra tajjñairupākhyātānavāpurmahato nidhīn // Saund_1.39 //	tatra tad-jQEH-upAKyAtAn-avApuH-mahataH niDIn // SOnd-_1.39 //
   alaṃ dharmārthakāmānāṃ nikhilānāmavāptaye /	alam Darma-arTa-kAmAnAm niKilAnAm-avAptaye /
   nidhayo naikavidhayo bhūrayaste gatārayaḥ // Saund_1.40 //	niDayaH na-eka-viDayaH BUrayaH-te gata-arayaH // SOnd-_1.40 //
   tatastatpratilambhācca pariṇāmācca karmaṇaḥ /	tatas-tad-pratilamBAt-ca pariNAmAt-ca karmaNaH /
   tasmin vāstuni vāstujñāḥ puraṃ śrīmannyaveśayan // Saund_1.41 //	tasmin vAstuni vAstu-jQAH puram SrImat-nyaveSayan // SOnd-_1.41 //
   saridvistīrṇaparikhaṃ spaṣṭāñcitamahāpatham /	sarit-vistIrNa-pariKam spazwa-aQcita-mahApaTam /
   śailakalpamahāvapraṃ girivrajamivāparam // Saund_1.42 //	SEla-kalpa-mahA-vapram girivrajam-iva-aparam // SOnd-_1.42 //
   pāṇḍurāṭṭālasumukhaṃ suvibhaktāntarāpaṇam /	pANxura-awwAla-su-muKam suviBakta-antarApaNam /
   harmyamālāparikṣiptaṃ kukṣiṃ himagireriva // Saund_1.43 //	harmya-mAlA-parikziptam kukzim himagireH-iva // SOnd-_1.43 //
   vedavedāṅgaviduṣastasthuṣaḥ ṣaṭsu karmasu /	veda-vedAFga-viduzaH-tasTuzaH zawsu karmasu /
   śāntaye vṛddhaye caiva yatra viprānajījapan // Saund_1.44 //	SAntaye vRdDaye ca-eva yatra viprAn-ajIjapan // SOnd-_1.44 //
   tadbhūmerabhiyoktṛṇāṃ prayuktān vinivṛttaye /	tad-BUmeH-aBiyoktRNAm prayuktAn vinivRttaye /
   yatra svena prabhāvena bhṛtyadaṇḍānajījapan // Saund_1.45 //	yatra svena praBAvena BRtya-daNxAn-ajIjapan // SOnd-_1.45 //
   caritradhanasampannān salajjān dīrghadarśinaḥ /	caritra-Dana-sampannAn sa-lajjAn dIrGa-darSinaH /
   arhato 'tiṣṭhipan yatra śūrān dakṣān kuṭumbinaḥ // Saund_1.46 //	arhataH atizWipan yatra SUrAn dakzAn kuwumbinaH // SOnd-_1.46 //
   vyastaistaistairguṇaiyuktān mativāgvikramādibhiḥ /	vyastEH-tEH-tEH-guNEyuktAn mati-vAc-vikrama-AdiBiH /
   karmasu pratirupeṣu sacivāṃstānnyayūyujan // Saund_1.47 //	karmasu pratirupezu sacivAn=-tAn-nyayUyujan // SOnd-_1.47 //
   vasumadbhiravibhrāntairalaṃvidyairavismitaiḥ /	vasumadBiH-aviBrAntEH-alaMvidyEH-avismitEH /
   yad babhāse naraiḥ kīrṇaṃ mandaraḥ kinnarairiva // Saund_1.48 //	yat baBAse narEH kIrNam mandaraH kinnarEH-iva // SOnd-_1.48 //
   yatra te hṛṣṭamanasaḥ pauraprīticikīrṣayā /	yatra te hRzwa-manasaH pOra-prIti-cikIrzayA /
   śrīmantyudyānasaṃjñāni yaśodhāmānyacikaran // Saund_1.49 //	SrImanti-udyAna-saMjQAni yaSaH-DAmAni-acikaran // SOnd-_1.49 //
   śivāḥ puṣkariṇīścaiva paramāgryaguṇāmbhasaḥ /	SivAH puzkariNIH-ca-eva parama-agrya-guNa-amBasaH /
   nājñayā cetanotkarṣāddikṣu sarvāsvacīkhanan // Saund_1.50 //	na-AjQayA cetanA-utkarzAt-dikzu sarvAsu-acIKanan // SOnd-_1.50 //
   manojñāḥ śrīmatīḥ praṣṭhīḥ pathiṣūpavaneṣu ca /	manojQAH SrImatIH prazWIH paTizu-upavanezu ca /
   sabhāḥ kūpavatīścaiva samantāt pratyatiṣṭhipan // Saund_1.51 //	saBAH kUpavatIH-ca-eva samantAt pratyatizWipan // SOnd-_1.51 //
   hastyaśvarathasaṃkīrṇamasaṃkīrṇamanākulam /	hasti-aSva-raTa-saMkIrNam-asaMkIrNam-anAkulam /
   anigūḍhārthivibhavaṃ nigūḍhajñānapauruṣam // Saund_1.52 //	anigUXa-arTi-viBavam nigUXa-jQAna-pOruzam // SOnd-_1.52 //
   sanidhānamivārthānāmādhānamiva tejasām /	sa-niDAnam-iva-arTAnAm-ADAnam-iva tejasAm /
   niketamiva vidyānāṃ saṃketamiva saṃpadām // Saund_1.53 //	niketam-iva vidyAnAm saMketam-iva saMpadAm // SOnd-_1.53 //
   vāsavṛkṣaṃ guṇavatāmāśrayaṃ śaraṇaiṣiṇām /	vAsa-vRkzam guNavatAm-ASrayam SaraNa-eziNAm /
   ānartaṃ kṛtaśāstrāṇāmālānaṃ bāhuśālinām // Saund_1.54 //	Anartam kRta-SAstrANAm-AlAnam bAhu-SAlinAm // SOnd-_1.54 //
   samājairutsavairdāyaiḥ kriyāvidhibhireva ca /	samAjEH-utsavEH-dAyEH kriyA-viDiBiH-eva ca /
   alaṃcakruralaṃvīryāste jagaddhāma tatpuram // Saund_1.55 //	alaMcakruH-alaMvIryAH-te jagat-DAma tat-puram // SOnd-_1.55 //
   yasmādanyāyataste ca kaṃcinnācīkaran karam /	yasmAt-anyAyataH-te ca kaMcid-na-acIkaran karam /
   tasmādalpena kālena tattadāpūpuran puram // Saund_1.56 //	tasmAt-alpena kAlena tat-tadA-apUpuran puram // SOnd-_1.56 //
   kapilasya ca tasyarṣestasminnāśramavāstuni /	kapilasya ca tasya-RzeH-tasmin=-ASrama-vAstuni /
   yasmātte tatpuraṃ cakrustasmāt kapilavāstu tat // Saund_1.57 //	yasmAt-te tat-puram cakruH-tasmAt kapilavAstu tat // SOnd-_1.57 //
   kakandasya makandasya kuśāmbasyeva cāśrame /	kakandasya makandasya kuSAmbasya-iva ca-ASrame /
   puryo yathā hi śrūyante tathaiva kapilasya tat // Saund_1.58 //	puryaH yaTA hi SrUyante taTA-eva kapilasya tat // SOnd-_1.58 //
   āpuḥ puraṃ tatpuruhūtakalpāste tejasāryeṇa na vismayena /	ApuH puram tad-puruhUta-kalpAH-te tejasA-AryeNa na vismayena /
   āpuryaśogandhamataśca śaśvat sutā yayāteriva kīrtimantaḥ // Saund_1.59 //	ApuH-yaSaH-ganDam-atas-ca SaSvat sutA yayAteH-iva kIrtimantaH // SOnd-_1.59 //
   tannāthavṛttairapi rājaputrairarājakaṃ naiva rarāja rāṣṭram /	tat-nATa-vRttEH-api rAja-putrEH-arAjakam na-eva rarAja rAzwram /
   tārāsahastrairapi dīpyamānairanutthite candra ivāntarīkṣam // Saund_1.60	tArAsa-hastrEH-api dIpyamAnEH-anutTite candraH iva-antarIkzam // SOnd_1.60
   yo jyāyānatha vayasā guṇaiśca teṣāṃ bhātṝṇāṃ vṛṣabha ivaujasā vṛṣāṇām /	yaH jyAyAn-aTa vayasA guNEH-ca tezAm BAtLNAm vRzaBaH iva-ojasA vRzANAm /
   te tatra priyaguravastamabhyaṣicannādityā daśaśatalocanaṃ divīva //	te tatra priya-guravaH-tam-aByazicanna-AdityAH daSa-Sata-locanam divi-iva //
   Saund_1.61 //	SOnd-_1.61 //
   ācāravānvinayavānnayavānkriyāvān dharmāya nendriyasukhāya dhṛtātapatraḥ /	AcAravAn-vinayavAn-nayavAn-kriyAvAn DarmAya na-indriya-suKAya DRta-AtapatraH /
   tadbhrātṛbhiḥ parivṛtaḥ sa jugopa rāṣṭram saṃkrandano divamivānusṛto	tad-BrAtRBiH parivRtaH sa jugopa rAzwram saMkrandanaH divam-iva-anusRtaH-
   marudbhiḥ // Saund_1.62 //	marudBiH // SOnd-_1.62 //
   saundarananda mahākāvya meṃ "kapilavastu varṇana" nāmaka prathama sarga	sOndara-nanda mahAkAvya mem "ka-pilavastu varNana" nAmaka praTama sarga
   samāpta /	samApta /
   dvitīyaḥ sargaḥ	dvitIyaH sargaH
   rājā śuddhodana	rAjA SudDodana
   tataḥ kadācitkālena tadavāpa kulakramāt /	tatas kadAcid-kAlena tat-avApa kula-kramAt /
   rājā śuddhodano nāma śuddhakarmā jitendriyaḥ // Saund_2.1 //	rAjA SudDodanaH nAma SudDa-karmA jita-indriyaH // SOnd-_2.1 //
   yaḥ sasañje na kāmeṣu śrīprāptau na visismiye /	yaH sa-saQje na kAmezu SrI-prAptO na visismiye /
   nāvamene parānṛddhyā parebhyo nāpi vivyathe // Saund_2.2 //	na-avamene parAn-RdDyA pareByaH na-api vivyaTe // SOnd-_2.2 //
   balīyān sattvasaṃpannaḥ śrutavān buddhimānapi /	balIyAn sattva-saMpannaH SrutavAn budDimAn-api /
   vikrānto nayavāṃścaiva dhīraḥ sumukha eva ca // Saund_2.3 //	vikrAntaH nayavAn=-ca-eva DIraH sumuKaH eva ca // SOnd-_2.3 //
   vapuṣmāṃśca na ca stabdho dakṣiṇo na ca nārjavaḥ /	vapuzmAn=-ca na ca stabDaH dakziNaH na ca na-ArjavaH /
   tejasvī na ca na kṣāntaḥ kartā ca na ca vismitaḥ // Saund_2.4 //	tejasvI na ca na kzAntaH kartA ca na ca vismitaH // SOnd-_2.4 //
   ākṣiptaḥ śatrubhiḥ saṃkhye suhṛdbhiśca vyapāśritaḥ /	AkziptaH SatruBiH saMKye suhRdBiH-ca vyapASritaH /
   abhavad yo na vimukhastejasā ditsayaiva ca // Saund_2.5 //	aBavat yaH na vimuKaH-tejasA ditsayA-eva ca // SOnd-_2.5 //
   yaḥ pūrvaiḥ rājabhiryātāṃ yiyāsurdharmapaddhatim /	yaH pUrvEH rAjaBiH-yAtAm yiyAsuH-Darma-padDatim /
   rājyaṃ dīkṣāmiva vahan vṛttenānvagamat pitṝn // Saund_2.6 //	rAjyam dIkzAm-iva vahan vRttena-anvagamat pitLn // SOnd-_2.6 //
   yasya suvyavahārācca rakṣaṇācca sukhaṃ prajāḥ /	yasya su-vyavahArAt-ca rakzaNAt-ca suKam prajAH /
   śiśyire vigatodvegāḥ pituraṅkagatā iva // Saund_2.7 //	SiSyire vigata-udvegAH pituH-aFka-gatAH iva // SOnd-_2.7 //
   kṛtaśāstraḥ kṛtāstro vā jāto vā vipule kule /	kRta-SAstraH kRtAstraH vA jAtaH vA vipule kule /
   akṛtārtho na dadṛśe yasya darśanameyivān // Saund_2.8 //	akRtArTaH na dadRSe yasya darSanam-eyivAn // SOnd-_2.8 //
   hitaṃ vipriyamapyukto yaḥ suśrāva na cukṣubhe /	hitam vipriyam-api-uktaH yaH suSrAva na cukzuBe /
   duṣkṛtaṃ bahvapi tyaktvā sasmāra kṛtamaṇvapi // Saund_2.9 //	duzkRtam bahu-api tyaktvA sasmAra kRtam-aNu-api // SOnd-_2.9 //
   praṇatānanujagrāha vijagrāha kuladviṣaḥ /	praNatAn-anujagrAha vijagrAha kula-dvizaH /
   āpannān parijagrāha nijagrāhāsthitān pathi // Saund_2.10 //	ApannAn parijagrAha nija-grAha-AsTitAn paTi // SOnd-_2.10 //
   prāyeṇa viṣaye yasya tacchīlamanuvartinaḥ /	prAyeNa vizaye yasya tat-SIlam-anuvartinaH /
   arjayanto dadṛśire dhanānīva guṇānapi // Saund_2.11 //	arjayantaH dadRSire DanAni-iva guNAn-api // SOnd-_2.11 //
   adhyaiṣṭa yaḥ paraṃ brahma na vyaiṣṭa satataṃ dhṛteḥ /	aDyEzwa yaH param brahma na vyEzwa satatam DRteH /
   dānānyadita pātrebhyaḥ pāpaṃ nākṛta kiṃcana // Saund_2.12 //	dAnAni-adita pAtreByaH pApam na-akRta kiMcana // SOnd-_2.12 //
   dhṛtyāvākṣīt pratijñāṃ sa sadvājīvodyatāṃ dhuram /	DRtyA-avAkzIt pratijQAm sa sat-vAjI-iva-udyatAm Duram /
   na hyavāñchīccyutaḥ satyānmuhūrtamapi jīvitam // Saund_2.13 //	na hi-avAQCIt-cyutaH satyAt-muhUrtam-api jIvitam // SOnd-_2.13 //
   viduṣaḥ paryupāsiṣṭa vyakāśiṣṭātmavattayā /	viduzaH paryupAsizwa vyakASizwa-Atmavat-tayA /
   vyarociṣṭa ca śiṣṭebhyo māsīṣe candramā iva // Saund_2.14 //	vyarocizwa ca SizweByaH mAsi-Ize candramAH iva // SOnd-_2.14 //
   avedīd buddhiśāstrābhyāmiha cāmutra ca kṣamam /	avedIt budDi-SAstrAByAm-iha ca-amutra ca kzamam /
   arakṣīddhairyavīryābhyāmindriyāṇyapi ca prajāḥ // Saund_2.15 //	arakzIt-DErya-vIryAByAm-indriyANi-api ca prajAH // SOnd-_2.15 //
   ahārṣīd duḥkhamārtānāṃ dviṣatāṃ corjitaṃ yaśaḥ /	ahArzIt duHKam-ArtAnAm dvizatAm ca-Urjitam yaSaH /
   acaiṣīcca nayairbhūmiṃ bhūyasā yaśasaiva ca // Saund_2.16 //	acEzIt-ca nayEH-BUmim BUyasA yaSasA-eva ca // SOnd-_2.16 //
   apyāsīd duḥkhitān paśyan prakṛtyā karuṇātmakaḥ /	api-AsIt duHKitAn paSyan prakRtyA karuNA-AtmakaH /
   nādhauṣīcca yaśo lobhādanyāyādhigatairdhanaiḥ // Saund_2.17 //	na-aDOzIt-ca yaSaH loBAt-anyAya-aDigatEH-DanEH // SOnd-_2.17 //
   sauhārdadṛḍhabhaktitvānmaitreṣu viguṇeṣvapi /	sOhArda-dRXa-Bakti-tvAt-mEtrezu viguNezu-api /
   nādidāsīdaditsīttu saumukhyāt svaṃ svamarthavat // Saund_2.18 //	na-Adi-dAsI-daditsIt-tu sOmuKyAt svam svam-arTavat // SOnd-_2.18 //
   anivedyāgramarhadbhyo nālikṣat kiṃcidaplutaḥ /	anivedya-agram-arhadByaH na-alikzat kiMcid-aplutaH /
   gāmadharmeṇa nādhukṣat kṣīratarṣeṇa gāmiva // Saund_2.19 //	gAm-aDarmeNa na-aDukzat kzIra-tarzeNa gAm-iva // SOnd-_2.19 //
   nāsṛkṣad balimaprāptaṃ nārukṣanmānamaiśvaram /	na-asRkzat balim-aprAptam na-Arukzat-mAnam-ESvaram /
   āgamairbuddhimādhikṣaddharmāya na tu kīrtaye // Saund_2.20 //	AgamEH-budDim-ADikzat-DarmAya na tu kIrtaye // SOnd-_2.20 //
   kleśārhānapi kāṃścittu nākliṣṭa kliṣṭakarmaṇaḥ /	kleSa-arhAn-api kAMScid-tu na-aklizwa klizwa-karmaNaH /
   āryabhāvācca nādhukṣad dviṣato 'pi sato guṇān // Saund_2.21 //	Arya-BAvAt-ca na-aDukzat dvizataH api sataH guNAn // SOnd-_2.21 //
   ākṛkṣad vapuṣā dṛṣṭīḥ prajānāṃ candramā iva /	AkRkzat vapuzA dRzwIH prajAnAm candramAH iva /
   parasvaṃ bhuvi nāmṛkṣanmahāviṣamivoragam // Saund_2.22 //	para-svam Buvi na-amRkzan-mahA-vizam-iva-uragam // SOnd-_2.22 //
   nākrukṣad viṣaye tasya kaścitkaiścit kvacit kṣataḥ /	na-akrukzat vizaye tasya kaScid-kEScid kvacid kzataH /
   ādikṣattasya hastasthamārtebhyo hyabhayaṃ dhanuḥ // Saund_2.23 //	Adikzat-tasya hasta-sTam-ArteByaH hi-aBayam DanuH // SOnd-_2.23 //
   kṛtāgaso 'pi praṇatān prāgeva priyakāriṇaḥ /	kRta-AgasaH api praNatAn prAk-eva priya-kAriNaH /
   adarśatsnigdhayā dṛṣṭyā ślakṣṇena vacasāsicat // Saund_2.24 //	adarSat-snigDayA dRzwyA SlakzNena vacasA-asicat // SOnd-_2.24 //
   bavhīradhyagamad vidyā viṣayeṣvakutūhalaḥ /	bavhIH-aDyagamat vidyA vizayezu-akutUhalaH /
