   Suvarṇaprabhāsasūtram	SuvarNa-praBAsa-sUtram
   śuddheṣu virajaskeṣu bodhisattvottameṣu ca /	SudDezu virajaskezu boDisattva-uttamezu ca /
   nidānaṃ sūtrarājendraṃ svarṇaprabhāsottamamidam // Suv_1.2 //	nidAnam sUtrarAja-indram svarNa-praBAsa-uttamam-idam // Suu-_1.2 //
   tato gambhīraśravaṇena gambhīravyupaparīkṣaṇena /	tatas gamBIra-SravaNena gamBIra-vyupaparIkzaNena /
   dikṣu catasṛṣu buddhairadhiṣṭhānamadhiṣṭhitam // Suv_1.3 //	dikzu catasRzu budDEH-aDizWAnam-aDizWitam // Suu-_1.3 //
   (Bagchi 2)	(Baj-Ci 2)
   akṣobhyarājaḥ pūrvasmindakṣiṇe ratnaketunā /	akzoBya-rAjaH pUrvasmin-dakziNe ratna-ketunA /
   paścimāyāmamitābha uttare dundubhisvaraḥ // Suv_1.4 //	paScimAyAm-a-mita-ABaH uttare dunduBi-svaraH // Suu-_1.4 //
   taṃ pravakṣyāmyadhiṣṭhānaṃ māṅgalyadeśanottamam /	tam pravakzyAmi-aDizWAnam mAFgalya-deSana-uttamam /
   sarvapāpavināśārthaṃ sarvapāpakṣayaṃkaram // Suv_1.5 //	sarva-pApa-vinASa-arTam sarva-pApa-kzayaMkaram // Suu-_1.5 //
   sarvasaukhyapradātāraṃ sarvaduḥkhavināśanam /	sarva-sOKya-pradAtAram sarva-duHKa-vinASanam /
   mūlaṃ sarvajñatattvasya sarvaśrīsamalaṅkṛtam // Suv_1.6 //	mUlam sarvajQa-tattvasya sarva-SrI-samalaFkRtam // Suu-_1.6 //
   upahatendriyā ye hi sattvā naṣṭā hatāyuṣaḥ /	upahata-indriyAH ye hi sattvAH nazwA hata-AyuzaH /
   alakṣmyā pariviṣṭā hi devatāsu parāṅmukhāḥ // Suv_1.7 //	alakzmyA parivizwAH hi devatAsu parAFmuKAH // Suu-_1.7 //
   kāntayā te janā dviṣṭāḥ kuṭumbādiṣvapadrutāḥ /	kAntayA te janAH dvizwAH kuwumba-Adizu-apadrutAH /
   parasparaviruddhā vā arthanāśairupadrutāḥ // Suv_1.8 //	paraspara-virudDAH vE arTa-nASEH-upadrutAH // Suu-_1.8 //
   śokāyāseṣvanarthe ca bhaye vyasana eva ca /	Soka-AyAsezu-anarTe ca Baye vyasanaH eva ca /
   grahanakṣatrapīḍāyāṃ kākhordadāruṇagrahaiḥ // Suv_1.9 //	graha-nakzatra-pIxAyAm kAKordada-aruNa-grahEH // Suu-_1.9 //
   pāpakaṃ paśyati svapnaṃ śokāyāsasamucchritam /	pApakam paSyati svapnam Soka-AyAsa-samucCritam /
   tena ca snānaśucinā śrotavyaṃ sūtramuttamam // Suv_1.10 //	tena ca snAna-SucinA Srotavyam sUtram-uttamam // Suu-_1.10 //
   śṛṇvanti ya idaṃ sūtraṃ gambhīraṃ buddhagocaram /	SRNvanti yaH idam sUtram gamBIram budDa-gocaram /
   prasannacittāḥ sumanasaḥ śucivastrairalaṅkṛtāḥ // Suv_1.11 //	prasanna-cittAH sumanasaH Suci-vastrEH-alaFkRtAH // Suu-_1.11 //
   teṣāṃ sarve tathā nityamupasargāḥ sudāruṇāḥ /	tezAm sarve taTA nityam-upasargAH su-dAruNAH /
   tejasā cāsya sūtrasya śāmyante sarvaprāṇinām // Suv_1.12 //	tejasA ca-asya sUtrasya SAmyante sarva-prANinAm // Suu-_1.12 //
   svayaṃ te lokapālāśca sāmātyāḥ sagaṇeśvarāḥ /	svayam te lokapAlAH-ca sa-amAtyAH sa-gaNa-ISvarAH /
   teṣāṃ rakṣāṃ kariṣyanti hyanekairyakṣakoṭibhiḥ // Suv_1.13 //	tezAm rakzAm karizyanti hi-anekEH-yakza-kowiBiH // Suu-_1.13 //
   sarasvatī mahādevī tathā nairañjanavāsinī /	sarasvatI mahAdevI taTA nEraQjana-vAsinI /
   hārītī bhūtamātā ca dṛḍhā pṛthivīdevatā // Suv_1.14 //	hArItI BUtamAtA ca dRXA pRTivI-devatAH // Suu-_1.14 //
   brahmendraistridaśendraiśca maharddhikinnareśvaraiḥ /	brahma-indrEH-tridaSa-indrEH-ca mahA-RdDi-kinnara-ISvarEH /
   garuḍendraistathā sārdhaṃ yakṣagandharvapannagaiḥ // Suv_1.15 //	garuxa-indrEH-taTA sArDam yakza-ganDarva-pannagEH // Suu-_1.15 //
   (Bagchi 3)	(Baj-Ci 3)
   te ca tatropasaṃkramya sasainyabalavāhanāḥ /	te ca tatra-upasaMkramya sa-sEnya-bala-vAhanAH /
   teṣāṃ rakṣāṃ kariṣyanti divārātrau samāhitāḥ // Suv_1.16 //	tezAm rakzAm karizyanti divArAtrO samAhitAH // Suu-_1.16 //
   idaṃ sūtraṃ prakāśiṣye gambhīraṃ buddhagocaram /	idam sUtram prakASizye gamBIram budDa-gocaram /
   rahasyaṃ sarvabuddhānāṃ durlabhaṃ kalpakoṭibhiḥ // Suv_1.17 //	rahasyam sarva-budDAnAm durlaBam kalpa-kowiBiH // Suu-_1.17 //
   śṛṇvanti ya idaṃ sūtraṃ ye cānye śrāvayanti ca /	SRNvanti ye idam sUtram ye ca-anye SrAvayanti ca /
   ye kecidanumodante ye ca pūjāṃ karonti hi // Suv_1.18 //	ye kecid-anumodante ye ca pUjAm karonti hi // Suu-_1.18 //
   te pūjitā bhaviṣyanti hyanekaiḥ kalpakoṭibhiḥ /	te pUjitAH Bavizyanti hi-anekEH kalpa-kowiBiH /
   devanāgamanuṣyaiśca kinnarāsuraguhyakaiḥ // Suv_1.19 //	deva-nAga-manuzyEH-ca kinnara-asura-guhyakEH // Suu-_1.19 //
   puṇyaskandhamaparyantamasaṃkhyeyamacintitam /	puNya-skanDam-aparyantam-asaMKyeyam-acintitam /
   yatteṣāṃ prasṛtaṃ bhoti kṛtapuṇyāna prāṇinām // Suv_1.20 //	yat-tezAm prasRtam Boti kRta-puNyAna prANinAm // Suu-_1.20 //
   pragṛhītā bhaviṣyanti sarvabuddhairdiśo daśa /	pragRhItAH Bavizyanti sarva-budDEH-diSaH daSa /
   gambhīracaritebhiśca bodhisattvaistathaiva ca // Suv_1.21 //	gamBIra-cariteBiH-ca boDisattvEH-taTA-eva ca // Suu-_1.21 //
   caukṣacīvaraprāvṛtya sugandhajalapāvanaiḥ /	cOkza-cIvara-prAvRtya suganDa-jala-pAvanEH /
   maitrīcittaṃ samutthāpya pūjitavyamatandritaiḥ // Suv_1.22 //	mEtrI-cittam samutTApya pUjitavyama-tandritEH // Suu-_1.22 //
   vipulaṃ vimalaṃ cittamātmānaṃ prakariṣyati /	vipulam vimalam cittam-AtmAnam prakarizyati /
   prasādayaṃśca cetāṃsi śṛṇudhvaṃ sūtramuttamam // Suv_1.23 //	prasAdayan=-ca cetAMsi SRNuDvam sUtram-uttamam // Suu-_1.23 //
   svāgataṃ ca manuṣyeṣu sulabdhaṃ manuṣaṃ phalam /	svAgatam ca manuzyezu su-labDam manuzam Palam /
   sujīvitāśca jīvanti sūtraṃ śṛṇvanti ye tvidam // Suv_1.24 //	su-jIvitAH-ca jIvanti sUtram SRNvanti ye tu-idam // Suu-_1.24 //
   uptakuśalamūlāste bahubuddhaprakāśitāḥ /	upta-kuSala-mUlAH-te bahu-budDa-prakASitAH /
   yeṣāmidaṃ karṇapuṭe deśitaṃ saṃpraviśyatīti // Suv_1.25 //	yezAm-idam karNa-puwe deSitam saMpraviSyati-iti // Suu-_1.25 //
   iti śrīsuvarṇaprabhāsottamasūtrendrarāje nidānaparivartto nāma prathamaḥ	iti SrI-suvarNa-praBAsa-uttama-sUtrendra-rAje nidAnaparivarttaH nAma praTamaH
   (Bagchi 4)	(Baj-Ci 4)
   // Tathāgatāyuḥpramāṇanirdeśaparivartaḥ //	// TaTA-gata-AyuH-pramANa-nirdeSa-parivartaH //
   tena khalu punaḥ kālena tena samayena rājagṛhe mahānagare ruciraketurnāma	tena Kalu punar kAlena tena samayena rAja-gRhe mahA-nagare ruciraketuH-nAma
   bodhisattvo mahāsattvaḥ prativasati pūrvajinakṛtādhikāro	boDisattvaH mahAsattvaH prativasati pUrva-jina-kRta-aDikAraH-
   'varopitakuśalamūlo bahubuddhakoṭiniyutaśatasahasraparyupāsitaḥ /	avaropita-kuSala-mUlaH bahu-budDa-kowi-ni-yuta-Sata-sahasra-paryupAsitaH /
   tasyaitadabhavat, ko hetu kaḥ pratyayo yadbhagavataḥ śākyamunerevaṃ	tasya-etat-aBavat, kaH hetu kaH pratyayaH yat-BagavataH SAkya-muneH-evam
   parīttamāyuḥ pramāṇaṃ yadutāśītivarṣāṇīti /	parIttam-AyuH pramANam yat-uta-aSIti-varzANi-iti /
   punastasyaitadabhavat, uktaṃ caiva bhagavatā dvau hetū dvau ca pratyayau	punar-tasya-etat-aBavat, uktam ca-eva BagavatA dvO hetU dvO ca pratyayO
   dīrghāyuṣkatāyām / katamau dvau prāṇātipātaviramaṇaṃ bhojanapradānaṃ ca /	dIrGa-Ayuzka-tAyAm / katamO dvO prANa-atipAta-viramaNam Bojana-pradAnam ca /
   atha bahunyasaṃkhyeyakalpakoṭiniyutaśatasahasrāṇi bhagavāñchākyamuniḥ	aTa bahuni-asaMKyeya-kalpa-kowi-niyuta-Sata-sahasrANi BagavAn-SAkya-muniH
   prāṇātipātavirato babhūva / yāvaddaśakuśalakarmapathaṃ samādāpayet,	prANa-atipAta-virataH baBUva / yAvat-daSa-kuSala-karma-paTam samAdApayet-,
   tāvadbhagavatā bhojanamādhyātmikaṃ bāhyāni ca vastūni sattvānāṃ	tAvat-BagavatA Bojanam-ADyAtmikam bAhyAni ca vastUni sattvAnAm
   parityaktāni / antaśaḥ svaśarīramāṃsarudhirāsthimajjayā bubhukṣitāḥ	parityaktAni / antaSas sva-SarIra-mAMsa-ruDira-asTi-majjayA buBukzitAH
   sattvāḥ saṃtarpitāḥ prāgevānyena bhojanena /	sattvAH saMtarpitAH prAk-eva-anyena Bojanena /
   atha tasya puruṣasya buddhānusmṛtimanasikārasyemāmevaṃrūpāṃ cintāṃ	aTa tasya puruzasya budDa-anusmRti-manasikArasya-imAm-evaMrUpAm cintAm
   cintayamānasya gṛhaṃ vipulaṃ vistīrṇaṃ saṃpravṛttamabhavat /	cintayamAnasya gRham vipulam vistIrNam saMpravRttam-aBavat /
   vaiḍūryamayamanekadivyaratnapratyuptaṃ tathāgatavigrahaṃ divyātikrāntena	vExUrya-mayam-aneka-divya-ratna-pratyuptam taTAgata-vigraham divya-atikrAntena
   gandhena sphuṭam / tasmiṃśca gṛhe caturdiśi catvāri	ganDena sPuwam / tasmin=-ca gRhe catur-diSi catvAri
   divyaratnamayānyāsanāni prādurbhutānyabhūvan / teṣu cāsaneṣu divyāni	divya-ratna-mayAni-AsanAni prAdurButAni-aBUvan / tezu ca-Asanezu divyAni
   paryaṅkāni divyaratnapuṣpapatraiḥ prajñaptāni prādurbhūtāni babhūvaḥ /	paryaFkAni divya-ratna-puzpa-patrEH prajQaptAni prAdurBUtAni baBUvaH /
   teṣu paryaṅkeṣu divyānyanekaratnapratyuptāni tathāgatavigrahāṇi padmāni	tezu paryaFkezu divyAni-aneka-ratna-pratyuptAni taTAgata-vigrahANi padmAni
   prādurbhūtāni / teṣu ca padmeṣu catvāro buddhā bhagavantaḥ prādurbhūtāḥ	prAdurBUtAni / tezu ca padmezu catvAraH budDAH BagavantaH prAdurBUtAH
   babhuvuḥ / purāntikena tvakṣobhyastathāgataḥ prādurbhūto dakṣiṇena	baBuvuH / pura-antikena tu-akzoByaH-taTAgataH prAdurBUtaH dakziNena
   ratnaketustathāgataḥ prādurbhūtaḥ paścimenāmitāyustathāgataḥ prādurbhūta	ratnaketuH-taTAgataH prAdurBUtaH paScimena-amita-AyuH-taTAgataH prAdurBUta
   uttareṇa dundubhisvarastathāgataḥ prādurbhūtaḥ / samanantaraprādurbhūtāśca	uttareNa dunduBi-svaraH-taTAgataH prAdurBUtaH / samanantara-prAdurBUtAH-ca
   te buddhā bhagavantasteṣu siṃhāsaneṣu /	te budDAH BagavantaH-tezu siMhAsanezu /
   atha tāvadeva rājagṛhaṃ mahānagaraṃ mahatāvabhāsenāvabhāsitaṃ sphuṭaṃ	aTa tAvat-eva rAjagRham mahA-nagaram mahatA-avaBAsena-avaBAsitam sPuwam
   babhūvu / yāvatrisāhasramahāsāhasralokadhāturyāvatsamantāddaśasu dikṣu	baBUvu / yAvatri-sAhasra-mahA-sAhasra-loka-DAtuH-yAvat-samantAt-daSasu dikzu
   gaṅgānadīvālukāsamā lokadhātavastenāvabhāsena sphuṭā babhūvaḥ / divyāni ca	gaFgA-nadI-vAlukA-samAH loka-DAtavaH-tena-avaBAsena sPuwAH baBUvaH / divyAni ca
   puṣpāṇi prāvarṣurdivyāni ca tūryāṇi pravādayāmāsuḥ / sarve	puzpANi prAvarzuH-divyAni ca tUryANi pravAdayAmAsuH / sarve
   cāsmiṃstrisāhasramahāsāhasralokadhātau sattvā buddhānubhāvena divyasukhena	ca-asmin=-tri-sAhasra-mahA-sAhasra-lokaDAtO sattvAH budDa-anuBAvena divya-suKena
   samanvāgatā babhūvuḥ / jātyandhāśca sattvā rūpāṇi paśyanti sma /	samanvAgatAH baBUvuH / jAti-anDAH-ca sattvAH rUpANi paSyanti sma /
   vadhirāśca sattvāḥ sattvebhyaḥ śabdāni śṛṇvanti / unmattāśca sattvāḥ	vaDirAH-ca sattvAH sattveByaH SabdAni SRNvanti / unmattAH-ca sattvAH
   smṛtiṃ pratilabhante 'vikṣiptacittāśca smṛtimanto babhūvuḥ / nagnāśca	smRtim pratilaBante avikzipta-cittAH-ca smRtimantaH baBUvuH / nagnAH-ca
   sattvāścīvaraprāvṛtā (Bagchi 5) babhūvuḥ / jighatsitāśca sattvāḥ	sattvAH-cIvara-prAvRtAH (Baj-Ci 5) baBUvuH / jiGatsitAH-ca sattvAH
   paripūrṇagātrā babhūvuḥ / tṛṣitāśca sattvā vigatatṛṣṇā babhūvaḥ /	paripUrNa-gAtrAH baBUvuH / tRzitAH-ca sattvAH vigata-tRzNA baBUvaH /
   rogaspṛṣṭāśca sattvā vigatarogā babhūvuḥ / hīnakāyāśca sattvāḥ	roga-spRzwAH-ca sattvAH vigata-rogAH baBUvuH / hIna-kAyAH-ca sattvAH
   paripūrṇendriyā babhūvuḥ / vistareṇa bahūnāmāścaryādbhutadharmāṇāṃ loke	paripUrNa-indriyAH baBUvuH / vistareNa bahUnAm-AScaryA-adButa-DarmANAm loke
   prādurbhāvo 'bhūt /	prAdurBAvaH aBUt /
   atha khalu ruciraketurbodhiosattvo mahāsattvastānbuddhānbhagavato	aTa Kalu rucira-ketuH-boDia-usattvaH mahAsattvaH-tAn-budDAn-BagavataH-
   dṛṣṭvāścaryaprāpto babhūva / kathametaditi santuṣṭa udagra āttamanāḥ	dRzwvA-AScarya-prAptaH baBUva / kaTam-etat-iti santuzwaH udagre Atta-manAH
   pramuditaḥ prītisaumanasyajāto yena te buddhā bhagavantastenāñjāliṃ	pramuditaH prIti-sOmanasya-jAtaH yena te budDAH BagavantaH-tena-aQjAlim
   praṇāmyakāratastānbuddhānbhagavato 'nusmaramāṇo bhagavataḥ	praNAmya-kArataH-tAn-budDAn-BagavataH anusmaramANaH BagavataH
   śākyamunerguṇānanusmaramāṇo bhagavataḥ	SAkya-muneH-guNAn-anusmaramANaH BagavataH
   śākyamunerāyuḥpramāṇasaṃśayaprāptastāṃ cintāṃ cintayamānaḥ sthito babhuva	SAkya-muneH-AyuH-pramANa-saMSaya-prAptaH-tAm cintAm cintayamAnaH sTitaH baBuva
   / kathametat,kimetad yadbhagavataḥ śākyamunerevaṃ parīttamāyuḥpramāṇaṃ	/ kaTam-etat-,kim-etat yat-BagavataH SAkya-muneH-evam parIttam-AyuH-pramANam
   yadutāśīti varṣāṇi /	yat-uta-aSIti varzANi /
   atha khalu te buddhā bhagavantaḥ smṛtāḥ saṃprajānāstaṃ ruciraketuṃ	aTa Kalu te budDAH BagavantaH smRtAH saMprajAnAH-tam rucira-ketum
   bodhisattvametadavocan / mā tvaṃ kulaputraivaṃ cintaya evaṃ parīttaṃ	boDisattvam-etat-avocan / mA tvam kula-putra-evam cintayaH evam parIttam
   bhagavataḥ śākyamunerāyuḥpramāṇam / tatkasya hetoḥ / na ca vai kulaputra	BagavataH SAkya-muneH-AyuH-pramANam / tat-kasya hetoH / na ca vE kula-putra
   taṃ samanupaśyāmaḥ sadevake loke samārake sabrahmake	tam samanupaSyAmaH sa-devake loke samArake sa-brahmake
   saśramaṇabrāhmaṇikāyāṃ prajāyāṃ sadevamānuṣāsurāyāṃ yaḥ samarthaḥ	sa-SramaNa-brAhmaNikAyAm prajAyAm sa-deva-mAnuza-asurAyAm yaH samarTaH
   syādbhagavataḥ śākyamunestathāgatasyāyuḥpramāṇaparyantamadhigantuṃ	syAt-BagavataH SAkya-muneH-taTAgatasya-AyuH-pramANa-paryantam-aDigantum
   yāvadaparāntakoṭibhiḥ sthāpayitvā tathāgatairarhadbhiḥ samyaksambuddhaiḥ /	yAvat-apara-anta-kowiBiH sTApayitvA taTAgatEH-arhadBiH samyaksambudDEH /
   samanantarodāhṛte tairbuddhairbhagavadbhistathāgatāyuḥpramāṇanirdeśe /	samanantara-udAhRte tEH-budDEH-BagavadBiH-taTAgata-AyuH-pramANa-nirdeSe /
   atha tāvadbuddhānubhāvena kāmāvacarā rūpāvacarāśca devaputrāḥ saṃnipatitā	aTa tAvat-budDa-anuBAvena kAmAvacarAH rUpAvacarAH-ca deva-putrAH saMnipatitA
   yāvannāgayakṣagandharvāsuragaruḍakinnaramahoragā anekāni ca	yAvat-nAga-yakza-ganDarva-asura-garuxa-kinnara-mahA-uragAH anekAni ca
   bodhisattvakoṭiniyutaśatasahasrāṇi tasmin ruciraketubodhisattvasya gṛhe	boDisattva-kowi-niyuta-Sata-sahasrANi tasmin rucira-ketu-boDisattvasya gRhe
   samāgatā āsan / atha te tathāgatāḥ sarvaparṣado bhagavataḥ	samAgatAH Asan / aTa te taTAgatAH sarva-parzadaH BagavataH
   śākyamunerāyuḥpramāṇanirdeśaṃ gāthābhirabhyabhāṣan /	SAkya-muneH-AyuH-pramANa-nirdeSam gATABiH-aByaBAzan /
   jalārṇaveṣu sarveṣu śakyante bindubhirgaṇayitum /	jala-arNavezu sarvezu Sakyante binduBiH-gaNayitum /
   na tu śākyamunerāyuḥ śakyaṃ gaṇayituṃ kvacit // Suv_2.1 //	na tu SAkya-muneH-AyuH Sakyam gaNayitum kvacid // Suu-_2.1 //
   sumeruṃ paramāṇavaḥ kṛtvā śakyaṃ ca saṃkhyayā /	sumerum paramANavaH kRtvA Sakyam ca saMKyayA /
   na tu śākyamunerāyuḥ śakyaṃ gaṇayituṃ kvacit // Suv_2.2 //	na tu SAkya-muneH-AyuH Sakyam gaNayitum kvacid // Suu-_2.2 //
   (Bagchi 6)	(Baj-Ci 6)
   yāḥ kāścit pṛthivīḥ santi yāvantaḥ paramāṇavaḥ /	yAH kAScid pRTivIH santi yAvantaH paramANavaH /
   śakyaṃ gaṇayituṃ sarvā na tu cāyurjinasya vai // Suv_2.3 //	Sakyam gaNayitum sarvAH na tu ca-AyuH-jinasya vE // Suu-_2.3 //
   ākāśaṃ yadi vā kaścidicchetpramituṃ kenacit /	AkASam yadi vA kaScid-icCet-pramitum kenacid /
   na tu śākyamunerāyuḥ śakyaṃ gaṇayituṃ kvacit // Suv_2.4 //	na tu SAkya-muneH-AyuH Sakyam gaNayitum kvacid // Suu-_2.4 //
   ityuktāni ca kalpāni kalpakoṭiśatāni ca /	iti-uktAni ca kalpAni kalpa-kowi-SatAni ca /
   eṣa tiṣṭhecca saṃbuddhaḥ saṃkhyāto na hi labhyate // Suv_2.5 //	eza tizWet-ca saMbudDaH saMKyAtaH na hi laByate // Suu-_2.5 //
   yasmād dve kāraṇe tasya tathaiva dvau ca pratyayau /	yasmAt dve kAraNe tasya taTA-eva dvO ca pratyayO /
   virataḥ parahiṃsāyā bahu dattaṃ ca bhojanam // Suv_2.6 //	virataH para-hiMsAyAH bahu dattam ca Bojanam // Suu-_2.6 //
   yasmāttasya mahātmasya hyāyuḥsaṃkhyā na labhyate /	yasmAt-tasya mahAtmasya hi-AyuH-saMKyA na laByate /
   ityuktāni ca kalpāni saṃkhyāyāṃ na tathaiva ca // Suv_2.7 //	iti-uktAni ca kalpAni saMKyAyAm na taTA-eva ca // Suu-_2.7 //
   tasmānna saṃśayo bho hi mā kiñcit kuru saṃśayam /	tasmAt-na saMSayaH Bo hi mA kiQcid kuru saMSayam /
   na jinasyāyuḥparyantaṃ kācitsaṃkhyopalabhyate // Suv_2.8 //	na jinasya-AyuH-paryantam kAcid-saMKyA-upalaByate // Suu-_2.8 //
   atha khalu tasminsamaye tatra parṣadyācāryavyākaraṇaprāptaḥ kauṇḍinyo nāma	aTa Kalu tasmin-samaye tatra parzadi-AcArya-vyAkaraNa-prAptaH kONxinyaH nAma
   brāhmaṇo 'nekairbrāhmaṇasahasraiḥ sārdhaṃ bhagavataḥ pūjākarma kṛtvā	brAhmaNaH anekEH-brAhmaNa-sahasrEH sArDam BagavataH pUjA-karma kRtvA
   tathāgatasya mahāparinirvāṇaśabdaṃ śrutvā sahasotthāya	taTAgatasya mahA-parinirvANa-Sabdam SrutvA sahasA-utTAya
   bhagavataścaraṇayornipatya bhagavantamevamāha / sacetkila	BagavataH-caraNayoH-nipatya Bagavantam-evam-Aha / saced-kila
   bhagavansarvasattvānukampako mahākāruṇiko hitaiṣī sarvasattvānāṃ	Bagavan-sarva-sattva-anukampakaH mahA-kAruNikaH hita-ezI sarva-sattvAnAm
   mātāpitṛbhūto 'samasamabhūtaścandrabhūta ālokakaro	mAtA-pitR-BUtaH asamasama-BUtaH-candra-BUtaH Aloka-karaH-
   mahāprajñājñānasūryasamudgataḥ / yadi tvaṃ sarvasattvān rāhulaṃ svaṃ	mahA-prajQA-jQAna-sUrya-samudgataH / yadi tvam sarva-sattvAn rAhulam svam
   saṃpaśyasi mahyamekaṃ varaṃ dehi / bhagavāṃstūṣṇīmbhūto 'bhūt /	saMpaSyasi mahyam-ekam varam dehi / BagavAn=-tUzNImBUtaH aBUt /
   atha buddhānubhāvena tasyāṃ parṣadi sarvasattvapriyadarśano nāma	aTa budDa-anuBAvena tasyAm parzadi sarva-sattva-priya-darSanaH nAma
   litsavikumāraḥ / tasya pratibhānamutpannam / sa ācāryavyākaraṇaprāptaṃ	litsa-vikumAraH / tasya pratiBAnam-utpannam / saH AcArya-vyAkaraNa-prAptam
   kauṇḍinyaṃ brāhmaṇamevamāha / kiṃ nu tvaṃ mahābrāhmaṇa bhagavantamekaṃ	kONxinyam brAhmaNam-evam-Aha / kim nu tvam mahA-brAhmaNa Bagavantam-ekam
   varaṃ yācase / ahaṃ te varaṃ dadāmi / brāhmaṇa āha /	varam yAcase / aham te varam dadAmi / brAhmaNaH Aha /
   ahamasmiṃllitsavikumāra (Bagchi 7) bhagavataḥ pūjopasthānāya bhagavataḥ	aham-asmin=-litsa-vikumAraH (Baj-Ci 7) BagavataH pUjA-upasTAnAya BagavataH
   sarṣapaphalamātraṃ dhātumicchāmi nikṣepituṃ cūrṇaṃ	sarzapa-Pala-mAtram DAtum-icCAmi nikzepitum cUrNam
   dhātumabhiprayojanāyainaṃ sarṣapaphalamātraṃ dhātumabhipūjayitvā	DAtum-aBiprayojanAya-enam sarzapa-Pala-mAtram DAtum-aBipUjayitvA
   tridaśādhipatyaṃ labhyata ityevaṃ śrūūyate / śṛṇu tvaṃ litsavikumāra	tridaSa-ADipatyam laByate iti-evam SrUUyate / SRNu tvam litsa-vikumAra
   suvarṇaprabhāsottamasūtraṃ durvijñeyaṃ sarvaśrāvakapratyekabuddhānāṃ	suvarNa-praBAsa-uttama-sUtram durvijQeyam sarva-SrAvaka-pratyekabudDAnAm
   tādṛśairlakṣaṇaguṇaiḥ samanvāgataṃ kila suvarṇaprabhāsottamasūtraṃ	tAdRSEH-lakzaNa-guNEH samanvAgatam kila suvarNa-praBAsa-uttama-sUtram
   bhāvayiṣyati / evaṃ bho litsavikumāra durvijñeyaṃ duranubodhaṃ	BAvayizyati / evam Bo litsa-vikumAra durvijQeyam duranuboDam
   suvarṇaprabhāsottamasūtram / asmākameva pratyantadvīpikānāṃ brāhmaṇānāṃ	suvarNa-praBAsa-uttama-sUtram / asmAkam-eva pratyantadvIpikAnAm brAhmaNAnAm
   sarṣapaphalamātraṃ dhātuṃ karaṇḍake nikṣipya dhāraṇamucitam / ahaṃ te	sarzapa-Pala-mAtram DAtum karaNxake nikzipya DAraNam-ucitam / aham te
   varaṃ yāce yena sattvāḥ kṣiprameva tridaśādhipatyaṃ pratilambhino	varam yAce yena sattvAH kzipram-eva tridaSa-ADipatyam pratilamBinaH-
   bhaviṣyanti / tvaṃ kila bho litsavikumāra sarṣapaphalamātraṃ dhātuṃ	Bavizyanti / tvam kila Bo litsa-vikumAra sarzapa-Pala-mAtram DAtum
