   śrīḥ	SrIH
   tathāpi pradhānānvayo labhyeta |	taTA-api praDAna-anvayaH laByeta |
   phalaṃ hi pradhānam |	Palam hi praDAnam |
   purūṣārthatayā sādhyamānatvāditi prāpte , brūmaḥ -	purUza-arTatayA sADyamAna-tvAt-iti prApte , brUmaH -
   apūrvasyāntyantamadṛṣṭatvādekakalpanayaiva vākyasyopapattāvanekakalpane	apUrvasya-antyantam-adRzwa-tvAt-eka-kalpanayA-eva vAkyasya-upapattO=-aneka-kalpane
   gauravaṃ syāt |	gOravam syAt |
   tasmādekamapūrvamekena śabdena pratipādyate |	tasmAt-ekam-apUrvam-ekena Sabdena pratipAdyate |
   padāntaraṃ tu taccheṣatayānveti |	pada-antaram tu tat-Seza-tayA-anveti |
   nanu yasya padasyārtho 'pūrvasya kalpakastatpadārthasya phalasādhanatayā	nanu yasya padasya-arTaH apUrvasya kalpakaH-tad-padArTasya Pala-sADana-tayA
   phalaṃ pratyupādeyatvavidheyatvaguṇatvānyabhyupagantavyāni |	Palam pratyupAdeya-tva-viDeya-tva-guNa-tvAni-aByupagantavyAni |
   tathā tasyaiva śeṣabhūtapadāntarārthe	taTA tasya-eva Seza-BUta-pada-antara-arTe
   pratyuddeśyatvānuvādyatvapradhānatvānāmapi	pratyuddeSya-tva-anuvAdya-tva-praDAna-tvAnAm-api
   prāptatvādviruddhatrikadvayāpattiriti cet |	prApta-tvAt-virudDa-trika-dvaya-ApattiH-iti ced |
   mevam |	mevam |
   "udbhidā yajeta paśukāmaḥ" "śyenenābhicaranyajeta"ityādāvudbhidādiśabdānāṃ	"udBidA yajeta paSu-kAmaH" "Syenena-aBicaran-yajeta"iti-AdO=-udBida-Adi-SabdAnAm
   nāmatvenātvaye sati yāgasādhanavācitvābhāvena	nAma-tvena-Atvaye sati yAga-sADana-vAci-tva-aBAvena
   yajatāvuddeśyatvāditrikāpādakatvābhāvāt |	yajatO=-uddeSya-tva-Adi-trikA-pAdaka-tva-aBAvAt |
   tasmādekameva padamapūrvapratipādakam |	tasmAt-ekam-eva padam-apUrva-pratipAdakam |
   na ca dharmabhedacintāṃ prastutā parityajya kimityapūrve cintyata iti	na ca Darma-Beda-cintAm prastutA parityajya kim-iti-apUrve cintyate iti
   vācyam |	vAcyam |
   apūrvasyaiva dharmatvāt || MJaiNyC_2,1.2-3 ||	apUrvasya-eva Darma-tvAt || MJENyC_2,1.2-3 ||
   dvitīyaṃ varṇakamāracayati --	dvitIyam varNakam-Aracayati --
   START MJaiNy 2,1.4-7	START MJENi 2,1.4-7
   dravyādiśabdato 'pūrvadhīrbhāvārthapadāduta /	dravya-Adi-SabdataH apUrva-DIH-BAva-arTa-padAt-uta /
   dravyādīnāṃ phalārthatvāttacchabdena hyapūrvadhīḥ // MJaiNy_2,1.4 //	dravya-AdInAm Pala-arTa-tvAt-tad-Sabdena hi-apUrva-DIH // MJENi-_2,1.4 //
   kriyādvāramṛte dravyaṃ phalena nahi yujyate /	kriyA-dvAram-Rte dravyam Palena nahi yujyate /
   bhāvanāvācino 'pūrvamākhyātādavagamyate // MJaiNy_2,1.5 //	BAvanA-vAcinaH apUrvam-AKyAtAt-avagamyate // MJENi-_2,1.5 //
   dhātvarthavyatirekeṇa bhāvanā neti cenna tat /	DAtu-arTa-vyatirekeNa BAvanA na-iti ced-na tat /
   sarvadhātvarthasaṃbaddhaḥ karotyartho hi bhāvanā // MJaiNy_2,1.6 //	sarva-DAtu-arTa-saMbadDaH karoti-arTaH hi BAvanA // MJENi-_2,1.6 //
   dhātvarthaḥ karaṇaṃ tasyāṃ samānapadavarṇitaḥ /	DAtvarTaH karaNam tasyAm samAna-pada-varNitaH /
   dravyādyupakṛtirdṛṣṭā dhātvarthotpādanātmikā // MJaiNy_2,1.7 //	dravya-Adi-upakRtiH-dRzwA DAtu-arTa-utpAdana-AtmikAH // MJENi-_2,1.7 //
   idamāmnāyate -"somena yajeta" "hiraṇyamātreyāya dadāti" "tasmātsuvarṇe	idam-AmnAyate -"somena yajeta" "hiraNyam-AtreyAya dadAti" "tasmAt-suvarNe
   hiraṇyaṃ dhāryam" "śyenenābhicaranyajeta" "citrayā yajeta paśukāmaḥ"ityādi	hiraNyam DAryam" "Syenena-aBicaran-yajeta" "citrayA yajeta paSu-kAmaH"ityAdi
   tatra somahiraṇyaśabdau dravyavācinau, suvarṇaśabdo guṇavācī,	tatra soma-hiraNya-SabdO dravya-vAcinO, suvarNa-SabdaH guNa-vAcI,
   śyenacitrāśabdau karmavācinau |	Syena-citrA-SabdO karma-vAcinO |
   tairetairdravyādiśabdairapūrve pratyeti kutaḥ |	tEH-etEH-dravya-Adi-SabdEH-apUrve pratyeti kutas |
   dravyādīnāṃ siddharūpāṇāṃ sādhyaṃ phalaṃ prati sādhanatvasaṃbhavāt |	dravya-AdInAm sidDa-rUpANAm sADyam Palam prati sADana-tva-saMBavAt |
   yāgadānādirūpastu bhāvārthaḥ svayamapi phalavatsādhyarūpatvānna sādhanaṃ	yAga-dAna-Adi-rUpaH-tu BAva-arTaH svayam-api Palavat-sADya-rUpa-tvAt-na sADanam
   bhavitumarhapti |	Bavitum-arhapti |
   tato dravyādīnāṃ phalaṃ prati karaṇatvāddravyādiśabdā apūrvapratyāyakā iti	tatas dravya-AdInAm Palam prati karaNa-tvAt-dravya-Adi-SabdAH apUrva-pratyAyakAH iti
   prāpte - brūmaḥ- kriyāṃ vinā dravyāṇi phalaṃ sādhayituṃ na kṣamante |	prApte  brUmaH kriyAm vinA dravyANi Palam sADayitum na kzamante |
   pacikrīyāmantareṇa kāṣṭhasthālyādīnāmodanasādhakatvādarśanāt |	pacikrIyAm-antareNa kAzWa-sTAlI-AdIn-Am-odana-sADaka-tva-adarSanAt |
   ato bhāvanāvācinā yajati dadātītyākhyātenāpūrve pratīyate |	atas BAvanA-vAcinA yajati dadAti-iti-AKyAtena-apUrve pratIyate |
   nanu dhātvartha eva bhāvanā, tadanyā vā |	nanu DAtu-arTaH eva BAvanA, tad-anyA vA |
   na tāvaddhātvarthaḥ |	na tAvat-DAtu-arTaH |
   tasya tāṃ prati karaṇatvokteḥ |	tasya tAm prati karaNa-tva-ukteH |
   na dvitīyaḥ |	na dvitIyaH |
   dhātvarthavyatiriktāyāḥ kriyāyādurlakṣyatvāditi cet |	DAtu-arTa-vyatiriktAyAH kriyAya-adurlakzya-tvAt-iti ced |
   maivam |	mA-evam |
   sarvadhātvarthasaṃbaddhasya karotirūpasya lakṣayituṃ śakyatvāt |	sarva-DAtu-arTa-saMbadDasya karoti-rUpasya lakzayitum Sakya-tvAt |
   taduktamācāryaiḥ-	tad-uktam-AcAryEH-
   "dhātvarthavyatirekeṇa yadyapyeṣā na lakṣyate |	"DAtu-arTa-vyatirekeNa yadi-api-ezA na lakzyate |
   tathāpi sarvasāmānyarūpeṇaivāvagamyate"iti |	taTA-api sarva-sAmAnya-rUpeNa-eva-avagamyate"iti |
   anyairapyuktam -	anyEH-api-uktam -
   "siddhasādhyasvabhāvābhyāṃ dhātvartho dvividhastayoḥ |	"sidDa-sADya-svaBAvAByAm DAtu-arTaH dviviDaH-tayoH |
   anyotpādānukūlātmā bhāvanā sādhyarūpiṇī"iti |	anya-utpAda-anukUla-AtmA BAvanA sADya-rUpiNI"-iti |
   ' pacati ' ityukte ' pākaṃ karotri ' ityetamarthe sarve janāḥ pratiyanti |	a pacati a iti-ukte a pAkam karotri a iti-etam-arTe sarve janAH pratiyanti |
   tatra pākaḥ, paktiḥ pacanam, ityetaiḥ śabdairvyavahriyamāṇo	tatra pAkaH, paktiH pacanam, iti-etEH SabdEH-vyavahriyamANaH-
   liṅgakārakasaṃkhyāyogyo dhātvarthaḥ siddhasvabhāvaḥ |	liFga-kAraka-saMKyA-yogyaH DAtu-arTaH sidDa-svaBAvaH |
   ' karoti ' ityanena vyavahriyamāṇo liṅgādyapetaḥ	a karoti a iti-anena vyavahriyamANaH liFga-Adi-apetaH
   sādhyasvabhāvadyotanāyā'khyātapratyayavidhiḥ |	sADya-svaBAva-dyotanAyA-aKyAta-pratyaya-viDiH |
   sa cā'khyātapratyayārtha odanotpatteranukūlaḥ |	sa cA-aKyAta-pratyaya-arTaH odana-utpatteH-anukUlaH |
   tato bhaviturodanasya prayojakavyāpāratvāṇṇijantena bhāvanāśabdenocyate -	tatas BavituH-odanasya prayojaka-vyApAra-tvANNi-jantena BAvanA-Sabdena-ucyate -
   iti |	iti |
   anye bhāvanāpakṣā ayuktāḥ |	anye BAvanA-pakzAH ayuktAH |
   prayatno bhāvaneti cet |	prayatnaH BAvanA-iti ced |
   na |	na |
   'ratho gacchati' ityatra tadabhāvaprasaṅgāt |	araTaH gacCati-a iti-atra tad-aBAva-prasaFgAt |
   spanda iti cet |	spandaH iti ced |
   na |	na |
   mānasatyāgarūpe yajatāvavyāpteḥ |	mAnasa-tyAga-rUpe yajatO=-avyApteH |
   ubhayasādhāraṇamudāsīnatvavicchedasāmānyaṃ bhāvaneti cet |	uBaya-sADAraNam-udAsIna-tva-vicCeda-sAmAnyam BAvanA-iti ced |
   na |	na |
   śabdabhāvanāyāmavyāptiḥ na hi śabdasya vibhoracetanasya spandaḥ prayatno	Sabda-BAvanAyAm-avyAptiH na hi Sabdasya viBoH-acetanasya spandaH prayatnaH-
   vāsti |	vA-asti |
   liṅ - leṭ - loṭtavyapratyayamātragatā śabdabhāvanā |	lij  lew  lowtavya-pratyaya-mAtra-gatA Sabda-BAvanA |
   sarvākhyātagatār'thabhāvanā |	sarva-AKyAta-gatAr-aTa-BAvanA |
   taduktam --	tat-uktam --
   "abhidhāṃ bhāvanāmāhuranyāmeva liṅṅādayaḥ |	"aBiDAm BAvanAm-AhuH-anyAm-eva liFFa-AdayaH |
   arthātmabhāvanā tvanyā sarvākhyāteṣu gamyate"iti ||	arTa-Atma-BAvanA tu-anyA sarva-AKyAtezu gamyate"iti ||
   kiṃca spandādivādino 'pi na svarūpeṇa spandādīnāṃ bhāvanātvamāhuḥ,	kiMca spanda-Adi-vAdinaH api na sva-rUpeNa spanda-AdInAm BAvanA-tvam-AhuH,
   kiṃtvanyotpādānukūlaṃ svarūpam |	kiMtu-anya-utpAda-anukUlam sva-rUpam |
   tasmādasmaduktaiva bhāvanā |	tasmAt-asmad-uktA-eva BAvanA |
   yathā ' pacati, ityatraudanaphalotpattyanukūlā, tathā 'yajati' ityatra	yaTA a pacati, iti-atra-odana-Pala-utpatti-anukUlA, taTA ayajati-a iti-atra
   svargādiphalotpattyanukūlā |	svarga-Adi-Pala-utpatti-anukUlAH |
   tasyāṃ ca phalabhāvanāyāṃ pratyayavācyāyāmekapadopāttatvena	tasyAm ca Pala-BAvanAyAm pratyaya-vAcyAyAm-eka-pada-upAtta-tvena
   pratyāsamnatvātprakṛtyarthaḥ karaṇam , na tu dravyādi |	pratyAsamna-tvAt-prakRti-arTaH karaNam , na tu dravya-Adi |
   tasya padāntaropāttatvena viprakṛṣṭatvāt |	tasya pada-antara-upAtta-tvena viprakRzwa-tvAt |
   sādhyarūpo 'pi prakṛtyarthaḥ svasādhananiṣpāditaḥ sañśaknoti phalaṃ	sADya-rUpaH api prakRti-arTaH sva-sADana-nizpAditaH san-Saknoti Palam
   sādhayitum |	sADayitum |
   dravyādīnāṃ tu prakṛtyarthotpādanena dṛṣṭa evopakāraḥ |	dravya-AdInAm tu prakRti-arTa-utpAdanena dRzwaH eva-upakAraH |
   dravyādiniṣpāditena dhātuvācyena yāgādikaraṇena svargādiphalotpattau	dravya-Adi-nizpAditena DAtu-vAcyena yAga-Adi-karaNena svarga-Adi-Pala-utpattO
   satyāṃ yeyamanukūlavyāpārātmā kṛtiśabdābhidheyā phalotpādanā seyaṃ	satyAm yA-iyam-anukUla-vyApAra-AtmA kRti-Sabda-aBiDeyA Pala-utpAdanA sA-iyam
   yajyādidhātūnāmanyatameva kenāpi nābhidhīyate |	yajya-Adi-DAtUnAm-anyatam-eva kena-api na-aBiDIyate |
   sarvadhātvarthānuyāyisvāt |	sarva-DAtu-arTa-anuyAyi-svAt |
   ato na bhāvanāyāḥ prakṛtyarthatvamāśaṅkituṃ śakyam |	atas na BAvanAyAH prakRti-arTa-tvam-ASaFkitum Sakyam |
   astu tarhi -- dhātvarthasāmānyameva bhāvaneti cet |	astu tarhi - DAtu-arTa-sAmAnyam-eva BAvanA-iti ced |
   na |	na |
   pratidhātvarthe vilakṣaṇarūpatvāt |	pratiDAtu-arTe vilakzaNa-rUpa-tvAt |
   anyaddhi pākasyaudanaṃ pratyānukūlyam |	anyat-hi pAkasya-odanam pratyAnukUlyam |
   anyacca calanasya saṃyogavibhāgau prati |	anyat-ca calanasya saMyoga-viBAgO prati |
   anyathā phalavibhāgānupapatteḥ |	anyaTA Pala-viBAga-anupapatteH |
   bhinnāsu bhāvanāvyaktiṣu bhāvanātvasāmānyamanuvartatāṃ nāma |	BinnAsu BAvanA-vyaktizu BAvanA-tva-sAmAnyam-anuvartatAm nAma |
   naitāvatāprakṛtyarthasāmānyaṃ tadbhavati |	na-etAvatA-prakRti-arTa-sAmAnyam tat-Bavati |
   tasmādviśeṣarūpātsāmānyarūpācca	tasmAt-viSeza-rUpAt-sAmAnya-rUpAt-ca
   yajyādidhātuvācyādanyaivā'khyātapratyayavācyā bhāvanā |	yajya-Adi-DAtuvAcyAt-anyA-evA-aKyAta-pratyaya-vAcyA BAvanA |
   tathāsati 'yajeta' ityatrā'khyātasya 'bhāvayet' ityartho bhavati |	taTA-asati ayajeta-a iti-atrA-aKyAtasya aBAvayet-a iti-arTaH Bavati |
   tatra ' kiṃ bhāvayet, kena bhāvayet, kathaṃ bhāvayet, ityakāṅkṣāyāṃ '	tatra a kim BAvayet, kena BAvayet, kaTam BAvayet, iti-akAFkzAyAm a
   svarge bhāvayet ' yāgena bhāvayem,	svarge BAvayet a yAgena BAvayem,
   agnyanvādhānaprayājāvaghātādibhirupakāraṃ saṃpādya bhāvayet , ityevaṃ	agni-anvADAna-prayAja-avaGAta-AdiBiH-upakAram saMpAdya BAvayet , iti-evam
   bhājyakaraṇetikartavyatāsamarpaṇenā'kāṅkṣāpūraṇātprakaraṇāmnātaḥ sakalaḥ	BAjya-karaNa-iti-karta-vya-tA-samarpaNenA-akAFkza-ApUraNAt-prakaraNa-AmnAtaH sakalaH
   śabdasaṃdarbho bhāvanāvācina ākhyātasyaiva prapañcaḥ |	Sabda-saMdarBaH BAvanA-vAcinaH AKyAtasya-eva prapaQcaH |
   bhāvyādyaṃśatrayavatī seyamārthī bhāvanetyucyate |	BAvya-Adi-aMSa-trayavatI sA-iyama-arTI BAvanA-iti-ucyate |
   sā sarvāpi śabdabhāvanāyā bhāvyā, vidhāyako liṅṅādiḥ karaṇam |	sA sarvA-api Sabda-BAvanAyAH BAvyA, viDAyakaH liFFAdiH karaNam |
   arthavādasaṃpāditā stutiritikartavyatā |	arTavAda-saMpAditA stutiH-itikartavya-tA |
   seyaṃ śabdabhāvanā liṅṅādibhireva gamyate |	sA-iyam Sabda-BAvanA liFFa-AdiBiH-eva gamyate |
   ' arthabhāvanāṃ sarvairākhyātapratyaiyargamyata ityuktam |	a arTa-BAvanAm sarvEH-AKyAta-pratyEyargamyate iti-uktam |
   tasyāṃ cārthabhāvanāyāṃ svargasya bhāvyatvaṃ kamiyogādavagamyate |	tasyAm ca-arTa-BAvanAyAm svargasya BAvya-tvam kami-yogAt-avagamyate |
   prakṛtyarthasya karaṇatvaṃ tṛtīyāśrutyā |	prakRti-arTasya karaNa-tvam tRtIyA-SrutyAH |
   tathā ca śrūyate -"darśapūrṇamāsābhyāṃ svargakāmo yajeta"' citrayā yajeta	taTA ca SrUyate -"darSa-pUrNamAsAByAm svarga-kAmaH yajeta"-a citrayA yajeta
   paśukāmaḥ ' iti |	paSu-kAmaH a iti |
   tacca karaṇatvamapūrvakalpanāmantareṇa na saṃbhavatītyabhidhāsyate |	tat-ca karaNa-tvam-apUrva-kalpanAm-antareNa na saMBavati-iti-aBiDAsyate |
   tasmādākhyātapratyayāntādbhāvārthapadādapūrve ganyate |	tasmAt-AKyAta-pratyaya-antAt-BAva-arTa-padAt-a-pUrve ganyate |
   cintāprayojanaṃ tu - 'pūrvapakṣe dravyādyapacāre pratinidhyabhāvaḥ |	cintA-prayojanam tu  apUrva-pakze dravya-Adi-apacAre pratiniDi-aBAvaH |
   siddhānte tu tatsadbhāvaḥ ' iti || MJaiNyC_2,1.4-7 ||	sidDAnte tu tad-sadBAvaH a iti || MJENyC_2,1.4-7 ||
   (dvitīye 'pūrvasyāstitvādhikaraṇe sūtram)	(dvitIye apUrvasya-astitva-aDikaraNe sUtram)
   codanā punar ārambhaḥ / Jaim_2,1.5 /	codanA punar AramBaH / JEm_2,1.5 /
   START MJaiNy 2,1.8-10	START MJENi 2,1.8-10
   dvitīyādhikaraṇamāracayati -	dvitIya-aDikaraNam-Aracayati -
   apūrvasadasadbhāvasaṃśaye sati nāsti tat /	apUrva-sat-asadBAva-saMSaye sati na-asti tat /
   mānābhāvātphalaṃ yāgātsidhyecchāstrapramāṇataḥ // MJaiNy_2,1.8 //	mAna-aBAvAt-Palam yAgAt-siDyet-SAstra-pramANataH // MJENi-_2,1.8 //
   kṣaṇikasya vinaṣṭasya svargahetutvakalpanam /	kzaNikasya vinazwasya svarga-hetu-tva-kalpanam /
   viruddhaṃ māntareṇātaḥ śreyo 'pūrvasya kalpanam // MJaiNy_2,1.9 //	virudDam mA-antareNa-atas SreyaH apUrvasya kalpanam // MJENi-_2,1.9 //
   avāntaravyāpṛtirvā śaktirvā yāgajocyate /	avAntara-vyApRtiH-vA SaktiH-vA yAgajA-ucyate /
   apūrvamiti tadbhedaḥ prakriyāto 'vagamyatām // MJaiNy_2,1.10 //	apUrvam-iti tad-BedaH prakriyAtaH avagamyatAm // MJENI-_2,1.10 //
   pūrvādhikaraṇe varṇakābhyāṃ yadidamuktam -	pUrva-aDikaraNe varNakAByAm yat-idam-uktam -
   'apūrvasyaikameva padaṃ pratyāyakam ' tacca 'yajeta'	aapUrvasya-ekam-eva padam pratyAyakam a tat-ca ayajeta-a
   ityākhyātāntabhāvārthapadam, iti |	iti-AKyAta-anta-BAva-arTa-padam, iti |
   tadanupannam |	tad-anupannam |
   apūrvasadbhāvemānābhāvāt |	apUrva-sadBA-vemAnABAvAt |
   ' yajeta ' ityābhyāṃ prakṛtipratyayābhyāṃ karaṇabhāvanayorabhidhānāt |	a yajeta a iti-AByAm prakRti-pratyayAByAm karaNa-BAvanayoH-aBiDAnAt |
   apūrvābhāve kālāntarabhāvisvargasādhanatvaṃ vinaśvarasya	apUrva-aBAve kAla-antara-BAvi-svarga-sADana-tvam vinaSvarasya
   yāgasyānupapannamiti cet |	yAgasya-anupapannam-iti ced |
   na |	na |
   śāstraprāmāṇyena tadupapatteriti prāpte -	SAstra-prAmANyena tat-upapatteH-iti prApte -
   brūmaḥ- ' darśapūrṇamāsābhyām ' iti tṛtīyāśrutyā tāvadyāgasya	brUmaH a darSa-pUrNamAsAByAm a iti tRtIyA-SrutyA tAvat-yAgasya
   svargasādhanatvaṃ pramitam |	svarga-sADana-tvam pramitam |
   tadyathopapadyate tathāvaśyaṃ bhavatāpi kalpanīyam |	tat-yaTA-upapadyate taTA-avaSyam BavatA-api kalpanIyam |
   tatra kiṃ yāvatphalaṃ yāgasyāvasthānaṃ kalpyate, kiṃvā vinaṣṭasyāpi	tatra kim yAvat-Palam yAgasya-avasTAnam kalpyate, kiMvA vinazwasya-api
   svargotpādanam |	svarga-utpAdanam |
   nā'dyaḥ |	nA-adyaH |
   yāge kṣaṇikatvasya pratyakṣasiddhatvāt |	yAge kzaNika-tvasya pratyakza-sidDa-tvAt |
   na dvitīyaḥ |	na dvitIyaH |
   mṛtayordaṃpatyoḥ putrotpattyadarśanāt |	mRtayoH-daMpatyoH putra-utpatti-adarSanAt |
   ato mānāntaraviruddhādbhavadīyakalpanādasmadīyamavirūddhamapūrvakalpanaṃ	atas mAna-antara-virudDAt-BavadIya-kalpanAt-asmadIyam-avirUdDam-apUrva-kalpanam
   jyāyaḥ |	jyAyaH |
   kalpite 'pyapūrve tasyaiva svargasādhanatvādyāgasya	kalpite api-apUrve tasya-eva svarga-sADana-tvAt-yAgasya
   svargasādhanatvaśrutirvirūdhyeteti cet |	svarga-sADana-tva-SrutiH-virUDyeta-iti ced |
   na |	na |
   ' yāgāvāntaravyāpāro 'pūrvam ' ityaṅgīkārāt |	a yAga-avAntara-vyApAraH apUrvam a iti-aFgIkArAt |
   na hyudyamananipatanayoravāntaravyāpārayoḥ sattve kuṭhārasya	na hi-udyamana-nipatanayoH-avAntara-vyApArayoH sattve kuWArasya
   sādhanatvamapaiti |	sADana-tvam-apEti |
   yadi vyāpāravato yāgasya nāśe vyāpāre na tiṣṭhettarhi yāgajanyā	yadi vyApAravataH yAgasya nASe vyApAre na tizWet-tarhi yAga-janyA
   kācicchaktirapūrvamastu |	kAcid-SaktiH-apUrvam-astu |
   śaktivyavadhāne 'pi yāgasya sādhanatvamavirūddham |	Sakti-vyavaDAne api yAgasya sADana-tvam-avirUdDam |
   auṣṇyavyavahite 'pyagnau dāhakatvāṅgīkārāt |	OzNya-vyavahite api-agnO dAhaka-tva-aFgIkArAt |
   yathāṅgārajanyamauṣṇyaṃ śānteṣyapyaṅgāreṣu jale 'nuvartate, tathā	yaTA-aFgAra-janyam-OzNyam SAntezI-api-aFgArezu jale anuvartate, taTA
   yāgajanyamapūrve naṣṭe 'pi yāge karrtayātmanyavanuvartatām |	yAga-janyam-apUrve nazwe api yAge karrtaya-Atmani-avanuvartatAm |
   tasmādastyarpūvam |	tasmAt-asti-arpUvam |
   tadviśeṣastu saṃpradāyasiddhayāgaprakriyayāvagantavyaḥ |	tad-viSezaH-tu saMpradAya-sidDa-yAga-prakriyayA-avagantavyaH |
   tathā hi - prakriyā pūrvācāryairitthaṃ darśitā -"prathamaṃ	taTA hi  prakriyA pUrva-AcAryEH-itTam darSitA -"praTamam
   tāvatphalavākyena karmaṇaḥ phalasādhanatā bodyate - ' yāgena svarge kuryāt	tAvat-Pala-vAkyena karmaNaH Pala-sADana-tA bodyate  a yAgena svarge kuryAt-
   ' iti |	a iti |
   'kathaṃ vinaśvareṇa phalaṃ kartavyam ' ityapekṣāyām ' apūrve kṛtvā '	akaTam vinaSvareNa Palam kartavyam a iti-apekzAyAm a apUrve kRtvA a
   ityucyate |	iti-ucyate |
   ' kathamapūrve kriyate ' ityapekṣāyāṃ ' yāgānuṣṭhānaprakāreṇa ' iti |	a kaTam-apUrve kriyate a iti-apekzAyAm a yAga-anuzWAna-prakAreNa a iti |
   taccāpūrve darśapūrṇamāsayoranekavidham - phalāpūrvam |	tat-ca-apUrve darSa-pUrNamAsayoH-anekaviDam  Pala-apUrvam |
   samudāyāpūrvam ṣa utpattyapūrvam, aṅgāpūrve ceti |	samudAya-apUrvam zaH utpatti-apUrvam, aFga-apUrve ca-iti |
   yena svarga ārabhyate tatphalāpūrvam |	yena svargaH AraByate tad-Pala-apUrvam |
   amāvāsyāyāṃ trayāṇāṃ yāgānāmekaḥ samudāyaḥ, paurṇamāsyāmaparaḥ,	amAvAsyAyAm trayANAm yAgAnAm-ekaH samudAyaH, pOrNamAsyAm-aparaH,
   tayorbhinnakālavartinoḥ saṃhatya phalāpūrvārambhāyogāttadārambhāya	tayoH-Binna-kAla-vartinoH saMhatya Pala-apUrva-AramBa-ayogAt-tad-AramBAya
   samudāyadvayajanyamapūrvadvayaṃ kalpanīyam |	samudAya-dvaya-janyam-apUrva-dvayam kalpanIyam |
   tayorekaikasyā' rambhāyaikaikasamudāyavartināṃ trayāṇāṃ yāgāmāṃ	tayoH-ekEkasyA-a ramBAya-ekEka-samudAya-vartinAm trayANAm yAgAmAm
   bhinnakṣaṇavartitvena saṃghātāpattyabhāvādyāgatrayaṇanyāni	Binna-kzaNa-varti-tvena saMGAta-apatti-aBAvAt-yAga-trayaNanyAni
   trīṇyutpattyapūrvāṇi kalpanīyāni |	trINi-utpatti-apUrvANi kalpanIyAni |
