   (atha prathamaḥ adhyāyaḥ)	(aTa praTamaH aDyAyaH)
   {udāharaṇa-lakṣaṇam}	{udAharaNa--lakzaNam}
   1.1.37: tadviparyayāt vā viparītam	1.1.37: tad-viparyayAt vA viparItam
   {udāharaṇa-lakṣaṇam}	{udAharaNa--lakzaNam}
   1.1.38: udāharaṇāpekṣaḥ tathā iti upasaṃhāraḥ na tathā iti vā sādhyasya	1.1.38: udAharaNa-apekzaH taTA iti upasaMhAraH na taTA iti vA sADyasya
   upanayaḥ	upanayaH
   {upanaya-lakṣaṇam}	{upanaya--lakzaNam}
   1.1.39: hetvapadeśāt pratijñāyāḥ punarvacanam nigamanam	1.1.39: hetu-apadeSAt pratijQAyAH punarvacanam nigamanam
   {nigamana-lakṣaṇam}	{nigamana--lakzaNam}
   [nyāyottarāṅgaprakaraṇam]	[nyAya-uttarAFga-prakaraNam]
   1.1.40: avijñātatatve arthe kāraṇopapattitaḥ tattvajñānārtham uhaḥ tarkaḥ	1.1.40: avijQAtatatve arTe kAraNa-upapattitaH tattva-jQAna-arTam uhaH tarkaH
   {tarka-lakṣaṇam}	{tarka--lakzaNam}
   1.1.41: vimṛśya pakṣapratipakṣābhyām arthāvadhāraṇam nirṇayaḥ	1.1.41: vimRSya pakza-pratipakzAByAm arTa-avaDAraNam nirNayaH
   {nirṇaya-lakṣaṇam}	{nirNaya-lakzaNam}
   (iti nyāyasūtre prathamādhyāyasya prathamam āhnikam)	(iti nyAya-sUtre praTama-aDyAyasya praTamam Ahnikam-)
   (atha dvitīyam āhnikam)	(aTa dvitIyam Ahnikam-)
   [kathālakṣaṇaprakaraṇam]	[kaTA-lakzaNa-prakaraNam]
   1.2.1: pramāṇatarkasādhanopālambhaḥ siddhāntāviruddhaḥ pañcāvayavopapannaḥ	1.2.1: pramANa-tarka-sADana-upAlamBaH sidDAnta-avirudDaH paQca-avayava-upapannaH
   pakṣapratipakṣaparigrahaḥ vādaḥ	pakza-pratipakza-parigrahaH vAdaH
   {vāda-lakṣaṇam}	{vAda--lakzaNam}
   1.2.2: yathoktopapannaḥ chalajātinigrahasthānasādhanopālambhaḥ jalpaḥ	1.2.2: yaTA-ukta-upapannaH Cala-ja-ati-nigraha-sTAna-sADana-upAlamBaH jalpaH
   {jalpa-lakṣaṇam}	{jalpa--lakzaNam}
   1.2.3: saḥ pratipakṣasthāpanāhīnaḥ vitaṇḍā	1.2.3: saH pratipakza-sTApanA-hInaH vitaNxA
   {vitaṇḍā-lakṣaṇam}	{vitaNxA--lakzaNam}
   [hetvābhāsaprakaraṇam]	[hetvABAsa-prakaraNam]
   1.2.4: savyabhicāra-viruddha-prakaraṇasama-sādhyasama-kālātītāḥ	1.2.4: savyaBicAra--virudDa--prakaraNa-sama--sADya-sama-kAla-atItAH
   hetvābhāsāḥ	hetvABAsAH
   {hetvābhāsa-uddeśa-sūtram}	{hetvABAsa--uddeSa--sUtram}
   1.2.5: anaikāntikaḥ savyabhicāraḥ	1.2.5: anEkAntikaH savyaBicAraH
   {savyabhicāra-lakṣaṇam}	{savyaBicAra--lakzaNam}
   1.2.6: siddhāntam abhyupetya tadvirodhī viruddhaḥ	1.2.6: sidDAntam aByupetya tad-viroDI virudDaH
   {viruddha-lakṣaṇam}	{virudDa--lakzaNam}
   1.2.7: yasmāt prakaraṇacintā saḥ nirṇayārthamapadiṣṭaḥ prakaraṇasamaḥ	1.2.7: yasmAt prakaraNa-cintA saH nirNaya-arTam-apadizwaH prakaraNa-samaH
   {prakaraṇasama-lakṣaṇam}	{prakaraNa-sama--lakzaNam}
   1.2.8: sādhyāviśiṣṭaḥ sādhyatvāt sādhyasamaḥ	1.2.8: sADya-aviSizwaH sADya-tvAt sADya-samaH
   {sādhyasama-lakṣaṇam}	{sADya-sama--lakzaNam}
   1.2.9: kālātyayāpadiṣṭaḥ kālātītaḥ	1.2.9: kAla-atyaya-apadizwaH kAla-atItaH
   {kālātīta-lakṣaṇam}	{kAla-atIta--lakzaNam}
   [chalaprakaraṇam]	[Cala-prakaraNam]
   1.2.10: vacanavighātaḥ arthavikalpopapattyā chalam	1.2.10: vacana-viGAtaH arTa-vikalpa-upapattyA Calam
   {chala-lakṣaṇam}	{Cala--lakzaNam}
   1.2.11: tat trividham - vākchalam sāmānyacchalam upacāracchalam ca iti	1.2.11: tat triviDam  vAkCalam sAmAnyacCalam upacAracCalam ca iti
   {chala-bheda-uddeśa-sūtram}	{Cala-Beda--uddeSa--sUtram}
   1.2.12: aviśeṣābhihite arthe vaktuḥ abhiprāyāt arthāntarakalpanā vākchalam	1.2.12: aviSeza-aBihite arTe vaktuH aBiprAyAt arTa-antara-kalpanA vAkCalam
   {vākchala-lakṣaṇam}	{vAc-Cala--lakzaNam}
   1.2.13: sambhavataḥ arthasya atisāmānyayogāt asambhūtārthakalpanā	1.2.13: samBavataH arTasya ati-sAmAnya-yogAt asamBUta-arTa-kalpanA
   sāmānyacchalam	sAmAnyacCalam
   {sāmānyacchala-lakṣaṇam}	{sAmAnya=-Cala--lakzaNam}
   1.2.14: dharmavikalpanirdeśe arthasadbhāvapratiṣedhaḥ upacāracchalam	1.2.14: Darma-vikalpa-nirdeSe arTa-sadBAva-pratizeDaH upacAracCalam
   {upacāracchala-lakṣaṇam}	{upacAra=-Cala--lakzaNam}
   1.2.15: vākchalam eva upacāracchalam tat aviśeṣāt	1.2.15: vAkCalam eva upacAracCalam tat aviSezAt-
   {upacāracchala-pūrvapakṣa-lakṣaṇam}	{upacAra=-Cala--pUrva-pakza--lakzaNam}
   1.2.16: na tat arthāntarabhāvāt	1.2.16: na tat arTa-antara-BAvAt-
   {upacāracchala-lakṣaṇam}	{upacAra=-Cala--lakzaNam}
   1.2.17: aviśeṣe vā kiñcitsādharmyāt ekacchalaprasaṅgaḥ	1.2.17: aviSeze vA kiQcid-sADarmyAt eka=-Cala-prasaFgaH
   {upacāracchala-lakṣaṇam}	{upacAra=-Cala--lakzaNam}
   [liṅgadoṣasāmānyaprakaraṇam]	[liFga-doza-sAmAnya-prakaraNam]
   1.2.18: sādharmyavaidharmyābhyām pratyavasthānaṃ jātiḥ	1.2.18: sADarmya-vEDarmyAByAm pratyavasTAnam jAtiH
   {jāti-lakṣaṇam}	{jAti-lakzaNam}
   1.2.19: vipratipattiḥ apratipattiḥ ca nigrahasthānam	1.2.19: vipratipattiH apratipattiH ca nigraha-sTAnam
   {nigrahasthāna-lakṣaṇam}	{nigraha-sTAna--lakzaNam}
   1.2.20: tadvikalpāt jātinigrahasthānabahutvam	1.2.20: tad-vikalpAt jAti-nigraha-sTAna-bahu-tvam
   {nigrahasthānabahutva-sūtram}	{nigraha-sTAna-bahu-tva-sUtram}
   (iti nyāyasūtre prathamādhyāyasya dvitīyam āhnikam)	(iti nyAya-sUtre praTama-aDyAyasya dvitIyam Ahnikam-)
   (samāptaḥ ca ayam prathamaḥ adhyāyaḥ)	(samAptaH ca ayam praTamaH aDyAyaH)
   (atha dvitīyaḥ adhyāyaḥ)	(aTa dvitIyaH aDyAyaH)
   (prathamam āhnikam)	(praTamam Ahnikam-)
   [saṃśayaparīkṣāprakaraṇam]	[saMSaya-parIkzA-prakaraNam]
   2.1.1: samānānekadharmādhyavasāyāt anyataradharmādhyavasāyāt vā na	2.1.1: samAna-aneka-Darma-aDyavasAyAt anyatara-Darma-aDyavasAyAt vA na
   saṃśayaḥ	saMSayaH
   {saṃśaya-}	{saMSaya-}
   2.1.2: viprattipattyavyavasthādhyavasāyāt ca	2.1.2: viprattipatti-avyavasTA-aDyavasAyAt ca
   {saṃśaya-}	{saMSaya-}
   2.1.3: viprattipattau ca saṃprattipatteḥ	2.1.3: viprattipattO ca saMprattipatteH
   {saṃśaya-}	{saMSaya-}
   2.1.4: avyavasthā ātmani vyavasthitatvāt ca avyavasthāyāḥ	2.1.4: avyavasTA Atmani vyavasTita-tvAt ca avyavasTAyAH
   {saṃśaya-}	{saMSaya-}
   2.1.5: tathā atyantasaṃśayaḥ taddharmasātatyopapatteḥ	2.1.5: taTA atyanta-saMSayaH tad-Darma-sAtatya-upapatteH
   {saṃśaya-}	{saMSaya-}
   2.1.6: yathoktādhyavasāyāt eva tadviśeṣāpekṣāt saṃśaye na asaṃśayaḥ na	2.1.6: yaTA-ukta-aDyavasAyAt eva tad-viSeza-apekzAt saMSaye na asaMSayaH na
   atyantasaṃśayaḥ vā	atyanta-saMSayaH vA
   {saṃśaya-}	{saMSaya-}
   2.1.7: yatra saṃśayaḥ tatra evam uttarottaraprasaṅgaḥ	2.1.7: yatra saMSayaH tatra evam uttarottara-prasaFgaH
   {saṃśaya-}	{saMSaya-}
   [pramāṇasāmānyaparīkṣāprakaraṇam]	[pramANa-sAmAnya-parIkzA-prakaraNam]
   2.1.8: pratyakṣādīnām aprāmāṇyaṃ traikālyāsiddheḥ	2.1.8: pratyakza-AdInAm aprAmANyam trEkAlya-asidDeH
   {pūrvapakṣasūtram}	{pUrva-pakza-sUtram}
   2.1.9: pūrvaṃ hi pramāṇasiddhau na indriyārthasannikarṣāt pratyakṣotpattiḥ	2.1.9: pUrvam hi pramANa-sidDO naH indriya-arTa-sannikarzAt pratyakza-utpattiH
   {pūrvapakṣasūtram}	{pUrva-pakza-sUtram}
   2.1.10: paścātsiddhau na pramāṇebhyaḥ prameyasiddhiḥ	2.1.10: paScAt-sidDO na pramANeByaH prameya-sidDiH
   {pūrvapakṣasūtram}	{pUrva-pakza-sUtram}
   2.1.11: yugapatsiddhau pratyarthaniyatatvāt kramavṛttitvābhāvaḥ buddhīnām	2.1.11: yugapad-sidDO pratyarTa-niyata-tvAt krama-vRtti-tva-aBAvaH budDInAm
   {pūrvapakṣasūtram}	{pUrva-pakza-sUtram}
   2.1.12: traikālyāsiddheḥ pratiṣedhānupapattiḥ	2.1.12: trEkAlya-asidDeH pratizeDa-anupapattiH
   {pūrvapakṣasūtram}	{pUrva-pakza-sUtram}
   2.1.13: sarvapramāṇapratiṣedhāt ca pratiṣedhānupapattiḥ	2.1.13: sarva-pramANa-pratizeDAt ca pratizeDa-anupapattiH
   {pūrvapakṣasūtram}	{pUrva-pakza-sUtram}
   2.1.14: tatprāmāṇye vā na sarvapramāṇavipratiṣedhaḥ	2.1.14: tad-prAmANye vA na sarva-pramANa-vipratizeDaH
   {pūrvapakṣasūtram}	{pUrva-pakza-sUtram}
   2.1.15: traikālyāpratiṣedhaḥ ca śabdāt ātodyasiddhivat tatsiddheḥ	2.1.15: trEkAlya-apratizeDaH ca SabdAt Atodya-sidDi-vat tad-sidDeH
   {pūrvapakṣasūtram}	{pUrva-pakza-sUtram}
   2.1.16: prameyā ca tulāprāmāṇyavat	2.1.16: prameyA ca tulA-prAmANya-vat-
   {pūrvapakṣasūtram}	{pUrva-pakza-sUtram}
   2.1.17: pramāṇataḥ siddheḥ pramāṇānām pramāṇāntarasiddhiprasaṅgaḥ	2.1.17: pramANataH sidDeH pramANAnAm pramANa-antara-sidDi-prasaFgaH
   {pūrvapakṣasūtram}	{pUrva-pakza-sUtram}
   2.1.18: tadvinivṛtteḥ vā pramāṇasiddhivat prameyasiddhiḥ	2.1.18: tad-vinivRtteH vA pramANa-sidDi-vat prameya-sidDiH
   {pūrvapakṣasūtram}	{pUrva-pakza-sUtram}
   2.1.19: na, pradīpaprakāśasiddhivat tatsiddheḥ	2.1.19: na, pradIpa-prakASa-sidDi-vat tad-sidDeH
   {siddhāntalakṣaṇam}	{sidDAnta-lakzaNam}
   2.1.20: kvacit nivṛttidarśanāt anivṛttidarśanāt ca kvacit anekāntaḥ	2.1.20: kvacid nivRtti-darSanAt anivRtti-darSanAt ca kvacid anekAntaH
   {siddhāntalakṣaṇam}	{sidDAnta-lakzaNam}
   [pratyakṣaparīkṣāprakaraṇām]	[pratyakza-parIkzA-prakaraNAm]
   2.1.21: pratyakṣalakṣaṇānupapattiḥ asamagravacanāt	2.1.21: pratyakza-lakzaNa-anupapattiH asamagra-vacanAt-
   {pratyakṣalakṣaṇa-}	{pratyakza-lakzaNa-}
   {pratyakṣalakṣaṇaparīkṣā}	{pratyakza-lakzaNa-parIkzA}
   2.1.22: na ātmamanasoḥ sannikarṣābhāve pratyakṣotpattiḥ	2.1.22: na Atma-manasoH sannikarza-aBAve pratyakza-utpattiH
   (do)	(daH-)
   2.1.23: digdeśakālākāśeṣu api evaṃ prasaṅgaḥ	2.1.23: diS-deSa-kAla-AkASezu api evam prasaFgaH
   (do)	(daH-)
   2.1.24: jñānaliṅgatvāt ātmanaḥ na anavarodhaḥ	2.1.24: jQAna-liFga-tvAt AtmanaH na anavaroDaH
   {pratyakṣalakṣaṇa-siddhānta-sūtram}	{pratyakza-lakzaNa--sidDAnta--sUtram}
   2.1.25: tadayaugapadyaliṅgatvāt ca na manasaḥ	2.1.25: tad-ayOgapadya-liFga-tvAt ca na manasaH
   {pratyakṣalakṣaṇa-siddhānta-sūtra}	{pratyakza-lakzaNa--sidDAnta--sUtra}
   2.1.26: pratyakṣanimittatvāt ca indriyārthayoḥ sannikarṣasya svaśabdena	2.1.26: pratyakza-nimitta-tvAt ca indriya-arTayoH sannikarzasya sva-Sabdena
   vacanam	vacanam
   {pratyakṣalakṣaṇa-siddhānta-sūtra}	{pratyakza-lakzaNa--sidDAnta--sUtra}
   2.1.27: suptavyāsaktamanasāṃ ca indriyārthayoḥ sannikarṣanimittatvāt	2.1.27: supta-vyAsakta-manasAm ca indriya-arTayoH sannikarza-nimitta-tvAt-
   {pratyakṣalakṣaṇa-siddhānta-sūtra}	{pratyakza-lakzaNa--sidDAnta--sUtra}
   2.1.28: taiḥ ca apadeśaḥ jñānaviśeṣāṇām	2.1.28: tEH ca apadeSaH jQAna-viSezANAm
   {pratyakṣalakṣaṇa-siddhānta-sūtra}	{pratyakza-lakzaNa--sidDAnta--sUtra}
   2.1.29: vyāhatatvāt ahetuḥ	2.1.29: vyAhata-tvAt ahetuH
   {pratyakṣalakṣaṇa-siddhānta-sūtra}	{pratyakza-lakzaNa--sidDAnta--sUtra}
   2.1.30: na arthaviśeṣaprābalyāt	2.1.30: na arTa-viSeza-prAbalyAt-
   {pratyakṣalakṣaṇa-siddhānta-sūtra}	{pratyakza-lakzaNa--sidDAnta--sUtra}
   [viṣayaparīkṣā-prakaraṇām]	[vizaya-parIkzA--prakaraNAm]
   2.1.31: pratyakṣam anumānam ekadeśagrahaṇāt upalabdheḥ	2.1.31: pratyakzam anumAnam eka-deSa-grahaNAt upalabDeH
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   2.1.32: na, pratyakṣeṇa yāvat tāvat api upalambhāt	2.1.32: na, pratyakzeNa yAvat tAvat api upalamBAt-
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.1.33: na caikadeśopalabdhiravayavisadbhāvāt	2.1.33: na ca-eka-deSa-upalabDiH-avayavi-sadBAvAt
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [prasaṅgopāttā avayaviparīkṣā]	[prasaFga-upAttA avayavi-parIkzA]
   2.1.34: sādhyatvāt avayavini sandehaḥ	2.1.34: sADya-tvAt avayavini sandehaH
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   2.1.35: sarvāgrahaṇam avayavyasiddheḥ	2.1.35: sarva-agrahaNam avayavi-asidDeH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.1.36: dhāraṇākarṣaṇopapatteḥ ca	2.1.36: DAraNa-AkarzaNa-upapatteH ca
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.1.37: senāvanavat grahaṇam iti cet na atīndriyatvāt aṇūnām	2.1.37: senA-vana-vat grahaNam iti ced na atIndriya-tvAt aNUnAm
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [anumānaparīkṣāprakaraṇam]	[anumAna-parIkzA-prakaraNam]
   2.1.38: rodhopaghātasādṛśyebhyaḥ vyabhicārāt anumānam apramāṇam	2.1.38: roDa-upaGAta-sAdRSyeByaH vyaBicArAt anumAnam apramANam
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   2.1.39: na, ekadeśatrāsasādṛśyebhyaḥ arthāntarabhāvāt	2.1.39: na, eka-deSa-trAsa-sAdRSyeByaH arTa-antara-BAvAt-
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   {vartamānakālaparīkṣā}	{vartamAna-kAla-parIkzA}
   2.1.40: vartamānābhāvaḥ, patataḥ patitapatitavyakālopapatteḥ	2.1.40: vartamAna-aBAvaH, patataH patita-patitavya-kAla-upapatteH
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   2.1.41: tayoḥ api abhāvaḥ vartamānābhāve, tadapekṣatvāt	2.1.41: tayoH api aBAvaH vartamAna-aBAve, tad-apekza-tvAt
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.1.42: na atītānāgatayoḥ itaretarāpekṣā siddhiḥ	2.1.42: na atIta-anAgatayoH itaretara-apekzA sidDiH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.1.43: vartamānābhāve sarvāgrahaṇaṃ pratyakṣānupapatteḥ	2.1.43: vartamAna-aBAve sarva-agrahaNam pratyakza-anupapatteH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.1.44: kṛtatākarttavyatopapatteḥ tu ubhayathā grahaṇam	2.1.44: kRta-tA-karttavyatA-upapatteH tu uBayaTA grahaNam
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [upamānaparīkṣāprakaraṇam]	[upamAna-parIkzA-prakaraNam]
   2.1.45: atyantaprāyaikadeśasādharmyāt upamānāsiddhiḥ	2.1.45: atyanta-prAya-eka-deSa-sADarmyAt upamAna-asidDiH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.1.46: prasiddhasādharmyāt upamānasiddheḥ yathoktadoṣānupapattiḥ	2.1.46: prasidDa-sADarmyAt upamAna-sidDeH yaTA-ukta-doza-anupapattiH
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   2.1.47: pratyakṣeṇa apratyakṣasiddheḥ	2.1.47: pratyakzeNa apratyakza-sidDeH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.1.48: na apratyakṣe gavaye pramāṇārtham upamānasya paśyāmaḥ	2.1.48: na apratyakze gavaye pramANa-arTam upamAnasya paSyAmaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.1.49: tathā iti upasaṃhārāt upamānasiddheḥ na aviśeṣaḥ	2.1.49: taTA iti upasaMhArAt upamAna-sidDeH na aviSezaH
