   Paṇḍitāśokaracitam	PaNxita aSoka racitam
   prayatnavadātmapāṇisaṃyogāt pāṇau kriyā / yadā tu śarīrakampanārthaḥ	prayatna vat Atma pANi saMyogAt pANO kriyA / yadA tu SarIra kampana arTaH
   prayatnaviśeṣa ātmano jāyate / tadā tatprayatnavadātmaśarīrasaṃyogāt	prayatna viSezaH AtmanaH jAyate / tadA tad prayatna vat Atma SarIra saMyogAt
   śarīre karmmeti nimittabhedaḥ / ato bhinnamiti tayorekasmin jāte kathaṃ	SarIre karmma iti nimitta BedaH / atas Binnam iti tayoH ekasmin jAte kaTam
   nimittāntarapratibadvajanmā tadabhāve tadaparo 'pi tathaiva jāyeta / ratha	nimitta antara pratibadvajan mA tad aBAve tad aparaH api taTA eva jAyeta / raTa
   tadārūḍhakarmmaṇostu satyapi nimittabhede nimittayaugapadyāt sahabhāvaḥ /	tad ArUXa karmmaNoH tu sati api nimitta Bede nimitta yOgapadyAt sahaBAvaH /
   tathā hi nodanaṃ rathakarmmaṇo 'samavāyikāraṇaṃ / tadārūḍhakarmmaṇastu	taTA hi nodanam raTakarmmaNaH asamavAyi kAraNam / tad ArUXa karmmaNaH tu
   nodyasaṃyogaḥ / tayośca sahabhāvāt karmmaṇī api yaugapadyena jāyete /	na udya saMyogaH / tayoH ca sahaBAvAt karmmaNI api yOgapadyena jAyete /
   tadetat sakalamālocya bhadantadharmmottareṇedamuktam / na cātrā vayavaḥ	tat etat sakalam Alocya Badanta Darmma uttareNa idam uktam / na ca atrA vayavaH
   kriyāvān / avayaveṣu hi kriyāvatsu vibhāgo jāyate / kriyāyā vibhāgārambhaṃ	kriyAvAn / avayavezu hi kriyAvatsu viBAgaH jAyate / kriyAyAH viBAga AramBam
   prati nirapekṣakāraṇatvāt / tena ca saṃyoge 'samavāyikāraṇe nivarttate	prati nirapekza kAraNa tvAt / tena ca saMyoge asamavAyi kAraNe nivarttate
   nivarttetāvayavi dravyamiti / idamāhuratra kaṇādaśiṣyāḥ /	nivartteta avayavi dravyam iti / idam AhuH atra kaNAda SizyAH /
   nodanādabhighātādvā jāyamānaḥ kriyāviśeṣo	nodanAt aBiGAtAt vA jAyamAnaH kriyA viSezaH 
   dravyārambhakasaṃyogapratidvandvivibhāgārambhako dṛṣṭaḥ / anyattu	dravya AramBaka saMyoga pratidvandvi viBAga AramBakaH dRzwaH / anyat tu
   vibhāgamātramārabhate na tu yathoktaviśeṣaṃ / anyasmin	viBAga mAtram AraBate na tu yaTA ukta viSezam / anyasmin
   padmasaṅkocavikāśādike karmmaṇyavayavasaṃyoganivṛtteradarśanāt / tadvat	padma saFkoca vikASa Adike karmmaNi avayava saMyoga nivRtteH adarSanAt / tadvat 
   prayatnajanyasyāpi karmmaṇo nāsti saṃyoganivarttanasāmarthyaṃ / tato nāsti	prayatna janyasya api karmmaNaH na asti saMyoga nivarttana sAmarTyam / tatas na asti
   dravyanivṛttiriti / ayamatra samādhiḥ / ihāvayavini kriyāvati	dravya nivRttiH iti / ayam atra samADiH / iha avayavini kriyAvati
   niyamenāvayavairapi kriyāvadbhirbhavitavyaṃ / anyathāvayavasaṃsṛṣṭebhya	niyamena avayavEH api kriyAvadBiH Bavitavyam / anyaTA avayava saMsRzweBya
   ākāśadeśebhyo vibhāgo 'vayavāsaṃsṛṣṭeśca saṃyogovayavinaḥ kriyāvataḥ syāt	AkASa deSeByaH viBAgaH avayava asaMsRzweH ca saMyogovayavinaH kriyAvataH syAt 
   / avayavāstu kriyāvirahiṇaḥ pūrvvakrāntebhyo nabhodeśebhyo nāpasaryyeyuḥ /	/ avayavAH tu kriyA virahiNaH pUrvvakrAnteByaH naBaH deSeByaH na apasaryyeyuH /
   avayavisamākrāntaiśca deśairnābhisambadhyeran / na	avayavi samAkrAntEH ca deSEH na aBisambaDyeran / na
   cāvayavisaṃyogavibhāgābhyāmavayavasaṃyogavibhāgau vācyau /	ca avayavi saMyoga viBAgAByAm avayava saMyoga viBAgO vAcyO /
   kāryyasaṃyogavibhāgayoḥ kāraṇasaṃyogavibhāgau prati	kAryya saMyoga viBAgayoH kAraNa saMyoga viBAgO prati
   nimittabhāvānabhyupagamāt / kāraṇasaṃyogavibhāgāveva hi	nimitta BAva anaByupagamAt / kAraNa saMyoga viBAgO= eva hi
   kāryyasaṃyogavibhāgāvārabhete /	kAryya saMyoga viBAgO= AraBete /
   na ca viparyyayaḥ sidvāntahāniprasaṅgāt / tenāvayavāvayavināṃ	na ca viparyyayaH sidvAnta hAni prasaFgAt / tena avayava a= ayavinAm
   pṛthagdeśatvādādhāryyādhārabhāvahānau samavāyo 'pi na vyavatiṣṭheta /	pRTak deSa tvAt ADAryya ADAra BAva hAnO samavAyaH api na vyavatizWeta /
   tasmādavayavini kriyāvati avayavāḥ kriyāvanta ityakāmakairapi	tasmAt avayavini kriyAvati avayavAH kriyAvantaH iti akAmakEH api
   vaiśeṣikairidamabhyupeyaṃ / yathā cāvayavikriyāyāmavayavāḥ kriyāvanta	vESezikEH idam aByupeyam / yaTA ca avayavi kriyAyAm avayavAH kriyAvanta
   stathāvayaveṣvapi kriyāvatsu tadavayavaiḥ kriyāvadbhirbhāvyamiti / anayā	staTA avayavezu api kriyAvatsu tad avayavEH kriyAvadBiH BAvyam iti / anayA
   diśā dvyaṇuke kriyāvati tadārambhakau paramāṇūkriyāvantau mantavyau /	diSA dvi aNuke kriyAvati tad AramBakO paramANu ukriyAvantO mantavyO /
   ataścalāvayavasambandhinaścalāḥ paramāṇavaḥ / niḥkriyāvayavasambandhinastu	atas cala avayava sambanDinaH calAH paramANavaH / niHkriyA avayava sambanDinaH tu
   niḥkriyā / paramāṇukriyāyāṃ tadārabdhamapi bdyaṇukadravyaṃ kriyāvat	niHkriyA / paramANu kriyAyAm tadA ArabDam api bdyaNuka dravyam kriyAvat 
   prasajyeta / sarvvāvayavakriyāyāḥ kāryyakriyāvinābhūtatvāt / ekasya	prasajyeta / sarvva avayava kriyAyAH kAryya kriyA vinABUta tvAt / ekasya
   paramāṇoḥ kriyā na parasyeti cet / sakriyaniḥkriyau tarhi paramāṇū	paramANoH kriyA na parasya iti ced / sa kriya niHkriyO tarhi paramANU
   parasparaṃ vibhajyamānāvujjhitadravyārambhakasaṃyogau syātāṃ / tataśca	parasparam viBajyamAnO= ujJita dravya AramBaka saMyogO syAtAm / tatas ca
   dravyanāśaḥ / evañca bdyaṇukadravyasya kriyāvattve tryaṇuke 'pi kriyā	dravya nASaH / evaQca bdyaNuka dravyasya kriyAvat tve tri aNuke api kriyA
   syādityanena krameṇa paridṛśyamāno 'calaścalaḥ syādavayavaḥ /	syAt iti anena krameNa paridRSyamAnaH acalaH calaH syAt avayavaH /
   tasmānniḥkriyāvayavasambandhino niḥkriyāḥ	tasmAt niHkriya avayava sambanDinaH niHkriyAH
   paramāṇavaścalāvayavasambandhibhyaścalebhyo vibhajyamānā	paramANavaH cala avayava sambanDiByaH caleByaH viBajyamAnA
   dravyārambhakasaṃyogavināśavantaḥ syuḥ / niravayavo hi	dravya AramBaka saMyoga vinASavantaH syuH / niravayavaH hi
   paramāṇuryamaṇumātranabhodeśamākramya paramāṇvantareṇa saṃyujyate / tato	paramANuH yam aNu mAtra naBaH deSam Akramya paramANu antareNa saMyujyate / tatas 
   vibhajyamānaḥ kathamanujjhitaparamāṇvantarapratyāsattikaḥ syāt / sāvayavo	viBajyamAnaH kaTam anujJita paramANu antara pratyAsattikaH syAt / sa avayavaH 
   hi bhāva ekenāvayavena vastvantarasaṃyukta evāvayavāntarai ścalaiḥ /	hi BAvaH ekena avayavena vastu antara saMyuktaH eva avayava antarE ScalEH /
   pūrvvākrāntānnabhodeśān virahayya deśāntaramākrāmet / niravayaveṣu	pUrvvAkrAntAn naBaH deSAn virahayya deSa antaram AkrAmet / niravayavezu
   tvatyantamastamiteyaṃ katheti yuktaṃ drabyanāśaprasaṅgamutpaśyāmaḥ /	tu atyantam astamitA iyam kaTA iti yuktam drabya nASa prasaFgam utpaSyAmaH /
   athavānyathāyaṃ virudvadharmmasaṃsargaḥ / tathāhyāvṛte ekasmin pāṇyādau	aTavA anyaTA ayam virudva Darmma saMsargaH / taTA hi AvRte ekasmin pANi AdO
   sthūlasyārthasyāvṛtānāvṛte rūpe yugapadbhavantī	sTUlasya arTasya AvRta anAvRte rUpe yugapad BavantI
   virudvadharmmadvayasaṃyogamasyāvedayataḥ / na cānāvṛtaikarūpa evāyamiti	virudva Darmma dvaya saMyogam asya AvedayataH / na ca anAvRta eka rUpaH eva ayam iti
   śakyaṃ vaktuṃ / ardvāvaraṇe 'pi anāvṛtasya pūrvvavaddarśanaprasaṅgāt /	Sakyam vaktum / ardvAvaraNe api anAvRtasya pUrvva vat darSana prasaFgAt /
   avayavadarśanāyattopalabdheḥ / taddṛṣṭau asyā dṛṣṭiriti cet / adṛṣṭireva	avayava darSana Ayatta upalabDeH / tad dRzwO asyAH dRzwiH iti ced / adRzwiH eva
   tarhi asyāstu / na tu dṛṣṭayadṛṣṭī /	tarhi asyAH tu / na tu dRzwaya dRzwI /
   nanvastyevāvayavidarśanamavayavāvaraṇe 'pīti ko 'yaṃ prasaṅgaḥ / evantarhi	nanu asti eva avayavi darSanam avayava AvaraNe api iti kaH ayam prasaFgaH / evantarhi
   sthūlaḥ prāgvadupalabhyeta / idamatrāha kaścit / bhūyo	sTUlaH prAgvat upalaByeta / idam atra Aha kaScid / BUyo
   'vayavendriyasannikarṣasahāyo 'vayavīndriyasannikarṣaḥ	avayava indriya sannikarza sahAyaH avayavi indriya sannikarzaH
   sthūlopalabdhenimittaṃ, na cārdvāvaraṇe	sTUla upalabDenimittaM, na cArdvAvaraNe
   bhūyasāmavayavānāmastīndriyasannikarṣaḥ tato na sthūlagrahaṇamiti / so	BUyasAm avayavAnAm asti indriya sannikarzaH tatas na sTUla grahaNam iti / saH 
   'pyevaṃ praṣṭavyaḥ / kiṃ sthūlo nāmāvayavino 'nyaḥ / sa evānekavyāpī	api evam prazwavyaH / kim sTUlaH nAma avayavinaH anyaH / saH eva aneka vyApI
   sthūlaḥ / tatra yadyavayavyeva sthūlaḥ / tadā tadgrahaṇe kathanna	sTUlaH / tatra yadi avayavi eva sTUlaH / tadA tad grahaNe kaTat na
   sthūlagrahaṇamiti cintyam /	sTUla grahaNam iti cintyam /
   atha sthūlatvākhyaḥ parimāṇaviśeṣo guṇaḥ sa drabyādanya eveti cet /	aTa sTUla tva AKyaH parimANa viSezaH guNaH sa drabyAt anyaH eva iti ced /
   evantarhi parimāṇarahitameva tat dravyamupa labhyate / na tvasyānyenānyena	evantarhi parimANa rahitam eva tat dravyam upa laByate / na tu asya anyena anyena
   parimāṇena yogaḥ / na cāsyānekaparimāṇakalpanāpi sādhvī / yugapat	parimANena yogaH / na ca asya aneka parimANa kalpanA api sADvI / yugapad 
   sarvveṣāmanupalabdheḥ / na ca dṛśyasya darśananivṛttiryuktā /	sarvu ezAm anupalabDeH / na ca dRSyasya darSana nivRttiH yuktA /
   avayavasyaiva tat parimāṇamupalabhyata iti cet / yadyevaṃ sa eva	avayavasya eva tat parimANam upalaByate iti ced / yadi evam saH eva
   tarhyavayavaḥ svena parimāṇena sambadvaḥ pratyakṣostvāvaraṇakālenāvayavī /	tarhi avayavaH svena parimANena sambadvaH pratyakzoH tu AvaraNa kAlena avayavI /
   syādetadekārthasamabāyādbhāntinimittādavayavyevāvayavaparimāṇena sambadvaḥ	syAt etat eka arTa sama bAyAt BAnti nimittAt avayavi eva avayava parimANena sambadvaH
   pratibhātīti tadapi na śobhanaṃ / dvayoḥ samaparimāṇayoravayavāvayavinoḥ	pratiBAti iti tat api na SoBanam / dvayoH sama parimANayoH avayava avayavinoH
   pratibhāsaprasaṅgaḥ / yasya hi mahato 'vayavasya tata parimāṇaṃ sa tāvat	pratiBAsa prasaFgaH / yasya hi mahataH avayavasya tata parimANam sa tAvat 
   svena parimāṇena sambadvaḥ pratibhāti / avayavinaśca	svena parimANena sambadvaH pratiBAti / avayavinaH ca
   tatparimāṇasambadvapratibhāsābhyupagame dvayoḥ	tad parimANa sambadva pratiBAsA aByupagame dvayoH
   samaparimāṇayorayavāyavavinoḥ pratibhāsa āsajyate /	sama parimANayoH ayavAyava vinoH pratiBAsaH Asajyate /
   na cāsti yathoktaḥ pratibhāsaḥ parimāṇarahitaḥ / so 'vayavaḥ pratibhāsa	na ca asti yaTA uktaH pratiBAsaH parimANa rahitaH / saH avayavaH pratiBAsa
   iti cet / syādetadyasyāvayavasya parimāṇenāvayavī sambadvaḥ pratibhāti sa	iti ced / syAt etat yasya avayavasya parimANena avayavI sambadvaH pratiBAti sa
   svaṃ parimāṇaṃ parityajyābhātīti / idamapi	svam parimANam parityajya aBAti iti / idam api
   parimāṇavirahiṇovayavasyādṛṣṭeraśakyaṃ kalpayituṃ / ekārthasamavāyācca	parimANa virahiNovayavasya adRzweH aSakyam kalpayitum / eka arTa samavAyAt ca
   bhrānti nimittādalpatarāvayavaparimāṇavānapyavayavī pratibhāseta / na ca	BrAnti nimittAt alpatara avayava parimANavAn api avayavI pratiBAseta / na ca
   bādhakamantareṇa bhrāntirapi śakyā vyavasthāpayitum /	bADakam antareNa BrAntiH api SakyA vyavasTApayitum /
   asti tarhi sthūlo 'vayava eva pratyakṣaḥ / evamāvaraṇakāla	asti tarhi sTUlaH avayavaH eva pratyakzaH / evam AvaraNa kAla
   ivānāvaraṇāvasthāyāmapi sthūlataro 'vayavaḥ pratyakṣo 'stu /	iva anAvaraNa avasTAyAm api sTUlataraH avayavaH pratyakzaH astu /
   paramadhyāvarttināmavayavānāmindriyasannikarṣābhāve	parama DyAvarttinAm avayavAnAm indriya sannikarza aBAve
   sthūlatamāvayavidarśanānupapatteḥ syānmataṃ nikhilā vayavadarśanaṃ na	sTUlatamAvayavi darSana anupapatteH syAt matam niKilAH vayava darSanam na
   sthūlapratyakṣakāraṇaṃ / kintu bhūyo 'vayavadarśanamiti / idamapi na	sTUla pratyakza kAraNam / kintu BUyas avayava darSanam iti / idam api na
   samyak / abhimukhāvasthitasya hi parvvatāderarvvācīnāvayavadarśanena tathā	samyak / aBimuKa avasTitasya hi parvvata AdeH aru vAcIna avayava darSanena taTA
   sthūlapratipattiryathārvvākparamadhyavarttināṃ darśane / tato na	sTUla pratipattiH yaTA ArvvAc para maDya varttinAm darSane / tatas na
   yāvanniravaśeṣāvayavadarśanaṃ tāvat kathaṃ sthūlatamārthapratipattiḥ syāt	yAvat niravaSeza avayava darSanam tAvat kaTam sTUlatama arTa pratipattiH syAt 
   / na cāvayavā arvākparamadhyavarttino yugapaddṛśyante / tat kathamavayavī	/ na ca avayavAH arvAk para maDya varttinaH yugapad dRSyante / tat kaTam avayavI
   sthūlo dṛśyeta / krameṇa diśāmavayavānāṃ pratyakṣīkaraṇe pratyakṣaḥ sthūlo	sTUlaH dRSyeta / krameNa diSAm avayavAnAm pratyakzIkaraNe pratyakzaH sTUlaH 
   'vayavīti cet / anyadā tu kaḥ pratyakṣaḥ iti vimṛṣyaṃ / avayava iti cet /	avayavI iti ced / anyadA tu kaH pratyakzaH iti vimRzyam / avayavaH iti ced /
   avayavī api paramadhyavarttino na yugapaddṛśyanta iti kathaṃ so 'pi	avayavI api para maDya varttinaH na yugapad dRSyante iti kaTam saH api
   pratyakṣaḥ syāt / tadevaṃ nāvayavī nāvayavāḥ pratyakṣā iti na	pratyakzaH syAt / tat evam na avayavI na avayavAH pratyakzAH iti na
