   tṛtīya uddyotaḥ	tRtIyaH uddyotaH
   kadācidvyaṅgyo 'pi bhavatītyarthaḥ /	kadAcid vyaFgyaH api Bavati iti arTaH /
   tadāheti /	tadAha iti /
   tadabhiprāyādāhetyarthaḥ /	tad aBiprAyAt Aha iti arTaH /
   nanvevaṃ punarvyañjakamukhenetyatra bhavatītyarthaḥ tadāheti /	nanu evam punar vyaQjaka muKena iti atra Bavati iti arTaH tadAha iti /
   tadabhiprāyādāhetyarthaḥ /	tad aBiprAyAt Aha iti arTaH /
   nanvevaṃ punarvyañjakamukhenetyatra punaśaśbdo 'nupapanna ityatastātparyaṃ	nanu evam punar vyaQjaka muKena iti atra punar aSbdaH anupapannaH iti atas tAt paryam
   vivṛṇoti   na cetyādi /	vivRNoti   na ca ityAdi /
   tatreti /	tatra iti /
   avivakṣitatvādibedaviśiṣṭavācya ityarthaḥ /	avivakzita tva Adi bet aviSizwa vAcyaH iti arTaH /
   vyañjakatvanna ca nāstītyanvayaḥ /	vyaQjaka tvat na ca na asti iti anvayaH /
   'vyañjakamukhatvam' iti pāṭhe vācyasyetyādeḥ	avyaQjaka muKa tvam a iti pAWe vAcyasya ityAdeH
   vācyasambandhiyadavivakṣitādirūpaṃ avivakṣitatvādikantena hetunā yo bhedaḥ	vAcya sambanDi yadavivakzita Adi rUpam avivakzita tva Adi kantena hetunA yaH BedaH
   dhvaneravāntarabhedaḥ /	DvaneH avAntara BedaH /
   tatra dhvanibheda ityarthaḥ /	tatra Dvani BedaH iti arTaH /
   na ca nāstītyuktamevārthaṃ vivṛṇoti   vyañjakamukhenāpītyādi /	na ca na asti iti uktam eva arTam vivRNoti   vyaQjaka muKena api ityAdi /
   tathāca vyañjakamukhenetyasya phalitamarthamāha   śuddhetyādi /	taTA ca vyaQjaka muKena iti asya Palitam arTam Aha    SudDa ityAdi /
   kevalavyañjakamukhenetyarthaḥ /	kevala vyaQjaka muKena iti arTaH /
   eṣāmiti /	ezAm iti /
   padādīnāmityarthaḥ /	pada AdInAm iti arTaH /
   sambhavatīti /	samBavati iti /
   sambhāvyata itica pāṭhaḥ /	samBAvyate iti ca pAWaH /
   itīti hetau /	iti iti hetO /
   locanam tataścedaṃ kṛtamidaṃ kriyata iti kartṛbhede kā saṅgatiḥ? na	locanam tatas ca idam kRtam idam kriyate iti kartR Bede kA saFgatiH? na
   caitāvatā sakalaprāktanagranthasaṅgatiḥ kṛtā bhavati /	ca etAvatA sakala prAktana granTa saFgatiH kRtA Bavati /
   avivakṣitavācyādīnāmapi prakārāṇāṃ darśitatvādityalaṃ	avivakzita vAci AdInAm api prakArANAm darSita tvAt iti alam
   nijapūjyajanasagotraiḥ sākaṃ vivādena /	nija pUjya jana sagotrEH sAkam vivAdena /
   cakāraḥ kārikāyāṃ yathāsaṅkhyaśaṅkānivṛttyarthaḥ /	cakAraH kArikAyAm yaTA saFKya SaFkA nivRtti arTaH /
   tenāvivakṣitavācyo dviprabhedo 'pi pratyekaṃ padavākyaprakāśa iti dvidhā /	tena avivakzita vAcyaH dvi praBedaH api pratyekam pada vAkya prakASaH iti dviDA /
   tadanyasya vivakṣitābhidheyasya sambandhī yo bhedaḥ kramadyotyo nāma	tad anyasya vivakzita aBiDeyasya sambanDI yaH BedaH kramadyotyaH nAma
   svabhedasahitaḥ so 'pi pratyekaṃ dvidhaiva /	sva Beda sahitaH saH api pratyekam dviDA eva /
   anuraṇanena rūpaṃ rūpaṇasādṛśyaṃ yasya tādṛgvyaṅgyaṃ yattasyetyarthaḥ /	anuraNanena rUpam rUpaNa sAdRSyam yasya tAdRS vyaFgyam yat tasya iti arTaH /
   maharṣerityanena tadanusandhatte yatprāguktam, atha ca rāmāyaṇamahābhārata	mahA RzeH iti anena tad anusanDatte yat prAk uktam, aTa ca rAmAyaNa mahABArata
   prabhṛtini lakṣye dṛśyata iti /	praBRtini lakzye dRSyate iti /
   dhṛtiḥ kṣamā dayā śaucaṃ kāruṇyaṃ vāganiṣṭhurā /	DRtiH kzamA dayA SOcam kAruNyam vAc anizWurAH /
   mitrāṇāṃ cānabhidrohaḥ saptatāḥ samidhaḥ śriyaḥ //	mitrANAm ca anaBidrohaH saptatAH samiDaH SriyaH //
   samicchabdārthasyātra sarvathā tiraskāraḥ, asambhavāt /	samiD Sabda arTasya atra sarvaTA tiraskAraH, asamBavAt /
   samicchabdena ca vyaṅgyo 'rtho 'nanyāpekṣalakṣmyuddīpanakṣamatvaṃ saptānāṃ	samiD Sabdena ca vyaFgyaH arTaH ananya apekza lakzmI uddIpana kzama tvam saptAnAm
   vakrabhipretaṃ dhvanitam /	vakraBipretam Dvanitam /
   yadyapa   'niḥśvāsāndha ivādarśaḥ' ityādyudāharaṇādapyayamartho lakṣyate,	yadi apa    aniHSvAsa anDaH iva AdarSaH a iti Adi udAharaNAt api ayam arTaH lakzyate,
   tathāpi prasaṅgādbahulakṣyavyāpitvandarśayitumudāharaṇāntarāṇyuktani /	taTA api prasaFgAt bahu lakzya vyApi tvandarSayi tum udAharaNa antarANi uktani /
   atra ca vācyasyātyantatiraskāraḥ pūrvoktamanusṛtya bālapriyā svarūpamiti /	atra ca vAcyasya atyanta tiraskAraH pUrva uktam anusRtya bAlapriyA svarUpam iti /
   padadisvarūpamityarthaḥ /	padadi svarUpam iti arTaH /
   iti kartṛbhede kā saṅgatiriti /	iti kartR Bede kA saFgatiH iti /
   ityasya kartṛbhede sati saṅgatatvaṃ na sambhavatītyarthaḥ /	iti asya kartR Bede sati saFgata tvam na samBavati iti arTaH /
   'vyaṅgyamukhena pradarśite punarvyañjakamukhenaitatprakāśyata' ityanena	avyaFgya muKena pradarSite punar vyaQjaka muKena etat prakASyata a iti anena
   pradarśanaprakāśanayorekakartṛkatvaṃ svarasataḥ pratīyate, tadasaṅgataṃ	pradarSana prakASanayoH eka kartRka tvam svarasataH pratIyate, tad asaFgatam
   bhavediti yāvat /	Bavet iti yAvat /
   'kā saṅgatiḥ evaṃ praṣṭavya' iti sambandhaḥ /	akA saFgatiH evam prazwavya a iti sambanDaH /
   doṣāntarañjāha   na cetyādi /	doza antaran jAha   na ca ityAdi /
   cakāra ityādi /	cakAraH ityAdi /
   cakārasyābhāve avivakṣitavācyasya pradaprakāśatā, tadanyasya	cakArasya aBAve avivakzita vAcyasya prada prakASa tA, tad anyasya
   vākyaprakāśateti yathāsaṅkhyenārthabhramassyāditi bhāvaḥ /	vAkya prakASa tA iti yaTA saFKyena arTa Brama ssyAt iti BAvaH /
   teneti /	tena iti /
   samuccayārthakacakāreṇetyarthaḥ /	samuccaya arTa kacakAreNa iti arTaH /
   'tadanyasye'ti vyadhikaraṇaviśeṣaṇamityāśayena vyācaṣṭe   vivakṣitetyādi /	atat anyasye ati vyaDikaraNa viSezaNam iti ASayena vyAcazwe    vivakzitA ityAdi /
   'anuraṇane'tyādervivaraṇaṃ  krametyādi /	aanuraNane atyAdeH vivaraNaM  krama ityAdi /
   'rūpam' ityasya vivaraṇam  rūpaṇoti /	arUpam a iti asya vivaraNam  rUpaNoti /
   phalitamāha   sādṛśyamiti /	Palitam Aha    sAdRSyam iti /
   iti /	iti /
   yatprāguktamiti sambandhaḥ /	yat prAk uktam iti sambanDaH /
   samicchabdārthasya idhmatvaviśiṣṭasya /	samiD Sabda arTasya iDma tva viSizwasya /
   samicchabdeneti /	samiD Sabdena iti /
   uddīpakatvaṃ lakṣyateti śeṣaḥ /	uddIpaka tvam lakzyata iti SezaH /
   samicchabdo 'tra vācyalakṣyobhayānugatoddīpakatvaprakāreṇa lakṣayati /	samiD SabdaH atra vAcya lakzya uBaya anugata uddIpaka tva prakAreNa lakzayati /
   evamudyatatvaṃ lakṣayatetyāderudyatatvādyubhayānugatadharmaprakāreṇa	evam udyata tvam lakzayata iti AdeH udyata tva Adi uBaya anugata Darma prakAreNa
   lakṣayatetyartho bodhyaḥ /	lakzayatA iti arTaH boDyaH /
   'śabdena ce'tyanantaraṃ tasyaivārthāntarasaṅkramitavācye yathā   'rāmeṇa	aSabdena ce ati anantaram tasya eva arTa antara saFkramita vAcye yaTA a    arAmeNa
   priyajīvitena tu kṛtaṃ locanam yojanīyaḥ kiṃ punaruktena /	priya jIvitena tu kRtam locanam yojanIyaH kim punar uktena /
   sannaddhapadena cātrāsambhavatsvārthonodyatatvaṃ lakṣayatā vakrabhipretā	sannadDa padena ca atra asamBavat sva arTa Una udyata tvam lakzayatA vakraBipretA
   niṣkaruṇakatvāpratikāryatvāprekṣāpūrvakāritvādayo dhvanyante /	nizkaruNaka tva apratikArya tva aprekzA pUrva kAri tva AdayaH Dvanyante /
   tathaiva madhuraśabdena sarvaviṣayarañjakatvatarpakatvādikaṃ lakṣayatā	taTA eva maDura Sabdena sarva vizaya raQjaka tva tarpaka tva Adikam lakzayatA
   sātiśayāmilāṣaviṣayatvaṃ nātrāścaryamiti vakrabhipretaṃ dhvanyate /	sa atiSayAmi lAza vizaya tvam na atra AScaryam iti vakraBipretam Dvanyate /
   tasyaiveti /	tasya eva iti /
   avivakṣitavācyasya yo dvitīyo bhedastasyetyarthaḥ /	avivakzita vAcyasya yaH dvitIyaH BedaH tasya iti arTaH /
   'pratyākhyānaruṣaḥ kṛtaṃ samucitaṃ krūreṇa te rakṣasā soḍhaṃ tacca tathā	apratyAKyAna ruzaH kRtam samucitam krUreNa te rakzasA soXam tat ca taTA
   tvayā kulajano dhatte yathoccaiḥ śiraḥ /	tvayA kula janaH Datte yaTA uccEs SiraH /
   vyartha samprati bibhratā dhanuridaṃ tvadyvāpadaḥ sākṣiṇā' iti /	vyarTa samprati biBratA DanuH idam tvad i va ApadaH sAkziNAa iti /
   rakṣaḥsvabhāvādeva yaḥ krūro 'natilaṅghyaśāsanatvadurmadatayā ca prasahya	rakzaH svaBAvAt eva yaH krUraH anatilaFGya SAsana tva durmada tayA ca prasahya
   nirākriyamāṇaḥ kodhāndhaḥ tasyaitattāvatsvacittavṛttisamucitamanuṣṭhānaṃ	nirAkriyamANaH koDa anDaH tasya etat tAvat sva citta vRtti samucitam anuzWAnam
   yanmūrdhakartanaṃ nāma, mānyo 'pi bālapriyā vyaṅgyo 'rtha iti pāṭho	yat mUrDa kartanam nAma, mAnyaH api bAla priyAH vyaFgyaH arTaH iti pAWaH 
   dṛśyate tatsatve dhvanitamityasya bodhitamityarthaḥ /	dRSyate tad satve Dvanitam iti asya boDitam iti arTaH /
   asambhavatsvārtheneti /	asamBavat sva arTena iti /
   svārthaḥ varmitaḥ /	sva arTaH varmitaH /
   'sannaddho varmita' ityamaraḥ /	asat nadDaH varmita a iti amaraH /
   dhvanyanta iti /	Dvanyante iti /
   tvatpadārthasya meghasyeti śeṣaḥ /	tvad padArTasya meGasya iti SezaH /
   madhuraśabdeneti /	maDura Sabdena iti /
   mādhuryarasaviśiṣṭavācineti bhāvaḥ /	mADurya rasa viSizwa vAcinA iti BAvaH /
   sarveti /	sarva iti /
   sarvaviṣayarañjakatvatarpakatvādīnāmmadhye ekandharmamityarthaḥ /	sarva vizaya raQjaka tva tarpaka tva AdInAm maDye ekanDarmam iti arTaH /
   atreti /	atra iti /
   ākṛtiṣvityarthaḥ /	AkRtizu iti arTaH /
   pratyākhyāneti śrīrāmacandrasya devīṃ sītāmuddiśyedaṃ vacanam /	pratyAKyAnA iti SrI rAma candrasya devIm sItAm uddiSya idam vacanam /
   vivṛṇoti  rakṣa ityādi /	vivRNoti   rakzaH ityAdi /
   yaḥ rāvaṇaḥ /	yaH rAvaNaH /
   pratyākhyānaruḍityasya vivaraṇam   anatītyādi krodhāndha ityantam /	pratyAKyAna ruxiti asya vivaraNam    anati ityAdi kroDa anDaH iti antam /
   anatilaṅdhyaṃ śāsanaṃ yasya tatvena yā durmadatā ahamanatilaṅdhyaśāsana	anatilaFDyam SAsanam yasya tatvena yA durmadatA aham anatilaFDya SAsana
   iti durabhimānaḥ tayeti krodhāndhatve hetuḥ /	iti duraBimAnaH tayA iti kroDa anDa tve hetuH /
   nirākriyamāṇaḥ tvayā nirākṛtaḥ /	nirAkriyamANaH tvayA nirAkRtaH /
   'etadanuṣṭhānaṃ svacittavṛtti samucitam' iti sambandhaḥ /	aetat anuzWAnam sva citta vRtti samucitam a iti sambanDaH /
   etadisyetadvivṛṇoti   yanmūrdhakartanaṃ nāmeti premṇaḥ priye nocitam' /	etat isi etat vivRNoti    yat mUrDa kartanam nAma iti premNaH priye na ucitam a /
   atra rāmeṇetyetatpadaṃ sāhasaikarasatvādivyaṅgyābhisaṅkramitavācyaṃ	atra rAmeNa iti etat padam sAhasa eka rasa tva Adi vyaFgya aBisaFkramita vAcyam
   vyañjakam /	vyaQjakam /
   locanam kaścinmamājñāṃ laṅghayiṣyatīti /	locanam kaScid mama AjQAm laFGayizyati iti /
   taiti yathā tādṛgapi tayā na gaṇitastasyāstavetyarthaḥ /	tEti yaTA tAdRS api tayA na gaNitaH tasyAH tava iti arTaH /
   tadapi tathā avikāreṇotsavāpattibuddhyā	tat api taTA avikAreNa utsava Apatti budDyA
   netravisphāratāmukhaprasādādilakṣyamāṇayā soḍham /	netra visPAratA muKa prasAda Adi lakzyamANayA soXam /
   yathā yena prakāreṇa kulajana iti yaḥ kaścitpāmaraprāyo 'pi	yaTA yena prakAreNa kula janaH iti yaH kaScid pAmara prAyaH api
   kulavadhūśabdavācyaḥ /	kula vaDU Sabda vAcyaH /
   uccaiḥ śiro dhattai evaṃvidhāḥ kila vayaṃ kulavadhvo bhavāma iti /	uccEs SiraH DattEH evaMviDAH kila vayam kula vaDvaH BavAmaH iti /
   atha ca śilaḥkartanāvasare tvayā śīghraṃ kṛtyatāmiti tathā soḍhaṃ	aTa ca SilaH kartana avasare tvayA SIGram kRtya tAm iti taTA soXam
   tathoccaiḥ śiro dhṛtaṃ yathānyo 'pi kulastrījana uccaiḥ śiro dhatte	taTA uccEs SiraH DRtam yaTA anyaH api kula strI janaH uccEs SiraH Datte
   netyapravṛttatayā /	na iti apravRtta tayA /
   evaṃ rāvaṇasya tava ca samucitakāritvaṃ nirvyūḍham /	evam rAvaNasya tava ca samucita kAri tvam nirvyUXam /
   mama punaḥ sarvamevānucitaṃ paryavasitam /	mama punar sarvam eva anucitam paryavasitam /
   tathāhirājyanirvāsanādiniravakāśīkṛtadhanurvyāpārasyāpi	taTA ahirAjya nirvAsana Adi niravakASIkRta DanuH vyApArasya api
   kalatramātrarakṣaṇaprayojanamapi yaccāpamabhūttatsaṃprati	kalatra mAtra rakzaNa prayojanam api yat cApam aBUt tad saMprati
   tvayyarakṣitavyāpannāyāmeva niṣprayojanam, tathāpi ca taddhārayāmi /	tvayi arakzita vyApannAyAm eva nizprayojanam, taTA api ca tat DArayAmi /
   tannūnaṃ nijajīvitarakṣaivāsya prayojanatvena saṃbhāvyate /	tat nUnam nija jIvita rakzA eva asya prayojana tvena saMBAvyate /
   na caitadyuktam /	na ca etat yuktam /
   rāmāṇeti /	rAmANA iti /
   asamasāhasarasatvasatyasaṃdhatvocitakāritvādivyaṅgyadharmāntarapariṇatenetyarthaḥ	asama sAhasa rasa tva satya saMDa tva ucita kAritva Adi vyaFgya Darma antara pariNatena iti arTaH
   'kāpuruṣādidharmaparigrahastvādiśabdāt' iti yadvyākhyātam, tadasat ;	akApuruza Adi Darma parigrahaH tu Adi SabdAt a iti yat vyAKyAtam, tat asat ;
   kāpuruṣasya hyetadeva pratyutocitaṃ syāt /	kApuruzasya hi etat eva pratyuta ucitam syAt /
   priya iti śabdamāmevaitadidānīṃ saṃvṛttam /	priyaH iti SabdamAm eva etat idAnIm saMvRttam /
   priyaśabdasya pravṛttinimittaṃ yatpremanāma tadapyanaucityakalaṅkitamiti	priya Sabdasya pravRtti nimittam yat prema nAma tat api anOcitya kalaFkitam iti
   bālapriyā rāvaṇena hi śrīrāmasya purato māyāsītāśiraśchedaḥ kṛtaḥ /	bAla priyA rAvaNena hi SrI rAmasya puratas mAyA sItA SiraH CedaH kRtaH /
   itīti /	iti iti /
   iti buddhyetyarthaḥ /	iti budDyA iti arTaH /
   te ityasya pratyākhyānetyanena, kṛtamityanena ca sambandhaḥ /	te iti asya pratyAKyAnA iti anena, kRtam iti anena ca sambanDaH /
   bhāvārthamāha   yathetyādi /	BAva arTam Aha   yaTA ityAdi /
   tādṛgapi niratiśayaiśvaryādiviśiṣṭo 'pi saḥ gaṇitaḥ ādṛtaḥ /	tAdRS api niratiSaya ESvarya Adi viSizwaH api saH gaNitaH AdRtaH /
   tadapi śiraḥkartanamapi /	tat api SiraH kartanam api /
   buddhyetyasya viśeṣaṇaṃ   netretyādi /	budDyA iti asya viSezaNaM    netra ityAdi /
   visphāratā vikāsaḥ /	visPAratA vikAsaH /
   soḍhamanubhūtam /	soXam anuBUtam /
   ityucchaidiśaro dhatta iti sambandhaḥ /	iti ucCEdi SaraH DattaH iti sambanDaH /
   ityabhimānena śira unnataṃ karotītyarthaḥ /	iti aBimAnena SiraH unnatam karoti iti arTaH /
   anyathāpi vyācaṣṭe  atha cetyādi /	anyaTA api vyAcazwe  aTa ca ityAdi /
   taccetyasya vivaraṇaṃ  śiraḥkartanāvasara iti /	tat ca iti asya vivaraNaM   SiraH kartana avasaraH iti /
   tathā soḍhamityasya vyākhyānaṃ  tathoñcairityādi /	taTA soXam iti asya vyAKyAnaM   taTA uQcEH ityAdi /
   uccaiśiśaro dhatta iti prārthanāpratyākhyānena krodhāndhe kasmiṃścit	ucca ESiSaraH DattaH iti prArTanA pratyAKyAnena kroDa anDe kasmiMScid 
   kāmini śiraḥkartanāyodyukte sati śira unnataṃ karotītyarthaḥ /	kAmini SiraH kartanAya udyukte sati SiraH unnatam karoti iti arTaH /
   nityapravṛttatayeti laḍarthavivaraṇam /	nitya pravRtta tayA iti laxarTa vivaraNam /
   uttarārdhaṃ vyākhyāsyannāha  evamityādi /	uttara arDam vyAKyAsyat nAha  evam ityAdi /
   punariti tuśabdavivaraṇam /	punar iti tuSabda vivaraNam /
   'vyartha' mityādervyākhyānam   rājyetyādi /	avyarTaH a miti AdeH vyAKyAnam    rAjya ityAdi /
   'priyajīvitene'tyasya tannūnamityādi /	apriya jIvitene atyasya tat nUnam ityAdi /
